'a'er'ka'na 阿尔卡娜
'duo'la 朵拉
'er'qi'li 二期丽
'er'qi'xiang 二期香
'fan'chang 反常
'fang'yu'li 防御力
'fang'zhou 方舟
'fen'tan'bei'ji'shang'hai 分摊被击伤害
'feng'li 风丽
'feng'xiang 风香
'feng'ya 风压
'fu'huo 复活
'fu'ke'wang 富克旺
'fu'luo'la 芙罗拉
'gao'ya'hai'yang 高雅海洋
'ge'la'wei 格拉维
'gong'ji'li 攻击力
'gong'ji'su'du 攻击速度
'gu'tie 古铁
'guan'cai'nv 棺材女
'ha'lan 哈兰
'hai'lan'bao'shi 海蓝宝石
'hai'lun 海伦
'hai'lun'hai'lan'bao'shi 海伦海蓝宝石
'hai'wan'nv'shen 海湾女神
'han'dong'sha'shou 寒冬杀手
'he'xin 核心
'hei'la'la'dui 黑啦啦队
'hei'li 黑丽
'hei'lian 黑莲
'hei'tu 黑兔
'hong'lian 红莲
'hong'lian'an'ying 红莲暗影
'hong'pi 红毗
'hu'dun 护盾
'hua'ban 滑板
'huan'dan'su'du 换弹速度
'huang'guan 皇冠
'hui'fu 恢复
'hui'gu'niang 灰姑娘
'huo'long 火龙
'ji'ban'suo'lian 羁绊锁链
'ji'er'ti 吉尔提
'ji'le'jing'tu 极乐净土
'ji'li 基里
'ji'luo 吉洛
'ji'luo'ting 吉萝婷
'ji'luo'ting'han'dong'sha'shou 吉萝婷寒冬杀手
'ji'ye 姬野
'jue'mu 掘墓
'kan'xi'tao'sheng'nv'wang 坎西逃生女王
'ke'ke 可可
'ke'la'wu 克拉乌
'ke'lao'si'te 克劳斯特
'ke'lei'yi 克雷伊
'la'mu 拉姆
'la'pi 拉毗
'la'pi'xiao'hong'mao 拉毗小红帽
'la'pu'la'si 拉普拉斯
'lai'ang'na 莱昂纳
'lai'yi 莱伊
'lan'se'hai'yang 蓝色海洋
'lang'man'de'nv'pu 浪漫的女仆
'lao'mai 老麦
'lao'nai'nai 老奶奶
'lao'shi 老师
'lei'mu 雷姆
'li'ta 丽塔
'ling'jian 零件
'lu'de'mi'la 鲁德米拉
'lu'de'mi'la'dong'ri'zhi'zhu 鲁德米拉冬日之主
'lu'fei 露菲
'lu'fei'dong'ri'gou'wu'kuang 露菲冬日购物狂
'lu'ji 露姬
'lu'ma'ni 鲁玛妮
'luo'shan'na 罗珊娜
'luo'shan'na'gao'ya'hai'yang 罗珊娜高雅海洋
'ma'hua'teng'nv'er 马化腾女儿
'ma'lv'qia'na 玛律恰那
'ma'na 玛娜
'ma'qi'ma 玛奇玛
'ma'si'te'lang'man'de'nv'pu 马斯特浪漫的女仆
'mai'si'wei'er 麦斯威尔
'mei'deng 梅登
'mei'deng'bing'mei'gui 梅登冰玫瑰
'mei'li 梅里
'mei'li 美里
'mei'li'hai'wan'nv'shen 梅里海湾女神
'mi'er'ke 米尔克
'mi'ha'la 米哈拉
'mi'ha'la'ji'ban'suo'lian 米哈拉羁绊锁链
'mi'ka 米卡
'mi'ka'xue'di'huo'ban 米卡雪地伙伴
'mi'lan'da 米兰达
'mi'xi'li'si 米西利斯
'ming'ri'xiang 明日香
'ming'zhong'lv 命中率
'mo'li 莫莉
'mo'ni'shi 模拟室
'mu'dan 牡丹
'na'jia 娜嘉
'ni'en 尼恩
'ni'en'lan'se'hai'yang 尼恩蓝色海洋
'ni'fu 尼夫
'ni'ji 妮姬
'ni'luo 尼罗
'ni'xi'li'si'ta 尼希利斯塔
'nuo'wei'er 诺薇儿
'nuo'ya 诺雅
'nuo'ya'er 诺亚尔
'nuo'yi'si 诺伊斯
'nv'pu'an'ke 女仆安克
'nv'pu'chu'yin 女仆初音
'nv'pu'ma'si'te 女仆马斯特
'nv'pu'shuang'zi 女仆双子
'nv'wang 女王
'pa'si'ka 帕斯卡
'pa'wa 帕瓦
'pai'qian 派遣
'pan'tuo'mu 潘托姆
'pei'po 佩珀
'pu'li'wa'di 普丽瓦蒂
'pu'li'wa'di'bu'you'shan'de'nv'pu 普丽瓦蒂不友善的女仆
'pu'lin'ma 普琳玛
'qi'e'mei 企鹅妹
'qi'ji'xian'nv 奇迹仙女
'ran'shao 燃烧
'sang'di 桑迪
'sha'shou'qi'zi 杀手妻子
'shan'liang'tu'nv'lang 闪亮兔女郎
'shen'fa 神罚
'sheng'an 圣安
'sheng'dan'lu'fei 圣诞露菲
'sheng'li'nv'shen 胜利女神
'sheng'lu 圣露
'shu'ge 舒格
'shui'a 水阿
'shui'hai'lun 水海伦
'shui'kan'xi 水坎西
'shui'lian 睡莲
'shui'luo 水罗
'shui'mei 水梅
'shui'ying 水樱
'suo'da 索达
'suo'da'shan'liang'tu'nv'lang 索达闪亮兔女郎
'suo'da'tu 索达兔
'suo'la 索拉
'suo'lin 索林
'tai'te'la 泰特拉
'tai'yang 太阳
'tao'le'si 桃乐丝
'tao'sheng'nv'wang 逃生女王
'tao'zi 桃子
'te'lei'na 特蕾娜
'te'luo'ni 特罗尼
'ti'li'hui'fu'liang 体力恢复量
'tian'zhen'de'nv'pu 天真的女仆
'tiao'xin 挑衅
'tie'jia 铁甲
'tie'jiang 铁匠
'tu'ai 兔爱
'tu'mu'shuang'xiong 土木双雄
'tuo'bi 托比
'wo'lun'mu 沃纶姆
'wu'di 无敌
'xi'ge'na 西格娜
'xia'ri'mei'li 夏日梅里
'xia'ri'ying'hua 夏日樱花
'xia'ri'zhan'fang 夏日绽放
'xian'jing'tu'nv'lang 仙境兔女郎
'xiao'bai'xue 小白雪
'xiao'cao 嚣嘈
'xiao'hong'mao 小红帽
'xiao'mei'ren'yu 小美人鱼
'xiao'ti'qin 小提琴
'xu'li'shang'hai 蓄力伤害
'xu'li'su'du 蓄力速度
'xue'di'huo'ban 雪地伙伴
'yan'ti'ti'li'hui'fu 掩体体力恢复
'yi'fu 伊芙
'yi'lai'ge 伊莱格
'yi'qi'li 一期丽
'yi'qi'xiang 一期香
'yi'sha'bei'er 伊莎贝尔
'yin'hua 银华
'ying'hua 樱花
'ying'hua'xia'ri'zhan'fang 樱花夏日绽放
'ying'xiong 英雄
'yong'zhe'zhong'er'bing 勇者中二病
'yong'zhuang'mei'li 泳装梅里
'yong'zhuang'ying'hua 泳装樱花
'you'er'xia 尤尔夏
'you'li'ya 尤莉亚
'you'ni 尤妮
'zhen'cang'pin 珍藏品
'zhen'li 真理
'zhen'shi'shang'hai 真实伤害
'zhong'er 中二
'zhong'er'bing 中二病
'zi'dan'bu'chong 子弹补充
'zu'dang'bu'wei 阻挡部位
'zui'da'dan'yao'shu 最大弹药数
'zui'da'ti'li 最大体力
'zui'da'zhuang'dan'su 最大装弹速
