'a'xiu'luo'deng 阿修罗等
'du'jue'pu'ti 独觉菩提
'duan'zhu'fan'nao 断诸烦恼
'duan'zhu'yi'huo 断诸疑惑
'duo'ren'ai'nian 多人爱念
'e'kou 恶口
'er'shi 尔时
'er'shi'yu'zhong'wu'you'zuo'zhe 而实于中无有作者
'er'xin'wu'se 而心无色
'fa'yan'cheng'zheng 发言成证
'fa'yan'zun'zhong 发言尊重
'fang'bian'zhuang'yan'gu 方便庄严故
'fei'yu'tian'deng 非余天等
'fo'shuo'ci'jing'yi 佛说此经已
'fo'zai'suo'jie'luo'long'gong 佛在娑竭罗龙宫
'fu'ci 复次
'fu'de'zi'zai 福德自在
'gong'yang 供养
'gong'yang'zhong'seng 供养众僧
'gu'ming'shan'fa 故名善法
'gu'yi'qie'fa'jie'bu'si'yi 故一切法皆不思议
'guan'cha'shan'fa 观察善法
'guan'zhe'wu'yan 观者无厌
'guan'zhuang'yan'gu 观庄严故
'guang'ming'xian'yao 光明显曜
'guo'ben'suo'qiu 过本所求
'he'deng'wei'ba 何等为八
'he'deng'wei'san 何等为三
'he'deng'wei'shi 何等为十
'he'deng'wei'si 何等为四
'he'deng'wei'wu 何等为五
'he'deng'wei'yi 何等为一
'heng'ling'shen'xin'qing'an 恒令身心轻安
'heng'sheng'zheng'jian'jing'xin'zhi'jia 恒生正见敬信之家
'heng'wei'fei'ren'zhi'suo'shou'hu 恒为非人之所守护
'heng'wu'guai'zheng 恒无乖诤
'hou'cheng'fo'shi 后成佛时
'huan'xi 欢喜
'huan'xi'gui'yi 欢喜归依
'hui'mu 卉木
'hui'zhuang'yan'gu 慧庄严故
'huo'da'huo'xiao 或大或小
'ji'de'ba'zhong'tian'suo'zan'fa 即得八种天所赞法
'ji'de'ba'zhong'xi'yue'xin'fa 即得八种喜悦心法
'ji'de'cheng'jiu'ba'zhong'jing'ye 即得成就八种净业
'ji'de'cheng'jiu'san'zhong'jue'ding 即得成就三种决定
'ji'de'cheng'jiu'shi'gong'de'fa 即得成就十功德法
'ji'de'cheng'jiu'shi'li'nao'fa 即得成就十离恼法
'ji'de'cheng'jiu'wu'zhong'zi'zai 即得成就五种自在
'ji'de'ru'lai'zhen'shi'yu 即得如来真实语
'ji'de'ru'lai'zhu'suo'shou'ji 即得如来诸所授记
'ji'de'shi'zhong'ke'bao'xin'fa 即得十种可保信法
'ji'de'si'zhong'zhi'suo'zan'fa 即得四种智所赞法
'ji'de'wu'zhong'bu'ke'huai'fa 即得五种不可坏法
'ji'fei'ai'zi 及非爱子
'ji'ran'tiao'shun 寂然调顺
'jian'fo 见佛
'jian'jie'jing'ai 见皆敬爱
'jian'xiu'shan'zhe 见修善者
'jian'zhe'wu'yan 见者无厌
'jie'bu'tang'juan 皆不唐捐
'jie'da'huan'xi 皆大欢喜
'jie'de'yuan'man 皆得圆满
'jie'gong'jing'yang 皆共敬养
'jie'xi'duan'zheng 皆悉端正
'jie'yi'ci'fa'yi'wei'gen'ben'er'de'cheng'jiu 皆依此法以为根本而得成就
'jie'yi'da'di'er'de'an'zhu 皆依大地而得安住
'jie'you'zi'xin'zhong'zhong'xiang'nian 皆由自心种种想念
'jin'da'hai'zhong'suo'you'zhong'sheng 今大海中所有众生
'jing'jin'zhuang'yan'gu 精进庄严故
'jing'qin'fei'xie 精勤匪懈
'jing'yang 敬养
'ju'da'wei'li 具大威力
'ju'luo 聚落
'ju'yao'yan'zhi 举要言之
'ju'zhong'xiang'hao 具众相好
'ju'zu'ru'lai'fan'yin'sheng'xiang 具足如来梵音声相
'juan'shu'he'mu 眷属和睦
'jue'zhi'zhuang'yan'gu 觉支庄严故
'kou'chang'qing'jing 口常清净
'kuai'le 快乐
'li'an'le 力安乐
'li'bu'yu'qu'er'xing'shi'gu 离不与取而行施故
'li'cu'e'yu'er'xing'shi'gu 离粗恶语而行施故
'li'fei'fan'xing'er'xing'shi'gu 离非梵行而行施故
'li'fen'nu'xin'er'xing'shi'gu 离忿怒心而行施故
'li'li'jian'yu'er'xing'shi'gu 离离间语而行施故
'li'tan'qiu'xin'er'xing'shi'gu 离贪求心而行施故
'li'wu'yi'yu'er'xing'shi'gu 离无义语而行施故
'li'xie'dao'xin'er'xing'shi'gu 离邪倒心而行施故
'li'xu'kuang'yu'er'xing'shi'gu 离虚诳语而行施故
'li'zhong'hui'bang 离众毁谤
'li'zhuang'yan'gu 力庄严故
'liang'she 两舌
'ling'zhu'shan'fa'nian'nian'zeng'zhang 令诸善法念念增长
'long'ba'bu'zhong'deng'da'wei'shi'zhe 龙八部众等大威势者
'long'wang 龙王
'man'zu'da'yuan 满足大愿
'mi'bu'you'xin'zao'shan'bu'shan'shen'ye 靡不由心造善不善身业
'miao'se'yan'jing 妙色严净
'mie'chu'yuan'jie 灭除怨结
'min'zhu'zhong'sheng 悯诸众生
'ming'zhong'sheng'tian 命终生天
'mo'bu'mu'xuan 莫不目眩
'mu'ji'qi'zi 母及妻子
'nai'zhi'neng'ling'shi'li 乃至能令十力
'neng'duan'yi'qie'fen'bie'wang'jian 能断一切分别妄见
'neng'duan'yi'qie'zhu'e'dao'ku 能断一切诸恶道苦
'neng'li'sha'hai'er'xing'shi'gu 能离杀害而行施故
'neng'po'mo'yuan 能破魔怨
'neng'ru'shi'zhi'zhu'fa'zi'xing 能如实知诸法自性
'neng'shan'fang'bian 能善方便
'neng'sheng'nian 能生念
'neng'sheng'yi'qie'fo'fa'yi'li 能生一切佛法义利
'nian'chu'zhuang'yan'gu 念处庄严故
'ning'yun'shen'ming 宁殒身命
'pi'ru'yi'qie'cheng'yi 譬如一切城邑
'qi'jia'zhi'shun 其家直顺
'qi'mo'neng'qin 妻莫能侵
'qi'you'zhan'yang'ru'lai'shen'zhe 其有瞻仰如来身者
'qi'yu 绮语
'qin'jue'kuai'le 寝觉快乐
'qing'an 轻安
'ren'bu'qi'fu 人不欺负
'ren'jie'jing'shou 人皆敬受
'ren'ru'zhuang'yan'gu 忍辱庄严故
'ren'tian'feng'xing 人天奉行
'ren'tian'jing'ai 人天敬爱
'rou'he'zhi'zhi'xin 柔和质直心
'ru'dang'yu'ci'zheng'jian'bu'dong 汝当于此正见不动
'ru'fo'fa'cang 入佛法藏
'ru'guan'fo'shen 汝观佛身
'ru'jian'ci'hui'ji'da'hai'zhong 汝见此会及大海中
'ru'jin'dang'ying'ru'shi'xiu'xue 汝今当应如是修学
'ru'qi'shi'yuan 如其誓愿
'ru'shi'da'wen 如实答问
'ru'shi'wo'wen 如是我闻
'ru'shi'yi'qie 如是一切
'ru'you'guan'ci'zhu'da'pu'sa 汝又观此诸大菩萨
'ruo'li'chen'hui 若离瞋恚
'ruo'li'e'kou 若离恶口
'ruo'li'liang'she 若离两舌
'ruo'li'qi'yu 若离绮语
'ruo'li'sha'sheng 若离杀生
'ruo'li'tan'yu 若离贪欲
'ruo'li'tou'dao 若离偷盗
'ruo'li'wang'yu 若离妄语
'ruo'li'xie'jian 若离邪见
'ruo'li'xie'xing 若离邪行
'ruo'neng'hui'xiang'a'nou'duo'luo'san'miao'san'pu'ti'zhe 若能回向阿耨多罗三藐三菩提者
'ruo'you'pu'sa'yi'ci'shan'ye 若有菩萨依此善业
'san'jie'te'zun 三界特尊
'san'wan'er'qian'pu'sa'mo'he'sa'ju 三万二千菩萨摩诃萨俱
'san'ye'qing'jing 三业清净
'san'ye'zi'zai 三业自在
'shan'fa'yuan'man 善法圆满
'shan'ming'liu'bu 善名流布
'shan'neng'xiu'xi'si'nian'chu'guan 善能修习四念处观
'she'chi'zheng'fa 摄持正法
'she'wu'liang'yi'zi'zai'fan'wang 设无量亿自在梵王
'she'zhu'e'ye 舍诸恶业
'she'zhuang'yan'gu 舍庄严故
'shen'chang'wu'bing 身常无病
'shen'xiang'duan'yan 身相端严
'shen'xin'jian'gu 深信坚固
'shen'xin'yin'guo 深信因果
'shen'zu'zhuang'yan'gu 神足庄严故
'sheng'wen'pu'ti 声闻菩提
'shi'ba'bu'gong 十八不共
'shi'fang'zan'mei 十方赞美
'shi'gu'ru'deng'yi'de'ren'tian'zun'jing 是故汝等亦得人天尊敬
'shi'gu'ru'deng'ying'qin'xiu'xue 是故汝等应勤修学
'shi'gu'sui'ye'ge'zi'shou'bao 是故随业各自受报
'shi'ji'neng'ling'zhu'e'yong'duan 是即能令诸恶永断
'shi'suo'cheng'tan 世所称叹
'shi'wei'ba 是为八
'shi'wei'da'shi'xiu'pu'sa'dao'shi 是为大士修菩萨道时
'shi'wei'san 是为三
'shi'wei'shi 是为十
'shi'wei'si 是为四
'shi'wei'wu 是为五
'shi'zun'fu'gao'long'wang'yan 世尊复告龙王言
'shi'zun'gao'long'wang'yan 世尊告龙王言
'shou'ming'chang'yuan 寿命长远
'shun'ben'ye'gu 顺本业故
'si'she'zhuang'yan'gu 四摄庄严故
'si'wei 思惟
'su'de'cheng'man 速得成满
'su'sheng'fan'shi 速生梵世
'su'zheng'yi'qie'fo'fa 速证一切佛法
'su'zi'cheng'jiu'wu'ai'xin'zhi 速自成就无碍心智
'sui'ge'sui'ye 虽各随业
'sui'xin'suo'yu 随心所欲
'suo'huo'da'li'ru'shi 所获大利如是
'suo'huo'zhi'wu 所获之物
'suo'jie'luo'long'wang'ji'zhu'da'zhong 娑竭罗龙王及诸大众
'suo'xian'bu'tong 所现不同
'suo'xiu'jian'gu'gu 所修坚固故
'suo'zuo'bi'guo 所作必果
'tan'yu 贪欲
'tian'ren 天人
'tian'yi'zhi'er'li 天依之而立
'tong'yi'zhi'le 同一志乐
'tou'dao 偷盗
'wang'wei'zi'zai 王位自在
'wang'yu 妄语
'wei'de'zui'sheng 威德最胜
'wei'gui'yi'fo 唯归依佛
'wei'neng'yong'li'sha'sheng 谓能永离杀生
'wei'ren'tian'shen 谓人天身
'wei'wu'wei'le 为无为乐
'wei'yu'zhou'ye 谓于昼夜
'wei'zhu'shi'jian'zhi'suo'xin'fu 为诸世间之所信伏
'wen'fa 闻法
'wu'ai'hui'xin 无爱恚心
'wu'chen'hui'xin 无瞋恚心
'wu'e'dao'bu 无恶道怖
'wu'fu'duo'zai'duan 勿复堕在断
'wu'gen'zhuang'yan'gu 五根庄严故
'wu'jie'bei'gu 物皆备故
'wu'liang'fu'hui 无量福慧
'wu'neng'hai'gu 无能害故
'wu'neng'huai'zhe 无能坏者
'wu'neng'po'gu 无能破故
'wu'neng'qin'duo 无能侵夺
'wu'neng'zhi'fu 无能制伏
'wu'shang'pu'ti 无上菩提
'wu'sun'nao'xin 无损恼心
'wu'wei 无畏
'wu'wei'ju'zhe 无违拒者
'wu'wo'wo'suo 无我我所
'wu'you'neng'yi'yu'xin'shi'zhe 无有能以欲心视者
'wu'you'xu'wang 无有虚妄
'wu'zheng'song'xin 无诤讼心
'xi'bu'fu'xian 悉不复现
'xi'neng'bei'ji'zhu'fo'fa'zang 悉能备集诸佛法藏
'xi'neng'di'chu'yi'qie'jie'shi 悉能涤除一切结使
'xi'neng'duan'chu'yi'qie'bu'shan'fa 悉能断除一切不善法
'xi'yi'hui'she 悉以慧舍
'xi'zhuang'yan'gu 喜庄严故
'xian'gong'yi'ci'shi'shan'da'di'er'de'cheng'jiu 咸共依此十善大地而得成就
'xie'jian 邪见
'xie'xing 邪行
'xin'chang'huan'xi 心常欢喜
'xin'jie'jian'gu 信解坚固
'xin'shou'feng'xing 信受奉行
'xin'wu'xian'ji 心无嫌嫉
'xing'se'cu'bi 形色粗鄙
'xing'se'zhong'lei'ge'bie'bu'ye 形色种类各别不耶
'xing'shi'shan'dao 行十善道
'xing'shi'shan'ye 行十善业
'xing'yu'sheng'dao 行于圣道
'xiu'xi'shan'ye 修习善业
'yan'bi'qi'li 言必契理
'yan'bu'guai'du 言不乖度
'yan'bu'xu'she 言不虚设
'yan'ci'mei'miao 言词美妙
'yan'jie'li'yi 言皆利益
'yan'jie'xin'shou 言皆信受
'yan'jin'ai'yue 言尽爱乐
'yan'ke'cheng'ling 言可承领
'yan'shan'fa'zhe 言善法者
'yan'wu'ke'ji 言无可讥
'yan'wu'wu'shi 言无误失
'yan'ze'xin'yong 言则信用
'yi'he'ren'gu 以和忍故
'yi'jie'yi'di'er'de'sheng'zhang 亦皆依地而得生长
'yi'jie'zhuang'yan'gu 以戒庄严故
'yi'ling'zhong'sheng'le'da'yin'guo 亦令众生了达因果
'yi'qie'fo'fa 一切佛法
'yi'qie'jie'you'xiu'ji'shan'ye'fu'de'er'sheng 一切皆由修集善业福德而生
'yi'qie'ren 一切人
'yi'qie'sheng'wen 一切声闻
'yi'qie'shi'jian 一切世间
'yi'qie'suo'you 一切所有
'yi'qie'yao'cao 一切药草
'yi'qie'yuan'zei'bu'neng'duo'gu 一切怨贼不能夺故
'yi'qie'zhong'hui 一切众会
'yi'qie'zhong'sheng'xin'xiang'yi'gu 一切众生心想异故
'yi'shi 一时
'yi'shi'suo'sheng'yun'chu'jie'deng 以是所生蕴处界等
'yi'shi'zhuang'yan 以施庄严
'yi'ye'suo'zhi 意业所致
'yi'yin'shan'ye'fu'de'suo'sheng 亦因善业福德所生
'yi'zhe 一者
'yi'zhu'bu'shan'ye 意诸不善业
'ying'xiu'shan'ye 应修善业
'yong'duan'yi'qie'chen'hui'xi'qi 永断一切瞋恚习气
'yong'li'xie'dao 永离邪道
'yong'li'xuan'diao 永离喧掉
'yong'li'yi'qie'ji'xiong'yi'wang 永离一切吉凶疑网
'you'bo'hua'xiang 优钵花香
'you'shi'gu'you'zhu'qu'lun'zhuan 由是故有诸趣轮转
'you'yu'xi'shi'bu'qian'ji'gu 由于昔时不悭嫉故
'you'zhu'tian 又诸天
'yu'ba'qian'da'bi'qiu'zhong 与八千大比丘众
'yu'shun'wei'jing 於顺违境
'yu'xiu'dao'shi 于修道时
'yu'ye 语业
'yu'zhu'fu'tian 于诸福田
'yu'zhu'zhong'sheng'bu'qi'nao'hai 于诸众生不起恼害
'yu'zhu'zhong'sheng'pu'shi'wu'wei 于诸众生普施无畏
'zao'ye'yi'yi 造业亦异
'zhen'qi'miao'wu'jie'feng'xian'gu 珍奇妙物皆奉献故
'zhen'shan'deng'lv 真善等侣
'zheng'dao'zhuang'yan'gu 正道庄严故
'zheng'qin'zhuang'yan'gu 正勤庄严故
'zhi'hui'shu'sheng 智慧殊胜
'zhi'xin'zheng'jian 直心正见
'zhi'zhe'zhi'yi 智者知已
'zhi'zhuang'yan'gu 止庄严故
'zhong'bu'zuo'e 终不作恶
'zhong'gong'zun'jing 众共尊敬
'zhong'yuan'jin'mie 众怨尽灭
'zhong'yuan'zi'jie 众怨自解
'zhu'fa'ji'qi 诸法集起
'zhu'gen'ju'zu'gu 诸根具足故
'zhu'gen'tiao'shun 诸根调顺
'zhu'gen'yan'hao 诸根严好
'zhu'mo'wai'dao'bu'neng'ju'huai 诸魔外道不能沮坏
'zhu'pu'sa'xing 诸菩萨行
'zhu'wu'ai'jian 住无碍见
'zhu'xiang'zhuang'yan 诸相庄严
'zhuan'zhuan'zeng'sheng 转转增胜
'zi'cai'ying'ji 资财盈积
'zi'xing'ru'huan 自性如幻
'zui'sheng'wu'bi 最胜无比
'zuo'shen 作身
