'a'shi'ju'sha'an'ju'li'he 阿湿矩沙鞍具礼盒
'ni'wei'de'za'sui'mian 腻味的杂碎面
'nong'jia'xiao'chao'rou 农家小炒肉
'pao'ding'cai'liao 庖丁材料
'peng'ren'cai'liao 烹饪材料
'peng'sha 硼砂
'pi'dan'shou'rou'zhou 皮蛋瘦肉粥
'pi'ge 皮革
'pu'sha'mo'shi 瀑沙磨石
'pu'sha'rong'ding 瀑沙熔锭
'qi'cai'xian 七彩线
'qi'lin'sha 泣麟砂
'qi'wu'ling 器物令
'qian'ding 铅锭
'qian'li'xiang 千里香
'qian'xin'kuang 铅锌矿
'qing'qi 清漆
'qing'tong'bao'xiang 青铜宝箱
'qing'tong'ding 青铜锭
'qing'tong'yao'shi 青铜钥匙
'qing'zheng'lu'yu 清蒸鲈鱼
'ren'shen 人参
'san'ji'wu'cai'shi 叁级五彩石
'san'xian'tang 三鲜汤
'san'xian'zhou 三鲜粥
'shan'he'yan 山河宴
'shan'hu 珊瑚
'shang'pin'cha'bing'dui 上品茶饼兑
'shang'pin'chang'hen'san 上品长恨散
'shang'pin'da'li'wan 上品大力丸
'shang'pin'huo'qi'san 上品活气散
'shang'pin'jian'ti'wan 上品健体丸
'shang'pin'jing'xin'wan 上品静心丸
'shang'pin'ju'hun'dan 上品聚魂丹
'shang'pin'kang'long'san 上品亢龙散
'shang'pin'ning'shen'san 上品凝神散
'shang'pin'po'hui'san 上品破秽散
'shang'pin'qing'shen'dan 上品轻身丹
'shang'pin'wan'ling'dan 上品万灵丹
'shang'pin'yi'qi'san 上品益气散
'shang'pin'yu'li'san 上品玉璃散
'shang'pin'zhan'feng'san 上品展凤散
'shao'yao 芍药
'shen'nong'cai'liao 神农材料
'sheng'tie'ding 生铁锭
'shi'wai'peng'lai 世外蓬莱
'shu'ran'bu 蜀染布
'shu'tie'ding 熟铁锭
'shu'wei'hong'bei'yan 蜀味烘焙宴
'shui'jing'fu'rong'yan 水晶芙蓉宴
'shui'zhu'rou'pian 水煮肉片
'si'ji'wu'cai'shi 肆级五彩石
'su'guan'he'ding 素冠荷鼎
'su'yin'bao'xiang 素银宝箱
'su'yin'yao'shi 素银钥匙
'suan'cai'yu 酸菜鱼
'sui'rou 碎肉
'ta'yan'an'ju'li'he 踏炎鞍具礼盒
'ta'yan'wu'zhui 踏炎乌骓
'tai'hou'bing 太后饼
'te'shu'cai'liao 特殊材料
'tie'kuang 铁矿
'tong'kuang 铜矿
'tuan'yuan'yan 团圆宴
'wei'feng'dan 维峰丹
'wu'cai'shi 五彩石
'wu'ji'wu'cai'shi 伍级五彩石
'wu'se'shi 五色石
'wu'wei'zi 五味子
'wu'xing'shi 五行石
'wu'yin'ci 乌银刺
'xi'chen'yan 洗尘宴
'xi'ding 锡锭
'xi'hui'su'nong 曦晖素浓
'xi'hui'su'zhen 曦晖素臻
'xi'kuang 锡矿
'xi'zhi'bao'xiang 锡制宝箱
'xi'zhi'yao'shi 锡制钥匙
'xia'ke'yang'cheng 侠客养成
'xian'gu'zhou 咸骨粥
'xian'liao 馅料
'xian'rou'bao'zi 鲜肉包子
'xiao'chao'qing'cai 小炒青菜
'xiong'di'yan 兄弟宴
'xu'bo'mo'shi 絮泊磨石
'xu'bo'rong'ding 絮泊熔锭
'xuan'huang'sha 玄黄砂
'xun'shou'mi'yu'jian 驯兽密语笺
'ya'qing'su'nong 鸦青素浓
'ya'qing'su'zhen 鸦青素臻
'yan'jia'yang 阎家样
'yao'bu'dong'de'ti'jin 咬不动的蹄筋
'yao'gao 药膏
'yao'shi 钥匙
'yao'wan 药丸
'yao'yin 药引
'yi'ji'wu'cai'shi 壹级五彩石
'yi'shu'cai'liao 医术材料
'yin'kuang 银矿
'yin'lin 银鳞
'yin'si'duan 银丝缎
'ying'ke'yan 迎客宴
'you'zha'hua'sheng'mi 油炸花生米
'yu'di'shui'jia'ting'luo'mei 玉笛谁家听落梅
'yu'jiao 鱼胶
'yu'pian'sha'guo'zhou 鱼片砂锅粥
'yu'rou 鱼肉
'yu'tou'dou'fu'tang 鱼头豆腐汤
'yu'xiang'rou'si 鱼香肉丝
'yuan'yang'hui'zhen'yan 鸳鸯烩珍宴
'za'jin'yu'qiu'zhou 杂锦鱼球粥
'za'sui 杂碎
'za'sui'mian 杂碎面
'za'sui'tang 杂碎汤
'za'wei'yan 杂味宴
'zha'jiang'mian 炸酱面
'zha'yu'gan 炸鱼干
'zhen'zheng'de'hong'men'yan 真正的鸿门宴
'zhong'pin'chang'hen'san 中品长恨散
'zhong'pin'da'li'wan 中品大力丸
'zhong'pin'huo'qi'san 中品活气散
'zhong'pin'jian'ti'wan 中品健体丸
'zhong'pin'jing'xin'wan 中品静心丸
'zhong'pin'ju'hun'dan 中品聚魂丹
'zhong'pin'kang'long'san 中品亢龙散
'zhong'pin'ning'shen'san 中品凝神散
'zhong'pin'po'hui'san 中品破秽散
'zhong'pin'qing'shen'dan 中品轻身丹
'zhong'pin'wan'ling'dan 中品万灵丹
'zhong'pin'yi'qi'san 中品益气散
'zhong'pin'yu'li'san 中品玉璃散
'zhong'pin'zhan'feng'san 中品展凤散
'zhu'bei'mu 珠贝母
'zhu'zao'cai'liao 铸造材料
'zhu'zi 竹子
'zhui'xiao'mo'shi 坠宵磨石
'zhui'xiao'rong'ding 坠宵熔锭
'zi'jiang'cai'liao 梓匠材料
'zi'tan 紫檀
