'ai'gan 嗌干
'bai'bing'shi'sheng 百病始生
'bai'bing'shi'sheng'di'liu'shi'liu 百病始生第六十六
'bai'bing'suo'qi 百病所起
'bai'bing'zhi'chang'ye 百病之长也
'bai'bing'zhi'qi 百病之起
'bai'bing'zhi'sheng 百病之生
'bai'bing'zhi'shi'ye 百病之始也
'bai'ci'zhe 败疵者
'bai'dang'fei'xin 白当肺辛
'bai'fan 白矾
'bai'he 百合
'bai'he'ban'xia'tang 百合半夏汤
'bai'he'di'huang'tang 百合地黄汤
'bai'he'hua'shi'san 百合滑石散
'bai'he'ji'zi'tang 百合鸡子汤
'bai'he'qian'hu'tang 百合前胡汤
'bai'he'xi'fang 百合洗方
'bai'he'xie'xin'tang 百合泻心汤
'bai'he'zhi'mu'tang 百合知母汤
'bai'hu'jia'can'tang 白虎加参汤
'bai'hu'jia'gui'zhi'tang 白虎加桂枝汤
'bai'hu'tang 白虎汤
'bai'jiang'cao 败酱草
'bai'jie'jie'zong 百节皆纵
'bai'jie'jin'zong 百节尽纵
'bai'ju'hua 白菊花
'bai'lei'fa'si 白垒发死
'bai'lian 白蔹
'bai'lu'bu'xia 白露不下
'bai'lu'jiang 白露降
'bai'lu'zao'jiang 白露早降
'bai'mai'zhi'zhi'ye 白脉之至也
'bai'nai'bu'fu 白乃不复
'bai'nai'si'yi 白乃死矣
'bai'nian'bu'shuai 百年不衰
'bai'qi 白起
'bai'qi'cheng'zhi 白气承之
'bai'qi'nai'qu 白气乃屈
'bai'qian 白前
'bai'ren'chen'yu'zhong'ye'zhe 白刃陈于中野者
'bai'ri'er'yi 百日而已
'bai'ri'jin'yi 百日尽已
'bai'ri'si 百日死
'bai'ri'yi 百日已
'bai'ru'ku'gu'zhe'si 白如枯骨者死
'bai'ru'shi'gao'zhe'sheng 白如豕膏者生
'bai'san'shi'wu'ri 百三十五日
'bai'se'bo'pi'ruo'rou'zhe 白色薄皮弱肉者
'bai'se'hei'se'jian 白色黑色见
'bai'se'xiao'li'zhe 白色小理者
'bai'se'yi'xin 白色宜辛
'bai'shi'ying 白石英
'bai'shi'zhi 白石脂
'bai'sui 百岁
'bai'sui'nai'de'zhong 百岁乃得终
'bai'tong'tang 白通汤
'bai'tou'weng 白头翁
'bai'tou'weng'jia'gan'cao'e'jiao'tang 白头翁加甘草阿胶汤
'bai'tou'weng'tang 白头翁汤
'bai'wei 白薇
'bai'wei'fei 白为肺
'bai'wei'han 白为寒
'bai'xing'ren'min'jie'yu'shun'qi'zhi'ye 百姓人民皆欲顺其志也
'bai'xing'wen'zhi 百姓闻之
'bai'xing'zhi'xue'qi 百姓之血气
'bai'yan'chi'mai'fa'yu'yang'ye 白眼赤脉法于阳也
'bai'ye 柏叶
'bai'ye'tang 柏叶汤
'bai'yu'hei'xiang'qu'yuan'yi 白与黑相去远矣
'bai'yu'ru'e'yu 白欲如鹅羽
'bai'zai'fei 白在肺
'bai'zhe 白者
'bai'zhu 白术
'bai'zhu'san 白术散
'bai'zui 白酨
'ban'biao'li 半表里
'ban'ci'zhe 半刺者
'ban'gu 班固
'ban'ri'si 半日死
'ban'ri'ze'qi'shuai 半日则气衰
'ban'ri'zhi'du'ye 半日之度也
'ban'si'ban'sheng'ye 半死半生也
'ban'xia 半夏
'ban'xia'gan'jiang'san 半夏干姜散
'ban'xia'hou'po'tang 半夏厚朴汤
'ban'xia'ma'huang'wan 半夏麻黄丸
'ban'xia'san'ji'tang 半夏散及汤
'ban'xia'xie'xin'tang 半夏泻心汤
'bang'nei'si 傍内四
'bang'qu'zhi 傍取之
'bang'ru'er 傍入二
'bang'ru'er'fu'zhi 傍入而浮之
'bang'si'chu 傍四处
'bang'zhen'ci'zhe 傍针刺者
'bang'zhen'zhi'ye 傍针之也
'bao'bi'nei'ni 暴痹内逆
'bao'bi'zhe 胞痹者
'bao'chun'qing'yan 薄唇轻言
'bao'ci'zhe 报刺者
'bao'de'yi'de 报德以德
'bao'fan'er'fu'jue 暴烦而复厥
'bao'guo'bu'sheng 暴过不生
'bao'hua'yi'hua 报化以化
'bao'jue'er'long'pian'sai'bi'bu'tong 暴厥而聋偏塞闭不通
'bao'jue'zhe'bu'zhi'yu'ren'yan 暴厥者不知与人言
'bao'le'bao'ku 暴乐暴苦
'bao'lie'qi'zheng 暴烈其政
'bao'ling'yi'ling 报令以令
'bao'luan 暴挛
'bao'luo'jue 胞络绝
'bao'luo'zhe 包络者
'bao'luo'zhe 胞络者
'bao'mai'bi'ye 胞脉闭也
'bao'mai'zhe'shu'xin 胞脉者属心
'bao'ming'quan'xing'lun 宝命全形论
'bao'ming'quan'xing'lun'pian'di'er'shi'wu 宝命全形论篇第二十五
'bao'nu'shang'yin 暴怒伤阴
'bao'nue'wu'de 暴疟无德
'bao'pu 暴仆
'bao'qi'bu'zu 胞气不足
'bao'qi'qu'fu'er'wei'fa'ye 报气屈伏而未发也
'bao'qi'xiang'lei 暴气象雷
'bao're'xiao'shuo 暴热消烁
'bao're'zhi'tu'nai'shu 暴热至土乃暑
'bao'ru'tian'jian'zhi'dai'shi'ye 暴如天间之待时也
'bao'shang'qi'er'chuan 暴上气而喘
'bao'shi'ze'an 饱食则安
'bao'shi'ze'tong 饱食则痛
'bao'shi'ze'yi'da 饱食则益大
'bao'si 暴死
'bao'si'zhi'zhong 暴四肢肿
'bao'tong 暴痛
'bao'wen'ci'zhe 豹文刺者
'bao'xi'qi'meng 暴袭气蒙
'bao'xi'shang'yang 暴喜伤阳
'bao'yan'nan 暴言难
'bao'yi're'yu'pang'guang 胞移热于膀胱
'bao'yin 暴喑
'bao'yin'qi'bian 暴瘖气鞭
'bao'yong'jin'ru 暴痈筋繻
'bao'yu'shu'qi 暴雨数起
'bao'ze'ji'bu'jian 饱则积不见
'bao'ze'shan'bian 饱则善变
'bao'zhang 暴胀
'bao'zhe'duo'zhi 暴者夺之
'bao'zhe'wei'bing'shen 暴者为病甚
'bao'zheng'yi'zheng 报政以政
'bao'zhi'luo'mai'jue'ye 胞之络脉绝也
'bao'zhu 暴注
'bao'zhu'xia'po 暴注下迫
'bei'ai'dong'zhong'ze'shang'hun 悲哀动中则伤魂
'bei'ai'qi'bing'ze'wei'qi 悲哀气并则为泣
'bei'ai'tai'shen 悲哀太甚
'bei'chang'zhi'yi 倍常之一
'bei'fa'huan'xing 被发缓形
'bei'fang'hei'se 北方黑色
'bei'fang'sheng'han 北方生寒
'bei'fang'shui'ye 北方水也
'bei'fang'zhe 北方者
'bei'feng'sheng'yu'dong 北风生于冬
'bei'fu'zhang 被服章
'bei'hua'zhi'ji 备化之纪
'bei'ji 背急
'bei'jian'fu'gui 卑贱富贵
'bei'jian'zhi'ji 卑监之纪
'bei'mao'xiong'man 背瞀胸满
'bei'qu'jian'sui 背曲肩随
'bei'san 背三
'bei'san'jie'wu'zang'zhi'bang 背三节五脏之傍
'bei'shang 悲伤
'bei'shang'bu'le 悲伤不乐
'bei'shang'ji'fei'dong 悲伤即肺动
'bei'sheng'nu 悲胜怒
'bei'shu 背腧
'bei'tong 背痛
'bei'wei'yang 背为阳
'bei'xing'yu'xia 北行于下
'bei'xiong'xie'xi'yin'yang'zuo'you'ru'ci 背胸邪系阴阳左右如此
'bei'yan'yan'ran 背延延然
'bei'ye 背也
'bei'yi'xi'kong 悲以喜恐
'bei'ying'hou'zhe 背膺厚者
'bei'yu 背俞
'bei'yu'di'wu'shi'yi 背俞第五十一
'bei'yu'er'xue 背俞二穴
'bei'yu'ge'yi 背俞各一
'bei'yu'xin'xiang'kong'er'tong 背与心相控而痛
'bei'yu'ye 背俞也
'bei'yu'zhong'bei 背俞中背
'bei'ze'fei'qi'cheng'yi 悲则肺气乘矣
'bei'ze'qi'xiao 悲则气消
'bei'ze'xin'xi'ji 悲则心系急
'bei'zhe'qu'zhi'jue'yin 悲者取之厥阴
'bei'zhe'xiong'zhong'zhi'fu 背者胸中之府
'bei'zheng'zhi'sui 北政之岁
'bei'zhong'da'shu 背中大腧
'ben'biao'bu'tong 本标不同
'ben'bing'lun 本病论
'ben'bing'lun'pian'di'qi'shi'san 本病论篇第七十三
'ben'cang 本藏
'ben'cang'di'si'shi'qi 本藏第四十七
'ben'cang'yi'shen'xing'zhi'jie 本藏以身形肢节
'ben'er'biao'zhi 本而标之
'ben'hu'di'zhe 本乎地者
'ben'hu'tian'zhe 本乎天者
'ben'jie'zhi'hou'xian'zhe'zhong'ye 本节之后陷者中也
'ben'jie'zhi'qi'mo 本节至其末
'ben'jie'zhi'qian'wai'ce'ye 本节之前外侧也
'ben'mo'wei'zhu 本末为助
'ben'mo'zhi'han'wen'zhi'xiang'shou'si'ye 本末之寒温之相守司也
'ben'qi'wei'ye 本气位也
'ben'shen 本神
'ben'shen'di'ba 本神第八
'ben'shu 本输
'ben'shu'di'er 本输第二
'ben'shu'ye 本输也
'ben'shu'zhi'da'lue 本输之大略
'ben'tun'tang 奔豚汤
'ben'xiang'fu'zhang 贲向腹胀
'ben'xiang'fu'zhang 贲响腹胀
'ben'yu'yin'yang 本于阴阳
'ben'yuan'bie'zhi 本原别之
'ben'zai'wu'wei 本在五味
'ben'zhi'bu'qi 本之不齐
'ben'zhi'yu'shen 本之于肾
'ben'zhi'zhe 本支者
'bi'an'er'zhi'zhi 必按而止之
'bi'an'qi'zhu'ke 必安其主客
'bi'bi'wu'zang 必避五脏
'bi'bie'yin'yang 必别阴阳
'bi'bu'bing'er'zu'si 必不病而卒死
'bi'bu'ke'ju 髀不可举
'bi'bu'ke'yi'hui 髀不可以回
'bi'bu'ke'yi'qu 髀不可以曲
'bi'bu'mian'yu'bing'yi 必不免于病矣
'bi'bu'mian'yu'si 必不免于死
'bi'cha'qi'xing'qi 必察其形气
'bi'cha'si'nan 必察四难
'bi'chang'qi'shen 必长其身
'bi'chi'nei'zhi 必持内之
'bi'chun'zhi'nuan 彼春之暖
'bi'ci'qi'chu 必刺其处
'bi'ci'qi'jie'shang'shen'xue'zhe 必刺其结上甚血者
'bi'cong'si'mo'shi'ye 必从四末始也
'bi'cong'wu'zhi'er'shang'yu'xi'zhe 必从五指而上于膝者
'bi'cong'zu'shi 必从足始
'bi'da'qi'jiang'ye 必达其降也
'bi'da'qi'shen'er'yuan'qi'mo 必大其身而员其末
'bi'dai'ri'guang 必待日光
'bi'dai'tian'wen 必待天温
'bi'dang'zhi'li 必当治理
'bi'de'tian'yang 必得天殃
'bi'de'yao'yang 必得夭殃
'bi'ding'qi'qi'nai'ci'zhi 必定其气乃刺之
'bi'duan'nei'zhen'wei'gu'zhi 必端内针为故止
'bi'duan'yi'zheng 必端以正
'bi'duo'qing'mai'yue'tuo'xue 臂多青脉曰脱血
'bi'er'bu'ren 痹而不仁
'bi'er'sheng'jue 痹而生厥
'bi'fa'hui'yi 必发哕噫
'bi'fu'qi'suo'zhu 必伏其所主
'bi'fu'xiao'shou'zu 髀腹小手足
'bi'gan 鼻干
'bi'gao'la 鼻槁腊
'bi'geng'qi'dao 必更其道
'bi'geng'sheng'geng'xu 必更盛更虚
'bi'gong'tu'wu'wu 俾工徒勿误
'bi'gu'kong 臂骨空
'bi'han'ying'zhi 必寒应之
'bi'he'rong'shi'zhi'yun'zai 彼何荣势之云哉
'bi'hou'qi'qi'zai'yin'fen'er'ci'zhi 必候其气在阴分而刺之
'bi'hou'qi'qi'zai'yu'yang'er'ci'zhi 必候其气在于阳而刺之
'bi'hou'ri'yue'xing'chen 必候日月星辰
'bi'hu'sai'you 闭户塞牖
'bi'hui 必毁
'bi'hui'yu'zhong 必会于终
'bi'huo'tong 痹或痛
'bi'jian 必坚
'bi'jian'ri'er'yi'qu'zhi 必间日而一取之
'bi'jiang'fu'zhi 毕将服之
'bi'jiang'wei'bai 必将为败
'bi'jiang'wei'nong 必将为脓
'bi'jin'cha'qi'jiu'hou 必谨察其九候
'bi'jin'cha'zhi 必谨察之
'bi'jin'tiao'zhi 必谨调之
'bi'ju'ci'zhi 必巨刺之
'bi'ju'zai'fei 痹聚在肺
'bi'ju'zai'gan 痹聚在肝
'bi'ju'zai'pi 痹聚在脾
'bi'ju'zai'shen 痹聚在肾
'bi'ju'zai'xin 痹聚在心
'bi'kai'qi'cou'li 必开其腠理
'bi'kong'wai'lian'xiang'shang 鼻空外廉项上
'bi'kong'zai'wai 鼻孔在外
'bi'lei'xing'ming 比类形名
'bi'ling'jian'ru'li 必令尖如厘
'bi'ling'qi'mo'ru'jian'feng 必令其末如剑锋
'bi'long 闭癃
'bi'long'ze'xie'zhi 闭癃则泻之
'bi'lun 痹论
'bi'lun'pian'di'si'shi'san 痹论篇第四十三
'bi'ming'hu'ci'li'xing'ding'qi 必明乎此立形定气
'bi'ming'liu'hua'fen'zhi 必明六化分治
'bi'ming'tian'dao'di'li 必明天道地理
'bi'ming'wei'zhi'fa 必明为之法
'bi'ming'yu'jing'sui 必明于经隧
'bi'ming'zhi'bing'zhi'ke'ci 必明知病之可刺
'bi'nei'lian'tong 臂内廉痛
'bi'qi'bu'xi'qi'bian 闭气不息七遍
'bi'qi'du'qi 避其毒气
'bi'qi'du'yao'gong'qi'zhong 必齐毒药攻其中
'bi'qi'zhu'zhi 必齐主治
'bi'qian'zhong 髀前踵
'bi'qie'er'chu 必切而出
'bi'qie'er'yan'zhi 必切而验之
'bi'qie'tiao'zhi 必且调之
'bi'qing'bi'jing 必清必净
'bi'qing'bi'jing 必清必静
'bi'qiu'zhi'fen 彼秋之忿
'bi'se 闭塞
'bi'se 鼻塞
'bi'se'bu'tong 闭塞不通
'bi'se'qi'men 闭塞其门
'bi'se'zhe 闭塞者
'bi'shen'an'qi'ben'mo 必审按其本末
'bi'shen'cha'qi'ben'mo'zhi'han'wen 必审察其本末之寒温
'bi'shen'jiu'hou 必审九候
'bi'shen'qi'mi 必审其弥
'bi'shen'qi'shi'xu 必审其实虚
'bi'shen'tiao'zhi 必审调之
'bi'shen'wen'qi'suo'shi'bing 必审问其所始病
'bi'shen'wu'zang'bian'hua'zhi'bing 必审五藏变化之病
'bi'shen'wu'zang'zhi'bing'xing 必审五脏之病形
'bi'shen'yi'liu'zhi 必深以留之
'bi'sheng'yu'feng'yu'han'shu 必生于风雨寒暑
'bi'shi'mu'xia'zhong'ye 必使目下肿也
'bi'shi'qi'jing'zhi'guo'yu'yang'zhe 必视其经之过于阳者
'bi'shu'yi'xia'zhi'xi'zhong 髀枢以下至膝中
'bi'shu'yu'zu'xia'zhe'he'ye 必数于足下者何也
'bi'shu'zhong'bang 髀枢中傍
'bi'shun'si'shi'er'shi'han'shu 必顺四时而适寒暑
'bi'si'shi'zhi'bing 比四时之病
'bi'sui'jiu'you'ke'jue'ye 闭虽久犹可决也
'bi'sui'yi'chang 鼻隧以长
'bi'tai'yin'ke'han'chu 臂太阴可汗出
'bi'tai'yin'ye 臂太阴也
'bi'tong'qi'qi 必同其气
'bi'tong'qi'shen'er'feng'qi'mo 必筩其身而锋其末
'bi'tong'qi'shen'er'yuan'qi'mo 必筩其身而员其末
'bi'tong'shi'er'jing'luo'zhi'suo'zhong'shi 必通十二经络之所终始
'bi'tong'yin'yang 必通阴阳
'bi'wai'hou'lian'tong 臂外后廉痛
'bi'wai'jie'tong 臂外皆痛
'bi'wai'lian'tong 臂外廉痛
'bi'wei'miu'ci'zhi 必为缪刺之
'bi'wen'chang'gui'hou'jian 必问尝贵后贱
'bi'wen'gui'jian 必问贵贱
'bi'wen'jiao'chou 鼻闻焦臭
'bi'wen'yin'shi'ju'chu 必问饮食居处
'bi'wu'liu'xue 必无留血
'bi'xia'nong'xue 必下脓血
'bi'xia'zhe 臂下者
'bi'xian'an'er'xun'zhi 必先按而循之
'bi'xian'an'er'zai'jiu'ying'yu'shou 必先按而在久应于手
'bi'xian'bie'qi'san'xing 必先别其三形
'bi'xian'cha'qi'jing'luo'zhi'shi'xu 必先察其经络之实虚
'bi'xian'chi 鼻先赤
'bi'xian'chuan'xing 必先传行
'bi'xian'ding'wu'zang'zhi'mai 必先定五脏之脉
'bi'xian'du'qi'xing'zhi'fei'shou 必先度其形之肥瘦
'bi'xian'jian'san'bu'jiu'hou'zhi'qi 必先见三部九候之气
'bi'xian'men'er'xun'zhi 必先扪而循之
'bi'xian'ming'zhi'er'shi'wu'ren'ze'xue'qi'zhi'suo'zai 必先明知二十五人则血气之所在
'bi'xian'ming'zhi'qi'xing'zhi'zhi'ku'le 必先明知其形志之苦乐
'bi'xian'ming'zhi'shi'er'jing'mai'zhi'ben'mo 必先明知十二经脉之本末
'bi'xian'ming'zhi'yin'yang'biao'xing'shu'suo'zai 必先明知阴阳表荥腧所在
'bi'xian'qie'xun'qi'xia'zhi'liu'jing 必先切循其下之六经
'bi'xian'qu'qi'xue'mai'er'hou'tiao'zhi 必先去其血脉而后调之
'bi'xian'ru'jie'yu'pi'fu 必先入结于皮肤
'bi'xian'she'yu'pi'mao 必先舍于皮毛
'bi'xian'sui'qi 必先岁气
'bi'xian'tiao'qi'zuo'you 必先调其左右
'bi'xian'tiao'zhi 必先调之
'bi'xian'tong'shi'er'jing'mai'zhi'suo'sheng'bing 必先通十二经脉之所生病
'bi'xian'wen'qi'bing'zhi'suo'xian'fa'zhe 必先问其病之所先发者
'bi'xian'wu'sheng 必先五胜
'bi'xian'yu'pi'mao 必先于皮毛
'bi'xian'yun'tiao'he'qi'jing 必先熨调和其经
'bi'xian'zhen'mai 必先诊脉
'bi'xian'zhi'jing'mai 必先知经脉
'bi'xian'zhi'shen 必先治神
'bi'xiao'sun'luo'zhi'ju'ye 臂小孙络之居也
'bi'xing'jue'dao'er'chu'ru 必行绝道而出入
'bi'xu'qi'zi'shuai 必须其自衰
'bi'xu'xie'yi'an'qi'zheng 避虚邪以安其正
'bi'yan'yu'jin 必验于今
'bi'yang'bi'he 必养必和
'bi'yang'ming 臂阳明
'bi'ye 臂也
'bi'ye 鼻也
'bi'yi'bi'lei 必以比类
'bi'yi'bu'ji'zhe'zhi 必以布憿着之
'bi'yi'da'qi'tou'er'rui'qi'mo 必以大其头而锐其末
'bi'yi'dao'mi 必以稻米
'bi'yi'qi'shen 必一其神
'bi'yi'qi'yun'qi 必抑其运气
'bi'yin'yu'pi'nai'de'bing'ye 必因于脾乃得禀也
'bi'yin'yu'wei'qi 必因于胃气
'bi'ying'yu'ren 必应于人
'bi'ying'yu'tian'di 必应于天地
'bi'ying'yu'zhen'ye 必应于针也
'bi'you'fa'ze 必有法则
'bi'you'fa'ze'yan 必有法则焉
'bi'you'gang'qiang 必有刚强
'bi'you'he'yu'jin 必有合于今
'bi'you'ming'fa 必有明法
'bi'you'tao'men 必有逃门
'bi'you'yan'yu'ren 必有验于人
'bi'you'yan'yu'yi 必有厌于已
'bi'you'yin'jia'er'fa'yan 必有因加而发焉
'bi'you'zhong'shi 必有终始
'bi'yu'ri'zhong 必于日中
'bi'yu'shang'gong 比于上宫
'bi'yu'shang'jiao'si'yu'cang'di 比于上角似于苍帝
'bi'yu'shang'yu 比于上羽
'bi'yu'shang'zheng 比于上征
'bi'yu'you'shou'yang'ming 比于右手阳明
'bi'yu'you'zu'shao'yang 比于右足少阳
'bi'yu'you'zu'tai'yang 比于右足太阳
'bi'yu'you'zu'yang'ming 比于右足阳明
'bi'yu'zhong'shi 毕于终始
'bi'yu'zuo'shou'tai'yang 比于左手太阳
'bi'yu'zuo'shou'yang'ming 比于左手阳明
'bi'yu'zuo'zu'tai'yang 比于左足太阳
'bi'yu'zuo'zu'yang'ming 比于左足阳明
'bi'yuan'zhe 鼻渊者
'bi'zai'xuan'yang 必在悬阳
'bi'zai'yu'gu'ze'zhong 痹在于骨则重
'bi'zan'qi'yang'huo 必赞其阳火
'bi'ze'qi'hai 闭则气还
'bi'ze're'er'men 闭则热而闷
'bi'zhang'yu'wu 必彰于物
'bi'zhe 蔽者
'bi'zhe 鼻者
'bi'zhe'de'wu'dai 避者得无殆
'bi'zhe'qi'yu'qi 必折其郁气
'bi'zheng'qi'shen'zhe 必正其神者
'bi'zhi 鼻窒
'bi'zhi'an'sheng 痹之安生
'bi'zhi'er'dao'zhi 必指而导之
'bi'zhi'gao'xia'you'chu'hu 痹之高下有处乎
'bi'zhi'qi'yuan 必知其远
'bi'zhi'ri'yang 鼻窒日疡
'bi'zhi'tian'di'yin'yang 必知天地阴阳
'bi'zhi'xing'qi'zhi'suo'zai 必知形气之所在
'bi'zhi'xing'zhi'fei'shou 必知形之肥瘦
'bi'zhi'you'shi 避之有时
'bi'zhi'zhong'shi 必知终始
'bi'zhong 臂重
'bi'zhong'bai'sui 必中百岁
'bi'zhong'du're'zhe 臂中独热者
'bi'zhong'gan'yu'han 必重感于寒
'bi'zhong'qi'jing 必中其经
'bi'zhong'qi'mai 必中其脉
'bi'zhong'qi'xue 必中气穴
'bi'zhou'luan'ji 臂肘挛急
'bi'zhu'zhong'yang'qi 鼻柱中央起
'bi'zi'cai'ye 必自裁也
'bi'zu'si 必卒死
'bian'bing'ren'nai'he 便病人奈何
'bian'cheng'min'bing 变成民病
'bian'ci'zhe 便此者
'bian'da'yi'ye 变大疫也
'bian'gu'you'shen'li'cou'wu'sui'kong 扁骨有渗理凑无髓孔
'bian'hua'bu'cang 变化不藏
'bian'hua'chu'yan 变化出焉
'bian'hua'er'chi'wei'xue 变化而赤为血
'bian'hua'nan'ji 变化难极
'bian'hua'wu'qiong 变化无穷
'bian'hua'xiang'cheng 变化相乘
'bian'hua'xiang'yi 变化相移
'bian'hua'zhi'bing'xing'he'ru 变化之病形何如
'bian'hua'zhi'fu'mu 变化之父母
'bian'hua'zhi'xiang'bo 变化之相薄
'bian'hua'zhi'you'biao 变化之由表
'bian'hua'zhi'yuan'yuan 变化之渊源
'bian'huo'luan'bing'mai'zheng'bing'zhi 辨霍乱病脉证并治
'bian'jian'yu'qi'kou 变见于气口
'bian'jue'yin'bing'mai'zheng'bing'zhi 辨厥阴病脉证并治
'bian'lie'xing'chen 辨列星辰
'bian'min'bing'ye 变民病也
'bian'qi'xiang'ni'zhe'nai'he 便其相逆者奈何
'bian'shao'yang'bing'mai'zheng'bing'zhi 辨少阳病脉证并治
'bian'shao'yin'bing'mai'zheng'bing'zhi 辨少阴病脉证并治
'bian'shen'quan'san'yang'zhi'bing 便身全三阳之病
'bian'sheng'de'wei 变生得位
'bian'shu'zeng'feng 便数憎风
'bian'sou'bu'shi 便溲不时
'bian'sou'nan 便溲难
'bian'tai'yang'bing'mai'zheng'bing'zhi'shang 辨太阳病脉证并治上
'bian'tai'yang'bing'mai'zheng'bing'zhi'xia 辨太阳病脉证并治下
'bian'tai'yang'bing'mai'zheng'bing'zhi'zhong 辨太阳病脉证并治中
'bian'tai'yin'bing'mai'zheng'bing'zhi 辨太阴病脉证并治
'bian'wei'yi'wu 变为异物
'bian'wu'jing'chang 变无经常
'bian'xie 便血
'bian'xie'yi'sheng 便血一升
'bian'yang'ming'bing'mai'zheng'bing'zhi 辨阳明病脉证并治
'bian'yi'fei'chang 变易非常
'bian'yi'zhe 变易者
