'ai'hu 哀乎
'jiu'juan 九卷
'ju'shi'hun'mi 举世昏迷
'jue'shen'yi'bi 厥身已毙
'kong'zi'yun'sheng'er'zhi'zhi'zhe'shang'xue'ze'ya'zhi 孔子云生而知之者上学则亚之
'liao'du'zang'fu 料度脏腑
'ling'de'fen'ming 令得分明
'lou'ke'zhou'xuan 漏刻周旋
'lun'yue 论曰
'mai'fen'cun'guan'chi 脉分寸关尺
'mai'fen'san'bu 脉分三部
'mai'he'yi'zhi'qi'xue'zang'fu'zhi'zhen'ye 脉何以知气血脏腑之诊也
'mai'lai'tou'xiao'ben'da'gu'yue'fu 脉来头小本大故曰复
'mai'nai'qi'xue'xian'jian 脉乃气血先见
'mai'ren'yi'zhi'an'zhi 脉人以指按之
'mai'sui'bian'hua 脉随变化
'mai'yin'yang'ju'sheng 脉阴阳俱盛
'mai'yin'yang'ju'shuai 脉阴阳俱衰
'mai'you'san'bu 脉有三部
'mai'zai'ju'tou'zhe'shen'qi'ye 脉再举头者肾气也
'meng'meng'mei'mei 蒙蒙昧昧
'ming'tang'que'ting'jin'bu'jian'cha 明堂闕庭尽不见察
'mo'neng'jue'wu 莫能觉悟
'nai'qin'qiu'gu'xun'bo'cai'zhong'fang 乃勤求古训博采众方
'nan'fang'xin'mai 南方心脉
'nan'fang'xin'mai'qi'xing'he'si 南方心脉其形何似
'pi'zhi'bu'cun'mao'jiang'an'fu'yan 皮之不存毛将安附焉
'ping'mai'bian'zheng 平脉辨证
'ping'mai'da'fa 平脉大法
'ping'mai'fa 平脉法
'qi'du'sheng'zhe'ze'mai'qiang 气独盛者则脉强
'qi'mai'hong'da'er'chang 其脉洪大而长
'qi'mai'wei'xian'ru'ruo'er'chang 其脉微弦濡弱而长
'qi'neng'tan'qi'li'zhi'zai 岂能探其理致哉
'qi'pian'shuai'zhe'ze'mai'wei 气偏衰者则脉微
'qi'si'wang'zhe 其死亡者
'qi'xing'he'si 其形何似
'qi'xue'he'zhe'ze'mai'huan 气血和者则脉缓
'qi'xue'ju'sheng 气血俱盛
'qi'xue'ju'shuai 气血俱衰
'qi'xue'luan'zhe'ze'mai'luan 气血乱者则脉乱
'qi'xue'ping'zhe'ze'mai'ping 气血平者则脉平
'qi'xue'rao'dong 气血扰动
'qi'xue'shi'zhi 气血使之
'qi'xue'tuo'zhe'ze'mai'jue 气血脱者则脉绝
'qi'xue'you'sheng'shuai 气血有盛衰
'qi'zhong'quan'hao 企踵权豪
'qin'qiu'gu'xun 勤求古训
'qin'wang'wu'zhu 钦望巫祝
'qu'shi'zhi'shi 趋世之士
'ran'chi'zhong'shi'yi'xiao'jian 然尺中时一小见
'ren'bing'wu'chang 人禀五常
'ren'bing'wu'chang'yi'you'wu'cang 人禀五常以有五藏
'ren'ying'fu'yang'san'bu'bu'can 人迎趺阳三部不参
'rong'wei'liu'xing 荣卫流行
'rong'wei'xue'qi 荣卫血气
'ru'jiu'shu'zhi'zhong'zhe'pi'qi'ye 如九菽之重者脾气也
'ru'liu'shu'zhi'zhong'zhe'xin'qi'ye 如六菽之重者心气也
'ru'san'shu'zhi'zhong'zhe'fei'qi'ye 如三菽之重者肺气也
'ru'shi'er'shu'zhi'zhong'zhe'gan'qi'ye 如十二菽之重者肝气也
'ruo'gan'yu'xie 若感于邪
'ruo'jian'sun'zhi'mai'lai'wei'nan'zhi 若见损至脉来为难治
'ruo'neng'xun'yu'suo'ji'si'guo'ban'yi 若能寻余所集思过半矣
'ruo'shi'qing'sheng 若是轻生
'san'bu'bu'tong 三部不同
'san'fen'you'er 三分有二
'san'jiao'bie'yan 三焦别焉
'shang'gu'you'shen'nong'huang'di'qi'bo'bo'gao'lei'gong'shao'yu'shao'shi'zhong'wen 上古有神农黄帝歧伯伯高雷公少俞少师仲文
'shang'han'shi'ju'qi'qi 伤寒十居其七
'shang'han'za'bing'lun 伤寒杂病论
'shang'heng'yao'zhi'mo'jiu 伤横夭之莫救
'shang'wei'tou'xiao'zhe'ze'han'chu 上微头小者则汗出
'shang'xia'guai'cuo 上下乖错
'shang'xia'yu'zhong 上下于中
'shang'yi'liao'jun'qin'zhi'ji 上以疗君亲之疾
'she'you'bu'ying 设有不应
'shen'cha'biao'li 审查表里
'shen'chen'xin'hong 肾沉心洪
'shen'ju'e'di 身居厄地
'shen'ming'xiao'mie 神明消灭
'sheng'ji'wen'bing 省疾问病
'shi'gan'mai 是肝脉
'shi'xin'mai'ye 是心脉也
'shi'yue 师曰
'shu'ke'yi'jian'bing'zhi'yuan 庶可以见病知源
'shu'shou'shou'bai 束手受败
'shu'ze're'fan 数则热烦
'shui'xia'bai'ke 水下百刻
'si'guo'ban'yi 思过半矣
'su'wen 素问
'sui'shi'dong'zuo 随时动作
'sui'wei'neng'jin'yu'zhu'bing 虽未能尽愈诸病
'sui'wei'neng'jin'yu'zhu'bing'shu'ke'yi'jian'bing'zhi'yuan 虽未能尽愈诸病庶可以见病知源
'suo'wei'kui'guan'er'yi 所谓窥管而已
'tai'guo'ke'guai 太过可怪
'tai'lu'yao'lu 胎臚药录
'tian'bu'wu'xing 天布五行
'tong'fu 痛夫
'tou'wu'han'zhe'ke'zhi 头无汗者可治
'tu'wei'ti'qi 徒为啼泣
'tui'bu'neng'ai'shen'zhi'ji 退不能爱身知己
'wang'qi'hou'zhi'se 望齐侯之色
'wang'qu'xun'wu 忘躯徇物
'wei'chang'bu'kai'ran'tan'qi'cai'xiu'ye 未尝不慨然叹其才秀也
'wei'fu'fan'yi 委付凡医
'wei'ming'li'shi'wu 惟名利是务
'wei'ruo'bing'gu 危若冰谷
'wei'shang'han'za'bing'lun'he'shi'liu'juan 为伤寒杂病论合十六卷
'wei'zi'tiao'ji 为子条记
'wen'yue 问曰
'wu'zai'kou'gei 务在口给
'xi'fang'fei'mai 西方肺脉
'xi'fang'fei'mai'qi'xing'he'si 西方肺脉其形何似
'xia'ci'yi'wang'wei'zhi'wen'ye 下此以往未之闻也
'xia'wei'ben'da'zhe'ze'wei'guan'ge'bu'tong 下微本大者则为关格不通
'xia'yi'jiu'pin'jian'zhi'e 下以救贫贱之厄
'xian'chuai'qi'ben 先揣其本
'xiang'dui'si'xu'bian'chu'tang'yao 相对斯须便处汤药
'xiang'ti'yi'zhen 相体以诊
'xiang'yu'er'bai 向余二百
'xiao'xi'zhen'kan 消息诊看
'xiao'xiang'xing'rong 肖象形荣
'xie'bu'kong'jian 邪不空见
'xin'bing'zi'de'hong'da'zhe'yu'ye 心病自得洪大者愈也
'xin'mi'yi'huo 心迷意惑
'xin'zhe'huo'ye'ming'shao'yin 心者火也名少阴
'xu'shi'jian'yan 虚实见焉
'xuan'ming'you'wei 玄冥幽微
'xue'du'sheng'zhe'ze'mai'hua 血独盛者则脉滑
'xue'pian'shuai'zhe'ze'mai'se 血偏衰者则脉涩
'yang'po'qi'xue'ze'mai'shu 阳迫气血则脉数
'yang'zhe'qi'zhi'tong'ye 阳者气之统也
'yi'hou'liu'fu'zhi'qi 以候六腑之气
'yi'hou'pi'fu'jing'luo'zhi'qi 以候皮肤经络之气
'yi'hou'wu'zang'zhi'qi 以候五脏之气
'yi'qi'mai'ru'xian'zhi 以其脉如弦直
'yi'shi'zhi'jian 一时之间
'yi'yan'qi'suo'zhi 以演其所知
'yi'yang'qi'sheng 以养其生
'yi'you'wu'cang 以有五藏
'yi'yun'wan'lei 以运万类
'yi'zhou'xun'huan 一周循环
'yin'xi'you'bu 因息游布
'yin'yang'da'lun 阴阳大論
'yin'yang'hui'tong 阴阳会通
'yin'yang'xiang'cheng 阴阳相乘
'yin'yang'xiang'gan 阴阳相干
'yin'zhe'xue'zhi'zhu'ye 阴者血之注也
'yin'zu'qi'xue'ze'mai'chi 阴阻气血则脉迟
'ying'fei'chang'zhi'ji 婴非常之疾
'ying'qi'xue'sheng'jiang 应气血升降
'you'han'zhe'si 有汗者死
'you'qian'zhong'quan 幽潜重泉
'you'wei'shi'ren 犹未十稔
'yu'mei'lan'yue'ren'ru'guo'zhi'zhen 余每览越人入虢之诊
'yu'su'shang'fang'shu'qing'shi'si'yu 余宿尚方术请事斯语
'yu'zai'zhi'huo 遇灾值祸
'yu'zhi'bing'bian 欲知病变
'yu'zhi'bing'yuan 欲知病源
'yu'zong'zu'su'duo 余宗族素多
'yuan'wei'ju'chen 愿为俱陈
'zai'ren'ti'gong 在人体躬
'zang'fu'you'pian'sheng 脏腑有偏盛
'zhi'bian'suo'yuan 知变所缘
'zhi'qi'suo'she 知其所舍
'zhi'yin'ji'xian 支饮急弦
'zhi'yu'shi'ye 至于是也
'zhong'bi'you'jian 中必有奸
'zhong'bu'fen'jing 中部分经
'zhong'shi'shun'jiu 终始顺旧
'zhong'shi'you'chang'sang'bian'que'han'you'gong'cheng'yang'qing'ji'cang'gong 中世有长桑扁鹊汉有公乘阳庆及仓公
'zhong'yi'bao'shen'chang'quan 中以保身长全
'zhuan'yong'su'wen'jiu'juan'ba'shi'yi'nan'yin'yang'da'lun'tai'lu'yao'lu 撰用素问九卷八十一难阴阳大論胎臚药录
'zi'fei'cai'gao'shi'miao 自非才高识妙
'zi'qi'suo'cuo 恣其所措
'zi'zhi'suo'wen 子之所问
'zi'zi'ji'ji 孜孜汲汲
'zu'ran'zao'xie'feng'zhi'qi 卒然遭邪风之气
