'an'hao'xin'xue 暗耗心血
'bi'nian'mo'fen'mi 鼻粘膜分泌
'bi'pang 鼻旁
'bi'se'liu'ti 鼻塞流涕
'bi'se'pen'ti'he'wu'han 鼻塞喷嚏和无汗
'bi'ti'run'ze'bi'qiao'er'bu'wai'liu 鼻涕润泽鼻窍而不外流
'bi'tong'yu'nao 鼻通于脑
'bi'wei'fei'qiao 鼻为肺窍
'bi'xu'bu'pi'yi'fang'chuan'bian 必须补脾以防传变
'bi'xu'chang'gu'wei'qi 必须常顾胃气
'bi'xu'xian'cha'wei'qi 必须先察胃气
'bi'xu'xian'shen'yin'yang 必须先审阴阳
'bi'yi'pang 鼻翼旁
'bi'yin'yu'pi'nai'de'cha'ye 必因于脾乃得察也
'bi'yu'hou'xiang'tong'er'lian'yu'fei 鼻与喉相通而联于肺
'bi'yu'yang'zhong'qiu'yin 必于阳中求阴
'bi'yu'yin'zhong'qiu'yang 必于阴中求阳
'bi'ze're'er'men 闭则热而闷
'bi'zhu'wai'ce 鼻柱外侧
'bi'zi'gu'qi 必资谷气
'bian'bi'bu'xing 便闭不行
'bian'bu'yu'ya'chi 遍布于牙齿
'bian'ge 变革
'bian'hua 变化
'bian'hua'er'chi 变化而赤
'bian'hua'er'chi'wei'xue 变化而赤为血
'bian'hua'xiang'yi 变化相移
'bian'hua'zhi'xiang'bo 变化之相薄
'bian'huan'qian'hou'wei'zhi 变换前后位置
'bian'huan'wu'chang 变幻无常
'bian'huan'you'xing'zhi'jing 变幻游行之境
'bian'zheng'qiu'yin 辨证求因
'biao'li'guan'xi 表里关系
'biao'li'guan'xi'ji 表里关系及
'biao'li'liang'jing'de'bie'luo'xiang'hu'lian'luo 表里两经的别络相互联络
'biao'li'shang'xia'bi'ci'jian'jin'mi'lian'xi 表里上下彼此间紧密联系
'biao'li'xiang'he 表里相合
'biao'shi're'shu'yang 表实热属阳
'biao'xian'yu'wai'de'sheng'li'bing'li'xian'xiang 表现于外的生理病理现象
'bie'bai'hei 别白黑
'bie'fu'shang 别附上
'bie'jia 别颊
'bie'ru'gen'zhong 别入跟中
'bie'ru'yu'gang 别入于肛
'bie'rui'pi 别锐毗
'bie'xing'de'zheng'jing 别行的正经
'bie'xing'jin'ru'gang'men 别行进入肛门
'bie'zhang'zhong 别掌中
'bing'bian'de'lin'jin'bu'wei 病变的邻近部位
'bing'bian'ju'xian'zai'ji'biao'huo'jing'luo 病变局限在肌表或经络
'bing'cheng'jiao'chang'huo'fan'fu'fa'zuo 病程较长或反复发作
'bing'gai'yi'zhi 并该意志
'bing'ji'zong'gang 病机总纲
'bing'li'xing'dai'xie'chan'wu'ji'ju 病理性代谢产物积聚
'bing'qing'chu'xian'zhuan'ji 病情出现转机
'bing'wei'you'yi 病位游移
'bing'xie'jiu'liu 病邪久留
'bing'xie'qin'ren'ren'ti 病邪侵人人体
'bing'xie'xing'nei'zao'xia'fang 并斜行内躁下方
'bing'xie'yi'bei'qu'chu 病邪易被祛除
'bing'xie'zuo'yong'yu'ren'ti 病邪作用于人体
'bing'yan'yi'shang 并咽以上
'bing'you'dou'jin 病由都尽
'bing'yu'shao'yin'zhi'jing 并于少阴之经
'bing'zai'he'zang'fu'ye 病在何脏腑也
'bing'zheng'bian'hua 病证变化
'bu'bi'zhi'yu'chuan 不必治于传
'bu'chang'mai'nei'xue'ye'rong'liang'de'bu'zu 补偿脉内血液容量的不足
'bu'de'qi'mai 不得其脉
'bu'de'xian'mai 不得弦脉
'bu'duan'de'xiang'xia'shu'song 不断地向下输送
'bu'fei'zi'shen'fa 补肺滋肾法
'bu'ji'zhe'bu'zhi 不及者补之
'bu'ke'bu'cha 不可不察
'bu'ke'bu'jin'yang 不可不谨养
'bu'ke'wu'sheng 不可无生
'bu'li'qi'chang 不离其常
'bu'liang'ci'ji 不良刺激
'bu'liang'jie'ju 不良结局
'bu'lue 补略
'bu'mu'neng'ling'zi'shi 补母能令子实
'bu'mu'xie'zi 补母泻子
'bu'nai'han're 不耐寒热
'bu'neng'ru'yang'yu'jin 不能濡养于筋
'bu'pi'qi'yi'yi'fei'qi 补脾气以益肺气
'bu'pi'yi'qi 补脾益气
'bu'qi'bu'zu 补其不足
'bu'qi'suo'shu'de'mu'jing 补其所属的母经
'bu'qi'xing'qi'jiang'qi 补气行气降气
'bu'san'dao'quan'shen 布散到全身
'bu'san'wu'li 布散无力
'bu'san'yu'ji'biao'de'jin'ye 布散于肌表的津液
'bu'san'yu'quan'shen 布散于全身
'bu'san'yu'ti'biao'pi'fu'ji'rou'he'kong'qiao 布散于体表皮肤肌肉和孔窍
'bu'shen'shui'yi'sheng'gan'mu 补肾水以生肝木
'bu'shen'yao'wu 补肾药物
'bu'shou'mai'guan'de'yue'shu 不受脉管的约束
'bu'song'shi'er'jing'luo 不诵十二经络
'bu'tong'bu'wei'pi'fu'de'se'ze 不同部位皮肤的色泽
'bu'tong'nai'shi 不通乃是
'bu'tong'ze'tong 不通则痛
'bu'xie'lei 布胁肋
'bu'xie'ze'wen'qi'qu 不泻则温气去
'bu'yang'pi'fei'fa 补养脾肺法
'bu'ye'zhong 布腋中
'bu'yi'chu'mai'wai 不逸出脉外
'bu'yi'fei'qi 补益肺气
'bu'yi'nao'sui 补益脑髓
'bu'yi'yu'kou'wai 不溢于口外
'bu'yu'shan'zhong 布于膻中
'bu'yue'wei'yi'niao 不约为遗尿
'bu'yun 不孕
'bu'zai'you'shen 不在右肾
'bu'zheng'jing'zhi'bu'zu 补正经之不足
'bu'zheng'zhi'qi 不正之气
'bu'zhi'e'yu 不致遏郁
'can'xue'bi'shen 残削必甚
'can'zha'zhuan'hua'cheng'zao'po 残渣转化成糟粕
'cang'bing'zhi'guan 仓禀之官
'cang'jing'qi'er'bu'xie'ye 藏精气而不泻也
'cang'ju'yu'nei 藏居于内
'cang'yu'chang'wei 藏于肠胃
'cang'yu'ti'nei'de'nei'zang 藏于体内的内脏
'cang'yu'wu'zang 藏于五脏
'cang'yu'xin'fei 藏于心肺
'cang'zhu'ming'men 藏诸命门
'cha'qi'suo'tong 察其所痛
'cha'se'an'mai 察色按脉
'cha'zheng 嚓证
'cha'zhi'qi'xue'de'yun'xing 察知气血的运行
'cha'zhi'you'ji 察之有纪
'chai'hu 柴胡
'chan're'bu'zu 产热不足
'chang'ji'rou 长肌肉
'chang'jian'bing'he'duo'fa'bing 常见病和多发病
'chang'ke'fan'wei 常可犯胃
'chang'mai'ye 常脉也
'chang'qi'xiao'hua'bu'liang 长期消化不良
'chang'qiang'xue 长强穴
'chang'qiang'xue'chu 长强穴处
'chang'shi'er'wei'xu 肠实而胃虚
'chang'xia'chu'qiu'duo'shi'bing 长夏初秋多湿病
'chang'xia'si'ji 长夏四季
'chang'xian'kun'pi 常先困脾
'chang'ye 肠液
'chang'ye'he 肠液和
'chang'ye'ku'he'er'bian'mi 肠液枯涸而便秘
'chang'yong 肠痈
'chao'bai'mai 朝百脉
'chao'bai'mai'er'zhu'zhi'jie 朝百脉而主治节
'chao're'sheng'huo 潮热升火
'chao'shi'chong'chi 潮湿充斥
'chen'jiang'zhe'wei'yin 沉降者为阴
'chen'wei'zhong'zhen 沉为重镇
'chen'xiao'xi'se'wei'yin 沉小细涩为阴
'chen'zhong 沉重
'cheng'bai'yi'fu 成败倚伏
'cheng'bai'zhi'suo'you'ye 成败之所由也
'cheng'jiang'xue'chu 承浆穴处
'cheng'jin 承筋
'cheng'shan 承山
'cheng'tu 乘土
'cheng'wei'niao'ye'sheng'cheng'zhi'yuan 成为尿液生成之源
'cheng'zhang'fa'yu 成长发育
'cheng'zuo 称作
'chi'geng 齿更
'chi'geng'fa'chang 齿更发长
'chi'jia'bu'ke'fa'han 翅家不可发汗
'chi'wei'hu'men 齿为户门
'chi'wei'yin 尺为阴
'chi'xu'gao're 持续高热
'chi'yu'er'shi'xian 吃鱼而嗜咸
'chi'yu'gu'tong'chu'yi'yuan 齿与骨同出一源
'chi'zhe 齿者
'chi'zhe'wei'yin 迟者为阴
'chong'he'tiao'da 冲和条达
'chong'mai'tong'xing'shang'xia 冲脉通行上下
'chong'mai'wei'sheng 冲脉未盛
'chong'mai'yu'shen'jing'bing'xing 冲脉与肾经并行
'chong'pi'fu 充皮肤
'chong'ren'er'mai 冲任二脉
'chong'yang'bi'yin 重阳必阴
'chong'yang'he'hua'li'xue'mai 充养和滑利血脉
'chong'yang'xue 冲阳穴
'chong'zu'de'xue'liang'zhu'bei 充足的血量贮备
'chou'you'kong'ju'ze'shang'xin 愁忧恐惧则伤心
'chu'bi'wai'liang'gu'zhi'jian 出臂外两骨之间
'chu'bu'xiao'hua 初步消化
'chu'da'ying 出大迎
'chu'da'zhi'zhi'duan 出大指之端
'chu'er'shang 出耳上
'chu'he'gu'liang'gu'zhi'jian 出合谷两骨之间
'chu'he'ru 出和入
'chu'huai'zhong 出踝中
'chu'jian'jie 出肩解
'chu'li'de'dang 处理得当
'chu'qi'duan 出其端
'chu'qi'jie 出气街
'chu'que'pen 出缺盆
'chu'san'mao 出三毛
'chu'shang'jiao'zhi'hou 出上焦之后
'chu'shu'xin'bao'luo 出属心包络
'chu'shu'xin'xi 出属心系
'chu'wai'huai'zhi'hou 出外踝之后
'chu'xi'wai'lian 出膝外廉
'chu'yu'e 出于额
'chu'yu'gu'zhi'qian'lian 出髃骨之前廉
'chu'yu'hou'long 出于喉咙
'chu'yu'ran'gu'zhi'xia 出于然谷之下
'chu'yu'wan'ke 出于顽颗
'chu'yu'zuo'ru'xia 出于左乳下
'chu'yue'guo'nei'lian 出月国内廉
'chu'zhong'zhi'rao'ce'duan 出中指桡侧端
'chu'zhou'nei'ce'liang'gu'zhi'jian 出肘内侧两骨之间
'chu'zou'er'qian 出走耳前
'chu'zou'yu'er'qian 出走于耳前
'chuan'bian'jiao'kuai 传变较快
'chuan'dao'yu'zao'hua 传导与燥化
'chuan'di'bing'xie 传递病邪
'chuan'guo'fu'ji 穿过服肌
'chuan'guo'gan'he'cui'ji 穿过肝和脆肌
'chuan'guo'ge'ji 穿过隔肌
'chuan'guo'mian'ji 穿过腼肌
'chuan'hua'gong'neng 传化功能
'chuan'hua'wu 传化物
'chuan'hua'wu'er'bu'cang 传化物而不藏
'chuan'hua'yin'shi'wu 传化饮食物
'chuan'hua'zao'po'gong'neng 传化糟粕功能
'chuan'wai 喘外
'chuan'xi'xiong'tong 喘息胸痛
'chuan'zheng 喘症
'chuan'zhi'ta'zang 传至他脏
'chuan'zhong'lu 传忠录
'chun'ji 春季
'chun'ji'duo'feng'bing 春季多风病
'chun'qing'she'zi 唇青舌紫
'chun'qing'xia'chi 春青夏赤
'chun'she'qing'zi 唇舌青紫
'chun'tian'qi'hou'duo'feng 春天气候多风
'chun'tian'ying'wen'er'fan'han 春天应温而反寒
'chun'wei'fei'men 唇为飞门
'chun'wen'fa'zhan'dao'xia're 春温发展到夏热
'ci'liu'zhe 此六者
'ci'pi'wei'zhi'qi'suo'guan'yu'ren'sheng'zhe'bu'xiao 此脾胃之气所关于人生者不小
'ci'qi'bi'fu 此起彼伏
'ci'suo'shou'qi'zhe 此所受气者
'ci'suo'yi'wu'zhi'wei'xin'suo'shi'ye 此所以五志唯心所使也
'ci'yi'jia'zhi'nu'zhi'fa'ye 此医家治怒之法也
'ci'yi'shui'yi'huo 此一水一火
'ci'yin'yang'zhi'bian'ye 此阴阳之变也
'ci'zhi'lun 刺志论
'ci'zhi'wai'jian 次趾外间
'cong'bo'nei'zuo'you'bie'xia'guan'jiao 从膊内左右别下贯脚
'cong'da'chui'xue'chu'fen'chu 从大锤穴处分出
'cong'da'ying'qian'xia'ren'ying 从大迎前下人迎
'cong'dian'ru'luo'nao 从巅入络脑
'cong'dian'zhi'er'shang'jiao 从巅至耳上角
'cong'e'bu'xia 从额部下
'cong'er'hou'fen'chu 从耳后分出
'cong'er'hou'jin'ru'er'zhong 从耳后进入耳中
'cong'er'hou'ru'er'zhong 从耳后入耳中
'cong'fei'chu'luo'xin 从肺出络心
'cong'fei'xi'heng'chu'ye'xia 从肺系横出腋下
'cong'fei'yang'xue'chu'fen'chu 从飞阳穴处分出
'cong'feng'long'xue'chu'fen'chu 从丰隆穴处分出
'cong'fu'fen'xue'xie'ji'xia'xing'zhi'zhong'shu 从附分穴挟脊下行至钟枢
'cong'gan'fen'chu 从肝分出
'cong'gan'zhuo'shou'zhi'liao'huo'yu 从肝着手治疗获愈
'cong'gong'sun'xue'chu'fen'chu 从公孙穴处分出
'cong'guang'ming'xue'chu'fen'chu 从光明穴处分出
'cong'ji'wei'xue'chu'fen'chu 从鸡尾穴处分出
'cong'jian'sui'bu'shang'jing 从肩髓部上颈
'cong'ling'bu'fen'chu 从领部分出
'cong'mian'jia'bu'fen'chu 从面颊部分出
'cong'mian'jia'jie'yu'er'qian 从面颊结于耳前
'cong'mu'wai'pi'fen'chu 从目外毗分出
'cong'mu'xi'fen'chu 从目系分出
'cong'mu'xi'xia'jia'li 从目系下颊里
'cong'nei'guan'xue'chu'fen'chu 从内关穴处分出
'cong'pian'li'xue'chu'fen'chu 从偏历穴处分出
'cong'qu'xia'jia'zhi'e 从屈下颊至頞
'cong'que'pen'shang'jing 从缺盆上颈
'cong'que'pen'xia'ru'nei'lian 从缺盆下乳内廉
'cong'que'pen'xia'xing'zhi'ye 从缺盆下行至腋
'cong'que'pen'xia'ye 从缺盆下腋
'cong'que'pen'xun'jing 从缺盆循颈
'cong'shan'zhong'shang'chu'que'pen 从擅中上出缺盆
'cong'shen'shang'guan'gan'ge 从肾上贯肝隔
'cong'shen'shang'xing 从肾上行
'cong'shou'zhi'mo'duan'zou'xiang'tou'mian'bu 从手指末端走向头面部
'cong'shou'zou'tou 从手走头
'cong'si'zhi'mo'duan'zou'xiang'tou'shen 从四肢末端走向头身
'cong'tong'li'xue'chu'fen'chu 从通里穴处分出
'cong'tou'mian'bu'zou'xiang'zu'zhi'mo'duan 从头面部走向足趾末端
'cong'tou'zou'zu 从头走足
'cong'wai'guan'xue'chu'fen'chu 从外关穴处分出
'cong'wan'hou'zhi'chu'ci'zhi'nei'lian'chu'qi'duan 从腕后直出次指内廉出其端
'cong'xia'ling'jiao'shang'xing 从下领角上行
'cong'xin'xi'shang'xie'yan 从心系上挟咽
'cong'xiong'qiang'zou'xiang'shou'zhi'mo'duan 从胸腔走向手指末端
'cong'yang'hua're 从阳化热
'cong'yao'bu'fen'chu 从腰部分出
'cong'yao'zhong'xia'xie'ji 从腰中下挟脊
'cong'ye'hou'wai'ce'jie'yu'jian'huo 从腋后外侧结于肩祸
'cong'ye'xia'zou'chu 从腋下走出
'cong'yin'yang'shi 从阴阳始
'cong'zang'zou'shou 从脏走手
'cong'zhong'nian'er'zhuan'ru'lao'nian 从中年而转入老年
'cong'zi'gou'xue'chu'fen'chu 从兹沟穴处分出
'cong'zu'bei'fen'chu 从足背分出
'cong'zu'zhi'zou'xiang'fu'qiang'xiong'qiang 从足趾走向腹腔胸腔
'cong'zu'zou'fu 从足走腹
'cou'li'bi'ze'wu'han 腠理闭则无汗
'cou'li'kai'he 腠理开合
'cou'li'kai'ze'han'ye'pai'xie 腠理开则汗液排泄
'cou'zhang 腠胀
'cu'jin'qi'de'sheng'cheng 促进气的生成
'cu'jin'xing'xian'fa'yu'cheng'shu 促进性腺发育成熟
'cu'jin'xing'xian'fa'yu'er'zhi'cheng'shu 促进性腺发育而至成熟
'cu'li'er'rou'bu'jian'zhe 粗理而肉不坚者
'cun'kou 寸口
'cun'zai'yu'ti'nei 存在于体内
'cun'zai'yu'zi'ran'jie'de'qing'qi 存在于自然界的清气
'cuo'zong'fu'za 错综复杂
'da'bao'xue 大包穴
'da'bian'bian'xi'bo 大便变稀薄
'da'bian'bu'shuang 大便不爽
'da'bian'jian'se'er'bu'xing 大便艰涩而不行
'da'bian'kun'nan 大便困难
'da'bian'mi'jie'bu'tong 大便秘结不通
'da'bian'tang'xie 大便塘泻
'da'bian'tang'xie'er'bu'shuang 大便塘泻而不爽
'da'bing'jiu'bing 大病久病
'da'cang 大仓
'da'chang'chuan'dao'bu'li 大肠传导不利
'da'chang'chuan'hua'zao'po 大肠传化糟粕
'da'chang'de'shang'kou'lian'jie'chu 大肠的上口连接处
'da'chang'ju'fu'zhong 大肠居腹中
'da'chang'shi're 大肠实热
'da'chang'shou'yang'ming'zhi'mai 大肠手阳明之脉
'da'chang'xiao'chang'hui'wei'lan'men 大肠小肠会为阑门
'da'chang'zao'jie 大肠燥结
'da'chang'zhe 大肠者
'da'chang'zhi'suo'yi'neng'chuan'dao'zhe 大肠之所以能传导者
'da'han'tu'li 大汗吐利
'da'huo'lun 大惑论
'da'liang'han'chu 大量汗出
'da'liang'hao'shang'ji'ti'yuan'qi 大量耗伤机体元气
'da'liang'jin'ye'liu'shi 大量津液流失
'da'nao'dui'wai'jie'shi'wu'de'fan'ying 大脑对外界事物的反映
'da'nu 大怒
'da'qi'he'shui'gu'zhi'qi 大气和水谷之气
'da'shu 大暑
'da'tui'hou'ce'wai'yuan 大腿后侧外缘
'da'tui'hou'ce'zhi'yan'wo 大腿后侧至胭窝
'da'tui'nei'ce'qian'yuan 大腿内侧前缘
'da'xiao'chang'wu'ci 大小肠无此
'da'ying'xue 大迎穴
'da'zhuan'zi'bu 大转子部
'da'zhui'xue 大椎穴
'da'zu'zhi 大足趾
'dai'mai'wei'yao'yi'zhou 带脉围腰一周
'dai'mai'xue 带脉穴
'dai'xia 带下
'dan'bing'ye'chang'bo'ji'yu'gan 胆病也常波及于肝
'dan'de'hou'tian'pei'yang'zhi'li 但得后天培养之力
'dan'fu'yu'gan 胆附于肝
'dan'huo'chi'sheng 胆火炽盛
'dan'huo'heng'ni 胆火横逆
'dan'jing'de'jing'bie'guan'xin 胆经的经别贯心
'dan'ju'liu'fu'zhi'shou 胆居六腑之首
'dan'lv'xun'zheng 氮氯熏蒸
'dan'qie 胆怯
'dan'shou'shui'gu 但受水谷
'dan'wei'huo'se'wei 淡味或涩味
'dan'wei'shen'xie'wei'yang 淡味渗泄为阳
'dan'yu'gan'xiang'lian 胆与肝相连
'dan'zhe 胆者
'dan'zhi'de'fen'mi'yu'pai'xie 胆汁的分泌与排泄
'dan'zhi'de'hua'sheng 胆汁的化生
'dan'zhi'de'hua'sheng'he'pai'xie 胆汁的化生和排泄
'dan'zhi'lai'yuan'yu'gan'zhi'yu'qi 胆汁来源于肝之余气
'dan'zhi'pai'xie'bu'chang 胆汁排泄不畅
'dan'zhi'shang'ni 胆汁上逆
'dan'zhi'wai'xie 胆汁外泄
'dan'zhi'wai'yi 胆汁外溢
'dan'zhi'wei'ku 胆汁味苦
'dan'zhu'jue'duan 胆主决断
'dan'zu'shao'yang'zhi'mai 胆足少阳之脉
'dang'mu'wai'pi'bu 当目外毗部
'dao'da'ji'xie 到达季胁
'dao'e'qian 到额前
'dao'li'xing 倒梨形
'dao'shang'xuan'xia 导上宣下
'dao'xin'zang'hou'san'bu'yu'xin'zang'nei 到心脏后散布于心脏内
'dao'zhi'shang'yin 导致伤阴
'de'han'er'ning 得寒而凝
'de'ke'ze'si 得克则死
'de'qi 得气
'de'qi'xiang'sheng'zhi'mai 得其相生之脉
'de'shen'zhe'chang 得神者昌
'de'sheng'ze'sheng 得生则生
'deng'huo 灯火
'di'bi 抵鼻
'di'dao'bu'tong 地道不通
'di'er'yao'zhui 第二腰椎
'di'fang'xing'jia'zhuang'xian'zhong 地方性甲状腺肿
'di'fu'tu 抵伏兔
'di'li'te'dian 地理特点
'di'qi'jing'zhui'ji'tu 第七颈椎棘突
'di'qi'shang'sheng 地气上升
'di'qi'zhi'suo'sheng'ye 地气之所生也
'di'shi'di'zhu 地势低注
'di'shi'ren'yi'wu'wei 地食人以五味
'di'wei 抵胃
'di'xiao'fu 抵小腹
'di'yu'e 抵于頞
'di'yu'wai'xie'qin'xi 抵御外邪侵袭
'di'yu'wai'xie'qin'xi'de'ping'zhang 抵御外邪侵袭的屏障
'di'yu'yin'su 地域因素
'di'zhang'hou'rui'gu'zhi'duan 抵掌后锐骨之端
'dong'chun'ji'jie 冬春季节
'dong'fang'sheng'feng 东方生风
'dong'ji'duo'han'bing 冬季多寒病
'dong'tai'de'ping'heng 动态的平衡
'dong'tian'qi'hou'yan'han 冬天气候严寒
'dong'yi'bao'jian 东医宝鉴
'dong'ze'qi'chuan 动则气喘
'dong'zhe'qi'chuan 动辄气喘
'dou'gu 豆骨
'du'gu'nei'shang'zao'de'hou'mian 肚骨内上躁的后面
'du'li 毒力
'du'mai'de'bie'luo'san'bu'zai'bei'bu 督脉的别络散布在背部
'du'mai'de'jing'xue'ming'men'xue'zhi'suo'zai 督脉的经穴命门穴之所在
'du'mai'xing'yu'bei'bu'zheng'zhong 督脉行于背部正中
'du'mai'xing'yu'ji'li 督脉行于脊里
'du'mai'zhi'luo 督脉之络
'du're 肚热
'du'ren'chong'dai 督任冲带
'du'ren'chong'san'mai 督任冲三脉
'du'ren'liang'mai 督任两脉
'dui'li'zhi'yue 对立制约
'dui'qi'fu'ji'gu 对脐附脊骨
'dui'wai'jie'xin'xi'de'fan'ying 对外界信息的反应
'dui'wai'jie'xin'xi'de'fan'ying'ling'min 对外界信息的反应灵敏
'dun'tu'li'shui'fa 敦土利水法
'duo'chan'mian'nan'yu 多缠绵难愈
'duo'cong'bi'hou'er'ru 多从鼻喉而入
'duo'cong'kou'bi'er'ru 多从口鼻而入
'duo'fa'nei'shang'bing 多发内伤病
'duo'han 多汗
'duo'han'duo'jin 多汗夺津
'duo'han'zhe'wu'xue 夺汗者无血
'duo'jian'xia'bu'de'zheng'zhuang 多见下部的症状
'duo'shang'xing'xiang'wai 多上行向外
'duo'shu'shi'shu're'wei'yang 多属实属热为阳
'duo'shu'xu'shu'han'wei'yin 多属虚属寒为阴
'duo'shu'yu'yang'zheng 多属于阳证
'duo'shu'yu'yin'zheng 多属于阴证
'duo'tuo'huo'jiu'tuo 多唾或久唾
'duo'xia'xing'xiang'nei 多下行向内
'duo'xue'zhe'wu'han 夺血者无汗
'duo'yan'er'zao'dong'zhe 多言而躁动者
'duo'yu'er'chao'shi 多雨而潮湿
'duo'zhi'se'er'bu'chang 多滞涩而不畅
'duo'zi'pi'mao'ji'cou'er'ru 多自皮毛肌腠而入
'e'bu 额部
'e'han'fa're 恶寒发热
'e'han'fa're'wu'han 恶寒发热无汗
'e'han'quan'wo 恶寒蜷卧
'e're'xi'leng 恶热喜冷
'e'yan'xue 额厌穴
'er'ba 二八
'er'bian'bu'tong 二便不通
'er'bian'zheng'chang 二便正常
'er'er'bian'mi'yi 而二便秘矣
'er'ge'mo'heng'lian'zhi'man'zhi'wai 而隔膜横连脂漫之外
'er'gui'chang'shou 而贵常守
'er'he 二合
'er'hou 耳后
'er'hou'neng'zi'yang'yuan'qi 而后能滋养元气
'er'hua're 而化热
'er'ke'yi'yi'yan'bi'zhi'zhe 而可以一言蔽之者
'er'liang'shen'jie'shu'ming'men 而两肾皆属命门
'er'ming'mu'xuan 耳鸣目眩
'er'mou'lv'bu'chu'yi 而谋虑不出矣
'er'pi'ying'zhi 而脾应之
'er'qi'er'tian'gui'zhi 二七而天癸至
'er'ren'zi'zhi'yi'wei'sheng'zhe'ye 而人资之以为生者也
'er'shang 耳上
'er'shang'jiao'bu 耳上角部
'er'shen'sun'mai 而渗孙脉
'er'shen'wei'wei'guan 而肾为胃关
'er'shi'ting'jue'qi'guan 耳是听觉器官
'er'shi'you'xiang'huo'yu'hu'qi'zhong 而实有相火寓乎其中
'er'shui'gu'nai'hua 而水谷乃化
'er'si'xi'qu'tou'pang'guang'zhi'jian 而丝系曲透膀胱之间
'er'wan'shi'bu'neng'ying'yi 而万事不能应矣
'er'wei'wai'fa 二为外发
'er'wei'zhi'ruo'ming 耳为之若鸣
'er'wu'wei'bu'chu'yi 而五味不出矣
'er'yuan'qi'yi'bu'neng'chong 而元气亦不能充
'er'zai'liang'shen'yu'zhi'zhong'ke'jian'ye 而在两肾俞之中可见也
'er'zhe 二者
'er'zhe'de'gong'neng'shi'qu'xie'tiao 二者的功能失去协调
'er'zhen'dian'zhen 耳针电针
'er'zhi'yu'xin'huo 而制于心火
'er'zhong 耳中
'er'zhu'bing'zhi'suo'you'sheng'ye 而诸病之所由生也
'er'zong'tong'hun'po 而总统魂魄
'fa'bin'ban'bai 发鬓颁白
'fa'bing'de'nei'zai'gen'ju 发病的内在根据
'fa'bing'duo'ji 发病多急
'fa'bing'xun'su'de'te'xing'er'yan 发病迅速的特性而言
'fa'chang 发长
'fa'chang'chi'geng 发长齿更
'fa'chang'er'guang'ze 发长而光泽
'fa'chang'ji 发长极
'fa'chu'de'sheng'yin 发出的声音
'fa'de'sheng'zhang'yu'tuo'luo 发的生长与脱落
'fa'duo'chi'gao 发堕齿稿
'fa'hui'jin'ye'de'ying'yang'he'zi'run'zuo'yong 发挥津液的营养和滋润作用
'fa'hui'qi'ru'yang'de'zuo'yong 发挥其濡养的作用
'fa're'fan'ke 发热烦渴
'fa'sheng'yue'jing'he'yun'yu'tai'er 发生月经和孕育胎儿
'fa'shi'bai 发始白
'fa'shi'duo 发始堕
'fa'wei'fu'xie 发为腹泻
'fa'wu'ding'chu 发无定处
'fa'xie'sheng'fa 发泄升发
'fan'chang'ze'zai'hai'zhi'yi 反常则灾害至矣
