'a'mu'bai'mei'ren 阿母白媒人
'ai'zhi'yu'qi'fu'ye 爱之欲其富也
'ai'zhi'yu'qi'sheng 爱之欲其生
'ai'zhi'ze'qin 爱之则亲
'ai'zi'xin'wu'jin 爱子心无尽
'an'an'huang'hun'hou 庵庵黄昏后
'an'an'jian'lin'tao 黯黯见临洮
'an'an'meng'yun'jing'duan 黯黯梦云惊断
'an'an'ri'yu'ming 暗暗日欲暝
'an'an'sheng'tian'ji 黯黯生天际
'an'bian'liang'liang'san'san 岸边两两三三
'an'bu'wang'wei 安不忘危
'an'bu'xiang'ban 暗补香瘢
'an'cang'ren'xin 安藏人心
'an'chan'zhi'du'long 安禅制毒龙
'an'chen'bu'qi 暗尘不起
'an'chui'zhu'lu 暗垂珠露
'an'de'che'lun'si'jiao 安得车轮四角
'an'de'er'zhi'yan 安得而至焉
'an'de'guang'sha'qian'wan'jian 安得广厦千万间
'an'de'zhi'lao'bu'geng'gui 安得至老不更归
'an'di'hua'shao 暗滴花梢
'an'di'jiao'zhu'zhui 暗滴鲛珠坠
'an'hua'an'bu'hua 安化安不化
'an'hua'zhu'ye 安花著叶
'an'jiang'wang'shi'si'liang'bian 暗将往事思量遍
'an'jin'gu'mian'zi'wei 谙尽孤眠滋味
'an'ju'er'tian'xia'xi 安居而天下熄
'an'li'hu'jing'shan'niao'ti 暗里忽惊山鸟啼
'an'liu'ti'ya 暗柳啼鸦
'an'neng'cui'mei'zhe'yao'shi'quan'gui 安能摧眉折腰事权贵
'an'neng'hua'ren 安能化人
'an'neng'yi'ci'shang'lun'lie 安能以此上论列
'an'neng'zhi'ren 安能治人
'an'pai'er'qu'hua 安排而去化
'an'qi'luo'xiu 暗欺罗袖
'an'qi'wei'er'li'qi 安其危而利其
'an'qu'dao'zai 安取道哉
'an'qu'ren'yi 安取仁义
'an'ran'xiao'hun'zhe 黯然销魂者
'an'shang'chun'fu 安上纯父
'an'shi'er'chu'shun 安时而处顺
'an'shu'shi'nian'hu'shang'lu 暗数十年湖上路
'an'si'he'shi'duan'ren'chang 暗思何事断人肠
'an'sui'liu'shui'dao'tian'ya 暗随流水到天涯
'an'sun'shao'hua 暗损韶华
'an'suo'chun'chuan 岸锁春船
'an'suo'kun'ku'zai 安所困苦哉
'an'wang'er'bu'ai'zai 安往而不爱哉
'an'wei'xiang'yi 安危相易
'an'wen'jin'qin'jin'ye'meng 安稳锦衾今夜梦
'an'xiang'dang'chu 暗想当初
'an'xiang'fu'dong'yue'huang'hun 暗香浮动月黄昏
'an'xiao'ji'xue 暗消肌雪
'an'xu'xian'ren'dai'tou'qia 暗许闲人带偷掐
'an'yi'huan'qi'zhen'si'meng 暗忆欢期真似梦
'an'yong'li'yue 安用礼乐
'an'yu'huai'huang 暗雨槐黄
'an'yu'zhi'xiang'mi 安与之相靡
'an'zai'qi'bu'ru'ye 安在其不辱也
'an'zhi'feng'he'jin'lai'bian 安知峰壑今来变
'an'zhi'fu'zi'zhi'you'ruo'shi'ye 安知夫子之犹若是也
'an'zhi'tuo'tie'ping'bu'po 安置妥帖平不颇
'an'zhi'wo'bu'zhi'yu'zhi'le 安知我不知鱼之乐
'an'zhi'yu'zhi'le 安知鱼之乐
'an'zhong'tou'huan 暗中偷换
'an'zhui'qian'shi 暗追前事
'ao'tou'xiao'cu'xing'chun'dui 遨头小簇行春队
'ao'wu'ze'gu'rou'wei'xing'lu 傲物则骨肉为行路
'ao'xiang'peng'hao'zhi'jian 翱翔蓬蒿之间
'ao'zhong'shen'zhi'chou 骜终身之丑
'ba'bai'li'fen'hui'xia'jiu 八百里分麾下灸
'ba'bi'you'da'guo 霸必有大国
'ba'chi'ting'zhong'shi'nong'ying 八尺庭中时弄影
'ba'chu'gong'zhong'zhi'shu'er'wu'a'si 拔出公忠之属而无阿私
'ba'chun'bo'dou'niang'zuo 把春波都酿作
'ba'guan'zuo'ri'jin'ru'he 罢官昨日今如何
'ba'gui'wu'jiu'ye 罢归无旧业
'ba'hu'qi'cui 拔乎其萃
'ba'jia'jie'si'bai'mu 八家皆私百亩
'ba'jian'mi'xu'jun 把剑觅徐君
'ba'jian'qie'er'dan'zhi 拔剑切而啖之
'ba'jian'si'gu'xin'mang'ran 拔剑四顾心茫然
'ba'jian'zhuang'er'po'zhi 拔剑撞而破之
'ba'jiao'bu'zhan'ding'xiang'jie 芭蕉不展丁香结
'ba'jiao'ye'da'zhi'zi'fei 芭蕉叶大栀子肥
'ba'jiu'chang'ting'shuo 把酒长亭说
'ba'jiu'hua'sang'ma 把酒话桑麻
'ba'jiu'wen'qing'tian 把酒问青天
'ba'jiu'zhu'dong'feng 把酒祝东风
'ba'ju'er'bu'shi'qi'neng 拔举而不失其能
'ba'kou'zhi'jia'ke'yi'wu'ji'yi 八口之家可以无饥矣
'ba'ma'chui'yang'du 跋马垂杨渡
'ba'nian'er'bu'zhi'si 八年而不知死
'ba'nian'qi'han 八年七旱
'ba'po'mao'nian'nian'nian'chu 把破帽年年拈出
'ba'qian'li'lu'yun'he'yue 八千里路云和月
'ba'qian'sui'wei'qiu 八千岁为秋
'ba'qiao'zhe'luan'sheng 八窍者卵生
'ba'ren'song'yu'tian 巴人讼芋田
'ba'ru'jiang'hai'ning'qing'guang 罢如江海凝清光
'ba'shan'chu'shui'qi'liang'de 巴山楚水凄凉地
'ba'shan'dao'zhong'chu'ye'you'huai 巴山道中除夜有怀
'ba'shan'ye'yu'zhang'qiu'chi 巴山夜雨涨秋池
'ba'shang'qiu'ju 灞上秋居
'ba'sheng'gan'zhou 八声甘州
'ba'si'er'jin'xing'dao'le 把似而今醒到了
'ba'wu'gou'kan'le 把吴钩看了
'ba'xian'yan'yu 把闲言语
'ba'xian'yu'xian'yan 把闲语闲言
'ba'yi'di'san 八佾第三
'ba'yi'wu'yu'ting 八佾舞于庭
'ba'yuan'feng'yu'ding 灞原风雨定
'ba'yue'hu'die'lai 八月蝴蝶来
'ba'yue'hu'shui'ping 八月湖水平
'ba'yue'shi'si'ri'yu'wo'bing'bo'shan'si'zhong 八月十四日余卧病博山寺中
'ba'yue'shi'wu'ye'zeng'zhang'gong'cao 八月十五夜赠张功曹
'ba'yue'xiao'guan'dao 八月萧关道
'ba'zhan'chang'hen'wu'ping'ting 把盏常恨无娉婷
'bai'bi'qiu'chong'tan 败壁秋虫叹
'bai'bo'jiu'dao'liu'xue'shan 白波九道流雪山
'bai'bo'ruo'shan 白波若山
'bai'bu'jiu'zhe'ying'yan'luan 百步九折萦岩峦
'bai'bu'yi'yin 百步一饮
'bai'cai'jie'du 百材皆度
'bai'cao'qian'hua'han'shi'lu 百草千花寒食路
'bai'chen'lang'zhong 拜臣郎中
'bai'cheng'zhi'jia'ye 百承之家也
'bai'chuan'dong'dao'hai 百川东到海
'bai'chuan'guan'he 百川灌河
'bai'di'cheng'bian'gu'mu'shu 白帝城边古木疏
'bai'er'shou'zhi 拜而受之
'bai'fa'bei'hua'luo 白发悲花落
'bai'fa'cui'nian'lao 白发催年老
'bai'fa'kong'chui'san'qian'zhang 白发空垂三千丈
'bai'fa'liu'lang'gu'fu 白发刘郎孤负
'bai'fa'san'qian'zhang 白发三千丈
'bai'fa'shu'sheng'shen'zhou'lei 白发书生神州泪
'bai'fa'shui'jia'weng'ao 白发谁家翁媪
'bai'fa'ta'shi'bu'fang'jun 白发他时不放君
'bai'gong'ju'si'yi'cheng'qi'shi 百工居肆以成其事
'bai'gong'you'qi'xie'zhi'qiao'ze'zhuang 百工有器械之巧则壮
'bai'gong'zheng'er'mie 白公争而灭
'bai'gong'zhi'shi 百工之事
'bai'gu'luan'peng'hao 白骨乱蓬蒿
'bai'guan'niu'yang'shi'lin'bei 百官牛羊食廪备
'bai'guan'you'si 百官有司
'bai'guan'zhi'fu 百官之富
'bai'guan'zong'ji'yi'ting'yu'zhong'zai 百官总己以听于冢宰
'bai'guan'zu'ren 百官族人
'bai'he'jiang'ru'jing 白鹤江入京
'bai'he'ling'luo 败荷零落
'bai'he'zai'he'chu 白鹤在何处
'bai'hong'chen'yi'ye'han'tao 败红趁一叶寒涛
'bai'jiu'chuang'tou'chu'shu 白酒床头初熟
'bai'ju'xue'yu'lao'dan 柏矩学于老聃
'bai'lang'he'bei'yin'shu'duan 白狼河北音书断
'bai'le'ren'tou 白了人头
'bai'le'shao'nian'tou 白了少年头
'bai'li'xi'bu'jian 百里奚不谏
'bai'li'xi'jue'lu'bu'ru'yu'xin 百里奚爵禄不入于心
'bai'li'xi'zi'yu'yu'qin'yang'sheng'zhe 百里奚自鬻於秦养牲者
'bai'lu'heng'jiang 白露横江
'bai'ma'jiao'nie'huang'jin'le 白马嚼啮黄金勒
'bai'mao'fu'lv'shui 白毛浮绿水
'bai'men'liao'luo'yi'duo'wei 白门寥落意多违
'bai'mu'zhi'fen 百亩之粪
'bai'mu'zhi'tian 百亩之田
'bai'nian'bei'xiao 百年悲笑
'bai'nian'dou'shi'ji'duo'shi 百年都是几多时
'bai'nian'duo'bing'du'deng'tai 百年多病独登台
'bai'nian'er'hou'beng 百年而後崩
'bai'nian'lao'wu 百年老屋
'bai'nian'pu'liu'xian'shuai 百年蒲柳先衰
'bai'nian'shu'ren 百年树人
'bai'nian'zhi'mu 百年之木
'bai'niao'he'he 白鸟鹤鹤
'bai'niao'wu'yan'ding'zi'chou 白鸟无言定自愁
'bai'ping'hua'man'jian'qun'chu 白苹花满湔裙处
'bai'ping'zhou'pan 白苹洲畔
'bai'ren'jiao'yu'qian 白刃交于前
'bai'ri'deng'shan'wang'feng'huo 白日登山望烽火
'bai'ri'fang'ge'xu'zong'jiu 白日放歌须纵酒
'bai'ri'luo'liang'zhou 白日落梁州
'bai'ri'xiao'can'zhan'gu 白日销残战骨
'bai'ri'yi'shan'jin 白日依山尽
'bai'she'chong'jian'er'bu'gan'xi 百舍重趼而不敢息
'bai'sheng'zhi'jia 百乘之家
'bai'shi'bu'neng'gai'ye 百世不能改也
'bai'shou'fang'hui'du'shu'chi 白首方悔读书迟
'bai'shou'wo'song'yun 白首卧松云
'bai'shou'zhen'kong 百兽震恐
'bai'shui'rao'dong'cheng 白水绕东城
'bai'tou'gong'nv'zai 白头宫女在
'bai'tou'gu'ke 白头孤客
'bai'tou'sao'geng'duan 白头搔更短
'bai'tu'dao'yao'cheng 白兔捣药成
'bai'wan'zhi'shi 百万之师
'bai'wu'sheng'yan 百物生焉
'bai'xing'an'zhi 百姓安之
'bai'xing'bu'zu 百姓不足
'bai'xing'jie'wei 百姓皆谓
'bai'xing'jie'yi'wang'wei'ai'ye 百姓皆以王为爱也
'bai'xing'jie'zhu'qi'er'mu 百姓皆注其耳目
'bai'xing'ru'sang'kao'bi 百姓如丧考妣
'bai'xing'wen'wang'che'ma'zhi'yin 百姓闻王车马之音
'bai'xing'wen'wang'zhong'gu'zhi'sheng 百姓闻王钟鼓之声
'bai'xing'you'guo 百姓有过
'bai'xing'yue'man 拜星月慢
'bai'xing'yue'zhi 百姓悦之
'bai'xing'zhi'bu'jian'bao 百姓之不见保
'bai'xu'qi'zhong 败絮其中
'bai'xue'ge'song'wu'pan'guan'gui'jing 白雪歌送武判官归京
'bai'xue'que'xian'chun'se'wan 白雪却嫌春色晚
'bai'yan'ai'ming'qu'huang'ye'xia 白雁哀鸣去黄叶下
'bai'ye'shi'wu'di 白也诗无敌
'bai'yi'shang'ping'zhu'lan'li 白衣裳凭朱阑立
'bai'yin'pan'li'yi'qing'luo 白银盘里一青螺
'bai'ying'zhang'guan'xin'yu'sui 拜迎长官心欲碎
'bai'you'yu'nian'yi 百有余年矣
'bai'yu'bu'hui 白玉不毁
'bai'yu'tiao'zhu'luan'ru'chuan 白雨跳珠乱入船
'bai'yue'zhi'jun 百越之君
'bai'yun'hui'wang'he 白云回望合
'bai'yun'qian'zai'kong'you'you 白云千载空悠悠
'bai'yun'shen'chu'you'ren'jia 白云深处有人家
'bai'yun'sheng'chu'you'ren'jia 白云生处有人家
'bai'yun'wu'jin'shi 白云无尽时
'bai'yun'yi'jing'zhu 白云依静渚
'bai'yun'yi'pian'qu'you'you 白云一片去悠悠
'bai'zhan'bu'dai 百战不殆
'bai'zhuan'huang'li'yu 百转黄鹂语
'bai'zhuan'qian'sheng'sui'yi'yi 百啭千声随意移
'bai'zhuan'qian'sheng'sui'yi'yi 百转千声随意移
'bai'zhuan'wu'ren'neng'jie 百啭无人能解
'bai'zi'qian'hong'hua'zheng'luan 百紫千红花正乱
'ban'bai'zhe'bu'fu'dai'yu'dao'lu'yi 颁白者不负戴于道路矣
'ban'bai'zhe'bu'fu'dai'yu'dao'lu'yi 颁白者不负戴於道路矣
'ban'bi'jian'hai'ri 半壁见海日
'ban'dang'shi'cheng'chen 板荡识诚臣
'ban'gao'bo'jian'bie'pu'ying'hui 半篙波渐别浦萦回
'ban'hu'qiu'shui'jian'huang'hua 半壶秋水荐黄花
'ban'huang'mei'zi 半黄梅子
'ban'jiang'se'se'ban'jiang'hong 半江瑟瑟半江红
'ban'juan'hong'qi'lin'yi'shui 半卷红旗临易水
'ban'jun'you'du 伴君幽独
'ban'kong'yan'yu 半空烟雨
'ban'ling'luo'yi'yi 半零落依依
'ban'luo'mei'hua'wan'mian'xiang 半落梅花婉娩香
'ban'mu'fang'tang'yi'jian'kai 半亩方塘一鉴开
'ban'pi'hong'xiao'yi'zhang'ling 半匹红绡一丈绫
'ban'ren'yi'sha 伴人一霎
'ban'ru'jiang'feng'ban'ru'yun 半入江风半入云
'ban'sheng'yi'fen'gu'mian'guo 半生已分孤眠过
'ban'shi'fu'ping'sui'shi'shui 半世浮萍随逝水
'ban'wo'wei'yin 伴我微吟
'ban'xing'ban'zui'ri'fu'ri 半醒半醉日复日
'ban'ye'jun'xing'ge'xiang'bo 半夜军行戈相拨
'ban'ye'liang'chu'tou 半夜凉初透
'ban'yin'ban'qing'yun'mu 半阴半晴云暮
'ban'yuan'xiu'dao'ban'yuan'jun 半缘修道半缘君
'ban'zhui'yi'xi'wu'xun'chu 斑骓一系无寻处
'ban'zhui'zhi'xi'chui'yang'an 斑骓只系垂杨岸
'bang'fen'beng'li'xi'er'bu'neng'shou'ye 邦分崩离析而不能守也
'bang'hai'tang'pian'ai 傍海棠偏爱
'bang'hua'sui'liu'guo'qian'chuan 傍花随柳过前川
'bang'jun'shu'sai'men 邦君树塞门
'bang'jun'wei'liang'jun'zhi'hao 邦君为两君之好
'bang'jun'zhi'qi 邦君之妻
'bang'ku'lin'gu'dao 傍枯林古道
'bang'lin'wen'zhe'duo'tan'xi 傍邻闻者多叹息
'bang'liu'xi'ma 傍柳系马
'bang'ren'cheng'zhi'yue 邦人称之曰
'bang'wu'dao'ru'shi 邦无道如矢
'bang'wu'dao'ze'ke'juan'er'huai'zhi 邦无道则可卷而怀之
'bang'you'dao'ru'shi 邦有道如矢
'bang'you'dao'ze'shi 邦有道则仕
'bao'bu'mao'si 抱布贸丝
'bao'chai'lou'shang 宝钗楼上
'bao'chai'lou'wai'qiu'shen 宝钗楼外秋深
'bao'chai'shi'jiu 宝钗贳酒
'bao'chan'shan'yi'wei'zhi'hua'shan 褒禅山亦谓之华山
'bao'ci'dao'zhe 保此道者
'bao'da'ping'sheng'wei'zhan'mei 报答平生未展眉
'bao'dai'jin'zhang 宝带金章
'bao'dao'shan'zhong'qu 报到山中去
'bao'de'san'chun'hui 报得三春晖
'bao'de'san'chun'hui 报得三春辉
'bao'de'yang'he 抱德炀和
'bao'gong'e'gong'mao'fa'dong 褒公鄂公毛发动
'bao'guan'ji'tuo 抱关击柝
'bao'guan'ji'tuo'zhe 抱关击柝者
'bao'guo'liu'ji 苞裹六极
'bao'hu'ping'he 暴虎冯河
'bao'jian'yu'wang 暴见於王
'bao'jing'nan'xun 宝镜难寻
'bao'ju'yu'nei 包举宇内
'bao'jun'dai'zuo 暴君代作
'bao'jun'huang'jin'tai'shang'yi 报君黄金台上意
'bao'jun'wu'li 暴君污吏
'bao'le'yi'can'yun 宝勒倚残云
'bao'lian'gua'qiu'leng 宝奁挂秋冷
'bao'lian'ru'yue'bu'qi'ren 宝奁如月不欺人
'bao'lian'xian'gua'xiao'yin'gou 宝帘闲挂小银钩
'bao'liu'zhi'ri'duan'ye 报刘之日短也
'bao'ma'diao'an 宝马雕鞍
'bao'ma'diao'che'xiang'man'lu 宝马雕车香满路
'bao'ming'yue'er'chang'zhong 抱明月而长终
'bao'qi'min'shen 暴其民甚
'bao'ren'an'shu'jie'xuan 报任安书节选
'bao'ren'zhi'qian'zhe 暴人之前者
'bao'shan'ying'gui'jiu'hua'zhang 宝扇迎归九华帐
'bao'shan'zhong'xun'ming'yue'ying 宝扇重寻明月影
'bao'shen'yi'jing 抱神以静
'bao'shi'zhong'ri 饱食终日
'bao'shuang'ting'yuan'qie'sheng'yi 薄霜庭院怯生衣
'bao'wei'you'yi'dui'ye 暴未有以对也
'bao'weng'er'chu'guan 抱瓮而出灌
'bao'xi'si'liang 抱膝思量
'bao'yang'hua'zhuan 宝杨花转
'bao'yang'qi'nei'er'hu'shi'qi'wai 豹养其内而虎食其外
'bao'ying'wu'mian 抱影无眠
'bao'you'zhong'lang 胞有重阆
'bao'zhi'lu'zhong'ye 褒之庐冢也
'bao'zhi'yi'li 报之以李
'bao'zhi'yu'min'er'min'shou'zhi 暴之於民而民受之
'bao'zhi'zhi'ye 宝之至也
'bao'zhu'sheng'zhong'yi'sui'chu 爆竹声中一岁除
'bei'cheng'jian'yao 背城渐杳
'bei'chi'zhi'yu 陂池之鱼
'bei'chuang'gao'wo 北窗高卧
'bei'chui'chu'shou'ru 被箠楚受辱
'bei'cun'nan'guo 北村南郭
'bei'de'tai'wei'yi'shi 备得太尉遗事
'bei'deng'he'yue'jiu'hua'yin 背灯和月就花阴
'bei'dou'jian'chun'yuan 北斗兼春远
'bei'dou'lan'gan'nan'dou'xie 北斗阑干南斗斜
'bei'dou'qi'xing'gao 北斗七星高
'bei'er'bu'ke'bu'yin'zhe 卑而不可不因者
'bei'fa'xing'ge'er'you'yu'tang'xia 被发行歌而游于塘下
'bei'fan'hong'lang 被翻红浪
'bei'fang'zhi'xian'zhe'ye 北方之贤者也
'bei'fang'zhi'xue'zhe 北方之学者
'bei'fei'shuang'yan'tie'yun'han 背飞双燕贴云寒
'bei'feng'chui'yan'xue'fen'fen 北风吹雁雪纷纷
'bei'feng'jiang'shang'han 北风江上寒
'bei'feng'juan'di'bai'cao'zhe 北风卷地白草折
'bei'feng'yu'xue'hen'nan'cai 北风雨雪恨难裁
'bei'fu'qing'tian'er'mo'zhi'yao'yan'zhe 背负青天而莫之夭阏者
'bei'gao'san'zhang'zi'ru'dou 碑高三丈字如斗
'bei'ge'wei'che 悲歌未彻
'bei'gong'she'wei'wei'ling'gong'fu'lian'yi'wei'zhong 北宫奢为卫灵公赋敛以为钟
'bei'gong'shi'er'jin'li'hu'gou'xu 卑宫室而尽力乎沟洫
'bei'gong'wen'yue 北宫问曰
'bei'gong'you'si'zi'xia 北宫黝似子夏
'bei'gong'you'zhi'yang'yong'ye 北宫黝之养勇也
'bei'hai'ruo'yue 北海若曰
'bei'hai'zhi'di'wei'hu 北海之帝为忽
'bei'hen'xiang'xu 悲恨相续
'bei'hou'he'suo'jian 背后何所见
'bei'ji'chao'ting'zhong'bu'gai 北极朝庭终不改
'bei'jing'zhong'hua'shu'ju 北京中华书局
'bei'jiu'mo'jing'chun'shui'zhong 被酒莫惊春睡重
'bei'leng'xiang'xiao'xin'meng'jue 被冷香消新梦觉
'bei'li'ying'ying'gu'zuo'xiu 背立盈盈故作羞
'bei'lou'xian'shang 北楼闲上
'bei'mang'wu'shu'huang'qiu 北邙无数荒丘
'bei'men'cheng'wen'yu'huang'di'yue 北门成问于黄帝曰
'bei'mian'chu'yao'shen 背面楚腰身
'bei'mian'er'bu'jian'ming'shan 北面而不见冥山
'bei'mian'er'wen'yue 北面而问曰
'bei'mian'qi'shou'zai'bai'er'bu'shou 北面稽首再拜而不受
'bei'mian'zhi'huo'ye 北面之祸也
'bei'ming'you'yu 北冥有鱼
'bei'pan'lang'ji 杯盘狼籍
'bei'qu'bu'yi'quan'yu'ji 被驱不异犬与鸡
'bei'que'xiu'shang'shu 北阙休上书
'bei'ren'hai'guo'mu'mo 背人还过木末
'bei'ru'lai'qian 杯汝来前
'bei'ruo'tai'shan 背若泰山
'bei'shan'bai'yun'li 北山白云里
'bei'shan'yuan'he 北山猿鹤
'bei'shang'ma'ling 北上马岭
'bei'shen'er'fu 卑身而伏
'bei'shou'yao'hai'zhi'jun 北收要害之郡
'bei'ta'dao'chu'ru'yu'fei'chang'ye 备他盗出入与非常也
'bei'ta'dao'zhi'chu'ru'yu'fei'chang'ye 备他盗之出入与非常也
'bei'ta'yin're'qi'ta'hen 被他引惹其他恨
'bei'tu'fei'wu'yuan 北土非吾愿
'bei'wu'jiang'yi'xing 备物将以形
'bei'xi'feng'chui'jin 被西风吹尽
'bei'xi'yu'xun 被惜余熏
'bei'xing'jian'xing'hua 北行见杏花
'bei'xue'yu'zhong'guo 北学於中国
'bei'yi'da'shuo 被衣大说
'bei'zhong'jiu'bu'kong 杯中酒不空
'ben'chang'an'chang'nv 本长安倡女
'ben'cou'ru'chao'dong 奔凑如朝东
'ben'dian'zi'ban 本电子版
'ben'feng'bu'neng'hua'huo 奔蜂不能化藿
'ben'ji'shi'er 本纪十二
'ben'li'er'dao'sheng 本立而道生
'ben'liu'dao'hai'bu'fu'hui 奔流到海不复回
'ben'shi'tong'gen'sheng 本是同根生
'ben'tu'huan'da 本图宦达
'ben'wei'lan'ben 本为蓝本
'ben'yi'gao'nan'bao 本以高难饱
'ben'zai'yu'shang 本在于上
'ben'zhi'ze'wu 本之则无
'ben'zhi'zhong'sheng 本直中绳
'ben'zi'wu'jiao'xun 本自无教训
'beng'nian'yi'zai'yong'an'gong 崩年亦在永安宫
'beng'quan'sa'sa'fei'mu'mo 迸泉飒飒飞木末
'bi'bai'sheng'zhi'jia 必百乘之家
'bi'bi'xiang'yu'yi 彼必相与异
'bi'bian'se'er'zuo 必变色而作
'bi'biao'er'chu'zhi 必表而出之
'bi'bu'de'meng 彼不得梦
'bi'bu'de'yi'er'qu 必不得已而去
'bi'bu'neng'jin'shi'wu'zhi'bei 必不能禁失吾之悲
'bi'bu'sheng'ren'yi 必不胜任矣
'bi'chao'fu'er'chao 必朝服而朝
'bi'che'wei'chan 鼻彻为颤
'bi'chu'hu'wu'you 必出乎无有
'bi'chu'yu'shi 彼出于是
'bi'cong'wu'yan'yi 必从吾言矣
'bi'da'qi'zhi 必达其志
'bi'de'quan'yu'jiu'er'you'ruo'shi 彼得全于酒而犹若是
'bi'duo'qi'min'shi 彼夺其民时
'bi'e'de'er'yu'zhi 彼恶得而鬻之
'bi'e'de'er'zhi'zhi 彼恶得而知之
'bi'e'gan'dang'wo'zai 彼恶敢当我哉
'bi'e'zhi'zhi 彼恶知之
'bi'er'de'qin'shou 比而得禽兽
'bi'fang'qie'yu'zao'wu'zhe'wei'ren 彼方且与造物者为人
'bi'fei'ru'chang'ye 臂非如长也
'bi'fei'suo'ming'er'ming'zhi 彼非所明而明之
'bi'fen'qi'neng 必分其能
'bi'fu'gong'jian 必服恭俭
'bi'gan'jian'er'si 比干谏而死
'bi'gao'fu'mu 必告父母
'bi'gu'huo'er'lai'yi 彼固惑而来矣
'bi'gu'qi'gen'ben 必固其根本
'bi'gu'qiang'zhi 必故强之
'bi'gu'xing'zhi 必故兴之
'bi'gu'yu'zhi 彼故鬻之
'bi'gu'yu'zhi 必故与之
'bi'gu'zhang'zhi 必故张之
'bi'gu'zhi'zhi 彼故知之
'bi'gui'qi'tian 必归其天
'bi'hai'fei'jin'jing 碧海飞金镜
'bi'han'xiu'xiao'xiang'yu 避含羞笑相语
'bi'hao'you'zhe'shang'bu'neng'shi'yi 比好游者尚不能十一
'bi'he'bin'bin'yi'xue'zi'wei 彼何宾宾以学子为
'bi'he'ren'zai 彼何人哉
'bi'he'ren'zai'xuan'yu'xi 彼何人哉轩与羲
'bi'he'ren'zhe'xie 彼何人者邪
'bi'he'xia'an'qi'xing'ming'zhi'qing'zai 彼何暇安其性命之情哉
'bi'he'zui'yan 彼何罪焉
'bi'ji'qi'de'yi 必积其德义
'bi'ji'san'nian 比及三年
'bi'jia'xiu'hun'dun'shi'zhi'shu'zhe'ye 彼假修浑沌氏之术者也
'bi'jian'qi'qing'shi'er'xing'qi'suo'wei 毕见其情事而行其所为
'bi'jiang'chu'hu'bu'yin'zhi'du 彼将处乎不淫之度
'bi'jiang'nei'qiu'yu'ji'er'bu'de 彼将内求于己而不得
'bi'jiao'bu'xue 彼教不学
'bi'jie'yu'wo'zhi'suo'tong 彼皆与我之所同
'bi'jie'zhe'you'jian'er'dao'ren'zhe'wu'hou 彼节者有间而刀刃者无厚
'bi'jin'wu'si'er'wo'bu'ting 彼近吾死而我不听
'bi'jing'bi'jie 必敬必戒
'bi'jing'bi'qing 必静必清
'bi'jing'dong'liu'qu 毕竟东流去
'bi'jing'xi'hu'liu'yue'zhong 毕竟西湖六月中
'bi'jun'qi'quan'yuan 必浚其泉源
