'a'de'la'nuo 阿德拉诺
'luo'sa'ni'si 罗萨尼斯
'luo'wei'ge 罗维戈
'luo'xi'ni 罗西尼
'ma'er'di'na 马尔蒂纳
'ma'er'ti'ma 马尔替马
'ma'qie'la'te'si 马切拉特斯
'ma'si'nai'si 马斯奈斯
'ma'tai'la 马泰拉
'mai'la'te 迈拉特
'man'fu'lei'duo'ni'ya 曼弗雷多尼亚
'man'tuo'wa 曼托瓦
'mei'er'fei 梅尔菲
'mei'xi'na 梅西纳
'mei'xi'si 梅西斯
'mei'zha'la'la 梅扎拉拉
'meng'di'zhi'ya'li 蒙迪治亚利
'meng'ta'er'qi'nuo 蒙塔尔奇诺
'meng'te'bie'lu'na 蒙特别鲁那
'meng'te'luo'tong'duo 蒙特罗通多
'meng'zha 蒙扎
'mo'de'na 摩德纳
'mo'luo'di'ao 莫罗帝奥
'mo'nuo'luo 莫诺罗
'mo'nuo'pu'li 莫诺普利
'mo'ze'ke'luo'na 莫泽科罗纳
'na'bu'le'si 那不勒斯
'na'ni'se 纳尼瑟
'nu'wo'kan'bo'ba'suo 努沃坎波巴索
'nuo'ke'li'na 诺克里纳
'nuo'rui'si 诺瑞斯
'nuo'wa'na 诺瓦纳
'nuo'yi'ka'ta'luo 诺伊卡塔罗
'pa'duo'wa 帕多瓦
'pa'er'ma 帕尔玛
'pa'jia'ni 帕加尼
'pa'la'zuo'luo 帕拉佐罗
'pa'te'en 帕特恩
'pa'wei'ya 帕维亚
'pei'er'ge'ka'li'ma 佩尔戈卡里马
'pei'er'ge'la 佩尔戈拉
'pei'lu'gu 佩鲁贾
'pei'si'ka'la 佩斯卡拉
'pei'ta'ka'qi'tuo 佩塔卡齐托
'peng'ne 蓬讷
'peng'tai'dai'la 蓬泰代拉
'pi'sen'jia'nuo 皮森加诺
'pi'si'tuo'yi'si 匹斯托伊斯
'pi'wo'si 皮沃斯
'pi'ya'qin'cha 皮亚琴查
'pi'zi'he'te'dun 皮兹赫特顿
'po'ji'bo'si 珀吉波斯
'pu'fei'duo'a'er'ba'ya'nuo 普菲多阿尔巴亚诺
'pu'la'tuo 普拉托
'qi'la'nuo 奇拉诺
'qi'wei'ta'wei'ji'ya 契维塔韦基亚
'qie'sai'na 切塞纳
'qie'ta'de'la 切塔德拉
'qie'wei'ya 切维亚
'qie'wo 切沃
'quan'di'yin 全蒂因
're'na'ya 热那亚
'ren'de 仁德
'sa'er'nuo 萨尔诺
'sa'er'zha'ni'si 萨尔扎尼斯
'sa'le'ni'ta'na 萨勒尼塔纳
'sa'lue'se 萨略瑟
'sa'luo 萨罗
'sa'mu'bo'ni'fa'qi'si 萨姆波尼法奇斯
'sa'pu'li 萨普利
'sa'ta'san'ao'le'si 萨塔散奥勒斯
'sa'wo'ya 萨沃亚
'sai'lei'nuo 塞雷诺
'sai'suo'luo 塞索罗
'sai'te'si 塞特斯
'sai'xi'na 塞西那
'sang'li'mei'si 桑利梅斯
'sang'pu'duo'li'ya 桑普多利亚
'sang'suo'wei'nuo 桑索维诺
'sang'te'an'dong'ni'ao 桑特安东尼奥
'sang'te'ji'di'ni'si 桑特基迪尼斯
'se'si'quan'lei'fan'te 瑟斯全雷范特
'se'si'tuo 瑟斯托
'sen'ji'mi'ya'nuo 森基米亚诺
'sen'te'bu'qie 森特布切
'sha'luo'na 莎罗纳
'sheng'bei'nei'dai'tuo 圣贝内代托
'sheng'la'zha'luo'bo'ka 圣拉扎罗博卡
'sheng'ma'er'ke 圣马尔科
'sheng'ma'li'nuo 圣马力诺
'sheng'pa'te'li'ya 圣帕特里亚
'sheng'qiao'wa'ni 圣乔瓦尼
'sheng'sai'bo'er'ke'luo 圣塞波尔克罗
'sheng'wei'te'si 圣维特斯
'sheng'zhu'sai'pei 圣朱塞佩
'sheng'zhu'si'di'na 圣朱斯蒂纳
'si'ka'fa'di 斯卡法蒂
'si'ke'luo'ma 思科罗马
'si'pa'er 斯帕尔
'si'pei'qi'ya 斯佩齐亚
'suo'er'bi'ya'te'si 索尔比亚特斯
'suo'lun'tuo 索伦托
'ta'lan'tuo 塔兰托
'ta'mai 塔迈
'te'la'mo 特拉莫
'te'la'na 特拉纳
'te'lei'wei'suo 特雷维索
'te'li'ai'si'di'na 特里埃斯蒂纳
'te'li'nuo'wei'qie'lei'si 特里诺维切累斯
'te'lun'tuo 特伦托
'teng'pi'ao 滕皮奥
'ti'wo'li 提沃利
'tu'la'te 图拉特
'tu'li'si 图里斯
'tuo'le'ni'ti'nuo 托勒尼提诺
'tuo'li'si 托里斯
'wa'le'ni'zha'na 瓦勒尼扎纳
'wa'lei'ze 瓦雷泽
'wa'si'tuo 瓦斯托
'wei'ai'le 维埃勒
'wei'du'li'ge 维杜里格
'wei'la'qi'de'luo 维拉奇德罗
'wei'li'ba'si'lian 维里巴斯联
'wei'luo'na 维罗纳
'wei'ni'si 威尼斯
'wei'nu'qi'wo 维奴奇沃
'wei'qie'li 维切利
'wei'qin'cha 维琴查
'wei'tai'bi'si 维泰比斯
'wei'tu'si 维图斯
'wei'ya'lei'ji'ao 维亚雷吉奥
'wu'di'nei'si 乌迪内斯
'xi'ye'na 锡耶纳
'xin'wei'bo'ni 新韦博尼
'ya'te'lan'da 亚特兰大
'yi'bing 意丙
'yi'da'li'zu'qiu'bing'ji'lian'sai 意大利足球丙级联赛
'yi'da'li'zu'qiu'jia'ji'lian'sai 意大利足球甲级联赛
'yi'da'li'zu'qiu'yi'ji'lian'sai 意大利足球乙级联赛
'yi'fu'lei'ya 伊夫雷亚
'yi'jia 意甲
'yi'si'ji'ya 伊斯基亚
'yi'yi 意乙
'yin'pei'li'ya 因佩里亚
'you'wen'si'ta'bi'ya 尤文斯塔比亚
'you'wen'tu'si 尤文图斯
'zhu'ge'li'ya'nuo 朱格里亚诺
'zhu'li'ya'nuo'wa 朱利亚诺瓦
