'an'jian'bu'men 安监部门
'an'quan'sheng'chan'guan'li'ji'gou 安全生产管理机构
'an'quan'sheng'chan'guan'li'ren'yuan 安全生产管理人员
'an'quan'sheng'chan'guan'li'ren'yuan'wei'an'zhao'gui'ding'jing'kao'he'he'ge'de 安全生产管理人员未按照规定经考核合格的
'an'quan'sheng'chan'guan'li'xie'yi 安全生产管理协议
'an'quan'sheng'chan'gui'zhang'zhi'du 安全生产规章制度
'an'quan'sheng'chan'jian'du'guan'li'bu'men'he'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'you'guan'bu'men 安全生产监督管理部门和负有安全生产监督管理职责的有关部门
'an'quan'sheng'chan'jian'du'jian'cha'ren'yuan 安全生产监督检查人员
'an'quan'sheng'chan'jian'du'jian'cha'ren'yuan'ying'dang'jiang'jian'cha'de'shi'jian'de'dian'nei'rong 安全生产监督检查人员应当将检查的时间地点内容
'an'quan'sheng'chan'jian'du'jian'cha'ren'yuan'ying'dang'zhong'yu'zhi'shou'jian'chi'yuan'ze'bing'gong'zhi'fa 安全生产监督检查人员应当忠于职守坚持原则秉公执法
'an'quan'sheng'chan'jian'du'jian'cha'ren'yuan'zhi'xing'jian'du'jian'cha'ren'wu'shi'bi'xu'chu'shi'you'xiao'de'jian'du'zhi'fa'zheng'jian 安全生产监督检查人员执行监督检查任务时必须出示有效的监督执法证件
'an'quan'sheng'chan'ke'xue'ji'shu'yan'jiu 安全生产科学技术研究
'an'quan'sheng'chan'pei'xun 安全生产培训
'an'quan'sheng'chan'tiao'jian 安全生产条件
'an'quan'sheng'chan'tou'ru 安全生产投入
'an'quan'sheng'chan'wei'fa'xing'wei 安全生产违法行为
'an'quan'sheng'chan'xian'jin'ji'shu'de'tui'guang'ying'yong 安全生产先进技术的推广应用
'an'quan'sheng'chan'xuan'chuan'jiao'yu 安全生产宣传教育
'an'quan'sheng'chan'ze'ren'zhi 安全生产责任制
'an'quan'sheng'chan'zhuang'kuang 安全生产状况
'an'quan'shi'yong'zheng 安全使用证
'an'quan'tiao'jian'lun'zheng 安全条件论证
'an'quan'wen'ti 安全问题
'an'quan'zuo'ye'pei'xun 安全作业培训
'an'zhao'gui'ding 按照规定
'an'zhao'guo'jia'you'guan'gui'ding 按照国家有关规定
'an'zhao'ren'min'zheng'fu'de'pi'fu 按照人民政府的批复
'an'zhao'shi'yong'gui'ze 按照使用规则
'an'zhao'zhi'ze'fen'gong 按照职责分工
'an'zhuang 安装
'an'zhuang'shi'yong 安装使用
'ban'fa'zheng'zhao 颁发证照
'ban'li'gong'shang'she'hui'bao'xian 办理工伤社会保险
'bao'bi 包庇
'bao'bi'tan'hu 包庇袒护
'bao'bi'tan'hu'fu'you'shi'gu'ze'ren'de'ren'yuan'huo'zhe'jie'ji'da'ji'bao'fu'de 包庇袒护负有事故责任的人员或者借机打击报复的
'bao'chi'an'quan'ju'li 保持安全距离
'bao'chi'chang'tong 保持畅通
'bao'fei 报废
'bao'gao'he'diao'cha'chu'li'bu'shi'yong'ben'tiao'li 报告和调查处理不适用本条例
'bao'gao'huo'zhe'ju'bao 报告或者举报
'bao'gao'shi'gu'ying'dang'bao'kuo'xia'lie'nei'rong 报告事故应当包括下列内容
'bao'gao'zhong'da'shi'gu'yin'huan 报告重大事故隐患
'bao'jing'you'guan'bu'men 报经有关部门
'bao'jing'you'guan'bu'men'shen'cha'tong'yi 报经有关部门审查同意
'bao'jing'you'guan'fu'ze'ren'qian'zi 报经有关负责人签字
'bao'kuo'ben'shu 包括本数
'bao'kuo'chang'suo'he'she'shi 包括场所和设施
'bao'kuo'ji'xing'gong'ye'zhong'du 包括急性工业中毒
'bao'kuo'pi'zhun'he'zhun'xu'ke'zhu'ce'ren'zheng'ban'fa'zheng'zhao'deng 包括批准核准许可注册认证颁发证照等
'bao'po 爆破
'bao'qing'xian'ji'yi'shang'ren'min'zheng'fu'an'zhao'guo'wu'yuan'gui'ding'de'quan'xian'jue'ding 报请县级以上人民政府按照国务院规定的权限决定
'bao'shou'mi'mi 保守秘密
'bao'shou'shi'gu'diao'cha'de'mi'mi 保守事故调查的秘密
'bao'zhang'an'quan'sheng'chan 保障安全生产
'bao'zhang'cong'ye'ren'yuan'lao'dong'an'quan 保障从业人员劳动安全
'bao'zhang'ren'min'qun'zhong'sheng'ming'he'cai'chan'an'quan 保障人民群众生命和财产安全
'bao'zheng'an'quan'sheng'chan'suo'bi'xu'de'zi'jin'tou'ru 保证安全生产所必需的资金投入
'bao'zheng'zheng'chang'yun'zhuan 保证正常运转
'bei'an 备案
'bei'jian'cha'dan'wei 被检查单位
'bei'jian'cha'dan'wei'de'fu'ze'ren'ju'jue'qian'zi'de'jian'cha'ren'yuan'ying'dang'jiang'qing'kuang'ji'lu'zai'an 被检查单位的负责人拒绝签字的检查人员应当将情况记录在案
'bei'shen'cha'yan'shou'de'dan'wei 被审查验收的单位
'ben'dan'wei 本单位
'ben'dan'wei'fu'ze'ren 本单位负责人
'ben'dan'wei'you'guan'fu'ze'ren 本单位有关负责人
'ben'fa'gui'ding'de'xing'zheng'chu'fa'you'fu'ze'an'quan'sheng'chan'jian'du'guan'li'de'bu'men'jue'ding 本法规定的行政处罚由负责安全生产监督管理的部门决定
'ben'tiao'di'yi'kuan'suo'cheng'de'yi'shang'bao'kuo'ben'shu 本条第一款所称的以上包括本数
'ben'tiao'li'gui'ding'de'fa'kuan'de'xing'zheng'chu'fa'you'an'quan'sheng'chan'jian'du'guan'li'bu'men'jue'ding 本条例规定的罚款的行政处罚由安全生产监督管理部门决定
'ben'tiao'li'zi'er'qi'nian'liu'yue'yi'ri'qi'shi'xing 本条例自二七年六月一日起施行
'ben'xing'zheng'qu'yu'nei 本行政区域内
'ben'xing'zheng'qu'yu'nei'fa'sheng'sheng'chan'an'quan'shi'gu'de'qing'kuang 本行政区域内发生生产安全事故的情况
'bi'xu'an'zhao'guo'jia'you'guan'gui'ding 必须按照国家有关规定
'bi'xu'chu'shi 必须出示
'bi'xu'chu'shi'you'xiao'de'jian'du'zhi'fa'zheng'jian 必须出示有效的监督执法证件
'bi'xu'de'zi'jin'tou'ru 必需的资金投入
'bi'xu'ju'bei 必须具备
'bi'xu'wei'cong'ye'ren'yuan'ti'gong'fu'he'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'de'lao'dong'fang'hu'yong'pin 必须为从业人员提供符合国家标准或者行业标准的劳动防护用品
'bi'xu'yan'ge'yi'zhao'you'guan'fa'lv'fa'gui'he'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'gui'ding'de'an'quan'sheng'chan'tiao'jian'he'cheng'xu'jin'xing'shen'cha 必须严格依照有关法律法规和国家标准或者行业标准规定的安全生产条件和程序进行审查
'bi'xu'yi'fa'can'jia'gong'shang'she'hui'bao'xian'wei'cong'ye'ren'yuan'jiao'na'bao'xian'fei 必须依法参加工伤社会保险为从业人员缴纳保险费
'bi'yao'de'ying'ji'jiu'yuan'qi'cai'she'bei 必要的应急救援器材设备
'bi'yao'shi 必要时
'bi'yao'shi'an'jian'bu'men'he'fu'you'an'jian'zhi'ze'de'you'guan'bu'men'ke'yi'yue'ji'shang'bao'shi'gu'qing'kuang 必要时安监部门和负有安监职责的有关部门可以越级上报事故情况
'bian'li'tiao'jian 便利条件
'biao'zhi'ming'xian 标志明显
'biao'zhi'ming'xian'bao'chi'chang'tong'de'chu'kou 标志明显保持畅通的出口
'bing'an'zhao'guo'jia'you'guan'gui'ding'li'ji'ru'shi'bao'gao'dang'di'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men 并按照国家有关规定立即如实报告当地负有安全生产监督管理职责的部门
'bing'bu'de'zai'shi'gu'diao'cha'chu'li'qi'jian'shan'li'zhi'shou 并不得在事故调查处理期间擅离职守
'bing'dui'qi'zuo'chu'de'an'quan'ping'jia'ren'zheng'jian'ce'jian'yan'de'jie'guo'fu'ze 并对其作出的安全评价认证检测检验的结果负责
'bing'dui'shi'gu'ze'ren'zhe'ti'chu'chu'li'yi'jian 并对事故责任者提出处理意见
'bing'dui'shi'gu'ze'ren'zhe'yi'fa'zhui'jiu'ze'ren 并对事故责任者依法追究责任
'bing'gong'zhi'fa 秉公执法
'bing'jin'xing'jing'chang'xing'wei'hu'bao'yang'bao'zheng'zheng'chang'yun'zhuan 并进行经常性维护保养保证正常运转
'bing'jing'qu'de'zhuan'ye'zi'zhi'de'jian'ce'jian'yan'ji'gou'jian'ce'jian'yan'he'ge 并经取得专业资质的检测检验机构检测检验合格
'bing'ti'gong'bi'yao'de'bian'li'tiao'jian 并提供必要的便利条件
'bing'tong'zhi'gong'an'ji'guan'lao'dong'bao'zhang'xing'zheng'bu'men'gong'hui'he'ren'min'jian'cha'yuan 并通知公安机关劳动保障行政部门工会和人民检察院
'bing'xiang'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'bao'gao 并向负有安全生产监督管理职责的部门报告
'bing'xiang'she'hui'gong'bu'zhi'ban'dian'hua 并向社会公布值班电话
'bing'yao'qiu'qi'ti'gong'xiang'guan'wen'jian'zi'liao 并要求其提供相关文件资料
'bing'ying'dang'sui'shi'jie'shou'shi'gu'diao'cha'zu'de'xun'wen 并应当随时接受事故调查组的询问
'bing'ying'dang'yao'qing'ren'min'jian'cha'yuan'pai'ren'can'jia 并应当邀请人民检察院派人参加
'bing'ying'dang'zai'shi'wu'ri'nei'yi'fa'zuo'chu'chu'li'jue'ding 并应当在十五日内依法作出处理决定
'bing'you'jian'cha'ren'yuan'he'bei'jian'cha'dan'wei'de'fu'ze'ren'qian'zi 并由检查人员和被检查单位的负责人签字
'bing'yu'suo'diao'cha'de'shi'gu'mei'you'zhi'jie'li'hai'guan'xi 并与所调查的事故没有直接利害关系
'bing'zhi'ding'zhuan'zhi'an'quan'sheng'chan'guan'li'ren'yuan'jin'xing'an'quan'jian'cha'yu'xie'tiao 并指定专职安全生产管理人员进行安全检查与协调
'bu'bao'kuo'ben'shu 不包括本数
'bu'chong'gui'ding 补充规定
'bu'chong'xing'gui'ding 补充性规定
'bu'de'gu'yi'po'huai'shi'gu'xian'chang'hui'mie'you'guan'zheng'ju 不得故意破坏事故现场毁灭有关证据
'bu'de'jiang'sheng'chan'jing'ying'xiang'mu'chang'suo'she'bei 不得将生产经营项目场所设备
'bu'de'ju'jue'zu'nao 不得拒绝阻挠
'bu'de'pi'zhun 不得批准
'bu'de'pi'zhun'huo'zhe'yan'shou'tong'guo 不得批准或者验收通过
'bu'de'po'huai'shi'gu'xian'chang'hui'mie'xiang'guan'zheng'ju 不得破坏事故现场毁灭相关证据
'bu'de'shan'zi'fa'bu 不得擅自发布
'bu'de'shou'qu'fei'yong 不得收取费用
'bu'de'yao'qiu 不得要求
'bu'de'yao'qiu'jie'shou'shen'cha'yan'shou'de'dan'wei 不得要求接受审查验收的单位
'bu'de'yi'ren'he'xing'shi'yu'cong'ye'ren'yuan'ding'li'xie'yi 不得以任何形式与从业人员订立协议
'bu'de'yin'cong'ye'ren'yuan'dui'ben'dan'wei'an'quan'sheng'chan'gong'zuo'ti'chu'pi'ping'jian'ju'kong'gao 不得因从业人员对本单位安全生产工作提出批评检举控告
'bu'de'yin'man'bu'bao 不得隐瞒不报
'bu'de'yin'man'bu'bao'huang'bao'huo'zhe'tuo'yan'bu'bao 不得隐瞒不报谎报或者拖延不报
'bu'de'ying'xiang 不得影响
'bu'de'zu'nao 不得阻挠
'bu'fu'he'an'quan'yao'qiu 不符合安全要求
'bu'fu'he'bao'zhang'an'quan'sheng'chan'de'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'de 不符合保障安全生产的国家标准或者行业标准的
'bu'fu'he'fa'ding'an'quan'sheng'chan'tiao'jian 不符合法定安全生产条件
'bu'fu'he'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun 不符合国家标准或者行业标准
'bu'fu'he'you'guan'fa'lv'fa'gui'he'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'gui'ding 不符合有关法律法规和国家标准或者行业标准规定
'bu'fu'he'you'guan'fa'lv'fa'gui'he'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'gui'ding'de'an'quan'sheng'chan'tiao'jian'de 不符合有关法律法规和国家标准或者行业标准规定的安全生产条件的
'bu'ji'ru'shi'gu'diao'cha'qi'xian 不计入事故调查期限
'bu'jie'shou'you'guan'zhu'guan'bu'men'yi'fa'shi'shi'de'jian'du'guan'li 不接受有关主管部门依法实施的监督管理
'bu'ju'bei'an'quan'sheng'chan'tiao'jian 不具备安全生产条件
'bu'li'ji'zu'zhi'qiang'jiu'huo'zhe'zai'shi'gu'diao'cha'chu'li'qi'jian'shan'li'zhi'shou'huo'zhe'tao'ni'de 不立即组织抢救或者在事故调查处理期间擅离职守或者逃匿的
'bu'li'ji'zu'zhi'shi'gu'qiang'jiu'de 不立即组织事故抢救的
'bu'lv'xing'jian'du'guan'li'zhi'ze 不履行监督管理职责
'bu'neng'chu'li'de 不能处理的
'bu'neng'chu'li'de'ying'dang'ji'shi'bao'gao'ben'dan'wei'you'guan'fu'ze'ren 不能处理的应当及时报告本单位有关负责人
'bu'yi'fa'yu'yi'chu'li 不依法予以处理
'bu'yi'zhao'ben'fa'gui'ding'bao'zheng'an'quan'sheng'chan'suo'bi'xu'de'zi'jin'tou'ru 不依照本法规定保证安全生产所必需的资金投入
'bu'zai'ju'bei'an'quan'sheng'chan'tiao'jian 不再具备安全生产条件
'bu'zai'ju'bei'an'quan'sheng'chan'tiao'jian'er'bu'che'xiao'yuan'pi'zhun 不再具备安全生产条件而不撤销原批准
'cai'chan 财产
'cai'chan'an'quan 财产安全
'cai'chan'sun'shi 财产损失
'cai'qu'duo'zhong'xing'shi 采取多种形式
'cai'qu'jin'ji'che'li'cuo'shi 采取紧急撤离措施
'cai'qu'ke'kao'de'an'quan'cuo'shi 采取可靠的安全措施
'cai'qu'ke'neng'de'ying'ji'cuo'shi 采取可能的应急措施
'cai'qu'qiang'zhi'cuo'shi 采取强制措施
'cai'qu'qiang'zhi'cuo'shi'he'zhen'cha'cuo'shi 采取强制措施和侦查措施
'cai'qu'you'xiao'cuo'shi 采取有效措施
'cai'qu'you'xiao'cuo'shi'zu'zhi'qiang'jiu'fang'zhi'shi'gu'kuo'da'jian'shao'ren'yuan'shang'wang'he'cai'chan'sun'shi 采取有效措施组织抢救防止事故扩大减少人员伤亡和财产损失
'can'jia'shi'gu'diao'cha'chu'li'de'bu'men'he'dan'wei 参加事故调查处理的部门和单位
'can'yu'diao'cha 参与调查
'can'yu'shi'gu'diao'cha'de'ren'yuan'zai'shi'gu'diao'cha'zhong'you'xia'lie'xing'wei'zhi'yi'de'yi'fa'ji'yu'chu'fen 参与事故调查的人员在事故调查中有下列行为之一的依法给予处分
'can'zhao'ben'tiao'li'de'gui'ding'zhi'xing 参照本条例的规定执行
'cao'zuo'gui'cheng 操作规程
'cha'ming'guan'shi'xiang 查明关事项
'cha'ming'shi'gu'dan'wei'ze'ren 查明事故单位责任
'cha'ming'shi'gu'fa'sheng'de'jing'guo'yuan'yin'ren'yuan'shang'wang'qing'kuang'ji'zhi'jie'jing'ji'sun'shi 查明事故发生的经过原因人员伤亡情况及直接经济损失
'cha'ming'shi'gu'xing'zhi 查明事故性质
'cha'ming'shi'gu'xing'zhi'he'ze'ren 查明事故性质和责任
'cha'qing'shi'gu'yuan'yin 查清事故原因
'chang'qi'de'huo'zhe'lin'shi'de'sheng'chan'ban'yun'shi'yong'huo'zhe'chu'cun'wei'xian'wu'pin 长期地或者临时地生产搬运使用或者储存危险物品
'chang'suo 场所
'chao'guo'lin'jie'liang 超过临界量
'chao'guo'lin'jie'liang'de'dan'yuan 超过临界量的单元
'che'chu'zuo'ye'ren'yuan 撤出作业人员
'che'jian'shang'dian'cang'ku 车间商店仓库
'che'li'wei'xian'chang'suo 撤离危险场所
'che'li'zuo'ye'chang'suo 撤离作业场所
'che'xiao'qi'xiang'ying'zi'ge 撤销其相应资格
'che'zhi'chu'fen 撤职处分
'cheng'bao'dan'wei 承包单位
'cheng'bao'he'tong 承包合同
'cheng'bao'he'tong'zu'lin'he'tong'zhong'ming'que'ge'zi'de'an'quan'sheng'chan'guan'li'zhi'ze 承包合同租赁合同中明确各自的安全生产管理职责
'cheng'dan'an'quan'ping'jia'ren'zheng'jian'ce'jian'yan'de'ji'gou 承担安全评价认证检测检验的机构
'cheng'dan'an'quan'ping'jia'ren'zheng'jian'ce'jian'yan'de'ji'gou'ying'dang'ju'bei'guo'jia'gui'ding'de'zi'zhi'tiao'jian 承担安全评价认证检测检验的机构应当具备国家规定的资质条件
'cheng'dan'an'quan'ping'jia'ren'zheng'jian'ce'jian'yan'gong'zuo'de'ji'gou 承担安全评价认证检测检验工作的机构
'cheng'dan'lian'dai'pei'chang'ze'ren 承担连带赔偿责任
'cheng'dan'ze'ren 承担责任
'cheng'xin'gong'zheng 诚信公正
'cheng'zu'dan'wei 承租单位
'chi'bao 迟报
'chi'bao'huo'zhe'lou'bao'shi'gu'de 迟报或者漏报事故的
'chi'bao'lou'bao'huang'bao'huo'zhe'man'bao'shi'gu'de 迟报漏报谎报或者瞒报事故的
'chu'bu'gu'ji 初步估计
'chu'bu'gu'ji'de'zhi'jie'jing'ji'sun'shi 初步估计的直接经济损失
'chu'ju'xu'jia'zheng'ming 出具虚假证明
'chu'ju'xu'jia'zheng'ming'gou'cheng'fan'zui'de 出具虚假证明构成犯罪的
'chu'le'ying'dang'cha'ming'shi'gu'dan'wei'de'ze'ren'bing'yi'fa'yu'yi'zhui'jiu'wai 除了应当查明事故单位的责任并依法予以追究外
'chu'li'jian'yi 处理建议
'chu'li'qing'kuang 处理情况
'chu'li'yi'jian 处理意见
'chu'shang'yi'nian'nian'shou'ru'bai'fen'zhi'si'shi'zhi'bai'fen'zhi'ba'shi'de'fa'kuan 处上一年年收入百分之四十至百分之八十的罚款
'chu'shang'yi'nian'nian'shou'ru'liu'shi'zhi'bai'fen'zhi'bai'de'fa'kuan 处上一年年收入六十至百分之百的罚款
'chu'wai 除外
'chu'zhi'fei'qi'wei'xian'wu'pin 处置废弃危险物品
'chu'zu 出租
'cong'shi'sheng'chan'jing'ying'huo'dong'de'dan'wei 从事生产经营活动的单位
'cong'ye'ren'yuan 从业人员
'cong'ye'ren'yuan'fa'xian'zhi'jie'wei'ji'ren'shen'an'quan'de'jin'ji'qing'kuang'shi 从业人员发现直接危及人身安全的紧急情况时
'cong'ye'ren'yuan'you'quan'liao'jie'qi'zuo'ye'chang'suo'he'gong'zuo'gang'wei'cun'zai'de'wei'xian'yin'su'fang'fan'cuo'shi'shi'gu'ying'ji'cuo'shi 从业人员有权了解其作业场所和工作岗位存在的危险因素防范措施事故应急措施
'cong'ye'ren'yuan'zai'zuo'ye'guo'cheng'zhong'ying'dang'yan'ge'zun'shou'ben'dan'wei'de'an'quan'sheng'chan'gui'zhang'zhi'du'he'cao'zuo'gui'cheng 从业人员在作业过程中应当严格遵守本单位的安全生产规章制度和操作规程
'cu'jin'jing'ji'fa'zhan 促进经济发展
'cun'min'wei'yuan'hui 村民委员会
'cun'zai'de'wei'xian'yin'su 存在的危险因素
'cun'zai'de'wen'ti 存在的问题
'cun'zai'shi'gu'yin'huan 存在事故隐患
'dai'yu 待遇
'dan'chu'huo'zhe'bing'chu 单处或者并处
'dan'chu'huo'zhe'bing'chu'er'wan'yuan'yi'shang'shi'wan'yuan'yi'xia'de'fa'kuan 单处或者并处二万元以上十万元以下的罚款
'dan'chu'huo'zhe'bing'chu'wu'qian'yuan'yi'shang'er'wan'yuan'yi'xia'de'fa'kuan 单处或者并处五千元以上二万元以下的罚款
'dan'shi'she'hui'ying'xiang'e'lie'de'shi'gu 但是社会影响恶劣的事故
'dan'wei'de'zhu'yao'fu'ze'ren 单位的主要负责人
'dan'wei'fu'ze'ren'jie'dao'bao'gao'hou'ying'dang'yu'yi'xiao'shi'nei 单位负责人接到报告后应当于一小时内
'dan'wei'fu'ze'ren'jie'dao'shi'gu'bao'gao'hou 单位负责人接到事故报告后
'dan'wei'gai'kuang 单位概况
'dan'wei'he'ge'ren 单位和个人
'dan'wei'huo'zhe'ge'ren 单位或者个人
'dan'yan'chang'de'qi'xian'zui'chang'bu'chao'guo'liu'shi'ri 但延长的期限最长不超过六十日
'dang'chang'yu'yi'jiu'zheng 当场予以纠正
'dang'di'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men 当地负有安全生产监督管理职责的部门
'dang'ji'shi'bu'bao 当及时补报
'dao'lu'jiao'tong'an'quan 道路交通安全
'dao'lu'jiao'tong'shi'gu 道路交通事故
'dao'lu'jiao'tong'shi'gu'huo'zai'shi'gu'zi'fa'sheng'zhi'ri'qi'qi'ri'nei 道路交通事故火灾事故自发生之日起七日内
'dao'zhi 导致
'dao'zhi'de'hou'guo 导致的后果
'dao'zhi'fa'sheng'sheng'chan'an'quan'shi'gu 导致发生生产安全事故
'dao'zhi'fa'sheng'sheng'chan'an'quan'shi'gu'gei'ta'ren'zao'cheng'sun'hai'de'yu'cheng'bao'fang'cheng'zu'fang'cheng'dan'lian'dai'pei'chang'ze'ren 导致发生生产安全事故给他人造成损害的与承包方承租方承担连带赔偿责任
'dao'zhi'fa'sheng'sheng'chan'an'quan'shi'gu'gou'cheng'fan'zui'de 导致发生生产安全事故构成犯罪的
'dao'zhi'shi'gu'deng'ji'fa'sheng'bian'hua 导致事故等级发生变化
'deng'ji'jian'dang 登记建档
'di'fang'ge'ji'ren'min'zheng'fu'ying'dang'jia'qiang'dui'an'quan'sheng'chan'gong'zuo'de'ling'dao 地方各级人民政府应当加强对安全生产工作的领导
'diao'cha'cheng'xu 调查程序
'diao'cha'chu'li 调查处理
'diao'cha'he'shi 调查核实
'diao'cha'que'ding 调查确定
'diao'xiao 吊销
'diao'yue'you'guan'zi'liao 调阅有关资料
'diao'zhuang 吊装
'ding'li'de'lao'dong'he'tong 订立的劳动合同
'ding'li'xie'yi 订立协议
'ding'qi'jian'ce 定期检测
'ding'qi'jian'ce'ping'gu'jian'kong 定期检测评估监控
'ding'qi'tong'ji'fen'xi 定期统计分析
'ding'qi'xiang'she'hui'gong'bu 定期向社会公布
'du'cu'jian'cha 督促检查
'du'cu'luo'shi 督促落实
'dui'an'quan'sheng'chan'fu'you'jian'du'guan'li'zhi'ze'de'bu'men 对安全生产负有监督管理职责的部门
'dui'an'quan'sheng'chan'zhuang'kuang'jin'xing'jing'chang'xing'jian'cha 对安全生产状况进行经常性检查
'dui'bao'gao'zhong'da'shi'gu'yin'huan'huo'zhe'ju'bao'an'quan'sheng'chan'wei'fa'xing'wei'de'you'gong'ren'yuan'gei'yu'jiang'li 对报告重大事故隐患或者举报安全生产违法行为的有功人员给予奖励
'dui'ben'dan'wei'fu'you'shi'gu'ze'ren'de'ren'yuan'jin'xing'chu'li 对本单位负有事故责任的人员进行处理
'dui'ben'xing'zheng'qu'yu'nei'rong'yi'fa'sheng'zhong'da'sheng'chan'an'quan'shi'gu'de'sheng'chan'jing'ying'dan'wei'jin'xing'yan'ge'jian'cha 对本行政区域内容易发生重大生产安全事故的生产经营单位进行严格检查
'dui'bu'fu'he'fa'ding'an'quan'sheng'chan'tiao'jian'de'she'ji'an'quan'sheng'chan'de'shi'xiang'yu'yi'pi'zhun'huo'zhe'yan'shou'tong'guo'de 对不符合法定安全生产条件的涉及安全生产的事项予以批准或者验收通过的
'dui'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'ji'qi'gong'zuo'ren'yuan'lv'xing'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'shi'shi'jian'cha 对负有安全生产监督管理职责的部门及其工作人员履行安全生产监督管理职责实施监察
'dui'fu'you'shi'gu'ze'ren'de'guo'jia'gong'zuo'ren'yuan'jin'xing'chu'fen 对负有事故责任的国家工作人员进行处分
'dui'ge'ren'jing'ying'de'tou'zi'ren'chu'er'wan'yuan'yi'shang'er'shi'wan'yuan'yi'xia'de'fa'kuan 对个人经营的投资人处二万元以上二十万元以下的罚款
'dui'jian'cha'zhong'fa'xian'de'an'quan'sheng'chan'wei'fa'xing'wei'dang'chang'yu'yi'jiu'zheng'huo'zhe'yao'qiu'xian'qi'gai'zheng 对检查中发现的安全生产违法行为当场予以纠正或者要求限期改正
'dui'jian'cha'zhong'fa'xian'de'an'quan'wen'ti'ying'dang'li'ji'chu'li 对检查中发现的安全问题应当立即处理
'dui'jian'cha'zhong'fa'xian'de'shi'gu'yin'huan'ying'dang'ze'ling'li'ji'pai'chu 对检查中发现的事故隐患应当责令立即排除
'dui'qi'zhi'jie'fu'ze'de'zhu'guan'ren'yuan'he'qi'ta'zhi'jie'ze'ren'ren'yuan'chu'wu'qian'yuan'yi'shang'wu'wan'yuan'yi'xia'de'fa'kuan 对其直接负责的主管人员和其他直接责任人员处五千元以上五万元以下的罚款
'dui'she'ji'an'quan'sheng'chan'de'shi'xiang'xu'yao'shen'cha'pi'zhun'huo'zhe'yan'shou'de 对涉及安全生产的事项需要审查批准或者验收的
