'ai'sheng'bai'mu'da'cao 矮生百慕大草
'san'tai'gou'gu'qiu 三台枸骨球
'san'ye'di'jin 三叶地锦
'sha'pu 沙朴
'shan'hu 珊瑚
'shan'hu'pu 珊瑚朴
'shan'hu'qiu 珊瑚球
'shan'ma'gan 山麻杆
'shan'yu'lan 山玉兰
'shen'shan'han'xiao 深山含笑
'shi'chang'pu 石菖蒲
'shi'di'song 湿地松
'shi'li 石栎
'shi'nan 石楠
'shi'nan'qiu 石楠球
'shi'shu 柿树
'shi'suan 石蒜
'shou'xing'tao 寿星桃
'shu'gui 蜀桧
'shu'gui'qiu 蜀桧球
'shuang'jia'jue'ming 双荚决明
'shui'bie 水鳖
'shui'che'qian 水车前
'shui'cong 水葱
'shui'he 水禾
'shui'la 水蜡
'shui'lian 睡莲
'shui'shan 水杉
'shui'song 水松
'shui'ying'su 水罂粟
'shui'yu 水芋
'si'ji'gui 四季桂
'si'ji'zhu 四季竹
'si'tai'gou'gu'qiu 四台枸骨球
'sou'shu 溲疏
'su'tie 苏铁
'su'xin'la'mei 素心腊梅
'suo'yu'cao 梭鱼草
'ta'xing'luo'han'song 塔形罗汉松
'tao'ye'shan'hu 桃叶珊瑚
'tian'mu'qiong'hua 天目琼花
'tie'geng'hai'tang 贴梗海棠
'tie'xian'lian 铁线莲
'wang'lian 王莲
'wei'mao 卫茅
'wen'mu 蚊母
'wu'ci'gou'gu 无刺枸骨
'wu'ci'gou'gu'qiu 无刺枸骨球
'wu'hua'guo 无花果
'wu'huan'zi 无患子
'wu'jiu 乌桕
'wu'tai'gou'gu'qiu 五台枸骨球
'wu'ye'di'jin 五叶地锦
'wu'zhen'song 五针松
'xi'fu'hai'tang 西府海棠
'xi'shu 喜树
'xi'ye'suo'cao 细叶莎草
'xia'juan 夏鹃
'xia'ye'shi'da'gong'lao 狭叶十大功劳
'xiang'bai 香柏
'xiang'chun 香椿
'xiang'hua'huai 香花槐
'xiang'pao 香泡
'xiang'pu 香蒲
'xiang'zhang 香樟
'xiao'ye'nv'zhen'qiu 小叶女贞球
'xiao'ye'zhi'zi'hua 小叶栀子花
'xing'cai 荇菜
'xing'mei 杏梅
'xiu'xian'ju 绣线菊
'xuan'cao 萱草
'xuan'ling'mu 悬铃木
'xue'song 雪松
'yan'zi'cai 眼子菜
'yang'mei 杨梅
'yang'mei'qiu 杨梅球
'ye'jiao'bai 野茭白
'yi'le'zao 伊乐藻
'yi'yang 意杨
'yin'bian'huang'yang'qiu 银边黄杨球
'yin'gui 银桂
'yin'xing 银杏
'ying'hua 樱花
'ying'tao 樱桃
'you'ma'teng 油麻藤
'yu'dai'cao 玉带草
'yu'li 郁李
'yu'mao'feng 羽毛枫
'yu'zan 玉簪
'yuan'wei 鸢尾
'yuan'ye'ze'tai 园叶泽苔
'yue'ji 月季
'yun'nan'huang'xin 云南黄馨
'za'jiao'juan 杂交鹃
'zai'li'hua 再力花
'zao'shu'he'cao 早熟禾草
'ze'xie 泽泻
'zhi'zi'hua 栀子花
'zhong'ban'cha'hua 重瓣茶花
'zhu'bai 竹柏
'zi'jing 紫荆
'zi'shu 梓树
'zi'teng 紫藤
'zi'wei 紫薇
'zi'ye'zuo'jiang'cao 紫叶酢浆草
'zi'yu'lan 紫玉兰
'zi'zhu 紫竹
'zong'lv 棕榈
'zu'cao 菹草
