'ai'li'si 爱丽丝
'e'ba'gen'ban 恶霸跟班
'e'mo'da'chu 恶魔大厨
'e'mo'dao'ren 恶魔刀刃
'fa'dian'ji 发电机
'fa'li'fei'cui 法力翡翠
'fa'li'hu'dun 法力护盾
'fa'li'tu'teng 法力图腾
'fa'ming'zhu'li 发明助理
'fa'mu'fu 伐木斧
'fa'mu'gong'shu'shu 伐木工叔叔
'fa'shi'hu'shou 法师护手
'fa'shu'chuang'zao 法术创造
'fa'shu'long'ling 法术龙灵
'fa'tiao'shu'nv 发条淑女
'fan'ren'de'yi'zhi 凡人的意志
'fang'yu'yao'sai 防御要塞
'fei'dao'za'shua'zhe 飞刀杂耍者
'fei'fu 飞斧
'fei'long'you'zai 飞龙幼崽
'feng'bao'zhi'teng 风暴之藤
'feng'he 缝合
'feng'he'guai 缝合怪
'feng'kuang 疯狂
'feng'kuang'ke'xue'jia 疯狂科学家
'feng'kuang'tou'gu 疯狂头骨
'feng'mao'jiang 疯帽匠
'fu'chou'shu'jing 复仇树精
'fu'zhuo 附着
'gang'tie'duo'tou'she 钢铁多头蛇
'gang'tie'zhi'qu 钢铁之躯
'gao'ge'jin'qu 高歌金曲
'ge'chang'jia 鸽唱家
'gong'shou'jian'bei 攻守兼备
'gong'ting'wei'bing 宫廷卫兵
'gou'wu'kuang 购物狂
'gu'bao'nv'pu 古堡女仆
'gu'bao'san'jie 古堡三杰
'gu'bao'you'ling 古堡幽灵
'gu'shu 古树
'guan'xing 观星
'guang'jian 光剑
'gui'huo 鬼火
'gui'yao'ling 鬼摇铃
'gui'yi'de'mao 诡异的猫
'gui'zi'shou 刽子手
'hai'dao'bao'xiang 海盗宝箱
'hai'dao'chuan 海盗船
'hei'ma 黑马
'hei'mao 黑猫
'hei'shi'mai'shou 黑市买手
'hei'shi'shang'fan 黑市商贩
'hei'tian'e 黑天鹅
'hei'ye'xing'zhe 黑夜行者
'hei'yu'mei'ying 黑羽魅影
'hong'cha'xian'sheng 红茶先生
'hong'feng'zhi'hu 红枫之护
'hong'xin'nv'wang 红心女王
'hu'die'kan'shou 蝴蝶看守
'hu'dun 护盾
'hu'shen'fu 护身符
'hua'ji'shuang'bao'tai 滑稽双胞胎
'hua'jiang 花匠
'huai'biao 怀表
'huan'cai'ying'hua 幻彩樱花
'huan'ling'seng 幻灵僧
'huang'jia'qi'shi 皇家骑士
'huang'jia'zhi'hui'guan 皇家指挥官
'huang'jin'lie'quan 黄金猎犬
'huang'jin'lie'ren 黄金猎人
'huang'jin'shi'zi 黄金狮子
'huang'jin'xuan'shang 黄金悬赏
'hui'jin'long 灰烬龙
'huo'jing'ling 火精灵
'huo'lie'niao 火烈鸟
'huo'miao 火苗
'huo'qiang'zhi'pei'zhe 火枪支配者
'huo'yan'jia'hu 火焰加护
'huo'yuan'chong'zu 货源充足
'ji'chi 疾驰
'ji'cong'cong 急匆匆
'ji'e'mo'dian 饥饿魔典
'ji'jie'hao'shou 集结号手
'ji'sha 击杀
'ji'xie 机械
'ji'xie'mo'shu 机械魔术
'ji'xie'mo'shu'shi 机械魔术师
'ji'xie'nv'qi'shi 机械女骑士
'ji'xie'quan 机械犬
'ji'xie'shou'bi 机械手臂
'ji'xie'tao'wa 机械套娃
'ji'xie'tu 机械兔
'ji'xie'xiao'chou 机械小丑
'ji'xie'yan 机械眼
'jia'ba'wo'ke 贾巴沃克
'jia'mian'da'dao 假面大盗
'jia'mian'ren 假面人
'jian'ci'bi'lei 尖刺壁垒
'jian'ci'yu'mao 尖刺羽毛
'jian'gong'hao'jiao 监工号角
'jian'shang'jia 鉴赏家
'jian'shu'dao'shi 剑术导师
'jian'shu'xue'tu 剑术学徒
'jian'wu'zhe 剑舞者
'jian'yi'yan'ti 简易掩体
'jiao'ma'shou'ling 角马首领
'jin'bi'shou 金匕首
'jin'gang 金刚
'jing'ji'ren 经纪人
'jing'ji'wu'qi 荆棘武器
'jing'ling'long 精灵龙
'jing'ling'nv'ban 精灵女伴
'jing'ling'nv'wang 精灵女王
'jing'xia'xiang 惊吓箱
'jing'ying'ci'ke 精英刺客
'ju'feng'fa'zhang 飓风法杖
'ju'hun'shu 聚魂术
'jue'mu'ren 掘墓人
'jun'huo'shang 军火商
'kan'diao'ta'de'tou 砍掉他的头
'ke'xue'jia 科学家
'ke'yan'zhuang'zhi 科研装置
'kong'bu'fan'qie 恐怖番茄
'kong'zhi'zhi'li 控制之力
'ku'cheng'you'guo 苦橙幼果
'kuai'dao 快刀
'kuai'su'chong'neng 快速充能
'kuang'luan'shu'jing 狂乱树精
'kui'lei'xian'jing 傀儡陷阱
'kuo'yin'qi 扩音器
'la'zhu'ren 蜡烛人
'la'zhu'xue'tu 蜡烛学徒
'lang'wang 狼王
'lao'mao'dian'zhang 老猫店长
'lao'qian 老千
'lei'jing'ling 雷精灵
'leng'cui'te'tiao 冷萃特调
'leng'jing 棱镜
'lie'bao 猎豹
'lie'yan'chu'long 烈焰雏龙
'lin'di'kan'shou 林地看守
'ling'gan 灵感
'ling'gan'yan'dou 灵感烟斗
'ling'hun'feng'he'shi 灵魂缝合师
'ling'hun'gong'ming'zhe 灵魂共鸣者
'ling'hun'ji'si 灵魂祭祀
'ling'hun'jie'jing 灵魂结晶
'ling'jian'shang'fan 零件商贩
'ling'jie'gou'tong 灵界沟通
'liu'lang'yong'bing 流浪佣兵
'liu'xing'shi'zhe 流星使者
'liu'xue'jian 流血箭
'long'dan'tun'shi'zhe 龙蛋吞噬者
'long'nv 龙女
'long'qi'shi 龙骑士
'long'qi'shi'dui'zhang 龙骑士队长
'long'xia'hou'chu 龙虾后厨
'long'yu'shi'ren 龙语诗人
'long'yu'zhe 龙语者
'long'zhi'bao'zhu 龙之宝珠
'lu'jiao 鹿角
'lv'mao'ge 绿帽哥
'ma'xi'biao'yan 马戏表演
'ma'xi'shou'piao'yuan 马戏售票员
'man'de'la'cao 曼德拉草
'man'yue 满月
'mao'chong'xian'sheng 毛虫先生
'mao'tou'ying'fa'shi 猫头鹰法师
'mei'gui'dun'wei 玫瑰盾卫
'mei'jia'shi 美甲师
'mei'wei'liao'li 美味料理
'meng'jing'zhi'shu 梦境之树
'ming'jie'dao'you 冥界导游
'ming'si'zhe 冥思者
'ming'xiang 冥想
'mo'fa'guan'mu 魔法灌木
'mo'fa'huan'xiong 魔法浣熊
'mo'fa'shu'cong 魔法树丛
'mo'fa'shu'miao 魔法树苗
'mo'gu'guo'wang 蘑菇国王
'mo'gu'zhang'lao 蘑菇长老
'mo'guang'shan'bei 魔光扇贝
'mo'jie'zhi'ying 摩羯之影
'mo'jing 墨镜
'mo'li'ji'fa 魔力激发
'mo'nv 魔女
'mo'zhang'cai'gou'yuan 魔杖采购员
'mu'en'shu'lin 沐恩树林
'mu'yang'ren 牧羊人
'nan'gua'wei'shi 南瓜卫士
'neng'liang'dian'chi 能量电池
'neng'liang'zhuang'zhi 能量装置
'nu'xiong 怒熊
'nv'wu'gan'guo 女巫坩埚
'nv'wu'sao'zhou 女巫扫帚
'nv'yao 女妖
'pen'xiang 喷香
'peng'peng'xiang'cao 碰碰香草
'pi'fa'shang'ren 批发商人
'pi'liang'cai'gou 批量采购
'pin'jiu'shi 品酒师
'pu'ke'ren 扑克人
'pu'su'fa'pao 朴素法袍
'qi'hu'gu'long 栖湖古龙
'qi'ming'xing'shi 启明星使
'qi'shi'kai'jia 骑士铠甲
'qi'tao 乞讨
'qi'tao'zhe 乞讨者
'qi'xing'shi 祈星师
'qi'yue'lv'xing'zhe 契约履行着
'qian'mian'wu'zhe 千面舞者
'qian'xing'zhe'shou'tao 潜行者手套
'qiang'li'gai'zhuang 强力改装
'qiang'mai'qiang'mai 强买强卖
'qiang'wei'qi'shi 蔷薇骑士
'qiang'xi'fei'long 强袭飞龙
'qiao'shou'hua'zhuang'shi 巧手化妆师
'qie'deng'ren 窃灯人
'qie'zei 窃贼
'quan'shui'zhi'ling 泉水之灵
'quan'ya'hu'fu 犬牙护符
'ran'shao 燃烧
'ren'nu 刃弩
'ren'ou 人偶
'ren'wu'tang'lang 刃舞螳螂
'ri'mu'long 日暮龙
'rong'lu'xue'tu 熔炉学徒
'rong'yu'shuang'ren 荣誉双刃
'ru'chang 入场
'ru'ying'sui'xing 如影随行
'sen'ling 森灵
'sen'zhi'jing'ling 森之精灵
'sha'shou'yu'ren 杀手鱼人
'sha'yi'gong'ming'zhe 杀意共鸣者
'sha'yu'e'ba 鲨鱼恶霸
'shan'dian'gong'ming 闪电共鸣
'shan'dian'jie'zhi 闪电戒指
'shan'dian'ling 闪电灵
'shan'liang'deng'chang 闪亮登场
'shang'ye'huo'ban 商业伙伴
'shang'zhuang 上妆
'shen'mi'tie'jiang 神秘铁匠
'shen'qi'hai'xing 神奇海星
'shen'qi'lie'ren 神器猎人
'shen'she'shou 神射手
'sheng'dan'ai'ren 圣诞矮人
'sheng'dan'mang'he 圣诞盲盒
'sheng'ji'huan'fa 生机焕发
'sheng'long 圣龙
'sheng'ming'hu'fu 生命护符
'shi'guang'bo'shi 时光博士
'shi'guang'jing'ling 时光精灵
'shi'huang'zhe 拾荒者
'shi'hun'lian 噬魂镰
'shi'hun'zhi'long 噬魂之龙
'shi'jing'ju'shou 石精巨兽
'shi'meng'lang 噬梦狼
'shi'seng 侍僧
'shi'zhong'jian 石中剑
'shi'zhuang'mo'te 时装模特
'shi'zhuang'she'ji 时装设计
'shi'zhuang'she'ji'shi 时装设计师
'shou'cang'jia 收藏家
'shou'ji'ying'zi 收集影子
'shou'wei 守卫
'shu'ju'cai'ji'zhe 数据采集者
'shu'wang 鼠王
'shuang'chi'dun'bing 双持盾兵
'shuang'sheng'zhan'bu'shi 双生占卜师
'shui'shu 睡鼠
'shui'ta 水獭
'shui'yin'sha'lou 水银沙漏
'shui'zhi'long 水之龙
'si'jia'zhen'tan 私家侦探
'si'ling'kui'lei'shi 死灵傀儡师
'si'shen'zhi'lian 死神之镰
'si'wang'zhi'long 死亡之龙
'si'wang'zhong'bai 死亡钟摆
'song'zang'zhe 送葬者
'sou'bu'zhe 搜捕者
'su'du'zhi'xue 速度之靴
'su'zhan'su'jue 速战速决
'suo'fei'ya 索菲娅
'tai'xian'qi'shi 苔藓骑士
'tai'yang'zhi'zi 太阳之子
'tan'cai'song'shu 贪财松鼠
'tan'lan'de'jing 贪婪地精
'tan'shi'hai'xiang 贪食海象
'tan'shi'xiu'qiu 贪食绣球
'tao'qi'xiao'long 淘气小龙
'ti'deng 提灯
'tian'cai'fa'ming'jia 天才发明家
'tian'dian'dou'shou 甜点兜售
'tian'dian'shang 甜点商
'tian'ping'shou'wei 天平守卫
'tian'qiong'qin'shi 天穹琴师
'tian'shi'shou'zhuo 天使手镯
'tiao'jiu'shi 调酒师
'tie'pi'ren 铁皮人
'tie'shen'bao'biao 贴身保镖
'tong'ling'shi 通灵师
'tou'xing'da'dao 偷星大盗
'tu'jiu 秃鹫
'wa'jue 挖掘
'wan'ju'chang'qiang 玩具长枪
'wan'ju'gong'jiang 玩具工匠
'wan'ju'shang'fan 玩具商贩
'wan'mei'jie'zuo 完美杰作
'wang'hun 亡魂
'wang'hun'bao'xiang 亡魂宝箱
'wang'hun'chui'di'zhe 亡魂吹笛者
'wang'hun'ge'zhe 亡魂歌者
'wang'hun'shang'fan 亡魂商贩
'wang'hun'tie'jiang 亡魂铁匠
'wang'hun'wu'zhe 亡魂舞者
'wang'hun'yin'yue'he 亡魂音乐盒
'wang'hun'yue'dui 亡魂乐队
'wang'hun'zhi'xing'zhe 亡魂执行者
'wang'ling'bing'gan 亡灵饼干
'wei'li'shi'tu 唯利是图
'wei'zhuang 伪装
'wu'ban 舞伴
'wu'hui'ming'xing 舞会明星
'wu'wei'yong'shi 无畏勇士
'xi'fa'shi 戏法师
'xi'xue'gui'jian 吸血鬼剑
'xian'jing'qi'yu 仙境奇遇
'xian'ren'qiu 仙人球
'xian'shou 先手
'xiang'liao'xian'sheng 香料先生
'xiang'shui'xiao'jie 香水小姐
'xiao'lang'gou 小狼狗
'xiao'mao'jin'huo'shang 小猫进货商
'xiao'mi'feng 小蜜蜂
'xiao'mo'gu 小蘑菇
'xiao'shi'jing 小石精
'xiao'shu'jing 小树精
'xiao'ti'qin'shou 小提琴手
'xiao'wan'ou'mi 小玩偶迷
'xiao'xing'pao'dan 小型炮弹
'xiao'zhu'jian'zhu'shi 小猪建筑师
'xin'ai'de'sao'zhou 心爱的扫帚
'xin'ge 信鸽
'xing'gui'ce'hui'shi 星轨测绘师
'xing'he'ju'xie 星河巨蟹
'xing'kong'lv'zhe 星空旅者
'xing'lei'nv'wu 星雷女巫
'xing'tu'hua'jia 星图画家
'xing'xi'jian'zhu'shi 星系建筑师
'xing'xing'she'shou 星星射手
'xing'yi 星裔
'xiu'jian 袖箭
'xiu'zhen'qiang'shou 袖珍枪手
'xu'yuan'xing'ling 许愿星灵
'xuan'feng'fu 旋风斧
'xuan'feng'wu'nv 旋风舞女
'xue'guai 雪怪
'xun'bao'gou'tou'ren 寻宝狗头人
'xun'bao'zhe 寻宝者
'xun'dao'hu'fu 殉道护符
'xun'dao'kai'jia 殉道铠甲
'xun'dao'zhi'zhang 殉道之章
'xun'lu'wu'yi 驯鹿巫医
'xun'lu'yong'shi 驯鹿勇士
'yan'jiu'tu'zhi 研究图纸
'yan'pin'hua'jia 赝品画家
'yan'shu'jian'shang 鼹鼠奸商
'yan'shu'ma'ma 鼹鼠妈妈
'yan'yi'long 炎翼龙
'yang'xie'ren 养蝎人
'yao'kong'ji'qi'ren 遥控机器人
'ye'kong'zhi'jiao 夜空之角
'ye'niu'qi'shi'chang 野牛骑士长
'ye'shou 野兽
'ye'zhu 野猪
'yi'chu 移除
'yi'guo'ci'ke 异国刺客
'yi'nu'sha'yu 易怒鲨鱼
'yi'yan 遗言
'yin'he'you'yu 银河游鱼
'yin'lu'zhe 引路者
'yin'xing'zhe 引星者
'ying'huo'chong 萤火虫
'ying'mo 影魔
'ying'zi'dao'you 影子导游
'yong'bing'huo'ban 佣兵伙伴
'yong'gan'tiao'zhan'zhe 勇敢挑战者
'yong'heng'ji'e 永恒饥饿
'yong'jiu 永久
'you'an'zhu'guang 幽暗烛光
'you'ling 幽灵
'you'ling'da'dao 幽灵大盗
'you'ling'gou 幽灵狗
'you'ling'shao'nv 幽灵少女
'you'long 幽龙
'you'ming'xing'shi 幽冥星使
'you'zai 幼崽
'yu'mei'ren 鱼美人
'yu'yan'jia 预言家
'yuan'dun 圆盾
'yuan'gu'shi'zi'jia 远古十字架
'yuan'su'shou'zhuo 元素手镯
'yue'guang'fa'dian 月光法典
'yue'guang'qi'shi 月光骑士
'yue'yuan'zhi'ye 月圆之夜
'za'huo'cun'qian'guan 杂货存钱罐
'za'huo'shang'ren 杂货商人
'za'huo'shang'xin 杂货上新
'zai'e 灾厄
'zai'e'ju'long 灾厄巨龙
'zao'jia'gao'shou 造假高手
'zeng'shang 增伤
'zha'yao'fei'ting 炸药飞艇
'zhan'bu'shi 占卜师
'zhan'dou'fa'zhang 战斗法杖
'zhan'dou'mo'zu 战斗模组
'zhan'dou'zhi'dao 战斗指导
'zhan'long'fu 斩龙斧
'zhan'shi 战士
'zhan'xing'shi 占星师
'zhang'deng'zhe 掌灯者
'zhao'mu'xin'bing 招募新兵
'zhao'mu'xin'ren 招募新人
'zhen'cang'si'huo 珍藏私货
'zhen'ying 阵营
'zhi'fan'ye'mao 枝繁叶茂
'zhi'fu'zhe 掷斧者
'zhi'hui'guo'wang 智慧国王
'zhi'neng'ji'qi'ren 智能机器人
'zhi'xing'tian'nv 织星天女
'zhi'yin'zhi'guang 指引之光
'zhi'zao'yan'pin 制造赝品
'zhi'zuo'mao'zi 制作帽子
'zhi'zuo'wan'ju 制作玩具
'zhong'cheng'wei'bing 忠诚卫兵
'zhong'li 中立
'zhu'jia'shi 铸甲师
'zhu'jian'gong'jiang 铸剑工匠
'zhu'pi'bei'bao 猪皮背包
'zhu'qiang'neng'shou 筑墙能手
'zhuang'bei'duan'zao 装备锻造
'zhui'lie'zhe 追猎者
'zhui'meng'lv'ren 追梦旅人
'zhuo're'dou'peng 灼热斗篷
'zi'ran 自然
'zi'ran'xian'ling 自然仙灵
'zong'huo'zhe 纵火者
'zu'zhou'li'liang 诅咒力量
