'a'luo'la 阿罗拉
'fan'nao'zhong'zi 烦恼种子
'fan'she'bi 反射壁
'fang'dian 放电
'fang'shou'hu'huan 防守互换
'fang'shou'ping'fen 防守平分
'fang'xiang'bo'wu 芳香薄雾
'fang'xiang'zhi'liao 芳香治疗
'fang'xiao 仿效
'fang'yu'zhi'ling 防御指令
'fei'dan'zhen 飞弹针
'fei'shen'zhong'ya 飞身重压
'fei'shui'shou'li'jian 飞水手里剑
'fei'ti 飞踢
'fei'xi'ti 飞膝踢
'fei'xiang 飞翔
'fei'ye'feng'bao 飞叶风暴
'fei'ye'kuai'dao 飞叶快刀
'fen'chen 粉尘
'fen'dan'tong'chu 分担痛楚
'fen'nu 愤怒
'fen'nu'fen 愤怒粉
'fen'nu'men'ya 愤怒门牙
'feng'kuang'fu'te 瘋狂伏特
'feng'kuang'gun'ya 疯狂滚压
'feng'kuang'zhi'wu 疯狂植物
'feng'yin 封印
'feng'ying 缝影
'fu'gu 腹鼓
'fu'te'gong'ji 伏特攻击
'fu'te'ti'huan 伏特替换
'fu'zhu'chi'lun 辅助齿轮
'fu'zhu'li'liang 辅助力量
'gang'yi 钢翼
'gao'ke'ji'guang'pao 高科技光炮
'gao'su'xing'xing 高速星星
'gao'su'xuan'zhuan 高速旋转
'gao'su'yi'dong 高速移动
'gao'wen'zhong'ya 高温重压
'gen'yuan'bo'dong 根源波动
'geng'di 耕地
'gong'ji'zhi'ling 攻击指令
'gu'bang 骨棒
'gu'bang'luan'da 骨棒乱打
'gu'lao'zhi'ge 古老之歌
'gu'tou'hui'li'biao 骨头回力镖
'guai'li 怪力
'guai'yi'dian'bo 怪异电波
'guang'he'zuo'yong 光合作用
'guang'qiang 光墙
'guang'yu'fang'shou 广域防守
'gui'huo 鬼火
'gui'ji 诡计
'gui'mian 鬼面
'gun'dong 滚动
'guo're 过热
'ha'qian 哈欠
'hai'shen'zhuang'yan'jiao'xiang'yue 海神庄严交响乐
'hao'ling 号令
'he'mu'xiang'chu 和睦相处
'he'niu'nai 喝牛奶
'he'xin'cheng'fa'zhe 核心惩罚者
'hei'dong'tun'shi'wan'wu'mie 黑洞吞噬万物灭
'hei'se'mu'guang 黑色目光
'hei'wu 黑雾
'hei'ye'mo'ying 黑夜魔影
'hou'jiao 吼叫
'hua'ban'wu 花瓣舞
'hua'duo'jia'nong'pao 花朵加农炮
'hua'fen'tuan 花粉团
'hua'liao 花疗
'hua'long'dian'jing 画龙点睛
'huan'dang 换挡
'huan'le'shi'guang 欢乐时光
'huan'ran'yi'xin 焕然一新
'huan'xiang'guang'xian 幻象光线
'huan'xing'ba'zhang 唤醒巴掌
'hui'fu'feng'suo 回复封锁
'hui'fu'zhi'ling 回复指令
'hui'sheng 迴声
'hui'shou'li'yong 回收利用
'hui'tian'mie'di'ju'yan'zhui 毁天灭地巨岩坠
'hui'xing'quan 彗星拳
'hui'xuan'ti 回旋踢
'hui'zhi 挥指
'huo'bu'dan'xing 祸不单行
'huo'hua 火花
'huo'jian'tou'chui 火箭头锤
'huo'yan'bian 火焰鞭
'huo'yan'dan 火焰弹
'huo'yan'lun 火焰轮
'huo'yan'quan 火焰拳
'huo'yan'ti 火焰踢
'huo'yan'xuan'wo 火焰旋涡
'huo'yan'ya 火焰牙
'huo'zhi'shi'yue 火之誓约
'huo'zhi'wu 火之舞
'ji'e'fei'yue'fen'sui'ji 极恶飞跃粉碎击
'ji'guang'mu 极光幕
'ji'guang'shu 极光束
'ji'han'leng'yan 极寒冷焰
'ji'kuang'da'di'wan'li'bing 激狂大地万里冰
'ji'luo 击落
'ji'sha 集沙
'ji'sheng'zhong'zi 寄生种子
'ji'su'fu'chong'hong'lie'zhuang 极速俯冲轰烈撞
'ji'su'zhe'fan 急速折返
'ji'zhang'qi'xi 击掌奇袭
'jia'ku 假哭
'jia'lei'yu'dian'xi'chong'lang 驾雷驭电戏冲浪
'jia'nong'guang'pao 加农光炮
'jia'nong'shui'pao 加农水炮
'jia'zhu 夹住
'jian'ci'bi 尖刺臂
'jian'ci'fang'shou 尖刺防守
'jian'ci'jia'nong'pao 尖刺加农炮
'jian'mei 健美
'jian'shi'gong'ji 尖石攻击
'jian'wu 剑舞
'jiao'cuo'huo'yan 交错火焰
'jiao'cuo'shan'dian 交错闪电
'jiao'huan'chang'di 交换场地
'jiao'jin 绞紧
'jiao'sheng 叫声
'jiao'zhuang 角撞
'jiao'zuan 角钻
'jie'bang 接棒
'jie'jing'guang'mang 洁净光芒
'jie'li'shuai 借力摔
'jie'zhu 借助
'jin'gou'bi 金勾臂
'jin'shen'zhan 近身战
'jin'shu 紧束
'jin'shu'bao'zha 金属爆炸
'jin'shu'yin 金属音
'jin'shu'zhao 金属爪
'jin'shui 浸水
'jing'guang'she'ji 镜光射击
'jing'hua 净化
'jing'ling 精灵
'jing'ling'bao'ke'meng 精灵宝可梦
'jing'mian'fan'she 镜面反射
'jing'mian'shu'xing 镜面属性
'jing'shen'bo 精神波
'jing'shen'chang'di 精神场地
'jing'shen'chong'ji 精神冲击
'jing'shen'ji'po 精神击破
'jing'shen'li'ren 精神利刃
'jing'shen'qiang'nian 精神强念
'jing'shen'tu'jin 精神突进
'jing'shen'zhi'ya 精神之牙
'jing'shen'zhuan'yi 精神转移
'jing'xia 惊吓
'jiu'cai'sheng'hua'qi'ju'ding 九彩升华齐聚顶
'jiu'ji'ju'long'zhen'tian'di 究极巨龙震天地
'jiu'ji'wu'di'da'chong'zhuang 究极无敌大冲撞
'ju'bao'gong 聚宝功
'ju'du 剧毒
'ju'du'ya 剧毒牙
'ju'guang'deng 聚光灯
'ju'he'zhan 居合斩
'ju'qi 聚气
'ju'ren'wei'shi 巨人卫士
'ju'sheng 巨声
'jue'dui'bu'shi'hui'xuan'zhan 绝对捕食回旋斩
'jue'dui'ling'du 绝对零度
'jue'xing'li'liang 觉醒力量
'jue'xing'zhi'wu 觉醒之舞
'kan'chuan 看穿
'kan'wo'ma 看我嘛
'ke'ai'xing'xing'fei'tian'zhuang 可愛星星飞天撞
'ke'wang 渴望
'kong'qi'li'ren 空气利刃
'kong'qi'zhan 空气斩
'kong'shou'pi 空手劈
'kou'dai'yao'guai 口袋妖怪
'kuai'su'fang'shou 快速防守
'kuang'wu'hui'da 狂舞挥打
'la'ji'she'ji 垃圾射击
'lei'dian'quan 雷电拳
'lei'dian'ya 雷电牙
'lei'ji 雷击
'lei'yan'wang'wang 泪眼汪汪
'leng'dong'gan'zao 冷冻干燥
'leng'jiao'hua 棱角化
'leng'jing'lei'she 棱镜镭射
'li'liang'bao'shi 力量宝石
'li'liang'hu'huan 力量互换
'li'liang'ping'fen 力量平分
'li'liang'xi'fa 力量戏法
'li'wu 礼物
'lian'huan'ba'zhang 连环巴掌
'lian'xu'quan 连续拳
'lian'yu 炼狱
'lian'zhan 连斩
'lie'yan'jian'she 烈焰溅射
'lin'bie'li'wu 临别礼物
'lin'pian'zao'yin 鳞片噪音
'liu'sha'di'yu 流沙地狱
'liu'xing'qun 流星群
'liu'xing'shan'chong 流星闪冲
'long'chui 龙锤
'long'juan'feng 龙卷风
'long'wei 龙尾
'long'xi 龙息
'long'zhi'bo'dong 龙之波动
'long'zhi'fu'chong 龙之俯冲
'long'zhi'nu 龙之怒
'long'zhi'wu 龙之舞
'long'zhua 龙爪
'luan'ji 乱击
'luan'zhua 乱抓
'lun'chang 轮唱
'luo'shi 落石
'luo'ying'bin'fen 落英缤纷
'ma'bi'fen 麻痹粉
'ma'ma'ci'ci 麻麻刺刺
'man'gan 蛮干
'man'li 蛮力
'mei'huo'zhi'sheng 魅惑之声
'meng'hua 梦话
'meng'pu 猛扑
'meng'tui 猛推
'meng'zhuang 猛撞
'mi'hun'quan 迷昏拳
'mi'mi'zhi'li 秘密之力
'mi'ren 迷人
'mi'yu 密语
'mian'bao'zi 棉孢子
'mian'hua'fang'shou 棉花防守
'mie'wang'zhi'ge 灭亡之歌
'ming'xiang 冥想
'mo'fa'fan'she 魔法反射
'mo'fa'huo'yan 魔法火焰
'mo'fa'kong'jian 魔法空间
'mo'fa'shan'yao 魔法闪耀
'mo'fa'ye 魔法叶
'mo'fang 模仿
'mo'gu'bao'zi 蘑菇孢子
'mo'li 磨砺
'mo'zhao 磨爪
'mu'chui 木槌
'mu'jiao 木角
'nao'yang 挠痒
'neng'liang'qiu 能量球
'ni'ba'she'ji 泥巴射击
'ni'ba'zha'dan 泥巴炸弹
'ni'lin 逆鳞
'nian'li 念力
'nian'nian'wang 黏黏网
'niao'zui'jia'nong'pao 鸟嘴加农炮
'nie'sui 捏碎
'nin'xian'qing 您先請
'pai'ji 拍击
'pai'luo 拍落
'pan'pu 攀瀑
'pan'quan 盘蜷
'pan'yan 攀岩
'pao'mo 泡沫
'pao'mo'guang'xian 泡沫光线
'pao'wu'mian'chong'dian 抛物面充电
'pao'xia'hen'hua 抛下狠话
'pao'ying'de'yong'tan'diao 泡影的咏叹调
'pen'chu 喷出
'pen'huo 喷火
'pen'she'huo'yan 喷射火焰
'pen'shui 喷水
'pen'yan 喷烟
'pi'ka'pi'ka'bi'sha'ji 皮卡皮卡必杀击
'pi'ka'qiu 皮卡丘
'pi'kai 劈开
'pi'wa 劈瓦
'ping'zhang 屏障
'po'huai'guang'xian 破坏光线
'po'ke 破壳
'po'mie'zhi'guang 破灭之光
'po'mie'zhi'yuan 破灭之愿
'po'sha 泼沙
'qi'feng 起风
'qi'ji'zhi'yan 奇迹之眼
'qi'miao'kong'jian 奇妙空间
'qi'si'hui'sheng 起死回生
'qi'wei'zhen'ce 气味侦测
'qi'xiang'qiu 气象球
'qi'xing'duo'hun'tui 七星夺魂腿
'qi'xuan'gong'ji 气旋攻击
'qi'yi'zhi'feng 奇异之风
'qi'yi'zhi'guang 奇异之光
'qi'yuan 祈愿
'qi'yuan'chao'xin'xing'da'bao'zha 起源超新星大爆炸
'qi'zha 欺诈
'qian'bo'ji'dang 千波激荡
'qian'jian'qi'fa 千箭齐发
'qian'ling'qi'xi 潜灵奇袭
'qian'nu 迁怒
'qian'shou 牵手
'qian'shui 潜水
'qian'wan'fu'te 千万伏特
'qiang'duo 抢夺
'qiang'li'bian'da 强力鞭打
'qiang'suan'ju'du'mie'jue'yu 强酸剧毒灭绝雨
'qiang'xian'yi'bu 抢先一步
'qing'cao'chang'di 青草场地
'qing'cao'jiao'ban'qi 青草搅拌器
'qing'chu'nong'wu 清除浓雾
'qing'chu'zhi'yan 清除之烟
'qing'xing 清醒
'qing'yan 青焰
'qing'zhu 庆祝
'qiu'yu 求雨
'quan'li'wu'shuang'ji'lie'quan 全力无双激烈拳
'ran'jin 燃尽
're'dai'ti 热带踢
're'feng 热风
're'shui 热水
're'yan 热焰
'ren'nai 忍耐
'ren'zhen'qi'lai'da'bao'ji 认真起来大爆击
'ri'guang'ren 日光刃
'ri'guang'shu 日光束
'rong'hua 溶化
'rong'jie'ye 溶解液
'rong'yan'feng'bao 熔岩风暴
'sa'jiao 撒娇
'sa'ling 撒菱
'san'chong'gong'ji 三重攻击
'san'lian'ti 三连踢
'sao'wei'pai'da 扫尾拍打
'sen'lin'zu'zhou 森林诅咒
'sha'bao 沙暴
'shan'guang 闪光
'shan'lan'shuai 山岚摔
'shan'yan'chong'feng 闪焰冲锋
'shao'jin 烧尽
'she'shen'chong'zhuang 舍身冲撞
'she'tian 舌舔
'shen'mi'shou'hu 神秘守护
'shen'mi'zhi'jian 神秘之剑
'shen'niao'meng'ji 神鸟猛击
'shen'qi'bao'bei 神奇宝贝
'shen'sheng'zhi'huo 神圣之火
'shen'su 神速
'shen'ti'qing'liang'hua 身体轻量化
'shen'tong'li 神通力
'sheng'dan 生蛋
'sheng'jian 圣剑
'sheng'zhang 生长
'shi'guang'pao'xiao 时光咆哮
'shi'meng 食梦
'shi'po 识破
'shi'wan'fu'te 十万伏特
'shi'wan'ma'li 十万马力
'shi'zi'du'ren 十字毒刃
'shi'zi'jian 十字剪
'shi'zi'pi 十字劈
'shou'xia'liu'qing 手下留情
'shou'zhu 守住
'shu'dian 输电
'shu'ye 树叶
'shuai'da 摔打
'shuang'bei'feng'huan 双倍奉还
'shuang'ren'tou'chui 双刃头锤
'shuang'zhen 双针
'shui'jiao 睡觉
'shui'liu'huan 水流环
'shui'liu'lie'po 水流裂破
'shui'liu'pen'she 水流喷射
'shui'liu'wei 水流尾
'shui'pao 水炮
'shui'qiang 水枪
'shui'zhi'bo'dong 水之波动
'shui'zhi'shi'yue 水之誓约
'shun'feng 顺风
'shun'jian'shi'yi 瞬间失忆
'shun'jian'yi'dong 瞬间移动
'si'chan'lan'da 死缠烂打
'si'lie'zhao 撕裂爪
'si'wang'zhi'yi 死亡之翼
'su'du'hu'huan 速度互换
'suan'ye'zha'dan 酸液炸弹
'sui'yan 碎岩
'suo'ding 锁定
'suo'ru'ke'zhong 缩入壳中
'tai'shan'ya'ding 泰山压顶
'tan'tiao 弹跳
'te'xing'hu'huan 特性互换
'teng'bian 藤鞭
'ti'dao 踢倒
'ti'shen 替身
'tian'shi'zhi'wen 天使之吻
'tian'tian'xiang'qi 甜甜香气
'tiao'xin 挑衅
'tie'bi 铁壁
'tie'tou 铁头
'tie'wei 铁尾
'ting'zhu 挺住
'tong'bu'gan'rao 同步干扰
'tong'ming 同命
'tou'chui 头锤
'tou'lan 偷懒
'tou'qiu 投球
'tou'zhi 投掷
'tu'si 吐丝
'tu'xi 突袭
'tun'xia 吞下
'tuo'luo'qiu 陀螺球
'wa'dong 挖洞
'wan'ni'ba 玩泥巴
'wan'sheng'ye 万圣夜
'wan'shui 玩水
'wang'pai 王牌
'wang'zhe'dun'pai 王者盾牌
'wei'gong 围攻
'wei'ye 胃液
'wen'li 纹理
'wu'jin'an'ye'zhi'you'huo 无尽暗夜之诱惑
'wu'li'qu'nao 无理取闹
'wu'ni'bo 污泥波
'wu'ni'gong'ji 污泥攻击
'wu'ni'zha'dan 污泥炸弹
'xi'fa 戏法
'xi'fa'fang'shou 戏法防守
'xi'fa'kong'jian 戏法空间
'xi'nao 嬉闹
'xi'qu 吸取
'xi'qu'li'liang 吸取力量
'xi'qu'quan 吸取拳
'xi'qu'zhi'wen 吸取之吻
'xi'xue 吸血
'xi'xue 细雪
'xia'pan'ti 下盘踢
'xian'hua'fang'shou 鲜花防守
'xian'jing'jia'qiao 陷阱甲壳
'xian'ta'ta'mi 掀榻榻米
'xiao'tou 小偷
'xiao'zhang 嚣张
'xie'qian'chui 蟹钳锤
'xie'sheng 写生
'xin'hao'guang'shu 信号光束
'xin'ling'hu'huan 心灵互换
'xin'yue'wu 新月舞
'xin'zhi'yan 心之眼
'xing'yun'zhou'yu 幸运咒语
'xiu'chang'zhi'jiao 修长之角
'xu'li 蓄力
'xu'neng'yan'xi 蓄能焰袭
'xu'zhang'sheng'shi 虚张声势
'xuan'feng'dao 旋风刀
'xuan'lan'bin'fen'hua'nu'fang 绚烂缤纷花怒放
'xue'beng 雪崩
'ya'kong'lie'zhan 亚空裂斩
'yan'beng 岩崩
'yan'fan 燕返
'yan'hou 延後
'yan'mu 烟幕
'yan'shi'bao'ji 岩石爆击
'yan'shi'da'mo 岩石打磨
'yan'shi'feng'suo 岩石封锁
'yan'shi'pao 岩石炮
'yan'shui 盐水
'yang'gong 佯攻
'yao'huang'wu 摇晃舞
'yao'jing'zhi'feng 妖精之风
'yao'jing'zhi'suo 妖精之锁
'yao'sui 咬碎
'yao'wei'ba 摇尾巴
'yao'zhu 咬住
'ye'ren 叶刃
'yi'ci'yuan'dong 异次元洞
'yi'ci'yuan'meng'gong 异次元猛攻
'yi'nian'tou'chui 意念头锤
'yi'nian'yi'wu 意念移物
'yi'ya'huan'ya 以牙還牙
'yin'bao 音爆
'yin'se'xuan'feng 银色旋风
'yin'su'quan 音速拳
'yin'xing'yan 隐形岩
'ying'cheng 硬撑
'ying'huo 萤火
'ying'tou'yi'ji 迎头一击
'ying'wu'xue'she 鹦鹉学舌
'ying'zi'fen'shen 影子分身
'ying'zi'tou'xi 影子偷袭
'yong'niao'meng'gong 勇鸟猛攻
'you'huo 诱惑
'yu'jia'zi'shi 瑜伽姿势
'yu'mao'wu 羽毛舞
'yu'qi 羽栖
'yu'zhi'wei'lai 预知未来
'yu'zhou'li'liang 宇宙力量
'yuan'hen 怨恨
'yuan'nian 怨念
'yuan'shi'zhi'li 原始之力
'yuan'tong 圆瞳
'yue'guang 月光
'yue'liang'zhi'li 月亮之力
'yue'qi 跃起
'za'ji 杂技
'zai'lai'yi'ci 再来一次
'zeng'qiang'quan 增强拳
'zha'dan 炸蛋
'zha'gen 扎根
'zhan'hou 战吼
'zhang'yu'tong'pao 章鱼桶炮
'zhao'huo'ban 找伙伴
'zhe'tian'bi'ri'an'ying'jian 遮天蔽日暗影箭
'zhe'wan'tang'chi 折弯汤匙
'zhen'cang 珍藏
'zhen'ji 震级
'zhen'kong'bo 真空波
'zhen'qi'dan 真气弹
'zhen'qi'quan 真气拳
'zheng'qi'bao'zha 蒸汽爆炸
'zheng'zha 挣扎
'zhi'cai'guang'li 制裁光砾
'zhi'chong'zuan 直冲钻
'zhi'gao'jing'shen'po'huai'bo 至高精神破坏波
'zhi'mao 掷锚
'zhi'ming'zhen'ci 致命针刺
'zhi'ni 掷泥
'zhi'yu'bo'dong 治愈波动
'zhi'yu'ling'sheng 治愈铃声
'zhi'yu'zhi'yuan 治愈之愿
'zhong'bang'chong'zhuang 重磅冲撞
'zhong'ji'chong'ji 终极冲击
'zhong'ji'fu'te'kuang'lei'shan 终极伏特狂雷闪
'zhong'ji'xi'qu 终极吸取
'zhong'li 重力
'zhong'ta 重踏
'zhong'zi'ji'guan'qiang 种子机关枪
'zhong'zi'shan'guang 种子闪光
'zhong'zi'zha'dan 种子炸弹
'zhu'bu'ji'po 逐步击破
'zhu'wang 蛛网
'zhua'kuang 抓狂
'zhuang'ji 撞击
'zhui'da 追打
'zhuo'liu 浊流
'zhuo'shi 啄食
'zhuo'wu 浊雾
'zhuo'zuan 啄钻
'zi'bao 自爆
'zi'dan'quan 子弹拳
'zi'ran'zhi'en 自然之恩
'zi'ran'zhi'li 自然之力
'zi'ran'zhi'nu 自然之怒
'zi'wo'an'shi 自我暗示
'zi'wo'ji'li 自我激励
'zi'wo'zai'sheng 自我再生
'zi'you'luo'ti 自由落体
'zu'zhou 诅咒
'zuan'shi'feng'bao 钻石风暴
