'an'chong'an'hui'you'wei'xi 暗冲暗会尤为喜
'cheng'zhuo'qiu'qing'qing'dei'qu 澄浊求清清得去
'chong'tian'ben'di 冲天奔地
'chu'men'yao'xiang'tian'ya'you 出门要向天涯游
'chu'shen 出身
'chun'bu'rong'jin 春不容金
'ci'guan'ruo'tong'ye 此关若通也
'cong'de'zhen'zhe'zhi'lun'cong 从得真者只论从
'cong'er'bu'guan'shen'qiang'ruo 从儿不管身强弱
'cong'shen'you'you'ji'he'xiong 从神又有吉和凶
'cong'xiang 从象
'cong'ze'xiang'ji 从则相济
'da'yu'tian'jin 达于天津
'dai'tian'lv'di'ren'wei'gui 戴天履地人为贵
'dan'yin'qi'xing'qing'er'yi'yi 但引其性情而已矣
'dao'you'ti'yong 道有体用
'de'huo'er'rui 得火而锐
'de'long'er'yun 得龙而运
'de'sheng'cai'zhe'ju'he'jun'zi'zhi'feng 德胜才者局合君子之风
'de'shui'er'qing 得水而清
'di'dao 地道
'di'dao'you'zao'shi 地道有燥湿
'di'quan'san'wu 地全三物
'di'run'tian'he 地润天和
'di'sheng'tian'zhe 地生天者
'di'tian'sui 滴天髓
'di'wang'xi'jing 地旺喜静
'di'wei 地位
'di'zhi 地支
'ding'huo'rou'zhong 丁火柔中
'ding'ren'huo'fu'yu'zai'xiang 定人祸福与灾祥
'du'xiang'xi'xing'hua'di 独象喜行化地
'duo'cheng'duo'bai'du'chen'hun 多成多败度晨昏
'en'yuan 恩怨
'er'cai'shen'yao'wang 而财神要旺
'er'hua'shen'yao'chang 而化神要昌
'er'you'xiang'cheng'zhe'cun 而有相成者存
'er'you'xiang'chi'zhe'zai 而有相持者在
'er'yu'wu'xing'zhi'miao 而于五行之妙
'fan'ju 反局
'fang'ju 方局
'fang'shi'fang'xi'ju'shi'ju 方是方兮局是局
'fen'fan'si'mu'cai'guan'he 分藩司牧财官和
'fen'yu 奋郁
'feng'xin'fan'qie 逢辛反怯
'fu'gui'fu'shou 富贵福寿
'fu'mu 父母
'fu'mu'huo'jiang'yu'huo'ti 父母或降与或替
'fu'qi 夫妻
'fu'qi'yin'yuan'su'shi'lai 夫妻因缘宿世来
'gan'zhi'zong'lun 干支总论
'gang'jian'wei'zui 刚健为最
'gang'rou 刚柔
'gang'zhong'zhi'de 刚中之德
'geng'jin'dai'sha 庚金带煞
'geng'yin'gui'chou 庚寅癸丑
'gong'hua'si'shen 功化斯神
'gu'er'yi'xing'neng'chu'lei 孤儿异性能出类
'guan'nei'you'zhi'nv 关内有织女
'guan'qu'sheng'ping'fu'gui'zhen 管取生平富贵真
'guan'sha 官杀
'guan'sha'hun'za'lai'wen'wo 官杀混杂来问我
'guan'wai'you'niu'lang 关外有牛郎
'guan'xing'hai'bu'jian 官星还不见
'guan'xing'you'li'hui 官星有理会
'gui'hu'sun'shang'yi'yi'xia 贵乎损上以益下
'gui'hu'sun'xia'er'yi'shang 贵乎损下而益上
'gui'shui'zhi'ruo 癸水至弱
'hai'xu'dao'lu'guang'heng 还须道路光亨
'han'nuan 寒暖
'han'ze'leng'sou 寒则冷嗽
'han'ze'xi'ding 寒则喜丁
'he'chu'qi'gen'yuan 何处起根源
'he'hao'shi'qi'shu'qie 和好视其孰切
'he'ju 合局
'he'ren'er'zhong 合壬而忠
'he'shi'qun'chai'zi'yi'liu 何事裙钗恣意留
'he'wei'chong 何为冲
'he'wei'hao 何为好
'he'wei'he 何为和
'he'wei'zhan 何为战
'he'wu'jian'huo 合戊见火
'he'you'yi'bu'yi'he'duo'bu'wei'qi 合有宜不宜合多不为奇
'he'zhi'qi'ren'fu 何知其人富
'he'zhi'qi'ren'gui 何知其人贵
'he'zhi'qi'ren'ji 何知其人吉
'he'zhi'qi'ren'jian 何知其人贱
'he'zhi'qi'ren'pin 何知其人贫
'he'zhi'qi'ren'shou 何知其人寿
'he'zhi'qi'ren'xiong 何知其人凶
'he'zhi'qi'ren'yao 何知其人夭
'he'zhi'zhang 何知章
'hu'ma'quan'xiang 虎马犬乡
'hua'de'zhen'zhe'zhi'lun'hua 化得真者只论化
'hua'shen'hai'you'ji'ban'hua 化神还有几般话
'hua'xiang 化象
'hua'xiang'si'zhen 化象斯真
'hua'ze'you'qing 化则有情
'huai'ding'bao'bing 怀丁抱丙
'huo'chi'cheng'long 火炽乘龙
'huo'lie'er'xing'zao'zhe'yu'jin'shui'zhi'ji 火烈而性燥者遇金水之激
'huo'shao'huo'hui 火少火晦
'huo'tu'yin'shou 火土印绶
'huo'zao'wu'bing 火燥物病
'ji'bing 疾病
'ji'kuo'ci'zhong'qiu 机括此中求
'ji'shen'ru'wu'zang'er'bing'xiong 忌神入五脏而病凶
'ji'shen'tai'lu 吉神太露
'ji'shen'zhan'zhuan'gong 忌神辗转攻
'ji'shi'zhong'he'zhi'zheng'li 既识中和之正理
'ji'tu'bei'shi 己土卑湿
'ji'zhi'ding'fang'ye 基之定方也
'ji'zhong'qie'zheng 既中且正
'jia'cong 假从
'jia'cong'yi'ke'fa'qi'shen 假从亦可发其身
'jia'hua 假化
'jia'hua'zhi'ren'yi'duo'gui 假化之人亦多贵
'jia'lai'cheng'mie 甲来成灭
'jia'mu'can'tian 甲木参天
'jia'shen 假神
'jia'shen'wu'yin 甲申戊寅
'jia'shen'xiu'yao'luan'zhen'shen 假神休要乱真神
'jian'lun'shi'shang'ba'ge'ding 兼论食伤八格定
'jin'duo'jin'guang 金多金光
'jin'jian'shui'yi'liu'tong 金见水以流通
'jin'shui'ku'shang'er'shen'jing'xu 金水枯伤而肾经虚
'jin'shui'shang'guan 金水伤官
'jin'xi'tui'xi'yi'yi'yang 进兮退兮宜抑扬
'jing'shen 精神
'jing'xi'dong'pi 静翕动辟
'ju'hun'fang'xi'you'chun'bi 局混方兮有纯庇
'ju'zhong'xian'fen'fa'zhi'ji'zhe 局中显奋发之机者
'jun'bu'ke'kang'ye 君不可抗也
'jun'lai'chen'sheng'li'zui'wei'er'neng'jiu'mu'xie'tian'ji 君赖臣生理最微儿能救母泄天机
'jun'xiang 君象
'kan'li 坎离
'kan'li'zai'tian'di'zhi'zhong'qi 坎离宰天地之中气
'ke'chun'ke'qiu 可春可秋
'ke'jian'bu'ke'jian 可见不可见
'ke'qiu'ke'dong 可秋可冬
'ke'shen'you'liu'jing'er'zai'xiao 客神游六经而灾小
'kua'feng'cheng'hou 跨凤乘猴
'kui'yang'jie'niu 刲羊解牛
'kun'yuan'he'de'ji'jian'tong 坤元合德机缄通
'le'shui'zhi'ying 乐水之盈
'li'cheng'qi'xing'qi'you'chang 理承气行岂有常
'li'qi 理气
'liang'qi'he'er'cheng'xiang 两气合而成象
'liang'yi'qing'tong'zhong'you'mei 两意情通中有媒
'ling'shang'xun'qi'ju'de'zhen 令上寻其聚得真
'liu'dao'he'fang'zhu 流到何方住
'liu'qin'lun 六亲论
'lun'cai'lun'sha'lun'jing'shen 论财论杀论精神
'lun'fu'lun'zi'yao'an'xiang 论夫论子要安详
'lun'tan'duo'mu'huo 论痰多木火
'luo'shu'liu'xing'zhi'yong 洛书流行之用
'man'pan'zhuo'qi'ling'ren'ku 满盘浊气令人苦
'mo'hun'ju 莫混局
'mu'bu'shou'shui'zhe'xue'bing 木不受水者血病
'mu'ci'mie'zi'guan'yin'yi'fu'jian'he'wei'you'pa'qi 母慈灭子关因异夫健何为又怕妻
'mu'xiang 母象
'nei'xing'zhao'rong 内性昭融
'neng'duan'geng'jin 能煅庚金
'neng'fu'she'ji 能扶社稷
'neng'jiu'sheng'ling 能救生灵
'neng'xie'jin'qi 能泄金气
'neng'ying'jia'xiong 能赢甲兄
'neng'zhi'wang'shuai'zhi'zhen'ji 能知旺衰之真机
'ni'sheng'zhi'xu'jian'xian'shen'er'kuang 逆生之序见闲神而狂
'nv'ming'zhang 女命章
'pa'chong'yi'jing 怕冲宜静
'pei'he 配合
'pei'he'gan'zhi'zi'xi'xiang 配合干支仔细详
'pi'tai'mei'jing'nian 否泰每经年
'pi'zhi'mu'di 譬之墓地
'pi'zhi'zhai'ye 譬之宅也
'qi'fa'bu'ke'zhi'yi 其法不可执一
'qi'jing'ping'he'fu'dao'zhang 气静平和妇道章
'qi'li'xin'zhi'you'ye 其理信之有也
'qi'ma'yi'you 骑马亦忧
'qi'qi'shi'er'yi'yi 其气势而已矣
'qi'shi'you'chang'wu'xue'sang 气势攸长无削丧
'qi'shuang'wu'xue 欺霜侮雪
'qi'yu'san'ming'zhi'ao 其于三命之奥
'qi'zheng'duo'zhi'feng 起争夺之风
'qi'zhuo'shen'ku'le 气浊神枯了
'qiang'gua'er'di'zhong'zhe 强寡而敌众者
'qiang'zhong'er'di'gua'zhe 强众而敌寡者
'qing'chun'ge'ju'shen'qi'duo 清纯格局神气多
'qing'de'jin'shi'huang'bang'ke 清得尽时黄榜客
'qing'qi 清气
'qing'qi'hai'xian'guan'bu'qi 清气还嫌官不起
'qiu'bu'rong'tu 秋不容土
'quan'xiang'xi'xing'cai'di 全象喜行财地
're'ze'feng'tan 热则风痰
're'ze'tan'huo 热则痰火
're'ze'xi'mu 热则喜母
'ren'dao 人道
'ren'dao'de'zhi 人道得之
'ren'dao'xing'zhi 人道行之
'ren'jun'ce'ma'chao'tian'que 任君策马朝天阙
'ren'sha'shen'qing'qi'shi'te 刃煞神清气势特
'ren'shui'tong'he 壬水通河
'ren'you'jing'shen 人有精神
'ren'yuan'wei'yong'shi'zhi'shen 人元为用事之神
'ri'gan'de'qi'yu'cai'xing 日干得气遇财星
'rou'gang'bu'yi'ye 柔刚不一也
'ru'you'di'mu 如有嫡母
'ruo'ran'fang'ju'yi'qi'lai 若然方局一齐来
'ruo'yao'wu'wang 若要物旺
'ruo'zai'gen'kun 若在艮坤
'san'qi'er'de'xu'hao'yu 三奇二德虚好语
'sha'guan'sui'you'bu'shang'shen 杀关虽有不伤身
'shan'wei'zhi'zhe 善为制者
'shang'guan 伤官
'shang'guan'ge'qing'ze'qian'he'zhuo'ze'gang'meng 伤官格清则谦和浊则刚猛
'shang'guan'jian'guan'zui'nan'bian 伤官见官最难辨
'shang'xia'gui'hu'qing'xie 上下贵乎情协
'shen'shu'yi'chang 神舒意畅
'sheng'cheng'pin'hui 生成品汇
'sheng'di'ku'di'jie'fei'fu 生地库地皆非福
'sheng'du'yu'huo'jin 生毒郁火金
'sheng'fang'pa'dong'ku'yi'kai 生方怕动库宜开
'sheng'shi 生时
'sheng'shi'nai'gui'suo'zhi'di 生时乃归缩之地
'sheng'yu'wan'wu 生育万物
'shi'bu'liang'li 势不两立
'shi'ke'xie'cheng'da'shun'zhi'feng 始克谐成大顺之风
'shi'lai'han'gu'ye'hui'chun 时来寒谷也回春
'shi'qi'suo'shi 始其所始
'shi'you'gua'die'wu'jiang'zhi'qing 始有瓜瓞无疆之庆
'shi'zai'cheng'hu'zhong 势在成乎众
'shi'zai'qu'qi'gua 势在去其寡
'shi'zhi'ku'zhe'hu'tou'she'wei 时支枯者虎头蛇尾
'shu'yu'yi'mei 输于乙妹
'shuai'er'bu'qiong 衰而不穷
'shuai'shen'chong'wang'wang'shen'fa 衰神冲旺旺神发
'shuai'wang 衰旺
'shui'ben'er'xing'rou'zhe'dang'huo'tu'zhi'shen 水奔而性柔者当火土之神
'shui'ben'nan'er'ruan'qie 水奔南而软怯
'shui'chang'xian'jie 水猖显节
'shui'dang'qi'hu 水宕骑虎
'shui'mu'xiang'sheng'er'pi'wei'xie 水木相胜而脾胃泄
'shui'run'wu'sheng 水润物生
'shun'ju 顺局
'shun'ni 顺逆
'shun'ni'bu'qi'ye 顺逆不齐也
'shun'ni'zhi'ji'xu'li'hui 顺逆之机须理会
'shun'sheng'zhi'ji'yu'ji'shen'er'kang 顺生之机遇击神而抗
'shun'ze'ji'xi'xiong'ze'bei 顺则吉兮凶则悖
'si'guo'ban'yi 思过半矣
'si'zhu'he'ping'yi'yang'cheng 四柱和平易养成
'su'da'xian'zai'xiang 速达显灾祥
'sui'cun'zhuo'qi'yi'zhong'shi 虽存浊气亦中式
'sui'ran'yao'li'yi'xun'zhui 虽然遥立意寻追
'sui'yue'suo'guan'guo'fei'xi 岁月所关果非细
'sui'yun 岁运
'tai'ge'xun'lao'bai'shi'chuan 台阁勋劳百世传
'teng'luo'xi'jia 藤罗系甲
'ti'gang'bu'yu'zhen'shen'zhao 提纲不与真神照
'ti'yong 体用
'ti'yong'cai'shen'kan'zhong'qing 提用财神看重轻
'tian'dao 天道
'tian'dao'you'han'nuan 天道有寒暖
'tian'di'shun'sui'er'jing'cui'zhe'chang 天地顺遂而精粹者昌
'tian'gan 天干
'tian'he'di'zhe 天合地者
'tian'quan'yi'qi 天全一气
'tian'ran'qing'qi'fa'ji'quan 天然清气发机权
'tian'shuai'pa'chong 天衰怕冲
'tian'zhan'you'zi'ke'di'zhan'ji'ru'huo 天战犹自可地战急如火
'tong'gen'tou'gui 通根透癸
'tong'guan 通关
'tong'shen'lun 通神论
'tu'bu'shou'huo'zhe'qi'shang 土不受火者气伤
'tu'gan'ze'cui 土干则脆
'tu'run'ze'sheng 土润则生
'tu'zhong'cheng'ci 土众成慈
'tuo'tai'yao'huo 脱胎要火
'wan'wu'si'ming 万物司命
'wang'er'bu'lie 旺而不烈
'wang'zhe'chong'shuai'shuai'zhe'ba 旺者冲衰衰者拔
'wei'tu'zhi'die 畏土之叠
'wei'wei'ke'di'mai'mai'lun 巍巍科第迈迈伦
'wen'run'er'qing 温润而清
'wu'er'cheng'qi'gou'men'lv 吾儿成气构门闾
'wu'qi'bu'li'xing'qing'zhong'he 无气不戾性情中和
'wu'qi'ju'er'cheng'xing 五气聚而成形
'wu'qi'pian'quan'ding'ji'xiong 五气偏全定吉凶
'wu'tu'gu'zhong 戊土固重
'wu'xing'he'zhe'yi'shi'wu'zai 五行和者一世无灾
'wu'yang'cong'qi'bu'cong'shi 五阳从气不从势
'wu'yang'jie'yang'bing'wei'zui 五阳皆阳丙为最
'wu'yin'cong'shi'wu'qing'yi 五阴从势无情义
'wu'yin'jie'yin'gui'wei'zhi 五阴皆阴癸为至
'xi'shen'kan'yu'sha'xiang'lian 喜神看与杀相连
'xi'shen'wei'fu'bi 喜神为辅弼
'xi'shen'you'yi'bang'tian'cai 喜神有意傍天财
'xia'pian 下篇
'xian'chi'yi'ma'ban'tui'xiang 咸池驿马半推详
'xian'guan'di'zai'yu'shen'gong 先观帝载与神功
'xian'shen 闲神
'xiang'bu'ke'po'ye 象不可破也
'xiang'nei'duo'chen'mai'zhi'qi'zhe 象内多沉埋之气者
'xiang'yao'ru'dong'fang 相邀入洞房
'xiao'er 小儿
'xin'jin'ruan'ruo 辛金软弱
'xin'yu'zhi'hui 心郁志灰
'xing'bu'ke'hai'ye 形不可害也
'xing'ding'yuan'shen'hou 性定元神厚
'xing'qing 性情
'xing'quan'zhe'yi'sun'qi'you'yu 形全者宜损其有余
'xing'que'zhe'yi'bu'qi'bu'zu 形缺者宜补其不足
'xing'xiang 形象
'xing'yu'chuan'xi'dong'bu'dong 刑与穿兮动不动
'xing'yun'xi'nan'huo'xi'bei 行运喜南或喜北
'xiong'di 兄弟
'xiong'di'shui'fei'yu'shui'xing 兄弟谁废与谁兴
'xiong'wu'shen'cang 凶物深藏
'xiu'cai'bu'shi'chen'fan'zi 秀才不是尘凡子
'xiu'qiu'xi'hu'yun'you'xi'hu'sui 休囚系乎运尤系乎岁
'xu'shi'gan'tou'wu'fan'fu 须是干头无反复
'xu'shi'zhi'di 虚湿之地
'xue'qi'luan'zhe'ping'sheng'duo'ji 血气乱者平生多疾
'yang'cheng'yang'wei'yang'qi'chang 阳乘阳位阳气昌
'yang'gan'dong'qie'qiang 阳干动且强
'yang'ming'yu'jin'yu'er'duo'fan 阳明遇金郁而多烦
'yang'ren'ju'zhan'ze'cheng'wei'ruo'ze'pa'shi 羊刃局战则逞威弱则怕事
'yang'zhuo'cang'huo'bao'er'duo'zhi 阳浊藏火包而多滞
'yao'de'fang 要得方
'yao'jin'zhi'chang'zuo'zi'jia 要紧之场作自家
'yao'yu'ren'jian'kai'long'kui 要与人间开聋聩
'yao'zai'fu'zhi'yi'zhi'de'qi'yi 要在扶之抑之得其宜
'yao'zai'sun'zhi'yi'zhi'de'qi'zhong 要在损之益之得其中
'ye'cong'qing'zhuo'fen'xing'ying 也从清浊分形影
'ye'zuo'liang'shen'xing'wang 也作两神兴旺
'yi'chu'men'lai'zhi'jian'er 一出门来只见儿
'yi'er'xian'shen'yong'qu'me 一二闲神用去么
'yi'ge'xuan'ji'an'li'cun 一个玄机暗里存
'yi'ju'qing'ku'ye'ku'ren 一局清枯也苦人
'yi'lu'gong'ming'mo'shuo'qing 异路功名莫说轻
'yi'mu'sui'rou 乙木虽柔
'yi'qing'dao'di'you'jing'shen 一清到底有精神
'yi'zhu'yi'bang 宜助宜帮
'yin'cheng'yin'wei'yin'qi'sheng 阴乘阴位阴气盛
'yin'xian 隐显
'yin'yang'guai'bei'er'hun'luan'zhe'wang 阴阳乖悖而混乱者亡
'yin'yang'shun'ni'zhi'shuo 阴阳顺逆之说
'yin'zhi'jing'qie'zhuan 阴支静且专
'ying'xiang'yao'xi'ji'wei'xu 影响遥系既为虚
'yong'hu'wu'qiong 永乎无穷
'yong'ruo'wu'wei'lu'lu'ren 用若无为碌碌人
'yong'shen'duo'zhe'xing'qing'bu'chang 用神多者性情不常
'you'ke'you'bu'ke 有可有不可
'you'qing'que'bei'ren'li'jian 有情却被人离间
'you'quan'neng'yan 有全能焉
'yu'shi'san'yuan'wan'fa'zong 欲识三元万法宗
'yuan'liu 源流
'yuan'qi'en'zhong'si'bu'hui 怨起恩中死不灰
'yue'ling 月令
'yue'ling'nai'ti'gang'zhi'fu 月令乃提纲之府
'za'qi'cai'guan'bu'ke'ju 杂气财官不可拘
'zai'zhao'zhen'yuan'zhi'hui'pei'tai'si'xu'zhi'ji 再肇贞元之会胚胎嗣续之机
'zao'hua'qi'yu'yuan'yi'zhi'yu'zhen 造化起于元亦止于贞
'zao'shi 燥湿
'zao'ze'pi'yang 燥则皮痒
'zhai'zhi'ding'xiang'ye 宅之定向也
'zhan'chong'shi'qi'shu'jiang 战冲视其孰降
'zhan'ju 战局
'zhen'cong'zhi'xiang'you'ji'ren 真从之象有几人
'zhen'dui 震兑
'zhen'dui'zhu'ren'yi'zhi'zhen'ji 震兑主仁义之真机
'zhen'jia'cen'ci'nan'bian'lun 真假参差难辩论
'zhen'shen 真神
'zhen'shen'dei'yong'ping'sheng'gui 真神得用平生贵
'zhen'wei'sha'yin'xiang'sheng 真为杀印相生
'zhen'yuan 贞元
'zhi'ci'mu'xu'gu'zhi'dao 知慈母恤孤之道
'zhi'gang'zhe'dong'huo'zhuan'bei 至刚者东火转北
'zhi'lai'yi'zhi'qu 知来亦知去
'zhi'li'qian'gu 植立千古
'zhi'ming 知命
'zhi'shen'qi'yi'chong'wei'zhong 支神祇以冲为重
'zhi'xiao'zi'feng'qin'zhi'fang 知孝子奉亲之方
'zhi'yao'wu'er'you'dei'er 只要吾儿又得儿
'zhong'gua 众寡
'zhong'he 中和
'zhong'qi'suo'zhong 终其所终
'zhong'zheng'xu'cang 中正蓄藏
'zhou'liu'bu'zhi 周流不滞
'zhuo'luan'pian'ku'xing'qing'guai'ni 浊乱偏枯性情乖逆
'zhuo'qi 浊气
'zi'nv 子女
'zi'nv'gen'zhi'yi'shi'chuan 子女根枝一世传
'zi'xiang 子象
'zui'niu'zhe'xi'shui'hai'nan 最拗者西水还南
'zui'yao'xing'cheng'an'dun 最要行程安顿
'zuo'bian'you'bian'kong'lu'lu 左边右边空碌碌
'zuo'you'gui'hu'tong'zhi 左右贵乎同志
