'ai'gong'wen'zheng 哀公问政
'dai'qi'ren'ran'hou'xing 待其人然后行
'dan'er'mian'bu'yan 淡而面不厌
'dao'bing'xing'er'bu'xiang'bei 道并行而不相悖
'dao'bu'yuan'ren 道不远人
'dao'qi'bu'xing'yi'fu 道其不行矣夫
'dao'qian'ding'ze'bu'qiong 道前定则不穷
'dao'ye'zhe 道也者
'dao'zhi'bu'ming'ye 道之不明也
'dao'zhi'bu'xing'ye 道之不行也
'de'ran'er'ri'wang 的然而日亡
'de'wei'sheng'ren 德为圣人
'de'yi'shan 得一善
'de'you'ru'mao 德輶如毛
'di'chang'zhi'yi 禘尝之义
'di'dao'min'shu 地道敏树
'di'zhi'suo'zai 地之所载
'dong'hu'si'ti 动乎四体
'dong'ze'bian 动则变
'du'xing'zhi 笃行之
'dun'hou'yi'chong'li 敦厚以崇礼
'dun'shi'bu'jian'zhi'er'bu'hui 遁世不见知而不悔
'e'qi'wen'zhi'zhu'ye 恶其文之著也
'er'bu'neng'ji'yue'shou'ye 而不能期月守也
'er'dao'zi'dao'ye 而道自道也
'er'mo'zhi'zhi'pi'ye 而莫之知辟也
'er'qiang'zhe'ju'zhi 而强者居之
'er'shi'chu'zhi 而时出之
'er'zao'you'yu'yu'tian'xia'zhe 而蚤有誉于天下者
'fa'er'jie'zhong'jie 发而皆中节
'fa'ke 伐柯
'fa'qiang'gang'yi 发强刚毅
'fa'yu'wan'wu 发育万物
'fan'gu'zhi'dao 反古之道
'fan'qiu'zhu'qi'shen 反求诸其身
'fan'shi'yu'ze'li 凡事豫则立
'fan'wei'tian'xia'guo'jia'you'jiu'jing 凡为天下国家有九经
'fan'you'xue'qi'zhe 凡有血气者
'fan'zhu'shen'bu'cheng 反诸身不诚
'fei'er'yin 费而隐
'fei'li'bu'dong 非礼不动
'fei'tian'zi 非天子
'fu'cuo'ye 弗措也
'fu'fu'ye 夫妇也
'fu'fu'zhi'bu'xiao 夫妇之不肖
'fu'fu'zhi'yu 夫妇之愚
'fu'mu'qi'shun'yi'hu 父母其顺矣乎
'fu'mu'zhi'sang 父母之丧
'fu'wei'dai'fu 父为大夫
'fu'wei'shi 父为士
'fu'wei'zhi'xian 夫微之显
'fu'xiao'zhe 夫孝者
'fu'yan'you'suo'yi 夫焉有所倚
'fu'you'si'hai'zhi'nei 富有四海之内
'fu'zheng'ye'zhe 夫政也者
'fu'zi'ye 父子也
'fu'zuo'zhi 父作之
'gai'er'zhi 改而止
'gai'yue'tian'zhi'suo'yi'wei'tian'ye 盖曰天之所以为天也
'gai'yue'wen'wang'zhi'suo'yi'wei'wen'ye 盖曰文王之所以为文也
'gao'ming'pei'tian 高明配天
'gao'ming'suo'yi'fu'wu'ye 高明所以覆物也
'gao'ye 高也
'gou'bu'gu'cong'ming'sheng'zhi'da'tian'de'zhe 苟不固聪明圣知达天德者
'gou'bu'zhi'de 苟不至德
'gou'wu'qi'de 苟无其德
'gou'wu'qi'wei 苟无其位
'gu'da'de'bi'de'qi'wei 故大德必得其位
'gu'da'de'zhe'bi'shou'ming 故大德者必受命
'gu'jun'zi'bu'dong'er'jing 故君子不动而敬
'gu'jun'zi'bu'ke'yi'bu'xiu'shen 故君子不可以不修身
'gu'jun'zi'he'er'bu'liu 故君子和而不流
'gu'jun'zi'ju'yi'yi'si'ming 故君子居易以俟命
'gu'jun'zi'nei'xing'bu'jiu 故君子内省不疚
'gu'jun'zi'shen'qi'du'ye 故君子慎其独也
'gu'jun'zi'yi'ren'zhi'ren 故君子以人治人
'gu'jun'zi'yu'da 故君子语大
'gu'jun'zi'zhi'dao 故君子之道
'gu'jun'zi'zun'de'xing'er'dao'wen'xue 故君子尊德性而道问学
'gu'shi'cuo'zhi'yi'ye 故时措之宜也
'gu'tian'zhi'sheng'wu 故天之生物
'gu'wei'zheng'zai'ren 故为政在人
'gu'yue 故曰
'gu'yue'pei'tian 故曰配天
'gu'zai'zhe'pei'zhi 故栽者培之
'gu'zhi'cheng'ru'shen 故至诚如神
'gu'zhi'cheng'wu'xi 故至诚无息
'guan'sheng'ren'shi 官盛任使
'gui'shen'zhi'wei'de 鬼神之为德
'guo'jia'jiang'wang 国家将亡
'guo'jia'jiang'xing 国家将兴
'guo'neng'ci'dao'yi 果能此道矣
'guo'wu'dao 国无道
'guo'you'dao 国有道
'hao'hao'qi'tian 浩浩其天
'hao'xue'jin'hu'zhi 好学近乎知
'he'le'qie'dan 和乐且耽
'he'wai'nei'zhi'dao'ye 合外内之道也
'he'ye'zhe 和也者
'hou'shi'you'shu'yan 后世有述焉
'hou'wang'er'bo'lai 厚往而薄来
'hou'ye 厚也
'huai'zhu'hou'ye 怀诸侯也
'huai'zhu'hou'ze'tian'xia'wei'zhi 怀诸侯则天下畏之
'hui'zhi'wei'ren'ye 回之为人也
'huo'an'er'xing'zhi 或安而行之
'huo'cai'zhi'yan 货财殖焉
'huo'fu'jiang'zhi 祸福将至
'huo'hu'shang'you'dao 获乎上有道
'huo'kun'er'zhi'zhi 或困而知之
'huo'li'er'xing'zhi 或利而行之
'huo'mian'qiang'er'xing'zhi 或勉强而行之
'huo'sheng'er'zhi'zhi 或生而知之
'huo'xue'er'zhi'zhi 或学而知之
'ji'gao'ming'er'dao'zhong'yong 极高明而道中庸
'ji'jue'shi 继绝世
'ji'lin'cheng'shi 既廪称事
'ji'ming'qie'zhe 既明且哲
'ji'qi'bu'ce 及其不测
'ji'qi'cheng'gong 及其成功
'ji'qi'guang'da 及其广大
'ji'qi'guang'hou 及其广厚
'ji'qi'wu'qiong'ye 及其无穷也
'ji'qi'zhi'ye 及其至也
'ji'qi'zhi'zhi'yi'ye 及其知之一也
'ji'shi'shu'ren 及士庶人
'ji'yi'dai'fu 祭以大夫
'ji'yi'shi 祭以士
'jia'le'jun'zi 嘉乐君子
'jia'shan'er'jin'bu'neng 嘉善而矜不能
'jian'er'hao'zi'zhuan 贱而好自专
'jian'er'min'mo'bu'jing 见而民莫不敬
'jian'er'wen 简而文
'jian'hu'zhu'gui 见乎著龟
'jian'huo'er'gui'de 贱货而贵德
'jian'qi'shi'shi 荐其时食
'jian'qi'wei 践其位
'jian'zhu'tian'di'er'bu'bei 建诸天地而不悖
'jiao'long 蛟龙
'jiao'she'zhi'li 郊社之礼
'jin'fu'di 今夫地
'jin'fu'shan 今夫山
'jin'fu'shui 今夫水
'jin'fu'tian 今夫天
'jin'tian'xia'che'tong'gui 今天下车同轨
'jin'yong'zhi 今用之
'jin'zhi'ze'bu'yan 近之则不厌
'jing'da'chen'ye 敬大臣也
'jing'da'chen'ze'bu'xuan 敬大臣则不眩
'jing'qi'suo'zun 敬其所尊
'jiu'ye 久也
'jiu'ze'zheng 久则征
'ju'fei'guo 举废国
'jue'lu'ke'ci'ye 爵禄可辞也
'jun'chen'ye 君臣也
'jun'ji'yu'tian 峻极于天
'jun'zi'er'shi'zhong 君子而时中
'jun'zi'hu'bu'zao'zao'er 君子胡不慥慥尔
'jun'zi'ju'zhi 君子居之
'jun'zi'su'qi'wei'er'xing 君子素其位而行
'jun'zi'wei'you'bu'ru'ci 君子未有不如此
'jun'zi'wu'ru'er'bu'zi'de'yan 君子无入而不自得焉
'jun'zi'yi'hu'zhong'yong 君子依乎中庸
'jun'zi'zhi'dao 君子之道
'jun'zi'zhi'dao'si 君子之道四
'jun'zi'zhi'suo'bu'ke'ji'zhe 君子之所不可及者
'jun'zi'zhi'zhong'yong'ye 君子之中庸也
'jun'zi'zhong'yong 君子中庸
'jun'zi'zun'dao'er'xing 君子遵道而行
'kao'zhu'san'wang'er'bu'miu 考诸三王而不缪
'ke'li'fei'dao'ye 可离非道也
'ke'yi'neng'xing'yan 可以能行焉
'ke'yi'qian'zhi 可以前知
'ke'yi'yan'er'jin'ye 可一言而尽也
'ke'yi'yu'zhi'yan 可以与知焉
'ke'yi'zan'tian'di'zhi'hua'yu 可以赞天地之化育
'ke'yu'ru'de'yi 可与入德矣
'kong'ju'hu'qi'suo'bu'wen 恐惧乎其所不闻
'kuan'rou'yi'jiao 宽柔以教
'kuan'yu'wen'rou 宽裕温柔
'kun'di'ye 昆弟也
'lai'bai'gong'ye 来百工也
'lai'bai'gong'ze'cai'yong'zu 来百工则财用足
'le'er'qi'tang 乐尔妻帑
'li'suo'sheng'ye 礼所生也
'li'tian'xia'zhi'da'ben 立天下之大本
'li'xing'jin'hu'ren 力行近乎仁
'li'yi'san'bai 礼仪三百
'lv'chou'xia'wei'shang 旅酬下为上
'mao'you'you'lun 毛犹有伦
'min'bu'ke'de'er'zhi'yi 民不可得而治矣
'min'xian'neng'jiu'yi 民鲜能久矣
'ming'bian'zhi 明辨之
'ming'hu'jiao'she'zhi'li 明乎郊社之礼
'ming'ye 明也
'ming'ze'cheng'yi 明则诚矣
'ming'ze'dong 明则动
'mo'bu'zun'qin 莫不尊亲
'mo'jian'hu'yin 莫见乎隐
'mo'xian'hu'wei 莫显乎微
'mo'ye 末也
'nan'fang'zhi'qiang'ye 南方之强也
'nan'fang'zhi'qiang'yu 南方之强与
'neng'jin'qi'xing 能尽其性
'neng'jin'ren'zhi'xing 能尽人之性
'neng'jin'wu'zhi'xing 能尽物之性
'ni'er'shi'zhi 睨而视之
'peng'you'zhi'jiao'ye 朋友之交也
'pi'ru'deng'gao'bi'zi'bei 辟如登高必自卑
'pi'ru'si'shi'zhi'cuo'xing 辟如四时之错行
'pi'ru'tian'di'zhi'wu'bu'chi'zai 辟如天地之无不持载
'pi'ru'xing'yuan'bi'zi'er 辟如行远必自迩
'pu'bo'ru'tian 溥博如天
'pu'bo'yuan'quan 溥博渊泉
'pu'lu'ye 蒲卢也
'qi'bu'zu'zheng'ye 杞不足徵也
'qi'ci'zhi'qu 其次致曲
'qi'ci'zhi'wei'yu 其此之谓与
'qi'da'xiao'yi'hu 其达孝矣乎
'qi'gua'guo'yi'hu 其寡过矣乎
'qi'ming'sheng'fu 齐明盛服
'qi'mo'zu'yi'rong 其默足以容
'qi'ren'cun 其人存
'qi'ren'wang 其人亡
'qi'sheng'yi'hu 其盛矣乎
'qi'shu'neng'zhi'zhi 其孰能知之
'qi'si'yi'wei'shun'hu 其斯以为舜乎
'qi'wei'ren'zhi'suo'bu'jian'hu 其唯人之所不见乎
'qi'wei'wen'wang'hu 其惟文王乎
'qi'wei'wu'bu'er 其为物不贰
'qi'yan'zu'yi'xing 其言足以兴
'qi'ze'bu'yuan 其则不远
'qi'zhi'sang 期之丧
'qi'zhuang'zhong'zheng 齐庄中正
'qi'zi'hao'he 妻子好合
'qian'sui'fu'yi 潜虽伏矣
'qiang'zai'jiao 强哉矫
'qin'qin'wei'da 亲亲为大
'qin'qin'ye 亲亲也
'qin'qin'ze'zhu'fu'kun'di'bu'yuan 亲亲则诸父昆弟不怨
'qin'qin'zhi'sha 亲亲之杀
'qin'shou'ju'zhi 禽兽居之
'qing'zhe'fu'zhi 倾者覆之
'qiu'wei'neng'yi'yan 丘未能一焉
'qu'chan'yuan'se 去谗远色
'qu'er'na'zhu'gu'huo'xian'jing'zhi'zhong 驱而纳诸罟擭陷阱之中
'qu'neng'you'cheng 曲能有诚
'qu'ren'yi'shen 取人以身
'ren'dao'min'zheng 人道敏政
'ren'jie'yue'yu'zhi 人皆曰予知
'ren'jin'ge 衽金革
'ren'li'suo'tong 人力所通
'ren'mo'bu'yin'shi'ye 人莫不饮食也
'ren'shi'neng'zhi'ji'qian'zhi 人十能之己千之
'ren'yi'neng'zhi'ji'bai'zhi 人一能之己百之
'ren'you'you'suo'han 人犹有所憾
'ren'zhe'ren'ye 仁者人也
'ren'zhi'dao'ye 人之道也
'ren'zhi'wei'dao'er'yuan'ren 人之为道而远人
'ri'xing'yue'shi 日省月试
'ri'yue'suo'zhao 日月所照
'ri'yue'xing'chen'xi'yan 日月星辰系焉
'rou'yuan'ren'ye 柔远人也
'rou'yuan'ren'ze'si'fang'gui'zhi 柔远人则四方归之
'ru'ci'zhe 如此者
'ru'ci'zhe'bu'jian'er'zhang 如此者不见而章
'ru'gu'se'qin 如鼓瑟琴
'ru'ri'yue'zhi'dai'ming 如日月之代明
'ru'zai'qi'zuo'you 如在其左右
'san'nian'zhi'sang 三年之丧
'san'zhe'tian'xia'zhi'da'de'ye 三者天下之达德也
'shan'bi'xian'zhi'zhi 善必先知之
'shan'ji'ren'zhi'zhi 善继人之志
'shan'shu'ren'zhi'shi'zhe'ye 善述人之事者也
'shang'bu'kui'yu'wu'lou 尚不愧于屋漏
'shang'bu'yuan'tian 上不怨天
'shang'lv'tian'shi 上律天时
'shang'si'xian'gong'yi'tian'zi'zhi'li 上祀先公以天子之礼
'shang'tian'zhi'zai 上天之载
'shang'yan'zhe'sui'shan'wu'zheng 上焉者虽善无徵
'she'qi'shang'yi 设其裳衣
'she'you'si'hu'jun'zi 射有似乎君子
'shen'bu'shi'tian'xia'zhi'xian'ming 身不失天下之显名
'shen'ke'she'si 矧可射思
'shen'si'zhi 慎思之
'shen'wen'zhi 审问之
'shen'zhi'ge'si 神之格思
'sheng'hu'jin'zhi'shi 生乎今之世
'sheng'ren'ye 圣人也
'sheng'ren'zhi'dao'yang'yang'hu 圣人之道洋洋乎
'sheng'se'zhi'yu'yi'hua'min 声色之于以化民
'shi'gu'ju'shang'bu'jiao 是故居上不骄
'shi'gu'jun'zi'bu'shang'er'min'quan 是故君子不赏而民劝
'shi'gu'jun'zi'cheng'zhi'wei'gui 是故君子诚之为贵
'shi'gu'jun'zi'dong'er'shi'wei'tian'xia'dao 是故君子动而世为天下道
'shi'gu'jun'zi'du'gong'er'tian'xia'ping 是故君子笃恭而天下平
'shi'gu'jun'zi'jie'shen'hu'qi'suo'bu'du 是故君子戒慎乎其所不睹
'shi'ji'man'mo 施及蛮貊
'shi'mi'you'zheng 时靡有争
'shi'qian'ding'ze'bu'kun 事前定则不困
'shi'shi'bo'lian 时使薄敛
'shi'si'ru'shi'sheng 事死如事生
'shi'tian'xia'zhi'ren'qi'ming'sheng'fu 使天下之人齐明盛服
'shi'wang'ru'shi'cun 事亡如事存
'shi'yi'sheng'ming'yang'yi'hu'zhong'guo 是以声名洋溢乎中国
'shi'yue 诗曰
'shi'yun 诗云
'shi'zhi'er'fu'jian 视之而弗见
'shi'zhu'ji'er'bu'yuan 施诸己而不愿
'shi'zhu'zheng'hu 失诸正鹄
'shou'lu'yu'tian 受禄于天
'shu'ji'su'ye 庶几夙夜
'shu'tong'wen 书同文
'shuai'xing'zhi'wei'dao 率性之谓道
'shuang'lu'suo'dui 霜露所队
'shun'hao'wen'er'hao'cha'er'yan 舜好问而好察迩言
'shun'hu'qin'you'dao 顺乎亲有道
'shun'qi'da'xiao'ye'yu 舜其大孝也与
'shun'qi'da'zhi'ye'yu 舜其大知也与
'si'er'bu'yan 死而不厌
'si'li'ye 斯礼也
'si'shi'qin 思事亲
'si'xiu'shen 思修身
'si'zhao'zhao'zhi'duo 斯昭昭之多
'si'zhi'fu'de 思之弗得
'si'zhi'ren 思知人
'song'wang'ying'lai 送往迎来
'su'fu'gui 素富贵
'su'huan'nan'xing'hu'huan'nan 素患难行乎患难
'su'pin'jian 素贫贱
'su'yi'di 素夷狄
'su'yin'xing'guai 素隐行怪
'sui'rou'bi'qiang 虽柔必强
'sui'sheng'ren'yi'you'suo'bu'neng'yan 虽圣人亦有所不能焉
'sui'sheng'ren'yi'you'suo'bu'zhi'yan 虽圣人亦有所不知焉
'sui'you'qi'de 虽有其德
'sui'you'qi'wei 虽有其位
'sui'yu'bi'ming 虽愚必明
'suo'qiu'hu'chen 所求乎臣
'suo'qiu'hu'di 所求乎弟
'suo'qiu'hu'peng'you 所求乎朋友
'suo'qiu'hu'zi 所求乎子
'suo'yi'bian'gui'jian'ye 所以辨贵贱也
'suo'yi'bian'xian'ye 所以辨贤也
'suo'yi'cheng'wu'ye 所以成物也
'suo'yi'dai'jian'ye 所以逮贱也
'suo'yi'huai'zhu'hou'ye 所以怀诸侯也
'suo'yi'quan'bai'gong'ye 所以劝百工也
'suo'yi'quan'bai'xing'ye 所以劝百姓也
'suo'yi'quan'da'chen'ye 所以劝大臣也
'suo'yi'quan'qin'qin'ye 所以劝亲亲也
'suo'yi'quan'shi'ye 所以劝士也
'suo'yi'quan'xian'ye 所以劝贤也
'suo'yi'rou'yuan'ren'ye 所以柔远人也
'suo'yi'shi'shang'di'ye 所以事上帝也
'suo'yi'si'hu'qi'xian'ye 所以祀乎其先也
'suo'yi'xing'zhi'zhe'san 所以行之者三
'suo'yi'xing'zhi'zhe'yi'ye 所以行之者一也
'suo'yi'xiu'shen'ye 所以修身也
'suo'yi'xu'chi'ye 所以序齿也
'suo'yi'xu'zhao'mu'ye 所以序昭穆也
'ti'qun'chen'ye 体群臣也
'ti'qun'chen'ze'shi'zhi'bao'li'zhong 体群臣则士之报礼重
'ti'wu'er'bu'ke'yi 体物而不可遗
'tian'di'wei'yan 天地位焉
'tian'di'zhi'da'ye 天地之大也
'tian'di'zhi'dao 天地之道
'tian'ming'zhi'wei'xing 天命之谓性
'tian'xia'guo'jia'ke'jun'ye 天下国家可均也
'tian'xia'mo'neng'po'yan 天下莫能破焉
'tian'xia'mo'neng'zai'yan 天下莫能载焉
'tian'xia'zhi'da'ben'ye 天下之大本也
'tian'xia'zhi'da'dao'wu 天下之达道五
'tian'xia'zhi'da'dao'ye 天下之达道也
'tian'zhi'dao'ye 天之道也
'tian'zhi'suo'fu 天之所覆
'ting'zhi'er'fu'wen 听之而弗闻
'tong'qi'hao'wu 同其好恶
'wan'wu'bing'yu'er'bu'xiang'hai 万物并育而不相害
'wan'wu'fu'yan 万物覆焉
'wan'wu'yu'yan 万物育焉
'wan'wu'zai'yan 万物载焉
'wang'ji 王季
'wang'tian'xia'you'san'chong'yan 王天下有三重焉
'wei'neng'jin'qi'xing 为能尽其性
'wei'neng'jing'lun'tian'xia'zhi'da'jing 为能经纶天下之大经
'wei'neng'ye 未能也
'wei'sheng'zhe'neng'zhi 唯圣者能之
'wei'tian'xia'zhi'cheng 唯天下至诚
'wei'tian'xia'zhi'cheng'wei'neng'hua 唯天下至诚为能化
'wei'tian'xia'zhi'sheng'wei'neng'cong'ming'rui'zhi 唯天下至圣为能聪明睿知
'wei'tian'zhi'ming 惟天之命
'wei'xia'bu'bei 为下不倍
'wei'yi'san'qian 威仪三千
'wei'zhi'he 谓之和
'wei'zhi'zhong 谓之中
'wen'er'li 温而理
'wen'gu'er'zhi'xin 温故而知新
'wen'li'mi'cha 文理密察
'wen'wang'zhi'de'zhi'chun 文王之德之纯
'wen'wang'zhi'xu 文王之绪
'wen'wu'zhi'zheng 文武之政
'wen'zhi'fu'zhi 问之弗知
'wo'zhi'zhi'yi 我知之矣
'wu'bu'fu'chou 无不覆帱
'wu'cong'zhou 吾从周
'wu'e'yu'zhi 无恶于志
'wu'fu'neng'yi'yi 吾弗能已矣
'wu'fu'wei'zhi'yi 吾弗为之矣
'wu'gui'jian'yi'ye 无贵贱一也
'wu'sheng'wu'xiu 无声无臭
'wu'shuo'xia'li 吾说夏礼
'wu'wang 武王
'wu'wang'mo'shou'ming 武王末受命
'wu'wang'zuan'da'wang 武王缵大王
'wu'wei'er'cheng 无为而成
'wu'xue'yin'li 吾学殷礼
'wu'xue'zhou'li 吾学周礼
'wu'you'zhe 无忧者
'wu'zhe'tian'xia'zhi'da'dao'ye 五者天下之达道也
'wu'zheng'bu'xin 无徵不信
'wu'zhi'de 武之德
'xi'nu'ai'le'zhi'wei'fa 喜怒哀乐之未发
'xia'bu'you'ren 下不尤人
'xia'xi'shui'tu 下袭水土
'xia'yan'zhe'sui'shan'bu'zun 下焉者虽善不尊
'xian'neng'zhi'wei'ye 鲜能知味也
'xian'shi'zhi 先施之
'xian'xian'ling'de 宪宪令德
'xian'zhang'wen'wu 宪章文武
'xian'zhe'guo'zhi 贤者过之
'xiang'zai'er'shi 相在尔室
'xiao'de'chuan'liu 小德川流
'xiao'ren'er'wu'ji'dan'ye 小人而无忌惮也
'xiao'ren'fan'zhong'yong 小人反中庸
'xiao'ren'xing'xian'yi'jiao'xing 小人行险以徼幸
'xiao'ren'zhi'dao 小人之道
'xiao'ren'zhi'zhong'yong'ye 小人之中庸也
'xiao'zhi'zhi'ye 孝之至也
'xin'hu'peng'you'you'dao 信乎朋友有道
'xing'er'min'mo'bu'shuo 行而民莫不说
'xing'er'shi'wei'tian'xia'fa 行而世为天下法
'xing'gu'yan 行顾言
'xing'hu'fu'gui 行乎富贵
'xing'hu'pin'jian 行乎贫贱
'xing'hu'yi'di 行乎夷狄
'xing'qi'li 行其礼
'xing'qian'ding'ze'bu'jiu 行前定则不疚
'xing'tong'lun 行同伦
'xing'ze'zhu 形则著
'xing'zhi'de'ye 性之德也
'xing'zhi'fu'du 行之弗笃
'xiong'di'ji'xi 兄弟既翕
'xiu'dao'yi'ren 修道以仁
'xiu'dao'zhi'wei'jiao 修道之谓教
'xiu'shen'ye 修身也
'xiu'shen'yi'dao 修身以道
'xiu'shen'ze'dao'li 修身则道立
'xu'jue 序爵
'xu'shi 序事
'xue'zhi'fu'neng 学之弗能
'yan'er'min'mo'bu'xin 言而民莫不信
'yan'er'shi'wei'tian'xia'ze 言而世为天下则
'yan'gu'xing 言顾行
'yan'mao 燕毛
'yan'qi'shang'xia'cha'ye 言其上下察也
'yan'qian'ding'ze'bu'jie 言前定则不跲
'yang'yang'hu'ru'zai'qi'shang 洋洋乎如在其上
'yi'bao'qi'shen 以保其身
'yi'bu'gan'zuo'li'yue'yan 亦不敢作礼乐焉
'yi'cheng'ji'si 以承祭祀
'yi'cuo'tu'zhi'duo 一撮土之多
'yi'er'qiang'yu 抑而强与
'yi'er'shi'jia 宜尔室家
'yi'jin'shang'jiong 衣锦尚絅
'yi'juan'shi'zhi'duo 一卷石之多
'yi'kong'zhi'zhao 亦孔之昭
'yi'min'yi'ren 宜民宜人
'yi'rong'yi'er'you'tian'xia 壹戎衣而有天下
'yi'shao'zhi'duo 一勺之多
'yi'shi'fu 以事父
'yi'shi'jun 以事君
'yi'shi'xiong 以事兄
'yi'wang'ji'wei'fu 以王季为父
'yi'wu'shi'yu'ren 亦勿施于人
'yi'wu'wang'wei'zi 以武王为子
'yi'ye 一也
'yi'yong'zhong'yu 以永终誉
'yi'zhe'yi'ye 义者宜也
'yin'e'er'yang'shan 隐恶而扬善
'yong'de'zhi'xing 庸德之行
'yong'qi'zhong'yu'min 用其中于民
'yong'yan'zhi'jin 庸言之谨
'you'fu'bian 有弗辨
'you'fu'si 有弗思
'you'fu'wen 有弗问
'you'fu'xing 有弗行
'you'fu'xue 有弗学
'you'jiu'suo'yi'cheng'wu'ye 悠久所以成物也
'you'jiu'wu'jiang 悠久无疆
'you'song'cun'yan 有宋存焉
'you'suo'bu'zu 有所不足
'you'ye 悠也
'you'yi'wei'yuan 犹以为远
'you'you'da'zai 优优大哉
'you'yu 有余
'you'yuan'ze'bo'hou 悠远则博厚
'yu'bie'sheng'yan 鱼鳖生焉
'yu'er'hao'zi'yong 愚而好自用
'yu'hu'bu'xian 于乎不显
'yu'huai'ming'de 予怀明德
'yu'mu'bu'yi 于穆不已
'yu'xiao 语小
'yu'yue'yu'yuan 鱼跃于渊
'yu'zhe'bu'ji'ye 愚者不及也
'yuan'fei'li'tian 鸢飞戾天
'yuan'quan'ru'yuan 渊泉如渊
'yuan'yuan'qi'yuan 渊渊其渊
'yuan'zhi'ze'you'wang 远之则有望
'zai'bi'wu'e 在彼无恶
'zai'ci'wu'yi 在此无射
'zai'hua'yue'er'bu'zhong 载华岳而不重
'zai'ji'qi'shen'zhe'ye 灾及其身者也
'zai'shang'wei'bu'ling'xia 在上位不陵下
'zai'xia'wei'bu'huo'hu'shang 在下位不获乎上
'zai'xia'wei'bu'yuan'shang 在下位不援上
'zang'yi'dai'fu 葬以大夫
'zang'yi'shi 葬以士
'zao'duan'hu'fu'fu 造端乎夫妇
'ze'hu'zhong'yong 择乎中庸
'ze'ke'yi'yu'tian'di'can'yi 则可以与天地参矣
