'a'nu'bi'si'shen'dian 阿努比斯神殿
'xian'zai'wo'men'dou'zhi'shi'shi'bing 现在我们都只是士兵
'xiang'ba'li'si'miao 香巴里寺庙
'yi'qiang'yi'ge 一枪一个
'you'er'yuan 幼儿源
'you'ling'xing'tai 幽灵形态
'yuan'shi 源氏
'zao'de'qi'ye'za'de'huai 造得起也砸得坏
'zha'dan'lai'lo 炸弹来咯
'zha'dan'lun'tai 炸弹轮胎
'zhan'di'zhi'hui'guan'mo'li'sen 战地指挥官莫里森
'zhan'mi'sen'fa'er'ke'si 詹米森法尔克斯
'zhan'shang'ni'le 粘上你了
'zhan'shu'fan'gun 战术翻滚
'zhan'shu'mu'jing 战术目镜
'zhan'shu'mu'jing'qi'dong 战术目镜启动
'zhen'cha'mo'shi 侦查模式
'zhen'dang'chong'ji 震荡冲击
'zhen'dang'di'lei 震荡地雷
'zheng'yi'ke'bu'hui'zi'ji'shen'zhang 正义可不会自己伸张
'zheng'zai'su'qing'di'ren 正在肃清敌人
'zhi'xie'wei'ji 智械危机
'zhi'yuan'xing'ying'xiong 支援型英雄
'zhong'xing'mai'chong'bu'qiang 重型脉冲步枪
'zhou'mei'ling 周美玲
'zhua'gou 抓钩
'zi'wo'xiu'fu 自我修复
