'ai'wu'yu 爱恶欲
'yang'bu'jiao 养不教
'yang'ming'sheng 扬名声
'yi'er'shi 一而十
'yi'li'zhi 宜立志
'yi'mian'li 宜勉力
'yi'ruo'shi 亦若是
'yi'tong'mie 一同灭
'yi'tu'yu 一土宇
'yi'xian'zhi 宜先知
'yi'zao'si 宜早思
'ying'ba'sui 莹八岁
'ying'hu'zhong 应乎中
'ying'jing'ming 膺景命
'ying'qin'shi 嬴秦氏
'yong'bu'yi 庸不易
'yong'le'si 永乐嗣
'you'bu'xue 幼不学
'you'dian'mo 有典谟
'you'er'xue 幼而学
'you'gong'yang 有公羊
'you'gou'liang 有彀梁
'you'gui'cang 有归藏
'you'hui'chi 犹悔迟
'you'ku'zhuo 犹苦卓
'you'lian'shan 有连山
'you'shi'ming 有誓命
'you'song'shi 有宋世
'you'wei'zhe 有为者
'you'xun'gao 有训诰
'you'xun'yang 有荀杨
'you'yi'fang 有义方
'you'yu'peng 友与朋
'you'zhou'yi 有周易
'you'zuo'shi 有左氏
'yu'bao'bian 寓褒贬
'yu'bu'zhuo 玉不琢
'yu'si'zhu 与丝竹
'yu'wen'zhou 宇文周
'yu'yu'hou 裕于后
'yue'ai'ju 曰哀惧
'yue'chun'xia 曰春夏
'yue'guo'feng 曰国风
'yue'nan'bei 曰南北
'yue'qiu'dong 曰秋冬
'yue'ren'yi 曰仁义
'yue'shui'huo 曰水火
'yue'xi'dong 曰西东
'yue'xi'nu 曰喜怒
'yue'ya'song 曰雅颂
'yun'bu'qiong 运不穷
'ze'lin'chu 择邻处
'zhang'you'xu 长幼序
'zhao'zhong'ling 赵中令
'zheng'han'ding 争汉鼎
'zhi'huang'di 至黄帝
'zhi'mou'shu 知某数
'zhi'ping'zhi 至平治
'zhi'si'shu 至四书
'zhi'xiao'ping 至孝平
'zhi'xuan'tong 至宣统
'zhi'yuan'ceng 至元曾
'zhi'yuan'xing 至元兴
'zhi'zhong'shi 知终始
'zhi'zhou'wang 至纣亡
'zhong'bu'pian 中不偏
'zhong'cheng'yi 众称异
'zhong'yu'xian 终于献
'zhong'zhan'guo 终战国
'zhou'wen'wang 周文王
'zhou'wu'wang 周武王
'zhou'zhe'dong 周辙东
'zhu'li'ji 注礼记
'zhu'liu'guan 著六官
'zhuang'er'xing 壮而行
'zhui'ci'gu 锥刺股
'zi'bu'xue 子不学
'zi'er'sun 子而孙
'zi'qin'ku 自勤苦
'zi'si'bi 子思笔
'zi'xi'nong 自羲农
'zi'xiu'qi 自修齐
'zi'zi'sun 自子孙
'zui'chang'jiu 最长久
'zuo'da'xue 作大学
'zuo'zheng'zi 作正字
'zuo'zhong'yong 作中庸
'zuo'zhou'li 作周礼
