'a'ji'mi'de'wo'gan 阿基米德蜗杆
'duo'lun 惰轮
'duo'xiang'shi'yun'dong'gui'lv 多项式运动规律
'duo'xie'dai 多楔带
'duo'zhi'liang'zhuan'zi 多质量转子
'e'ding'shou'ming 额定寿命
'er'hao'tu'zhi 二号图纸
'fa'mian 法面
'fa'mian'can'shu 法面参数
'fa'mian'chi'ju 法面齿距
'fa'mian'mo'shu 法面模数
'fa'mian'ya'li'jiao 法面压力角
'fa'sheng'mian 发生面
'fa'sheng'xian 发生线
'fa'xiang'chi'ju 法向齿距
'fa'xiang'chi'kuo 法向齿廓
'fa'xiang'zhi'kuo'wo'gan 法向直廓蜗杆
'fan'cheng'fa 范成法
'fan'kui'shi'zu'he 反馈式组合
'fan'xiang'yun'dong'xue 反向运动学
'fan'zhuan'fa 反转法
'fang'da'bi'li 放大比例
'fang'xiang'fa 方箱法
'fang'xiang'fu'hao 方向符号
'fang'xing'fa 仿形法
'fang'zhen'zhuang'zhi 防振装置
'fei'biao'zhun'chi'lun 非标准齿轮
'fei'jie'chu'shi'mi'feng 非接触式密封
'fei'lun'ju 飞轮矩
'fei'yuan'chi'lun 非圆齿轮
'fei'zhou'qi'xing'su'du'bo'dong 非周期性速度波动
'fei'zhu'yao'chi'cun 非主要尺寸
'fen'du'yuan 分度圆
'fen'du'yuan'xian 分度圆线
'fen'du'yuan'zhi'jing 分度圆直径
'fen'du'yuan'zhu'dao'cheng'jiao 分度圆柱导程角
'fen'du'yuan'zhu'luo'xuan'jiao 分度圆柱螺旋角
'fen'du'yuan'zhui 分度圆锥
'fen'mo'he'jin 粉末合金
'fen'xi'li'xue 分析力学
'feng'bi'cha'dong'lun'xi 封闭差动轮系
'feng'han'feng 缝焊缝
'fu'he'jiao'lian 复合铰链
'fu'he'lun'xi 复合轮系
'fu'he'ping'dai 复合平带
'fu'he'shi'zu'he 复合式组合
'fu'mian'chi'cun 幅面尺寸
'fu'mian'dai'hao 幅面代号
'fu'qiang'fu'qiang'kuang 附墙附墙框
'fu'shi 腐蚀
'fu'shi'luo'xuan'ji'gou 复式螺旋机构
'fu'xie'jing 副斜井
'fu'za'ji'gou 复杂机构
'gan'zu 杆组
'gang'du 刚度
'gang'du'zhun'ze 刚度准则
'gang'lun 刚轮
'gang'si'ruan'zhou 钢丝软轴
'gang'ti'dao'yin'ji'gou 刚体导引机构
'gang'xing'chong'ji 刚性冲击
'gang'xing'lian'zhou'qi 刚性联轴器
'gang'xing'zhou'cheng 刚性轴承
'gang'xing'zhuan'zi 刚性转子
'gao'du'xi'lie 高度系列
'gao'fu 高副
'gao'su'dai 高速带
'ge'la'xiao'fu'ding'li 格拉晓夫定理
'gen'bu'ban'jing 根部半径
'gen'qie 根切
'gen'zhui'jiao 根锥角
'gong'bu 工步
'gong'cha 公差
'gong'cha'dai 公差带
'gong'chai'deng'ji 公差等级
'gong'cheng'ji'shu'ren'yuan 工程技术人员
'gong'cheng'ying'li 公称应力
'gong'cheng'zhi'jing 公称直径
'gong'e'chi'kuo 共轭齿廓
'gong'e'tu'lun 共轭凸轮
'gong'fa'xian 公法线
'gong'gong'yue'shu 公共约束
'gong'jian 工件
'gong'jian'hou'du 工件厚度
'gong'kuang'xi'shu 工况系数
'gong'lv 功率
'gong'neng'fen'xi'she'ji 功能分析设计
'gong'si 攻丝
'gong'ye'zao'xing'she'ji 工业造型设计
'gong'zhi'chi'lun 公制齿轮
'gong'zuo'ji'gou 工作机构
'gong'zuo'xun'huan'tu 工作循环图
'gong'zuo'zai'he 工作载荷
'gong'zuo'zu'li 工作阻力
'gong'zuo'zu'li'ju 工作阻力矩
'gou'jian 构件
'gou'tou'xie'jian 钩头楔键
'gu'ding'gou'jian 固定构件
'gu'feng'ji 鼓风机
'gu'tai'xiang'bian 固态相变
'guan'jie'xing'cao'zuo'qi 关节型操作器
'guan'lun 冠轮
'guan'xing'li'bu'fen'ping'heng 惯性力部分平衡
'guan'xing'li'ju 惯性力矩
'guan'xing'li'ping'heng 惯性力平衡
'guan'xing'li'wan'quan'ping'heng 惯性力完全平衡
'guan'xing'zhu'ju 惯性主矩
'guan'xing'zhu'shi 惯性主失
'guang'yi'ji'gou 广义机构
'guang'yi'zuo'biao 广义坐标
'gui'ji'fa'sheng'qi 轨迹发生器
'gui'ji'sheng'cheng 轨迹生成
'gun'chi 滚齿
'gun'dao 滚道
'gun'dong'ti 滚动体
'gun'dong'zhou'cheng 滚动轴承
'gun'dong'zhou'cheng'dai'hao 滚动轴承代号
'gun'zhen 滚针
'gun'zhen'zhou'cheng 滚针轴承
'gun'zi 滚子
'gun'zi'ban'jing 滚子半径
'gun'zi'cong'dong'jian 滚子从动件
'gun'zi'lian 滚子链
'gun'zi'lian'lian'zhou 滚子链联轴
'gun'zi'zhou'cheng 滚子轴承
'guo'du'jie 过渡节
'guo'du'pei'he 过渡配合
'guo'du'xian 过渡线
'guo'ying'pei'he 过盈配合
'han'feng'duan'shu 焊缝段数
'han'feng'you'xiao'hou'du 焊缝有效厚度
'han'jiao'chi'cun 焊角尺寸
'han'jie'tu 焊接图
'han'shu'sheng'cheng 函数生成
'hang'dao'shi'xiu'lv 巷道失修率
'hao'you'liang'xi'shu 耗油量系数
'he'cheng'jin'gei'yun'dong 合成进给运动
'he'cheng'qie'xiao'yun'dong 合成切削运动
'he'cheng'qie'xiao'yun'dong'fang'xiang 合成切削运动方向
'he'cheng'wan'ju 合成弯矩
'he'zi'gong'shi 赫兹公式
'heng'jia 桁架
'hou'jiao 后角
'hu'huan'xing'chi'lun 互换性齿轮
'hua'dong'lv 滑动率
'hua'dong'zhou'cheng 滑动轴承
'hua'jian 花键
'hua'jian 滑键
'hua'kuai 滑块
'huan'mian'fa 换面法
'huan'mian'wo'gan 环面蜗杆
'huan'xiang'fa 换向阀
'huan'xing'tan'huang 环形弹簧
'hui'cheng 回程
'hui'feng'hang'dao 回风巷道
'hui'feng'shang'shan 回风上山
'hui'feng'yu'jiao 回风隅角
'hui'huo 回火
'hui'zhuan'ji'gou 回转机构
'hui'zhuan'ti'ping'heng 回转体平衡
'hui'zhuan'zhi'cheng 回转支承
'hun'he'lun'xi 混合轮系
'ji'ben'chi'cun 基本尺寸
'ji'ben'e'ding'shou'ming 基本额定寿命
'ji'ben'pian'cha 基本偏差
'ji'chu'ji'gou 基础机构
'ji'chu'jie 基础节
'ji'chuang'jia'ju 机床夹具
'ji'dian'ke 机电科
'ji'dian'yi'ti'hua 机电一体化
'ji'dian'yi'ti'hua'xi'tong'she'ji 机电一体化系统设计
'ji'gou 机构
'ji'gou'fen'xi 机构分析
'ji'gou'ping'heng 机构平衡
'ji'gou'xue 机构学
'ji'gou'yun'dong'jian'tu 机构运动简图
'ji'gou'yun'dong'she'ji 机构运动设计
'ji'gou'zong'he 机构综合
'ji'gou'zu'cheng 机构组成
'ji'hui'ji'gou 急回机构
'ji'hui'te'xing 急回特性
'ji'hui'xi'shu 急回系数
'ji'hui'yun'dong 急回运动
'ji'jia 机架
'ji'jia'bian'huan 机架变换
'ji'lun 棘轮
'ji'lun'ji'gou 棘轮机构
'ji'qi 机器
'ji'qi'ren'cao'zuo'qi 机器人操作器
'ji'shu'guo'cheng 技术过程
'ji'shu'jing'ji'ping'jia 技术经济评价
'ji'shu'xi'tong 技术系统
'ji'suan'wan'ju 计算弯矩
'ji'wei'jia'jiao 极位夹角
'ji'xian 极限
'ji'xian'chi'cun 极限尺寸
'ji'xian'pian'cha 极限偏差
'ji'xie 机械
'ji'xie'chuang'xin'she'ji 机械创新设计
'ji'xie'de'xian'dai'she'ji 机械的现代设计
'ji'xie'dong'li'fen'xi 机械动力分析
'ji'xie'dong'li'she'ji 机械动力设计
'ji'xie'dong'li'xue 机械动力学
'ji'xie'jia'gong'jing'du 机械加工精度
'ji'xie'jia'gong'yu'liang 机械加工余量
'ji'xie'ling'jian 机械零件
'ji'xie'neng'shou'heng 机械能守恒
'ji'xie'tiao'su 机械调速
'ji'xie'wu'ji'bian'su 机械无级变速
'ji'xie'xi'tong 机械系统
'ji'xie'xi'tong'she'ji 机械系统设计
'ji'xie'yun'zhuan'bu'jun'yun'xi'shu 机械运转不均匀系数
'ji'xie'zhi'tu 机械制图
'ji'yu'shi'li'she'ji 基于实例设计
'ji'yuan 基圆
'ji'yuan'chi'ju 基圆齿距
'ji'yuan'ya 基圆压
'ji'yuan'zhu 基圆柱
'ji'yuan'zhui 基圆锥
'ji'zhua 棘爪
'jia'su'du'fen'xi 加速度分析
'jia'su'du'qu'xian 加速度曲线
'jian'cao 键槽
'jian'di'cong'dong'jian 尖底从动件
'jian'du'dan'wei 监督单位
'jian'kai'xian 渐开线
'jian'kai'xian'chi'kuo 渐开线齿廓
'jian'kai'xian'chi'lun 渐开线齿轮
'jian'kai'xian'fa'sheng'xian 渐开线发生线
'jian'kai'xian'fang'cheng 渐开线方程
'jian'kai'xian'hua'jian 渐开线花键
'jian'kai'xian'wo'gan 渐开线蜗杆
'jian'kai'xian'ya'li'jiao 渐开线压力角
'jian'mo'xing 减摩性
'jian'su'bi 减速比
'jian'su'qi 减速器
'jian'xi 间隙
'jian'xi'pei'he 间隙配合
'jian'xie'yun'dong'ji'gou 间歇运动机构
'jian'ya'fa 减压阀
'jiao'cha'dai'chuan'dong 交叉带传动
'jiao'cuo'zhou'xie'chi'lun 交错轴斜齿轮
'jiao'dao 绞刀
'jiao'jie'chu'tui'li'zhou'cheng 角接触推力轴承
'jiao'jie'chu'xiang'xin'zhou'cheng 角接触向心轴承
'jiao'jie'chu'zhou'cheng 角接触轴承
'jiao'kong 绞孔
'jiao'zheng'ping'mian 校正平面
'jie'chu'yin'hen 接触印痕
'jie'dian 节点
'jie'he'ji 结合剂
'jie'jiao'xian 截交线
'jie'ju 节距
'jie'liu'fa 节流阀
'jie'mian 截面
'jie'ti'zhou 阶梯轴
'jie'xi'she'ji 解析设计
'jie'xian 节线
'jie'yuan 节圆
'jie'yuan'chi'hou 节圆齿厚
'jie'yuan'zhi'jing 节圆直径
'jie'yuan'zhui 节圆锥
'jie'yuan'zhui'jiao 节圆锥角
'jie'zhui'ding'dian'ju 节锥顶点距
'jie'zhui'jiao 节锥角
'jin'bian 紧边
'jin'gei'fang'xiang 进给方向
'jin'gei'yun'dong 进给运动
'jin'gu'jian 紧固件
'jin'shu'gong'yi'xue 金属工艺学
'jin'shu'qie'xiao 金属切削
'jing'che'tu 精车图
'jing'che'wai'yuan 精车外圆
'jing'jia'gong 精加工
'jing'jia'ti'sheng'ji 井架提升机
'jing'jie 径节
'jing'li'xue 静力学
'jing'mi'feng 静密封
'jing'tang'nei'kong 精镗内孔
'jing'xiang'dang'liang'jing'zai'he 径向当量静载荷
'jing'xiang'ji'ben'e'ding'jing'zai'he 径向基本额定静载荷
'jing'xiang'jian'xi 径向间隙
'jing'xiang'jie'chu'zhou'cheng 径向接触轴承
'jing'xiang'ping'mian 径向平面
'jing'xiang'you'xi 径向游隙
'jing'xiang'zai'he 径向载荷
'jing'xiang'zai'he'xi'shu 径向载荷系数
'jing'zai'he 静载荷
'ju'bu'shi'tu 局部视图
'ju'bu'zi'you'du 局部自由度
'ju'chi'xing'luo'wen 锯齿形螺纹
'ju'xing'luo'wen 矩形螺纹
'ju'xing'ya'qian'shi'li'he'qi 矩形牙嵌式离合器
'jue'dui'chi'cun'xi'shu 绝对尺寸系数
'jue'jin'er'dui 掘进二队
'jue'jin'yi'dui 掘进一队
'jun'heng'zhuang'zhi 均衡装置
'ka'pan 卡盘
'kai'cao'chen'tou'luo'ding 开槽沉头螺钉
'kai'cao'yuan'zhu'tou'luo'ding 开槽圆柱头螺钉
'kai'cao'zhui'duan'jin'ding'luo'ding 开槽锥端紧定螺钉
'kai'kou'chuan'dong 开口传动
'kai'kou'xiao 开口销
'kai'lian'ji'gou 开链机构
'kai'shi'lian 开式链
'ke'bian'cheng'xu'luo'ji'kong'zhi'qi 可编程序逻辑控制器
'ke'jian'leng'bian'xian 可见棱边线
'ke'jian'lun'kuo'xian 可见轮廓线
'ke'kao'xing 可靠性
'ke'kao'xing'she'ji 可靠性设计
'kong'jia'gong 孔加工
'kong'jian'ji'gou 空间机构
'kong'jian'lian'gan'ji'gou 空间连杆机构
'kong'jian'tu'lun'ji'gou 空间凸轮机构
'kong'jian'yun'dong'fu 空间运动副
'kong'jian'yun'dong'lian 空间运动链
'kong'qi'tan'huang 空气弹簧
'kong'xi'fen'bu'zhong'xin'xian 孔系分布中心线
'kua'bang'ju 跨棒距
'kuan'du'xi'lie 宽度系列
'kuang'jing'bi'zai'lu'xian'tu 矿井避灾路线图
'kuang'jing'tong'feng'xi'tong'tu 矿井通风系统图
'kuang'jing'wa'si 矿井瓦斯
'la'chuang 拉床
'la'kong 拉孔
'la'shen 拉伸
'leng'jia'gong 冷加工
'leng'zuo'ying'hua 冷作硬化
'li'duo'bian'xing 力多边形
'li'feng'bi'xing'tu'lun'ji'gou 力封闭型凸轮机构
'li'he'qi 离合器
'li'jiao 力角
'li'ju 力矩
'li'ju'jie'chu'qi 力矩接触器
'li'lun'kuo'xian 理论廓线
'li'lun'nie'he'xian 理论啮合线
'li'lun'wai'jing 理论外径
'li'lun'zhuang'pei'ju 理论装配据
'li'ou 力偶
'li'ou'ju 力偶矩
'li'ping'heng 力平衡
'li'xin'li 离心力
'li'xin'mi'feng 离心密封
'lian'chuan'dong'zhuang'zhi 链传动装置
'lian'gan 连杆
'lian'gan'ji'gou 连杆机构
'lian'gan'qu'xian 连杆曲线
'lian'jie 联结
'lian'jie'xian'duan 连接线段
'lian'lun 链轮
'lian'xin'xian 连心线
'lian'zhou'qi 联轴器
'liang'wei'tu'lun 两维凸轮
'lin'jie'zhuan'su 临界转速
'ling'hao'tu'zhi 零号图纸
'ling'jian'tu 零件图
'ling'xian 零线
'liu'gan'ji'gou 六杆机构
'liu'jiao'tou'luo'shuan 六角头螺栓
'liu'ti'dong'li'xue 流体动力学
'liu'ti'li'xue 流体力学
'long'men'bao'xue 龙门刨削
'lu'chang'ling 逯长岭
'luo'ding 螺钉
'luo'gan 螺杆
'luo'ju 螺距
'luo'mu 螺母
'luo'shuan 螺栓
'luo'wen 螺纹
'luo'wen'dao'cheng 螺纹导程
'luo'wen'jia'gong 螺纹加工
'luo'wen'xiao'lv 螺纹效率
'luo'wen'ya'di'xian 螺纹牙底线
'luo'wen'ya'ding'xian 螺纹牙顶线
'luo'xuan'chuan'dong 螺旋传动
'luo'xuan'fu 螺旋副
'luo'xuan'ji'gou 螺旋机构
'luo'xuan'jiao 螺旋角
'luo'xuan'mi'feng 螺旋密封
'luo'xuan'xian 螺旋线
'luo'xuan'zhui'chi'lun 螺旋锥齿轮
'ma'er'ta'ji'gou 马耳他机构
'ma'er'ta'shi'zi 马耳他十字
'mai'dong'wu'ji'bian'su 脉动无级变速
'mai'dong'xun'huan'ying'li 脉动循环应力
'mai'dong'zai'he 脉动载荷
'mao'ding 铆钉
'mao'pi'tu 毛坯图
'mi'feng 密封
'mi'feng'dai 密封带
'mi'feng'yuan'jian 密封元件
'mi'gong'mi'feng 迷宫密封
'mian'dui'mian'an'zhuang 面对面安装
'mian'lun'kuo'du 面轮廓度
'mian'zhui'ding'dian'ju 面锥顶点距
'mian'zhui'ju 面锥距
'ming'xi'lan 明细栏
'ming'yi'ying'li 名义应力
'mo'ca 摩擦
'mo'ca'jiao 摩擦角
'mo'ca'li 摩擦力
'mo'ca'li'ju 摩擦力矩
'mo'ca'xi'shu 摩擦系数
'mo'ca'xue'she'ji 摩擦学设计
'mo'ca'yuan 摩擦圆
'mo'chuang 磨床
'mo'duan'zhi'xing'qi 末端执行器
'mo'fu'xiang 模幅箱
'mo'hu'ping'jia 模糊评价
'mo'kuai'shi'chuan'dong'xi'tong 模块式传动系统
'mo'li 磨粒
'mo'shu 模数
'mo'sun 磨损
'nai'mo'xing 耐磨性
'nai'yong'du 耐用度
'nao'xing'ji'gou 挠性机构
'nao'xing'zhuan'zi 挠性转子
'nei'chi'lun 内齿轮
'nei'chi'quan 内齿圈
'nei'li 内力
'nei'luo'wen 内螺纹
'nei'yuan'mo'xue 内圆磨削
'neng'liang'zhi'shi'tu 能量指示图
'nie'chu 啮出
'nie'he 啮合
'nie'he'dian 啮合点
'nie'he'jiao 啮合角
'nie'he'xian 啮合线
'nie'he'xian'chang'du 啮合线长度
'nie'ru 啮入
'niu'huang 扭簧
'niu'ju 扭矩
'niu'li 扭力
'pan'xing'tu'lun 盘形凸轮
'pan'xing'zhuan'zi 盘形转子
'pao'wu'xian'yun'dong 抛物线运动
'pi'lao'dian'shi 疲劳点蚀
'pi'lao'ji'xian 疲劳极限
'pi'lao'qiang'du 疲劳强度
'pian'ju'yuan 偏距圆
'pian'xin'ju 偏心距
'pian'xin'lv 偏心率
'pian'xin'zhi'liang 偏心质量
'pian'zhi'gun'zi'cong'dong'jian 偏置滚子从动件
'pian'zhi'jian'di'cong'dong'jian 偏置尖底从动件
'pian'zhi'ju 偏置距
'pian'zhi'qu'bing'hua'kuai'ji'gou 偏置曲柄滑块机构
'pian'zhi'shi 偏置式
'ping'dai 平带
'ping'dai'chuan'dong 平带传动
'ping'dao 平刀
'ping'di'cong'dong'jian 平底从动件
'ping'di'dao 平底刀
'ping'di'kuan'du 平底宽度
'ping'heng 平衡
'ping'heng'pin'zhi 平衡品质
'ping'heng'ping'mian 平衡平面
'ping'heng'zhi'liang 平衡质量
'ping'heng'zhuan'su 平衡转速
'ping'jia'yu'jue'ce 评价与决策
'ping'jun'ya'li'jiao 平均压力角
'ping'jun'ying'li 平均应力
'ping'jun'zhong'jing 平均中径
'ping'mian 平面
'ping'mian'fu 平面副
'ping'mian'ji'gou 平面机构
'ping'mian'lian'gan'ji'gou 平面连杆机构
'ping'mian'mo'xue 平面磨削
'ping'mian'tu'lun'ji'gou 平面凸轮机构
'ping'mian'yun'dong'fu 平面运动副
'ping'mian'zhou'xie'chi'lun 平面轴斜齿轮
'ping'xing'liang'zhi'xian 平行两直线
'ping'xing'tou'ying'fa 平行投影法
'po'kou'mian'jiao'du 坡口面角度
'po'kou'shen'du 坡口深度
'pou'qie'xian 剖切线
'pou'shi'tu 剖视图
'pu'tong'ping'jian 普通平键
'qi'dong'ji'gou 气动机构
'qi'dong'jia'jin 气动夹紧
'qi'dong'jie'duan 起动阶段
'qi'dong'li'ju 启动力矩
'qi'mo'xie'du 起模斜度
'qi'sheng'ji'gou 起升机构
'qi'shi'nie'he'dian 起始啮合点
'qi'shi'yuan'zhi'jing 起始圆直径
'qi'ta'chang'yong'ji'gou 其他常用机构
'qi'ti'zhou'cheng 气体轴承
'qi'yi'wei'zhi 奇异位置
'qi'zhong'liang 起重量
'qian'chui'mian 铅垂面
'qian'dao'mian 前刀面
'qian'fen'chi 千分尺
'qian'gong 钳工
'qian'jiao 前角
