'a'duo'nuo 阿多诺
'ka'zi 卡兹
'ke'ban'cheng'jian 刻板成见
'ke'xin'xing'ti'shi 可信性提示
'kong'jian'hua 空间化
'kong'zhi'lun 控制论
'kou'chuan'xi'tong 口传系统
'ku'li 库利
'kua'wen'hua'chuan'bo 跨文化传播
'kuang'jia'li'lun 框架理论
'kuo'san'yan'jiu 扩散研究
'la'si'wei'er 拉斯韦尔
'leng'mei'jie'he're'mei'jie 冷媒介和热媒介
'li'pu'man 李普曼
'liang'ji'chuan'bo'mo'shi 两级传播模式
'lu'yin 卢因
'luo'jie'si 罗杰斯
'ma'er'ku'sai 马尔库塞
'mai'ke'lu'han 麦克卢汉
'mai'kui'er 麦奎尔
'mei'jie 媒介
'mei'jie'ji'xun'xi 媒介即讯息
'mei'jie'ji'zhong'hua 媒介集中化
'mei'jie'jing'zheng 媒介竞争
'mei'jie'shi'jian 媒介事件
'mei'jie'shi'ren'ti'de'yan'shen 媒介是人体的延伸
'mei'jie'yi'cun'zheng 媒介依存症
'mei'jie'zi'ben 媒介资本
'mi'de 米德
'min'zu'zhi 民族志
'mo'dan'lun 魔弹论
'mo'dun 默顿
'mo'shi 模式
'nei'bao 内爆
'nei'rong'fen'xi'fa 内容分析法
'nei'xiang'chuan'bo 内向传播
'neng'zhi 能指
'ni'tai'huan'jing 拟态环境
'ning'ju'gong'shi 凝聚共识
'nv'quan'zhu'yi 女权主义
'nv'xing'zhu'yi 女性主义
'pa'ke 帕克
'pi'pan'li'lun 批判理论
'pi'pan'xue'pai 批判学派
'pian'yi 偏倚
'qiang'da'xiao'guo'mo'shi 强大效果模式
'qiang'yu'jing 强语境
'quan'fu 劝服
'quan'li'hua'yu 权力话语
'quan'qiu'hua 全球化
'qun'ti'chuan'bo 群体传播
'qun'ti'dong'li'lun 群体动力论
'ren'ji'chuan'bo 人际传播
'ren'min'de'xuan'ze 人民的选择
'rong'yu'xin'xi 冗余信息
'ruo'yu'jing 弱语境
'shang'pin'hua 商品化
'she'hui'shou'wang 社会守望
'she'hui'ze'ren'li'lun 社会责任理论
'shi'chang'qu'dong'xin'wen'xue 市场驱动新闻学
'shi'di'diao'cha'fa 实地调查法
'shi'di'guan'cha'fa 实地观察法
'shi'du'xiao'guo'mo'shi 适度效果模式
'shi'jian'kua'du 时间跨度
'shi'jue'wen'ben 视觉文本
'shi'la'mu 施拉姆
'shi'yan'fen'xi'fa 实验分析法
'shi'yong'yu'man'zu'li'lun 使用与满足理论
'shi'yong'yu'man'zu'mo'shi 使用与满足模式
'shi'zhi'xing 时滞性
'shou'chuan'zhe 受传者
'shou'men'ren 守门人
'shou'zhong 受众
'shou'zhong'fen'ge 受众分割
'shou'zhong'ni'fan'xin'li 受众逆反心理
'shou'zhong'shang'pin'lun 受众商品论
'shou'zhong'xing'qu 受众兴趣
'shou'zhong'xing'wei 受众行为
'shu'zi'hong'gou 数字鸿沟
'shu'zi'hua 数字化
'shuang'xiang'chuan'bo 双向传播
'suo'zhi 所指
'wei'na 维纳
'wen'ben 文本
'wen'hua'di'guo'zhu'yi 文化帝国主义
'wen'hua'gong'ye 文化工业
'wen'hua'pi'pan 文化批判
'wen'hua'qi'dai 文化期待
'wen'hua'yan'jiu 文化研究
'xi'ai'ti'shi 喜爱提示
'xian'dai'hua 现代化
'xiang'nong 香农
'xiao'du'yu'xin'du 效度与信度
'xiao'qun'ti'chuan'bo 小群体传播
'xin'hao 信号
'xin'mei'jie 新媒介
'xin'wen'cai'ji'zhe 新闻采集者
'xin'wen'dong 新闻洞
'xin'wen'jia'gong'zhe 新闻加工者
'xin'wen'jia'zhi 新闻价值
'xin'xi 信息
'xin'xi'shang 信息熵
'xin'yuan 信源
'xu'gou 虚构
'xu'ni'she'qun 虚拟社群
'xu'shi'fan'shi 叙事范式
'xuan'ze'xing'ji'yi 选择性记忆
'xuan'ze'xing'jie'chu 选择性接触
'xuan'ze'xing'li'jie 选择性理解
'xuan'ze'xing'zhu'yi 选择性注意
'xun'xi 讯息
'ye'lu'xue'pai 耶鲁学派
'yi'cheng'hu'she 议程互设
'yi'cheng'she'zhi 议程设置
'yi'jian'ling'xiu 意见领袖
'yi'shi'xing'tai 意识形态
'yi'zhi 意指
'ying'ni'si 英尼斯
'you'xian'xiao'guo'lun 有限效果论
'you'xian'xiao'guo'mo'shi 有线效果模式
'you'xiao'chuan'bo 有效传播
'yun'lun'xiao'ying 晕轮效应
'zhen'shi 真实
'zhi'gou 知沟
'zhi'shi'gou 知识沟
'zhu'dong'chuan'bo'zhe 主动传播者
'zhu'yi'li'jing'ji 注意力经济
'zi'dan'lun 子弹论
'zi'wo'chuan'bo 自我传播
'zu'zhi'chuan'bo 组织传播
