'a'li'man'jian'cha'shi 阿里曼监察使
'du'xing 毒性
'du'yao 毒药
'duan'bi'qiu'fa'pin 断臂求法品
'duan'chang'cao 断肠草
'duan'ge'xing 短歌行
'duan'gu'jue 锻骨诀
'duan'hun'ci 断魂刺
'dui'duan 兑端
'dui'jiu'xing 对酒行
'duo'ming'yan'wang'xiao'yao'er 夺命阎王肖药儿
'e'ren'gu 恶人谷
'fa'bai'ma 发白马
'fan'seng'yu'shu'pin 蕃僧与鼠品
'fan'ti'shi 梵体诗
'fan'yin'ji'jie 繁音急节
'fan'zhi'xian'hua'pin 梵志献花品
'fang'ji'chang 方季常
'fang'qi'ling 方棋绫
'fang'shen'wu'yi 防身武艺
'fang'su 房宿
'fei'long'yin'er'shou 飞龙引二首
'feng'dong'xin 风动心
'feng'du 冯度
'feng'fu 风府
'feng'han 风寒
'feng'hua'gu 枫华谷
'feng'ren 缝纫
'feng'xiu'di'ang 风袖低昂
'feng'yu'dao'xiang'cun 风雨稻香村
'feng'zhen 锋针
'fo'fa'chuan'zong'ji 佛法传宗记
'fo'fa'chuan'zong'ji'yao'yi 佛法传宗记要义
'fo'fa'da'yi'pin 佛法大意品
'fo'shuo'ba'da'ren'jue'jing 佛说八大人觉经
'fo'shuo'lao'nv'ren'jing 佛说老女人经
'fo'xiang'zhi'shi'pin 佛像之始品
'fo'xin'jue 佛心诀
'fo'xing'nan'bei'pin 佛性南北品
'fo'xing'wu'cha'pin 佛性无差品
'fo'yue'fang'xia'pin 佛曰放下品
'fo'zhu'sheng'gu'pin 佛珠生菇品
'fu'bai 浮白
'fu'hua'lang'rui 浮花浪蕊
'fu'ren'si'qi'pin 富人四妻品
'fu'ren'yu'bie'pin 富人与鳖品
'fu'rong'bing'di 芙蓉并蒂
'fu'zhuan'gou'shen 父转狗身
'gai'bang 丐帮
'gang'jia'pian 钢甲片
'gao'jiang'ting 高绛婷
'gao'qiu 羔裘
'gao'yang 羔羊
'gen'gu 根骨
'gou'zi'fo'xing'pin 狗子佛性品
'gu'ben 固本
'gu'feng 谷风
'gu'lang'yue'xing 古朗月行
'gu'shi'shi'jiu'shou 古诗十九首
'gu'zhang'zhi'sheng 孤掌之声
'guan'ju 关雎
'guan'men 关门
'guan'shan'yue 关山月
'guan'yin'zi'bai 观音自拜
'guan'yin'zi'bai'pin 观音自拜品
'guan'yuan 关元
'guan'zhong'shang'hui 关中商会
'guang'ming 光明
'guang'ming'e'seng'chen'he'shang 光明恶僧陈和尚
'gui'gu'zi'ben'jing'yin'fu'qi'shu 鬼谷子本经阴符七术
'gui'niao 归鸟
'gui'song'shan'zuo 归嵩山作
'gui'su 鬼宿
'gui'xian'shu'pin 龟衔树品
'gui'ying'xiao'ci'lang 鬼影小次郎
'gui'yuan'tian'ju 归园田居
'gui'zhen 归真
'gun'zhang 棍章
'guo'shuo 果说
'han'bing'jue'shu'yi 寒冰诀疏义
'han'ru'lei 撼如雷
'han'shan'ding'shang'yue'lun'gu 寒山顶上月轮孤
'hao'qi 浩气
'hao'qi'meng 浩气盟
'hao'yue'dan'fa 皓月丹法
'hao'zhen 毫针
'he'ding'hong 鹤顶红
'he'dong'ji'shan'nan'dong'dao 河东及山南东道
'he'shan'shou'xun'kai'wu'shi 何山守旬开悟诗
'hei'bai'shu 黑白鼠
'heng'gu 横骨
'heng'he'jie'sha 恒河劫沙
'heng'sao'lu'he 横扫六合
'heng'sao'qian'jun 横扫千军
'hong'qi'chang'kong 虹气长空
'hong'yan 鸿雁
'hong'yi'jiao 红衣教
'hou'ding 后顶
'hou'zi'xian'jing 猴子陷阱
'hu'xiao 虎啸
'hu'ya'ling 虎牙令
'hua'dian 画典
'hua'gai 华盖
'hua'he'yan 华鹤炎
'hua'jian'you 花间游
'hua'yu'su'xin 花语酥心
'hua'yuan 化缘
'hua'yue'ling'feng'zhen 花月凌风阵
'huai'xian 怀仙
'huang'di'song'yue'shao'lin'si'bei 皇帝嵩岳少林寺碑
'huang'di'yi'zhu 黄帝遗珠
'huang'di'yin'fu'jing 黄帝阴符经
'huang'fu'shao'hua 皇甫少华
'huang'jin'pin 黄金品
'hui'chun'miao'shou 回春妙手
'hui'feng'sao'ye 回风扫叶
'hui'tou'shi'an'pin 回头是岸品
'hui'xue'piao'yao 回雪飘摇
'hui'yin 会阴
'hun'dun'kai'qiao 浑沌开窍
'hun'yuan 混元
'hun'yuan'qi 混元气
'huo'shao'mao'an'pin 火烧茅庵品
'ji'gu 击鼓
'ji'ru'feng 疾如风
'ji'su 箕宿
'ji'zhong 脊中
'jia'lan'mi'lu 迦兰秘录
'jia'pian 甲片
'jia'sha'fu'mo'gong 袈裟伏魔功
'jian'bu 剑部
'jian'li 建里
'jian'ling'huan'yu 剑灵寰宇
'jian'nan'dao'ji'tu'fan 剑南道及吐蕃
'jian'qi'chang'jiang 剑气长江
'jian'qi'hun'tuo 剑器浑脱
'jian'shen'wu'wo 剑神无我
'jian'wang'san 剑网三
'jian'xia'qing'yuan 剑侠情缘
'jian'xia'qing'yuan'wang'luo'ban'san 剑侠情缘网络版三
'jian'xia'ren'wu'tu'jian 剑侠人物图鉴
'jian'xia'shan'he'tu'jian 剑侠山河图鉴
'jian'xin'tong'ming 剑心通明
'jian'xing'ji 见性偈
'jian'xue'feng'hou 见血封喉
'jian'ying'liu'hen 剑影留痕
'jian'zhang 剑章
'jian'zhu'tian'di 剑主天地
'jian'zhuan'liu'yun 剑转流云
'jiang'chun'zhu'xiu 绛唇珠袖
'jiang'hai'ning'guang 江海凝光
'jiang'hu'lu 江湖录
'jiang'hu'ming'men'lu 江湖名门录
'jiang'nan'dong'xi'er'dao 江南东西二道
'jiang'nan'nong 江南弄
'jiang'yu'zong'shuo 疆域总说
'jiao'su 角宿
'jin'gang'fu'mo'zhen 金刚伏魔阵
'jin'gang'jing 金刚经
'jin'gang'jue 金刚诀
'jin'gang'nu'mu 金刚怒目
'jin'gang'zheng'dao'lun 金刚证道论
'jin'jia'pian 金甲片
'jin'shu'pin 金鼠品
'jin'shui'zhen 金水镇
'jin'suo 筋缩
'jin'xu'zi'chuan 金虚子传
'jing'di'zhi'wa 井底之蛙
'jing'ji'ji'guan'nei'dao 京畿及关内道
'jing'nv 静女
'jing'su 井宿
'jing'zhou'ge 荆州歌
'jing'zhuan 经传
'jing'zuo 静坐
'jiu'bie'li 久别离
'jiu'mu 樛木
'jiu'wei 鸠尾
'jiu'xiang'di'xuan'zhen 九襄地玄阵
'jiu'yin'jing'xian'zhen 九音惊弦阵
'ju'que 巨阙
'ju'shou'mao'pi 巨兽毛皮
'ju'zhen 局针
'juan'ba 卷八
'juan'er 卷耳
'juan'er 卷二
'juan'jiu 卷九
'juan'liu 卷六
'juan'qi 卷七
'juan'san 卷三
'juan'shi 卷十
'juan'si 卷四
'juan'wu 卷五
'juan'yi 卷一
'jue'yin'zhi 厥阴指
'jun'dao'qu 君道曲
'jun'ma'huang 君马黄
'jun'zi'yang'yang 君子阳阳
'jun'zi'yu'yi 君子于役
'kai'feng 凯风
'kai'qiao 开窍
'kang'su 亢宿
'ke'ren 可人
'kong'cheng'que 空城雀
'kong'wu 空雾
'kong'wu'feng 空雾峰
'kou'dao 寇岛
'ku'po'po 哭婆婆
'ku'seng 哭僧
'ku'yu'guo'he'qi 枯鱼过河泣
'kui'su 奎宿
'kun'lun 昆仑
'kuo'ran'wu'sheng 廓然无圣
'lan'cui'yu'zhe 兰摧玉折
'lan'duo'chan'shi'pin 懒惰禅师品
'lao'fu'shao'an'pin 老妇烧庵品
'lei'ting'zhen'nu 雷霆震怒
'leng'jia'jing 楞伽经
'leng'tian'feng 冷天锋
'li'cheng'en 李承恩
'li'dai'gao'seng'lu 历代高僧录
'li'dao 力道
'li'di'cheng'fo 立地成佛
'li'fu 李复
'li'jing'yi'dao 离经易道
'li'shi'ying'wu'pin 力士鹦鹉品
'li'wang'sheng 李忘生
'li'wu 礼物
'lian'huan'shuang'dao 连环双刀
'lian'quan 廉泉
'liang'fu'yin 梁甫吟
'liang'yi'sheng'si'xiang 两仪生四象
'liao'wu'gong'de'pin 了无功德品
'lie'cang'qiong 裂苍穹
'lie'zi'zhen'ren'chuan 列子真人传
'lin'bai'xuan 林白轩
'lin'jiang'wang'jie'shi'ge 临江王节士歌
'lin'li'qu 邻里曲
'ling'cao'dan'fa 灵草丹法
'ling'luo 绫罗
'ling'shan'shi'yu 灵山施雨
'ling'tai 灵台
'ling'xiao 灵宵
'ling'xiao'lan'sheng 凌霄揽胜
'ling'xiao'xia 灵霄峡
'ling'xiao'xia 灵宵峡
'ling'xu'zi'chuan 灵虚子传
'ling'yun'xin'fa 凌云心法
'liu'gong'zi 柳公子
'liu'su 柳宿
'liu'yun'dan'fa 流云丹法
'long'chi'le 龙池乐
'long'men 龙门
'long'men'huang'mo 龙门荒漠
'long'men'qing'yuan'kai'wu'shi 龙门清远开悟诗
'long'wen'tu 龙纹图
'long'ya 龙牙
'long'yin 龙吟
'long'you'ji'huai'nan'dao 陇右及淮南道
'long'you'ji'shan'nan'xi'dao 陇右及山南西道
'long'zhua'gong 龙爪功
'lou'su 娄宿
'lu'chai 鹿柴
'lu'he'gun 六合棍
'lu'shan'dong'lin'si'za'shi 庐山东林寺杂诗
'lu'tu'bu'li'pin 路途不力品
'lue'ru'huo 掠如火
'lun'bian'zhuo'lun 轮扁斫轮
'lun'hui'jue 轮回诀
'lun'yu 论语
'luo'dao 洛道
'luo'han'gun'fa 罗汉棍法
'luo'han'jin'shen 罗汉金身
'luo'xing'jing'hong'zhen 落星惊鸿阵
'luo'yang 洛阳
'luo'yang'hei'yi 洛阳黑衣
'luo'yang'long'che 洛阳龙车
'luo'yi 罗翼
'lv'yi 绿衣
'lv'zu'bai'zi'bei'shu'yi 吕祖百字碑疏义
'lv'zu'bai'zi'bei'wen 吕祖百字碑文
'lv'zu'chang'sheng'fang 吕祖长生方
'man'tang'shi 满堂势
'mang'ren'dian'deng'pin 盲人点灯品
'mang'ren'mo'xiang 盲人摸象
'mang'yu 盲俞
'mao'su 昴宿
'mei'hua'qiang'fa 梅花枪法
'meng'hu'xia'shan 猛虎下山
'meng'xiang'shou'yun 梦象受孕
'mi'fang 秘方
'miao'shou'shen'tou'liu'gong'zi 妙手神偷柳公子
'ming'dong'si'fang 名动四方
'ming'jiao 明教
'ming'men 命门
'ming'yan'xing 鸣雁行
'ming'zi 命子
'mo'he'wu'liang 摩诃无量
'mo'zhuan'zuo'jing'pin 磨砖作镜品
'mu'chuang 目窗
'mu'dan'tu 牡丹图
'mu'gua 木瓜
'na'yun'shi 拿云式
'nan'hua'zhen'ren'chuan 南华真人传
'nan'ping'shan 南屏山
'nan'yang'shang'hui 南洋商会
'nao'hu 脑户
'nao'kong 脑空
'nei'li 内力
'ni'shang'yu'yi 霓裳羽衣
'nie'yun'zhu'yue 蹑云逐月
'niu'su 牛宿
'nv'su 女宿
'nv'zi'chu'ding 女子出定
'pan'guan'bi'fa 判官笔法
'pao'ding'jie'niu 庖丁解牛
'pao'ding'shu 庖丁术
'pei'yuan 培元
'peng'ren 烹饪
'pi'rou'gu'sui 皮肉骨髓
'ping'chang'xin 平常心
'ping'san'zhi 平三指
'ping'wang'zhen'quan'pin 平望镇犬品
'po'bei'wu'chan'pin 破杯悟禅品
'po'fang 破防
'po'feng 破风
'po'jian'zhen 破坚阵
'po'jie 破戒
'po'luo'men 婆罗门
'po'luo'men'qi'pin 婆罗门妻品
'po'shui'tong'pin 破水桶品
'po'wan 破碗
'pu'du'si'fang 普渡四方
'qi'ba 其八
'qi'bu'lian'hua 七步莲花
'qi'chong 气冲
'qi'dian 棋典
'qi'er 其二
'qi'hua'dan'fa 奇花丹法
'qi'jin 祁进
'qi'jiu 其九
'qi'jue'xiao'yao'zhen 七绝逍遥阵
'qi'liu 其六
'qi'qi 其七
'qi'san 其三
'qi'shi 其十
'qi'si 其四
'qi'wu 其五
'qi'xing'chuan 七星传
'qi'xiu 七秀
'qi'xiu'fang 七秀坊
'qi'xiu'nei'fang 七秀内坊
'qi'xue 奇穴
'qi'xue 气血
'qi'xue 气穴
'qi'yi 其一
'qian'ding 前顶
'qian'jin'mai'leng'jing 千金买冷静
'qian'jin'zhui 千斤坠
'qian'yi'wang'shi'tou'pin 乾夷王施头品
'qian'zi'wen 千字文
'qian'zong'long 钱宗龙
'qiang'bu 枪部
'qiang'jin'jiu 将进酒
'qiang'zhang 枪章
'qiang'zhu'shi 抢珠式
'qie'bo'ming 妾薄命
'qin'dian 琴典
'qin'long'jue 擒龙诀
'qin'yi'yan 秦颐岩
'qing'feng'chui'lu 清风垂露
'qing'hong'jian'wu'jue 青虹剑舞诀
'qing'hua 情花
'qing'jing'miao'lun 清净妙论
'qing'long 青龙
'qing'long'dan'fa 青龙丹法
'qing'rong 轻容
'qing'rong'sha 轻容纱
'qing'shou'tu 青兽图
'qing'xin'jing'qi 清心静气
'qing'xu'zi'chuan 清虚子传
'qing'yin'jue 清音诀
'qiong'ren'pin 穷人品
'qiu'ri'song'bie 秋日送别
'qiu'ye'chang 秋夜长
'qiu'zhong'you'ma 丘中有麻
'qu'gu 曲骨
'qu'tang'xia 瞿塘峡
'quan'jiu'huo'yi'pin 犬救火一品
'quan'nong 劝农
'que'chao 鹊巢
'que'ta'zhi 鹊踏枝
'que'ti'bu'pin 鹊替哺品
'rang'wang 让王
'ren'chi'cheng 任驰骋
'ren'mai 任脉
'ren'xiong 人熊
'ri'lun 日轮
'ri'lun'shan'cheng 日轮山城
'rong'mu'bing'xu 荣木并序
'ru'chao'qu 入朝曲
'sai'shang'qu 塞上曲
'sai'xia'qu 塞下曲
'san'cai'zhen 三才阵
'san'chai'jian'fa 三柴剑法
'san'shi'liu'ji 三十六计
'sao'ye'tui'fa 扫叶腿法
'seng'chuan 僧传
'seng'yi'hang 僧一行
'shan'he'zhi 山河志
'shan'shi'dao'ren 山石道人
'shan'ting'ye'yan 山亭夜宴
'shan'zhong 膻中
'shang'dao 商道
'shang'guan'bo'yu 上官博玉
'shang'hui 商会
'shang'pian 上篇
'shang'qu 商曲
'shang'wan 上脘
'shang'xing 上星
'shang'yang'zhi 商阳指
'shang'yuan'dian'huan 上元点鬟
'shang'zhi'hui 上之回
'shang'zhong'yong 商仲永
'shao'lin 少林
'shao'lin'chuan'wu'ji 少林传武记
'shao'lin'feng'wu'lun 少林风物论
'shao'lin'shu 少林书
'shao'lin'si 少林寺
'shao'ming'zhi 少明指
'shao'nian'xing 少年行
'shao'yang'zhi 少阳指
'shao'zhi'hua 苕之华
'she'shen 舍身
'she'shen'shou'ku 蛇身受苦
'she'yun 射云
'shen'ce 神策
'shen'ce'jun 神策军
'shen'dao 神道
'shen'fa 身法
'shen'jiang'ji'yi 神匠技艺
'shen'nong 神农
'shen'nong'yin 神农洇
'shen'que 神阙
'shen'ting 神庭
'shen'wu'ji'xian 神巫季咸
'shen'xian'zi'zai'shuo 神仙自在说
'shen'zhao'ben'ru'kai'wu'shi 神照本如开悟诗
'shen'zhu 身柱
'sheng'duan'dan'po'pin 绳断蛋破品
'sheng'shui'dan'fa 圣水丹法
'sheng'you'si'you'pin 生忧死忧品
'shi'e'chuan 十恶传
'shi'guan 石关
'shi'jia'zhuan'lue 释迦传略
'shi'men 石门
'shi'san'gun'seng'jiu'tang'wang 十三棍僧救唐王
'shi'si'nan 十四难
'shi'su 室宿
'shi'wei 式微
'shou'que'shi 守缺式
'shou'ru'shan 守如山
'shu'bi'zhi'seng 蜀鄙之僧
'shu'dao'nan 蜀道难
'shu'dian 书典
'shu'shan'wu'zhi 叔山无趾
'shu'xin'ji'lu 书信辑录
'shu'ying'pin 输赢品
'shu'yu'tian 叔于田
'shuang'bing 双兵
'shuang'fei'tu 双飞图
'shui'fen 水分
'shui'fu'le'ni 谁缚了你
'shui'gou 水沟
'shui'pao'bu'shi 水泡不实
'shui'xie'hua'ying 水榭花盈
'shui'yue'wu'jian 水月无间
'si'ma'zhi'yu'pin 四马之喻品
'si'man 四满
'si'qi 死期
'si'tu'yi'yi 司徒一一
'si'xiang'sheng'ba'gua 四象生八卦
'si'yi 丝衣
'song'ming'yue'pin 送明月品
'su'liao 素髎
'su'nv'xin'jing 素女心经
'su'shou'qing'yan'kang'xue'zhu 素手清颜康雪烛
'su'yu'luan 苏雨鸾
'sun'si'miao 孙思邈
'tai'gong'jia'jiao 太公家教
'tai'ji'sheng'liang'yi 太极生两仪
'tai'shang'lao'zi'chuan 太上老子传
'tai'su'jiu'zhen 太素九针
'tai'yi 太乙
'tai'yin'zhi 太阴指
'tai'zong'bing'fa 太宗兵法
'tan'yin'e'gui'pin 贪引恶鬼品
'tang'bi'dang'che 螳臂当车
'tang'jian'zhu 唐间竹
'tang'lang'bu'chan 螳螂捕蝉
'tang'men 唐门
'tao'yao 桃夭
'teng'long'tu 腾龙图
'teng'wang'ge 滕王阁
'ti'da'yu'si'yi'gong'chan'fang 题大禹寺义公禅房
'ti'po'shan'si'hou'chan'yuan 题破山寺后禅院
'ti'yi'gong'chan'fang 题义公禅房
'ti'zhen 提针
'ti'zhi 体质
'tian'ce 天策
'tian'ce'fu 天策府
'tian'chong 天冲
'tian'di'di'ang 天地低昂
'tian'di'tong'gui 天地同归
'tian'gong 天工
'tian'gong'fang 天工坊
'tian'gu'lei'yin'zhen 天鼓雷音阵
'tian'ji 天玑
'tian'ma'ge 天马歌
'tian'quan 天权
'tian'shi'dao'ling'chuan 天师道陵传
'tian'shu 天枢
'tian'tu 天突
'tian'xing'dan'fa 天星丹法
'tian'xuan 天璇
'tian'zhu'si 天蛛丝
'tian'zi'feng 天子峰
'tiao'zhu'han'yu 跳珠撼玉
'tie'lao'lv 铁牢律
'ting'yun'bing'xu 停云并序
'tong'gu 通谷
'tong'zi'bian'chan'pin 童子辩禅品
'tu'ju 兔罝
'wai'gong 外功
'wai'qiu 外丘
'wan'fo'chao'zong 万佛朝宗
'wan'gu 完骨
'wan'hua 万花
'wan'hua'cha'dian 万花茶典
'wan'hua'gu 万花谷
'wan'hua'qi'huang'shu 万花岐黄术
'wang'chuan'ji 辋川集
'wang'mu'hui'mei 王母挥袂
'wang'wei'lin 王维林
'wang'wei'lin'jia'shu 王维林家书
'wang'yan'zhi 王彦直
'wang'yi'feng 王遗风
'wang'zhao'jun 王昭君
'wei'cheng'qu 渭城曲
'wei'dao 维道
'wei'qi'wu 卫戚吾
'wei'su 胃宿
'wei'su 危宿
'wei'su 尾宿
'wei'tian'zhi'ming 维天之命
'wei'tuo'xian'chu 韦陀献杵
'wen'shi'xian'sheng'chuan 文始先生传
'wo'jiang 我将
'wo'jiao'zhi'zheng 蜗角之争
'wo'zhen 握针
'wu'bai'luo'han'pin 五百罗汉品
'wu'bai'shang'ke'pin 五百商客品
'wu'chuan 武传
'wu'du 五毒
'wu'lin'za'ji 武林杂记
'wu'lin'zhi 武林志
'wu'qi'qu 乌栖曲
'wu'shu 五枢
'wu'tou 乌头
'wu'wo 无我
'wu'xiang 无相
'wu'xiang'jue 无相诀
'wu'xiao'bao'yuan'pin 乌枭报怨品
'wu'xing'ru'guang 悟性如光
'wu'yan 无盐
'wu'yan'dao 无盐岛
'wu'ye'ti 乌夜啼
'wu'you'xian'sheng 乌有先生
'wu'yun'jie'kong 五蕴皆空
'xi'he'jian'qi 西河剑器
'xi'sui'jing 洗髓经
'xi'yu'shang'hui 西域商会
'xia'pian 下篇
'xia'wan 下脘
'xian'ren'yu'xiao'xiang'pin 仙人与小象品
'xian'weng'ge'xuan'chuan 仙翁葛玄传
'xiang'luan'wu'liu 翔鸾舞柳
'xiao'bai'yan 萧白胭
'xiao'huan'dan 小还丹
'xiao'ru'hu 啸如虎
'xiao'yao'er 肖药儿
'xin'gu'xian 心鼓弦
'xin'shen 心神
'xin'su 心宿
'xin'tu'yu'ni'pin 信徒遇溺品
'xin'yi'wu 辛夷坞
'xing'lou'yue'ying 星楼月影
'xing'lu 行露
'xing'xing'you'qie'lie'pian 行行游且猎篇
'xing'xiu 星宿
'xiu'fo 修佛
'xiu'na'qian'kun 袖衲乾坤
'xiu'qi 袖气
'xu'chang'hai 徐长海
'xu'ru'lin 徐如林
'xu'su 虚宿
'xuan'cheng 玄乘
'xuan'ji 璇玑
'xuan'shu 悬枢
'xuan'wu 玄武
'xuan'wu'dan'fa 玄武丹法
'xuan'yuan'huang'di'chuan 轩辕黄帝传
'xuan'zheng 玄正
'xuan'zhong 悬钟
'xuan'zhong 玄钟
'xue'dao 穴道
'xue'fa'geng'yi 削发更衣
'xue'wu 雪舞
'ya'men 哑门
'yan'hui'zuo'wang 颜回坐忘
'yan'tou'shui'di 檐头水滴
'yan'wang'shuo'fa'pin 雁王说法品
'yan'zhen'qing 颜真卿
'yang'bai 阳白
'yang'bao'bi'lu 阳宝笔录
'yang'ming'zhi 阳明指
'yang'ning 杨宁
'yang'pan'er 杨叛儿
'yang'xin'jue 养心诀
'yang'xing 阳性
'yang'zhou 扬州
'yao'chun'yang'fu'ming'jian'da'hui'shu 邀纯阳赴名剑大会书
'yao'gong'sheng'ru'gu'shu 邀工圣入谷书
'yao'qi'xiu'fu'ming'jian'da'hui'shu 邀七秀赴名剑大会书
'yao'ri'dan'fa 耀日丹法
'yao'shao'lin'fu'ming'jian'da'hui'shu 邀少林赴名剑大会书
'yao'shu'sheng'ru'gu'shu 邀书圣入谷书
'yao'tai'zhen'he 瑶台枕鹤
'yao'tian'ce'fu'ming'jian'da'hui'shu 邀天策赴名剑大会书
'yao'wang'bai'hua'pu 药王百花谱
'yao'yao'wang'ru'gu'shu 邀药王入谷书
'yao'yu 腰俞
'ye'bie'qi'er 夜别妻儿
'ye'du'fan'chen 夜渡凡尘
'ye'tian'huang'que'xing 野田黄雀行
'ye'zhi'qing 叶芷青
'yi'cun'ju'xiang'pin 一村菊香品
'yi'di'shui 一滴水
'yi'gou'wen 一钩吻
'yi'jin'jing 易筋经
'yi'ku'yi'rong 亦枯亦荣
'yi'leng 意冷
'yi'mu'fu'yu 姨母抚育
'yi'nie'xie'pin 蚁啮械品
'yi'qie'dou'zai'pin 一切都在品
'yi'she'jiu'ri 羿射九日
'yi'shu 医术
'yi'su 翼宿
'yi'xiu'jue 一宿觉
'yin'du 阴都
'yin'jia'pian 银甲片
'yin'jiao 阴交
'yin'jiao 龈交
'yin'ran 印染
'yin'shuo 因说
'yin'xing 阴性
