'a'lai'ye'shi 阿赖耶识
'guan'tian'fa 观天法
'guan'xin'fa 观心法
'guang'cheng'zi'jing'zuo'fa 广成子静坐法
'gui'bie'xing'qi'fa 龟鳖行气法
'gui'yi 归一
'ha'ma'xing'qi 蛤蟆行气
'ha'ma'xing'qi'fa 虾蟆行气法
'he'shen'dao'qi 和神导气
'hu'gui 互跪
'hu'xi 虎戏
'hu'yan 虎偃
'hu'yin 虎引
'hua'shan'shi'er'shui'gong'jue 华山十二睡功诀
'hua'yang'zi'nei'guan'fa 华阳子内观法
'huan'ting 幻听
'huan'zhen'xian'sheng'fu'nei'yuan'qi'jue'fa 幻真先生服内元气诀法
'huang'di'nei'jing 黄帝内经
'huang'di'nei'shi'fa 黄帝内视法
'hui'er'bu'yong 慧而不用
'hui'yi'feng 汇一丰
'hui'zhou 回周
'hui'zi'bao'huang 回紫抱黄
'hun'hua 浑化
'hun'hua 混化
'hun'qing'po'zhuo 魂清魄浊
'hun'yuan 混元
'hun'yuan'qi 混元气
'hun'yuan'tai 混元态
'hun'yuan'zi 混元子
'huo'xi'fu'xi'fu'xi'huo'xi 祸兮福兮福兮祸兮
'ji'fu 集附
'ji'tian'qing 击天磬
'ji'zhuan 基砖
'jian'shi'jian'ting 俭视俭听
'jian'wu 渐悟
'jiang'xin 降心
'jiao'gong 教功
'jiao'gu 交股
'jiao'yin 挢引
'jin'jue'yin'yang 禁绝阴阳
'jin'ran 尽然
'jing'er'sheng'hui 静而生慧
'jing'gong 静功
'jing'qi'shen 精气神
'jiu'bu'gong 九步功
'jiu'xin'lun'nei'gong 九心轮内功
'ju'cheng 聚成
'ju'jin'sheng'jing 聚津生精
'ju'ze'cheng'xing 聚则成形
'jue'you'shu 决牖术
'kai'zhi'gong 开智功
'kong'jing 空静
'kou'chi 叩齿
'la'qi 拉气
'lao'zi'an'mo'fa 老子按摩法
'lei'tong 累童
'li'chan 立禅
'li'feng'shi'fu'qi'fa 李奉时服气法
'li'zhang'fen'zhi 立掌分指
'lian'gong 炼功
'lian'gong'ba'shi'zi 练功八十字
'lian'jin 炼津
'lian'jing 练精
'lian'jing'hua'qi 炼精化气
'lian'ni 炼溺
'lian'qi'hua'shen 炼气化神
'lian'shen'hai'xu 炼神还虚
'lian'zhi 练至
'ling'jing 灵静
'ling'shu 灵枢
'liu'bu'xiang 六不祥
'liu'zi'qi'jue'fa 六字气诀法
'long'xing'qi'fa 龙行气法
'lu'xi 鹿戏
'mao'qi 冒气
'mi'zong 密宗
'miao'qi 妙契
'ming'gong 命功
'ming'jing'zhao'mian 明镜照面
'ming'mu'guan'xing 瞑目观形
'ming'tian'gu 鸣天鼓
'ming'xin'jian'xing 明心见性
'mo'luo 膜络
'mo'zi'bi'qi'xing'qi'fa 墨子闭气行气法
'nei'hua 内化
'nei'ju 内聚
'nei'qi 内气
'nei'qiu 内求
'nei'shi 内视
'nei'shou 内守
'nei'ting 内听
'nian'qi 念气
'nian'zhou 念咒
'niao'xi 鸟戏
'nie'li 臬栗
'ning'xian'sheng'dao'yin'yang'sheng'fa 宁先生导引养生法
'pei'yi 培益
'peng'zu'dao'yin'fa 彭祖导引法
'pian'jia 偏跏
'pian'zhi 偏执
'po'luo'men'fa 婆罗门法
'qi'bo 歧伯
'qi'chang 气场
'qi'chi 七痴
'qi'fa 气法
'qi'gong'jia 气功家
'qi'gong'jie 气功界
'qi'gu 气蛊
'qi'gui'yuan'hai 气归元海
'qi'hu'xi 脐呼吸
'qi'ji 气机
'qi'jing'ba'mai 奇经八脉
'qi'shu 气术
'qi'shu'yu'quan 七漱玉泉
'qi'xue 气血
'qi'xue 气穴
'qia'jue 掐诀
'qian'zhi 佥指
'qing'cuo'gu'dao 轻撮谷道
'qing'ya 青牙
'qiong'shi 穷视
'qu'wai'qi'fa 取外气法
'quan'xi'xing 全息性
'ren'mai 任脉
'ren'nu'quan'yin 忍怒全阴
'ren'xin'wei'wei 人心惟危
'ru'huo 入火
'ru'tai'ding'guan 入胎定观
'san'bu'jiu'hou 三部九候
'san'cai'bi'ji 三才避忌
'san'peng 三彭
'san'qi 散气
'san'tian'yi'guan 三田一贯
'san'xin'bing 三心并
'san'yu 三愚
'san'yuan'gong 三元宫
'se'shen'yang'he 啬神养和
'shan'sheng'shu 缮生术
'shang'e 上腭
'shang'you 尚有
'she'ru 摄入
'she'sheng'liu'hai 摄生六害
'she'xing'qi 蛇行气
'she'zhen 蛇甄
'she'zhu'shang'e 舌柱上腭
'shen'hui 神慧
'shen'ji'qiao 神机窍
'shen'wai'shen 身外身
'shen'wai'tian'mo 身外天魔
'shen'yan 神验
'shen'zhen 神枕
'sheng'mian 省眠
'sheng'qi 生炁
'shi'er'duan'dong'gong 十二段动功
'shi'er'duan'jin 十二段锦
'shi'er'duo 十二多
'shi'er'shao 十二少
'shi'gong 施功
'shi'ju 尸居
'shi'kong 时空
'shi'kong'fu'he'zi 时空复合子
'shi'li'bao'jian'gong 视力保健功
'shi'liu'ding'jin 十六锭金
'shi'liu'duan'jin 十六段锦
'shi'liu'yi 十六宜
'shi'mo'jun 十魔军
'shi'qi 食气
'shi'shen 识神
'shi'sheng'tu'si 食生吐死
'shi'shu 施术
'shi'xiang'si'wei 实象思维
'shi'yu 始于
'shi'zi'wo 狮子卧
'shi'zuo'yong 施作用
'shou'ci'bao'yi 守雌抱一
'shou'cun 守寸
'shou'gong 授功
'shou'gong 收功
'shou'ju 受据
'shou'kong 守空
'shou'shi'fan'ting 收视返听
'shou'wu'shen 守五神
'shou'xuan'bai 守玄白
'shou'zhong 守中
'shu'fu 书符
'shu'tu 树突
'shu'wang'tai 蜀王台
'shu'yan'ling'ye 漱咽灵液
'si'huo 四惑
'si'qi 四气
'si'shao 四少
'si'shi'yi'yang'dao'yin'fa 四时颐养导引法
'si'xing'zhuang 思形状
'si'zi'jue 四字诀
'su'dong'po'yang'sheng'jue 苏东坡养生诀
'su'wen 素问
'sun'zhen'ren'ming 孙真人铭
'tai'shang'qi'fan 太上七返
'tai'shi 胎食
'tian'dan'xu'wu 恬惔虚无
'tian'er'tong 天耳通
'tian'ran'zhen'huo 天然真火
'tian'zhu'guo'an'mo'fa 天竺国按摩法
'tiao'shen 调身
'tiao'xi 调息
'tiao'xi'si'xiang 调息四相
'tiao'xin 调心
'tiao'xing'ju'kong'bian'yin'yang'xian'hou'cheng 调行聚控变阴阳先后乘
'tong'bi'quan 通臂拳
'tong'ling'che'shi 通灵彻视
'tong'se'qing'guang 瞳色青光
'tong'shen'lu 通神路
'tong'zi'chang'shou'jiu'bu'gong 童子长寿九步功
'tu'na 吐纳
'tun'qi 吞气
'wai'wu 外物
'wan'fa'gui'yi 万法归一
'wan'kong 顽空
'wang'qi 王气
'wang'yu'xuan 王昱璇
'wei'lou'zhe 未漏者
'wei'qi 卫气
'wei'sheng'san'jie 卫生三戒
'wei'shi 唯识
'wei'yang'shu 未央术
'wo'zhi 我执
'wu'bu'lou 五不漏
'wu'dang 武当
'wu'long'pan'ti 五龙盘体
'wu'long'zhe'fa 五龙蛰法
'wu'ming 无明
'wu'shi'wu'zhong 无始无终
'wu'xing'qi'fa 鹜行气法
'wu'xing'wu'xiang 无形无象
'wu'yang 五养
'wu'yu 无欲
'wu'zang'shen'ming 五脏神名
'wu'zei 五贼
'xi'ding 习定
'xi'gui'zu'mian 膝跪足面
'xi'qi 惜气
'xi'qian 袭前
'xi'wu'zang 洗五脏
'xi'xi'gui'gen 息息归根
'xi'yue'jing 噏月精
'xia'de 下德
'xin'ding'zhi'fa 心定之法
'xin'jing'tong 心境通
'xing'chan 行禅
'xing'chuan 形传
'xing'gong 性功
'xing'ming'he'yi 性命合一
'xing'ming'shuang'xiu 性命双修
'xing'ming'yuan'tong 性命圆通
'xing'qi'yu'ming 行气玉铭
'xing'shen'zhuang 形神庄
'xing'song'yi'chong 形松意充
'xing'yi'quan 形意拳
'xiong'xi 熊戏
'xiu'cheng'kuo 修城廓
'xiu'chi 修持
'xiu'kun'lun 修昆仑
'xiu'tian'ting 修天庭
'xu'jing 虚静
'xu'xi 嘘吸
'xuan'bai'zhu 玄白术
'xuan'jian'dao'yin'fa 玄鉴导引法
'xuan'qian 悬前
'xuan'shen 旋伸
'yan'er'bi'she'shen 眼耳鼻舌身
'yan'hang'qi'fa 雁行气法
'yan'jin 咽津
'yan'ling'jun'lian'qi'fa 延陵君炼气法
'yan'nian'jiu'zhuan'fa 延年九转法
'yan'tuo 咽唾
'yan'xi 宴息
'yan'xin'qi'gong 严新气功
'yan'xin'sheng'ming'ke'ji 严新生命科技
'yan'yang'zhi'fang 偃仰之方
'yan'ye 咽液
'yang'he 养和
'yang'jian 阳见
'yang'jing 养静
'yang'nei 养内
'yang'shen'yang'xing 养神养形
'yang'sheng'shi'liu'yi 养生十六宜
'yang'sheng'wu'nan 养生五难
'yang'wai 养外
'yang'xing 养形
'yao'gong 摇肱
'yao'shi 遥视
'yao'tian'zhu 摇天柱
'yao'ting 遥听
'yi'bu'dang 一不当
'yi'de'wei'ben 以德为本
'yi'fa'yi'shu 一法一术
'yi'men 一门
'yi'nian'zhi'dong 意念致动
'yi'qi'yin'xing 以气引形
'yi'shi'li 意识力
'yi'shi'zhi'dong 意识致动
'yi'shou 意守
'yi'xi'yang'yang 抑喜养阳
'yi'xing'yin'qi 以形引气
'yi'yi'yin'qi 以意引气
'yi'yuan'ti 意元体
'yi'zhong'wei'qin 以众为亲
'yi'zhong'wei'shi 以众为师
'yin'mei 引腜
'yin'ni 引胒
'yin'qi 引气
'yin'shen 引肾
'yin'yang 引阳
'yin'yang'jin 引阳筋
'yin'yin 引阴
'ying'huo'cheng'kuo 营活城廓
'ying'qi 营气
'ying'qi 迎气
'ying'xiang 映象
'yong'mo 甬莫
'you'xing'you'xiang 有形有象
'you'zhi'zhi'shi 有志之士
'yu'fan'qin'qi 语烦侵气
'yu'jia 瑜珈
'yuan'jing 元精
'yuan'men'yun'qi 元门运气
'yuan'quan 元泉
'yuan'shen 元神
'yuan'xi 猿戏
'yun'dong'shui'tu 运动水土
'yun'mu 熨目
'yun'zhi'jue'zhong 允执厥中
'zang'zhen 脏真
'ze'bi 则比
'zeng'xi 增息
'zhan'gong 站功
'zhan'wei 占位
'zhan'zhuang 站庄
'zhang'guo'fu'qi'fa 张果服气法
'zhe'yin 折阴
'zhen'jin'ding 真金鼎
'zhen'jing 真静
'zhen'jing'jie 真境界
'zhen'jing'xiang 真景象
'zhen'nian 真念
'zhen'qi'fan 真七返
'zhen'qian'zhen'gong 真铅真汞
'zhen'ren'qi'ju'fa 真人起居法
'zhen'tai'xi 真胎息
'zhen'wang'xiang'gong 真妄相攻
'zhen'xi 真息
'zhen'xing'ming 真性命
'zhen'zuo 真坐
'zheng'xin 正心
'zheng'zhu 征诸
'zhi'guan 止观
'zhi'guan'fa 止观法
'zhi'jian'hai'po 制检还魄
'zhi'neng'gong 智能功
'zhi'neng'qi'gong 智能气功
'zhi'wan'bing'zuo'gong'jue 治万病坐功诀
'zhi'zhao'ceng'mian 智照层面
'zhong'dao 重道
'zhong'de'wei'ben 重德为本
'zhong'gong 中宫
'zhong'mai 中脉
'zhong'sheng'jie'you'fo'xing 众生皆有佛性
'zhuan'yao'shuan'kua 转腰涮胯
'zi'an'mo'fa 自按摩法
'zong'yan'zhi 综言之
'zu'chang 组场
'zu'gong 祖宫
'zu'qi 祖气
'zu'qi 祖炁
'zuo'dong'zhen'jing'an'mo'dao'yin'jue 左洞真经按摩导引诀
'zuo'yin 坐引
