'a'ka'teng 阿卡腾
'lei'ke'si'shuang'qiang 雷克斯双枪
'lei'shi'ji 雷石祭
'lei'ting 雷霆
'leng'ci'gong 楞次弓
'leng'dong'guang'shu'bu'qiang 冷冻光束步枪
'leng'jing'an'ge'si'zhuang 棱晶安格斯壮
'leng'jing'ao'bi'ke'si 棱晶奥比克斯
'leng'jing'ge'en'huo'qiang 棱晶葛恩火枪
'leng'jing'ge'la'ka'da 棱晶葛拉卡达
'leng'jing'ji'guang'dian'fa 棱晶激光点发
'leng'jing'kong'ren 棱晶空刃
'leng'jing'leng'ci'gong 棱晶楞次弓
'leng'jing'ma'xie'te'kan'dao 棱晶马谢特砍刀
'leng'jing'ou'ma 棱晶欧玛
'leng'jing'she'fa'nv'yao 棱晶蛇发女妖
'leng'jing'shi'zhang'shuang'qiang 棱晶什长双枪
'leng'jing'shuang'zi'xiao'jing'ling 棱晶双子小精灵
'leng'jing'te'la 棱晶特拉
'leng'jing'zhan'rou'shuang'dao 棱晶斩肉双刀
'leng'jing'zhen'li'ju'jian 棱晶真理巨剑
'li'zhua 利爪
'liang'zi'qie'ge'qi 量子切割器
'lie'bao 猎豹
'lie'yan'bi'shou 烈焰匕首
'lie'yan'chang'jian 烈焰长剑
'lie'yan'shuang'jian 烈焰双剑
'lie'ying'lun 猎鹰轮
'ling'li'jian 鲮鲤剑
'ling'shu 灵枢
'liu'xing'bian'wai'guan 流星鞭外观
'long'chen 龙辰
'long'qi'bing 龙骑兵
'long'zhi'shi'ren 龙之侍刃
'luo'ding'bu'qiang 螺钉步枪
'luo'ding'guai'ren 螺钉拐刃
'luo'ding'shou'qiang 螺钉手枪
'luo'ding'shuang'qiang 螺钉双枪
'luo'sai'ren 裸鳃刃
'ma'huang 蚂蟥
'ma'rui'huo'qiang 玛瑞火枪
'ma'xie'te'kan'dao 马谢特砍刀
'mai'ge'nu'si 麦格努斯
'mai'wen 脉纹
'man'she'zhe 漫射者
'meng'du 猛毒
'meng'hu 猛虎
'mi'er 米尔
'mi'te'er 米特尔
'mi'wan 密丸
'mie'sha'zhe 灭杀者
'mo'dian 魔典
'mu'shi'shen 牡狮神
'mu'zhan 暮斩
'nong'dou 脓痘
'nu'kou'wei'bo'qiang 努寇微波枪
'nu'zhan 怒斩
'ou'ma 欧玛
'ou'te'lu'si 欧特鲁斯
'pa'li'si 帕里斯
'pan'cha'zhi'jia 潘查支架
'pan'ta 潘塔
'pao'zuo'bi'lei 炮座壁垒
'pei'la'mu'yu'cha 佩拉姆鱼叉
'pen'she'suo'lian 喷射锁镰
'pen'she'zhan'chui 喷射战锤
'po'sui'de'zhan'zheng'zhi'jian 破碎的战争之剑
'po'sun'ting'zhang 破损珽杖
'pu'luo'pa'zhi'jia 普洛帕支架
'pu'luo'wo 普罗沃
'pu'luo'wo'po'huai'zhe 普罗沃破坏者
'qi'she'bo'ren 齐射玻刃
'qie'xue 怯薛
'qing'du 氰毒
'qing'gang 清刚
'qing'ling'ti 蜻蛉薙
'qing'ling'yue'shen'shuang'qiang 轻灵月神双枪
'qing'xing'ting 轻型艇
'qu'mo'zhi'ren 驱魔之刃
'ran'leng'jing 染棱镜
'ran'yan'biao'qiang 燃焰标枪
'ren'zhi'chong'ji 认知冲击
'rong'ling'zun 溶灵尊
'rui'ka'si 锐卡斯
'rui'tie 锐铁
'sai'duo 塞多
'san'bao'ju 三宝聚
'san'ye'jian'ren 三叶坚韧
'sang'zhong 丧钟
'wen'yi'ke'li'pa'si 瘟疫克里帕丝
'xi'ba'li'si 席芭莉丝
