'ai'ni'gou'bu'gou'duo 爱你够不够多
'hei'ye'you'bai'zhou 黑夜又白昼
'hen'bu'neng'xiang'feng 恨不能相逢
'hen'hen'mian'dui'ren'sheng'mei'ci'han'leng 狠狠面对人生每次寒冷
'hong'chen'qian'shan'wan'li'lu 红尘千山万里路
'hu'huan'ren'men'zou'xiang'zhan'chang'bao'wei'jia'xiang 呼唤人们走向战场保卫家乡
'hu'huan'ta'zou'xiang'ai'ren'suo'zai'de'di'fang 呼唤她走向爱人所在的地方
'hua'ban'lei'piao'luo'feng'zhong 花瓣泪飘落风中
'hua'de'xin'cang'zai'rui'zhong 花的心藏在蕊中
'hua'xie'hua'hui'zai'kai 花谢花会再开
'hua'xin 花心
'huang'se'de'yang'san'xia 黄色的阳伞下
'hui'ji'mo'hui'hui'shou 会寂寞会回首
'ji'fan'qi'ji'fan'yuan'ji'fan'su'ji'fan'lian'zhi'luo'de'ji'mo'yi'pian 几番欺几番怨几番诉几番恋只落得寂寞一片
'ji'jiang'you'yuan'er'jin'chuan'ru'wo'xin'li'xiang'na'cong'tian'shang'la'xia'lai'de'yu'tou'xiang'da'di'huai'zhong 即将由远而近传入我心里像那从天上落下来的雨投向大地怀中
'ji'xu'cai'zhe'ni'de'zu'yin 继续踩着你的足印
'jiang'zhen'hua'shuo'de'fu'qian 将真话说得肤浅
'jiao'die'zhi'cheng'yi'fu'shi'ni'de'hui'yi'dan'ru'jin'ban'wo'zhi'shi'yi'ge'jie 交叠织成一副是你的回忆但如今伴我只是一个结
'jiao'zhi'de'sui'yue'li'ru'xie'feng'ru'xi'yu'pai'huai'zhe'wu'xian'qi'mi 交织的岁月里如斜风如细雨徘徊着无限凄迷
'jin'ye'ni'wo'xiang'dui'ru'xi'wei'shen'me'bu'zai'mei'bu'zai'tian'mi 今夜你我相对如昔为什么不再美不再甜蜜
'jin'ye'wei'feng'dai'lai'yu'di'wei'shen'me'zhan'shi'le'wo'de'yan'jing 今夜微风带来雨滴为什么沾湿了我的眼睛
'jin'ye'xing'guang'yi'ran'ru'xi'wei'shen'me'bu'zai'liao'dong'wo'de'xin 今夜星光依然如息为什么不再撩动我的心
'jing'jing'deng'tian'huang'di'lao 静静等天荒地老
'jiu'zhan'zai'men'nei'mo'mo'de'chui'lei 就站在门内默默地垂泪
'jiu'zhan'zai'shen'bian 就站在身边
'kan'jian'ta'sheng'sheng'shi'shi'zui'qian'gua'de'ai'ren 看见他生生世世最牵挂的爱人
'kan'jian'ta'zhao'zhao'mu'mu'zui'si'nian'de'ai'ren 看见他朝朝暮暮最思念的爱人
'kan'zhe'na'shui'zhong'xu'huan'de'wo 看着那水中虚幻的我
'ke'yi'yao'qiu'bu'yao'bu'zai'hu 可以要求不要不在乎
'ke'yi'zhui'qiu 可以追求
'kong'ba'hua'qi'dou'cuo'guo 空把花期都错过
'ku'ku'deng'dai'ni'de'dao'lai 苦苦等待你的到来
'kuai'huo'yi'sheng'bei'ai'yi'sheng 快活一生悲哀一生
'kuang'xiao'yi'sheng'chang'tan'yi'sheng 狂笑一声长叹一声
'lai'lai'wang'wang'de'ni'wo'yu'ta 来来往往的你我与他
'lai'ye'cong'cong'qu'ye'cong'cong 来也匆匆去也匆匆
'liao'jie'ni'nan'ru'deng'tian 了解你难如登天
'lin'qu'de'shi'hou'ta'meng'ran'hui'shou 临去的时候他猛然回首
'liu'zai'shen'bian'tao'yan'mei'you'you'gua'nian 留在身边讨厌没有又挂念
'mei'li'de'ren'sheng 美丽的人生
'men'nei'que'shi'yi'ge'geng'wen'nuan'de'shi'jie 门内却是一个更温暖的世界
'meng'de'gou'bu'gou'hao 梦得够不够好
'meng'de'gou'bu'gou'hao 梦的够不够好
'meng'li'zhi'duo'shao 梦里知多少
'meng'you'kuai'le'meng'you'tong'ku 梦有快乐梦有痛苦
'mo'ran'hui'tou'lai'ni'yi'bu'zai 蓦然回头来你已不在
'mou'ge'xiao'dao 某个小岛
'mou'nian'mou'yue'mou'ri'mou'yi'ci'yong'bao 某年某月某日某一次拥抱
'mou'tian'ya'hai'jiao 某天涯海角
'mu'se'chen'guang'jing'xing'bu'liao'wo'dui'ni'de'zhen'qing 暮色晨光惊醒不了我对你的真情
'na'bu'ceng'bao'yuan'ban'wo'du'guo'yi'sheng 那不曾抱怨伴我度过一生
'na'duan'yong'heng'de'shi'yan'na'duan'yong'heng'de'ge 那段永恒的誓言那段永恒的歌
'na'ling'wo'zhan'qi'shen'lai'mian'dui'yi'qie 那令我站起身来面对一切
'na'xie'ri'zi'bu'zai'you 那些日子不再有
'na'yi'jiu'pang'huang'yi'jiu'bu'gong'ping'de'shi'jie 那依旧彷徨依旧不公平的世界
'na'yi'nian'na'yi'tian'cai'neng'gou'su'shuo'jin'cai'neng'gou'bu'zai'xun'mi 哪一年哪一天才能够诉说尽才能够不再寻觅
'na'yi'nian'shang'shang'de'qian 那一年上上的签
'na'zhe'ping'guo'pai 拿着苹果派
'nan'ren'po'zhi'shi'biao'mian 男人婆只是表面
'nan'ren'you'shi'chun'hua'lian'pian 男人有时蠢话连篇
'nan'ren'zong'shi'chun'hua'lian'pian 男人总是蠢话连篇
'ni'ceng'jing'chang'guo'de'man'chang'er'wei'yi'de'lu 你曾经唱过的漫长而逶迤的路
'ni'de'lei'jing'ying'ti'tou 你的泪晶莹剔透
'ni'de'xin'wang'le'ji'jie 你的心忘了季节
'ni'ke'fou'ming'bai 你可否明白
'ni'na'bu'kong'ju'hei'an'qu'fu'de'rong'yan 你那不恐惧黑暗屈服的容颜
'ni'shen'me'dou'bie'shuo 你什么都别说
'ni'shi'wo'jin'sheng'wei'yi'de'du'zhu 你是我今生唯一的赌注
'ni'shi'wo'yi'sheng'bu'ting'de'jiao'bu 你是我一生不停的脚步
'ni'shuo'ni'shi'duo'me'juan'lian'ni'ceng'shen'ai'de'shi'jie 你说你是多么眷恋你曾深爱的世界
'ni'wei'xiao'de'rong'yan'yi'zhen'zhen'ying'zai'wo'xin'li 你微笑的容颜一阵阵映在我心里
'ni'zhong'yu'pian'pian'er'lai 你终于翩翩而来
'nian'qing'de'ge'shou'kang'qi'le'xing'nang 年轻的歌手扛起了行囊
'ning'jing'de'xin'ling'shi'wo'de'xiang'wang 宁静的心灵是我的向往
'pa'ni'gu'dan'pa'ni'gu'du 怕你孤单怕你孤独
'pa'ni'gu'dan'pa'ni'hu'tu 怕你孤单怕你糊涂
'pa'ni'you'shang'pa'ni'ku 怕你忧伤怕你哭
'pei'ban'zai'ni'shen'pang 陪伴在你身旁
'peng'pai'you'ru'ju'lang 澎湃有如巨浪
'peng'you'bu'ceng'gu'dan'guo 朋友不曾孤单过
'peng'you'yi'sheng'yi'qi'zou 朋友一生一起走
'ping'guo'pai'ni'du'ai'ping'guo'pai 苹果派你独爱苹果派
'qi'shi'ni'xin'si'xi'guo'jin'duan'chan'mian 其实你心思细过锦缎缠绵
'qian'cheng'de'xin'bu'hui'gai'bian 虔诚的心不会改变
'qian'zhe'wo'dai'zhe'wo'zou'xiang'yong'heng 牵着我带着我走向永恒
'qiao'cui'de'xin'ling'bu'yuan'zai'hui'shou 憔悴的心灵不愿再回首
'qing'bie'gu'fu'wo'de'qi'dai 请别辜负我的期待
'qing'qing'he'pan'cao 轻轻河畔草
'quan'xin'de'fu'chu 全心的付出
'rang'meng'hua'xiang'ni'xin'hai 让梦划向你心海
'rang'ni'jin'qing'fei'wu 让你尽情飞舞
'rang'ping'fan'de'ri'zi'zai'wen'xin'zhong'du'guo 让平凡的日子在温馨中度过
'rang'ruan'ruo'de'wo'men'dong'de'can'ren 让软弱的我们懂得残忍
'rang'ta'guo'qu'rang'ta'yong'yuan'de'guo'qu 让它过去让它永远的过去
'rang'wo'men'wo'jin'shuang'shou'zou'zai'meng'meng'de'yu'zhong 让我们握紧双手走在蒙蒙的雨中
'rang'wo'men'xin'lian'zhe'xin'zou'guo'wei'lai'de'sui'yue 让我们心连着心走过未来的岁月
'rang'wo'qian'zhe'ni'de'shou'zou'xiang'can'lan'de'tian'ming 让我牵着你的手走向灿烂的天明
'rang'wo'ran'qi'huo'ju 让我燃起火炬
'rang'wo'tian'xiao'zai'da'di'yao'lan'zhong 让我甜笑在大地摇篮中
'rang'wo'wu'yuan'wu'hui 让我无怨无悔
'rang'wo'zai'ci'hui'wei'ni'ceng'shuo'guo'de'na'xie'hua 让我再次回味你曾说过的那些话
'rang'wo'zai'ni'shen'bian 让我在你身边
'rang'wo'zai'yi'ci'qing'ting'zhe'ni'de'ge'sheng 让我再一次倾听着你的歌声
'rang'wo'zou'chu'yi'pian'tian'kong 让我走出一片天空
'ren'man'shi'fu'hua'xin'que'huang'wu 人满是浮华心却荒芜
'ren'sheng'wei'huan'you'ji'he 人生为欢有几何
'ri'zi'jiu'le'jiu'ming'bai 日子久了就明白
'san'xia'de'zuo'yi'yi'ran'kong'bai 伞下的座椅依然空白
'shan'liang'de'ren 善良的人
'shang'hen'lei'lei'de'tian'zhen'de'ling'hun 伤痕累累的天真的灵魂
'sheng'jie'de'xin'shi'ai'ren'de'yan'mou 圣洁的心是爱人的眼眸
'sheng'sheng'de'qiao'da'zai'wo'xin'shang 声声的敲打在我心上
'sheng'yu'si'yi'qie'cheng'kong 生与死一切成空
'shi'ceng'jing'wu'hui'de'feng'yu'wu'zu 是曾经无悔的风雨无阻
'shi'wo'ai'ren'yan'zhong'she'chu'de'guang'mang 是我爱人眼中射出的光芒
'shi'wo'fu'qin'kuan'hou'wen'nuan'de'shou'zhang 是我父亲宽厚温暖的手掌
'shi'wo'hai'zi'lian'shang'shan'dong'de'lei'guang 是我孩子脸上闪动的泪光
'shi'wo'mu'qin'ru'bai'se'de'xiong'tang 是我母亲乳白色的胸膛
'shi'yu'fei'dong'ye'bu'dong 是与非懂也不懂
'shi'zhen'yi'zou'le'ji'ge 时针已走了几格
'shou'shang'de'ge'shou'zheng'kai'lin'zhong'de'yan'mou 受伤的歌手睁开临终的眼眸
'shou'shang'de'ta'zai'ai'ren'de'shen'bian 受伤的他在爱人的身边
'shou'zhong'ping'guo'pai'liang'ge 手中苹果派两个
'shu'nian'de'si'lian'xiao'shi'wei'man'man'de'chang'ye 数年的思恋消逝为慢慢的长夜
'shu'xi'de'xuan'lv'zhi'yin'ta'xun'mi 熟悉的旋律指引她寻觅
'shui'ba'shui'zhen'de'dang'zhen 谁把谁真的当真
'shui'shi'wei'yi'shui'de'ren 谁是唯一谁的人
'shui'shuo'ci'qing'bu'bian'shui'shuo'deng'dai'wan'nian'shui'shuo'tian'chang'di'jiu 谁说此情不变谁说等待万年谁说天长地久
'shui'shuo'zhi'dao'yong'yuan'kan'zhe'ni'kan'zhe'wo'shui'shuo'guo 谁说直到永远看着你看着我谁说过
'shui'wei'shui'xin'teng 谁为谁心疼
'shui'yu'wo'sheng'si'yu'gong 谁与我生死与共
'si'xu'shi'jiu'chan'de'jie'xi'zhe'ni'de'yi'qie 思绪是纠缠的结系着你的一切
'su'shuo'wo'de'qing'huai 诉说我的情怀
'sui'you'bei'yi'ye'cong'rong 虽有悲意也从容
'ta'men'de'sheng'huo'li'wang'que'le'you'chou 他们的生活里忘却了忧愁
'ta'zhuan'hui'shen'dao'ai'ren'de'shen'bian 他转回身到爱人的身边
'tang'zai'da'di'shang'bu'zai'mi'wang 躺在大地上不再迷惘
'ti'zhe'zuo'ri'zhong'zhong'qian'xin'wan'ku 提着昨日种种千辛万苦
'ti'zhe'zuo'ri'zong'zong'qian'xin'wan'ku 提着昨日总总千辛万苦
'tian'suan'de'pai'zi'wei'qian'bai 甜酸的派滋味千百
'tian'yu'di'feng'qi'yun'yong 天与地风起云涌
'ting'jian'wo'zai'zhe'li'qing'qing'hu'huan'ni'de'ming'zi'qing'wen'ni'shi'fou'chang'zai'ye'ban'wu'ren'de'shi'hou 听见我在这里轻轻呼唤你的名字请问你是否常在夜半无人的时候
'tong'kan'hai'tian'cheng'yi'se 同看海天成一色
'wan'xia'qi'yan'geng'tian'wo'xin'gu'ji'hong'jie'zhu'ying'lao'wo'xin'fei 晚霞凄艳更添我心孤寂红结朱影烙我心扉
'wang'wang'you'yuan'mei'you'fen 往往有缘没有份
'wang'you'cao'wang'le'jiu'hao 忘忧草忘了就好
'wei'feng'qing'wen'zhe'wo'de'lian'pang 微风轻吻着我的脸庞
'wei'he'bu'qian'wo'de'shou 为何不牵我的手
'wei'he'ni'wo'ye'yao'xiang'ge'na'me'yuan'qing'wen'ni'shi'fou'chang'zai'ye'shen'ren'jing'de'shi'hou 为何你我也要相隔那么远请问你是否常在夜深人静的时候
'wei'he'shi'jian'yao'fen'tian'ya'yu'hai'ji'wei'he'ren'men'yao'you'xiang'ju'yu'xiang'li 为何世间要分天涯与海际为何人们要有相聚与相离
'wei'wei'de'feng'mu'qin'de'wen'rou 微微的风母亲的温柔
'wo'bu'ceng'gei'ni'rong'hua'de'yi'qie 我不曾给你荣华的一切
'wo'ceng'jing'nian'shao 我曾经年少
'wo'cheng'zhe'san'zai'yu'zhong'deng'dai'deng'dai'zhe'ni'shu'xi'de'jiao'bu'sheng 我撑着伞在雨中等待等待着你熟悉的脚步声
'wo'dao'ge'po'chang'kong 我刀割破长空
'wo'de'cheng'ren 我得承认
'wo'deng'zhe'kan'ta'shi'fou'zhen'de'ling'yan 我等着看它是否真的灵验
'wo'fen'bu'chu'lai 我分不出来
'wo'he'ni'ru'ci'xiang'jin'xiang'bu'dao'bu'zai'chi'mi 我和你如此相近想不到不再痴迷
'wo'jian'he'qu'he'cong 我剑何去何从
'wo'kan'dao'xing'guang'mi'li'ye'kan'dao'yue'se'qi'qing 我看到星光迷离也看到月色凄清
'wo'kan'zhe'chuang'wai'fei'yang'de'chen'ai 我看着窗外飞扬的尘埃
'wo'ke'yi'feng'feng'bu'bu 我可以缝缝补补
'wo'ke'yi'zhao'zhao'mu'mu 我可以朝朝暮暮
'wo'ku'lei'sa'xin'zhong 我哭泪洒心中
'wo'lia'xiang'dui'wu'yu'yi'ye'dao'tian'ming 我俩相对无语一夜到天明
'wo'lia'xie'shou'bing'jian'man'bu'zai'hai'bin 我俩携手并肩漫步在海滨
'wo'ting'dao'feng'de'hu'xi'ye'ting'dao'ni'de'di'xi 我听到风的呼吸也听到你的低息
'wo'xiang'gao'su'ni 我想告诉你
'wo'xiao'wo'kuang'wo'feng 我笑我狂我疯
'wo'xing'yi'chang'chun'meng 我醒一场春梦
'wo'yao'xiang'yi'wei'ceng'jing'cun'zai'guo'de'ying'xiong 我要向一位曾经存在过的英雄
'wo'you'ji'ci'xin'bu'zai'yan 我有几次心不在焉
'wo'zhen'bu'zai'hu'zai'yao'duo'shao'shi'jian 我真不在乎再要多少时间
'wo'zhi'yao'ni'yong'yuan'liu'zai'wo'de'shen'bian 我只要你永远留在我的身边
'wo'zui'mei'di'fa'xian 我最美的发现
'wo'zui'yi'pian'meng'long 我醉一片朦胧
'wu'duan'de'si'xu'zai'meng'li'zai'lei'li'zai'yu'zhong'pang'huang'chi'yi 无端的思绪在梦里在泪里在雨中彷徨迟疑
'xi'yang'can'zhao'hong'le'wo'de'jian'ying'qing'shan'yi'jiu'ni'zai'he'fang 夕阳残照红了我的剪影青山依旧你在何方
'xiang'ming'tian'huan'yi'xie'mei'man'he'xing'fu 向明天换一些美满和幸福
'xiang'qi'le'ta'de'ge'he'ta'de'ai'ren 想起了他的歌和他的爱人
'xiang'shi'bu'ru'xiang'wang'dan'dan'yi'xiao 相识不如相忘淡淡一笑
'xiang'xin'ta'men'ceng'jing'chang'guo'de'shi'yan 相信他们曾经唱过的誓言
'xin'ruo'dao'xuan'reng'gan'xie'tian 心若倒悬仍感谢天
'xin'tong'xin'suan'xin'shi'tai'wei'bu'zu'dao 心痛心酸心事太微不足道
'xin'zhong'yi'ding'hai'you'meng 心中一定还有梦
'xun'dao'shou'shang'de'ge'shou'a'ta'de'ai'ren 寻到受伤的歌手啊她的爱人
'yan'zhong'dai'zhe'juan'lian 眼中带着眷恋
'yan'zhong'dai'zhe'juan'lian'ge'sheng'dai'zhe'ai'lian 眼中带着眷恋歌声带着爱恋
'ye'ceng'jing'pai'huai 也曾经徘徊
'ye'shen'ren'jing'de'shi'hou'zai'wo'de'yan'qian'chu'xian'ni'ru'meng'de'shen'ying 夜深人静的时候在我的眼前出现你如梦的身影
'yi'hou'de'xiang'yu'bu'zai'ou'ran 以后的相遇不再偶然
'yi'ju'hua'yi'bei'zi 一句话一辈子
'yi'qie'dou'sui'feng 一切都隋风
'yi'sheng'peng'you'ni'hui'dong 一声朋友你会懂
'yi'sheng'qing'yi'bei'jiu 一生情一杯酒
'yi'yi'bu'she'de'ai'guo'de'ren 依依不舍的爱过的人
'yin'wei'wo'de'ge'sheng'jiang'yong'yuan'pei'ban'zai'ni'de'shen'pang 因为我的歌声将永远陪伴在你的身旁
'yong'you'gou'bu'gou'duo 拥有够不够多
'yong'yuan'pei'ban'ni 永远陪伴你
'yong'yuan'xiang'wei'xiang'yi 永远相偎相依
'you'dao'le'ye'shen'ren'jing 又到了夜深人静
'you'guo'lei'you'guo'cuo 有过泪有过错
'you'ru'ning'jing'wen'nuan'de'chao'yang 犹如宁静温暖的朝阳
'you'yi'wei'shao'nv'yu'yi'wei'ge'shou 有一位少女与一位歌手
'yu'wei'he'xia'bu'ting'yi'si'si'zhan'shi'le'wo'de'yan'jing'mo'ran'yan'qian'chu'xian 雨为何下不停一丝丝沾湿了我的眼睛蓦然眼前出现
'yuan'fang'gui'yan'zhu'huang'hun'xiao'shi'leng'qing'lou'ge'bu'fu'jian'ni'xiao'yan 远方归雁逐黄昏消逝冷清楼阁不复见你笑颜
'yuan'yu'ni'gong'guo'xin 愿与你共过心
'yuan'yuan'kan'jian'na'jian'lou'de'jia'men 远远看见那简陋的家门
'yue'shi'zai'yi'yue'shi'xiang'bu'zhou'yan 越是在意越是想不周延
'yun'wu'shi'tou'le'wo'de'wai'yi'yu'ni'de'chang'qun 云雾湿透了我的外衣与你的长裙
'zai'deng'dai'de'ri'zi'li'xiang 在等待的日子里想
'zai'piao'bo'de'ri'zi'li'ta'yong'yuan'xiang'xin 在漂泊的日子里她永远相信
'zai'wo'de'yan'qian'chu'xian'ni'ru'zhen'de'shen'ying 在我的眼前出现你如真的身影
'zai'wo'xin'zhong'zhao'yao'ting'na 在我心中照耀听那
'zai'wo'xiong'zhong'ran'shao 在我胸中燃烧
'zai'xiang'si'de'sui'yue'li'chang 在相思的岁月里唱
'zai'yi'ge'dong'dang'bu'an'de'nian'dai 在一个动荡不安的年代
'zao'yi'bu'cheng'ren'hai'you'shen'me'shen 早已不承认还有什么神
'zhe'xie'nian'yi'ge'ren 这些年一个人
'zhen'ai'guo'cai'hui'dong 真爱过才会懂
'zhen'shan'yu'mei 真善与美
'zhi'dao'you'yi'tian'ta'ting'dao'shu'xi'de'sheng'xiang 直到有一天她听到熟悉的声响
'zhi'dao'you'yi'tian'yuan'fang'de'hao'jiao'sheng'xiang 直到有一天远方的号角声响
'zhi'liu'xia'yi'duan'sui'yue 只留下一段岁月
'zhi'pan'wang'jin'sheng'jin'shi'yong'yuan 只盼望今生今世永远
'zhi'xiang'ben'xiang'na'fen'an'jing 只想奔向那份安静
'zhi'yao'ni'bu'yi'wei'wo'dian 只要你不以为我癫
'zhi'yao'ni'de'ying'yu'wo'de'ying'xiang'yong'xiang'wei'yi 只要你的影与我的影相拥相偎依
'zhi'yao'ni'de'ying'yu'wo'de'ying'yong'yuan'bu'fen'ming 只要你的影与我的影永远不分明
'zhi'yao'ni'yuan'yi 只要你愿意
'zhi'you'ni'de'ming'zi'yi'ran'zai'wo'xin'tian 只有你的名字依然在我心田
'zhong'ren'zhong'wo'hai'shi'shou'xuan 众人中我还是首选
'zhong'ren'zhong'wo'hui'shi'shou'xuan 众人中我会是首选
'zhong'sheng'hu'huan'ru'lie'huo 钟声呼唤如烈火
'zhong'sheng'kang'kang'de'xiang 钟声钪钪的响
'zhong'sheng'long'long'de'xiang 钟声隆隆的响
'zhong'you'meng'zhong'you'ni'zai'xin'zhong 终有梦终有你在心中
'zhong'yu'ta'zou'shang'le'xun'zhao'de'lu 终于她走上了寻找的路
'zhuang'ji'zai'yan'shi'juan'qi'qian'dui'xue 撞击在岩石卷起千堆雪
'zhuang'ji'zai'yan'shi'kai'chu'qian'duo'hua 撞击在岩石开出千朵花
'zi'cong'di'yi'ci'qiao'he 自从第一次巧合
'zi'run'wo'sheng'ming'cheng'zhang'de'yuan'quan 滋润我生命成长的源泉
'zong'shi'you'bu'jin'de'ai 总是有不尽的爱
'zong'shi'you'su'bu'wan'de'qing 总是有诉不完的情
'zou'shang'na'tiao'yong'yuan'yong'yuan'ye'zou'bu'wan'de'dao'lu 走上那条永远永远也走不完的道路
'zou'zai'na'ye'zhong'bu'zai'you'shang 走在那夜中不再忧伤
'zui'hou'yuan'wu'qu 最后圆舞曲
