'a'za 腌臜
'lu'he 露褐
'lu'hong'jian 陆鸿渐
'lu'huang 录黄
'lu'huang 陆晃
'lu'hui 露会
'lu'hun 陆浑
'lu'huo 鹿藿
'lu'ji 禄籍
'lu'ji 路祭
'lu'ji 陆机
'lu'ji 陆玑
'lu'ji 陆绩
'lu'ji 露紒
'lu'ji 露鸡
'lu'ji 騄骥
'lu'jia 陆贾
'lu'jia'jin 陆贾金
'lu'jian 露见
'lu'jiang 潞江
'lu'jiao 鹿角
'lu'jiao'cha 鹿角叉
'lu'jiao'yu 鹿角鱼
'lu'jie 路节
'lu'jin'miao 露筋庙
'lu'jing 陆径
'lu'jing 露井
'lu'jiu 鹿韭
'lu'jiu'ling 陆九龄
'lu'jiu'yuan 陆九渊
'lu'jun 陆军
'lu'kai 陆凯
'lu'kang 陆抗
'lu'ke 录科
'lu'kou 陆口
'lu'kui 露葵
'lu'lang'ju 陆郎橘
'lu'lao 渌老
'lu'li 僇力
'lu'li 勠力
'lu'li 戮力
'lu'li 甪里
'lu'li 陆离
'lu'li 露立
'lu'li'cun 甪里村
'lu'li'cun 甪里邨
'lu'liang 陆凉
'lu'liang 陆梁
'lu'liao 膟膋
'lu'lin 绿林
'lu'ling 路軨
'lu'ling 醁醽
'lu'liu 剹流
'lu'liu 戮流
'lu'long'qi 陆陇其
'lu'lu 录录
'lu'lu 漉漉
'lu'lu 琭琭
'lu'lu 睩睩
'lu'lu 碌碌
'lu'lu 禄禄
'lu'lu 翏翏
'lu'lu 辘轳
'lu'lu 辘辘
'lu'lu 陆陆
'lu'lu 鹿卢
'lu'lu 鹿栌
'lu'lu 鹿鹿
'lu'lu'ge 辘轳格
'lu'lu'jian 鹿卢剑
'lu'lu'jin'jing 辘轳金井
'lu'lue 掳掠
'lu'lue 陆掠
'lu'lv 鵱鷜
'lu'ma 路马
'lu'ma 鹿马
'lu'mao 露卯
'lu'mao'bi 鹿毛笔
'lu'men 路门
'lu'men 露门
'lu'men 鹿门
'lu'men'shan 鹿门山
'lu'men'xue 露门学
'lu'mi 禄米
'lu'min 录民
'lu'min 戮民
'lu'ming 禄命
'lu'ming 鹿鸣
'lu'ming'yan 鹿鸣宴
'lu'mo 露陌
'lu'nan 路南
'lu'nv 鹿女
'lu'pi'guan 鹿皮冠
'lu'pi'jin 鹿皮巾
'lu'pi'weng 鹿皮翁
'lu'qi 路岐
'lu'qin 路寝
'lu'qin 露寝
'lu'qin 露禽
'lu'qing 碌青
'lu'qiu 录囚
'lu'qiu 鹿丘
'lu'qiu 鹿裘
'lu'quan 禄劝
'lu'quan 露犬
'lu'rao 露桡
'lu'ren 僇人
'lu'ren 戮人
'lu'ren 路人
'lu'rong 鹿茸
'lu'ru 僇辱
'lu'ru 戮辱
'lu'run 禄润
'lu'shan 麓山
'lu'shan'si'bei 麓山寺碑
'lu'shang 鹿上
'lu'shang'shu'shi 录尚书事
'lu'she'shui'li 陆慑水栗
'lu'shen 陆沈
'lu'shen 陆深
'lu'shen 露申
'lu'sheng 露生
'lu'sheng'nan 陆生楠
'lu'shi 录事
'lu'shi 戮尸
'lu'shi 潞氏
'lu'shi 禄食
'lu'shi 路史
'lu'shi 路室
'lu'shi 露蓍
'lu'shi 鹿豕
'lu'shi'qin 路氏琴
'lu'shi'yi 陆世仪
'lu'shi'yi'jie 陆氏易解
'lu'shu 录书
'lu'shu 鹿蜀
'lu'shui 渌水
'lu'shui 漉水
'lu'shui'dai 漉水袋
'lu'shui'fu'qi 露水夫妻
'lu'si 鹭鸶
'lu'si'bu'ze'yin 鹿死不择音
'lu'si'shei'shou 鹿死谁手
'lu'su 簏簌
'lu'su 露宿
'lu'suo 露索
'lu'tai 露台
'lu'tai 鹿台
'lu'tai 麓台
'lu'tai'hua 鹿胎花
'lu'tan 露袒
'lu'tan'wei 陆探微
'lu'tao 路鼗
'lu'tao 鹭涛
'lu'ti'cao 鹿蹄草
'lu'tian 露天
'lu'tian 露田
'lu'ting 鹿亭
'lu'tong 陆通
'lu'tou 路头
'lu'tou'guan 鹿头关
'lu'tu 录图
'lu'wan 陆玩
'lu'wang'shuang'lai 露往霜来
'lu'wei 禄位
'lu'wei 鹿尾
'lu'wei'cang'tou 露尾藏头
'lu'wen'shu 路温舒
'lu'wu 峍屼
'lu'wu 硉矹
'lu'wu 陆吾
'lu'xi 鹿戏
'lu'xi'sheng 陆希声
'lu'xi'xing 陆西星
'lu'xiao 戮笑
'lu'xiu'fu 陆秀夫
'lu'xiu'jing 陆修静
'lu'xu 录续
'lu'xu 陆续
'lu'xu 鹭序
'lu'xue 漉血
'lu'xue 陆学
'lu'xun 陆逊
'lu'ya 露牙
'lu'yan 陆盐
'lu'yang 禄养
'lu'yao'zhi'ma'li'shi'jiu'jian'ren'xin 路遥知马力事久见人心
'lu'ye'yuan 鹿野苑
'lu'yi 录遗
'lu'yi 渌蚁
'lu'yi 赂遗
'lu'yi 陆扆
'lu'yi 鹿衣
'lu'yi 鹿邑
'lu'yi'chong 陆逸冲
'lu'yin 路引
'lu'ying 绿营
'lu'ying 露营
'lu'yong 录用
'lu'you 陆游
'lu'yu 戮余
'lu'yu 陆羽
'lu'yu 鹭屿
'lu'yu 鹭羽
'lu'yu 鹿鱼
'lu'yu'quan 陆羽泉
'lu'yuan 鹿苑
'lu'yuan'fang 陆元方
'lu'yun 陆云
'lu'yun'pi 陆云癖
'lu'ze 鹿帻
'lu'zhai 鹿寨
'lu'zhai 鹿砦
'lu'zhang 露章
'lu'zhao 鹿爪
'lu'zhe'shui'li 陆詟水栗
'lu'zhi 录治
'lu'zhi 甪直
'lu'zhi 陆贽
'lu'zhi'ming 陆知命
'lu'zhong 稑穜
'lu'zhong 陆终
'lu'zhong 鹿中
'lu'zhong'lian 鲁仲连
'lu'zhou 潞州
'lu'zhou 陆州
'lu'zhou 陆轴
'lu'zhu 菉竹
'lu'zhu 露珠
'lu'zhu 鹿竹
'lu'zhu'tang 菉竹堂
'lu'zhuo'jun 潞涿君
'lu'zi 录子
'luan'ba 栾巴
'luan'bang 乱邦
'luan'bi 挛躄
'luan'biao 鸾镳
'luan'bu 栾布
'luan'che 鸾车
'luan'chen 乱臣
'luan'chen'zei'zi 乱臣贼子
'luan'cheng 栾城
'luan'cheng'ji 栾城集
'luan'cheng'yi'yan 栾城遗言
'luan'chui 鸾吹
'luan'da 栾大
'luan'dai 鸾带
'luan'dao 乱道
'luan'dao 鸾刀
'luan'di 挛鞮
'luan'dian 銮殿
'luan'dian'yuan'yang 乱点鸳鸯
'luan'feng 乱风
'luan'feng 鸾凤
'luan'feng'shu 鸾凤书
'luan'gong'she 栾公社
'luan'guo 乱国
'luan'hao 乱号
'luan'he 滦河
'luan'he 鸾和
'luan'he 鸾鹤
'luan'hua 栾华
'luan'huang 鸾皇
'luan'ji 乱纪
'luan'jia 銮驾
'luan'jian 鸾笺
'luan'jiang 卵酱
'luan'jiao 鸾胶
'luan'jie 乱阶
'luan'jing 栾荆
'luan'jing 滦京
'luan'jing 鸾镜
'luan'juan 脔卷
'luan'jun 乱君
'luan'li 乱离
'luan'ling 銮铃
'luan'liu 乱流
'luan'lu 鸾路
'luan'lu 鸾辂
'luan'luan 挛挛
'luan'luan 栾栾
'luan'lun 乱伦
'luan'lv 覶缕
'luan'meng 乱萌
'luan'min 乱民
'luan'min 卵民
'luan'ming 乱命
'luan'niao 卵鸟
'luan'niao 鸾鸟
'luan'piao'feng'bo 鸾飘凤泊
'luan'ping 滦平
'luan'po 銮坡
'luan'po 鸾坡
'luan'qi 鸾旗
'luan'qu 挛屈
'luan'ruo 挛弱
'luan'se 卵色
'luan'sheng 卵生
'luan'sheng 孪生
'luan'shi 乱世
'luan'shou 乱首
'luan'shu 栾书
'luan'shu 鸾书
'luan'su 乱俗
'luan'suan 卵蒜
'luan'ta 卵塔
'luan'tai 鸾台
'luan'tan 乱弹
'luan'ti 乱梯
'luan'tong 娈童
'luan'tou 乱头
'luan'tou'cu'fu 乱头粗服
'luan'wan 卵盌
'luan'wan 卵碗
'luan'wo 挛踠
'luan'xiang'feng'ji 鸾翔凤集
'luan'xiang'feng'zhu 鸾翔凤翥
'luan'xing 乱行
'luan'xu 脔壻
'luan'xu 脔婿
'luan'yan 卵盐
'luan'yan 卵砚
'luan'ye 鸾掖
'luan'yi 卵翼
'luan'yi'wei 銮仪卫
'luan'yu 卵育
'luan'yu 銮舆
'luan'yu 鸾舆
'luan'yu'shi'dou 卵与石斗
'luan'zhen 乱真
'luan'zheng 乱政
'luan'zhi 脔炙
'luan'zhou 滦州
'luan'zhou 鸾帚
'luan'zi 孪子
'lue'bo 掠彴
'lue'bo 略彴
'lue'chuo 略绰
'lue'di 略地
'lue'duo 掠夺
'lue'duo 掠掇
'lue'kao 掠考
'lue'li 掠理
'lue'lu 掠卤
'lue'lue 略略
'lue'mai 略卖
'lue'mei 掠美
'lue'ren 略人
'lue'tang 略塘
'lue'tou 掠头
'lue'xu'han 掠虚汉
'lue'yang 略阳
'lue'zhi 掠治
'lue'zi 掠子
'lun'ai 沦蔼
'lun'ban 轮班
'lun'bi 伦比
'lun'bian 论辨
'lun'bian 轮扁
'lun'bin 轮豳
'lun'bo 沦薄
'lun'bo'zhou 沦波舟
'lun'bu 纶布
'lun'cai 抡材
'lun'cai 轮彩
'lun'cai'da'dian 抡才大典
'lun'cang 轮藏
'lun'chang 伦常
'lun'chong 轮充
'lun'chuan 轮船
'lun'ci 伦次
'lun'ci 论次
'lun'dao 轮刀
'lun'deng 轮灯
'lun'du 论笃
'lun'dui 轮对
'lun'fan 轮番
'lun'fu 伦肤
'lun'fu 纶綍
'lun'gai 轮盖
'lun'gao 纶诰
'lun'ge 纶阁
'lun'guo 轮郭
'lun'heng 论衡
'lun'hou 伦侯
'lun'huan 轮奂
'lun'huan 轮环
'lun'huang'shu'hei 论黄数黑
'lun'hui 轮回
'lun'ji'jia'sui 沦肌浃髓
'lun'jian 伦鉴
'lun'jun 仑菌
'lun'jun 碖碅
'lun'kuang 沦旷
'lun'kui 抡魁
'lun'lei 伦类
'lun'li 伦理
'lun'lian 纶连
'lun'liang 论量
'lun'lie 论列
'lun'luo 沦落
'lun'mo 沦没
'lun'nan 论难
'lun'pi 伦匹
'lun'qun 纶囷
'lun'qun 轮囷
'lun'ren 轮人
'lun'sang 沦丧
'lun'shan 轮扇
'lun'shi 纶氏
'lun'shu 论输
'lun'si 论思
'lun'si 论死
'lun'tai 轮台
'lun'tai'zhao 轮台诏
'lun'tai'zi 轮台子
'lun'ti 轮蹄
'lun'tou 仑头
'lun'wang 沦亡
'lun'wang 轮王
'lun'xian 沦陷
'lun'xiang 轮相
'lun'xu 伦绪
'lun'xu 沦胥
'lun'xuan 轮轩
'lun'yan 纶言
'lun'yang 轮鞅
'lun'yi 沦夷
'lun'yi 沦漪
'lun'yi 沦翳
'lun'yin 沦阴
'lun'yin 纶音
'lun'yin'dang 纶音档
'lun'yu 论语
'lun'yu 轮舆
'lun'yu'zheng'yi 论语正义
'lun'zan 论赞
'lun'zang 论藏
'lun'zhi 纶至
'lun'zhi 轮直
'lun'zhu 论著
'lun'zhuan 轮转
'lun'zhui 沦坠
'luo'bai 罗拜
'luo'bei 螺杯
'luo'bi 落笔
'luo'bo 萝卜
'luo'bo 落泊
'luo'bo 落薄
'luo'bu 罗部
'luo'bu 裸步
'luo'bu 躶步
'luo'bu'po 罗布泊
'luo'cao 落草
'luo'cha 洛叉
'luo'cha 罗刹
'luo'cha 罗剎
'luo'cha'jiang 罗刹江
'luo'cha'jiang 罗剎江
'luo'cheng 倮裎
'luo'cheng 洛成
'luo'cheng 罗城
'luo'cheng 落成
'luo'cheng 裸裎
'luo'cheng 雒城
'luo'chi 罗池
'luo'chong 倮虫
'luo'chong 臝虫
'luo'chong 蠃虫
'luo'chong 裸虫
'luo'chuan 洛川
'luo'chuan 裸川
'luo'ci 罗次
'luo'cong'yan 罗从彦
'luo'dai 罗带
'luo'dai 螺黛
'luo'dan 落胆
'luo'dang 洛党
'luo'di 络鞮
'luo'di 落地
'luo'di 落第
'luo'dian 螺蜔
'luo'dian 螺钿
'luo'diao'shi'yu 落雕侍御
'luo'diao'shi'yu 落鵰侍御
'luo'ding 罗定
'luo'dou 洛都
'luo'du 落度
'luo'fa 落发
'luo'fei 洛妃
'luo'feng 罗酆
'luo'fu 罗敷
'luo'fu 罗浮
'luo'fu'chun 罗浮春
'luo'fu'meng 罗浮梦
'luo'gang 骡纲
'luo'gao 洛诰
'luo'gu 落姑
'luo'guan'zhong 罗贯中
'luo'guo 倮国
'luo'guo 裸国
'luo'hai 蠃醢
'luo'han 罗含
'luo'han 罗汉
'luo'han'cai 罗汉菜
'luo'hao 萝蒿
'luo'he 洛河
'luo'he'shan 落翮山
'luo'hei'hei 罗黑黑
'luo'hong 落红
'luo'hong'qu 罗唝曲
'luo'hong'xian 罗洪先
'luo'hou 罗睺
'luo'hou 落后
'luo'hou'luo 罗睺罗
'luo'hu'xu 捋虎须
'luo'hua 洛花
'luo'hua'liu'shui 落花流水
'luo'hua'sheng 落花生
'luo'huang 落荒
'luo'hui 落晖
'luo'hui 落辉
'luo'ji 落漈
'luo'ji 落籍
'luo'ji 螺髻
'luo'ji'xian'ren 螺髻仙人
'luo'jia'dian 罗伽甸
'luo'jia'shan 洛迦山
'luo'jian 洛涧
'luo'jiang 雒江
'luo'jin 罗锦
'luo'jing 洛京
'luo'jing 落景
'luo'jing'xia'shi 落穽下石
'luo'jing'xia'shi 落阱下石
'luo'ju 落句
'luo'juan 落卷
'luo'kong 落空
'luo'kou 洛口
'luo'kou'cang 洛口仓
'luo'kuan 落款
'luo'kui 落葵
'luo'lan'che 臝兰车
'luo'lan'che 裸兰车
'luo'le 罗勒
'luo'le 萝艻
'luo'li 瘰疬
'luo'li 雒离
'luo'lie 罗列
'luo'lin 罗鳞
'luo'lu 珞琭
'luo'lun 罗伦
'luo'luo 珞珞
'luo'luo 罗罗
'luo'luo 荦荦
'luo'luo 落落
'luo'luo'mu'mu 落落穆穆
'luo'lv 罗缕
'luo'lv 骡驴
'luo'mai 倮麦
'luo'mao 落帽
'luo'mei'feng 落梅风
'luo'mei'hua 落梅花
'luo'men 落门
'luo'min 雒民
'luo'mo 萝藦
'luo'mo 落墨
'luo'mo 落漠
'luo'mo 落莫
'luo'mu 络幕
'luo'mu 络縸
'luo'mu 蠃母
'luo'nan 雒南
'luo'pin 罗聘
'luo'pin 雒嫔
'luo'ping 罗平
'luo'po 罗婆
'luo'po 落魄
'luo'pou 罗裒
'luo'pu 洛浦
'luo'qian'ji'wang 罗钳吉网
'luo'qiao'shi 落峭石
'luo'qin'shun 罗钦顺
'luo'qing 螺青
'luo'que 荦确
'luo'que'jue'shu 罗雀掘鼠
'luo'rong 雒容
'luo'ru'cai 罗汝才
'luo'ru'fang 罗汝芳
'luo'ru'hua 洛如花
'luo'rui 洛汭
'luo'rui 罗汭
'luo'rui 雒汭
'luo'shan 罗山
'luo'shang 罗尚
'luo'she 罗阇
'luo'shen 洛神
'luo'shen'fu 洛神赋
'luo'shen'zhu 洛神珠
'luo'sheng'yong 洛生咏
'luo'shi 洛师
'luo'shi 洛食
'luo'shi 罗氏
'luo'shi 落时
'luo'shi'lin 罗士琳
'luo'shou 倮兽
'luo'shou 螺首
'luo'shu 洛书
'luo'shui 泺水
'luo'shui 漯水
'luo'si 洛涘
'luo'si 螺蛳
'luo'si'niang 络丝娘
'luo'song 洛诵
'luo'song 雒诵
'luo'su 落苏
'luo'suo 啰唆
'luo'suo 落索
'luo'suo 逻娑
'luo'suo 逻所
'luo'suo 逻逤
'luo'suo'cao 逻逤槽
'luo'suo'tan 逻逤檀
'luo'tang 落棠
'luo'tang 雒棠
'luo'tang'ji 落汤鸡
'luo'tang'pang'xie 落汤螃蟹
'luo'tian 罗田
'luo'tian 雒田
'luo'tian'da'jiao 罗天大醮
'luo'ting 罗亭
'luo'tong 洛通
'luo'tou 络头
'luo'tuo 落托
'luo'tuo 落拓
'luo'wa 啰瓦
'luo'wang 罗网
'luo'wang'zi 罗望子
'luo'wei 络纬
'luo'wen 罗纹
'luo'wen'yan 罗纹砚
'luo'wu 臝物
'luo'wu 裸物
'luo'xi 渃溪
'luo'xi'shi 罗希奭
'luo'xia 落霞
'luo'xia'hong 洛下闳
'luo'xia'hong 落下闳
'luo'xian 雒县
'luo'xiao 罗霄
'luo'xing 臝行
'luo'xing 裸行
'luo'xing'lou 落星楼
'luo'xing'shi 落星石
'luo'xiu 络秀
'luo'xu 落絮
'luo'xu'qian 捋须钱
'luo'xuan 螺旋
'luo'xue 洛学
'luo'yan 罗堰
'luo'yan'shen'yu 落雁沈鱼
'luo'yang 洛阳
'luo'yang 雒阳
'luo'yang'hua 洛阳花
'luo'yang'jiang 洛阳江
'luo'yang'jiang 罗阳江
'luo'yang'jin'shen'jiu'wen'ji 洛阳缙绅旧闻记
'luo'yang'ming'yuan'ji 洛阳名园记
'luo'yang'mu'dan'ji 洛阳牡丹记
'luo'yang'qiao 洛阳桥
'luo'yang'qie'lan'ji 洛阳伽蓝记
'luo'yang'zhi'gui 洛阳纸贵
'luo'yi 洛邑
'luo'yi 络绎
'luo'yi 落驿
'luo'yi'qing 罗衣轻
'luo'yin 漯阴
'luo'yin 罗闉
'luo'yin 罗隐
'luo'yin 雒阴
'luo'ying 落英
'luo'you'gao 罗有高
'luo'you'guan 裸游馆
'luo'yu 蠃鱼
'luo'yuan 罗愿
'luo'yuan 罗源
'luo'yue 萝月
'luo'zang 臝葬
'luo'zang 裸葬
'luo'zao 啰唣
'luo'zhai 罗斋
'luo'zhao 落照
'luo'zhi 罗织
'luo'zhi 落职
'luo'zhong 洛钟
'luo'zhou 螺舟
'luo'zi 逻子
'luo'zi'dai 螺子黛
'luo'zi'jun 骡子军
'luo'zi'mo 螺子墨
'luo'zu 罗祖
'luo'zu 逻卒
'lv'ao 旅獒
'lv'ben 旅贲
'lv'bin 率宾
'lv'bin 率滨
'lv'bin 绿鬓
'lv'bing 履冰
'lv'bo 履薄
'lv'bu 吕布
'lv'bu'wei 吕不韦
'lv'cai 吕才
'lv'cang 律藏
'lv'chang 履长
'lv'che 绿车
'lv'chen 吕臣
'lv'chen 旅榇
'lv'cheng 吕城
'lv'cheng 旅程
'lv'cheng 驴城
'lv'chi 律尺
'lv'chou 旅酬
'lv'chun 驴唇
'lv'chun'ma'zui 驴唇马嘴
'lv'ci 旅次
'lv'cui 嵂崒
'lv'da'fang 吕大防
'lv'dai 履戴
'lv'dao 履道
'lv'dian 旅店
'lv'dong'bin 吕洞宾
'lv'dou 稆豆
'lv'dou 绿豆
'lv'du 律度
'lv'duan 吕端
'lv'duan 履端
'lv'e 绿蛾
'lv'e'mei 绿萼梅
'lv'er 绿耳
