'a'ba'ka'wei 阿巴卡韦
'ben'ding'suan'dan'jie 苯丁酸氮芥
'ben'hai'la'ming 苯海拉明
'ben'hai'suo 苯海索
'ben'jia'suan'ci'er'chun 苯甲酸雌二醇
'ben'tuo'ying'na 苯妥英钠
'ben'xi'lu'an 苯西卤铵
'ben'xiu'ma'long 苯溴马隆
'ben'yi'shuang'gua 苯乙双胍
'ben'zha'bei'te 苯扎贝特
'ben'zuo'xi'lin 苯唑西林
'bi'bei'di'er 吡贝地尔
'bi'ge'lie'tong 吡格列酮
'bi'ka'lu'an 比卡鲁胺
'bi'kui'tong 吡喹酮
'bi'la'xi'tan 吡拉西坦
'bi'liu'chun 吡硫醇
'bi'luo'xi'kang 吡罗昔康
'bi'ma'you 蓖麻油
'bi'nuo'ke'xin 吡诺克辛
'bi'qin'xian'an 吡嗪酰胺
'bi'rou'bi'xing 吡柔比星
'bi'suo'luo'er 比索洛尔
'bian'xing'qing'mei'su 苄星青霉素
'biao'zhun'tao'jin'niang'you 标准桃金娘油
'bie'piao'chun 别嘌醇
'bing'an'xian'gu'an'xian'an 丙氨酰谷氨酰胺
'bing'bi'an 丙吡胺
'bing'bo'fen 丙泊酚
'bing'huang'shu 丙磺舒
'bing'ka'te'luo 丙卡特罗
'bing'liu'yang'mi'ding 丙硫氧嘧啶
'bing'liu'yi'yan'an 丙硫异烟胺
'bing'mi'qin 丙米嗪
'bing'suan'bei'lv'mi'song 丙酸倍氯米松
'bing'suan'fu'ti'ka'song 丙酸氟替卡松
'bing'suan'gao'tong 丙酸睾酮
'bing'suan'lv'bei'ta'suo 丙酸氯倍他索
'bing'wu'suan'na 丙戊酸钠
'bing'wu'xian'an 丙戊酰胺
'bo'an'kui 伯氨喹
'bo'li'suan'mei 玻璃酸酶
'bo'ti'dan'kang 波替单抗
'bu'bi'ka'yin 布比卡因
'bu'di'nai'de 布地奈德
'bu'gui'qin 布桂嗪
'bu'lin'zuo'an 布林佐胺
'bu'luo'fen 布洛芬
'bu'mei'ta'ni 布美他尼
'cha'ben'hai'ming 茶苯海明
'cha'jian 茶碱
'chang'chun'di'xin 长春地辛
'chang'chun'jian 长春碱
'chang'chun'rui'bin 长春瑞宾
'chang'chun'xin'jian 长春新碱
'chang'nei'ying'yang'ji 肠内营养剂
'chong'zu'ren 重组人
'chong'zu'ren'sheng'zhang'ji'su 重组人生长激素
'chuan'hu'ning 穿琥宁
'chuan'xiong'qin 川芎嗪
'chui'ti'hou'ye 垂体后叶
'ci'er'chun 雌二醇
'ci'ji'su 雌激素
'ci'mei'shi'zi'suan'bi 次没食子酸铋
'ci'mo'si'ting 雌莫司汀
'ci'san'chun 雌三醇
'ci'xiao'suan'bi 次硝酸铋
'cu'gan'xi'bao'sheng'zhang'su 促肝细胞生长素
'cu'pi'zhi'su 促皮质素
'cu'suan'gai 醋酸钙
'cu'xiao'xiang'dou'su 醋硝香豆素
'da'gan'su 达肝素
'da'guan'mei'su 大观霉素
'da'na'zuo 达那唑
'dan'an'suan'dan'jian 蛋氨酸胆碱
'dan'jia 氮甲
'dan'jie 氮芥
'dan'shen'tong 丹参酮
'dan'xiao'suan'yi'shan'li'zhi 单硝酸异山梨酯
'dan'ying'pu'an 胆影葡胺
'dan'zhuo'si'ting 氮卓斯汀
'di'ao'si'ming 地奥司明
'di'ba'zuo 地巴唑
'di'en'fen 地蒽酚
'di'er'liu 地尔硫
'di'fen'ni'duo 地芬尼多
'di'fen'nuo'zhi 地芬诺酯
'di'fen'zi'liang'gan'su 低分子量肝素
'di'gao'xin 地高辛
'di'lv'lei'ta'ding 地氯雷他定
'di'pi'fu'lin 地匹福林
'di'qu'yun'tong 地屈孕酮
'di'sai'mi'song 地塞米松
'di'xi'pan 地西泮
'dian'ben'zhi 碘苯酯
'dian'bi'chun 碘比醇
'dian'ding 碘酊
'dian'fan'suan 碘番酸
'dian'fen'mei 淀粉酶
'dian'fo'chun 碘佛醇
'dian'gan 碘苷
'dian'gan'you 碘甘油
'dian'hai'chun 碘海醇
'dian'hua'you 碘化油
'dian'jie'lin'ding 碘解磷定
'dian'pa'chun 碘帕醇
'dian'pu'luo'an 碘普罗胺
'dian'qie 颠茄
'dian'sai'luo'ning 碘塞罗宁
'dian'yu'hong 靛玉红
'ding'bing'nuo'fei 丁丙诺啡
'ding'ge'di'er 丁咯地尔
'ding'luo'huan'tong 丁螺环酮
'ding'suan'qing'hua'ke'di'song 丁酸氢化可的松
'ding'xiang'luo'le'you 丁香罗勒油
'dong'lang'dang'jian 东莨菪碱
'du'mao'hua'gan 毒毛花苷
'dui'an'ji'shui'yang'suan'na 对氨基水杨酸钠
'dui'yi'xian'an'ji'fen 对乙酰氨基酚
'duo'ba'an 多巴胺
'duo'ba'fen'ding'an 多巴酚丁胺
'duo'ba'si'jing 多巴丝肼
'duo'huang'suan'nian'duo'tang 多磺酸粘多糖
'duo'nian'jun'su 多粘菌素
'duo'pan'li'tong 多潘立酮
'duo'rou'bi'xing 多柔比星
'duo'sai'ping 多塞平
'duo'sha'pu'lun 多沙普仑
'duo'sha'zuo'qin 多沙唑嗪
'duo'suo'cha'jian 多索茶碱
'duo'xi'huan'su 多西环素
'duo'xi'lin'zhi'xian'dan'jian 多烯磷脂酰胆碱
'duo'xi'suan'yi'zhi 多烯酸乙酯
'duo'xi'ta'sai 多西他赛
'duo'xi'zi'shan'chun 多西紫杉醇
'e'bei'sha'tan 厄贝沙坦
'e'ta'pei'nan 厄他培南
'en'fu'wan 恩氟烷
'en'ta'ka'peng 恩他卡朋
'en'ti'ka'wei 恩替卡韦
'er'bi'hou'ke'yong'yao 耳鼻喉科用药
'er'jia'fu'lin 二甲弗林
'er'jia'gui'you 二甲硅油
'er'jia'shuang'gua 二甲双胍
'er'liu'hua'xi 二硫化硒
'er'qiang'bing'cha'jian 二羟丙茶碱
'er'qiang'er'ding'ji'mi 二羟二丁基醚
'er'qiu'bing'chun 二巯丙醇
'er'qiu'bing'huang'na 二巯丙磺钠
'er'qiu'ding'er'na 二巯丁二钠
'er'qiu'ding'er'suan 二巯丁二酸
'er'yang'bing'qin 二氧丙嗪
'fa'mo'ti'ding 法莫替丁
'fa'shu'di'er 法舒地尔
'fa'xi'luo'wei 伐昔洛韦
'fan'xi'luo'wei 泛昔洛韦
'fan'ying'pu'an 泛影葡胺
'fang'xian'jun'su 放线菌素
'fei'luo'di'ping 非洛地平
'fei'na'xiong'an 非那雄胺
'fei'nuo'bei'te 非诺贝特
'fen'bian'ming 酚苄明
'fen'huang'yi'an 酚磺乙胺
'fen'nai'jing 奋乃静
'fen'tai 酚酞
'fen'tai'ni 芬太尼
'fen'tuo'la'ming 酚妥拉明
'fu'bao'mi'ding 氟胞嘧啶
'fu'da'la'bin 氟达拉滨
'fu'fa'ta'ting 氟伐他汀
'fu'fang'e'zhu'you'shuan 复方莪术油栓
'fu'fang'gan'cao 复方甘草
'fu'fang'lv'ji'ding 复方氯己定
'fu'fang'peng'sha 复方硼砂
'fu'fang'xiu'bing'an'tai'lin'lv'mei 复方溴丙胺太林铝镁
'fu'fen'na'suan 氟芬那酸
'fu'fen'nai'jing 氟奋乃静
'fu'ge'lie'bo'tang 伏格列波糖
'fu'jia'song'long 氟甲松龙
'fu'kang'zuo 氟康唑
'fu'li'kang'zuo 伏立康唑
'fu'luo'sha'xing 氟罗沙星
'fu'lv'xi'lin 氟氯西林
'fu'ma'suan'ya'tie 富马酸亚铁
'fu'ma'xi'ni 氟马西尼
'fu'mei 辅酶
'fu'mei'tan 福美坦
'fu'mo'si'ting 福莫司汀
'fu'mo'te'luo 福莫特罗
'fu'nan'tuo'yin 呋喃妥因
'fu'nan'zuo'tong 呋喃唑酮
'fu'niao'mi'ding 氟尿嘧啶
'fu'pai'ding'chun 氟哌啶醇
'fu'pai'li'duo 氟哌利多
'fu'pai'sai'dun 氟哌噻吨
'fu'pai'sai'dun'mei'li'qu'xin 氟哌噻吨美利曲辛
'fu'qing'song 氟轻松
'fu'sai'mi 呋塞米
'fu'ta'an 氟他胺
'fu'xi'di'suan 夫西地酸
'fu'xi'pan 氟西泮
'fu'xi'ting 氟西汀
'fu'xin'pu'li 福辛普利
'ga'pen'suan'pu'an 钆喷酸葡胺
'ga'shuang'an 钆双胺
'gai'wei'ping 盖胃平
'gan'an'shuang'zuo'na 甘氨双唑钠
'gan'bi'mei 甘铋镁
'gan'cao'suan'dan'an 甘草酸单铵
'gan'cao'suan'er'an 甘草酸二铵
'gan'cao'tian'su 甘草甜素
'gan'jiao'mu 干酵母
'gan'jin'gao 肝浸膏
'gan'lin'xian'jie 甘磷酰芥
'gan'lu'chun 甘露醇
'gan'lu'ju'tang'tai 甘露聚糖肽
'gan'rao'su 干扰素
'gan'su 肝素
'gan'you 甘油
'gan'you'guo'tang 甘油果糖
'gan'you'lin'suan'na 甘油磷酸钠
'gan'you'lv'hua'na 甘油氯化钠
'gao'meng'suan'jia 高锰酸钾
'ge'la'si'qiong 格拉司琼
'ge'lie'ben'niao 格列本脲
'ge'lie'bi'qin 格列吡嗪
'ge'lie'kui'tong 格列喹酮
'ge'lie'mei'niao 格列美脲
'ge'lie'qi'te 格列齐特
'ge'she'rui'lin 戈舍瑞林
'geng'xi'luo'wei 更昔洛韦
'gu'an'suan 谷氨酸
'gu'an'xian'an 谷氨酰胺
'gu'guang'gan'tai 谷胱甘肽
'gu'hua'san'chun 骨化三醇
'gu'wei'su 谷维素
'guang'an'suan 胱氨酸
'gui'jiang'gai'su 鲑降钙素
'gui'jiu'du'su 鬼臼毒素
'gui'li'qin 桂利嗪
'gui'pai'qi'te 桂哌齐特
'guo'tang 果糖
'guo'tang'er'lin'suan'na 果糖二磷酸钠
'guo'yang'hua'qing 过氧化氢
'ha'xi'nai'de 哈西奈德
'hao'jia'mi 蒿甲醚
'he'lao 核酪
'he'tang'he'suan 核糖核酸
'he'tang'mei'su 核糖霉素
'hong'mei'su 红霉素
'hong'xi'bao'sheng'cheng'su 红细胞生成素
'hu'po'suan'ya'tie 琥珀酸亚铁
'hu'po'xian'ming'jiao 琥珀酰明胶
'hu'yi'hong'mei'su 琥乙红霉素
'hua'fa'lin 华法林
'huan'bao'su 环孢素
'huan'bi'tong'an 环吡酮胺
'huan'bing'sha'xing 环丙沙星
'huan'lin'xian'an 环磷酰胺
'huan'lin'xian'gan 环磷腺苷
'huan'wu'liu'tong 环戊硫酮
'huan'zhi'hong'mei'su 环酯红霉素
'huang'an'cu'xian'na 磺胺醋酰钠
'huang'an'jia'e'zuo 磺胺甲噁唑
'huang'an'jia'e'zuo'jia'yang'bian'ding 磺胺甲噁唑甲氧苄啶
'huang'an'mi'ding 磺胺嘧啶
'huang'an'mi'ding'xin 磺胺嘧啶锌
'huang'an'mi'ding'yin 磺胺嘧啶银
'huang'ti'tong 黄体酮
'huang'tong'pai'zhi 黄酮哌酯
'hui'la'xi'tan 茴拉西坦
'hui'san'liu 茴三硫
'ji'fa'zhi 吉法酯
'ji'fei'luo'qi 吉非罗齐
'ji'fei'ti'ni 吉非替尼
'ji'gan 肌苷
'ji'mi'sha'xing 吉米沙星
'ji'suan'qiang'yun'tong 己酸羟孕酮
'ji'tong'ke'ke'jian 己酮可可碱
'ji'xi'ci'fen 己烯雌酚
'ji'xi'ta'bin 吉西他滨
'jia'an'die'ling 甲氨蝶呤
'jia'bei'zhi 加贝酯
'jia'ben'huang'ding'niao 甲苯磺丁脲
'jia'ben'mi'zuo 甲苯咪唑
'jia'di'yun'tong 甲地孕酮
'jia'feng'mei'su 甲砜霉素
'jia'gao'tong 甲睾酮
'jia'gu'an 甲钴胺
'jia'ji'duo'ba 甲基多巴
'jia'lan'ta'min 加兰他敏
'jia'lv'fen'zhi 甲氯芬酯
'jia'nai'qing'kun 甲萘氢醌
'jia'po'ni'long 甲泼尼龙
'jia'qiang'yun'tong 甲羟孕酮
'jia'qiu'mi'zuo 甲巯咪唑
'jia'ti'sha'xing 加替沙星
'jia'xiao'zuo 甲硝唑
'jia'yang'lv'pu'an 甲氧氯普胺
'jia'yang'na'ming 甲氧那明
'jia'yang'sha'lin 甲氧沙林
'jia'yi'dian 甲异靛
'jia'zhuang'xian 甲状腺
'jian'qiang'an 间羟胺
'jiang'xian'mei 降纤酶
'jiang'ya'ling 降压灵
'jiao'cai'suan'zhi 角菜酸酯
'jiao'ti'guo'jiao'bi 胶体果胶铋
'jin'gang'wan'an 金刚烷胺
'jin'mei'su 金霉素
'jin'nuo'fen 金诺芬
'jing'an'suan 精氨酸
'ju'ji'bao 聚肌胞
'ju'jia'fen'huang'quan 聚甲酚磺醛
'ju'wei'tong'dian 聚维酮碘
'ju'yi'er'chun 聚乙二醇
'ju'yuan'suan'bi'jia 枸橼酸铋钾
'ju'yuan'suan'gai 枸橼酸钙
'ju'yuan'suan'jia 枸橼酸钾
'ka'ba'dan'jian 卡巴胆碱
'ka'bi'duo'ba 卡比多巴
'ka'bo 卡铂
'ka'bo'fen'jing 卡泊芬净
'ka'bo'mu 卡波姆
'ka'bo'san'chun 卡泊三醇
'ka'ma'xi'ping 卡马西平
'ka'mo'fu 卡莫氟
'ka'mo'si'ting 卡莫司汀
'ka'na'mei'su 卡那霉素
'ka'pei'ta'bin 卡培他滨
'ka'qian'lie'jia'zhi 卡前列甲酯
'ka'qian'lie'su'an'ding'san'chun 卡前列素氨丁三醇
'ka'ti'luo'er 卡替洛尔
'ka'tuo'pu'li 卡托普利
'ka'wei'di'luo 卡维地洛
'kai'sai'lu 开塞露
'kan'di'sha'tan'zhi 坎地沙坦酯
'kang'suan'mo'mi'song 糠酸莫米松
'kang'xue'you'bing'qiu'dan'bai 抗血友病球蛋白
'kang'zai'chun 糠甾醇
'ke'dai'yin 可待因
'ke'di'song 可的松
'ke'la'mei'su 克拉霉素
'ke'le'ding 可乐定
'ke'lin'mei'su 克林霉素
'ke'lin'mei'su'lin'suan'zhi 克林霉素磷酸酯
'ke'lun'te'luo 克仑特罗
'ke'luo'mi'tong 克罗米通
'ke'mei'zuo 克霉唑
'ku'cao'gan'jun 枯草杆菌
'kui'liu'ping 喹硫平
'kui'ni'ding 奎尼丁
'kui'ning 奎宁
'la'bei'luo'er 拉贝洛尔
'la'mi'fu'ding 拉米夫定
'la'mo'san'qin 拉莫三嗪
'la'tan'qian'lie'su 拉坦前列素
'la'xi'di'ping 拉西地平
'la'yang'tou'bao 拉氧头孢
'lai'fu'mi'te 来氟米特
'lai'nuo'pu'li 赖诺普利
'lai'qu'zuo 来曲唑
'lan'suo'la'zuo 兰索拉唑
'lao'la'xi'pan 劳拉西泮
'le'ka'di'ping 乐卡地平
'lei'bei'la'zuo 雷贝拉唑
'lei'gong'teng'duo'gan 雷公藤多苷
'lei'luo'xi'fen 雷洛昔芬
'lei'mi'pu'li 雷米普利
'lei'ni'ti'ding 雷尼替丁
'li'ba'wei'lin 利巴韦林
'li'duo'ka'yin 利多卡因
'li'fu'ding 利福定
'li'fu'ping 利福平
'li'fu'xi'ming 利福昔明
'li'pei'tong 利培酮
'li'tuo'na'wei 利托那韦
'li'tuo'xi'dan'kang 利妥昔单抗
'li'xi'bao'ji'luo'ci'ji'yin'zi 粒细胞集落刺激因子
'li'xue'ping 利血平
'lian'ben'bian'zuo 联苯苄唑
'lian'ben'shuang'zhi 联苯双酯
'lian'ji'mei 链激酶
'lian'mei'su 链霉素
'liang'bing'rui'lin 亮丙瑞林
'liang'xing'mei'su 两性霉素
'lin'dan 林旦
'lin'jia'suan'na 膦甲酸钠
'lin'mei'su 磷霉素
'lin'suan'qing'jia 磷酸氢钾
'lin'suan'qing'na 磷酸氢钠
'liu'bi'li 硫必利
'liu'dai'liu'suan'na 硫代硫酸钠
'liu'dan'huang'bi'ding 柳氮磺吡啶
'liu'jia'mi'an 六甲蜜胺
'liu'li'da'qin 硫利达嗪
'liu'niao'piao'ling 硫鸟嘌呤
'liu'pu'luo'ning 硫普罗宁
'liu'suan'bei 硫酸钡
'liu'suan'mei 硫酸镁
'liu'suan'na 硫酸钠
'liu'suan'xin 硫酸锌
'liu'tang'lv 硫糖铝
'liu'zuo'piao'ling 硫唑嘌呤
'lu'ding 芦丁
'lu'gan'shi 炉甘石
'lu'mi'song 卤米松
'luo'bei'lin 洛贝林
'luo'bo 洛铂
'luo'du'sha'an 洛度沙胺
'luo'fa'ta'ting 洛伐他汀
'luo'ge'lie'tong 罗格列酮
'luo'hong'mei'su 罗红霉素
'luo'ku'xiu'an 罗库溴铵
'luo'mei'sha'xing 洛美沙星
'luo'mo'si'ting 洛莫司汀
'luo'nei'zhi 螺内酯
'luo'pai'ding'an 洛哌丁胺
'luo'pai'ka'yin 罗哌卡因
'luo'suo'luo'fen 洛索洛芬
'lv'an'tong 氯胺酮
'lv'ben'na'min 氯苯那敏
'lv'bi'ge'lei 氯吡格雷
'lv'bing'na'lin 氯丙那林
'lv'bing'qin 氯丙嗪
'lv'dan'ping 氯氮平
'lv'fa'qi'ming 氯法齐明
'lv'hua'an 氯化铵
'lv'hua'gai 氯化钙
'lv'hua'hu'po'dan'jian 氯化琥珀胆碱
'lv'hua'jia 氯化钾
'lv'hua'na 氯化钠
'lv'jie'lin'ding 氯解磷定
'lv'kui 氯喹
'lv'lei'ta'ding 氯雷他定
'lv'lin'suan'er'na 氯膦酸二钠
'lv'mei'jia 铝镁加
'lv'mei'su 氯霉素
'lv'mei'zha'tong 氯美扎酮
'lv'mi'fen 氯米芬
'lv'mi'pa'ming 氯米帕明
'lv'nuo'xi'kang 氯诺昔康
'lv'pu'sai'dun 氯普噻吨
'lv'sha'tan'jia 氯沙坦钾
'lv'suan'bi 铝酸铋
'lv'tan'suan'mei 铝碳酸镁
'lv'xiao'xi'pan 氯硝西泮
'lv'zuo'sha'zong 氯唑沙宗
'lv'zuo'xi'lin 氯唑西林
'ma'fei 吗啡
'ma'huang'jian 麻黄碱
'ma'lv'bei'an 吗氯贝胺
'ma'pu'ti'lin 马普替林
'ma'ti'mai'kao'fen'zhi 吗替麦考酚酯
'mai'jiao'an'ka'fei'yin 麦角胺咖啡因
'mai'jiao'xin'jian 麦角新碱
'mao'guo'yun'xiang'jian 毛果芸香碱
'mei'fa'lun 美法仑
'mei'jiao'you 煤焦油
'mei'luo'pei'nan 美罗培南
'mei'luo'xi'kang 美洛昔康
'mei'luo'xi'lin 美洛西林
'mei'sha'tong 美沙酮
'mei'si'na 美司钠
'mei'xi'lv 美西律
'mei'xin'zuo'tong 美辛唑酮
'men'dong'an'suan'jia'mei 门冬氨酸钾镁
'men'dong'an'suan'niao'an'suan 门冬氨酸鸟氨酸
'meng'lu'si'te'na 孟鲁司特钠
'meng'tuo'shi 蒙脱石
'mi'da'pu'li 咪达普利
'mi'da'zuo'lun 咪达唑仑
'mi'dan'bai'mei 糜蛋白酶
'mi'dan'ping 米氮平
'mi'duo'jun 米多君
'mi'fei'si'tong 米非司酮
'mi'ge'lai'ning 米格来宁
'mi'kang'zuo 咪康唑
'mi'kui'mo'te 咪喹莫特
'mi'li'nong 米力农
'mi'nuo'di'er 米诺地尔
'mi'nuo'huan'su 米诺环素
'mi'suo'qian'lie'chun 米索前列醇
'mi'tuo'en'kun 米托蒽醌
'mi'zuo'li'bin 咪唑立宾
'mi'zuo'si'ting 咪唑斯汀
'mo'lei'xi'qin 莫雷西嗪
'mo'pi'luo'xing 莫匹罗星
'mo'sha'bi'li 莫沙必利
'mo'xi'sha'xing 莫西沙星
'mu'xiang'lv'mei 木香铝镁
'na'luo'tong 纳洛酮
'na'mi'tan 纳米炭
'nai'ding'mei'tong 萘丁美酮
'nai'fei'na'wei 奈非那韦
'nai'jia'zuo'lin 萘甲唑啉
'nai'jia'zuo'lin 萘甲唑林
'nai'pu'sheng 萘普生
'nai'ti'mi'xing 奈替米星
'nai'wei'la'ping 奈韦拉平
'ni'er'ci'chun 尼尔雌醇
'ni'ka'di'ping 尼卡地平
'ni'ke'sha'mi 尼可刹米
'ni'mai'jiao'lin 尼麦角林
'ni'mei'shu'li 尼美舒利
'ni'mo'di'ping 尼莫地平
'ni'mo'si'ting 尼莫司汀
'ni'qun'di'ping 尼群地平
'nian'jun'su 粘菌素
'niao'cu'xing'su 尿促性素
'niao'ji'mei 尿激酶
'ning'xue'mei 凝血酶
'ning'xue'mei'yuan'fu'he'wu 凝血酶原复合物
'ning'xue'yin'zi 凝血因子
'nuo'fu'sha'xing 诺氟沙星
'pa'luo'xi'ting 帕罗西汀
'pa'mi'lin'suan'er'na 帕米膦酸二钠
'pa'ni'pei'nan 帕尼培南
'pa'zhu'sha'xing 帕珠沙星
'pai'bo'sai'qin 哌泊塞嗪
'pai'jia'zhi 哌甲酯
'pai'ku'xiu'an 哌库溴铵
'pai'kui 哌喹
'pai'la'xi'lin 哌拉西林
'pai'la'xi'lin'san'zuo'ba'tan 哌拉西林三唑巴坦
'pai'la'xi'lin'shu'ba'tan 哌拉西林舒巴坦
'pai'qin 哌嗪
'pai'ti'ding 哌替啶
'pai'zuo'qin 哌唑嗪
'pan'ku'xiu'an 泮库溴铵
'pan'tuo'la'zuo 泮托拉唑
'pei'duo'pu'li 培哚普利
'pei'fu'sha'xing 培氟沙星
'pei'gao'li'te 培高利特
'pen'tuo'wei'lin 喷托维林
'pen'xi'luo'wei 喷昔洛韦
'peng'suan 硼酸
'pi'wei'xiu'an 匹维溴铵
'ping'yang'mei'su 平阳霉素
'po'ni'song 泼尼松
'po'ni'song'long 泼尼松龙
'pu'fa'ta'ting 普伐他汀
'pu'la'gao'tong 普拉睾酮
'pu'la'luo'fen 普拉洛芬
'pu'lu'ka'yin 普鲁卡因
'pu'lu'ka'yin'qing'mei'su 普鲁卡因青霉素
'pu'luo'bu'kao 普罗布考
'pu'luo'ci'xi 普罗雌烯
'pu'luo'dian'an 普罗碘铵
'pu'luo'pa'tong 普罗帕酮
'pu'mi'tong 扑米酮
'pu'nai'luo'er 普萘洛尔
'pu'quan'nei'zhi 葡醛内酯
'pu'quan'suan'na 葡醛酸钠
'pu'shi'tai 普适泰
'pu'tao'tang 葡萄糖
'pu'tao'tang'suan'gai 葡萄糖酸钙
'pu'tao'tang'suan'ti'na 葡萄糖酸锑钠
'pu'tao'tang'suan'xin 葡萄糖酸锌
'pu'tao'tang'suan'ya'tie 葡萄糖酸亚铁
'qi'duo'fu'ding 齐多夫定
'qi'fu'wan 七氟烷
'qian'lie'di'er 前列地尔
'qiang'ben'huang'suan'gai 羟苯磺酸钙
'qiang'bian'zuo 羟苄唑
'qiang'ji'niao 羟基脲
'qiang'jia'yan'an 羟甲烟胺
'qiang'jia'zuo'lin 羟甲唑啉
'qiang'kao'tong 羟考酮
'qiang'lv'kui 羟氯喹
'qiang'qin 羟嗪
'qiang'xi'shu'jian 羟喜树碱
'qiang'yi'ji'dian'fen 羟乙基淀粉
'qiang'yi'lin'suan'na 羟乙膦酸钠
'qing'da'mei'su 庆大霉素
'qing'hao'hu'zhi 青蒿琥酯
'qing'hua'ke'di'song 氢化可的松
'qing'lv'sai'qin 氢氯噻嗪
'qing'mei'an 青霉胺
'qing'mei'su 青霉素
'qing'yang'hua'lv 氢氧化铝
'qiu'piao'ling 巯嘌呤
'qiu'shui'xian'jian 秋水仙碱
'qu'an'jia'ya'su 去氨加压素
'qu'an'nai'de 曲安奈德
'qu'an'xi'long 曲安西龙
'qu'bi'na'min 曲吡那敏
'qu'fu'qian'lie'su 曲伏前列素
'qu'jia'ban'mao'su 去甲斑蝥素
'qu'jia'shen'shang'xian'su 去甲肾上腺素
'qu'jia'wan'gu'mei'su 去甲万古霉素
'qu'ke'lu'ding 曲克芦丁
'qu'lv'qiang'qin 去氯羟嗪
'qu'ma'duo 曲马多
'qu'mei'bu'ting 曲美布汀
'qu'mei'ta'qin 曲美他嗪
'qu'pi'bu'tong 曲匹布通
'qu'pu'li'ding 曲普利啶
'qu'pu'rui'lin 曲普瑞林
'qu'qiang'ji'gan 去羟肌苷
