'an'bing'zhong'zu'fu'fei 按病种组付费
'pei'zhi'fu'zhu'qi'ju'dai'yu 配置辅助器具待遇
'ping'jun'jiao'fei'gong'zi'zhi'shu 平均缴费工资指数
'qi'fu'biao'zhun 起付标准
'qi'ye'nian'jin 企业年金
'qian'jiao'e 欠缴额
'quan'guo'she'hui'bao'zhang'ji'jin 全国社会保障基金
'sang'zang'bu'zhu'jin 丧葬补助金
'shang'can'jin'tie 伤残津贴
'she'hui'bao'xian 社会保险
'she'hui'bao'xian'dai'yu 社会保险待遇
'she'hui'bao'xian'dai'yu'ji'fu 社会保险待遇给付
'she'hui'bao'xian'dai'yu'shen'he 社会保险待遇审核
'she'hui'bao'xian'deng'ji 社会保险登记
'she'hui'bao'xian'fei 社会保险费
'she'hui'bao'xian'fei'xian'chang'jian'du 社会保险非现场监督
'she'hui'bao'xian'fei'zheng'jiao 社会保险费征缴
'she'hui'bao'xian'fei'zheng'shou'ji'gou 社会保险费征收机构
'she'hui'bao'xian'fu'wu 社会保险服务
'she'hui'bao'xian'guan'li'xin'xi'xi'tong 社会保险管理信息系统
'she'hui'bao'xian'guan'xi 社会保险关系
'she'hui'bao'xian'guan'xi'zhuan'yi'jie'xu 社会保险关系转移接续
'she'hui'bao'xian'ji'he 社会保险稽核
'she'hui'bao'xian'ji'jin 社会保险基金
'she'hui'bao'xian'ji'jin'dang'qi'jie'yu 社会保险基金当期结余
'she'hui'bao'xian'ji'jin'jie'yu 社会保险基金结余
'she'hui'bao'xian'ji'jin'jue'suan 社会保险基金决算
'she'hui'bao'xian'ji'jin'lei'ji'jie'yu 社会保险基金累计结余
'she'hui'bao'xian'ji'jin'shou'ru 社会保险基金收入
'she'hui'bao'xian'ji'jin'yu'suan 社会保险基金预算
'she'hui'bao'xian'ji'jin'zhi'chu 社会保险基金支出
'she'hui'bao'xian'jian'du 社会保险监督
'she'hui'bao'xian'jian'du'wei'yuan'hui 社会保险监督委员会
'she'hui'bao'xian'jing'ban 社会保险经办
'she'hui'bao'xian'jing'ban'ji'gou 社会保险经办机构
'she'hui'bao'xian'jing'ban'ren'yuan 社会保险经办人员
'she'hui'bao'xian'quan'yi 社会保险权益
'she'hui'bao'xian'quan'yi'ji'lu 社会保险权益记录
'she'hui'bao'xian'shen'bao 社会保险申报
'she'hui'bao'xian'xian'chang'jian'du 社会保险现场监督
'she'hui'bao'xian'xin'xi'hua 社会保险信息化
'she'hui'bao'xian'ye'wu'dang'an 社会保险业务档案
'she'hui'bao'xian'ye'wu'dang'an'li'yong 社会保险业务档案利用
'she'hui'bao'xian'zheng'shou 社会保险征收
'she'hui'bao'xian'zhi'du 社会保险制度
'she'hui'bao'xian'zi'xun'fu'wu 社会保险咨询服务
'she'hui'bao'zhang'hao'ma 社会保障号码
'she'hui'bao'zhang'ka 社会保障卡
'she'hui'bao'zhang'xin'xi'hua 社会保障信息化
'she'hui'hua'guan'li'fu'wu 社会化管理服务
'she'hui'jian'du 社会监督
'she'hui'tong'chou 社会统筹
'sheng'huo'hu'li'fei 生活护理费
'sheng'huo'zi'li'zhang'ai'cheng'du 生活自理障碍程度
'sheng'yu'bao'xian 生育保险
'sheng'yu'bao'xian'dai'yu 生育保险待遇
'shi'gu'shang'hai 事故伤害
'shi'jiao'e 实缴额
'shi'ye'bao'xian 失业保险
'shi'ye'bao'xian'dai'yu 失业保险待遇
'shou'ru'hu 收入户
'shou'yi'lv 收益率
'shou'yi'ren 受益人
'shou'zhi'liang'tiao'xian 收支两条线
'tiao'ji'jin 调剂金
'ting'gong'liu'xin'qi 停工留薪期
'tong'chou'yang'lao'jin 统筹养老金
'tong'zhang'jie'he 统账结合
'tui'yi'yang'lao'bao'xian'bu'zhu 退役养老保险补助
'xian'jin'dai'yu 现金待遇
'xin'xing'nong'cun'he'zuo'yi'liao 新型农村合作医疗
'xing'zheng'jian'du 行政监督
'yi'ci'xing'gong'shang'yi'liao'bu'zhu'jin 一次性工伤医疗补助金
'yi'ci'xing'gong'wang'bu'zhu'jin 一次性工亡补助金
'yi'ci'xing'shang'can'bu'zhu'jin 一次性伤残补助金
'yi'ci'xing'shang'can'jiu'ye'bu'zhu'jin 一次性伤残就业补助金
'yi'di'jie'suan 异地结算
'yi'di'jiu'yi 异地就医
'yi'liao'bao'xian'dui'can'bao'ren'guan'li 医疗保险对参保人管理
'yi'liao'bao'xian'fu'fei'guan'li 医疗保险付费管理
'yi'liao'bao'xian'guan'li'fu'wu'zu'zhi 医疗保险管理服务组织
'yi'liao'bao'xian'ji'jin'yu'suan 医疗保险基金预算
'yi'liao'bao'xian'ji'jin'yu'suan'guan'li 医疗保险基金预算管理
'yi'liao'bao'xian'zhi'fu'guan'li 医疗保险支付管理
'yi'liao'fei'yong'shen'he 医疗费用审核
'yin'gong'shang'can'dai'yu 因工伤残待遇
'ying'jiao'e 应缴额
'yu'jiao 预缴
'zheng'jiao'lv 征缴率
'zhi'chu'hu 支出户
'zhi'fu'zhi'du 支付制度
'zhi'gong'ji'ben'yang'lao'bao'xian 职工基本养老保险
'zhi'gong'ji'ben'yang'lao'bao'xian'dai'yu 职工基本养老保险待遇
'zhi'gong'ji'ben'yang'lao'bao'xian'fei 职工基本养老保险费
'zhi'gong'ji'ben'yang'lao'bao'xian'ji'jin 职工基本养老保险基金
'zhi'gong'ji'ben'yi'liao'bao'xian 职工基本医疗保险
'zhi'jie'jie'suan 直接结算
'zhi'na'jin 滞纳金
'zhi'shu'hua'yue'ping'jun'gong'zi 指数化月平均工资
'zhi'ye'bing 职业病
'zhi'ye'nian'jin 职业年金
'zhong'duan'she'hui'bao'xian'guan'xi 中断社会保险关系
'zhong'zhi'she'hui'bao'xian'guan'xi 终止社会保险关系
'zhu'xiao'deng'ji 注销登记
'zhu'yuan'huo'shi'bu'zhu'fei 住院伙食补助费
'zi'ge'tiao'jian 资格条件
'zong'e'yu'suan 总额预算
