'ai'guo'tong'yi'zhan'xian'zu'zhi 爱国统一战线组织
'cu'jin'zu'guo'he'ping'tong'yi 促进祖国和平统一
'cu'jin'zu'guo'tong'yi 促进祖国统一
'cun'zai'he'fa'zhan 存在和发展
'da'dan'shi'yan 大胆试验
'da'fu'ti'sheng 大幅提升
'da'li'shi'shi 大力实施
'da'xing'qiu'zhen'wu'shi'zhi'feng 大兴求真务实之风
'dai'biao'ren'min'zhi'zheng 代表人民执政
'dai'biao'ren'shi 代表人士
'dang'de'jian'she 党的建设
'dang'de'jian'she'li'lun 党的建设理论
'dang'de'xian'jin'xing'jian'she 党的先进性建设
'dang'de'xian'qi 党的县旗
'dang'de'zong'jiao'zheng'ce 党的宗教政策
'dang'feng'jian'du'yuan 党风监督员
'dang'feng'lian'zheng 党风廉政
'dang'feng'lian'zheng'fang'mian 党风廉政方面
'dang'feng'lian'zheng'jian'she 党风廉政建设
'dang'feng'wen'ti 党风问题
'dang'guan'gan'bu 党管干部
'dang'he'guo'jia'de 党和国家的
'dang'he'zheng'fu 党和政府
'dang'nei'jian'du 党内监督
'dang'wai'zhi'shi'fen'zi 党外知识分子
'dang'wai'zhi'shi'fen'zi'gong'zuo 党外知识分子工作
'dang'xing'xiu'yang 党性修养
'dang'yuan'xian'jin'xing 党员先进性
'dao'jiao'gong'guan 道教宫观
'dao'jiao'xie'hui 道教协会
'de'dao'gai'shan 得到改善
'de'dao'jia'qiang 得到加强
'de'dao'ti'gao 得到提高
'de'dao'zeng'qiang 得到增强
'de'zhu'ti 的主题
'deng'xiao'ping'li'lun 邓小平理论
'di'fang'wei'yuan'hui 地方委员会
'di'li'fen'jin 砥砺奋进
'di'yu'feng'xian 抵御风险
'dian'shang'chu'cai 点上出彩
'diao'cha'yan'jiu 调查研究
'dui'dang'zhong'cheng 对党忠诚
'dui'zong'jiao'shi'wu'de'guan'li 对宗教事务的管理
'duo'dang'he'zuo'he'zheng'zhi'xie'shang 多党合作和政治协商
'duo'dian'kai'hua 多点开花
'duo'xian'qiu'zhen'wu'shi'zhi'ce 多献求真务实之策
'duo'zuo'gong'xian 多做贡献
'duo'zuo'kai'tuo'chuang'xin'zhi'shi 多做开拓创新之事
'fa'hui'geng'da'zuo'yong 发挥更大作用
'fa'hui'min'zhu'jian'du'zuo'yong 发挥民主监督作用
'fa'yang'she'hui'zhu'yi'dao'de 发扬社会主义道德
'fa'zhan'liang'an'guan'xi 发展两岸关系
'fa'zhan'zhe'ge'di'yi'yao'wu 发展这个第一要务
'fa'zhan'zui'hao 发展最好
'fan'di'fan'feng'jian 反帝反封建
'fan'dui'fen'lie 反对分裂
'fan'fu'bai'gong'zuo 反腐败工作
'fan'rong'he'fa'zhan 繁荣和发展
'fei'gong'you'zhi'jing'ji'ren'shi 非公有制经济人士
'fei'gong'you'zhi'qi'ye 非公有制企业
'fen'dou'li'cheng 奋斗历程
'feng'fu'duo'cai 丰富多彩
'fo'jiao'si'yuan 佛教寺院
'fo'jiao'xie'hui 佛教协会
'fu'bai'xian'xiang 腐败现象
'fu'wu'da'ju 服务大局
'fu'wu'da'ju'cu'jian'she 服务大局促建设
'fu'wu'she'hui 服务社会
'fu'you'cheng'xiao 富有成效
'gai'jin'gong'zuo 改进工作
'gan'bu'guan'li'ti'zhi 干部管理体制
'gan'dong'zhen'ge 敢动真格
'gang'ao'tai'hai'wai 港澳台海外
'gang'ren'zhi'gang 港人治港
'gao'chao'die'qi 高潮迭起
'gao'du'zi'zhi 高度自治
'gao'su'zhi 高素质
'gao'wei'zeng'zhang 高位增长
'ge'bie'yun'niang 个别酝酿
'ge'lei'gong'shang'ye'zhe 各类工商业者
'ge'min'zhu'dang'pai 各民主党派
'ge'min'zu'gong'tong'fan'rong'jin'bu 各民族共同繁荣进步
'ge'min'zu'gong'tong'tuan'jie'fen'dou 各民族共同团结奋斗
'ge'shao'shu'min'zu'he'ge'jie'de'dai'biao 各少数民族和各界的代表
'ge'shao'shu'min'zu'zhi'jian 各少数民族之间
'ge'ti'lao'dong'zhe 个体劳动者
'gen'ben'ren'wu 根本任务
'geng'da'gong'xian 更大贡献
'geng'duo'zeng'jin 更多增进
'geng'jia'bian'li 更加便利
'geng'jia'cheng'shu 更加成熟
'geng'jia'ding'xing 更加定型
'geng'jia'duo'yuan 更加多元
'geng'jia'fan'rong 更加繁荣
'geng'jia'feng'fu 更加丰富
'geng'jia'gai'shan 更加改善
'geng'jia'gong'gu 更加巩固
'geng'jia'guang'fan 更加广泛
'geng'jia'he'xie 更加和谐
'geng'jia'jian'ding 更加坚定
'geng'jia'jian'qiang 更加坚强
'geng'jia'jian'shi 更加坚实
'geng'jia'jing'xi 更加精细
'geng'jia'ju'jiao 更加聚焦
'geng'jia'ju'li 更加聚力
'geng'jia'ju'shen 更加聚神
'geng'jia'kai'kuo 更加开阔
'geng'jia'ke'xue 更加科学
'geng'jia'mei'li 更加美丽
'geng'jia'ming'que 更加明确
'geng'jia'qiang'hua'geng'jia'huo'yue 更加强化更加活跃
'geng'jia'qiang'jing 更加强劲
'geng'jia'qing'lang 更加晴朗
'geng'jia'tu'xian 更加凸显
'geng'jia'wan'shan 更加完善
'geng'jia'xian'ming 更加鲜明
'geng'jia'xiang'liang 更加响亮
'geng'jia'xie'tiao 更加协调
'geng'jia'you'hao 更加友好
'geng'jia'you'hua 更加优化
'geng'jia'zhang'xian 更加彰显
'geng'jia'zhuang'da 更加壮大
'geng'ju'huo'li 更具活力
'geng'kuai'ti'sheng 更快提升
'geng'qu'he'li 更趋合理
'geng'qu'wan'bei 更趋完备
'geng'qu'wen'jian 更趋稳健
'geng'qu'xie'tiao 更趋协调
'geng'wei'jian'shi 更为坚实
'gong'gu'fa'zhan 巩固发展
'gong'gu'he'fa'zhan 巩固和发展
'gong'neng'you'shi 功能优势
'gong'shang'jing'ji'jie 工商经济界
'gong'shang'lian'he'wu'dang'pai'ren'shi 工商联和无党派人士
'gong'tong'fan'rong'fa'zhan 共同繁荣发展
'gong'tong'fan'rong'fa'zhan'de'zhu'ti 共同繁荣发展的主题
'gong'tong'fan'rong'jin'bu 共同繁荣进步
'gong'tong'tuan'jie'fen'dou 共同团结奋斗
'gong'tong'xin'yuan 共同心愿
'gong'zuo'bao'gao 工作报告
'gong'zuo'neng'li 工作能力
'gong'zuo'wu'shi 工作务实
'gong'zuo'yao'dian 工作要点
'gou'tong'si'xiang 沟通思想
'gu'rou'xiong'di 骨肉兄弟
'guan'che'luo'shi'ke'xue'fa'zhan'guan 贯彻落实科学发展观
'guan'che'luo'shi'shang'you'xin'cheng'xiao 贯彻落实上有新成效
'guang'da'xin'jiao'qun'zhong 广大信教群众
'guang'fan'hong'yang 广泛弘扬
'guang'fan'liao'jie'he'fan'ying 广泛了解和反映
'guang'fan'min'zhu 广泛民主
'guang'kai'yan'lu 广开言路
'guang'mou'liang'ju 广谋良举
'guang'qiu'shan'ce 广求善策
'guo'cheng'zha'shi 过程扎实
'guo'ji'guo'nei'huan'jing 国际国内环境
'guo'jia'fa'zhan'he'min'zu'zhen'xing 国家发展和民族振兴
'guo'jia'fu'qiang 国家富强
'guo'jia'zheng'zhi'sheng'huo 国家政治生活
'guo'jia'zhu'quan'he'ling'tu'wan'zheng 国家主权和领土完整
'guo'you'qi'shi'ye'dan'wei 国有企事业单位
'guo'zong'jiao'jie'ri 过宗教节日
'hai'nei'wai'zhong'hua'er'nv 海内外中华儿女
'hai'wai'tong'zhan'gong'zuo 海外统战工作
'han'zu'li'bu'kai'shao'shu'min'zu 汉族离不开少数民族
'he'pai'gong'ming 合拍共鸣
'he'zuo'ji'zhi 合作机制
'hen'zhua'luo'shi 狠抓落实
'hou'bu'wei'yuan 候补委员
'hou'jin'zeng'qiang 后劲增强
'hu'bu'qin'fan 互不侵犯
'hu'cu'gong'jin 互促共进
'hu'xiang'jian'du 互相监督
'hu'xiang'zun'zhong 互相尊重
'hua'jie'mao'dun 化解矛盾
'huan'ran'yi'xin 焕然一新
'hui'huang'ye'ji 辉煌业绩
'huo'li'shi'fang 活力释放
'huo'li'zeng'qiang 活力增强
'huo'yue'you'xu 活跃有序
'ji'ben'gang'ling 基本纲领
'ji'ben'jian'li 基本建立
'ji'ben'lu'xian 基本路线
'ji'ben'ping'heng 基本平衡
'ji'ben'sha'zhu 基本刹住
'ji'ben'shi'xian 基本实现
'ji'ben'wan'cheng 基本完成
'ji'ben'xing'cheng 基本形成
'ji'ceng'jian'she 基层建设
'ji'da'ti'zhen 极大提振
'ji'dang'ren'xin 激荡人心
'ji'du'jiao'xie'hui 基督教协会
'ji'ji'gong'zuo 积极工作
'ji'ji'jin'qu 积极进取
'ji'ji'li'liang 积极力量
'ji'ji'nu'li 积极努力
'ji'ji'tan'suo 积极探索
'ji'ji'yin'dao 积极引导
'ji'shi'du'ren 济世度人
'ji'shi'you'li 及时有力
'ji'xu'gai'shan 继续改善
'ji'xu'hui'nuan 继续回暖
'ji'xu'jian'chi 继续坚持
'ji'xu'ling'xian 继续领先
'ji'zhong'ling'dao 集中领导
'jia'kuai'fa'zhan 加快发展
'jia'kuai'gou'jian 加快构建
'jia'kuai'pei'yu 加快培育
'jia'qiang'dang'de'xian'jin'xing'jian'she 加强党的先进性建设
'jia'qiang'dang'de'zhi'zheng'neng'li 加强党的执政能力
'jia'qiang'jiao'yu'he'jian'du 加强教育和监督
'jia'qiang'min'zu'tuan'jie 加强民族团结
'jia'su'xing'cheng 加速形成
'jia'su'zhuan'huan 加速转换
'jia'zhi'qu'xiang 价值取向
'jian'cheng'tou'yong 建成投用
'jian'cheng'zhu'liu 渐成主流
'jian'chi'du'li'zi'zhu'zi'ban 坚持独立自主自办
'jian'chi'fa'zhan'de'guan'dian 坚持发展的观点
'jian'chi'he'fa'zhan 坚持和发展
'jian'chi'he'wan'shan 坚持和完善
'jian'chi'quan'mian'de'guan'dian 坚持全面的观点
'jian'chi'shi'jian'de'guan'dian 坚持实践的观点
'jian'chi'yi'ren'wei'ben 坚持以人为本
'jian'chi'yong'ke'xue'fa'zhan'guan 坚持用科学发展观
'jian'chi'zhen'li 坚持真理
'jian'ding'xin'nian 坚定信念
'jian'jin'shi'tai'du 渐进式台独
'jian'kang'fa'zhan 健康发展
'jian'ku'pu'su 艰苦朴素
'jian'quan'wan'shan 健全完善
'jian'yan'biao'zhun 检验标准
'jian'yan'xian'ce 建言献策
'jian'yi'an 建议案
'jiang'jing 讲经
'jiao'huan'yi'jian 交换意见
'jiao'kuai'zeng'zhang 较快增长
'jiao'yu'du'dao'yuan 教育督导员
'jiao'yu'gong'zuo 教育工作
'jiao'zhi'ren'yuan 教职人员
'jie'dao'she'qu 街道社区
'jie'fang'si'xiang 解放思想
'jie'he'qi'lai 结合起来
'jie'jue'tai'wan'wen'ti 解决台湾问题
'jie'shou'jian'du 接受监督
'jie'shu'liang'an'di'dui'zhuang'tai 结束两岸敌对状态
'jin'yi'bu'cu'jin 进一步促进
'jin'yi'bu'zeng'qiang 进一步增强
'jin'zhan'shun'li 进展顺利
'jing'ji'fa'zhan'he'she'hui'jin'bu 经济发展和社会进步
'jing'ji'jian'she 经济建设
'jing'ji'ling'yu 经济领域
'jing'ji'shi'ti 经济实体
'jing'ji'xing 经济性
'jing'ji'zu'zhi 经济组织
'jing'shen'shi'zhi 精神实质
'jing'xiang'beng'fa 竞相迸发
'jiu'er'gong'shi 九二共识
'ju'shi'zhu'mu 举世瞩目
'ju'ti'li'yi'he'yao'qiu 具体利益和要求
'ju'you'zhong'yao'de'zhi'dao'yi'yi 具有重要的指导意义
'jun'heng'pu'hui 均衡普惠
'kai'chuang'gong'zuo'xin'ju'mian 开创工作新局面
'kai'tuo'chuang'xin 开拓创新
'kai'tuo'jin'qu 开拓进取
'kao'cha'diao'yan 考察调研
'ke'ji'feng'gong 克己奉公
'ke'jin'zhi'shou 恪尽职守
'ke'xue'shi'jie'guan 科学世界观
'ke'xue'zhi'zheng 科学执政
'ke'yan'dan'wei 科研单位
'kong'qian'gao'zhang 空前高涨
'kong'qian'shi'fang 空前释放
'kuai'su'zeng'zhang 快速增长
'kuan'song'wen'ding 宽松稳定
'li'dang'zhi'ben 立党之本
'li'du'jia'qiang 力度加强
'li'du'kong'qian 力度空前
'li'du'zui'da 力度最大
'li'le'you'qing 利乐有情
'li'liang'zhi'yuan 力量之源
'li'shi'shi'ming 历史使命
'li'shi'shi'qi 历史时期
'li'shun'qing'xu 理顺情绪
'li'yi'ji'tuan 利益集团
'lian'xi'shi'ji'zha'shi'xue 联系实际扎实学
'lian'zhan'lian'jie 连战连捷
'liang'an'guan'xi 两岸关系
'liang'an'jing'ji 两岸经济
'liang'an'tong'bao 两岸同胞
'liang'shi'ji'qing 两世吉庆
'liang'zhong'bu'tie 良种补贴
'liang'zhong'qing'xiang 两种倾向
'liao'jie'qun'zhong'ji'ku 了解群众疾苦
'lin'ye'di'qu'gong'an'ju 林业地区公安局
'ling'dao'gong'hui 领导工会
'ling'ren'jing'yan 令人惊艳
'ling'tu'wan'zheng 领土完整
'liu'dang'cha'kan 留党察看
'luo'di'shi'shi 落地实施
'ma'ke'si'zhu'yi'jing'dian'zuo'jia 马克思主义经典作家
'ma'ke'si'zhu'yi'zheng'dang'xue'shuo 马克思主义政党学说
'mian'shang'kai'hua 面上开花
'min'jian'shang'hui 民间商会
'min'jian'wai'jiao'huo'dong 民间外交活动
'min'jian'xing 民间性
'min'sheng'gai'shan 民生改善
'min'xin'xiang'bei 民心向背
'min'zhu'dang'pai 民主党派
'min'zhu'dang'pai'jian'du 民主党派监督
'min'zhu'ji'zhong 民主集中
'min'zhu'ji'zhong'zhi'jian'she 民主集中制建设
'min'zhu'jian'du 民主监督
'min'zhu'sheng'huo'hui 民主生活会
'min'zhu'zhi'zheng 民主执政
'min'zu'di'qu 民族地区
'min'zu'du'li 民族独立
'min'zu'fa'lv'fa'gui 民族法律法规
'min'zu'gong'zuo 民族工作
'min'zu'guan'xi 民族关系
'min'zu'qu'yu'zi'zhi'zhi'du 民族区域自治制度
'min'zu'wen'hua'chuan'tong 民族文化传统
'min'zu'wen'ti 民族问题
'min'zu'xing 民族性
'min'zu'zhen'xing 民族振兴
'min'zu'zheng'ce 民族政策
'min'zu'zi'ben'zhu'yi 民族资本主义
'ming'lie'qian'mao 名列前茅
'ming'xian'gai'guan 明显改观
'ming'xian'gai'shan 明显改善
'ming'xian'hao'zhuan 明显好转
'ming'xian'jia'kuai 明显加快
'ming'xian'jia'qiang 明显加强
'ming'xian'jin'bu 明显进步
'ming'xian'ti'gao 明显提高
'ming'xian'ti'sheng 明显提升
'ming'xian'ti'zhi 明显提质
'ming'xian'tui'jin 明显推进
'ming'xian'you'hua 明显优化
'ming'xian'zeng'qiang 明显增强
'mu'biao'fang'xiang'yi'zhi'xing 目标方向一致性
'mu'biao'ren'wu 目标任务
'pan'huo'cun'liang 盘活存量
'peng'bo'fa'zhan 蓬勃发展
'pin'fan'huo'yue 频繁活跃
'ping'deng'hu'li 平等互利
'ping'deng'tuan'jie'hu'zhu 平等团结互助
'pu'bian'gui'lv 普遍规律
'pu'bian'ti'gao 普遍提高
'pu'bian'zeng'jia 普遍增加
'qi'ta'fang'mian 其他方面
'qi'tou'bing'jin 齐头并进
'qian'fan'jing'fa 千帆竞发
'qiang'li'tui'jin 强力推进
'qie'shi'jia'qiang 切实加强
'qie'shi'wei'hu 切实维护
'qie'shi'wei'hu'min'zu'tuan'jie 切实维护民族团结
'qin'zheng'wei'min 勤政为民
'qing'qiu'cai'jue 请求裁决
'qing'ting'qun'zhong'hu'sheng 倾听群众呼声
'qing'yu'shen'yi 请予审议
'qing'zheng'lian'jie 清正廉洁
'qu'de'jin'zhan 取得进展
'qu'de'shi'xiao 取得实效
'qu'de'tu'po 取得突破
'qu'wei'tong'zhan'bu 区委统战部
'qu'wei'xuan'chuan'bu 区委宣传部
'qu'wei'zu'zhi'bu 区委组织部
'qu'zhong'guo'hua 去中国化
'quan'guo'ge'zu'ren'min 全国各族人民
'quan'guo'tong'zhan'gong'zuo'hui'yi 全国统战工作会议
'quan'mian'guan'che 全面贯彻
'quan'mian'guan'che'dang'de 全面贯彻党的
'quan'mian'guan'che'zhi'xing 全面贯彻执行
'quan'mian'jia'qiang 全面加强
'quan'mian'jian'she'xiao'kang'she'hui 全面建设小康社会
'quan'mian'jin'bu 全面进步
'quan'mian'kuo'da 全面扩大
'quan'mian'shen'hua 全面深化
'quan'mian'shi'shi 全面实施
'quan'mian'ti'sheng 全面提升
'quan'mian'tui'jin 全面推进
'quan'mian'zeng'jin 全面增进
'quan'mian'zeng'qiang 全面增强
'quan'mian'zhan'kai 全面展开
'quan'ti'hui'yi 全体会议
'qun'zhong'gong'zuo 群众工作
'qun'zhong'jian'du 群众监督
'ren'cai'you'shi 人才优势
'ren'da'jian'du 人大监督
'ren'min'an'ju'le'ye 人民安居乐业
'ren'min'tuan'ti 人民团体
'ren'min'xing'fu 人民幸福
'ren'min'zheng'xie'bao 人民政协报
'ren'shi'shang'da'dao'xin'gao'du 认识上达到新高度
'ren'zhen'xue'xi'guan'che 认真学习贯彻
'ren'zhen'zhua'hao 认真抓好
'ren'zhen'zhua'hao'jiang'hua'jing'shen 认真抓好讲话精神
'ri'jian'jie'jing 日渐洁净
'ri'qu'tu'xian 日趋凸显
'ri'qu'xie'tiao 日趋协调
'ri'yi'cheng'shu 日益成熟
'ri'yi'gui'fan 日益规范
'ri'yi'jian'quan 日益健全
'ri'yi'nong'hou 日益浓厚
'ri'yi'zeng'jin 日益增进
'ri'zhen'wan'shan 日臻完善
'rong'hui'guan'tong'quan'mian'xue 融会贯通全面学
'rong'shen'yi'ren 荣神益人
'ruan'ruo'xing'he'tuo'xie'xing 软弱性和妥协性
'san'ge'dai'biao 三个代表
'san'zi'ai'guo'yun'dong'wei'yuan'hui 三自爱国运动委员会
'shao'shu'min'zu'gan'bu 少数民族干部
'shao'shu'min'zu'li'bu'kai'han'zu 少数民族离不开汉族
'she'chi'lang'fei 奢侈浪费
'she'hui'jian'she 社会建设
'she'hui'jie'ji'zhuang'kuang 社会阶级状况
'she'hui'jin'bu 社会进步
'she'hui'li'shi'tiao'jian 社会历史条件
'she'hui'tuan'ti 社会团体
'she'hui'wen'ding 社会稳定
'she'hui'ze'ren'gan 社会责任感
'she'hui'zhu'yi'he'xie'she'hui 社会主义和谐社会
'she'hui'zhu'yi'lao'dong'zhe 社会主义劳动者
'she'hui'zhu'yi'li'lun 社会主义理论
'she'hui'zhu'yi'min'zhu'zhi'du 社会主义民主制度
'she'hui'zhu'yi'min'zu'guan'xi 社会主义民族关系
'she'hui'zhu'yi'shi'chang'jing'ji 社会主义市场经济
'she'hui'zhu'yi'shi'ye 社会主义事业
'she'hui'zhu'yi'shi'ye'de'jian'she'zhe 社会主义事业的建设者
'she'hui'zhu'yi'shi'ye'jian'she'zhe 社会主义事业建设者
'she'hui'zhu'yi'xian'dai'hua'jian'she 社会主义现代化建设
'she'hui'zhu'yi'xin'nong'cun 社会主义新农村
'she'hui'zhu'yi'zheng'zhi'wen'ming 社会主义政治文明
'she'hui'zi'yuan 社会资源
'she'hui'zu'zhi 社会组织
'she'qing'min'yi 社情民意
'shen'cha'tong'guo 审查通过
'shen'hua'tuo'zhan 深化拓展
'shen'ji'yuan 审计员
'shen'ke'zhuan'xing 深刻转型
'shen'ru'kai'zhan 深入开展
'shen'ru'ren'xin 深入人心
'shen'ru'tui'jin 深入推进
'shen'tou'po'huai 渗透破坏
'sheng'li'wan'cheng 胜利完成
'sheng'min'wei 省民委
'sheng'wei'tong'zhan'bu 省委统战部
'sheng'zong'jiao'ju 省宗教局
'shi'cha'diao'yan 视察调研
'shi'min'zu'zong'jiao'ju 市民族宗教局
'shi'shi'qiu'shi 实事求是
'shi'wei'ban'gong'shi 市委办公室
'shi'wei'tong'zhan'bu 市委统战部
'shi'wei'xuan'chuan'bu 市委宣传部
'shi'wei'zu'zhi'bu 市委组织部
'shi'xian'he'ping'tong'yi 实现和平统一
'shi'xian'zu'guo'he'ping'tong'yi 实现祖国和平统一
'shi'xian'zu'guo'wan'quan'tong'yi 实现祖国完全统一
'shi'yi'jie'quan'guo'zheng'xie'wei'yuan 十一届全国政协委员
'shi'zheng'fa'wei 市政法委
'shi'zhi'du'zhi 失职渎职
'shou'yi'zui'guang 受益最广
'shou'zheng'chu'xin 守正出新
'shu'ji'ling'dao'yi'shu 书记领导艺术
'shu'zi'dian'shi 数字电视
'shun'li'shi'shi 顺利实施
'shuo'guo'lei'lei 硕果累累
'si'fa'jian'du 司法监督
'si'xiang'lu'xian 思想路线
'si'xiang'ren'shi'shang'you'xin'ti'gao 思想认识上有新提高
'si'xiang'zheng'zhi'gong'zuo 思想政治工作
'si'xiang'zhuang'kuang 思想状况
'si'ying'qi'ye'zhu 私营企业主
'suo'lian'xi'qun'zhong 所联系群众
'tai'wan'dang'ju 台湾当局
'tai'wan'tong'bao 台湾同胞
'tai'wan'tong'bao'he'hai'wai'qiao'bao 台湾同胞和海外侨胞
'tai'wan'wen'ti 台湾问题
'tai'wan'zheng'ming 台湾正名
'tan'wu'fu'bai 贪污腐败
'te'ding'de 特定的
'te'yue'jian'cha'yuan 特约监察员
'ti'an 提案
'ti'an'gong'zuo 提案工作
'ti'cha'qun'zhong'yi'yuan 体察群众意愿
'ti'qing'shen'yi 提请审议
'ti'su'qian'jin 提速前进
'tian'zhu'jiao'ai'guo'hui 天主教爱国会
'tiao'qi'liang'an'dui'li 挑起两岸对立
'tong'bu'jin'xing 同步进行
'tong'bu'shi'shi 同步实施
'tong'bu'tui'jin 同步推进
'tong'bu'you'hua 同步优化
'tong'chou'tui'jin 统筹推进
'tong'ge'min'zhu'dang'pai 同各民主党派
'tong'guan'quan'ju 通观全局
'tong'pin'gong'zhen 同频共振
'tong'xin'xie'li 同心协力
'tong'yi'xing'dong 统一行动
'tong'yi'zhan'xian'cheng'yuan 统一战线成员
'tong'yi'zhan'xian'guang'da'cheng'yuan 统一战线广大成员
'tong'yi'zhan'xian'zu'zhi 统一战线组织
'tong'zhan'bu'ban'gong'shi 统战部办公室
'tong'zhan'bu'qian'tou 统战部牵头
'tong'zhan'bu'qian'tou'de 统战部牵头的
'tong'zhan'diao'yan 统战调研
'tong'zhan'gan'bu'dui'wu 统战干部队伍
'tong'zhan'huo'dong 统战活动
'tong'zhan'li'lun 统战理论
'tong'zhan'xi'tong 统战系统
'tong'zhan'xin'xi'xuan'chuan'diao'yan 统战信息宣传调研
'tong'zhan'xing 统战性
'tou'ru'zui'duo 投入最多
'tuan'jie'he'min'zhu 团结和民主
'tuan'jie'he'xie 团结和谐
'tuan'jie'jiao'you 团结交友
'tuan'jie'jiao'yu 团结教育
'tui'dong'jing'ji'she'hui 推动经济社会
'tui'dong'quan'qu 推动全区
'tui'jin'zui'shi 推进最实
'tuo'li'qun'zhong 脱离群众
'wan'quan'ping'deng 完全平等
'wan'zhong'yi'xin 万众一心
'wei'hu'gang'ao'de'chang'qi'wen'ding 维护港澳的长期稳定
'wei'hu'he'dai'biao 维护和代表
'wei'hu'qun'zhong'li'yi 维护群众利益
'wei'hu'ta'men'de'he'fa'quan'yi 维护他们的合法权益
'wei'le'ren'min'zhi'zheng 为了人民执政
'wei'ran'cheng'lin 蔚然成林
'wei'ran'cheng'xing 蔚然成形
'wei'rao'zhong'xin 围绕中心
'wei'rao'zhong'xin'mou'fa'zhan 围绕中心谋发展
'wei'shi'xian 为实现
'wei'shi'xian'she'hui'wen'ding 为实现社会稳定
'wei'yuan'ming'e 委员名额
'wei'yuan'shi'cha 委员视察
'wei'zhi'yi'zhen 为之一振
'wen'bu'shi'shi 稳步实施
'wen'bu'ti'gao 稳步提高
'wen'bu'ti'sheng 稳步提升
'wen'bu'tui'jin 稳步推进
'wen'bu'zeng'zhang 稳步增长
