'bai'nei'zhang 白内障
'chen'jiu'xing'mai'luo'mo'shi'wang'mo'yan 陈旧性脉络膜视网膜炎
'chen'jiu'xing'shi'wang'mo'tuo'li 陈旧性视网膜脱离
'chen'jiu'xing'yan'jian'sun'shang 陈旧性眼睑损伤
'chen'jiu'xing'yan'jian'yi'wu 陈旧性眼睑异物
'chen'jiu'xing'yan'nei'ci'xing'yi'wu 陈旧性眼内磁性异物
'chen'jiu'xing'yan'nei'fei'ci'xing'yi'wu 陈旧性眼内非磁性异物
'chen'jiu'xing'yan'qian'fang'fei'ci'xing'yi'wu 陈旧性眼前房非磁性异物
'chen'jiu'xing'yan'qiu'nei'fei'ci'xing'yi'wu 陈旧性眼球内非磁性异物
'chen'jiu'xing'yan'shao'shang 陈旧性眼烧伤
'chen'jiu'xing'yan'sun'shang 陈旧性眼损伤
'chu'xue'xing'mai'luo'mo'tuo'li 出血性脉络膜脱离
'chuang'shang'xing'bai'nei'zhang 创伤性白内障
'chuang'shang'xing'hong'mo'jie'zhuang'ti'yan 创伤性虹膜睫状体炎
'chuang'shang'xing'mai'luo'mo'shi'wang'mo'bing 创伤性脉络膜视网膜病
'chuang'shang'xing'mai'luo'mo'tuo'li 创伤性脉络膜脱离
'chuang'shang'xing'qing'guang'yan 创伤性青光眼
'chuang'shang'xing'shi'wang'mo'bing'bian 创伤性视网膜病变
'chuang'shang'xing'shi'wang'mo'lie'kong 创伤性视网膜裂孔
'chuang'shang'xing'yan'nei'yi'wu 创伤性眼内异物
'chui'zhi'xie'shi 垂直斜视
'chun'ji'ka'ta'xing'jie'mo'yan 春季卡他性结膜炎
'da'pao'xing'jiao'mo'bing 大泡性角膜病
'da'pao'xing'jiao'mo'bing'bian 大泡性角膜病变
'da'pao'xing'jiao'mo'jie'mo'yan 大疱性角膜结膜炎
'da'pao'xing'jiao'mo'yan 大泡性角膜炎
'da'pao'xing'shi'wang'mo'tuo'li 大泡性视网膜脱离
'dai'zhuang'jiao'mo'bing'bian 带状角膜病变
'dai'zhuang'pao'zhen'xing'yan'yan 带状疱疹性眼炎
'dan'yan'gu'ding'zong'he'zheng 单眼固定综合征
'dan'yan'mang'ling'yi'yan'shi'li'di'xia 单眼盲另一眼视力低下
'dan'yan'shi'li'xia'jiang 单眼视力下降
'di'liu'zhan'shen'jing'ma'bi 第六展神经麻痹
'di'san'dong'yan'shen'jing'ma'bi 第三动眼神经麻痹
'di'si'hua'che'shen'jing'ma'bi 第四滑车神经麻痹
'di'yan'ya'zheng 低眼压症
'dian'guang'xing'yan'yan 电光性眼炎
'dong'yan'shen'jing'e'xing'zhong'liu 动眼神经恶性肿瘤
'dong'yan'shen'jing'liang'xing'zhong'liu 动眼神经良性肿瘤
'dong'yan'shen'jing'sun'shang 动眼神经损伤
'dong'yan'shen'jing'yan 动眼神经炎
'du'xing'yan'qian'jie'zong'he'zheng 毒性眼前节综合征
'duan'zan'xing'shi'wang'mo'dong'mai'zu'se 短暂性视网膜动脉阻塞
'e'xing'qing'guang'yan 恶性青光眼
'fan'ying'xing'jiao'mo'yan 反应性角膜炎
'fang'she'xing'bai'nei'zhang 放射性白内障
'fei'yong'xing'nei'xie'shi 废用性内斜视
'fei'yong'xing'ruo'shi 废用性弱视
'fei'yong'xing'wai'xie'shi 废用性外斜视
'fen'li'xing'chui'zhi'xie'shi 分离性垂直斜视
'fu'fa'xing'hong'mo'jie'zhuang'ti'yan 复发性虹膜睫状体炎
'fu'fa'xing'jiao'mo'mi'lan 复发性角膜糜烂
'fu'fa'xing'shi'wang'mo'tuo'li 复发性视网膜脱离
'fu'shi 复视
'gan'yan'zheng 干眼症
'gan'yan'zong'he'zheng 干眼综合征
'gao'du'jin'shi 高度近视
'gao'du'jin'shi'xing'mai'luo'mo'shi'wang'mo'bing'bian 高度近视性脉络膜视网膜病变
'gao'xue'ya'xing'shi'wang'mo'bing'bian 高血压性视网膜病变
'gao'yan'ya'zheng 高眼压症
'ge'zi'zhuang'jiao'mo'ying'yang'bu'liang 格子状角膜营养不良
'gong'mo'hei'bian'bing 巩膜黑变病
'gong'mo'huai'si 巩膜坏死
'gong'mo'ji'huan 巩膜疾患
'gong'mo'kui'yang 巩膜溃疡
'gong'mo'lou 巩膜瘘
'gong'mo'nang'zhong 巩膜囊肿
'gong'mo'nong'zhong 巩膜脓肿
'gong'mo'pu'tao'zhong 巩膜葡萄肿
'gong'mo'rou'ya'zhong 巩膜肉芽肿
'gong'mo'te'zhi'ji'huan 巩膜特指疾患
'gong'mo'wai'ceng'yan 巩膜外层炎
'gong'mo'yan 巩膜炎
'gong'mo'zhan'lian 巩膜粘连
'gong'tong'xing'xie'shi 共同性斜视
'gu'mo'chuan'kong 鼓膜穿孔
'gu'mo'gu'shi'shang'yin'wo'chuan'kong 鼓膜鼓室上隐窝穿孔
'gu'mo'ji'huan 鼓膜疾患
'gu'mo'jin'zhang'bu'chuan'kong 鼓膜紧张部穿孔
'gu'mo'song'chi'bu'chuan'kong 鼓膜松弛部穿孔
'gu'mo'te'zhi'bian'yuan'xing'chuan'kong 鼓膜特指边缘性穿孔
'gu'mo'te'zhi'chuan'kong 鼓膜特指穿孔
'gu'mo'te'zhi'ji'huan 鼓膜特指疾患
'gu'mo'zhong'xin'chuan'kong 鼓膜中心穿孔
'gu'shi'ying'hua 鼓室硬化
'he'jian'xing'yan'ji'tan'huan 核间性眼肌瘫痪
'he'ying'hua'xing'bai'nei'zhang 核硬化性白内障
'hei'meng 黑矇
'hong'mo'bian'xing 虹膜变性
'hong'mo'chu'xie 虹膜出血
'hong'mo'he'jie'zhuang'ti'bian'xing 虹膜和睫状体变性
'hong'mo'he'jie'zhuang'ti'ji'huan 虹膜和睫状体疾患
'hong'mo'he'jie'zhuang'ti'te'zhi'ji'huan 虹膜和睫状体特指疾患
'hong'mo'he'jie'zhuang'ti'te'zhi'xue'guan'ji'huan 虹膜和睫状体特指血管疾患
'hong'mo'he'jie'zhuang'ti'te'zhi'zhan'lian'he'po'lie 虹膜和睫状体特指粘连和破裂
'hong'mo'hong'bian 虹膜红变
'hong'mo'jiao'mo'nei'pi'zong'he'zheng 虹膜角膜内皮综合征
'hong'mo'jie'zhuang'ti'he'qian'fang'nang'zhong 虹膜睫状体和前房囊肿
'hong'mo'jie'zhuang'ti'yan 虹膜睫状体炎
'hong'mo'jie'zhuang'ti'yan'xing'qing'guang'yan 虹膜睫状体炎性青光眼
'hong'mo'li'duan 虹膜离断
'hong'mo'ma'bi 虹膜麻痹
'hong'mo'nang'zhong 虹膜囊肿
'hong'mo'nong'zhong 虹膜脓肿
'hong'mo'peng'long 虹膜膨隆
'hong'mo'pi'lie'zheng 虹膜劈裂症
'hong'mo'qian'zeng'zhi'mo 虹膜前增殖膜
'hong'mo'tuo'chu 虹膜脱出
'hong'mo'wei'suo 虹膜萎缩
'hong'mo'xin'sheng'xue'guan 虹膜新生血管
'hong'mo'yan 虹膜炎
'hong'mo'yi'se'xing'bai'nei'zhang 虹膜异色性白内障
'hong'mo'yi'se'xing'jie'zhuang'ti'yan 虹膜异色性睫状体炎
'hong'mo'zhan'lian 虹膜粘连
'hong'mo'zhong'wu 虹膜肿物
'hou'fa'xing'bai'nei'zhang 后发性白内障
'hou'jie'zhuang'ti'yan 后睫状体炎
'hou'nang'xia'xing'lao'nian'xing'bai'nei'zhang 后囊下型老年性白内障
'hou'tian'xing'bai'nei'zhang 后天性白内障
'hou'tian'xing'wu'jing'ti 后天性无晶体
'hou'tian'xing'yan'jian'ji'xing 后天性眼睑畸形
'hou'tian'xing'yan'nei'zi'ji'xing 后天性眼内眦畸形
'hou'tian'xing'yan'wai'zi'ji'xing 后天性眼外眦畸形
'hua'che'shen'jing'ma'bi 滑车神经麻痹
'hua'nong'xing'jiao'mo'yan 化脓性角膜炎
'hua'nong'xing'yan'nei'yan 化脓性眼内炎
'huan'zhuang'shi'wang'mo'bing 环状视网膜病
'huang'ban'bo'li'yang'you 黄斑玻璃样疣
'huang'ban'chu'xie 黄斑出血
'huang'ban'he'hou'ji'bian'xing 黄斑和后极变性
'huang'ban'lie'kong 黄斑裂孔
'huang'ban'nang'zhong 黄斑囊肿
'huang'ban'qian'mo 黄斑前膜
'huang'ban'shui'zhong 黄斑水肿
'huang'ban'zhou'zhe 黄斑皱折
'hui'ju'xing'gong'tong'xing'xie'shi 会聚性共同性斜视
'hun'he'xing'bai'nei'zhang 混合性白内障
'hun'he'xing'qing'guang'yan 混合型青光眼
'ji'fa'xing'bai'nei'zhang 继发性白内障
'ji'fa'xing'hong'mo'yan 继发性虹膜炎
'ji'fa'xing'nei'xie'shi 继发性内斜视
'ji'fa'xing'shi'wang'mo'bing'bian 继发性视网膜病变
'ji'fa'xing'shi'wang'mo'tuo'li 继发性视网膜脱离
'ji'fa'xing'wai'xie'shi 继发性外斜视
'ji'fa'yu'yan'bu'ji'huan'qing'guang'yan 继发于眼部疾患青光眼
'ji'fa'yu'yan'bu'yan'zheng'qing'guang'yan 继发于眼部炎症青光眼
'ji'fa'yu'yan'wai'shang'de'qing'guang'yan 继发于眼外伤的青光眼
'ji'he'bu'quan'he'guo'du 集合不全和过度
'ji'sheng'chong'xing'yan'nei'yan 寄生虫性眼内炎
'ji'xie'xing'xie'shi 机械性斜视
'ji'xing'bi'jiao'xing'qing'guang'yan 急性闭角型青光眼
'ji'xing'bian'ying'xing'jie'mo'yan 急性变应性结膜炎
'ji'xing'gu'mo'yan 急性鼓膜炎
'ji'xing'hong'mo'jie'zhuang'ti'yan 急性虹膜睫状体炎
'ji'xing'jie'mo'yan 急性结膜炎
'ji'xing'lei'nang'yan 急性泪囊炎
'ji'xing'lei'nang'zhou'wei'yan 急性泪囊周围炎
'ji'xing'lei'xian'yan 急性泪腺炎
'ji'xing'lei'xiao'guan'yan 急性泪小管炎
'ji'yan 鸡眼
'ji'zhi'xing'jiao'mo'yan 基质性角膜炎
'jia'xing'bai'nei'zhang 假性白内障
'jia'xing'nang'mo'bo'tuo'zong'he'zheng 假性囊膜剥脱综合征
'jia'xing'shi'ru'tou'shui'zhong 假性视乳头水肿
'jia'xing'yi'zhuang'nu'rou 假性翼状胬肉
'jia'zhuang'xian'gong'neng'kang'jin'xing'tu'yan 甲状腺功能亢进性突眼
'jia'zu'xing'shen'chu'xing'bo'li'ti'shi'wang'mo'bing'bian 家族性渗出性玻璃体视网膜病变
'jian'ban'xian'nang'zhong 睑板腺囊肿
'jian'ban'xian'nang'zhong'xian'li'zhong 睑板腺囊肿霰粒肿
'jian'lie'ban 睑裂斑
'jian'lie'xia'xiao 睑裂狭小
'jian'nei'fan'he'dao'jie 睑内翻和倒睫
'jian'qiu'zhan'lian 睑球粘连
'jian'wai'fan 睑外翻
'jian'xian'yan 睑腺炎
'jian'xie'xing'bi'jiao'xing'qing'guang'yan 间歇性闭角型青光眼
'jian'xie'xing'nei'xie'shi 间歇性内斜视
'jian'xie'xing'wai'xie'shi 间歇性外斜视
'jian'xie'xing'xie'shi 间歇性斜视
'jian'yuan'jie'mo'yan 睑缘结膜炎
'jian'yuan'yan 睑缘炎
'jian'yuan'zhan'lian 睑缘粘连
'jiang'ye'xing'shi'wang'mo'tuo'li 浆液性视网膜脱离
'jiao'gan'xing'yan'yan 交感性眼炎
'jiao'jie'mo'zeng'sheng 角结膜增生
'jiao'mo'bai'ban 角膜白斑
'jiao'mo'ban'hen 角膜瘢痕
'jiao'mo'ban'yi 角膜斑翳
'jiao'mo'bian'xing 角膜变性
'jiao'mo'ceng'gai'bian 角膜层改变
'jiao'mo'chen'zhuo'wu 角膜沉着物
'jiao'mo'chuan'kong 角膜穿孔
'jiao'mo'gan'zao'zheng 角膜干燥症
'jiao'mo'hei'bian'bing 角膜黑变病
'jiao'mo'hou'tan'xing'ceng'peng'chu 角膜后弹性层膨出
'jiao'mo'hun'zhuo 角膜混浊
'jiao'mo'ji'huan 角膜疾患
'jiao'mo'ji'xing 角膜畸形
'jiao'mo'jie'mo'hua 角膜结膜化
'jiao'mo'jie'mo'yan 角膜结膜炎
'jiao'mo'kui'yang 角膜溃疡
'jiao'mo'kui'yang'xing'chuan'kong 角膜溃疡性穿孔
'jiao'mo'lao'nian'huan 角膜老年环
'jiao'mo'lou 角膜瘘
'jiao'mo'nang'zhong 角膜囊肿
'jiao'mo'nei'pi'shi'dai'chang 角膜内皮失代偿
'jiao'mo'nei'pi'ying'yang'bu'liang 角膜内皮营养不良
'jiao'mo'nong'zhong 角膜脓肿
'jiao'mo'pi'zhui 角膜皮赘
'jiao'mo'pu'tao'mo'yan 角膜葡萄膜炎
'jiao'mo'pu'tao'zhong 角膜葡萄肿
'jiao'mo'rong'jie 角膜溶解
'jiao'mo'ruan'hua 角膜软化
'jiao'mo'se'su'chen'zhuo 角膜色素沉着
'jiao'mo'shang'pi'tuo'luo 角膜上皮脱落
'jiao'mo'shui'zhong 角膜水肿
'jiao'mo'te'zhi'ji'huan 角膜特指疾患
'jiao'mo'xin'xue'guan'xing'cheng 角膜新血管形成
'jiao'mo'xue'guan'yi 角膜血管翳
'jiao'mo'xue'guan'ying 角膜血管影
'jiao'mo'xue'ran 角膜血染
'jiao'mo'yan 角膜炎
'jiao'mo'ying'yang'bu'liang 角膜营养不良
'jiao'mo'yun'yi 角膜云翳
'jiao'mo'zhan'lian'xing'bai'ban 角膜粘连性白斑
'jiao'mo'zhong'wu 角膜肿物
'jiao'ti'xing'nei'xie'shi 交替性内斜视
'jiao'ti'xing'wai'xie'shi 交替性外斜视
'jie'jie'xing'mai'luo'mo'yan 结节性脉络膜炎
'jie'jie'zhuang'jiao'mo'bian'xing 结节状角膜变性
'jie'mo'ban'hen 结膜瘢痕
'jie'mo'bian'xing 结膜变性
'jie'mo'chen'zhuo'wu 结膜沉着物
'jie'mo'chu'xie 结膜出血
'jie'mo'gan'zao 结膜干燥
'jie'mo'ji'huan 结膜疾患
'jie'mo'jiao'hua 结膜角化
'jie'mo'jie'shi 结膜结石
'jie'mo'kui'yang 结膜溃疡
'jie'mo'lin'ba'guan'kuo'zhang 结膜淋巴管扩张
'jie'mo'nang'ji'xing 结膜囊畸形
'jie'mo'nang'zhong 结膜囊肿
'jie'mo'rong'jie 结膜溶解
'jie'mo'rou'ya'zhong 结膜肉芽肿
'jie'mo'se'su'chen'zhuo'bing 结膜色素沉着病
'jie'mo'shui'zhong 结膜水肿
'jie'mo'song'chi 结膜松驰
'jie'mo'te'zhi'ji'huan 结膜特指疾患
'jie'mo'tie'zhi'chen'zhuo'zheng 结膜铁质沉着症
'jie'mo'tuo'chui 结膜脱垂
'jie'mo'xi'rou 结膜息肉
'jie'mo'yan 结膜炎
'jie'mo'yin'zhi'chen'zhuo'bing 结膜银质沉着病
'jie'mo'zhong'wu 结膜肿物
'jie'zhuang'ti'bian'xing 睫状体变性
'jie'zhuang'ti'chu'xie 睫状体出血
'jie'zhuang'ti'li'duan 睫状体离断
'jie'zhuang'ti'nang'zhong 睫状体囊肿
'jie'zhuang'ti'xin'sheng'xue'guan 睫状体新生血管
'jin'ru'tou'xing'mai'luo'mo'shi'wang'mo'yan 近乳头性脉络膜视网膜炎
'jin'shi 近视
'jin'xing'xing'yan'wai'ji'ma'bi 进行性眼外肌麻痹
'jing'ti'hou'nang'mo'po'lie 晶体后囊膜破裂
'jing'ti'hun'zhuo 晶体混浊
'jing'ti'you'fa'xing'yan'se'su'mo'yan 晶体诱发性眼色素膜炎
'jing'zhuang'ti'bu'quan'tuo'wei 晶状体不全脱位
'jing'zhuang'ti'ji'huan 晶状体疾患
'jing'zhuang'ti'que'shi 晶状体缺失
'jing'zhuang'ti'rong'jie'xing'qing'guang'yan 晶状体溶解性青光眼
'jing'zhuang'ti'te'zhi'ji'huan 晶状体特指疾患
'jing'zhuang'ti'tuo'wei 晶状体脱位
'jing'zhuang'ti'tuo'wei'xing'qing'guang'yan 晶状体脱位性青光眼
'jing'zhuang'ti'wan'quan'tuo'wei 晶状体完全脱位
'jing'zhuang'ti'xing'qing'guang'yan 晶状体性青光眼
'ju'zao'xing'mai'luo'mo'shi'wang'mo'yan 局灶性脉络膜视网膜炎
'jue'dui'qi'qing'guang'yan 绝对期青光眼
'ka'en'si'sai'er'zong'he'zheng 卡恩斯塞尔综合征
'ka'ta'xing'jie'mo'yan 卡他性结膜炎
'kai'fang'xing'yan'bu'sun'shang 开放性眼部损伤
'kai'fang'xing'yan'jian'yi'wu 开放性眼睑异物
'ke'ci'bing 科茨病
'ke'gen'zong'he'zheng 科根综合征
'ke'yi'qing'guang'yan 可疑青光眼
'kong'yuan'xing'shi'wang'mo'tuo'li 孔源性视网膜脱离
'kuang'bu'nian'ye'nang'zhong 眶部粘液囊肿
'kuang'feng'wo'zhi'yan 眶蜂窝织炎
'kuang'ji'yan 眶肌炎
'kuang'nei'chen'jiu'xing'yi'wu 眶内陈旧性异物
'kuang'nei'shang'pi'yang'nang'zhong 眶内上皮样囊肿
'kuang'nei'xue'zhong 眶内血肿
'kuang'nei'yan 眶内炎
'kuang'nei'zhong'wu 眶内肿物
'kuang'shang'lie'zong'he'zheng 眶上裂综合征
'kuo'da'mang'dian 扩大盲点
'lao'nian'huan 老年环
'lao'nian'xing'bai'nei'zhang 老年性白内障
'lao'nian'xing'bai'nei'zhang'mo'er'jia'ni'xing 老年性白内障莫尔加尼型
'lao'nian'xing'bai'nei'zhang'wei'te'zhi 老年性白内障未特指
'lao'nian'xing'cheng'shu'qi'bai'nei'zhang 老年性成熟期白内障
'lao'nian'xing'chu'qi'bai'nei'zhang 老年性初期白内障
'lao'nian'xing'he'xing'bai'nei'zhang 老年性核性白内障
'lao'nian'xing'huang'ban'bian'xing 老年性黄斑变性
'lao'nian'xing'jian'wai'fan 老年性睑外翻
'lao'nian'xing'wei'shu'qi'bai'nei'zhang 老年性未熟期白内障
'lao'shi 老视
'lei'dao'guan'bi'bu'quan 泪道关闭不全
'lei'dao'ji'xing'yan'zheng 泪道急性炎症
'lei'dao'man'xing'yan'zheng 泪道慢性炎症
'lei'dao'te'zhi'gai'bian 泪道特指改变
'lei'dao'xia'zhai 泪道狭窄
'lei'dao'yan'zheng 泪道炎症
'lei'dao'zu'se 泪道阻塞
'lei'dian'wai'fan 泪点外翻
'lei'dian'xia'zhai 泪点狭窄
'lei'guan'rou'ya'zhong 泪管肉芽肿
'lei'nang'lou 泪囊瘘
'lei'nang'nang'zhong 泪囊囊肿
'lei'nang'nong'zhong 泪囊脓肿
'lei'nang'zhong'wu 泪囊肿物
'lei'qi'xi'ji'huan 泪器系疾患
'lei'qi'xi'te'zhi'ji'huan 泪器系特指疾患
'lei'shi 泪石
'lei'xian'nang'zhong 泪腺囊肿
'lei'xian'te'zhi'ji'huan 泪腺特指疾患
'lei'xian'tuo'chui 泪腺脱垂
'lei'xian'wei'suo 泪腺萎缩
'lei'xian'yan 泪腺炎
'lei'xian'yan'xing'jia'liu 泪腺炎性假瘤
'lei'xiao'guan'duan'lie 泪小管断裂
'lei'xiao'guan'lou 泪小管瘘
'lei'xiao'guan'zu'se 泪小管阻塞
'lei'ye'fen'mi'guo'shao 泪液分泌过少
'lei'yi 泪溢
'lian'xu'xing'nei'xie'shi 连续性内斜视
'lian'xu'xing'wai'xie'shi 连续性外斜视
'liang'xing'zhen'fa'xing'xuan'yun 良性阵发性眩晕
'luan'jie 乱睫
'luo'shi'zong'he'zheng'yan'nao'shen'zong'he'zheng 洛氏综合症眼脑肾综合症
'ma'bi'xing'jian'wai'fan 麻痹性睑外翻
'ma'bi'xing'wai'xie'shi 麻痹性外斜视
'ma'bi'xing'xie'shi 麻痹性斜视
'mai'luo'mo'bian'xing 脉络膜变性
'mai'luo'mo'chu'xie 脉络膜出血
'mai'luo'mo'ji'huan 脉络膜疾患
'mai'luo'mo'po'lie 脉络膜破裂
'mai'luo'mo'shen'chu 脉络膜渗出
'mai'luo'mo'shi'wang'mo'ban'hen 脉络膜视网膜瘢痕
'mai'luo'mo'shi'wang'mo'yan 脉络膜视网膜炎
'mai'luo'mo'te'zhi'ji'huan 脉络膜特指疾患
'mai'luo'mo'tuo'li 脉络膜脱离
'mai'luo'mo'wei'suo 脉络膜萎缩
'mai'luo'mo'xin'sheng'xue'guan 脉络膜新生血管
'mai'luo'mo'ying'hua 脉络膜硬化
'mai'luo'mo'zhong'wu 脉络膜肿物
'man'xing'bi'jiao'xing'qing'guang'yan 慢性闭角型青光眼
'man'xing'gu'mo'yan 慢性鼓膜炎
'man'xing'hong'mo'jie'zhuang'ti'yan 慢性虹膜睫状体炎
'man'xing'jie'mo'yan 慢性结膜炎
'man'xing'lei'nang'yan 慢性泪囊炎
'man'xing'lei'xian'yan 慢性泪腺炎
'man'xing'lei'xiao'guan'yan 慢性泪小管炎
'man'xing'yan'se'su'mo'yan 慢性眼色素膜炎
'man'xing'yan'se'su'mo'yan'man'xing'pu'tao'mo'yan 慢性眼色素膜炎慢性葡萄膜炎
'mang'dan'yan 盲单眼
'mang'shuang'yan 盲双眼
'mei'mao'tuo'luo 眉毛脱落
'mei'ni'ai'bing 梅尼埃病
'mi'lu'ji'neng'jian'tui 迷路机能减退
'mi'lu'lou'guan 迷路瘘管
'mi'lu'yan 迷路炎
'mo'xing'bai'nei'zhang 膜性白内障
'nang'chong'bing'yan 囊虫病眼
'nian'ye'nong'xing'jie'mo'yan 粘液脓性结膜炎
'nian'zhu'jun'xing'yan'nei'yan 念珠菌性眼内炎
'niao'dao'yan'guan'jie'zong'he'zheng 尿道眼关节综合征
'pao'xing'jie'mo'yan 泡性结膜炎
'pao'zhen'xing'yan'yan 疱疹性眼炎
'pi'zhi'lei'gu'chun'you'fa'qing'guang'yan 皮质类固醇诱发青光眼
'pi'zhi'mang 皮质盲
'pi'zhi'xing'lao'nian'xing'bai'nei'zhang 皮质型老年性白内障
'pian'mang 偏盲
'pu'tao'mo'shen'lou'zong'he'zheng 葡萄膜渗漏综合征
'qian'ceng'dian'zhuang'jiao'mo'yan 浅层点状角膜炎
'qian'ceng'jiao'mo'jie'mo'yan 浅层角膜结膜炎
'qian'fang'ji'nong'xing'hong'mo'jie'zhuang'ti'yan 前房积脓性虹膜睫状体炎
'qian'fang'ji'nong'xing'jiao'mo'kui'yang 前房积脓性角膜溃疡
'qian'fang'ji'xue 前房积血
'qian'fang'jiao'hou'tui 前房角后退
'qian'fang'jiao'po'lie 前房角破裂
'qian'fang'jiao'xia'zhai 前房角狭窄
'qian'fang'jiao'xin'sheng'xue'guan 前房角新生血管
'qian'fang'jiao'zhan'lian 前房角粘连
'qian'fang'nang'zhong 前房囊肿
'qian'ting'gong'neng'te'zhi'ji'huan 前庭功能特指疾患
'qian'ting'gong'neng'zhang'ai 前庭功能障碍
'qian'ting'shen'jing'yuan'yan 前庭神经元炎
'qian'yin'xing'shi'wang'mo'tuo'li 牵引性视网膜脱离
'qing'du'shi'li'que'sun'shuang'yan 轻度视力缺损双眼
'qing'guang'yan 青光眼
'qing'guang'yan'jie'zhuang'ti'yan'zong'he'zheng 青光眼睫状体炎综合征
'qing'guang'yan'lin'chuang'qian'qi 青光眼临床前期
'qing'guang'yan'shu'hou'lv'guo'pao'lou 青光眼术后滤过泡漏
'qing'guang'yan'shu'hou'qian'qian'fang 青光眼术后浅前房
'qing'guang'yan'shu'hou'wu'qian'fang 青光眼术后无前房
'qing'guang'yan'xing'bai'nei'zhang 青光眼性白内障
'qiu'hou'shi'shen'jing'yan 球后视神经炎
'qiu'hou'yan'xing'jia'liu 球后炎性假瘤
'qiu'xing'jiao'mo 球形角膜
'qu'guang'bu'zheng 屈光不正
'qu'guang'cen'ci 屈光参差
'qu'guang'cen'ci'xing'ruo'shi 屈光参差性弱视
'qu'guang'ji'huan 屈光疾患
'qu'guang'te'zhi'ji'huan 屈光特指疾患
'quan'bu'wai'bu'yan'ji'ma'bi 全部外部眼肌麻痹
'quan'se'su'mo'yan 全色素膜炎
'quan'yan'qiu'yan 全眼球炎
'que'xue'xing'shi'shen'jing'bing'bian 缺血性视神经病变
'ren'shen'he'bing'yan'ji'bing 妊娠合并眼疾病
'rou'ya'zhong'xing'pu'tao'mo'yan 肉芽肿性葡萄膜炎
'rou'ya'zhong'xing'se'su'mo'yan 肉芽肿性色素膜炎
'ruo'shi 弱视
'san'guang 散光
'san'kai'xing'gong'tong'xing'xie'shi 散开性共同性斜视
'se'jue'que'xian 色觉缺陷
'se'mang 色盲
'se'su'xing'qing'guang'yan 色素性青光眼
'sha'yan 沙眼
'sha'yan'xing'jiao'mo'yan 沙眼性角膜炎
'sha'yan'xing'xue'guan'yi 沙眼性血管翳
'shan'hui'xing'bo'li'ti'ye'hua 闪辉性玻璃体液化
'shang'jian'xia'chui 上睑下垂
'shang'pi'xing'jiao'mo'ying'yang'bu'liang 上皮性角膜营养不良
'shang'xie'shi 上斜视
'shen'ceng'jiao'mo'yan 深层角膜炎
'shen'chu'xing'mai'luo'mo'tuo'li 渗出性脉络膜脱离
'shen'chu'xing'mai'luo'mo'yan 渗出性脉络膜炎
'shen'chu'xing'shi'wang'mo'tuo'li 渗出性视网膜脱离
'shen'jing'ma'bi'xing'jiao'mo'yan 神经麻痹性角膜炎
