'a'di'da'si 阿迪达斯
'de'guo'han'gao'hua'pai 德国汉高花牌
'deng'xi'lu 登喜路
'di'ao 迪奥
'di'fan 迪梵
'di'hua'zhi'xiu 蒂花之秀
'di'shi'ni 迪士尼
'di'zhi 蒂芝
'die'zhuang 蝶妆
'ding'jia'yi 丁家宜
'dong'yang'zhi'hua 东洋之花
'du'jia'ban'na 杜嘉班纳
'du'peng 都彭
'du'ruo 杜若
'duo'fen 多芬
'duo'li 多丽
'e'pei'lan 娥佩兰
'e'yu 鳄鱼
'fa'duo 发朵
'fa'er'man 法而曼
'fa'guo 法国
'fa'guo'gui'zu 法国贵族
'fa'la'li 法拉利
'fan'shi'lin 凡士林
'fan'si'zhe 范思哲
'fei'fan'ren'wu 非凡人物
'fei'ke 飞科
'fei'la'ge'mu 菲拉格慕
'fei'lei 费雷
'fei'li'pu 飞利浦
'fen'di 芬迪
'feng'cai'zhen'cai'yuan 丰采贞采源
'feng'mian'nv'lang 封面女郎
'fo'lai'ge'mo 佛莱格默
'fo'luo'lang'si 佛罗浪丝
'fu'lai'xin 富莱欣
'fu'luo'meng 弗洛蒙
'fu'sheng'ruo'meng 浮生若梦
'fu'tao 弗陶
'gao'fu 高夫
'gao'lu'jie 高露洁
'gao'lun'ya'fu 高伦雅芙
'gao'si 高丝
'gao'ti'ye 高提耶
'gao'tian'xian'san 高田贤三
'ge'bao'ting 歌宝婷
'ge'lu'er 歌露儿
'gong'dai 宫黛
'gu'qi 古奇
'gua'hu'xue'wen 刮胡学问
'gui'po'cui 瑰珀翠
'hai'de'bao 海德堡
'hai'fei'si 海飞丝
'han'guo'duo'duo 韩国多多
'han'guo'san'xing 韩国三星
'hao'qi 好奇
'hao'ying 皓莹
'he'lian'na 赫莲娜
'hou'shu'ka'bo'shi 侯舒卡博士
'hou'si'dun 候司顿
'hu'fu 护肤
'hu'shu'bao 护舒宝
'hua'zhi'shi'zhe 花之使者
'hui'mei'she 汇美舍
'huo'zhi'fu 活之肤
'ji'fan'xi 纪梵希
'ji'fan'xi'ai'di'niu'er 纪凡希艾迪牛尔
'ji'ji'xian'nu 积姬仙奴
'ji'jia 积架
'ji'lie 吉列
'ji'xian'lan'ka 姬仙兰卡
'jia'jie'shi 佳洁士
'jia'mei'le 家美乐
'jia'na'bao 嘉娜宝
'jia'xue 佳雪
'jian'mei'sheng 健美生
'jiao'lan 娇兰
'jiao'qiao'li'er 娇俏丽儿
'jiao'yun'shi 娇韵诗
'jie'li'bao 洁丽宝
'jie'nuo 洁诺
'jie'shi'pai 杰士派
'jie'wo 洁沃
'jin'fang 金纺
'jin'pai'da'shi 金牌大师
'jin'po'lai 金珀莱
'jing'run 京润
'jing'ying 睛盈
'jiu'ri 久日
'jun'yi'sheng 军医生
'ka'di'ya 卡地亚
'ka'er'wen'ke'lai'en 卡尔文克莱恩
'ka'luo'lin'na 卡罗琳娜
'ka'ni 卡尼
'ka'shi 卡诗
'ka'xia'er 卡夏尔
'kai'fu'li 凯芙黎
'kai'yi'dai 凯伊黛
'kang'mei'lai 康美莱
'ke'bei'er 可贝尔
'ke'cai 可采
'ke'li'ti'na 克丽缇娜
'ke'ling'ke'li 可伶可俐
'ke'si'ka'lin'na 可斯卡琳娜
'ke'wei'er 可威尔
'la'er'fu'lao'lun 拉尔夫劳伦
'la'fang 拉芳
'la'fu'lao'lun 拉夫劳伦
'lai'jia'nu 莱佳奴
'lan'dun 蓝顿
'lan'jia'si'ting 兰嘉丝汀
'lan'kou 兰蔻
'lan'nu 兰奴
'lan'wen 兰文
'lan'xi'ou 兰皙欧
'lan'yue'liang'bai'ling 蓝月亮百龄
'lan'zhi 兰芝
'le'er'ya 乐而雅
'le'shang'li 乐尚丽
'lei'wo'si 蕾沃斯
'leng'suan'ling 冷酸灵
'li'an'shan 理安善
'li'de'fang 黎得芳
'li'de'kang 丽得康
'li'fu'quan 理肤泉
'li'jin 丽仅
'li'shi 力士
'li'shi'jia'bang 丽诗加邦
'li'yi'sheng 李医生
'li'zi 丽姿
'lian'bang 联邦
'lian'he'li'hua 联合利华
'lian'na 莲娜
'liang'fei 靓妃
'ling'cai 伶采
'liu'shen 六神
'long'li'qi 隆力奇
'lu'de'qing 露得清
'lu'hua'nong 露华浓
'lu'qi 露琪
'lun'shi'du 伦士度
'luo'ai'wei 洛艾维
'luo'bo'te'wei'wei 罗伯特薇薇
'luo'dun'yu'fei'te 罗敦与菲特
'luo'li'ta 洛丽塔
'luo'mi'ou'ji'ge'li 罗密欧吉格利
'luo'sha 罗莎
'luo'sha 萝莎
'luo'si'da'ni 洛丝妲妮
'lv'shi'jie 绿世界
'ma'li'an 玛莉安
'ma'si'fei'er 玛丝菲尔
'man'ge 曼歌
'man'ting 满婷
'man'xiu'lei'dun 曼秀雷敦
'mei'ai'si 美爱斯
'mei'bao'lian 美宝莲
'mei'guo'ya'er 美国雅儿
'mei'hua'li 美华丽
'mei'jia'jing 美加净
'mei'li'chi 魅力匙
'mei'lin'kai 玫琳凯
'mei'si 美思
'mei'ti'kao'jiu 美体考究
'mei'ti'xiao'pu 美体小铺
'meng'zhuang 梦妆
'mi'si'fo'tuo 蜜丝佛佗
'ming'xiang 名香
'mo'gen 摩根
'mo'si'qi'nuo 莫斯奇诺
'na'ai'si 纳爱斯
'na'mei'li'fu 纳美丽芙
'na'sha'di 娜莎迪
'ni'wei'ya 妮维雅
'niu'pai 牛牌
'ou'cui 欧翠
'ou'cui'bi 欧萃碧
'ou'lai'ya 欧莱雅
'ou'mu'long 欧姆龙
'ou'po'lai 欧珀莱
'ou'po'ya 欧珀雅
'ou'shu'dan 欧舒丹
'pa'gao 帕高
'pan'ting 潘婷
'pang'shi 旁氏
'pei'fen'lan 佩芬兰
'pei'li'kang'yi'shi 裴礼康医师
'pi'fu'hu'li 皮肤护理
'pi'fu'yi'sheng 皮肤医生
'piao'rou 飘柔
'pin'nan'shi'qing'hua'zi'guang 品男仕清华紫光
'pin'zi 品姿
'pu'la'da 普拉达
'qi'er'shi 契尔氏
'qi'nuo'er 琪诺尔
'qian'bi 倩碧
'qian'su'si'lian'ying 茜素斯联盈
'qian'ying 倩盈
'qing'fei 清妃
'qu'chen'shi 屈臣氏
'rang'ba'du 让巴度
'ri'ben'mei'ji'shui 日本美肌水
'ru'xin 如新
'rui'li'si 蕊丽思
'rui'sha'na'jia'si 瑞砂纳嘉斯
'sai'lin 赛林
'sai'lu'di 塞露迪
'sai'wei 赛维
'san'zhai'yi'sheng 三宅一生
'sha'la'jie'xi'ka'pai'ke 莎拉杰西卡派克
'sha'li'han'sen 莎莉汉森
'sha'li'si 莎力斯
'sha'man'ting 纱曼婷
'sha'wa'di'ni 莎娃蒂妮
'sha'xuan 沙宣
'shan'la'na 姗拉娜
'shan'lu 闪露
'shan'na 珊娜
'sheng'ai'fu 圣艾芙
'sheng'he 圣荷
'sheng'huo'liang'pin 生活良品
'sheng'luo'lan 圣罗兰
'sheng'qian'ya 圣茜娅
'shi'ba'tai'wan'xin'sheng'huo'mei'rong'guan 施巴台湾新生活美容馆
'shi'bi 诗碧
'shi'bi'man 诗碧曼
'shi'dan'li 诗丹丽
'shi'fen 诗芬
'shi'hua'kou 施华蔻
'shi'nu'bi 史努比
'shi'rui 诗瑞
'shi'wang 狮王
'shi'yi'jia 师夷家
'shu'fu'jia 舒肤佳
'shu'lei 舒蕾
'shu'qi 舒琪
'shu'shi 舒适
'shu'wei 舒维
'shui'guo'zhi'xiang 水果之乡
'shui'zhi'ao 水芝澳
'shui'zhi'ling 水芝灵
'shui'zhi'yin 水之印
'si'bi 斯壁
'si'dun 司顿
'si'kou'er 思蔻尔
'si'li'ren 丝俪人
'si'wei'shi'lan 丝维诗兰
'si'yan'li 思妍丽
'song'qi'er 宋琪儿
'song'xia 松下
'su'ying'li'xiu'he 素盈丽秀禾
'suo'fei'na 索菲娜
'suo'fu'te 索芙特
'ta'li'ka 塔丽卡
'tai'ao'fei 泰奥菲
'tai'ni'mo'ge'le 泰尼莫格勒
'tang'ke'na'er 唐可娜儿
'tang'mi 汤米
'ti'shi'na 缇诗娜
'tie'mei 贴美
'ting'mei 婷美
'tong'ren'tang 同仁堂
'wan'bao'long 万宝龙
'wan'mei 丸美
'wei'jian'mei 维健美
'wei'lu'shi'wan'mei 威露士完美
'wei'na 威娜
'wei'ting 薇婷
'wei'zi 薇姿
'xi'dai 西黛
'xi'lin'di'weng 席琳狄翁
'xi'shi'ke'li 西诗可丽
'xi'si'li 希思黎
'xia'shi'lian 夏士莲
'xian'li'de 纤立得
'xian'ni'lei'de 仙妮蕾德
'xian'xiang 仙香
'xiang'bei'ji 香贝肌
'xiang'fei 香妃
'xiang'nai'er 香奈儿
'xiang'yi'ben'cao 相宜本草
'xiao'hu'shi 小护士
'xiao'mi'feng 小蜜蜂
'xing'cai'hua'lun'tian'nu'gu'bai 型采华伦天奴古柏
'xiu'mei 秀美
'xiu'mei'ren 修美人
'xiu'shen'tang'bei'yin 秀身堂贝印
'xuan'yan 萱妍
'xue'fu 雪富
'xue'ji'li 雪肌丽
'ya'ai'fen'di 雅艾芬迪
'ya'dun 雅顿
'ya'fang 雅芳
'ya'he'ya 雅呵雅
'ya'li'sha 雅丽莎
'ya'qian 雅倩
'ya'shi'lan'dai 雅诗兰黛
'ya'yang 雅漾
'yan'li'fang 研丽坊
'yi'ba'shi 伊芭诗
'yi'fu'li'si 伊芙丽丝
'yi'ka'lu 伊卡璐
'yi'lian'jiao'xue 伊莲娇雪
'yi'mei'ting 伊美婷
'yi'nai'mei 伊奈美
'yi'nian'mei 忆念美
'yi'nuo'zi 伊诺姿
'yi'quan 依泉
'yi'yun 依云
'yong'jia 雍加
'you'lan 幽兰
'you'ni 由你
'yu'lan'you 玉兰油
'yu'xi 羽西
'ze'ping 泽平
'zhan'ni'fu'luo'pei'zi 詹妮弗洛佩兹
'zhao'gui 昭贵
'zhen'shui 贞水
'zheng'ming'ming 郑明明
'zhi'cun'xiu 植村秀
'zhong'hua 中华
'zhong'miao 众淼
'zhu'li'kou'er 茱莉寇儿
'zi'ran'xiao'pu 自然小铺
'zi'ran'zhe'li 自然哲理
'zi'rui 姿芮
'zi'sheng'tang 资生堂
'zui'mei 最美
