'a'lai'ye'shi 阿赖耶识
'nei'liu'jie 内六界
'nei'se 内色
'nei'xin'qian'yu 内心遣余
'neng'bian 能遍
'neng'bian'bu'ke'de'yin 能遍不可得因
'neng'bian'bu'ke'de'ying'cheng 能遍不可得应成
'neng'bian'dui'li'ke'de'yin 能遍对立可得因
'neng'bian'xiang'wei'guo'ke'de 能遍相违果可得
'neng'bian'xiang'wei'guo'wei'ke'de'ying'cheng 能遍相违果位可得应成
'neng'bian'xiang'wei'suo'bian'ke'de 能遍相违所遍可得
'neng'bian'xiang'wei'suo'bian'ke'de'ying'cheng 能遍相违所遍可得应成
'neng'bian'xiang'wei'zi'xing'ke'de 能遍相违自性可得
'neng'bian'xiang'wei'zi'xing'ke'de'ying'cheng 能遍相违自性可得应成
'neng'bie'bu'ji'cheng 能别不极成
'neng'li 能立
'neng'li'bu'qian 能立不遣
'neng'li'fan'ti'tong'lei 能立反体同类
'neng'li'suo'li'liang'ju'bu'qian 能立所立两俱不遣
'neng'li'ying'cheng 能立应成
'neng'li'zheng'cheng 能立证成
'neng'po 能破
'neng'quan'sheng 能诠声
'neng'sheng 能生
'neng'xian'jie'tuo'dao 能显解脱道
'neng'zuo'yin 能作因
'ni'dao'zhou'bian 逆倒周遍
'ni'neng'li'yin 逆能立因
'ni'yuan 逆缘
'ni'zheng'zhou'bian 逆正周遍
'nian'yi'nian 念忆念
'pai'chu'mao'dun 排除矛盾
'ping'deng'xiang'qi 平等香气
'ping'zheng 平整
'ping'zhi'fan'ti 瓶之反体
'po'chu 破除
'po'li'zhe'zhi 破立遮止
'po'si'ju'sheng'yin 破四句生因
'po'you'wu'sheng'yin 破有无生因
'qi'fa'jie 七法界
'qi'zhong'shi'jie 七种识界
'qi'zhong'xin'shi 七种心识
'qian'yu 遣余
'qian'yu'lun 遣余论
'qin'guo'bu'ke'de'yin 亲果不可得因
'qin'guo'zhi'jie'guo 亲果直接果
'qin'jin'qu'yin 亲近取因
'qin'yin'zheng'cheng'guo'yin 亲因证成果因
'qin'yin'zhi'jie'yin 亲因直接因
'qing'jing'yi'ta'qi 清净依他起
'quan'ju'sheng 诠聚声
'quan'lei'sheng 诠类声
'quan'neng'bie'sheng 诠能别声
'quan'ti'sheng 诠体声
'quan'you'fa'sheng 诠有法声
'que'ding'po'guan'dai'yin 确定破观待因
'ran'wu'yi 染污意
'ren'ke 认可
'ren'wo'zhi 人我执
'ren'wu'wo 人无我
'ren'yi 任意
'rong'shi'suo'zhi 容是所知
'ru'shi'yuan'ti'xin 如实缘体心
'ru'shuo 如说
'san'bi'liang 三比量
'san'cha'qing'jing'sheng'yan 三察清净圣言
'san'lei'fan'ti'fa 三类反体法
'san'liang 三量
'san'lun 三轮
'san'suo'liang'fen 三所量分
'san'wei'li'liang 三违理量
'san'xiang'san'xing 三相三性
'san'xiang'wei 三相违
'san'yin 三因
'san'zhen'ru 三真如
'san'zhen'yin 三真因
'san'zhong'bu'cheng'yin 三种不成因
'san'zhong'bu'yin'neng'li'ying'cheng 三种不引能立应成
'san'zhong'fan'ti'tong'yi'bu'cheng 三种反体同一不成
'san'zhong'guan'dai'lun'zhe'bu'cheng 三种观待论者不成
'san'zhong'si'lun'shi 三种似论式
'san'zhong'si'yin 三种似因
'san'zhong'ta'ding'liang 三种他定量
'san'zhong'wu'guo'zhi 三种悟果智
'san'zhong'wu'wei 三种无为
'san'zhong'xian'shi 三种现识
'san'zhong'xiang'wei'guo'wei'ke'de'ying'cheng 三种相违果位可得应成
'san'zhong'xiang'wei'suo'bian'ke'de'ying'cheng 三种相违所遍可得应成
'san'zhong'xiang'wei'yin 三种相违因
'san'zhong'xiang'wei'zi'xing'ke'de'ying'cheng 三种相违自性可得应成
'san'zhong'xin'zhong'bu'cheng 三种心中不成
'san'zhong'you'jing 三种有境
'san'zhong'zhen'yin 三种真因
'se'chu 色处
'se'yun 色蕴
'she'gen 舌根
'she'gen'xian'shi 舌根现识
'she'jing'se'gen 舌净色根
'she'lei'dan'yuan 摄类单元
'she'shi 舌识
'she'zhen'shi'xing'shi'nan 摄真实性释难
'she'zhen'shi'xing'song 摄真实性颂
'shen'gen 身根
'shen'gen'xian'shi 身根现识
'shen'jing'se'gen 身净色根
'shen'shi 身识
'shen'shou 身受
'sheng'chang'zong 声常宗
'sheng'jie 胜解
'sheng'lun'shi 胜论师
'sheng'wen'yu'jia'xian'qian'zhi 声闻瑜伽现前智
'sheng'yan'liang 圣言量
'sheng'yi'ju'xian'fen'bie'xin 声义俱现分别心
'shi'ba'jie 十八界
'shi'ba'zhong'zhao'yin'neng'li'ying'cheng 十八种招引能立应成
'shi'deng'bian 是等遍
'shi'di'zi'xing'bu'gong 时地自性不共
'shi'er'chu 十二处
'shi'er'zhong'bu'bing'cun'xiang'wei'lun'shi 十二种不并存相违论式
'shi'fa 实法
'shi'fan'ti 事反体
'shi'jing 实境
'shi'jing'bu'cheng 事境不成
'shi'jing'fen'bie'xin 实境分别心
'shi'jue'gen'xian'shi 视觉根现识
'shi'jue'yi'xian'shi 视觉意现识
'shi'li'xiang'wei 事理相违
'shi'liang'lun 释量论
'shi'liang'lun'zhuang'yan'shu 释量论庄严疏
'shi'liang'lun'zhuang'yan'shu'zhu 释量论庄严疏注
'shi'liang'lun'zi'zhu 释量论自注
'shi'liu'fa'jie 十六法界
'shi'ming 实名
'shi'qin 世亲
'shi'se'jie 十色界
'shi'shi'bi'liang 事势比量
'shi'shi'dao'li 事势道理
'shi'shi'fan'ti 实事反体
'shi'shi'yin 事势因
'shi'shi'zhi 实事智
'shi'shi'zi'fan 实事自反
'shi'si'zhong'zhao'yin'ta'lei'ying'cheng 十四种招引他类应成
'shi'wu'fen'bie 事物分别
'shi'xiang 事相
'shi'xing'yuan'li'shi 实性远离事
'shi'xun'you'qing'sheng 示寻有情声
'shi'yin'bi 时隐蔽
'shi'yong'guo 士用果
'shi'you 实有
'shi'you'fa 实有法
'shi'you'ming 实有名
'shi'yun 识蕴
'shi'ze'jie'shi 是则皆是
'shi'zhi 实质
'shi'zhi'fa 实质法
'shi'zhi'liao'zhi 识知了知
'shou'suo'yin'se 受所引色
'shou'yun 受蕴
'shu'guo'jian'jie'guo 疏果间接果
'shu'jin'qu'yin'jian'jie'jin'qu'yin 疏近取因间接近取因
'shu'lun'shi 数论师
'shu'yin'jian'jie'yin 疏因间接因
'shu'zhe 属着
'shun'dao'zhou'bian 顺倒周遍
'shun'shi'ren'ke 顺势认可
'shun'yuan'you'li'tiao'jian 顺缘有利条件
'shun'zheng'zhou'bian 顺正周遍
'shuo'duan'pai 说断派
'si'bi'liang 似比量
'si'cha 伺察
'si'cha'shi 伺察识
'si'cha'yi 伺察意
'si'da'zhong'chu 四大种触
'si'dao'zhou'bian 四倒周遍
'si'gen'ben'xian'se 四根本显色
'si'hui 思慧
'si'lun'shi'si'lun'gui 似论式似论轨
'si'neng'li 似能立
'si'neng'po 似能破
'si'suo'li 似所立
'si'suo'sheng'hui 思所生慧
'si'tong'yi'si'tong 四同一四同
'si'xian'liang 似现量
'si'xian'shi 四现识
'si'xiang'wei 四相违
'si'yi 四异
'si'yi'fa'yu 似异法喻
'si'yin 似因
'si'yin'zhi'yi 似因之一
'si'ying'cheng 似应成
'si'yu 似喻
'si'yuan 四缘
'si'ze'yu 思择语
'si'zheng'zhou'bian 四正周遍
'si'zhong'gong'bu'ding'yin 四种共不定因
'si'zhong'shi'you 四种实有
'si'zhong'si'ying'cheng 四种似应成
'si'zhong'xi'qi 四种习气
'si'zhong'xiang'wei'guo'ke'de 四种相违果可得
'si'zhong'xiang'wei'suo'bian'ke'de 四种相违所遍可得
'si'zhong'xiang'wei'yin 四种相违因
'si'zhong'xiang'wei'zi'xing'ke'de 四种相违自性可得
'si'zhong'xin'shi 四种心识
'si'zhong'yin'bian'ju'li'ying'cheng 四种因遍俱立应成
'si'zhong'yin'se 四种因色
'si'zhong'zhao'yin'zi'lei'ying'cheng 四种招引自类应成
'si'zhong'zheng'bu'ding'yin 四种正不定因
'song'fa'zang'fa 诵法藏法
'sui'cong'xin 随从心
'sui'yu 随欲
'suo'bian'nei'han 所遍内涵
'suo'bian'neng'bian'xiang'wei 所遍能遍相违
'suo'bie'bu'ji'cheng 所别不极成
'suo'ju'yin'bu'cheng 所举因不成
'suo'le'xiang 所了相
'suo'le'xiang'wen 所了相闻
'suo'li'bu'qian 所立不遣
'suo'li'fa 所立法
'suo'li'shi 所立事
'suo'li'wu 所立无
'suo'li'you'fa 所立有法
'suo'li'zong 所立宗
'suo'liang 所量
'suo'po'fan'ti'tong'lei 所破反体同类
'suo'po'yin 所破因
'suo'qu'jing 所取境
'suo'qu'xing'xiang 所取行相
'suo'quan 所诠
'suo'sheng 所生
'suo'xing'suo'xing'chu 所行所行处
'suo'yuan'jing 所缘境
'suo'yuan'yuan 所缘缘
'suo'zheng'shi 所诤事
'suo'zhi 所知
'ta'ding'liang 他定量
'ti'tong'mian'yi 体同面异
'tian'ran'xiang 天然香
'ting'jue'gen'xian'shi 听觉根现识
'ting'jue'yi'xian'shi 听觉意现识
'tong'fa'lun'gui 同法论轨
'tong'fen 同分
'tong'fen'yin 同分因
'tong'lei'xi'qi 同类习气
'tong'lei'yin 同类因
'tong'pin 同品
'tong'pin'bian 同品遍
'tong'pin'bian'yi'pin'bian'bu'bian 同品遍异品遍不遍
'tong'pin'ding'wu'yi'pin'bian'you'yin 同品定无异品遍有因
'tong'pin'ding'wu'yi'pin'you'fei'you'yin 同品定无异品有非有因
'tong'pin'yi'pin'liang'ju'bian'you 同品异品两俱遍有
'tong'pin'yi'pin'liang'ju'you'fei'you 同品异品两俱有非有
'tong'pin'you'fei'you 同品有非有
'tong'ti'xiang'zhu 同体相属
'tong'wei 同位
'tong'yi 同一
'tong'yi'bu'ke'de'yin 统一不可得因
'tong'yi'bu'ke'de'yin'si'zhong'lun'shi 统一不可得因四种论式
'tong'yi'er'pin'wu'ding'yin 同异二品无定因
'tui'li'ba'ju'yi 推理八句义
'tui'li'ba'shi 推理八事
'tui'li'qi 推理气
'tui'li'xue 推理学
'tui'lun 推论
'tui'zhi 推知
'wai'jing 外境
'wai'jing'wu'zhi 外境物质
'wai'liu'chu 外六处
'wai'liu'jie 外六界
'wai'se 外色
'wai'yan 外延
'wei'bian'bu'cheng 唯遍不成
'wei'chen 微尘
'wei'chu 味处
'wei'dao'zhou'bian 违倒周遍
'wei'jue'gen'xian'shi 味觉根现识
'wei'jue'yi'xian'shi 味觉意现识
'wei'ta'bi'liang 为他比量
'wei'ta'yin 为他因
'wei'xi'se'fa 微细色法
'wei'yin'bu'cheng 唯因不成
'wei'yue 违越
'wei'zheng'zhou'bian 违正周遍
'wei'zi'bi'liang 为自比量
'wen'hui 闻慧
'wen'suo'sheng'fen'bie 闻所生分别
'wen'suo'sheng'fen'bie'xin 闻所生分别心
'wen'suo'sheng'hui 闻所生慧
'wo'jian'xi'qi 我见习气
'wo'zhi 我执
'wu'bian'yi'yuan'cheng'shi'xing 无变异圆成实性
'wu'bie'jing 五别境
'wu'da'yin 五大因
'wu'fang'fen'chen'zhi 无方分尘质
'wu'fen'bie'cuo'luan'yi'shi 无分别错乱意识
'wu'fen'bie'dian'dao'shi 无分别颠倒识
'wu'fen'bie'shi 无分别识
'wu'gou'zheng'li 无垢正理
'wu'guo 五果
'wu'guo'yin 五果因
'wu'guo'zhi 悟果智
'wu'he'yu 无合喻
'wu'ji 无记
'wu'ji'sheng 无记声
'wu'li'you'si'cha'yi 无理由伺察意
'wu'men'shi 五门识
'wu'qi 雾气
'wu'shi'fen'cha'na 无时分剎那
'wu'shi'yi'xin'suo 五十一心所
'wu'shi'you 无实有
'wu'suo'li'shi 无所立事
'wu'ta 悟他
'wu'ta'lun'shu 悟他论疏
'wu'ti 物体
'wu'xin 悟心
'wu'yin'ke'de'ying'cheng 无因可得应成
'wu'yin'xin 悟因心
'wu'yun 五蕴
'wu'zhe 无遮
'wu'zhe'qian'yu 无遮遣余
'wu'zhi 物质
'wu'zhi'shou'da'zhong'sheng 无执受大种声
'wu'zhong'fa'chu'suo'she'se 五种法处所摄色
'wu'zhong'gen'xian'shi 五种根现识
'wu'zhong'si'yi'fa'yu 五种似异法喻
'wu'zhong'yi'xian'shi 五种意现识
'wu'zhuo 无着
'xi'mo 细末
'xi'qi 习气
'xi'se 细色
'xian'er'bu'wu 现而不悟
'xian'er'bu'wu'gen'xian'shi 现而不悟根现识
'xian'er'bu'wu'yi'xian'shi 现而不悟意现识
'xian'er'bu'wu'zi'zheng'fen 现而不悟自证分
'xian'liang 现量
'xian'liang'di'chu 现量抵触
'xian'liang'guo 现量果
'xian'liang'xiang'wei 现量相违
'xian'qian'fen 现前分
'xian'qian'shi 现前识
'xian'qian'zai'jue'shi 现前再决识
'xian'ru'wei'yue 陷入违越
'xian'se 显色
'xian'shi'san'bu 现识三步
'xian'xian'jing 显现境
'xian'yin'san'xiang 显因三相
'xian'yin'zhen'shi'xing'lun 显因真实性论
'xian'yin'zheng'cheng'guo'yin 先因证成果因
'xian'zhi'ci 限制词
'xiang'cheng'jiu'bian'ji'suo'zhi 相成就遍计所执
'xiang'chu 香处
'xiang'qi 香气
'xiang'wei'suo'bian'ke'de'ying'cheng 相违所遍可得应成
'xiang'wei'yin 相违因
'xiang'wei'you'yu 相违有余
'xiang'xu 相续
'xiang'ying'gen 相应根
'xiang'ying'xing 相应行
'xiang'ying'yin 相应因
'xiang'yun 想蕴
'xiang'zhu 相属
'xiao'chu 消除
'xiao'guan'liang 小观量
'xin'jie 信解
'xin'jing'bu'cheng 心境不成
'xin'lei'xue 心类学
'xin'liang 心量
'xin'ming'yong'san'fa 心名用三法
'xin'shi'zuo'yong 心识作用
'xin'shou 心受
'xin'si 心思
'xin'suo 心所
'xin'wang 心王
'xin'xu'bi'liang 信许比量
'xin'xu'yin 信许因
'xing'ming'shi'xiang 性名事相
'xing'se 形色
'xing'tong 性同
'xing'xiang 性相
'xing'xiang'ming'xiang'ba'men'bian'you 性相名相八门遍有
'xing'yi 性异
'xing'yun 行蕴
'xiu'jue'gen'xian'shi 嗅觉根现识
'xiu'jue'yi'xian'shi 嗅觉意现识
'xiu'suo'sheng'fen'bie'xin 修所生分别心
'xiu'suo'sheng'hui 修所生慧
'xiu'xi'hui 修习慧
'xun'si 寻思
'xun'si'zhe 寻思者
'yan'gen 眼根
'yan'gen'xian'shi 眼根现识
'yan'jing'se'gen 眼净色根
'yan'shai 颜色
'yan'shi 眼识
'yan'wu 烟雾
'yan'yu'fen'bie 言语分别
'yan'yu'shi 言语时
'yi'bu'xiang'tong 异不相同
'yi'chu 意处
'yi'fa'lun'shi 异法论式
'yi'fa'tong'yi 依法同一
'yi'fan'ti'fen'cheng'de'liang'zhong'xiang'wei 依反体分成的两种相违
