'a'er'ci'hai'mo'bing 阿尔茨海默病
'shen'shang'xian'pi'zhi'gong'neng'jian'tui'zheng 肾上腺皮质功能减退症
'shen'shuai'jie 肾衰竭
'shen'xiao'qiu'shen'yan 肾小球肾炎
'shi'mian'zheng 失眠症
'shu'yi 鼠疫
'shui'dian'jie'zhi'dai'xie'he'suan'jian'ping'heng'shi'chang 水电解质代谢和酸碱平衡失常
'shui'dou 水痘
'shui'zhong 水肿
'tan'ju 炭疽
'tang'niao'bing 糖尿病
'tong'feng 痛风
'tong'jing 痛经
'tou'tong 头痛
'wei'chang'gong'neng'wen'luan 胃肠功能紊乱
'wei'shi'guan'fan'liu'bing 胃食管反流病
'xi'jun'xing'li'ji 细菌性痢疾
'xi'jun'xing'nao'mo'yan 细菌性脑膜炎
'xi'jun'xing'shang'hu'xi'dao'gan'ran 细菌性上呼吸道感染
'xi'tong'xing'hong'ban'lang'chuang 系统性红斑狼疮
'xi'tong'xing'ying'hua'bing 系统性硬化病
'xian'chui'ti'gong'neng'jian'tui'zheng 腺垂体功能减退症
'xiao'hua'xing'kui'yang 消化性溃疡
'xin'ji 心悸
'xin'ji'ji'bing 心肌疾病
'xin'li'shuai'jie 心力衰竭
'xin'lv'shi'chang 心律失常
'xin'qian'qu'tong 心前区痛
'xin'sheng'er'fei'yan 新生儿肺炎
'xin'sheng'er'hu'xi'jiong'po'zong'he'zheng 新生儿呼吸窘迫综合征
'xin'sheng'er'huang'dan 新生儿黄疸
'xin'xue'guan'qiang'jiu'yao 心血管抢救药
'xing'chuan'bo'ji'bing 性传播疾病
'xing'hong're 猩红热
'xiong'tong 胸痛
'xiu'ke 休克
'xuan'yun 眩晕
'xue'guan'shen'jing'xing'tou'tong 血管神经性头痛
'xue'guan'xing'chi'dai 血管性痴呆
'xue'niao 血尿
'xue'shuan'xing'ji'bing 血栓性疾病
'xue'xi'chong'gan'ran 血吸虫感染
'xue'xiao'ban'jian'shao'xing'zi'dian 血小板减少性紫癜
'xue'zhi'sheng'gao 血脂升高
'yan'bu'gan'ran 眼部感染
'yan'yang'jun'suo'zhi'fei'yan 厌氧菌所致肺炎
'yao'bei'tong 腰背痛
'yi'xian'yan 胰腺炎
'yi'xing'bing'du'xing'gan'yan 乙型病毒性肝炎
'yi'yu'zheng 抑郁症
'ying'yang'que'fa 营养缺乏
'yuan'fa'xing'jia'zhuang'pang'xian'gong'neng'kang'jin'zheng 原发性甲状旁腺功能亢进症
'yuan'fa'xing'quan'gu'tong'zeng'duo'zheng 原发性醛固酮增多症
'zao'kuang'zheng 躁狂症
'zhen'jun'gan'ran'xing'ji'bing 真菌感染性疾病
'zhi'qi'guan'kuo'zhang 支气管扩张
'zhi'qi'guan'xiao'chuan 支气管哮喘
'zhi'ti'tan'huan 肢体瘫痪
'zhong'du'xing'ji'bing 中毒性疾病
'zhong'er'yan 中耳炎
'zhong'liu 肿瘤
'zhong'zheng'ji'wu'li 重症肌无力
'zhou'wei'xue'guan'bing 周围血管病
'zhu'ru'zheng 侏儒症
'zhu'wang'mo'xia'qiang'chu'xie 蛛网膜下腔出血
'zhu'yi'que'xian'yu'duo'dong'zhang'ai 注意缺陷与多动障碍
'zi'dian 紫癜
'zu'se'xing'fei'qi'zhong 阻塞性肺气肿
