'an'dian 鞍点
'fen'pi'biao'zhun'hua 分批标准化
'feng'nuo'yi'man'jia'gou 冯诺伊曼架构
'fu'dian'shu'bian'ma 浮点数编码
'fu'dian'shu'bian'ma'ji'yin 浮点数编码基因
'fu'dui'shu'si'ran 负对数似然
'fu'hao'bian'ma'ji'yin 符号编码基因
'fu'hao'xue'xi 符号学习
'fu'hao'zhu'yi 符号主义
'fu'lei 负类
'fu'xiang'guan'fa 负相关法
'gai'jin'de'die'dai'chi'du'fa 改进的迭代尺度法
'gai'lv'suan'fa 概率算法
'gai'lv'suan'zi 概率算子
'gai'lv'tu'mo'xing 概率图模型
'gai'nian'piao'yi 概念漂移
'gai'nian'xue'xi'xi'tong 概念学习系统
'gan'zhi'ji 感知机
'gan'zhi'qi 感知器
'gao'si'bian'yi 高斯变异
'gao'si'he'han'shu 高斯核函数
'gao'si'hun'he'mo'xing 高斯混合模型
'ge'lei'ma 格雷码
'ge'ping'mian'fa 割平面法
'ge'ti 个体
'ge'ti'bian'ma 个体编码
'ge'ti'xue'xi'qi 个体学习器
'gen'jie'dian 根结点
'gong'neng'shen'jing'yuan 功能神经元
'gong'shi'ying 共适应
'gong'xian 共现
'gong'xiang'han'shu 共享函数
'gu'ge'shen'jing'ji'qi'fan'yi 谷歌神经机器翻译
'gu'you'zhi 固有值
'guan'lian'fen'xi 关联分析
'guang'yi'la'ge'lang'ri'han'shu 广义拉格朗日函数
'guang'yi'rui'li'shang 广义瑞利商
'guang'yi'xian'xing'mo'xing 广义线性模型
'gui'na 归纳
'gui'na'luo'ji'cheng'xu'she'ji 归纳逻辑程序设计
'gui'na'pian'hao 归纳偏好
'gui'na'xue'xi 归纳学习
'gui'yi'hua 归一化
'gui'ze'xue'xi 规则学习
'gui'ze'yin'qing 规则引擎
'guo'cai'yang 过采样
'guo'ji'ji'qi'xue'xi'da'hui 国际机器学习大会
'guo'ji'ji'qi'xue'xi'hui'yi 国际机器学习会议
'guo'ji'shen'jing'xin'xi'chu'li'xi'tong'hui'yi 国际神经信息处理系统会议
'guo'ji'xue'xi'li'lun'hui'yi 国际学习理论会议
'guo'ni'he 过拟合
'guo'pei 过配
'hai'ming'ju'li 海明距离
'hai'sai'ju'zhen 海塞矩阵
'han'shu'zui'you'hua 函数最优化
'he'fan'shu 核范数
'he'fang'fa 核方法
'he'ji'qiao 核技巧
'he'tang'he'suan'wen'jian'xing 核糖核酸稳健性
'he'xian'xing'pan'bie'fen'xi 核线性判别分析
'he'ye'sun'shi'han'shu 合页损失函数
'hong'cha'quan'lv 宏查全率
'hong'cha'zhun'lv 宏查准率
'hou'jian'zhi 后剪枝
'hou'xu'jian'yan 后续检验
'hu'xin'xi 互信息
'hui'gui 回归
'hui'hua'dai'li 会话代理
'hui'hua'zhi'neng'ti 会话智能体
'hun'he'ji'suan 混合计算
'hun'he'yi'chuan'suan'fa 混合遗传算法
'hun'he'zhuan'jia 混合专家
'hun'xiao'ju'zhen 混淆矩阵
'ji'ben'bian'yi 基本变异
'ji'ben'yi'chuan'suan'fa 基本遗传算法
'ji'bu'si'cai'yang 吉布斯采样
'ji'cha'ji'yong'sheng'cheng'wang'luo 即插即用生成网络
'ji'cheng'xiu'jian 集成修剪
'ji'cheng'xue'xi 集成学习
'ji'da'si'ran'fa 极大似然法
'ji'da'si'ran'gu'ji 极大似然估计
'ji'huo'han'shu 激活函数
'ji'lian'xiang'guan 级联相关
'ji'lv 几率
'ji'mu'kuai'jia'she 积木块假设
'ji'ni'zhi'shu 基尼指数
'ji'qi'fan'yi 机器翻译
'ji'qi'ren 机器人
'ji'qi'xue'xi 机器学习
'ji'qun 集群
'ji'suan'cheng'ben 计算成本
'ji'suan'ji'shi'jue 计算机视觉
'ji'suan'yu'yan'xue 计算语言学
'ji'xiao'ji'da'bo'yi 极小极大博弈
'ji'xie'xue'xi 机械学习
'ji'xing'jian'ce 极性检测
'ji'xue'xi'qi 基学习器
'ji'xue'xi'suan'fa 基学习算法
'ji'ya'han'shu 挤压函数
'ji'yin 基因
'ji'yin'kuai'jia'she 基因块假设
'ji'yin'xing 基因型
'ji'yin'yin'xing 基因隐性
'ji'yin'zu 基因组
'ji'yin'zuo 基因座
'ji'yu'neng'liang'de'mo'xing 基于能量的模型
'ji'yu'wei'yuan'hui'de'xue'xi 基于委员会的学习
'jia'fan'li 假反例
'jia'fu'lei 假负类
'jia'han'shu 价函数
'jia'quan'tiao'he'ping'jun 加权调和平均
'jia'quan'tou'piao'fa 加权投票法
'jia'she 假设
'jia'she'yan'zheng 假设验证
'jia'xing'xue'xi 加性学习
'jia'zheng'lei 假正类
'jia'zheng'li 假正例
'jia'zheng'li'lv 假正例率
'jian'du'xue'xi 监督学习
'jian'ge'li'lun 间隔理论
'jian'zhi 剪枝
'jiang'wei'suan'fa 降维算法
'jiao'cha 交叉
'jiao'cha'gai'lv 交叉概率
'jiao'cha'shang 交叉熵
'jiao'cha'suan'zi 交叉算子
'jiao'cha'yan'zheng 交叉验证
'jiao'cha'yan'zheng'fa 交叉验证法
'jiao'zhun 校准
'jie'duan'chi'du'bian'huan 截断尺度变换
'jie'duan'dian 截断点
'jie'gou'feng'xian 结构风险
'jie'gou'feng'xian'zui'xiao'hua 结构风险最小化
'jie'ma 解码
'jie'xi'shu 解析树
'jin'duan'ti'du'xia'jiang 近端梯度下降
'jin'hua 进化
'jin'hua'ce'lue 进化策略
'jin'hua'gui'hua 进化规划
'jin'hua'ji'suan 进化计算
'jin'hua'suan'fa 进化算法
'jin'lin'cheng'fen'fen'xi 近邻成分分析
'jin'si 近似
'jing'du 精度
'jing'xiang'ji'han'shu 径向基函数
'jing'yan'feng'xian 经验风险
'jing'yan'shang 经验熵
'jing'yan'tiao'jian'shang 经验条件熵
'jing'yan'wu'cha 经验误差
'jing'zheng'xing'xue'xi 竞争型学习
'jiu'cuo'shu'chu'ma 纠错输出码
'ju'bing'xing'yi'chuan'suan'fa 巨并行遗传算法
'ju'bu'ma'er'ke'fu'xing 局部马尔可夫性
'ju'bu'sou'suo 局部搜索
'ju'bu'zui'xiao 局部最小
'ju'lei 聚类
'ju'lei'fen'xi 聚类分析
'ju'lei'ji'cheng 聚类集成
'ju'li'du'liang 距离度量
'ju'li'du'liang'xue'xi 距离度量学习
'juan'ji'shen'jing'wang'luo 卷积神经网络
'jue'ce'bian'jie 决策边界
'jue'ce'shu 决策树
'jue'ce'shu'zhuang 决策树桩
'jue'dui'duo'shu'tou'piao'fa 绝对多数投票法
'jun'fang'wu'cha 均方误差
'jun'yun'bian'yi 均匀变异
'jun'yun'jiao'cha 均匀交叉
'jun'zhi'ju'lei 均值聚类
'ke'chong'fu'cai'yang 可重复采样
'ke'jie'shi'xing 可解释性
'ke'li'jie'xing 可理解性
'ke'wei'fen'shen'jing'ji'suan'ji 可微分神经计算机
'la'ge'lang'ri'cheng'zi 拉格朗日乘子
'la'ge'lang'ri'dui'ou'xing 拉格朗日对偶性
'la'pu'la'si'ping'hua 拉普拉斯平滑
'la'pu'la'si'xiu'zheng 拉普拉斯修正
'lan'duo'xue'xi 懒惰学习
'lei'bi'xue'xi 类比学习
'lei'bie'bu'ping'heng 类别不平衡
'lei'ji'wu'cha'ni'chuan'bo 累积误差逆传播
'lei'jian'san'du'ju'zhen 类间散度矩阵
'lei'nei'san'du'ju'zhen 类内散度矩阵
'lei'tiao'jian'gai'lv 类条件概率
'li'ce'lue 离策略
'li'san'shu'xing 离散属性
'li'xian'xing'neng 离线性能
'li'zi'qun'you'hua'suan'fa 粒子群优化算法
'lian'jie'quan 连接权
'lian'jie'zhu'yi 连接主义
'lian'xi'han'shu 联系函数
'lian'xu'shu'xing 连续属性
'liang'zi'hua'shen'jing'wang'luo 量子化神经网络
'liang'zi'ji'suan 量子计算
'liang'zi'ji'suan'ji 量子计算机
'lie'lian'biao 列联表
'lie'ming'shu'xing 列名属性
'lin'ju'mo'xing 邻居模型
'ling'ci'xue'xi 零次学习
'ling'luan'yi'chuan'suan'fa 凌乱遗传算法
'ling'shu'ju'xue'xi 零数据学习
'ling'yu'zi'shi'ying 领域自适应
'liu'chu'fa 留出法
'liu'xing'jia'she 流形假设
'liu'xing'xue'xi 流形学习
'liu'yi'fa 留一法
'lu'bang'xing 鲁棒性
'lv'xing'shang'wen'ti 旅行商问题
'ma'er'ke'fu'lian 马尔可夫链
'ma'er'ke'fu'lian'meng'te'ka'luo'fang'fa 马尔可夫链蒙特卡罗方法
'ma'er'ke'fu'sui'ji'chang 马尔可夫随机场
'man'zhi'ju'zhen 满秩矩阵
'mei'ju'sou'suo'suan'fa 枚举搜索算法
'mei'you'mian'fei'de'wu'can'ding'li 没有免费的午餐定理
'mi'du'gu'ji 密度估计
'mi'du'ju'lei 密度聚类
'miao'shu'bu'zu 描述不足
'miao'shu'guo'sheng 描述过剩
'ming'ming'shi'ti'shi'bie 命名实体识别
'mo'ni'tui'huo 模拟退火
'mo'ni'tui'huo'suan'fa 模拟退火算法
'mo'shi'ding'li 模式定理
'mo'shi'ding'yi'chang'du 模式定义长度
'mo'shi'jie 模式阶
'mo'tai'zui'you'hua 模态最优化
'mo'xing'xuan'ze 模型选择
'mu'biao'han'shu 目标函数
'na'shi'jun'heng 纳什均衡
'ni'niu'dun'fa 拟牛顿法
'niu'dun'fa 牛顿法
'ou'ji'li'de'ju'li 欧几里得距离
'ou'shi'ju'li 欧氏距离
'pa'shan'sou'suo'suan'fa 爬山搜索算法
'pai'ji 排挤
'pan'bie'mo'xing 判别模型
'pan'bie'qi 判别器
'pan'ding'shu 判定树
'pei'dui 配对
'pei'dui'gui'ze 配对规则
'pi'liang'gui'yi'hua 批量归一化
'pian'cha 偏差
'pian'zhi 偏置
'pin'jie'suan'zi 拼接算子
'pin'lv'zhu'yi'xue'pai 频率主义学派
'ping'fang'sun'shi 平方损失
'ping'fen'han'shu 评分函数
'ping'gu'fang'fa 评估方法
'ping'heng'dian 平衡点
'ping'hua 平滑
'ping'jun'chi'hua 平均池化
'ping'jun'ti'du 平均梯度
'pu'ju'lei 谱聚类
'pu'su'bei'ye'si 朴素贝叶斯
'pu'su'bei'ye'si'fen'lei'qi 朴素贝叶斯分类器
'qi'fa'shi'suan'fa 启发式算法
'qi'wang'sun'shi 期望损失
'qi'wang'zhi'xuan'ze'mo'xing 期望值选择模型
'qi'wang'zui'da'hua 期望最大化
'qi'yi'zhi'fen'jie 奇异值分解
'qian'cai'yang 欠采样
'qian'kui'shen'jing'wang'luo 前馈神经网络
'qian'ni'he 欠拟合
'qian'pei 欠配
'qian'ru 嵌入
'qian'xiang'fen'bu'suan'fa 前向分步算法
'qian'yi'xue'xi 迁移学习
'qian'zai'yu'yi'fen'xi 潜在语义分析
'qiang'hua'xue'xi 强化学习
'qie'duan'suan'zi 切断算子
'qie'fen'bian'liang 切分变量
'qin'he'ju'zhen 亲和矩阵
'qing'gan'fen'xi 情感分析
'qing'xu'fen'xi 情绪分析
'quan'gong'xiang 权共享
'quan'ju'sou'suo 全局搜索
'quan'ju'you'hua 全局优化
'quan'ju'zui'xiao 全局最小
'quan'zhong 权重
'que'ding'shi'cai'yang'xuan'ze 确定式采样选择
'que'zhi 阙值
'qun'ti 群体
'qun'ti'da'xiao 群体大小
'qun'ti'duo'yang'xing 群体多样性
'qun'ti'ping'jun'shi'ying'du 群体平均适应度
'ran'se'ti 染色体
'ren'gong'shen'jing'wang'luo 人工神经网络
'ren'gong'sheng'ming 人工生命
'ren'gong'zhi'neng 人工智能
'ren'gong'zhi'neng'yan'jiu'suo 人工智能研究所
'ruan'jian'ge 软间隔
'ruan'jian'ge'zui'da'hua 软间隔最大化
'ruan'tou'piao 软投票
'ruo'xue'xi'qi 弱学习器
'san'du 散度
'shang'cai'yang 上采样
'shen'du'juan'ji'sheng'cheng'dui'kang'wang'luo 深度卷积生成对抗网络
'shen'du'shen'jing'wang'luo 深度神经网络
'shen'du'wang'luo 深度网络
'shen'du'xin'nian'wang'luo 深度信念网络
'shen'du'xue'xi 深度学习
'shen'jing'ji'qi'fan'yi 神经机器翻译
'shen'jing'tu'ling'ji 神经图灵机
'sheng'cheng'dui'kang'wang'luo 生成对抗网络
'sheng'cheng'mo'xing 生成模型
'sheng'cheng'qi 生成器
'shi'cuo'fa 试错法
'shi'cuo'xing 试错性
'shi'han'shu 势函数
'shi'jian'bu'zhou 时间步骤
'shi'li 示例
'shi'ying'du 适应度
'shi'ying'du'chi'du'bian'huan 适应度尺度变换
'shi'ying'du'han'shu 适应度函数
'shi'ying'du'jing'xiang 适应度景象
'shou'lian 收敛
'shou'shi'zhe'gong'zuo'te'zheng 受试者工作特征
'shou'xian'bo'er'zi'man'ji 受限玻尔兹曼机
'shu'chu 输出
'shu'chu'ceng 输出层
'shu'chu'kong'jian 输出空间
'shu'chu'tiao'zhi'fa 输出调制法
'shu'ju'ji 数据集
'shu'ju'wa'jue 数据挖掘
'shu'ku 树库
'shu'ru 输入
'shu'ru'ceng 输入层
'shu'ru'kong'jian 输入空间
'shu'xing 属性
'shu'xing'dai'jia 属性代价
'shu'xing'kong'jian 属性空间
'shu'xing'tiao'jian'du'li'xing'jia'she 属性条件独立性假设
'shu'xing'zhi 属性值
'shu'zhi'shu'xing 数值属性
'shuang'bei'ti 双倍体
'shuang'dian'jiao'cha 双点交叉
'shuang'xiang'chang'duan'qi'ji'yi 双向长短期记忆
'shun'xu'jiao'cha 顺序交叉
'song'chi'bian'liang 松弛变量
'suan'fa 算法
'suan'shu'jiao'cha 算术交叉
'sui'ji'lian'sai'xuan'ze'mo'xing 随机联赛选择模型
'sui'ji'man'bu 随机漫步
'sui'ji'sen'lin'suan'fa 随机森林算法
'sui'ji'sou'suo'suan'fa 随机搜索算法
'sui'ji'suan'fa 随机算法
'sui'ji'ti'du'xia'jiang 随机梯度下降
'sui'ji'you'zou'pai'xu 随机游走排序
'sun'shi 损失
'sun'shi'han'shu 损失函数
'ta'jiao'shi'mo'xing 踏脚石模型
'tan'lan'suan'fa 贪婪算法
'te'hua 特化
'te'zheng 特征
'te'zheng'gong'cheng 特征工程
'te'zheng'xiang'liang 特征向量
'te'zheng'xuan'ze 特征选择
'te'zheng'xue'xi 特征学习
'te'zheng'zhi'fen'jie 特征值分解
'ti'dai'han'shu 替代函数
'ti'dai'sun'shi 替代损失
'ti'du'bao'zha'wen'ti 梯度爆炸问题
'ti'du'ti'sheng 梯度提升
'ti'du'xia'jiang 梯度下降
'ti'du'xiao'shi'wen'ti 梯度消失问题
'tiao'can 调参
'tiao'he'ping'jun 调和平均
'tiao'jian'feng'xian 条件风险
'tiao'jian'gai'lv'biao 条件概率表
'tiao'jian'hu'xin'xi 条件互信息
'tiao'jian'shang 条件熵
'tiao'jian'sui'ji'chang 条件随机场
'tiao'jian'sui'ji'yu 条件随机域
'tong'bu'ding'wei'yu'di'tu'gou'jian 同步定位与地图构建
'tong'guo'shi'jian'de'fan'xiang'chuan'bo 通过时间的反向传播
'tong'ji'xue'xi 统计学习
'tong'xian 同现
'tong'yi'ci'ji 同义词集
'tong'yong'ren'gong'zhi'neng 通用人工智能
'tong'yong'wen'ti'qiu'jie 通用问题求解
'tong'zhi 同质
'tu'er'ci'gui'hua 凸二次规划
'tu'ling'ji 图灵机
'tu'lun 图论
'tu'xing 凸性
'tu'xing'chu'li'dan'yuan 图形处理单元
'tu'xing'chu'li'qi 图形处理器
'tuo'yang'he'tang'he'suan 脱氧核糖核酸
'wan'pu'ni'ke'ze'fan'lan'jie'si'li'lun 万普尼克泽范兰杰斯理论
'wei'biao'ji 伪标记
'wei'cha'quan'lv 微查全率
'wei'cha'zhun'lv 微查准率
'wei'jian'shi'li 未见示例
'wei'shu 维数
'wei'shu'zai'nan 维数灾难
'wei'te'bi'suan'fa 维特比算法
'wei'tiao 微调
'wen'hua'suan'fa 文化算法
'wen'jian'xing 稳健性
'wu'dao'shi'xue'xi 无导师学习
'wu'fen'lei'cheng'ben 误分类成本
'wu'fen'lei'dai'jia 误分类代价
'wu'hui'fang'sui'ji'xuan'ze 无回放随机选择
'wu'hui'fang'yu'shu'sui'ji 无回放余数随机
'wu'jian'du'xue'xi 无监督学习
'wu'jian'du'zhu'ceng'xun'lian 无监督逐层训练
'wu'xu'shu'xing 无序属性
'xi'er'bo'te'kong'jian 希尔伯特空间
'xi'he'fan'shi 析合范式
'xi'li'du'bing'xing'yi'chuan'suan'fa 细粒度并行遗传算法
'xi'shu'biao'zheng 稀疏表征
'xi'shu'xing 稀疏性
'xia'cai'yang 下采样
'xian'ding'deng'ju'xing 限定等距性
'xian'xing'chi'du'bian'huan 线性尺度变换
'xian'xing'hui'gui 线性回归
'xian'xing'ji'yin 显性基因
'xian'xing'lian'tiao'jian'sui'ji'chang 线性链条件随机场
'xian'xing'mo'xing 线性模型
'xian'xing'pan'bie'fen'xi 线性判别分析
'xian'xing'xiu'zheng'dan'yuan 线性修正单元
'xian'xing'xiu'zheng'han'shu 线性修正函数
'xian'yan 先验
'xiang'dui'duo'shu'tou'piao'fa 相对多数投票法
'xiang'guan'xi'shu 相关系数
'xiang'he'xing 相合性
'xiang'si'du'du'liang 相似度度量
'xiao'sheng'jing 小生境
'xie'jue'ce'shu 斜决策树
'xin'xi'shang 信息熵
'xin'xi'zeng'yi 信息增益
'xing'neng'du'liang 性能度量
'xu'guan'xi 序关系
'xuan'ze 选择
'xuan'ze'mo'xing 选择模型
'xuan'ze'suan'zi 选择算子
'xuan'ze'zhong'pai'xu'suan'zi 选择重排序算子
'xue'xi 学习
'xue'xi'lv 学习率
'xue'xi'qi 学习器
'xue'xi'xiang'liang'liang'hua 学习向量量化
'xun'huan'jiao'cha 循环交叉
'xun'huan'shen'jing'wang'luo 循环神经网络
'xun'lian 训练
'xun'lian'ji 训练集
'xun'lian'li 训练例
'xun'lian'shi'li 训练示例
'xun'lian'shu'ju 训练数据
'xun'lian'wu'cha 训练误差
'xun'lian'yang'ben 训练样本
'ya'jie'dian 哑结点
'yan'hua'ji'suan 演化计算
'yan'yi 演绎
'yan'zheng'ji 验证集
'yang'ben 样本
'yang'ben'kong'jian 样本空间
'yang'li 样例
'yi'chang'jian'ce 异常检测
'yi'chuan 遗传
'yi'chuan'bian'cheng 遗传编程
'yi'chuan'suan'fa 遗传算法
'yi'chuan'suan'fa'qi'pian'wen'ti 遗传算法欺骗问题
'yi'chuan'suan'zi 遗传算子
'yi'chuan'xue 遗传学
'yi'chuan'yin'ni 遗传隐匿
'yi'ci'xing'xue'xi 一次性学习
'yi'zhi'xing 一致性
'yin'bian'liang 隐变量
'yin'cang'ceng 隐藏层
'yin'di'li'ke'lei'fen'bu 隐狄利克雷分布
'yin'dong'tai'mo'xing 隐动态模型
'yin'han'bing'xing'xing 隐含并行性
'yin'han'di'li'ke'lei'fen'bu 隐含狄利克雷分布
'yin'ma'er'ke'fu'mo'xing 隐马尔可夫模型
'yin'zi'fen'jie 因子分解
'ying'jian'ge 硬间隔
'ying'tou'piao 硬投票
'you'dao'shi'xue'xi 有导师学习
'you'fang'hui'cai'yang 有放回采样
'you'xiang'bian 有向边
'you'xiang'fen'li 有向分离
'you'xu'shu'xing 有序属性
'yu'jian'zhi 预剪枝
'yu'xian'xiang'si'du 余弦相似度
'yu'xuan'ze 预选择
'yu'yan'xian'xiang 语言现象
'yu'yin'shi'bie 语音识别
'yu'zhi 阈值
'yu'zhi'luo'ji'dan'yuan 阈值逻辑单元
'yu'zhi'yi'dong 阈值移动
'yuan'xue'xi'qi 元学习器
'yuan'yi'chuan'suan'fa 元遗传算法
'za'he'zi 杂合子
'zai'ce'lue 在策略
'zai'sheng'he'xi'er'bo'te'kong'jian 再生核希尔伯特空间
'zai'suo'fang 再缩放
'zai'xian'xing'neng 在线性能
'zao'qi'shou'lian 早期收敛
'zao'yin'dui'bi'gu'ji 噪音对比估计
'zeng'liang'xue'xi 增量学习
'zeng'yi'lv 增益率
'zhang'liang 张量
'zhang'liang'chu'li'dan'yuan 张量处理单元
'zhao'hui'lv 召回率
'zhen'dang 震荡
'zhen'fan'li 真反例
'zhen'fu'lei 真负类
'zhen'zheng'lei 真正类
'zhen'zheng'li 真正例
'zhen'zheng'li'lv 真正例率
'zheng'ding'ju'zhen 正定矩阵
'zheng'lei 正类
'zheng'li 正例
'zheng'ze'hua 正则化
'zheng'ze'hua'xiang 正则化项
'zhi'chi'xiang'liang'ji 支持向量机
'zhi'chi'xiang'liang'zhan'shi 支持向量展式
'zhi'neng'ti 智能体
'zhi'shi'biao'zheng 知识表征
'zhi'shi'gong'cheng 知识工程
'zhi'shi'han'shu 指示函数
'zhi'shi'ku 知识库
'zhi'shu'sun'shi'han'shu 指数损失函数
'zhi'si'ji'yin 致死基因
'zhi'tui'xue'xi 直推学习
'zhi'wu'shou'fen'mo'xing 植物授粉模型
'zhi'xin'du 置信度
'zhong'bao 众包
