'ai'xi'jing'shen 爱惜精神
'xing'wang'dao'bi'ben'tian'de 行王道必本天德
'xiu'de'bu'qi'huo'bao 修德不期获报
'xu'ling'ren'jia'xiong'zhong'dian'tou 须令人家胸中点头
'xu'ling'zi'jia'xiong'zhong'dian'tou 须令自家胸中点头
'xue'sheng'xian'ke'ji'gong'fu 学圣贤克己工夫
'xue'wen'lei 学问类
'xue'zhi 学之
'yan'jie'yao'kuo 眼界要阔
'yi'cheng'qi'mei 益成其美
'yi'ge'yong'wei'gu'chui 以歌咏为鼓吹
'yi'hao'ba'zhuo'bu'de 一毫把捉不得
'yi'hao'jin'ru'bu'de 一毫进入不得
'yi'hao'shou'yong'bu'de 一毫受用不得
'yi'hao'zhuan'dong'bu'de 一毫转动不得
'yi'ji'wen'wei'ju'ji 以记问为居积
'yi'le'tian'zhi'ming'wei'yi'gui 以乐天知命为依归
'yi'lun'li'wei'zhen'gan 以伦理为桢干
'yi'nai'ke'yi'qi'xin 疑乃可以启信
'yi'qian'yan'wang'xing'wei'shi'you 以前言往行为师友
'yi'sheng'xian'zhi'dao'chu'kou'yi 以圣贤之道出口易
'yi'sheng'xian'zhi'dao'fen'shi'yi 以圣贤之道奋始易
'yi'sheng'xian'zhi'dao'gong'xing'nan 以圣贤之道躬行难
'yi'sheng'xian'zhi'dao'jiao'ren'yi 以圣贤之道教人易
'yi'sheng'xian'zhi'dao'ke'zhong'nan 以圣贤之道克终难
'yi'sheng'xian'zhi'dao'zhi'ji'nan 以圣贤之道治己难
'yi'shi'ye'wei'jie'shi 以事业为结实
'yi'shu'shi'wei'yuan'lin 以书史为园林
'yi'song'du'wei'geng'yun 以诵读为耕耘
'yi'ting'zhi'nei 一庭之内
'yi'wen'zhang'wei'hua'e 以文章为花萼
'yi'xin'ning'ju 一心凝聚
'yi'xin'shu'wei'ben'gen 以心术为本根
'yi'xue'wen'wei'zai'she 以学问为灾畬
'yi'yi'li'wei'gao'liang 以义理为膏梁
'yi'zhong'xin'du'jing'wei'xiu'chi 以忠信笃敬为修持
'yi'zhu'shu'wei'wen'xiu 以著述为文绣
'yi'zuo'shan'jiang'xiang'wei'shou'yong 以作善降祥为受用
'you'wei'gui'shen 幽畏鬼神
'yu'cong'ming'yu'hao 愈聪明愈好
'yu'cong'ming'yu'miu 愈聪明愈谬
'yu'li'shui'ze'shen'ku 鱼离水则身枯
'yu'ren'tan'li 与人谈理
'yu'zhou'nei'shi 宇宙内事
'yue'jin'si 曰近思
'yue'xia'xue 曰下学
'yue'xiao'xin 曰小心
'yue'yong'xing 曰庸行
'za'ze'shen'dang'er'bu'shou 杂则神荡而不收
'zai'gu'ren'zhi'hou'yi'gu'ren'zhi'shi 在古人之后议古人之失
'zai'wo'suo'qiu'yi'shu 在我所求亦恕
'ze'guan'shu'bu'tu'wei'zhang'ju 则观书不徒为章句
'ze'lun'shi'bu'miu'yu'sheng'xian 则论事不谬于圣贤
'ze'nan 则难
'ze'ren'er'bu'ze'ji 责人而不责己
'ze'wan'li'yu'tong'er'yu'liu 则万理愈通而愈流
'ze'yi 则易
'ze'yi'xin'yu'jing'er'yu'jin 则一心愈精而愈谨
'ze'you'yu'ling 则有余灵
'ze'you'yu'ming 则有余明
'zhi'guo'jing'bang 治国经邦
'zhi'ren'er'fu'zhi'tian 知人而复知天
'zhi'you'yi'hao'cu'shu'chu 只有一毫粗疏处
'zhi'you'yi'hao'er'san'xin 只有一毫二三心
'zhi'zhi'suo'qu 志之所趋
'zhi'zhi'suo'xiang 志之所向
'zhong'lun'xiao'zhi'er'bi'yi 众论淆之而必疑
'zhu'jun'dao'ci'he'wei 诸君到此何为
'zi'you'zhi'le 自有至乐
'zui'shi'yong 醉时勇
