'ai'gao'qiu'zhi'wu'nv 哀高丘之无女
'fu'shu'yi'dao'er'xiang'an 夫孰异道而相安
'fu'wei'jie'jing'yi'jiong'bu 夫唯捷径以窘步
'fu'wei'ling'xiu'zhi'gu'ye 夫唯灵修之故也
'fu'wei'sheng'zhe'yi'mao'xing'xi 夫维圣哲以茂行兮
'gao'ao'xiang'zhi'yi'yi 高翱翔之翼翼
'gao'yu'guan'zhi'ji'ji'xi 高余冠之岌岌兮
'gao'yu'yi'ji'gu 告余以吉故
'ge'xing'xin'er'ji'du 各兴心而嫉妒
'geng'wu'ji'de'ci'zhong'zheng 耿吾既得此中正
'gou'de'lie'hu'zhong'fang 苟得列乎众芳
'gou'de'yong'ci'xia'tu 苟得用此下土
'gou'yu'qing'qi'xin'fang 苟余情其信芳
'gou'yu'qing'qi'xin'hu'yi'lian'yao'xi 苟余情其信姱以练要兮
'gou'yu'xin'qi'duan'zhi'xi 苟余心其端直兮
'gou'zhong'qing'qi'hao'xiu'xi 苟中情其好修兮
'gu'jiang'chou'ku'er'zhong'qiong 固将愁苦而终穷
'gu'jiang'zhong'hun'er'zhong'shen 固将重昏而终身
'gu'luan'liu'qi'xian'zhong'xi 固乱流其鲜终兮
'gu'qian'sheng'zhi'suo'hou 固前圣之所厚
'gu'qian'xiu'yi'zu'hai 固前修以菹醢
'gu'shi'su'zhi'gong'qiao'xi 固时俗之工巧兮
'gu'shi'su'zhi'liu'cong'xi 固时俗之流从兮
'gu'zhong'fang'zhi'suo'zai 固众芳之所在
'guan'bi'li'zhi'luo'rui 贯薜荔之落蕊
'guan'qie'yun'zhi'cui'wei 冠切云之崔嵬
'gui'fu'ren'yi'chen'ci'xi 跪敷衽以陈辞兮
'gui'zhong'ji'yi'sui'yuan'xi 闺中既以邃远兮
'gun'xing'zhi'yi'wang'shen'xi 鲧婞直以亡身兮
'guo'shang 国殇
'guo'wu'ren'mo'wo'zhi'xi 国无人莫我知兮
'hao'bi'mei'er'cheng'e 好蔽美而称恶
'hao'bi'mei'er'ji'du 好蔽美而嫉妒
'he'bu'gai'hu'ci'du 何不改乎此度
'he'diao'du'yi'zi'yu'xi 和调度以自娱兮
'he'fang'huan'zhi'neng'zhou'xi 何方圜之能周兮
'he'jie'zhou'zhi'chang'pi'xi 何桀纣之昌披兮
'he'li'xin'zhi'ke'tong'xi 何离心之可同兮
'he'qiong'pei'zhi'yan'jian'xi 何琼佩之偃蹇兮
'he'suo'du'wu'fang'cao'xi 何所独无芳草兮
'he'xi'ri'zhi'fang'cao'xi 何昔日之芳草兮
'hou'fei'lian'shi'ben'shu 后飞廉使奔属
'hou'hui'dun'er'you'ta 后悔遁而有他
'hou'xin'zhi'zu'hai'xi 后辛之菹醢兮
'hu'ben'zou'yi'xian'hou'xi 忽奔走以先后兮
'hu'chi'wu'yi'zhui'zhu'xi 忽驰骛以追逐兮
'hu'fan'gu'yi'liu'ti'xi 忽反顾以流涕兮
'hu'fan'gu'yi'you'mu'xi 忽反顾以游目兮
'hu'fu'ai'yi'ying'yao'xi 户服艾以盈要兮
'hu'hu'wu'jiang'xing'xi 忽乎吾将行兮
'hu'jiang'li'yu'pi'zhi'xi 扈江离与辟芷兮
'hu'lin'ni'fu'jiu'xiang 忽临睨夫旧乡
'hu'wei'hua'qi'nan'qian 忽纬繣其难迁
'hu'wu'xing'ci'liu'sha'xi 忽吾行此流沙兮
'huai'jiao'xu'er'yao'zhi 怀椒糈而要之
'huai'xin'cha'chi 怀信侘傺
'huai'zhen'qing'er'bu'fa'xi 怀朕情而不发兮
'huang'lan'kui'yu'chu'du'xi 皇览揆余初度兮
'huang'shan'shan'qi'yang'ling'xi 皇剡剡其扬灵兮
'huang'tian'wu'si'a'xi 皇天无私阿兮
'hui'jiao'long'shi'liang'jin'xi 麾蛟龙使梁津兮
'hui'xiang'dao'zhi'bu'cha'xi 悔相道之不察兮
'hui'zhen'che'yi'fu'lu'xi 回朕车以复路兮
'hun'po'yi'xi'wei'gui'xiong 魂魄毅兮为鬼雄
'ji'fu'rong'yi'wei'shang 集芙蓉以为裳
'ji'gan'jin'er'wu'ru'xi 既干进而务入兮
'ji'mo'zu'yu'wei'mei'zheng'xi 既莫足与为美政兮
'ji'nian'sui'zhi'wei'yan'xi 及年岁之未晏兮
'ji'qian'wang'zhi'zhong'wu 及前王之踵武
'ji'rong'hua'zhi'wei'luo'xi 及荣华之未落兮
'ji'shao'kang'zhi'wei'jia'xi 及少康之未家兮
'ji'ti'yu'yi'hui'rang'xi 既替余以蕙纕兮
'ji'xing'mi'zhi'wei'yuan 及行迷之未远
'ji'yu'shi'zhi'fang'zhuang'xi 及余饰之方壮兮
'ji'yuan'xiang'yi'nan'zheng'xi 济沅湘以南征兮
'ji'zhi'ye'zhi'jun'mao'xi 冀枝叶之峻茂兮
'ji'zhi'yi'ri'ye 继之以日夜
'ji'zun'dao'er'de'lu 既遵道而得路
'jia'ba'long'zhi'wan'wan'xi 驾八龙之婉婉兮
'jia'qing'qiu'xi'can'bai'chi 驾青虬兮骖白螭
'jian'chao'sui'er'xi'ti 謇朝谇而夕替
'jian'wu'fa'fu'qian'xiu'xi 謇吾法夫前修兮
'jian'you'song'zhi'yi'nv 见有娀之佚女
'jiang'wang'guan'hu'si'huang 将往观乎四荒
'jiao'jun'gui'yi'ren'hui'xi 矫菌桂以纫蕙兮
'jiao'shen'bei'fu'qiang'yu'xi 浇身被服强圉兮
'jiao'zhuan'ning'yi'man'tao'xi 椒专佞以慢慆兮
'jie'pei'rang'yi'jie'yan'xi 解佩纕以结言兮
'jie'you'lan'er'yan'zhu 结幽兰而延伫
'jie'yu'kun'shou'xi 接舆髡首兮
'jin'bu'ru'yi'li'you'xi 进不入以离尤兮
'jin'zhi'wei'ci'xiao'ai'ye 今直为此萧艾也
'jing'bi'ri'xi'di'ruo'yun 旌蔽日兮敌若云
'jing'qiong'mi'yi'wei'zhang 精琼爢以为粻
'jing'zhou'rong'yi'wei'du 竞周容以为度
'jiu'yi'bin'qi'bing'ying 九疑缤其并迎
'jiu'zhong'hua'er'chen'ci 就重华而陈词
'ju'xian'cai'er'shou'neng'xi 举贤才而授能兮
'jue'shou'yong'fu'dian'yun 厥首用夫颠陨
'ke'ai'feng'yu'shang'zheng 溘埃风余上征
'ke'wu'you'ci'chun'gong'xi 溘吾游此春宫兮
'kong'dao'yan'zhi'bu'gu 恐导言之不固
'kong'gao'xin'zhi'xian'wo 恐高辛之先我
'kong'huang'yu'zhi'bai'ji 恐皇舆之败绩
'kong'ji'du'er'zhe'zhi 恐嫉妒而折之
'kong'mei'ren'zhi'chi'mu 恐美人之迟暮
'kong'nian'sui'zhi'bu'wu'yu 恐年岁之不吾与
'kong'ti'gui'zhi'xian'ming'xi 恐鹈鴂之先鸣兮
'kong'xiu'ming'zhi'bu'li 恐修名之不立
'kui'ping'xin'er'li'zi 喟凭心而历兹
'lai'wei'qi'er'gai'qiu 来违弃而改求
'lai'wu'dao'fu'xian'lu 来吾道夫先路
'lan'cha'cao'mu'qi'you'wei'de'xi 览察草木其犹未得兮
'lan'jiao'lan'qi'ruo'zi'xi 览椒兰其若兹兮
'lan'min'de'yan'cuo'fu 览民德焉错辅
'lan'ru'hui'yi'yan'ti'xi 揽茹蕙以掩涕兮
'lan'xiang'guan'yu'si'ji'xi 览相观於四极兮
'lan'yu'chu'qi'you'wei'hui 览余初其犹未悔
'lan'zhi'bian'er'bu'fang'xi 兰芷变而不芳兮
'lao'ran'ran'qi'jiang'zhi'xi 老冉冉其将至兮
'lei'shi'gao'yu'yi'wei'ju 雷师告余以未具
'li'ji'ri'hu'wu'jiang'xing 历吉日乎吾将行
'li'ruo'er'mei'zhuo'xi 理弱而媒拙兮
'li'sao 离骚
'liao'fu'you'er'qiu'nv 聊浮游而求女
'liao'fu'you'yi'xiao'yao 聊浮游以逍遥
'liao'jia'ri'yi'tou'le 聊假日以媮乐
'liao'xiao'yao'yi'xiang'yang 聊逍遥以相羊
'ling'fen'ji'gao'yu'yi'ji'zhan'xi 灵氛既告余以吉占兮
'ling'yu'zhen'xi'lie'yu'xing 凌余阵兮躐余行
'liu'you'yu'zhi'er'yao 留有虞之二姚
'lu'bu'zhou'yi'zuo'zhuan'xi 路不周以左转兮
'lu'man'man'qi'xiu'yuan'xi 路曼曼其修远兮
'lu'shen'xin'yi 露申辛夷
'lu'xiu'yuan'yi'duo'jian'xi 路修远以多艰兮
'lu'xiu'yuan'yi'zhou'liu 路修远以周流
'lu'you'mei'yi'xian'ai 路幽昧以险隘
'luan'huang'wei'yu'xian'jie'xi 鸾皇为余先戒兮
'luan'niao'feng'huang 鸾鸟凤皇
'luan'yue 乱曰
'luan'yue'yi'yi'zai 乱曰已矣哉
'lv'wang'zhi'gu'dao'xi 吕望之鼓刀兮
'mai'liang'lun'xi'zhi'si'ma 霾两轮兮絷四马
'mi'bu'zhi'wu'suo'ru 迷不知吾所如
'mi'yu'ruo'jiang'bu'ji'xi 汨余若将不及兮
'mian'gui'ju'er'gai'cuo 偭规矩而改错
'min'hao'wu'qi'bu'tong'xi 民好恶其不同兮
'min'sheng'ge'you'suo'le'xi 民生各有所乐兮
'ming'ling'fen'wei'yu'zhan'zhi 命灵氛为余占之
'ming'yu'luan'zhi'jiu'jiu 鸣玉鸾之啾啾
'ming'yu'yue'zheng'ze'xi 名余曰正则兮
'mo'hao'xiu'zhi'hai'ye 莫好修之害也
'nai'sui'yan'er'feng'yang 乃遂焉而逢殃
'nai'yuan'you'zhi'suo'ju 乃猿狖之所居
'nian'ji'lao'er'bu'shuai 年既老而不衰
'ning'ke'si'yi'liu'wang'xi 宁溘死以流亡兮
'ning'qi'zhi'ou'ge'xi 甯戚之讴歌兮
'nv'xu'zhi'chan'yuan'xi 女媭之婵媛兮
'pan'du'li'er'bu'fu 判独离而不服
'pei'bin'fen'qi'fan'shi'xi 佩缤纷其繁饰兮
'piao'feng'tun'qi'xiang'li'xi 飘风屯其相离兮
'ping'bu'yan'hu'qiu'suo 凭不厌乎求索
'ping'yuan'hu'xi'lu'chao'yuan 平原忽兮路超远
'pu'fu'bei'yu'ma'huai'xi 仆夫悲余马怀兮
'qi'cheng'mei'zhi'neng'dang 岂珵美之能当
'qi'huan'wen'yi'gai'fu 齐桓闻以该辅
'qi'jiu'bian'yu'jiu'ge'xi 启九辨与九歌兮
'qi'liu'yi'yu'jie'che'xi 畦留夷与揭车兮
'qi'qi'you'ta'gu'xi 岂其有他故兮
'qi'wei'ren'fu'hui'chai 岂维纫夫蕙茝
'qi'wei'shi'qi'you'nv 岂惟是其有女
'qi'wu'bang'yi'ji'tai 齐吴榜以击汰
'qi'yu'dai'er'bing'chi 齐玉轪而并驰
'qi'yu'shen'zhi'dan'yang'xi 岂余身之僤殃兮
'qi'yu'xin'zhi'ke'cheng 岂余心之可惩
'qian'mu'gen'yi'jie'chai'xi 掔木根以结茝兮
'qian'wang'shu'shi'xian'qu'xi 前望舒使先驱兮
'qiang'nei'shu'ji'yi'liang'ren'xi 羌内恕己以量人兮
'qiang'wu'shi'er'rong'chang 羌无实而容长
'qiang'zhong'dao'er'gai'lu 羌中道而改路
'qiu'ju'yue'zhi'suo'tong 求矩矱之所同
'qiu'mi'fei'zhi'suo'zai 求宓妃之所在
'qu'xin'er'yi'zhi'xi 屈心而抑志兮
'quan'bu'kui'yu'zhi'zhong'qing'xi 荃不揆余之中情兮
'quan'hui'hua'er'wei'mao 荃蕙化而为茅
'quan'ju'gu'er'bu'xing 蜷局顾而不行
'ren'er'bu'neng'she'ye 忍而不能舍也
'ren'qiu'lan'yi'wei'pei 纫秋兰以为佩
'ren'you'er'rang'gou 忍尤而攘诟
'ri'hu'hu'qi'jiang'mu 日忽忽其将暮
'ri'kang'yu'er'zi'wang'xi 日康娱而自忘兮
'ri'kang'yu'yi'yin'you 日康娱以淫游
'ri'yi'yuan'xi 日以远兮
'ri'yue'hu'qi'bu'yan'xi 日月忽其不淹兮
'ru'he'bo'jian'er'hao'xiu'xi 汝何博謇而好修兮
'ru'xu'pu'yu'chan'huai'xi 入溆浦余儃佪兮
'sang'hu'luo'xing 桑扈臝行
'sha'you'yu'chong'fu'pei'wei 榝又欲充夫佩帏
'shan'jun'gao'yi'bi'ri'xi 山峻高以蔽日兮
'shang'ling'xiu'zhi'shu'hua 伤灵修之数化
'she'ti'zhen'yu'meng'zou'xi 摄提贞于孟陬兮
'shen'gao'chi'zhi'miao'miao 神高驰之邈邈
'shen'ji'si'xi'shen'yi'ling 身既死兮神以灵
'shen'lin'yao'yi'ming'ming'xi 深林杳以冥冥兮
'shen'shen'qi'li'yu'yue 申申其詈予曰
'shi'ai'ai'qi'jiang'ba'xi 时暧暧其将罢兮
'shi'bin'fen'qi'bian'yi'xi 时缤纷其变易兮
'shi'bing'ju'er'hao'peng'xi 世并举而好朋兮
'shi'bu'dang'xi 时不当兮
'shi'fu'bai'cao'wei'zhi'bu'fang 使夫百草为之不芳
'shi'hun'zhuo'er'bu'fen'xi 世溷浊而不分兮
'shi'hun'zhuo'er'ji'xian'xi 世溷浊而嫉贤兮
'shi'hun'zhuo'er'mo'yu'zhi'xi 世溷浊而莫余知兮
'shi'jiao'zhui'xi'tu'zheng'xian 矢交坠兮土争先
'shi'yi'you'qi'wei'yang 时亦犹其未央
'shi'you'mei'yi'xuan'yao'xi 世幽昧以昡曜兮
'shou'shen'li'xi'xin'bu'cheng 首身离兮心不惩
'shu'fei'shan'er'ke'fu 孰非善而可服
'shu'qiu'mei'er'shi'nv 孰求美而释女
'shu'xin'xiu'er'mu'zhi 孰信修而慕之
'shu'yun'cha'yu'zhi'shan'e 孰云察余之善恶
'shu'yun'cha'yu'zhi'zhong'qing 孰云察余之中情
'shuai'yun'ni'er'lai'yu 帅云霓而来御
'shuo'cao'zhu'yu'fu'yan'xi 说操筑於傅岩兮
'si'jiu'zhou'zhi'bo'da'xi 思九州之博大兮
'si'lin'bo'xi 死林薄兮
'si'yu'qiu'yi'cheng'yi'xi 驷玉虬以乘鹥兮
'su'fen'rang'yi'chong'wei'xi 苏粪壤以充帏兮
'sui'bu'zhou'yu'jin'zhi'ren'xi 虽不周於今之人兮
'sui'jiu'si'qi'you'wei'hui 虽九死其犹未悔
'sui'pi'yuan'zhi'he'shang 虽僻远之何伤
'sui'ti'jie'wu'you'wei'bian'xi 虽体解吾犹未变兮
'sui'wei'jue'qi'yi'he'shang'xi 虽萎绝其亦何伤兮
'sui'xin'mei'er'wu'li'xi 虽信美而无礼兮
'suo'hu'sheng'zhi'li 索胡绳之纚
'suo'qiong'mao'yi'ting'tuan'xi 索琼茅以筳篿兮
'tang'yu'yan'er'qiu'he'xi 汤禹俨而求合兮
'tang'yu'yan'er'zhi'jing'xi 汤禹俨而祗敬兮
'teng'zhong'che'shi'jing'dai 腾众车使径待
'tian'shi'dui'xi'wei'ling'nu 天时怼兮威灵怒
'tui'jiang'fu'xiu'wu'chu'fu 退将复修吾初服
'tun'yu'che'qi'qian'sheng'xi 屯余车其千乘兮
'wang'yan'zi'er'wu'po 望崦嵫而勿迫
'wang'yao'tai'zhi'yan'jian'xi 望瑶台之偃蹇兮
'wei'cao'mu'zhi'ling'luo'xi 惟草木之零落兮
'wei'ci'dang'ren'qi'du'yi 惟此党人其独异
'wei'ci'dang'ren'zhi'bu'liang'xi 惟此党人之不谅兮
'wei'dang'ren'zhi'tou'le'xi 惟党人之偷乐兮
'wei'geng'yin'wu'yi'jiang 惟庚寅吾以降
'wei'jue'mei'er'li'zi 委厥美而历兹
'wei'jue'mei'yi'cong'su'xi 委厥美以从俗兮
'wei'shen'jiao'qi'bu'fang 谓申椒其不芳
'wei'you'lan'qi'bu'ke'pei 谓幽兰其不可佩
'wei'yu'jia'fei'long'xi 为余驾飞龙兮
'wei'zhao'zhi'qi'you'wei'kui 唯昭质其犹未亏
'wei'zi'pei'zhi'ke'gui'xi 惟兹佩之可贵兮
'wu'bu'neng'bian'xin'er'cong'su'xi 吾不能变心而从俗兮
'wu'ding'yong'er'bu'yi 武丁用而不疑
'wu'du'qiong'kun'hu'ci'shi'ye 吾独穷困乎此时也
'wu'fang'gao'chi'er'bu'gu 吾方高驰而不顾
'wu'jiang'cong'peng'xian'zhi'suo'ju 吾将从彭咸之所居
'wu'jiang'shang'xia'er'qiu'suo 吾将上下而求索
'wu'jiang'yuan'shi'yi'zi'shu 吾将远逝以自疏
'wu'ling'di'hun'kai'guan'xi 吾令帝阍开关兮
'wu'ling'feng'long'cheng'yun'xi 吾令丰隆乘云兮
'wu'ling'feng'niao'fei'teng'xi 吾令凤鸟飞腾兮
'wu'ling'jian'xiu'yi'wei'li 吾令蹇修以为理
'wu'ling'xi'he'mi'jie'xi 吾令羲和弭节兮
'wu'ling'zhen'wei'mei'xi 吾令鸩为媒兮
'wu'xian'jiang'xi'jiang'xi 巫咸将夕降兮
'wu'you'he'yuan'hu'jin'zhi'ren 吾又何怨乎今之人
'wu'yu'zhong'hua'you'xi'yao'zhi'pu 吾与重华游兮瑶之圃
'wu'zi'feng'yang'xi 伍子逢殃兮
'wu'zi'yong'shi'hu'jia'xiang 五子用失乎家巷
'xi'can'qiu'ju'zhi'luo'ying 夕餐秋菊之落英
'xi'gui'ci'yu'qiong'shi'xi 夕归次於穷石兮
'xi'lan'zhou'zhi'su'mang 夕揽洲之宿莽
'xi'san'hou'zhi'chun'cui'xi 昔三后之纯粹兮
'xi'su'chen'yang 夕宿辰阳
'xi'yu'zhi'hu'xi'ji 夕余至乎西极
'xi'yu'zhi'hu'xian'pu 夕余至乎县圃
'xia'jie'zhi'chang'wei'xi 夏桀之常违兮
'xia'kang'yu'yi'zi'zong 夏康娱以自纵
'xia'you'hui'yi'duo'yu 下幽晦以多雨
'xian'bu'bi'yi 贤不必以
'xian'xue'fen'qi'wu'yin'xi 霰雪纷其无垠兮
'xiang'guan'min'zhi'ji'ji 相观民之计极
'xiang'xia'nv'zhi'ke'yi 相下女之可诒
'xin'you'yu'er'hu'yi 心犹豫而狐疑
'xin'you'yu'er'hu'yi'xi 心犹豫而狐疑兮
'xing'sao'bing'yu 腥臊并御
'xiong'jiu'zhi'ming'shi'xi 雄鸠之鸣逝兮
'xun'sheng'mo'er'bu'po 循绳墨而不颇
'yan'hui'shui'er'ning'zhi 淹回水而凝滞
'yan'que'wu'que 燕雀乌鹊
'yan'sha'jin'xi'qi'yuan'ye 严杀尽兮弃原野
'yan'zhu'hu'wu'jiang'fan 延伫乎吾将反
'yang'yun'ni'zhi'yan'ai'xi 扬云霓之晻蔼兮
'yao'zhuo'wei'yu'yi'shan'yin 谣诼谓余以善淫
'yi'chang'he'er'wang'yu 倚阊阖而望予
'yi'qian'sheng'yi'jie'zhong'xi 依前圣以节中兮
'yi'yin'you'yi'yi'tian'xi 羿淫游以佚畋兮
'yi'yu'xin'zhi'suo'shan'xi 亦余心之所善兮
'yi'zhi'er'mi'jie'xi 抑志而弭节兮
'yin'yang'yi'wei 阴阳易位
'yin'yu'ma'yu'xian'chi'xi 饮余马於咸池兮
'yin'zong'yong'er'bu'chang 殷宗用而不长
'you'du'chu'hu'shan'zhong 幽独处乎山中
'you'hao'she'fu'feng'hu 又好射夫封狐
'you'he'bi'yong'fu'xing'mei 又何必用夫行媒
'you'he'fang'zhi'neng'zhi 又何芳之能祗
'you'he'huai'hu'gu'du 又何怀乎故都
'you'he'ke'yi'yan'liu 又何可以淹留
'you'kuang'jie'che'yu'jiang'li 又况揭车与江离
'you'shen'zhi'yi'lan'chai 又申之以揽茝
'you'shu'hui'zhi'bai'mu 又树蕙之百亩
'you'shu'neng'wu'bian'hua 又孰能无变化
'you'zhong'zhi'yi'xiu'neng 又重之以修能
'yu'bu'ren'wei'ci'tai'ye 余不忍为此态也
'yu'cong'ling'fen'zhi'ji'zhan'xi 欲从灵氛之吉占兮
'yu'du'hao'xiu'yi'wei'chang 余独好修以为常
'yu'gu'zhi'jian'jian'zhi'wei'huan'xi 余固知謇謇之为患兮
'yu'ji'bu'nan'fu'li'bie'xi 余既不难夫离别兮
'yu'ji'zi'lan'zhi'jiu'wan'xi 余既滋兰之九畹兮
'yu'jiang'dong'dao'er'bu'yu'xi 余将董道而不豫兮
'yu'qian'shi'er'jie'ran'xi 与前世而皆然兮
'yu'ri'yue'xi'qi'guang 与日月兮齐光
'yu'shao'liu'ci'ling'suo'xi 欲少留此灵琐兮
'yu'sui'hao'xiu'hu'yi'ji'ji'xi 余虽好修姱以鞿羁兮
'yu'tian'di'xi'tong'shou 与天地兮同寿
'yu'yan'neng'ren'er'yu'ci'zhong'gu 余焉能忍而与此终古
'yu'yi'lan'wei'ke'shi'xi 余以兰为可恃兮
'yu'you'e'qi'tiao'qiao 余犹恶其佻巧
'yu'you'hao'ci'qi'fu'xi 余幼好此奇服兮
'yu'yuan'ji'er'wu'suo'zhi'xi 欲远集而无所止兮
'yu'zi'shi'er'bu'ke 欲自適而不可
'yuan'ling'xiu'zhi'hao'dang'xi 怨灵修之浩荡兮
'yuan'si'shi'hu'wu'jiang'yi 原俟时乎吾将刈
'yuan'yi'peng'xian'zhi'yi'ze 愿依彭咸之遗则
'yuan'yu'bao'xi'ji'ming'gu 援玉枹兮击鸣鼓
'yue'huang'hun'yi'wei'qi'xi 曰黄昏以为期兮
'yue'liang'mei'qi'bi'he'xi 曰两美其必合兮
'yue'mian'sheng'jiang'yi'shang'xia'xi 曰勉升降以上下兮
'yue'mian'yuan'shi'er'wu'hu'yi'xi 曰勉远逝而无狐疑兮
'yun'fei'fei'er'cheng'yu 云霏霏而承宇
'za'du'heng'yu'fang'zhi 杂杜衡与芳芷
'za'shen'jiao'yu'jun'gui'xi 杂申椒与菌桂兮
'za'yao'xiang'yi'wei'che 杂瑶象以为车
'zai'yun'qi'zhi'wei'yi 载云旗之委蛇
'zao'zhou'wen'er'de'ju 遭周文而得举
'zhan'qian'er'gu'hou'xi 瞻前而顾后兮
'zhan'wu'dao'fu'kun'lun'xi 邅吾道夫昆仑兮
'zhan'yu'jin'zhi'lang'lang 霑余襟之浪浪
'zhao'xi'huang'shi'she'yu 诏西皇使涉予
'zhao'xi'yu'yi'jia'ming 肇锡余以嘉名
'zhe'qiong'zhi'yi'ji'pei 折琼枝以继佩
'zhe'qiong'zhi'yi'wei'xiu'xi 折琼枝以为羞兮
'zhe'ruo'mu'yi'fu'ri'xi 折若木以拂日兮
'zhe'wang'you'bu'wu 哲王又不寤
'zhen'gao'yu'yi'bu'hao 鸩告余以不好
'zhen'huang'kao'yue'bo'yong 朕皇考曰伯庸
'zhi'ji'he'yi'wei'yi'xi 制芰荷以为衣兮
'zhi'jiu'tian'yi'wei'zheng'xi 指九天以为正兮
'zhi'jiu'yao'er'neng'tiao 挚咎繇而能调
'zhi'niao'zhi'bu'qun'xi 鸷鸟之不群兮
'zhi'sheng'huang'zhi'he'xi'xi 陟升皇之赫戏兮
'zhi'xi'hai'yi'wei'qi 指西海以为期
'zhong'ai'ran'er'bi'zhi 众薆然而蔽之
'zhong'bu'bi'yong'xi 忠不必用兮
'zhong'bu'cha'fu'min'xin 终不察夫民心
'zhong'bu'ke'hu'shuo'xi 众不可户说兮
'zhong'gang'qiang'xi'bu'ke'ling 终刚强兮不可凌
