'a'yi'su 阿依苏
'fu'liang'shu 伏梁鼠
'fu'lu'bao 伏禄宝
'fu'lu'shou 伏禄寿
'fu'lu'wa 伏禄娃
'fu'ma'zhuang 伏马庄
'fu'ming'wu'ji 浮名无寄
'fu'rong'ge'li 芙蓉蛤蜊
'fu'she'zhu 副社主
'fu'shu'zhi'fu 伏鼠之缚
'fu'xi'shan 浮戏山
'fu'xue'xian'bing 拂雪衔冰
'gao'ji'shu'xing 高级属性
'geng'duo'xuan'xiang 更多选项
'gong'fa 功法
'gong'fang 工坊
'gong'sun'deng 公孙登
'gong'zi'shu 公子书
'gou'lan'wa'si 勾栏瓦肆
'gou'zui'duo'shi 狗嘴夺食
'gu'xiang'hua 骨相花
'gu'yun 孤云
'gu'zhong'bu'ci 孤忠不辞
'guan'shan'han 关山寒
'gui'can'lu'rou'tang 归参鹿肉汤
'gui'gong'zi 鬼公子
'gui'nai'nai 龟奶奶
'gui'shi'zi 鬼市子
'gui'yan'jing 归燕经
'guo'wei'nai'pi'juan 果味奶皮卷
'guo'xin 郭昕
'ha'shi'qi 哈是骑
'hai'chang'chong 海长虫
'han'xiang'xun 寒香寻
'han'yi 寒姨
'hao'bing 号兵
'hao'jiu 郝久
'he'bo 河伯
'he'dao'zhai 贺刀寨
'he'ming 和鸣
'he'qing'jun 河清军
'he'qing'nan'si 河清难俟
'he'ren'yin 何人饮
'he'shan'ru'gu 河山如故
'he'xi 河西
'hei'cai'shen 黑财神
'hen'hua 狠话
'hen'hua'fang'yu 狠话防御
'hen'hua'shang'hai'jia'cheng 狠话伤害加成
'hen'hua'shang'hai'xue'jian 狠话伤害削减
'heng'dao'wu'xue 横刀武学
'hong'chen'wu'yan 红尘无眼
'hong'chen'zhang'mu 红尘障目
'hong'gou'gu'qu 鸿沟古渠
'hong'lu'ya'ji 红炉雅集
'hong'shao'wu'yu 红烧乌鱼
'hong'xiao'xiang'duan 红绡香断
'hu'bei'xiong'yao 虎背熊腰
'hu'lu'fei'fei 葫芦飞飞
'hua'hai 花海
'hua'ming'ce 花名册
'hua'shang'yue'ling 花上月令
'huan'qian'jun 唤千军
'huan'shi'pu 浣石浦
'huang'ci'an'ying 荒祠暗影
'huang'jin'xi 黄金膝
'huang'quan'niang 黄泉酿
'huang'shi'lin 荒蚀林
'hui'feng'zhao'ying 回风照影
'hui'guang 慧广
'hui'miao 慧妙
'hui'shuang'si 烩双丝
'hui'su 回溯
'hui'xin'lv 会心率
'hui'xin'shang'hai'jia'cheng 会心伤害加成
'hui'xin'zhi'liao'jia'cheng 会心治疗加成
'hui'yao 慧药
'hui'yi'lv 会意率
'hui'yi'shang'hai'jia'cheng 会意伤害加成
'hui'yong 慧勇
'huo'dong 活动
'huo'qiang'bing 火枪兵
'huo'yue'jiang'li 活跃奖励
'ji'chu'shu'xing 基础属性
'ji'chu'wu'xue 基础武学
'ji'gu'zhen'duan 肌骨诊断
'ji'guan'zhu 寄棺主
'ji'ju'jiu'jian 积矩九剑
'ji'ke'qi'wu 即刻起舞
'ji'le'qi'xue 极乐泣血
'ji'xing 记性
'ji'ying 集英
'ji'zhui'bao 疾追豹
'ji'zi'geng 鸡子羹
'jia'fen'fu 加分符
'jia'ye 家业
'jian'qi'zong'heng 剑气纵横
'jian'wu'xu'fa 箭无虚发
'jian'wu'xue 剑武学
'jian'zao'zhu'zhai 建造住宅
'jiang'hu'hao'ling 江湖号令
'jiang'hu'tong'zhu 江湖同住
'jiang'jun'ci 将军祠
'jiang'nan'yi 江南意
'jiang'shan'bi 江山碧
'jiao'men'li 角门里
'jie'du'shi'fu 节度使府
'jie'du'zhi'si 节度之死
'jie'fu'dao'fa 嗟夫刀法
'jie'fu'dao'fa 姐夫刀法
'jie'suan'yan'chu 结算演出
'jin'chan'teng'yue 金蟾腾跃
'jin'chun'niang 靳春娘
'jin'gang'hu'ti 金刚护体
'jin'gong 进攻
'jin'lin'zhu'yue 锦鳞逐月
'jin'ming'chi 金明池
'jin'sha'chuan 金沙川
'jin'shen'da'ji 谨慎打击
'jin'shen'fang'yu 谨慎防御
'jin'shen'hu'dun'zui'da'zhi 谨慎护盾最大值
'jin'xiao'bao 靳小宝
'jin'yu'shou 金玉手
'jin'zhan'shu'chu 近战输出
'jin'zhong'yuan 晋中原
'jing'lei'zhen 惊雷震
'jing'luo'zhen'duan 经络诊断
'jing'qi'shang'xian 精气上限
'jing'ye'si 静夜思
'jing'zhun'lv 精准率
'jiu'chong'chun'se 九重春色
'jiu'cun'yi'zhi 旧村遗址
'jiu'hang'jian'ling 酒行剑令
'jiu'liu'men 九流门
'jiu'qu'jing'shen'qiang 九曲惊神枪
'jiu'quan'zhen 酒泉镇
'jiu'rou'shan'lin 酒肉山林
'ju'dian 据点
'jue'se 角色
'jue'se'xiang'qing 角色详情
'jue'xue 绝学
'jue'zhang'lin 觉障林
'jun'chen'yao 君臣药
'kai'feng 开封
'kai'feng'bei'jiao 开封北郊
'kai'feng'dong'jiao 开封东郊
'kai'feng'fu 开封府
'kai'feng'nan'jiao 开封南郊
'kai'feng'xi'jiao 开封西郊
'kai'shi'pi'pei 开始匹配
'kang'zao'da'fa 抗造大法
'kong'chang 控场
'kong'zhi 控制
'kou'cai 口才
'ku'mai'meng'kui 枯脉梦傀
'kuai'yu'yi 脍鱼臆
'kuang'lan 狂澜
'kun'shou'xin'jing 困兽心经
'lai'sheng'an 来生岸
'lan'hua'hua 兰花花
'lan'wu'niang 兰五娘
'lang'li'bai'tiao 浪里白条
'leng'jing'da'ji 冷静打击
'leng'jing'fang'yu 冷静防御
'leng'jing'hu'dun'zui'da'zhi 冷静护盾最大值
'li'bing'tai 砺兵台
'li'cheng'dao 历成道
'li'da'niu 李大牛
'li'lai'zuo 李来做
'li'liao'qi'liao 理疗气疗
'li'shi'zhan'ji 历史战绩
'li'yu'bei'mian 鲤鱼焙面
'li'yuan 梨园
'li'zi'you'chen 栗子游尘
'lian'hua'chan'yuan 怜花禅院
'lian'hua'yu'bao 莲花鱼包
'liang'ji'ru'you 良骥如友
'liao'yuan'ta 燎原踏
'liao'yuan'xing'huo 燎原星火
'lie'bu'xi 烈不熄
'lie'shi'jun 裂石钧
'lie'shi'wei 裂石威
'lin'jiang'yi 临江驿
'lin'ma'zei'lv 林马贼绿
'ling'long'pao'ying 玲珑泡影
'ling'xu'yi'zhi 凌虚一指
'ling'yun'ta 凌云踏
'liu'feng'hui'xue 流风回雪
'liu'ji'guan'yi'zhi 六疾馆遗址
'liu'lin'feng 柳临风
'liu'qiao'fu 刘樵夫
'liu'xiang'lu 留香露
'liu'xing'zhui'huo 流星坠火
'long'hu'ling 龙虎岭
'long'hu'zhai 龙虎寨
'long'zhe'huo'qu 龙蛰蠖屈
'lu'kang'ge 陆亢歌
'lu'lin'cao'zei 绿林草贼
'lu'lin'han'fei 绿林悍匪
'lu'lin'hao'zei 绿林豪贼
'lu'lin'mao'zei 绿林蟊贼
'lu'sheng 鹿生
'lu'xun'shuang'zhen'bao 鹿蕈双珍煲
'lu'yi'zhao 陆一朝
'lun'jian 论剑
'luo'sen 罗森
'luo'shen'yu'xuan'jian'de'chong'tu 洛神与悬剑的冲突
'lv'xu'sao'chen 履虚扫尘
'ma'mi'tu 马迷途
'mei'jiu 美酒
'men'gui 门规
'men'pai 门派
'meng'da 蒙大
'meng'e 孟鄂
'meng'kui'zhi'zai 梦傀之灾
'mi'jin'du 迷津渡
'mi'shu 米叔
'mi'yi'zhou 迷驿舟
'mian'rong 面容
'miao'shan'de'shen'fen 妙善的身份
'miao'wu'shen'yang 妙舞神扬
'ming'an'gu'shi 明暗故事
'ming'chao 明潮
'ming'chuan'yao'dian 明川药典
'ming'hui'tong'chen 明晦同尘
'ming'jin'hong 鸣金虹
'ming'jin'ying 鸣金影
'ming'xin'jian'xing 明心见性
'ming'yue'xiang'zhao 明月相照
'mo'dao'wu'xue 陌刀武学
'mo'shan'dao 墨山道
'mu'tun'niu 穆吞牛
'mu'yun'he'wu 暮云何物
'nan'men'da'jie 南门大街
'nei'xie'kang'xing 内邪抗性
'nei'yi'heng'jing'shu 内一衡径数
'nei'zang'zhen'duan 内脏诊断
'neng'yan'shan'bian 能言善辩
'ni'ji'qian'xing 匿迹潜形
'ni'li'san'gou 泥梨三购
'ni'li'san'gou 泥犁三垢
'niang'song'ling 酿松苓
'ning'han'jing 凝寒径
'ning'shen'zhang 凝神章
'nu'bing 弩兵
'nu'zhan'ma 怒斩马
'nuan'chun'jiu 暖春酒
'pai'hang'bang 排行榜
'pai'qian'guan'li 派遣管理
'pai'sheng'ji 派生技
'pan'ding'kang'xing 判定抗性
'pan'fa'xin 潘法信
'pan'shi'jue 磐石诀
'pan'tao'shi'men 叛逃师门
'pao'chun'hen 抛春恨
'pei'yang 培养
'pi'pa'gou 琵琶沟
'pi'ying'mu'luo 皮影慕落
'pi'ying'mu'qi 皮影幕起
'piao'yao'qi 嫖姚棋
'ping'bo'chui'er 平波垂饵
'ping'shan'duan'cui 屏山断翠
'ping'ye'yuan 平野原
'po'jie'tou'tuo 破戒头陀
'po'jun'sha'jiang 破军杀将
'po'lu'zhou'zhong 破虏舟冢
'po'qi 破气
'po'suo'ying 婆娑影
'po'zhu'chen 破竹尘
'po'zhu'feng 破竹风
'pu'ti'ku'hai 菩提苦海
'qi'dan'yu'tang'bu'fu'wang'lai 契丹与唐不复往来
'qi'fa'po 七伐坡
'qi'liang 气量
'qi'long'hui'ma 骑龙回马
'qi'sheng 祁晟
'qi'shu 奇术
'qi'shu'te'xiao 奇术特效
'qi'shu'wai'guan 奇术外观
'qi'wei'chun'qiu 其惟春秋
'qi'xue'zui'da'zhi 气血最大值
'qi'yu 奇遇
'qi'yu'tu'jian 奇遇图鉴
'qian'fo'can'xu 千佛残墟
'qian'fo'cun 千佛村
'qian'jin'chao'yu 千金朝玉
'qian'jin'zhui 千斤坠
'qian'kun'ding 乾坤定
'qian'li'zhui 千里追
'qian'shan'fa 千山法
'qian'sheng'yin'ren 牵绳引刃
'qian'shi'yu'xiang 千莳余响
'qian'shui'qi'shu 潜水奇术
'qian'si'gu 千丝蛊
'qian'si'lin 牵丝霖
'qian'si'yu 牵丝玉
'qian'wang'wen'shi 前往文士
'qian'wang'xuan'hu 前往悬壶
'qian'wang'zhi'bing 前往治病
'qian'xiang'yin'hun'gu 千香引魂蛊
'qian'ye 千夜
'qian'ying'yi'hu 千营一呼
'qiang'er'hou'ke 强而后可
'qiang'wei'jiu 蔷薇酒
'qiang'wu'xue 枪武学
'qiao'qiao'qiao 乔俏俏
'qiao'qiao'qiao 乔翘翘
'qiao'xiang'xiang 乔翔翔
'qie'huan'wu'xue 切换武学
'qie'huan'xin'fa 切换心法
'qie'xuan 窃玄
'qin'ma 秦马
'qing'feng'ji'yue 清风霁月
'qing'feng'yi'de'wei'zhi 清风驿的位置
'qing'feng'yi'zhi'bian 清风驿之变
'qing'gong'qi'shu 轻功奇术
'qing'he 清河
'qing'jiao'chi'gao'shi 青蛟持篙师
'qing'jiao'fei'mao'wei 青蛟飞矛卫
'qing'jiao'kuang'dao'ke 青蛟狂刀客
'qing'jing 情境
'qing'shan'zhi'bi 青山执笔
'qing'xi 青溪
'qing'xin'pu 清心圃
'qiong'lin'ke 琼林客
'quan'xia'dong 泉下冻
'que'kou'dai'ba'xi'tuan 缺口袋把戏团
'que'shen'zheng'ba 雀神争霸
'qun'li'gong'fa 群力共伐
'ran'ci'hun 燃此魂
'ran'se 染色
'ren'dao'lv 仁道驴
'ren'wu 任务
'rong'lu'qu 熔炉区
'rong'mai'meng'kui 荣脉梦傀
'rong'yuan 容鸢
'ruo'shui'an 弱水岸
'sa'lu'zi 飒露子
'sa'ta'liu'xing 飒沓流星
'san'geng'tian 三更天
'san'shu'za'gu 三蔬杂菇
'san'wu'xue 伞武学
'sao'lian'shan 扫连山
'sao'qian'jun 扫千军
'sha'bai'wei 沙摆尾
'sha'di'shen 煞地神
'sha'hai'wu'zhou 沙海无舟
'sha'shen'chu'miao 杀神出庙
'sha'wu'feng 沙呜烽
'shan'beng'di'lie 山崩地裂
'shan'he'jue'yun 山河绝韵
'shan'he'zui'ying 山河醉影
'shan'ji'su 山鸡酥
'shan'shen'rou'yuan'zi 山参肉圆子
'shan'wu'xue 扇武学
'shan'yue'wu'ying 山月无影
'shang'chuan'wan'xiang'ji 上传万相集
'shang'dian 商店
'shang'guan'shu'shu 上官书书
'shang'hai 伤害
'shao'ci'ling 烧瓷岭
'she'fu 射覆
'she'jiao 社交
'she'lang'zhong 蛇郎中
'she'shen'ji'yuan 射甚急渊
'she'xing'na'yue 摄星拿月
'she'zhu 社主
'shen'fa'qi'shu 身法奇术
'shen'gong'yi'jiang 神工意匠
'shen'long'tu'huo 神龙吐火
'shen'mi'shou'ling 神秘首领
'shen'mi'zhu'di 神秘驻地
'shen'shou'jiao'jian 身手矫健
'shen'wei'qing 沈惟卿
'shen'xian'du 神仙渡
'shen'xian'du'shi'qie 神仙渡失窃
'shen'xian'niang'yu 神仙酿鱼
'sheng'biao'wu'xue 绳镖武学
'sheng'ji'qi'shu 升级奇术
'sheng'long'huo'hu 生龙活虎
'sheng'zhou'xing'mu 绳舟行木
'shi'er'zai'en'chou 十二载恩仇
'shi'fang'po'zhen 十方破阵
'shi'gang 拾杠
'shi'hou'zheng'sheng 狮吼正声
'shi'jian 试剑
'shi'jing'tian 石惊天
'shi'lian 试炼
'shi'ruo'fei'xing 矢若飞星
'shi'tu 识途
'shi'yang'cheng'lei 石羊成垒
'shi'yi 拾遗
'shou'chang'fang 寿昌坊
'shu'gong'chuan'tou 属攻穿透
'shu'gong'shang'hai'jia'cheng 属攻伤害加成
'shu'gong'zhi'liao'jia'cheng 属攻治疗加成
'shu'xing'gong'ji 属性攻击
'shu'xing'xiao'guo 属性效果
'shu'xing'zhi'liao 属性治疗
'shu'zui'de'tian'hu'jun 赎罪的天虎军
'shuang'dao'wu'xue 双刀武学
'shuang'feng'tuo 双峰驼
'shuang'tian'bai'ye 霜天白夜
'shui'dao'ren 睡道人
'si'bian 思辨
'si'kao 思考
'si'ren'dao 死人刀
'si'sheng'nan'yi 死生难易
'si'shi'wu'chang 四时无常
'si'zhu'ya'yun 丝竹雅韵
'song'jiu 宋九
'su'shan 酥山
'su'zi'xing'yun 粟子行云
'su'zi'you'chen 粟子游尘
'sui'xing 随行
'suo'gu'gong 缩骨功
'suo'hen'nian'nian 所恨年年
'ta'shuang'qing 踏霜轻
'ta'yan 踏燕
'tai'bai'zui'yue 太白醉月
'tai'gang'fang'yu 抬杠防御
'tai'gang'shang'hai'jia'cheng 抬杠伤害加成
'tai'gang'shang'hai'xue'jian 抬杠伤害削减
'tai'ji 太极
'tai'ping'zhong'lou 太平钟楼
'tai'yi'gong 太一宫
'tan'huo 贪祸
'tan'suo'ji'neng 探索技能
'tan'suo'shu'xing 探索属性
'tan'you 探游
'tang'lv'bao 汤驴宝
'tang'que'lao 汤瘸佬
'te'shu'ji 特殊技
'te'shu'shu'xing 特殊属性
'ti'po 体魄
'ti'sheng'zhi'nan 提升指南
'tian'fu 天赋
'tian'lu 天禄
'tian'quan 天泉
'tian'quan'te'xun 天泉特训
'tian'shang'lai 天上来
'tian'xia'zheng'ming 天下争鸣
'tian'ying 田英
'tie'di'fei 贴地飞
'tie'gao'bing 铁镐兵
'tie'shen'jue 铁身诀
'tie'xue'lang'yan 铁血狼烟
'ting'feng'bian'wei 听风辩位
'ting'yuan'zhi'shui 停渊止水
'tong'bei'hong'chen'jie 同悲红尘劫
'tong'bian 通便
'tong'chang 通畅
'tong'cheng 同乘
'tong'lin 佟临
'tong'pi'tie'gu 铜皮铁骨
'tong'you 同游
'tou'hu 投壶
'tui'yi'you'fang 退亦有方
'tuo'nai'jiu 驼奶酒
'wa'si'qi'ren 瓦肆奇人
'wai'gong'chuan'tou 外功穿透
'wai'gong'fang'yu 外功防御
'wai'gong'gong'ji 外功攻击
'wai'gong'kang'xing 外功抗性
'wai'gong'shang'hai'jia'cheng 外功伤害加成
'wai'gong'shang'hai'jian'mian 外功伤害减免
'wai'gong'zhi'liao'jia'cheng 外功治疗加成
'wai'guan 外观
'wai'guan'tu'jian 外观图鉴
'wai'xie'kang'xing 外邪抗性
'wan'dou'gao 豌豆糕
'wan'he'hua'long'yin 万壑化龙吟
'wan'jun'zhui 万钧坠
'wan'pian 完篇
'wan'po'jun 万破军
'wan'sheng'zhen 万胜镇
'wan'shi'zhi 万事知
'wan'tiao'qiao'shou 万条巧手
'wan'xiang'ji 万相集
'wan'xue'jian 晚雪间
'wang'chuan'du 忘川渡
'wang'chuan'jue'xiang 忘川绝响
'wang'chuan'ping 望川坪
'wang'da'yang 汪大洋
'wang'duo'lu 王多鲈
'wang'huai'nan'ya 望淮南崖
'wang'tie'chui 王铁锤
'wang'you'shi'guang 忘忧时光
'wang'yue'chan'yuan 望月婵媛
'wei'jie'suo 未解锁
'wei'meng'ge 威猛歌
'wei'tong'ling'xiu 卫统领绣
'wei'tuo'zheng'fa 韦陀正法
'wei'xian'sheng 魏先生
'wen'jin'guan 文津馆
'wen'jin'guan'nei'luan 文津馆内乱
'wen'qu'ji'xu 问渠几许
'wen'shi'neng'li 文士能力
'wen'shi'zao'yi 文士造诣
'wu'can 五残
'wu'ce'zhi 吴册治
'wu'cheng'wang'miao 武成王庙
'wu'jing'ming 武精明
'wu'lin'lu 武林录
'wu'ming'jian'fa 无名剑法
'wu'ming'jiang'jun 无名将军
'wu'ming'qiang'fa 无名枪法
'wu'ming'xin'fa 无名心法
'wu'qi 武器
'wu'qi'chong'zhu 武器重铸
'wu'qi'wai'guan 武器外观
'wu'qin'xi 五禽戏
'wu'shi'xiong'di 舞狮兄弟
'wu'wei'shan 武威山
'wu'xiang'guan'shan 无相关山
'wu'xiang'huang 无相皇
'wu'xiang'jie 无相劫
'wu'xiang'jin'shen 无相金身
'wu'xin'gu 无心谷
'wu'xiu'tou'tuo 无羞头陀
'wu'xue 武学
'wu'xue'fen'lei 武学分类
'wu'xue'ji 武学技
'wu'xue'liu'pai 武学流派
'wu'xue'te'xiao 武学特效
'wu'xue'tian'fu 武学天赋
'wu'xue'tu'po 武学突破
'wu'yi'wei'jia 无以为家
'wu'you'bang'da'shou 无忧帮打手
'wu'you'bang'e'tu 无忧帮恶徒
'wu'you'bang'gui'niang'zi 无忧帮鬼娘子
'wu'you'bang'nu'shou 无忧帮弩手
'wu'you'dong 无忧洞
'xi'er 喜儿
'xi'nan'xing'ying 西南行营
'xi'xi 嬉戏
'xia'ji 侠迹
'xia'jing 侠境
'xian'qu 闲趣
'xiang'pu 相扑
'xiang'xie'zhao'ying 相携照影
'xiang'yi'wei 相依偎
'xiao'fu 小福
'xiao'guo 效果
'xiao'lu 小禄
'xiao'shi'qi 小十七
'xiao'shou 小寿
'xiao'yin'qian'lang 箫吟千浪
'xiao'yin'yan'luo'tie 笑引阎罗帖
'xiao'zao'zi 小凿子
'xie'tiao 协调
'xin'fa 心法
'xin'fa'xin'de 心法心得
'xin'fa'zhi'huan 心法置换
'xin'fa'zhuan'huan 心法转换
'xin'jing 心境
'xin'mi'ni'yu 心弥泥鱼
'xin'tong'bai'shou 心通百兽
'xin'zhi'zhen'duan 心智诊断
'xing'chen'wei'ban 星辰为伴
'xing'hua'bu'jian 杏花不见
'xing'hua'tian 杏花天
'xing'lin'miao'shou 杏林妙手
'xing'yin'ye 星隐野
'xiu'jin'chi'ling'shi 绣金持铃使
'xiu'jin'dao'nao 绣金刀猱
'xiu'jin'huo'nao 绣金火猱
'xiu'jin'lou'ru'qin 绣金楼入侵
'xiu'jin'suo 绣金所
'xiu'jin'tie'jian'wei 绣金铁剑卫
'xiu'jin'yao'feng'wei 绣金摇风卫
'xu'li'ji 蓄力技
'xuan'hu'ji'shi 悬壶济世
'xuan'hu'neng'li 悬壶能力
'xuan'hu'zao'yi 悬壶造诣
'xuan'jian 悬剑
'xuan'jian'zhi'ming 悬剑之名
'xuan'shang 悬赏
'xuan'yan'zhi'xia 悬檐之下
'xuan'yuan'jiao'xing'pu 玄元教星仆
'xuan'yuan'jiao'yao'zhu 玄元教曜主
'xuan'yuan'jiao'yue'chen 玄元教月臣
'xuan'zhi'mi'rou 旋炙麋肉
'xue'yu'jia'ge'li 鱈鱼假蛤蜊
'xun'cang 寻藏
'xun'long'jian'bao 寻龙见宝
'xun'xin 寻心
'xun'zhao'tian'ying 寻找田英
'xun'zheng'yu 蕈蒸鱼
'ya'zhi 雅致
'yan'chao'liang 燕朝梁
'yan'gou'dan 燕狗蛋
'yan'hua'wan'hui 烟花晚会
'yan'ji 燕姬
'yan'li 眼力
'yan'ling'niang 燕菱娘
'yan'miao'miao 燕渺渺
'yan'mo'mo 燕陌陌
'yan'san'die 燕三叠
'yan'wu 演武
'yan'ying 燕荧
'yang'xiao'yao 杨小幺
'yao'cha'po'mo 药叉破魔
'yao'li 药理
'yao'qing'tong'zhu 邀请同住
'yao'wu'xing 杳无形
'yao'yao'yao 姚药药
'ye'long'xiang'shou 叶龙骧首
'ye'wai'shou'ling 野外首领
'ye'wan'shan 叶万山
'ye'zi'xi 叶子戏
'yi'dao 伊刀
'yi'dian'hong 一点红
'yi'e'zhi'ming 以鹅之鸣
'yi'gui 衣柜
'yi'jian'qian'li 一剑千里
'yi'jian'ti'sheng 一键提升
'yi'jing'yi'wu 移经易武
'yi'ju'liang'de 一举两得
'yi'jue'gao'xia 一决高下
'yi'lu'shun'feng 倚鹿顺风
'yi'nian'fu'sheng 一念浮生
'yi'shui'ge 易水歌
'yi'xing'huan'dou 移星换斗
