'ai'ai'duo'shi 蔼蔼多士
'bian'ze'ke'jiu 变则可久
'bian'zhe'zhao'xi 辩者昭晰
'biao'bing'ci'yi 彪炳辞义
'biao'li'bi'fu 表里必符
'biao'li'fa'hui 表里发挥
'biao'li'xiang'zi 表里相资
'biao'li'yi'ti 表里一体
'biao'li'zhi'yi'ti'zhe'ye 表里之异体者也
'biao'ni'yu'xue'zhi'zhuang 瀌拟雨雪之状
'biao'qing'wu'yuan 标情务远
'biao'shi'gui'yu'qian'yan 标蓍龟于前验
'biao'shi'qi'qing'ye 表识其情也
'biao'ti'duo'bao 表体多包
'biao'wei'yi'wen'qi'xiang 彪蔚以文其响
'biao'xin'yu'wan'gu'zhi'shang 标心于万古之上
'biao'xu'sheng'de 标序盛德
'biao'yan'que'yan 飙焰缺焉
'biao'ye 标也
'biao'ye 表也
'biao'yi'chen'qing 表以陈请
'biao'yi'lu'yi'zhi'ju 标义路以植矩
'biao'yi'zhi'ce 表以致策
'biao'zhe 表者
'biao'zheng'sheng'shuai 表征盛衰
'bie'lie'huai'yin 别列淮淫
'bie'mu'liang'ming 别目两名
'bie'qing'wei'ye 别情伪也
'bin'bin'jun'zi'yi 彬彬君子矣
'bin'feng'le'er'bu'yin 邠风乐而不淫
'bin'gu'jing'jin 摈古竞今
'bin'shi'lian'zhang'yi'ji'ju 邠诗联章以积句
'bing'ben'jing'dian'yi'li'ming'mu 并本经典以立名目
'bing'bi'he'dan 秉笔荷担
'bing'biao'zhi'ying'ye 并表之英也
'bing'chen'ci'di'ting 并陈辞帝庭
'bing'chen'shi'zhi'mei'biao'ye 并陈事之美表也
'bing'cheng'yue'ming 并称曰命
'bing'chi'wen'lu'yi 并驰文路矣
'bing'chi'xi'xing'mao 并嗤戏形貌
'bing'ci'fu'zhi'ying'jie'ye 并辞赋之英杰也
'bing'dai'zong'shi'ji'ye 并岱宗实迹也
'bing'dang'shi'zhi'jie'bi'ye 并当时之杰笔也
'bing'de'xian'zhang 并得宪章
'bing'du'bu'dang'shi 并独步当时
'bing'du'yi'qu'ling 秉牍以驱龄
'bing'fei'bian'yi'chi'shu 并飞辩以驰术
'bing'guan'lian'ya'song'xie 并贯练雅颂颉
'bing'guan'si'ren 并管斯任
'bing'gui'gong'xin 并贵共心
'bing'gui'za'wen'zhi'qu 并归杂文之区
'bing'ji'chen'ru'ya 并迹沉儒雅
'bing'jie'san'ci'ti 并解散辞体
'bing'jie'zao'qing'ying 并结藻清英
'bing'ju'ren'yan'zhe'ye 并举人验者也
'bing'ju'yao'hai 并据要害
'bing'jue'ci'shi'shuo 并谲辞饰说
'bing'li'de'er'ci'zhong 并理得而辞中
'bing'lian'feng'yue 并怜风月
'bing'lu'lu'jiao'wang 并辘轳交往
'bing'min'yu'zhi'jie 并敏于致诘
'bing'ming'wei'diao 并名为吊
'bing'mou'wu'fang 兵谋无方
'bing'qian'dai'zhi'ming'fan'ye 并前代之明范也
'bing'qing'xing'suo'shuo 并情性所铄
'bing'qiong'gao'yi'shu'biao 并穷高以树表
'bing'ru'jia'zhi'wen 秉儒家之文
'bing'shang'gu'yi'yan 并上古遗谚
'bing'shi'fen'xiong'yi 并适分胸臆
'bing'shi'li'zhi'bu'ming 并事理之不明
'bing'shi'xin'du'jian 并师心独见
'bing'shu'ai'wen 并述哀文
'bing'shu'ji'suo'zong 并书记所总
'bing'shu'li'yu'xin 并述理于心
'bing'shu'shi'song 并述诗颂
'bing'shun'feng'yi'tuo'shi 并顺风以托势
'bing'shun'qing'ru'ji 并顺情入机
'bing'shuo'lian'hua 炳烁联华
'bing'si'he'er'zi'feng 并思合而自逢
'bing'ti'guo'jing'ye 并体国经野
'bing'ti'guo'zhi'zhong'gui'yi 并体国之忠规矣
'bing'ti'mao'ying'yi 并体貌英逸
'bing'tian'di'er'jiu'da 并天地而久大
'bing'wei'neng'zhen'ye'yi'xun'gen 并未能振叶以寻根
'bing'wei'wei'song 并谓为诵
'bing'wen'ming'zi'tian 并文明自天
'bing'wen'shi'zhi'xia'lei 并文士之瑕累
'bing'wen'zhi'de 秉文之德
'bing'wen'zhi'jin'ke'yi 秉文之金科矣
'bing'wu'zhao'ling'ren 并无诏伶人
'bing'xian'hu'sheng 兵先乎声
'bing'xing'wu'cai 禀性五才
'bing'xuan'fu 炳玄符
'bing'yang'yan'yi'ming'shi 并扬言以明事
'bing'yao'ren'xiao 炳耀仁孝
'bing'yi'shao'zong'duo 并以少总多
'bing'yi'shen'bao'zan 并意深褒赞
'bing'yin'su'shuo'er'wei'wen'ci'zhe'ye 并引俗说而为文辞者也
'bing'you'si'zhi'shi'wu 并有司之实务
'bing'you'xing'zhuang 并有行状
'bing'zhen'gan'zhi'shi'cai 并桢干之实才
'bing'zhi'mei'yu'xu 并致美于序
'bing'zhi'shen'er'bi'chang 并志深而笔长
'bing'zhong'qi'zhi'zhi'ye 并重气之旨也
'bing'zhu'zhou'hu'chi'su 并杼轴乎尺素
'bing'zhuang'bi'ye 并壮笔也
'bing'zi'bo'lian 并资博练
'bing'zi'qing'shu 秉兹情术
'bing'zi'zhen'li 秉兹贞厉
'bing'zong'qun'shi 并总群势
'bo'bi'er'bian'xiao'zai 搏髀而忭笑哉
'bo'bu'ni'xin 博不溺心
'bo'er'huan'fan 博而患繁
'bo'er'neng'yi 博而能一
'bo'ji'fen'li 擘肌分理
'bo'jian'zu'yi'qiong'li 博见足以穷理
'bo'ju'pin'wu 博举品物
'bo'ming'wan'shi'wei'zi 博明万事为子
'bo'ya'hong'bian'zhi'cai 博雅弘辩之才
'bo'ya'ming'yan 博雅明焉
'bo'ya'zhi'ren 博雅之人
'bo'yu'niang'cai 博喻酿采
'bo'ze'ci'pan 博则辞叛
'bo'zhe 驳者
'bo'zhe'gai'shan 博者该赡
'bo'zhu'shi'ting'ye 播诸视听也
'bu'bei'ling'xiu 不倍领袖
'bu'bi'jin'tiao'hu'zhi'zhong 不必尽窕瓠之中
'bu'bi'lao'qing'ye 不必劳情也
'bu'bi'zhuang'yan'kang'kai 不必壮言慷慨
'bu'bo'nai'cheng 布帛乃成
'bu'chi'zi'qi'kou'chu 不啻自其口出
'bu'chu'zi'lun 不出兹论
'bu'de'yi'ye 不得已也
'bu'de'yun'jing'dian'fei'bi'yi 不得云经典非笔矣
'bu'fan'ruo'han 不反若汗
'bu'guan'xi'shi'zhi'pin'yi 不关西施之颦矣
'bu'hai'qi'ti'yao 不害其体要
'bu'ji'li'wen'ye 不及丽文也
'bu'ji'zhu'zi 不及诸子
'bu'jia'diao'xue 不加雕削
'bu'jian'xi'qiang'ye 不见西墙也
'bu'ju'biao'fang'yan'zhi'zhi 卜居标放言之致
'bu'kan'zhi'hong'jiao'ye 不刊之鸿教也
'bu'ke'bu'cha 不可不察
'bu'ke'de'ye 不可得也
'bu'ke'li'qiang'er'zhi 不可力强而致
'bu'ke'sheng'shu 不可胜数
'bu'ke'sheng'suan 不可胜算
'bu'ke'shi'ci'huan 不可使辞缓
'bu'ke'shi'yi'yin 不可使义隐
'bu'ke'yi'ye 不可已也
'bu'lao'jing'ying 不劳经营
'bu'lao'yu'zhuang'dian 不劳于妆点
'bu'lei'shen'yi 不类甚矣
'bu'li'ci'qing 不离辞情
'bu'miu'xi'jing 不谬蹊径
'bu'neng'fu'hua 不能复化
'bu'pian'yu'zeng'ai 不偏于憎爱
'bu'pou'wen'ao 不剖文奥
'bu'qi'san'ni 布其三逆
'bu'qi'shu'hu 不其疏乎
'bu'qi'xian'yu 不其鲜欤
'bu'qi'yi'yu 不其懿欤
'bu'qiu'xian'mi'zhi'qiao 不求纤密之巧
'bu'rang'hu'tian'gong 不让乎天工
'bu'shu'xian'zhe'zhi'gao 不述先哲之诰
'bu'wei'chun'qiu 不韦春秋
'bu'wei'qiang'yu 不畏强御
'bu'wei'wen'zuo 不为文作
'bu'xian'yu'zhi'niao 不嫌于鸷鸟
'bu'xie'gu'jin 不屑古今
'bu'ye 布也
'bu'yi'ci'hai'yi'ye 不以辞害意也
'bu'yi'fan'ru'wei'qiao 不以繁缛为巧
'bu'yi'huan'yin'wei'qi 不以环隐为奇
'bu'yi'wei'bing 不以为病
'bu'ying'shi'yi 不盈十一
'bu'you'qu'yuan 不有屈原
'bu'yu'shao'lao'zhi'kui 布于少牢之馈
'bu'zai'fang'ce 布在方册
'bu'zai'zhi'si'ye 布在职司也
'bu'zao'chuo'li 餔糟啜醨
'bu'zhe 簿者
'bu'zhi'ting'sheng'er'yi 不直听声而已
'bu'zhi'wu'lei 布置物类
'bu'zhuan'huan'jia 不专缓颊
'bu'zu'cheng'shi 不足程式
'bu'zu'yu'qiong 不足语穷
'cai'bu'shi'fa 才不时乏
'cai'dong'liang'bei 采动梁北
'cai'duo'pian'yan 采掇片言
'cai'fa'feng'gu 采乏风骨
'cai'fei'duan'chang 才非短长
'cai'feng'jun'li 才锋峻立
'cai'feng'suo'duan 才锋所断
'cai'gu'shi'yu'qian'dai 采故实于前代
'cai'he'zhe'shan'shan 才核者善删
'cai'ke'bai'er 裁可百二
'cai'lan'ci'gui 采滥辞诡
'cai'lan'hu'zhen 采滥忽真
'cai'li'ju'zhong 才力居中
'cai'lue'di'si'shi'qi 才略第四十七
'cai'nan'ran'hu 才难然乎
'cai'nei'zhe'qu'lao'yu'ci'qing 才馁者劬劳于辞情
'cai'qi'diao'wei 采其雕蔚
'cai'qi'er'xiang'lie 才绮而相埒
'cai'qi'zhi'da'lue'zai 才气之大略哉
'cai'qing'zhi'jia'hui'ye 才情之嘉会也
'cai'ru'wan'hong'zhi'fen'qi 采如宛虹之奋鬐
'cai'ru'yu'zheng'shi 采缛于正始
'cai'shi'hong'yi 才实鸿懿
'cai'shu'er'tu'su 才疏而徒速
'cai'wei'meng'zhu 才为盟主
'cai'xing'yi'qu 才性异区
'cai'xue'bian'xia 才学褊狭
'cai'ye 裁也
'cai'yi'wei'tan 采以为谈
'cai'yi'zheng'yi'yi 裁以正义矣
'cai'yi'zhi'dai'feng'ji'yi 裁衣之待缝缉矣
'cai'ying'xiu'fa 才英秀发
'cai'yong'bi'zhi'pai'you 蔡邕比之俳优
'cai'yong'fan'qu 蔡邕樊渠
'cai'yong'jing'ya 蔡邕精雅
'cai'yong'ming'si 蔡邕铭思
'cai'yong'quan'lie'yu'chao'yi 蔡邕铨列于朝仪
'cai'yong'shi'hui 蔡邕释诲
'cai'ze'wu'hui'bu'sheng 裁则芜秽不生
'cai'zhang'gui'yu'shun'xu 裁章贵于顺序
'cai'zhi'neng'tong 才之能通
'cai'zhi'ying'hua 采摭英华
'cai'zi'nei'fa 才自内发
'can'gu'ding'fa 参古定法
'can'wu'dan'fu 参伍单复
'can'wu'xu 参物序
'can'wu'yin'ge 参伍因革
'cang'jie'zhe 仓颉者
'cang'xie'zao'zhi 苍颉造之
'cang'ya'pin'xun 苍雅品训
'cao'bao'xuan'chen'yi'ding'li 曹褒选谶以定礼
'cao'dao'neng'ge 操刀能割
'cao'gong'cheng'wei'biao'bu'bi'san'rang 曹公称为表不必三让
'cao'hong'zhi'miu'gao'tang 曹洪之谬高唐
'cao'liu'yi'xia 曹刘以下
'cao'mu'ben'hua 草木贲华
'cao'mu'gui'qi'ze 草木归其泽
'cao'mu'qu'bie 草木区别
'cao'shu'qing'mi'yu'chang'pian 曹摅清靡于长篇
'cao'shu'shi'cheng 曹摅诗称
'cao'yan'feng'mai 草偃风迈
'cao'zhi'bian'dao 曹植辨道
'ce'feng'san'wang 策封三王
'ce'feng'wang'hou 策封王侯
'ce'xun'yu'hong'gui 策勋于鸿规
'ce'zhe 策者
'cen'ci'wo'ruo 参差沃若
'ceng'ming'pin'zhi'wei'xia 曾名品之未暇
'ceng'shi'you'yan 曾是莠言
'cha'qi'e'yi 察其讹意
'cha'qi'wei'cai 察其为才
'cha'ren'wen'yi'cheng'hua 察人文以成化
'cha'yu'yi'shi'xun 插羽以示迅
'cha'zhi'wu'ya 察之无涯
'chan'lu'qian'yan 廛路浅言
'chan'tui'hui'zhuo'zhi'zhong 蝉蜕秽浊之中
'chan'wen'zhe'jian'qi'xin 觇文辄见其心
'chan'ye 觇也
'chang'ai'shi'jian'er'qi'shuai 长艾识坚而气衰
'chang'dao'yue'jing 常道曰经
'chang'duan'jiao'shi 长短角势
'chang'e'ben'yue 嫦娥奔月
'chang'he'qian'wan'ren 唱和千万人
'chang'he'san'ren'er'yi 唱和三人而已
'chang'huai'xu'zhi 长怀序志
'chang'nong'xian'yu'cai'feng 常弄闲于才锋
'chang'pei'yuan'yu 长辔远驭
'chang'qing'ao'dan 长卿傲诞
'chang'qing'shang'lin'fu'yun 长卿上林赋云
'chang'yu'bi'zou 长虞笔奏
'chang'yu'shi'zhi 长虞识治
'chang'yu'ying'ri'zhi'bai 唱于迎日之拜
'chang'zhe'you'de 常辄有得
'chang'zhi'dan'shu 昌制丹书
'chao'chang'qie'qing 怊怅切情
'chao'chang'yu'zhi'yin 怊怅于知音
'chao'cuo'dui'ce 晁错对策
'chao'cuo'shou'shu 晁错受书
'chao'cuo'zhi'bing'shi 晁错之兵事
'chao'sheng'gao'di 超升高第
'chao'shi'zheng'xin 朝市征信
'chao'zhang'guo'cai 朝章国采
'che'liang'er'ma'pi 车两而马匹
'chen'chuo'er'xing'ye 趻踔而行也
'chen'ci'hu'fang'ming'zhi'xia 陈辞乎方明之下
'chen'fan'fen'men'yu'chi'yi 陈蕃愤懑于尺一
'chen'guo'er'wen 陈郭二文
'chen'lie'shi'qing 陈列事情
'chen'lin'zhi'xi'yu'zhou 陈琳之檄豫州
'chen'mian'ri'ye 沉湎日夜
'chen'ping'zhi'wu'dian 陈平之污点
'chen'shu'bian'er'wu'dang 陈书辩而无当
'chen'si 陈思
'chen'si'dao'ming 陈思叨名
'chen'si'pan'yue 陈思潘岳
'chen'si'qi'qi 陈思七启
'chen'si'suo'zhui 陈思所缀
'chen'si'wei'de 陈思魏德
'chen'si'xu'shu 陈思序书
'chen'si'yi'gong'zi'zhi'hao 陈思以公子之豪
'chen'si'yi'yun 陈思亦云
'chen'si'zhi'biao 陈思之表
'chen'si'zhi'huang'que 陈思之黄雀
'chen'si'zhi'wen 陈思之文
'chen'ye 陈也
'chen'yin'shi'ting'zhi'qu 沉吟视听之区
'chen'yu'dong'xu 陈于东序
'chen'yu'tian'di'zhi'jiao 陈于天地之郊
'chen'ze'xiang'fa'er'duan 沉则响发而断
'chen'zheng'dian'zhi'xun 陈政典之训
'chen'zheng'shi 陈政事
'chen'zheng'yan'shi 陈政言事
'chen'zheng'ze'yu'yi'shuo'he'qi 陈政则与议说合契
'chen'zhi'jian'du 陈之简牍
'cheng'fa'zhi'lei'ye 称伐之类也
'cheng'gong'zi'an 成公子安
'cheng'huang'yue'yi'xia 称黄钺一下
'cheng'ji'wu'qie 乘机无怯
'cheng'kang'feng'shan 成康封禅
'cheng'li'er'wei'zhi'ye 乘利而为制也
'cheng'liu'er'zhi'fu'zhe 承流而枝附者
'cheng'liu'er'zuo 承流而作
'cheng'miao'zao'li'er'gu'wen'fei 程邈造隶而古文废
'cheng'ming'ye'xiao 称名也小
'cheng'ping'shou'ming 承平受命
'cheng'qi'di'si'shi'jiu 程器第四十九
'cheng'shao'ze'min'mi'jie'yi 称少则民靡孑遗
'cheng'si'tu'wei'yao 称司徒为尧
'cheng'tang'pan'yu 成汤盘盂
'cheng'tang'sheng'jing 成汤圣敬
'cheng'wei'lun'yu 称为论语
'cheng'wen'shou'ce 承文受册
'cheng'xiao'zhi'bo'xiao'shi 程晓之驳校事
'cheng'yan'mu'bu'que 称掩目捕雀
'cheng'yi'zong'wan 乘一总万
'cheng'yu'tang'zhi'zhi'jing 称禹汤之祗敬
'cheng'yu'xi'han 成于西汉
'cheng'zai'shi'yan'ye 诚哉是言也
'cheng'zai'si'tan 诚哉斯谈
'cheng'zai'si'yan 诚哉斯验
'cheng'zhang'zhu'kang'li 称掌珠伉俪
'cheng'zhe'fa'han'mu'zhi'ou 城者发睅目之讴
'chi'bai'yue'zhang 赤白曰章
'chi'cheng'shi'qu 驰骋石渠
'chi'ci'wu'nuo 攡辞无懦
'chi'du'du'yi'bing'yao 敕都督以兵要
'chi'feng'cai'xing 攡风裁兴
'chi'jie'heng'gao 敕戒恒诰
'chi'jie'zhou'bu 敕戒州部
'chi'jin'chu'ling'sha'meng 叱劲楚令歃盟
'chi'ren'qing'xing 持人情性
'chi'shen'xing 攡神性
'chi'shu'yun'guan'ye 尺枢运关也
'chi'su'yi'fen 迟速异分
'chi'wen'bi'zai'wei'jun'guo 攡文必在纬军国
'chi'wen'guai'zhang 攡文乖张
'chi'wu'xin'zuo 驰骛新作
'chi'xiao'xun'wu'zhi'zhi 嗤笑徇务之志
'chi'yan'qun'pian 赤雁群篇
'chi'ye 持也
'chi'yu'fu'dan 弛于负担
'chi'zai'yu'li 齿在逾立
'chi'ze'hou'ba 敕责侯霸
'chi'zhang'xiang'sui 弛张相随
'chi'zhang'zhi'shu 弛张治术
'chi'zhe 敕者
'chi'zhen'jin'yu 攡振金玉
'chi'zhi'wei'xun 持之为训
'chong'ai'ru'shu 崇爱儒术
'chong'chu'zhe 重出者
'chong'sheng'li'ci 崇盛丽辞
'chong'sheng'wang'ji'zhi'tan 崇盛忘机之谈
'chong'sheng'you'zu'yin'xin 虫声有足引心
'chong'ti'yu'shi'xu 崇替于时序
'chong'ti'zai'ren 崇替在人
'chong'ti'zai'xuan 崇替在选
'chong'ye'cheng'zi 虫叶成字
'chou'wei'xi'yang'er'yi'pin'yi 臭味晞阳而异品矣
'chou'zuo'yi'wei'bin'rong 酬酢以为宾荣
'chu'ci'ci'chu 楚辞辞楚
'chu'ci'wei'nan 处辞为难
'chu'ci'yong'zhi 楚辞用之
'chu'guang'lan'tai'zhi'gong 楚广兰台之宫
'chu'han'chi'er'yan 楚汉侈而艳
'chu'hu'zong'heng'zhi'gui'su'ye 出乎纵横之诡俗也
'chu'lei'er'chang 触类而长
'chu'lei'yi'tui 触类以推
'chu'ming'shen'jin 出命申禁
'chu'ren'li'fu 楚人理赋
'chu'ren'yi'zhi'wei'feng 楚人以雉为凤
'chu'ru'ri'yue 出入日月
'chu'ru'you'men 出入由门
'chu'shi'xian'hu'wei'sheng 出师先乎威声
'chu'wu'yuan'lan 触物圆览
'chu'xiang'xin'chan 楚襄信谗
'chu'xiang'yan'ji 楚襄宴集
'chu'yan'er'min'xiao'ye 出言而民效也
'chu'yan'ru'bi 出言入笔
'chu'zhu'yu'zheng 楚珠鬻郑
'chu'zi'xun'min'yu'zai'qin 楚子训民于在勤
'chuan'bo'zhe'chu'gui 踳驳者出规
'chuan'du'zhi'yun'zhu'yu'ye 川渎之韫珠玉也
'chuan'shuo'ze'yi'ti 传说则异体
