'a'nan 阿难
'bu'ke'si'yi 不可思议
'bu'ke'xian'ji 不可限极
'bu'neng'ji'de'bu'tui'zhuan'zhe 不能即得不退转者
'bu'neng'jiu'le'duo'shao'zhi'shu 不能究了多少之数
'bu'neng'qiong'jin 不能穷尽
'bu'neng'yan'shuo'yi'qie'zhi'zhe 不能演说一切智者
'bu'neng'zhi'jian'qi'dao'chang'shu'wu'liang'guang'se 不能知见其道场树无量光色
'bu'qi'bu'mie 不起不灭
'bu'qi'mie'sheng 不起灭声
'bu'qi'yu'xiang'chen'xiang'hai'xiang 不起欲想嗔想害想
'bu'qu'zheng'jue 不取正觉
'bu'ru'lou'jin'bi'qiu'zhe 不如漏尽比丘者
'bu'ru'qiu'dao 不如求道
'bu'sheng'yu'jue'chen'jue'hai'jue 不生欲觉嗔觉害觉
'bu'shi'su'ming 不识宿命
'bu'shi'tiao'yi 布施调意
'bu'wei'da'shi'zhu 不为大施主
'bu'xi'cheng'man'san'shi'er'da'ren'xiang'zhe 不悉成满三十二大人相者
'bu'xi'shou'chi'zhe 不悉受持者
'bu'xi'zhen'jin'se'zhe 不悉真金色者
'bu'xi'zi'jie'cheng'wo'ming'zhe 不悉咨嗟称我名者
'bu'xiang'ji'dai 不相及逮
'bu'xin'xiu'shan 不信修善
'bu'yi'hui'sun 不以毁损
'bu'zao'ku'huan 不遭苦患
'bu'zhu'ding'ju 不住定聚
'bu'zhu'se'sheng'xiang'wei'chu'fa 不著色声香味触法
'cai'bao'xiao'san 财宝消散
'cao'wei'kang'seng'kai'yi 曹魏康僧铠译
'chan'si'yi'xin 禅思一心
'chang'gui'he'zhang 长跪合掌
'chang'he'tiao'shi 常和调适
'chang'jian'wu'liang'bu'ke'si'yi'yi'qie'zhu'fo 常见无量不可思议一切诸佛
'chang'ling'ci'zun 常令此尊
'chang'shi'bu'jue 常使不绝
'chang'xiu'fan'xing 常修梵行
'chang'yi'fa'yin 常以法音
'chang'yi'si'shi 常以四事
'chang'yu'da'zhong'zhong 常于大众中
'chao'chu'chang'lun'zhu'di'zhi'xing 超出常伦诸地之行
'chao'chu'shi'jian 超出世间
'chao'guo'shi'jian'zhu'suo'you'fa 超过世间诸所有法
'chao'guo'tian'ren 超过天人
'chao'jue'wu'liang 超绝无量
'chao'ri'yue'guang'fo 超日月光佛
'chao'sheng'du'miao 超胜独妙
'chao'shi'wu'lun 超世无伦
'chao'shi'xi'you 超世希有
'chao'yu'shi'fang'yi'qie'shi'jie'zhong'bao'zhong'jing 超逾十方一切世界众宝中精
'chao'yue'sheng'wen'yuan'jue'zhi'di 超越声闻缘觉之地
'chao'zhu'tian'ren 超诸天人
'che'qu 砗磲
'che'qu'chi'zhe 砗磲池者
'che'qu'wei'ben 砗磲为本
'che'qu'wei'hua 砗磲为华
'che'qu'wei'jing 砗磲为茎
'che'qu'wei'shi 砗磲为实
'che'qu'wei'tiao 砗磲为条
'che'qu'wei'ye 砗磲为叶
'che'qu'wei'zhi 砗磲为枝
'che'qu'zhi'shu 砗磲之树
'chen'lao'gou'xi 尘劳垢习
'cheng'deng'zheng'jue 成等正觉
'cheng'di'bu'xu 诚谛不虚
'cheng'fo'shen'li 承佛神力
'cheng'fo'sheng'zhi 承佛圣旨
'cheng'fo'yi'lai 成佛已来
'cheng'man'suo'yuan 成满所愿
'cheng'qi'gong'de 称其功德
'cheng'qi'suo'wen 称其所闻
'cheng'qi'xing'se 称其形色
'cheng'zui'zheng'jue 成最正觉
'chi'liu'hua'shu 池流华树
'chi'yi'qie'shi'jie 持一切世界
'chu'dou'shuai'tian 处兜率天
'chu'qi'ben'yuan 除其本愿
'chu'qi'ben'yuan'zi'zai'suo'hua 除其本愿自在所化
'chu'san'shi'liu'bai'qian'yi'fo 出三十六百千亿佛
'chu'san'shi'liu'bai'qian'yi'guang 出三十六百千亿光
'chu'wu'yin'sheng 出五音声
'chu'zhan'tan'xiang 出旃檀香
'chui'bao'ying'luo 垂宝璎珞
'chui'fa'luo 吹法螺
'chui'yi'bao'ling 垂以宝铃
'chui'zhu'bao'shu 吹诸宝树
'chui'zhu'luo'wang 吹诸罗网
'ci'hui'bo'shi 慈惠博施
'ci'ming'an'ming'ding 次名安明顶
'ci'ming'bao'yan 次名宝炎
'ci'ming'bi'ri'yue'guang 次名蔽日月光
'ci'ming'bu'dong'de 次名不动地
'ci'ming'chu'chi'ming 次名除痴冥
'ci'ming'chu'shi 次名处世
'ci'ming'da'xiang 次名大香
'ci'ming'di'zhong 次名地种
'ci'ming'du'gai'xing 次名度盖行
'ci'ming'fa'hui 次名法慧
'ci'ming'gong'de'chi'hui 次名功德持慧
'ci'ming'hai'jue'shen'tong 次名海觉神通
'ci'ming'hua'se'wang 次名华色王
'ci'ming'jie'tuo'hua 次名解脱华
'ci'ming'jin'zang 次名金藏
'ci'ming'jing'xin 次名净信
'ci'ming'li'chen'gou 次名离尘垢
'ci'ming'li'gou 次名离垢
'ci'ming'liu'li'jin'se 次名琉璃金色
'ci'ming'liu'li'miao'hua 次名琉璃妙华
'ci'ming'long'tian 次名龙天
'ci'ming'long'yin 次名龙音
'ci'ming'luan'yin 次名鸾音
'ci'ming'miao'ding 次名妙顶
'ci'ming'pu'ti'hua 次名菩提华
'ci'ming'ri'guang 次名日光
'ci'ming'ri'yin 次名日音
'ci'ming'ri'yue'liu'li'guang 次名日月琉璃光
'ci'ming'shan'shan'wang 次名善山王
'ci'ming'shan'su 次名善宿
'ci'ming'she'yan'yi 次名舍厌意
'ci'ming'shi'zi'yin 次名师子音
'ci'ming'shui'guang 次名水光
'ci'ming'shui'yue'guang 次名水月光
'ci'ming'wei'shen 次名威神
'ci'ming'wu'shang'liu'li'guang 次名无上琉璃光
'ci'ming'wu'zhu 次名无著
'ci'ming'xu'mi'deng'yao 次名须弥等曜
'ci'ming'xu'mi'tian'guan 次名须弥天冠
'ci'ming'yan'gen 次名炎根
'ci'ming'yan'guang 次名炎光
'ci'ming'ye'guang 次名夜光
'ci'ming'yong'li 次名勇立
'ci'ming'yue'guang 次名月光
'ci'ming'yue'ming 次名月明
'ci'ming'yue'se 次名月色
'ci'ming'yue'xiang 次名月像
'ci'ming'zhan'tan'xiang 次名旃檀香
'ci'ming'zheng'nian 次名正念
'ci'ming'zhuang'yan'guang'ming 次名庄严光明
'ci'ming'zui'shang'shou 次名最上首
'ci'shi'pu'sa'deng 慈氏菩萨等
'ci'xian'jie'zhong'yi'qie'pu'sa 此贤劫中一切菩萨
'ci'you'fo 次有佛
'ci'you'ru'lai 次有如来
'ci'yu'wu'wei'ni'huan'zhi'dao 次于无为泥洹之道
'ci'zhu'pu'sa 此诸菩萨
'cong'you'xie'sheng 从右胁生
'da'ci'bei'sheng 大慈悲声
'da'qian'ying'gan'dong 大千应感动
'da'sheng'suo'li 大圣所立
'da'zhong'sheng'xiang 达众生相
'dan'jian'se'wen'xiang 但见色闻香
'dan'wei'jiang'lai'zhong'sheng 但为将来众生
'dan'yin'shun'yu'fang 但因顺余方
'dan'you'zi'ran'kuai'le'zhi'yin 但有自然快乐之音
'dan'yu'tang'de 但欲唐得
'dang'chu'xin'gou 荡除心垢
'dang'ju'shuo'zhi 当具说之
'dang'ru'shuo'xiu'xing 当如说修行
'dang'yu'zhen'miao'hua 当雨珍妙华
'dao'chang'chao'jue 道场超绝
'dao'xia'si'cun 蹈下四寸
'dao'yu'shi'fang 道御十方
'de'fo'hua'yan'san'mei 得佛华严三昧
'de'kong'wu'xiang'wu'yuan'san'mei 得空无相无愿三昧
'de'mie'jin'san'mei 得灭尽三昧
'de'pan'chu'chi 得攀出池
'de'ping'deng'fa 得平等法
'de'qi'miao'bao 得其妙宝
'de'san'fa'ren 得三法忍
'de'shen'fa'ren 得深法忍
'de'sheng'qi'guo 得生其国
'de'sheng'shan'dao 得升善道
'de'wei'miao'fa 得微妙法
'de'wei'san'jie'xiong 得为三界雄
'de'wu'jin'fo'nian'zhu'fo'ye 得无今佛念诸佛耶
'de'zhu'ru'lai'bian'cai'zhi'zhi 得诸如来辩才之智
'deng'ci'zui'sheng'zun 等此最胜尊
'deng'zheng'jue 等正觉
'di'ba'ta'xin'xi'zhi'yuan 第八他心悉知愿
'di'bai'yin'sha 底白银沙
'di'bai'yu'sha 底白玉沙
'di'che'qu'sha 底砗磲沙
'di'er'bu'geng'e'dao'yuan 第二不更恶道愿
'di'er'di'san'fa'ren 第二第三法忍
'di'er'shi'ba'dao'shu'gao'xian'yuan 第二十八道树高显愿
'di'er'shi'er'yi'sheng'bu'chu'yuan 第二十二一生补处愿
'di'er'shi'jiu'song'jing'de'hui'yuan 第二十九诵经得慧愿
'di'er'shi'liu'na'luo'yan'shen'yuan 第二十六那罗延身愿
'di'er'shi'qi'yi'qie'yan'jing'yuan 第二十七一切严净愿
'di'er'shi'san'gong'yang'zhu'fo'yuan 第二十三供养诸佛愿
'di'er'shi'si'gong'ju'sui'yi'yuan 第二十四供具随意愿
'di'er'shi'wu'yan'shuo'miao'zhi'yuan 第二十五演说妙智愿
'di'er'shi'yi'san'shi'er'xiang'yuan 第二十一三十二相愿
'di'er'shi'yu'sheng'guo'sui'yuan 第二十欲生果遂愿
'di'hu'po'sha 底琥珀沙
'di'huang'jin'sha 底黄金沙
'di'ji'si'xia 底极斯下
'di'jiu'shen'zu'wu'ai'yuan 第九神足无碍愿
'di'liu'li'sha 底琉璃沙
'di'liu'tian'shang'wan'zhong'yue'yin 第六天上万种乐音
'di'liu'tian'yan'pu'jian'yuan 第六天眼普见愿
'di'ma'nao'sha 底玛瑙沙
'di'qi'tian'er'pu'jian'yuan 第七天耳普见愿
'di'san'shen'zhen'jin'se'yuan 第三身真金色愿
'di'san'shi'ba'yi'fu'sui'nian'yuan 第三十八衣服随念愿
'di'san'shi'er'bao'xiang'miao'yan'yuan 第三十二宝香妙严愿
'di'san'shi'hui'bian'wu'xian'yuan 第三十慧辩无限愿
'di'san'shi'jiu'le'ru'lou'jin'yuan 第三十九乐如漏尽愿
'di'san'shi'liu'chang'xiu'fan'xing'yuan 第三十六常修梵行愿
'di'san'shi'qi'tian'ren'zhi'jing'yuan 第三十七天人致敬愿
'di'san'shi'san'meng'guang'rou'ruan'yuan 第三十三蒙光柔软愿
'di'san'shi'si'wen'ming'de'ren'yuan 第三十四闻名得忍愿
'di'san'shi'wu'tuo'li'nv'shen'yuan 第三十五脱离女身愿
'di'san'shi'yi'zhao'jian'shi'fang'yuan 第三十一照见十方愿
'di'san'yan'tian 第三炎天
'di'shan'hu'sha 底珊瑚沙
'di'shi'ba'shi'nian'bi'sheng'yuan 第十八十念必生愿
'di'shi'bu'tan'ji'shen'yuan 第十不贪计身愿
'di'shi'er'guang'ming'wu'liang'yuan 第十二光明无量愿
'di'shi'jiu'lin'zhong'jie'yin'yuan 第十九临终接引愿
'di'shi'liu'bu'wen'e'ming'yuan 第十六不闻恶名愿
'di'shi'qi'zhu'fo'cheng'tan'yuan 第十七诸佛称叹愿
'di'shi'san'shou'ming'wu'liang'yuan 第十三寿命无量愿
'di'shi'si'sheng'wen'wu'shu'yuan 第十四声闻无数愿
'di'shi'wu'sui'yuan'xiu'duan'yuan 第十五随愿修短愿
'di'shi'yi'zhu'ding'zheng'mie'yuan 第十一住定证灭愿
'di'shui'jing'sha 底水精沙
'di'si'shi'ba'de'san'fa'ren'yuan 第四十八得三法忍愿
'di'si'shi'er'qing'jing'jie'tuo'yuan 第四十二清净解脱愿
'di'si'shi'liu'sui'yuan'wen'fa'yuan 第四十六随愿闻法愿
'di'si'shi'qi'wen'ming'bu'tui'yuan 第四十七闻名不退愿
'di'si'shi'san'wen'ming'de'fu'yuan 第四十三闻名得福愿
'di'si'shi'shu'zhong'xian'sha'yuan 第四十树中现刹愿
'di'si'shi'si'xiu'xing'ju'de'yuan 第四十四修行具德愿
'di'si'shi'wu'pu'deng'san'mei'yuan 第四十五普等三昧愿
'di'si'shi'yi'zhu'gen'wu'que'yuan 第四十一诸根无缺愿
'di'si'xing'se'xiang'tong'yuan 第四形色相同愿
'di'wu'su'ming'zhi'tong'yuan 第五宿命智通愿
'di'yi'guo'wu'e'dao'yuan 第一国无恶道愿
'di'zhe'kai'lie 地辄开裂
'di'zi'jin'sha 底紫金沙
'ding'guang'ru'lai 锭光如来
'dong'mo'gong'dian 动魔宫殿
'dou'gong'ji'hui 都共集会
'du'qi'mian'xiang 睹其面像
'du'san'qu 杜三趣
'du'tuo'yi'qie 度脱一切
'duan'zuo'shu'xia 端坐树下
'dui'yue 对曰
'duo'suo'dao'yu 多所导御
'duo'suo'rao'yi 多所饶益
'er'bai'fo'yan 而白佛言
'er'bu'de'bian'cai'zhi'hui'zhe 而不得辩才智慧者
'er'bu'shi'ding'yi 而不失定意
'er'bu'za'luan 而不杂乱
'er'de'zi'zai 而得自在
'er'gen'qing'che 耳根清彻
'er'jie'yi'li 而皆已立
'er'lai'bi'shi 而来逼试
'er'san'si'wu'you'xun 二三四五由旬
'er'shi 尔时
'er'shi'a'nan'bai'fo'yan 尔时阿难白佛言
'er'shi'fa'zang'bi'qiu 尔时法藏比丘
'er'shi'shi'zi'zai'wang'fo 尔时世自在王佛
'er'shi'shi'zun 尔时世尊
'er'sui'yi'zi'zai 而随意自在
'er'wu'deng'shuang 而无等双
'er'xian'mie'du 而现灭度
'er'zhe'rou'shun'ren 二者柔顺忍
'er'zhu'fa'fu 而著法服
'er'zhuang'yan'zhi 而庄严之
'er'zuo'da'shi 而作大师
'fa'pu'ti'xin 发菩提心
'fa'qi'yue'ke'yi'qie'da'zhong 发起悦可一切大众
'fa'shen'zhi'hui 发深智慧
'fa'si'hong'shi 发斯弘誓
'fa'yuan'yu'bi 发愿于彼
'fa'zang'bi'qiu 法藏比丘
'fa'zang'pu'sa 法藏菩萨
'fan'e'shan'ji 犯恶山积
'fan'li'shi'jie 凡历十劫
'fei'bang'zheng'fa 诽谤正法
'fei'qiao'li'suan'shu'yan'ci'pi'lei'suo'neng'zhi'ye 非巧历算数言辞譬类所能知也
'fei'suan'shu'pi'yu'suo'neng'zhi'ye 非算数譬喻所能知也
'fei'tian'fei'ren 非天非人
'fei'wo'jing'jie 非我境界
'fen'bie'xian'shi'zhen'shi'zhi'ji 分别显示真实之际
'fen'da'guang'ming 奋大光明
'fen'tuo'li'hua 分陀利华
'feng'chu'qi'shen 风触其身
'feng'chui'san'hua 风吹散华
'feng'shi'shi'zhang 奉事师长
'feng'song'chi'shuo 讽诵持说
'fo'gao'a'nan 佛告阿难
'fo'gao'bi'qiu 佛告比丘
'fo'hou'er'hou 佛吼而吼
'fo'shen'li'gu 佛神力故
'fo'shuo'wu'liang'shou'jing'juan'shang 佛说无量寿经卷上
'fo'suo'zhu'zhe 佛所住者
'fo'yan 佛言
'fo'yu'a'nan 佛语阿难
'fo'zhu'wang'she'cheng 佛住王舍城
'fu'bu'ke'ji 复不可计
'fu'cheng'bai'ma 服乘白马
'fu'fo'shu'xia 敷佛树下
'fu'gai'qi'shang 覆盖其上
'fu'geng'san'e'dao'zhe 复更三恶道者
'fu'guo'yu'ci 复过于此
'fu'wei'nv'xiang'zhe 复为女像者
'fu'yi'zhen'zhu 复以真珠
'fu'you'yi'qian 富有益悭
'gao'cai'yong'zhe 高才勇哲
'gao'si'bai'wan'li 高四百万里
'gao'si'bai'wan'li'zhe 高四百万里者
'gao'xia'da'xiao 高下大小
'ge'ge'an'li'wu'liang'zhong'sheng'yu'fo'zheng'dao 各各安立无量众生于佛正道
'ge'jie'yi'deng 各皆一等
'ge'neng'xuan'bu 各能宣布
'gong'dian'lou'guan 宫殿楼观
'gong'jing'san'bao 恭敬三宝
'gong'xun'guang'da 功勋广大
'gong'yang'gong'jing'yi'qie'zhu'fo 供养恭敬一切诸佛
'gong'yang'shi'fang'zhu'fo'ru'lai 供养十方诸佛如来
'gong'yang'wu'liang'bu'ke'si'yi'zhu'fo'shi'zun 供养无量不可思议诸佛世尊
'gong'yang'yi'qie 供养一切
'gong'yang'yi'qie'fo 供养一切佛
'gong'yang'zhu'fo 供养诸佛
'gong'zuo'cheng'man'zu 功祚成满足
'gu'neng'er'er 故能尔耳
'gu'neng'zhi'ci 故能致此
'gu'wen'si'yi 故问斯义
'gu'you'tian'ren'zhi'ming 故有天人之名
'guai'lie'xie'wang 掴裂邪网
'guan'fa'ru'hua 观法如化
'guan'lian'qun'ji 贯练群籍
'guan'zong'lv'lian 贯综缕练
'guang'chan'dao'jiao 光阐道教
'guang'he'yu'shuo 光赫煜烁
'guang'ming'pu'zhao'wu'liang'fo'tu 光明普照无量佛土
'guang'ming'wei'xiang 光明威相
'guang'ming'xi'zhao 光明悉照
'guang'ming'xian'he 光明显赫
'guang'ming'xian'yao 光明显耀
'guang'ming'you'xian'liang 光明有限量
'guang'pu'ji'ding 广普寂定
'guang'rong'fo'fa 光融佛法
'guang'se'he'ran 光色赫然
'guang'se'huang'yao 光色晃曜
'guang'shi'gong'de'bao 广施功德宝
'guang'wei'fu'yan'zhu'fo'ru'lai'jing'tu'zhi'xing 广为敷演诸佛如来净土之行
'guang'yan'rong'se 光颜容色
'guang'yan'wei'wei 光颜巍巍
'guang'yan'wu'yi 光颜无异
'guang'ying'pu'sa 光英菩萨
'guo'du'sheng'si 过度生死
'guo'ru'ni'huan 国如泥洹
'guo'tu'di'yi 国土第一
'guo'tu'qing'jing 国土清净
'guo'tu'suo'you'yi'qie'wan'wu 国土所有一切万物
'guo'tu'zhi'cu'miao 国土之粗妙
'guo'you'di'yu'e'gui'chu'sheng'zhe 国有地狱饿鬼畜生者
'guo'zhong'pu'sa 国中菩萨
'guo'zhong'sheng'wen 国中声闻
'guo'zhong'tian'ren 国中天人
'guo'zhong'tian'ren'shou'zhong'zhi'hou 国中天人寿终之后
'hai'fu'ru'gu 还复如故
'hang'ye'guo'bao 行业果报
'hang'ye'guo'bao'bu'ke'si'yi 行业果报不可思议
'hao'wu'liang'guang'fo 号无量光佛
'hao'yue'fa'zang 号曰法藏
'he'cheng'wei'di 合成为地
'he'fu'qun'sheng 荷负群生
'he'gu'wei'shen'guang'guang'nai'er 何故威神光光乃尔
'he'suo'wei'duo 何所为多
'he'yan'ai'yu 和颜爱语
'he'yuan'bu'de 何愿不得
'he'zhang'er'zhu 合掌而住
'hong'xuan'zheng'fa 弘宣正法
'hu'fo'zhong'xing 护佛种性
'hu'po 琥珀
'hu'po'chi'zhe 琥珀池者
'hua'guo'yi'ran 华果亦然
'hua'hua'xiang'shun 华华相顺
'hua'xian'qi'shen 化现其身
'hua'xiang'ying'luo 华香璎珞
'hua'ye'chui'bu 华叶垂布
'hua'yong'yi'qi 华用已讫
'huai'lie'mo'wang 坏裂魔网
'huai'zhu'yu'qian 坏诸欲堑
'huan'xi'guang'fo 欢喜光佛
'huan'xi'wu'liang 欢喜无量
'huan'xi'xin'le 欢喜信乐
'huan'xi'yong'yue 欢喜踊跃
'huang'jin'chi'zhe 黄金池者
'hui'dang'ke'guo 会当克果
'hui'jian'wu'ai 慧见无碍
'hui'kuo'kuang'dang 恢廓旷荡
'hui'shang'pu'sa 慧上菩萨
'hui'yi'zhen'shi'zhi'li 惠以真实之利
'huo'che'qu'shu 或砗磲树
'huo'er'bao'san'bao 或二宝三宝
'huo'er'shi'san'shi 或二十三十
'huo'ji'jing'sheng 或寂静声
'huo'liu'li'shu 或琉璃树
'huo'ma'nao'shu 或玛瑙树
'huo'qian'fo'shi'jie 或千佛世界
'huo'shan'hu'shu 或珊瑚树
'huo'shi'li'wu'wei'bu'gong'fa'sheng 或十力无畏不共法声
'huo'shi'you'xun 或十由旬
'huo'shui'jing'shu 或水精树
'huo'wei'liu'yu'tian'zhu 或为六欲天主
'huo'wei'sha'li'guo'jun'zhuan'lun'sheng'di 或为刹利国君转轮圣帝
'huo'wei'zhang'zhe'ju'shi'hao'xing'zun'gui 或为长者居士豪姓尊贵
'huo'wen'fa'sheng 或闻法声
'huo'wen'fo'sheng 或闻佛声
'huo'wen'seng'sheng 或闻僧声
'huo'yi'bao'er'bao 或一宝二宝
'huo'yi'you'xun 或一由旬
'huo'you'bao'shu 或有宝树
'huo'you'er'bao'san'bao 或有二宝三宝
'huo'you'fo'guang'zhao'yu'qi'chi 或有佛光照于七尺
'huo'you'jin'shu 或有金树
'huo'you'yin'shu 或有银树
'huo'zhao'bai'fo'shi'jie 或照百佛世界
'huo'zhu'feng'shan 获诸丰膳
'ji'bi'chu'hui'sheng'wen'pu'sa 计彼初会声闻菩萨
'ji'cai'bu'shi 积财不施
'ji'cong'zuo'qi 即从座起
'ji'dao'li'tian 及忉利天
'ji'gen'pu'sa 寂根菩萨
'ji'gong'lei'de 积功累德
'ji'han'kun'ku 饥寒困苦
'ji'jin'gang'wei'yi'qie'zhu'shan 及金刚围一切诸山
'ji'lei'de'ben 积累德本
'ji'qi'shou'ming'chang'yuan'zhi'shu 计其寿命长远之数
'ji'ru'di'wang 计如帝王
'ji'shan'yu'qing 积善余庆
'ji'sheng'wen'zhong 及声闻众
'ji'wei'fa'zang'bi'qiu'er'shuo'jing'yan 即为法藏比丘而说经言
'ji'wei'guang'shuo'er'bai'yi'shi'yi'zhu'fo'sha'tu 即为广说二百一十亿诸佛刹土
'ji'xiang'gan'zheng 吉祥感征
'ji'yue'yin'sheng 伎乐音声
'ji'zhi'pu'sa'wu'liang'de'xing 积植菩萨无量德行
'ji'zhi'yu'xi 即至于膝
'ji'zhong'bao'shu 及众宝树
'ji'zhu'ju'nan 济诸剧难
'jia'fu'er'zuo 跏趺而坐
'jia'ling'bu'yu'da'zhong'wei'rao'xian'qi'ren'qian'zhe 假令不与大众围绕现其人前者
'jia'ling'ci'ren'zai'di'wang'bian 假令此人在帝王边
'jia'ling'tian'di 假令天帝
'jia'ling'you'fo 假令有佛
'jia'shi'shen'zhi 假使身止
'jia'shi'shi'fang'shi'jie'wu'liang'zhong'sheng 假使十方世界无量众生
'jia'shi'you'ren'xi'qi'yi'mao 假使有人析其一毛
'jian'ci'guang'ming 见此光明
'jian'ci'shu'zhe 见此树者
'jian'ci'yuan'yi 建此愿已
'jian'fa'zhuang 建法幢
'jian'gu'yuan'gu 坚固愿故
'jian'lao'bing'si 见老病死
'jian'li'chang'ran 建立常然
'jian'zheng'bu'que 坚正不却
'jiang'shen'mu'tai 降神母胎
'jiang'wu'shi'yi 讲武试艺
'jiao'hua'an'li'wu'shu'zhong'sheng 教化安立无数众生
'jiao'hua'du'tuo'wu'liang'zhong'sheng 教化度脱无量众生
'jiao'ren'ling'xing 教人令行
'jie'de'kuai'le 皆得快乐
'jie'de'ren'shen 皆得人身
'jie'de'shen'shen'fa'ren 皆得甚深法忍
'jie'de'xiu'xi 皆得休息
'jie'du'bi'an 皆度彼岸
'jie'ling'de'dao 皆令得道
'jie'ling'xiang'fu 皆令降伏
'jie'meng'jie'tuo 皆蒙解脱
'jie'qi'bao'zhuang'yan 皆七宝庄严
'jie'qi'zhi'li 竭其智力
'jie'ren'jing'jin 戒忍精进
'jie'ru'si'deng'shang'shou'zhe'ye 皆如斯等上首者也
'jie'shou'zi'ran'xu'wu'zhi'shen 皆受自然虚无之身
'jie'tuo'pu'sa 解脱菩萨
'jie'wen'jing'jin 戒闻精进
'jie'xi'dai'de'pu'deng'san'mei 皆悉逮得普等三昧
'jie'xi'dai'de'qing'jing'jie'tuo'san'mei 皆悉逮得清净解脱三昧
'jie'xi'du'jian 皆悉睹见
'jie'xi'pu'xian 皆悉普现
'jie'xi'yi'guo 皆悉已过
'jie'xi'yin'bi 皆悉隐蔽
'jie'xi'zhao'jian 皆悉照见
'jie'xiu'fo'xing 皆修佛行
'jie'yi'de'zhu 皆已得住
'jie'yi'he'zhu 皆依何住
'jie'yi'jin'lv'zhen'zhu 皆以金缕真珠
'jie'yi'wu'liang'za'bao'bai'qian'zhong'xiang'er'gong'he'cheng 皆以无量杂宝百千种香而共合成
