'an'yun'po 黯云坡
'kun'xian'zhi'suo 捆仙之索
'la'ji'mu'biao 垃圾目标
'lei'ting'wan'jun 雷霆万钧
'li'cheng 历城
'li'shan 骊山
'li'shi 力士
'lian'she 连射
'lian'zhu'jian'ying 连珠箭影
'lian'zhu'kuai'jian 连珠快箭
'liao'ci 撩刺
'lie'yan'fen'shen 烈焰焚身
'ling'kong'xu'du 凌空虚渡
'liu'jie 六阶
'liu'xing'jian'ying 流星箭影
'long'juan'feng 龙卷风
'long'juan'kuang'feng 龙卷狂风
'luan'fen'gang 乱坟岗
'luan'jian'fei'yu 乱箭飞雨
'luan'jian'qi'fa 乱箭齐发
'luan'she 乱射
'luo'xia'gu 落霞谷
'man'juan'kuang'feng 漫卷狂风
'meng'hu'xia'shan 猛虎下山
'mi'zong'lin 迷踪林
'miao'shou'hui'chun 妙手回春
'ming'zhong'lv 命中率
'mo'feng'li'ren 磨锋砺刃
'mo'zhuang'bei 磨装备
'mu'bao 木宝
'mu'fang 木防
'mu'gong 木攻
'ning'shen'yang'qi 凝神养气
'nu'jian 怒箭
'nu'jian'chuan'hun 怒箭穿魂
'nu'jian'chuan'xin 怒箭穿心
'nu'sao'can'yun 怒扫残云
'nu'zhan'wen'tian 怒斩问天
'pei'xian'jiao'ye 沛县郊野
'peng'cheng 彭城
'pi'gan'li'dan 披肝沥胆
'pu'fang 普防
'pu'gong 普攻
'qi'chong'xiao'han 气冲霄汉
'qi'feng'gang 栖凤岗
'qi'feng'kuang'yu 凄风狂雨
'qi'gan'yun'xiao 气干云霄
'qi'guan'shan'he 气贯山河
'qi'huo 奇货
'qi'jie 七阶
'qian'fu'dong 千蝠洞
'qian'kun'gong 乾坤宫
'qian'kun'nuo'yi 乾坤挪移
'qian'long'sheng'tian 潜龙升天
'qian'zhong 黔中
'qiang'dao'shan'dong 强盗山洞
'qing'yang 青阳
'qing'yang'gu'cun 青阳古村
'qing'yang'wang 青阳王
'qu'mo'shu 祛魔术
'qu'xie'fu'mo 驱邪伏魔
'ran'shao'xue'ren 燃烧血刃
'reng'za 扔杂
'sa'dou'cheng'bing 撒豆成兵
'san'chuan'jun'jiao'wai 三川郡郊外
'san'jie 三阶
'shan'bi'lv 闪避率
'shen'ding'shan 神鼎山
'shen'lai'zhi'shi 神来之石
'sheng'tian'jiu'ling 圣天酒灵
'sheng'wang 声望
'shi'gu'zhi'du 噬骨之毒
'shi'hua'shu 石化术
'shi'li'huang'ye 十里荒野
'shu'shan'shen'long'dian 蜀山神龙殿
'shu'shi 术士
'shua'guai 刷怪
'shua'za 刷杂
'shui'bao 水宝
'shui'fang 水防
'shui'gong 水攻
'shui'mu 水木
'si'jie 四阶
'tai'shan'ya'ding 泰山压顶
'tai'xu'zhi'dian 太虚之巅
'tai'xu'zhi'feng 太虚之峰
'tai'xu'zhi'gu 太虚之谷
'tai'xu'zhi'lin 太虚之林
'tai'xu'zhi'xin 太虚之心
'tai'xu'zhi'ya 太虚之崖
'tai'xu'zhi'yi 太虚之翼
'tai'xu'zhi'yuan 太虚之渊
'tai'yuan'shan 太原山
'te'kang 特抗
'tian'di'hun'dun 天地混沌
'tian'jiao 天骄
'tian'nv'san'hua 天女散花
'tian'wai'zhi'shi 天外之石
'tian'zi'dian 天子殿
'tong'pi'tie'gu 铜皮铁骨
'tou'man 头曼
'tu'bao 土宝
'tu'ci 突刺
'tu'fang 土防
'tu'gong 土攻
'tu'mu 土木
'wa'huang'gong 娲皇宫
'wan'cheng'jiao'wai 宛城郊外
'wan'mo'chan'shen 万魔缠身
'wan'ren'ling 万仞岭
'wan'xie'dong 万邪洞
'wang'long'jia 王龙家
'wang'ming'bo'sha 亡命搏杀
'wen'lin'ya'jing 闻麟牙晶
'wu'bian'luo'mu 无边落木
'wu'hua'cun 五华村
'wu'jian'bu'cui 无坚不摧
'wu'jie 五阶
'wu'kang 五抗
'wu'kang 物抗
'wu'qing'bing'ren 无情冰刃
'wu'qing'jian'jing 无情箭阱
'wu'shi 巫师
'wu'wang'bu'sheng 无往不胜
'wu'xing'gong 五行攻
'wu'ying'zhan 无影斩
'xia'pi 下邳
'xia'xian 下县
'xian'di'du'qian 陷地毒签
'xian'shan 仙山
'xian'shan'zhi'dian 仙山之巅
'xiao'yi 小易
'xuan'bing'ming'qi 玄冰冥气
'xuan'bing'zhen'qi 玄冰真气
'xuan'feng 旋风
'xuan'feng'ji 旋风击
'xuan'feng'ji'yu 旋风急雨
'xuan'feng'mie'fa 旋风灭法
'xuan'huo'zhen 旋火阵
'xue'cheng'cheng'jiao 薛城城郊
'xue'wu'kuang'feng 血舞狂风
'xun'lei 迅雷
'xun'lei'chuan'shan 迅雷穿闪
'yan'long'lie'huo 炎龙烈火
'yan'men'guan 雁门关
'yang'cheng'cheng'jiao 阳城城郊
'yang'xin'dong 养心洞
'yang'zhou'cheng 阳周城
'yao'sheng 药圣
'yao'shou'dong 妖兽洞
'ye'huo'liao'yuan 野火燎原
'ye'huo'man'tian 野火漫天
'ye'zhu'lin 野猪林
'yi'hang'huan'ying 移行换影
'yi'jie 一阶
'yin'feng'shu 引蜂术
'ying'chuan'jiao'wai 颖川郊外
'ying'hui'ling 鹰喙岭
'you'di'shen'ru 诱敌深入
'you'xia 游侠
'yu'qi'zhi'shu 御气之术
'yun'wu'gu 云雾谷
'za'huo'pu 杂货铺
'zang'gu'dong 葬骨洞
'zhan'ji'pi'jing 斩棘披荆
'zhang'ji 杖击
'zhao'cun 赵村
'zhao'cun'jiao'ye 赵村郊野
'zhao'gao'mi'dian 赵高密殿
'zhao'gao'mi'dian'mi'gong 赵高密殿迷宫
'zhao'huan'bai'hu 召唤白虎
'zhao'huan'bai'lang 召唤白狼
'zhao'huan'bian'fu'wang 召唤蝙蝠王
'zhao'huan'da'shan'xiao 召唤大山魈
'zhao'huan'da'ye'zhu 召唤大野猪
'zhao'huan'hu 召唤虎
'zhao'huan'hu'jiao 召唤虎蛟
'zhao'huan'hu'jiao'wang 召唤虎蛟王
'zhao'huan'lang 召唤狼
'zhao'huan'lang'wang 召唤狼王
'zhao'huan'lu'wu 召唤陆吾
'zhao'huan'pao'xiao 召唤狍鸮
'zhao'huan'qiong'qi 召唤穷奇
'zhao'huan'shan'xiao 召唤山魈
'zhao'huan'shan'yi 召唤善翼
'zhao'huan'xi'kui'shou 召唤犀魁兽
'zhao'huan'xiang'liu 召唤相柳
'zhao'huan'xiong 召唤熊
'zhao'huan'ye'zhu 召唤野猪
'zhao'huan'zhu'yan 召唤朱厌
'zhao'huan'zhu'yan'wang 召唤朱厌王
'zhen'ba'dao'wu'shuang 真霸道无双
'zhi'liao'shu 治疗术
'zhi'xue'hui'chun 止血回春
'zhui'hun'ji'ci 追魂疾刺
'zi'qi'dong'lai 紫气东来
'zui'e 罪恶
'zuo'xian'wang 左贤王
