'ai'jing'jin'yu'shi'qin 爱敬尽于事亲
'gu'sui'tian'zi'bi'you'zun'ye 故虽天子必有尊也
'gu'yi'xiao'shi'jun'ze'zhong 故以孝事君则忠
'gu'zhong'ke'yi'yu'jun 故忠可移于君
'guang'yang'ming'zhang'di'shi'si 广扬名章第十四
'guang'yao'dao'zhang'di'shi'er 广要道章第十二
'guang'zhi'de'zhang'di'shi'san 广至德章第十三
'he'zu'yi'zhi'zhi 何足以知之
'hui'bu'mie'xing'ci'sheng'ren'zhi'zheng'ye 毁不灭性此圣人之政也
'huo'luan'bu'zuo 祸乱不作
'ji'xiao'xing'zhang'di'shi 纪孝行章第十
'ji'ze'gui'xiang'zhi 祭则鬼享之
'ji'ze'zhi'qi'yan 祭则致其严
'jian'zheng'zhang'di'shi'wu 谏诤章第十五
'jiao'min'li'shun'mo'shan'yu'ti 教民礼顺莫善于悌
'jiao'min'qin'ai'mo'shan'yu'xiao 教民亲爱莫善于孝
'jiao'min'wu'yi'si'shang'sheng 教民无以死伤生
'jiao'yi'chen'suo'yi'jing 教以臣所以敬
'jiao'yi'ti'suo'yi'jing 教以悌所以敬
'jiao'yi'xiao'suo'yi'jing 教以孝所以敬
'jiao'zhi'suo'you'sheng'ye 教之所由生也
'jin'tui'ke'du 进退可度
'jing'qi'jun'ze'chen'yue 敬其君则臣悦
'jing'qi'xiong'ze'di'yue 敬其兄则弟悦
'jing'qin'zhe 敬亲者
'jing'yi'ren'er'qian'wan'ren'yue 敬一人而千万人悦
'ju'jia'li'gu'zhi'ke'yi'yu'guan 居家理故治可移于官
'ju'shang'bu'jiao 居上不骄
'ju'shang'er'jiao'ze'wang 居上而骄则亡
'ju'ze'zhi'qi'jing 居则致其敬
'jun'chen'zhi'yi'ye 君臣之义也
'jun'qin'lin'zhi'hou'mo'zhong'yan 君亲临之厚莫重焉
'jun'zi'ze'bu'ran 君子则不然
'jun'zi'zhi'shi'qin'xiao 君子之事亲孝
'jun'zi'zhi'shi'shang'ye 君子之事上也
'kai'ti'jun'zi'min'zhi'fu'mu 恺悌君子民之父母
'kai'zong'ming'yi'zhang'di'yi 开宗明义章第一
'kou'wu'ze'yan 口无择言
'ku'bu'yi'li'wu'rong 哭不偯礼无容
'li'zhe'jing'er'yi'yi 礼者敬而已矣
'ling'ke'wei'xiao'hu 令可谓孝乎
'man'er'bu'yi 满而不溢
'min'yong'he'mu 民用和睦
'pi'yong'ku'qi'ai'yi'song'zhi 擗踊哭泣哀以送之
'qi'zheng'bu'yan'er'zhi 其政不严而治
'qing'da'fu'zhang'di'si 卿大夫章第四
'ran'hou'neng'bao'qi'she'ji 然后能保其社稷
'ran'hou'neng'shou'qi'zong'miao 然后能守其宗庙
'ren'zhi'xing'mo'da'yu'xiao 人之行莫大于孝
'rong'zhi'ke'guan 容止可观
'ru'ci 如此
'ru'ci'qi'da'zhe'hu 如此其大者乎
'ru'lin'shen'yuan'ru'lv'bo'bing 如临深渊如履薄冰
'ru'zhi'zhi'hu 汝知之乎
'ruo'fu'ci'ai 若夫慈爱
'san'cai'zhang'di'qi 三才章第七
'san'ri'er'shi 三日而食
'san'zhe'bei'yi 三者备矣
'sang'bu'guo'san'nian'shi'min'you'zhong'ye 丧不过三年示民有终也
'sang'qin'zhang'di'shi'ba 丧亲章第十八
'sang'ze'zhi'qi'ai 丧则致其哀
'shang'xia'wu'yuan 上下无怨
'shen'ti'fa'fu'shou'zhi'fu'mu 身体发肤受之父母
'shen'wu'ze'xing 身无择行
'sheng'min'zhi'ben'jin'yi 生民之本尽矣
'sheng'ren'yin'yan'yi'jiao'jing 圣人因严以教敬
'sheng'shi'ai'jing'si'shi'ai'qi 生事爱敬死事哀戚
'sheng'zhi'zhang'di'jiu 圣治章第九
'shi'gu'fei'fa'bu'yan 是故非法不言
'shi'gu'xian'zhi'yi'bo'ai 是故先之以博爱
'shi'he'yan'yu'shi'he'yan'yu 是何言与是何言与
'shi'jun'zhang'di'shi'qi 事君章第十七
'shi'mu'xiao'gu'shi'di'cha 事母孝故事地察
'shi'qin'zhe 事亲者
'shi'xiong'ti'gu'shun'ke'yi'yu'chang 事兄悌故顺可移于长
'shi'yi'qi'jiao'bu'su'er'cheng 是以其教不肃而成
'shi'yi'qi'min'wei'er'ai'zhi 是以其民畏而爱之
'shi'yi'si'hai'zhi'nei 是以四海之内
'shi'yi'tian'xia'he'ping 是以天下和平
'shi'yi'xing'cheng'yu'nei 是以行成于内
'shi'you'zheng'you 士有争友
'shi'yu'shi'qin 始于事亲
'shi'yun 诗云
'shi'yun'he'he'shi'yin'min'ju'er'zhan 诗云赫赫师尹民具尔瞻
'shi'yun'shu'ren'jun'zi'qi'yi'bu'tei 诗云淑人君子其仪不忒
'shi'yun'su'xing'ye'mei 诗云夙兴夜寐
'shi'yun'su'ye'fei'xie'yi'shi'yi'ren 诗云夙夜匪懈以事一人
'shi'yun'you'jue'de'xing'si'guo'shun'zhi 诗云有觉德行四国顺之
'shi'zhang'di'wu 士章第五
'shi'zhi'yi'hao'wu'er'min'zhi'jin 示之以好恶而民知禁
'shu'ren'zhang'di'liu 庶人章第六
'si'sheng'zhi'yi'bei'yi 死生之义备矣
'sui'wu'dao'bu'shi'qi'guo 虽无道不失其国
'sui'wu'dao'bu'shi'qi'jia 虽无道不失其家
'suo'jing'zhe'gua'er'yue'zhe 所敬者寡而悦者
'suo'yi'chang'shou'fu'ye 所以长守富也
'suo'yi'chang'shou'gui'ye 所以长守贵也
'tian'di'ming'cha'shen'ming'zhang'yi 天地明察神明彰矣
'tian'di'zhi'jing'er'min'shi'ze'zhi 天地之经而民是则之
'tian'di'zhi'xing'ren'wei'gui 天地之性人为贵
'tian'xia'zhi'wei'ren'fu'zhe'ye 天下之为人父者也
'tian'xia'zhi'wei'ren'jun'zhe'ye 天下之为人君者也
'tian'xia'zhi'wei'ren'xiong'zhe'ye 天下之为人兄者也
'tian'xing'ye 天性也
'tian'zi'zhang'di'er 天子章第二
'wei'xia'bu'luan 为下不乱
'wei'xia'er'luan'ze'xing 为下而乱则刑
'wei'zhi'bei'de 谓之悖德
'wei'zhi'bei'li 谓之悖礼
'wei'zhi'zong'miao'yi'gui'xiang'zhi 为之宗庙以鬼享之
'wen'le'bu'le'shi'zhi'bu'gan 闻乐不乐食旨不甘
'wu'nian'er'zu'yu'xiu'jue'de 无念尔祖聿修厥德
'wu'si'bu'fu 无思不服
'wu'tian'er'suo'sheng 无忝尔所生
'wu'xing'zhang'di'shi'yi 五刑章第十一
'wu'xing'zhi'shu'san'qian 五刑之属三千
'wu'yi'jia'yu'xiao'hu 无以加于孝乎
'wu'zhe'bei'yi'ran'hou'neng'shi'qin 五者备矣然后能事亲
'xi'zhe'ming'wang'shi'fu'xiao 昔者明王事父孝
'xi'zhe'ming'wang'zhi'yi'xiao'zhi'tian'xia'ye 昔者明王之以孝治天下也
'xian'wang'jian'jiao'zhi'ke'yi'hua'min'ye 先王见教之可以化民也
'xian'wang'you'zhi'de'yao'dao 先王有至德要道
'xian'zhi'yi'jing'rang'er'min'bu'zheng 先之以敬让而民不争
'xiao'mo'da'yu'yan'fu 孝莫大于严父
'xiao'zhi'zhang'di'ba 孝治章第八
'xiao'zi'zhi'sang'qin'ye 孝子之丧亲也
'xiao'zi'zhi'shi'qin'ye 孝子之事亲也
'xiao'zi'zhi'shi'qin'zhong'yi 孝子之事亲终矣
'xin'hu'ai'yi'xia'bu'wei'yi 心乎爱矣遐不谓矣
'xing'man'tian'xia'wu'yuan'e 行满天下无怨恶
'xing'si'ke'le 行思可乐
'xing'yu'si'hai 刑于四海
'xiu'shen'shen'xing'kong'ru'xian'ye 修身慎行恐辱先也
'yan'bu'wen'fu'mei'bu'an 言不文服美不安
'yan'fu'mo'da'yu'pei'tian 严父莫大于配天
'yan'man'tian'xia'wu'kou'guo 言满天下无口过
'yan'si'ke'dao 言思可道
'yan'you'fu'ye 言有父也
'yang'ming 扬名
'yang'ze'zhi'qi'le 养则致其乐
'yi'feng'yi'su'mo'shan'yu'le 移风易俗莫善于乐
'yi'jing'shi'chang'ze'shun 以敬事长则顺
'yi'lin'qi'min 以临其民
'yi'ren'you'qing'zhao'min'lai'zhi 一人有庆兆民赖之
'yi'shi'qi'xian'jun 以事其先君
'yi'shi'qi'xian'wang 以事其先王
'yi'shun'tian'xia 以顺天下
'yi'shun'ze'ni'min'wu'ze'yan 以顺则逆民无则焉
'yi'yang'fu'mu'ri'yan 以养父母日严
'yin'qin'yi'jiao'ai 因亲以教爱
'you'he'yi'jia'yu'xiao'hu 又何以加于孝乎
'zai'chou'bu'zheng 在丑不争
'zai'chou'er'zheng'ze'bing 在丑而争则兵
'zai'hai'bu'sheng 灾害不生
'zai'shang'bu'jiao 在上不骄
'ze'er'xiang'zhi 则而象之
'ze'shen'bu'li'yu'ling'ming 则身不离于令名
'ze'shen'bu'xian'yu'bu'yi 则身不陷于不义
'ze'tian'zhi'ming'yin'di'zhi'li'yi'shun'tian'xia 则天之明因地之利以顺天下
'ze'wen'ming'yi 则闻命矣
'ze'zhou'gong'qi'ren'ye 则周公其人也
'ze'zi'bu'ke'yi'bu'zheng'yu'fu 则子不可以不争于父
'zeng'zi'bi'xi'yue 曾子避席曰
'zeng'zi'shi 曾子侍
'zeng'zi'yue 曾子曰
'zeng'zi'yue'shen'zai'xiao'zhi'da'ye 曾子曰甚哉孝之大也
'zhan'zhan'jing'jing 战战兢兢
'zhang'you'shun'gu'shang'xia'zhi 长幼顺故上下治
'zhi'jie'jin'du 制节谨度
'zhong'ci'zhi'wei'yao'dao'ye 众此之谓要道也
'zhong'ni'ju 仲尼居
'zhong'xin'cang'zhi'he'ri'wang'zhi 中心藏之何日忘之
'zhong'yu'li'shen 终于立身
'zhong'yu'shi'jun 中于事君
'zhu'hou'you'zheng'chen'wu'ren 诸侯有争臣五人
'zhu'hou'zhang'di'san 诸侯章第三
'zi'xi'zi'dong'zi'nan'zi'bei 自西自东自南自北
'zi'yu'shi'fu'yi'shi'jun'er'jing'tong 资于事父以事君而敬同
'zi'yu'shi'fu'yi'shi'mu'er'ai'tong 资于事父以事母而爱同
'zi'yue 子曰
'zong'miao'zhi'jing'bu'wang'qin'ye 宗庙致敬不忘亲也
'zong'miao'zhi'jing'gui'shen'zhu'yi 宗庙致敬鬼神著矣
'zuo'shi'ke'fa 作事可法
