'ai'shi'wan'yuan'zhi'gen 爱是万缘之根
'bu'zhi'jin'ri'wo 不知今日我
'bu'zhi'lian'yi'er'ling'zi'xi 不知敛翼而铃自息
'bu'zhi'tan'wu'xian'qin 不知弹无弦琴
'bu'zhi'wu'ming'wu'wei'zhi'le'wei'zui'zhen 不知无名无位之乐为最真
'bu'zhi'xin'ti'ying'ran 不知心体莹然
'bu'zhi'yi'zai'wu'ren 不知意在无人
'bu'zhi'zu'zhe'fan'jing 不知足者凡境
'cai'bi'miao'kong 彩笔描空
'cai'bi'qu'shen'gong'gui'shi 才避去神弓鬼矢
'cai'de'chao'chen'tuo'su'de'qu'wei 才得超尘脱俗的趣味
'cai'fen'ba'dou 才分八斗
'cai'gen'tan 菜根谭
'cai'ji'ji'yan'qian 才寄迹眼前
'cai'jian'ben'lai'mian'mu 才见本来面目
'cai'jian'ben'lai'zhen'ti 才见本来真体
'cai'jian'chu'yi'hua 才见处一化
'cai'jue'xiang'yu'lu'shang'qu 才觉向欲路上去
'cai'kan'lun'chu'shi 才堪论出世
'cai'kan'pi'dao'yi'zhi'men 才堪辟道义之门
'cai'ke'yi'ren'tian'xia'zhi'fu'dan 才可以任天下之负担
'cai'ke'yi'wang'fen'hua'er'gan'dan'bo'ye 才可以忘纷华而甘淡泊也
'cai'shi'gao'shi'de'yan'jie 才是高士的眼界
'cai'shi'ge'an'le'wo'chao 才是个安乐窝巢
'cai'shi'jia'ting'de'xing'fan 才是家庭的型范
'cai'shi'jin'de'xiu'xing'de'di'shi 才是进德修行的砥石
'cai'shi'liao'shou'gong'fu 才是了手工夫
'cai'shi'qian'kun'de'tuo'yue 才是乾坤的橐龠
'cai'shi'sheng'cheng'de'de'liang 才是生成的德量
'cai'shi'xing'tian'zhong'hui'ze 才是性天中惠泽
'cai'shi'xue'wen'de'zhen 才是学问的真
'cai'shi'yi'de 才是懿德
'cai'shi'zhen'zheng'ying'xiong 才是真正英雄
'cai'tuo'qi'hu'zhi'wei 才脱骑虎之危
'cai'wei'huo'nei'zai'lian 才为火内栽莲
'cai'you'ge'zhen'shou'yong 才有个真受用
'cai'you'wan'bian'bu'qiong'zhi'miao'yong 才有万变不穷之妙用
'cai'yun'yi'san'liu'li'cui 彩云易散琉璃脆
'cai'zhe'de'zhi'nu'yong'shi'yi 才者德之奴用事矣
'cai'zhe'gong'fu'bian'qi'zhang 才着工夫便起障
'cang'er'fan'xuan'yao 藏而反炫耀
'cang'ying'fu'ji 苍蝇附骥
'cao'chi'ji'jian 操持既坚
'cao'cun'yao'you'zhen'zai 操存要有真宰
'cao'ji'zhi'yan'guang 草际之烟光
'cao'lv'yao'yan'ming 操履要严明
'cao'mu'xin'xin 草木欣欣
'cao'shou'yao'yan'ming 操守要严明
'chan'shen'xin'liang'zi'zai'zhe 缠身心两自在者
'chan'shi'bu'luo'kong'ji 禅师不落空寂
'chan'tuo'zhi'zai'zi'xin 缠脱只在自心
'chang'bai'yu'xi'wei'zhi'shi 常败于细微之事
'chang'bu'ji'gu'han'zhi'zi'ke'yi'kang'jie'zhi'zhong 常不及孤寒之子可以抗节致忠
'chang'bu'ji'shan'ye'zhi'fu'ke'yi 常不及山野之夫可以
'chang'chu'you'xian'zhen'ding'zhi'shi 常出悠闲镇定之士
'chang'duo 常多
'chang'huan'ben'xun'er'cheng'lu'mang 常患畚迅而成卤莽
'chang'huan'yi'chi'zhong'er'cheng'tui'suo 常患以持重而成退缩
'chang'si'lin'xia'de'feng'wei 常思林下的风味
'chang'si'quan'xia'de 常思泉下的
'chang'xiang'meng'zhong'hu'zui'ke 常向梦中呼醉客
'chang'xiang'xian'zhong'xian'jian'dian 常向闲中先检点
'chang'yi'hao'shi'jie'xu'shi 常疑好事皆虚事
'chang'yin'ming'er'sheng'an 常因明而生暗
'chang'zai'ming'jing'zhi'shui'zhi'zhong 常在明镜止水之中
'chang'zi'wu'chu 常自污出
'che'zheng'xian'dao 车争险道
'chen'qing 尘情
'chen'yi 尘矣
'cheng'hui'chu'gong'wa'li'he'shu 成灰处共瓦砾何殊
'cheng'man'zhi'gong 盛满之功
'cheng'tan'zhe'ji'zhi'yi'yu 惩贪者济之以欲
'chi'de'chen'su'zhi'jian 驰得尘俗之肩
'chi'ren'mei'duo'fu 痴人每多福
'chi'shen'bu'ke'tai'jiao'jie 持身不可太皎洁
'chi'shen'ru'tai'shan'jiu'ding'ning'ran'bu'dong 持身如泰山九鼎凝然不动
'chi'shen'she'shi 持身涉世
'chong'chong'zhi'rao'yi 憧憧之扰矣
'chong'li'wu'ju'ren'qian 宠利毋居人前
'chong'ru'bu'jing 宠辱不惊
'chou'bian'zhi'nu'yi'bi 仇边之弩易避
'chu'chu'dou'yu'yue'yuan'fei 触处都鱼跃鸢飞
'chu'chu'jie'hou 处处皆厚
'chu'chu'you'ai 处处有碍
'chu'chu'you'zhong'zhen'qu'wei 处处有种真趣味
'chu'ci'ru'bi 出此入彼
'chu'de'ta'hao 处得他好
'chu'fu'gui'zhi'di 处富贵之地
'chu'fu'xiong'gu'rou'zhi'bian 处父兄骨肉之变
'chu'ji'zhe'chu'shi'jie'cheng'yao'shi 处己者触事皆成药石
'chu'jian'du'dan'xing 锄奸杜亻幸
'chu'lin'quan'zhi'xia 处林泉之下
'chu'luan'shi'dang'yuan 处乱世当圆
'chu'ming'ting'jian'shi'zhe 处明庭检饰者
'chu'nao 处闹
'chu'qi 处起
'chu'shi'bu 处世不
'chu'shi'bu'tui'yi'bu'chu 处世不退一步处
'chu'shi'er'yu'ren'gan'en 处世而欲人感恩
'chu'shi'rang'yi'bu'wei'gao 处世让一步为高
'chu'shi'zhi'dao 出世之道
'chu'shi'zhi'jin'qi 出世之襟期
'chu'shu'ji'zhi'shi'dang'fang'yuan'bing'yong 处叔季之世当方圆并用
'chu'shun'jing'nei 处顺境内
'chu'wu'jie'you'hui'xin'chu 触物皆有会心处
'chu'xia'zhe'xing'lao'er 处下者形劳而
'chu'yi'yan'jie'jiu'zhi 出一言解救之
'chu'yi'yan'ti'xing'zhi 出一言提醒之
'chu'zhi'shi'yi'fang 处治世宜方
'chuan'bian'an 船便安
'chuan'shen 传神
'chuang'qian'yi'pian'fu'qing'ying'bai 窗前一片浮青映白
'chun'sheng 春生
'chun'yong'ji'qiao 纯用机巧
'chun'zhi'shi'he 春至时和
'ci'chu'ba'chu'bu'jing 此处拔除不净
'ci'chu'neng'meng'ran'zhuan'nian 此处能猛然转念
'ci'chu'ruo'bu'dang'yi'leng'chang 此处若不当以冷肠
'ci'ji'hao'ming'zhe 此讥好名者
'ci'jie'shi'shan'nian'zhong'ge'mao 此皆是善念中戈矛
'ci'jie'shu'yu'lv'zhe 此戒疏于虑者
'ci'jing'shang'yu'cha'zhe 此警伤于察者
'ci'ling'long 次玲珑
'ci'qi'du'shi'wen'zhi'gong'zhuo'cong'ci'fen'zai'wu'jian'zhou'mi'zhi'ren 此岂独诗文之工拙从此分哉吾见周密之人
'ci'ri'zui'yi'guo 此日最易过
'ci'shen'bu'zai'de 此身不再得
'ci'shen'chang'fang'zai'xian'chu 此身常放在闲处
'ci'shi 此是
'ci'shi'che'shang'che'xia'de'zhen'yi 此是彻上彻下得真意
'ci'shi'nan'yan 此事难言
'ci'shi'she'shi'yi'ji'le'fa 此是涉世一极乐法
'ci'shi'shi'suo'wei'bu'wei'fa'chan'bu'wei'kong 此释氏所谓不为法缠不为空
'ci'shi'wu'bi'wu'ci'de'zhen'ji 此是无彼无此得真机
'ci'xin'chang'an'zai'jing'zhong 此心常安在静中
'ci'xin'chang'fang'de'kuan'ping 此心常放得宽平
'ci'xin'chang'kan'de'yuan'man 此心常看得圆满
'ci'xiong'an'zai 雌雄安在
'ci'yi'dan'bo'quan'zhen'ye 此以淡泊全真也
'cong'fei'gan'sang'yi 从肥甘丧矣
'cong'jing'zhong'guan'wu'dong 从静中观物动
'cong'kong'dong'zhong'zi'zhu'yi'fan'li 从空洞中自筑一藩蓠
'cong'lin'shen'lv'bo'zhong'cao'chu 从临深履薄中操出
'cong'ming'ren'yi'lian 聪明人宜敛
'cong're'nao'chang'zhong'chu'ji'ju'qing'leng'yan'yu 从热闹场中出几句清冷言语
'cong'wu'geng'zhen'xi'shang'can'kan'xin'ti 从五更枕席上参勘心体
'cui'gui'chen'tu 催归尘土
'cui'xiao'ao'yan'shuang 翠筱傲严霜
'cun'xin'jie'bai 寸心洁白
'cun'xin'ruo'you'ban'hao'wei'jing 存心若有半毫未净
'da'cong'ming'de'ren 大聪明的人
'da'de'zhe'cai'zhi'zhu 大德者才之主
'da'di'jin'shu'xiao'yao 大地尽属逍遥
'da'e'duo'cong'rou'chu'fu 大恶多从柔处伏
'da'lie'hong'you 大烈鸿猷
'da'meng'dong'de'ren 大懵懂的人
'da'po'liao'fang'jian'zhen'kong 打破了方见真空
'da'qiao'wu'qiao'shu 大巧无巧术
'da'ren'bu'ke'bu'wei 大人不可不畏
'da'ren'dang'zao'hui'tou 达人当早回头
'da'ren'dang'zi'bian'zhi 达人当自辨之
'da'ren'de'xiong'jin 达人的胸襟
'da'ren'guan'wu'wai'zhi'wu 达人观物外之物
'da'ren'yi'yuan'dao'tou'zhi'mi 达人宜远刀头之蜜
'da'shi'yi'zhi'yang'xing'ling 达士以之养性灵
'da'shi'zhi'chu'yin'lian'yi 达士知处阴敛翼
'dai'e'ren'dang 待恶人当
'dai'jun'zi'bu'nan'yu'gong 待君子不难于恭
'dai'ren'er'liu'you'yu 待人而留有余
'dai'ren'kuan'yi'fen'shi'fu 待人宽一分是福
'dai'ren'wu'ban'hao'jiao'wei'qi'yin 待人无半毫矫伪欺隐
'dai'ren'yi'bao 待人亦薄
'dai'ren'yi'hou 待人亦厚
'dai'shan'ren'yi'kuan 待善人宜宽
'dai'xiao'ren'bu'nan'yu'yan 待小人不难于严
'dan'bo'shi'gao'feng 淡泊是高风
'dan'bo'zhi'shi 淡薄之士
'dan'bo'zhi'shou 淡泊之守
'dan'bu'yan 淡不厌
'dan'ran'wu'yu 淡然无欲
'dang'bu'de'yi'ge'hui'zi 当不得一个悔字
'dang'bu'de'yi'ge'jin'zi 当不得一个矜字
'dang'ji'hui'tan'lian'zhi'shou'er'meng'shu'chou'ku'zhi'mei'yi 当急回贪恋之首而猛舒愁苦之眉矣
'dang'mian'cuo'guo 当面错过
'dang'nian'ye 荡念也
'dang'nu'huo'yu'shui'zheng'teng'fei'shi 当怒火欲水正腾沸时
'dang'shao'zhuang'zhi'shi 当少壮之时
'dang'shi'fei'xie'zheng'zhi'jiao 当是非邪正之交
'dang'shi'qi'ke'cong 当使其可从
'dang'sui'ren'er'jie'yin 当随人而接引
'dang'sui'shi'er'jing'ti 当随事而警惕
'dang'yan'ze'jun'zi 当严责君子
'dang'yin'qi 当因其
'dang'yin'qi'suo'ming'er'jian'tong'zhi 当因其所明而渐通之
'dang'yong'ni'zhi'zhi'fa'yi'zhi'zhi 当用逆之之法以制之
'dang'yong'shun'zhi'zhi'fa'yi'tiao'zhi 当用顺之之法以调之
'dang'you'qi'xin 当有其心
'dang'yuan'qi'chu'xin 当原其初心
'dang'zhi'ge'she 当知割舍
'dao'bai'chu'wei'mian'shi'qi 到败处未免噬脐
'dao'bu'sun'e 刀不损锷
'dao'de'cong'duo'ru'shao'cong'you'ru'wu'chu 到得从多入少从有入无处
'dao'shi'yi'jian'gong'zhong'de'wu'shi 道是一件公众的物事
'dao'si'shi'fan'tuo'liao'yi'ge'yan'zi 到死时反脱了一个厌字
'dao'si'shi'fan'zeng'liao'yi'ge 到死时反增了一个
'dao'yi'lu'shang'min'yan'liang 道义路上泯炎凉
'de'ci'yi'yi'chi'shen'she'shi 得此意以持身涉世
'de'dao 得道
'de'qian'kun'qing'chun'zhi'qi 得乾坤清纯之气
'de'qing 得轻
'de'qu'bu'zai'duo 得趣不在多
'de'qu'yu'sheng'ge'teng'fei'zhi'chu 得趣于笙歌腾沸之处
'de'shi 得失
'de'sun 德损
'de'ye'wu'luo'ren'hou 德业毋落人后
'de'yi'bian'si'you'jiao'jin'ci'se'fou 得意便思有骄矜辞色否
'de'yi'sheng'wu'kui 得一生无愧
'de'yi'shi'bian'yi 得意时便一
'de'zhe'shi'ye'zhi'ji 德者事业之基
'de'zhen 得真
'deng'shan'nai'xian'lu 登山耐险路
'di'fang'cai'ke'yi'mi'yi'wai'zhi'bian 提防才可以弥意外之变
'di'jie'shi'li'xing'er'bu'jue 砥节石厉行而不觉
'di'kuan'tian'gao 地宽天高
'di'zhi'hui'zhe'duo'sheng'wu 地之秽者多生物
'ding'bu'shen'xin 定不深心
'ding'huo'ke'ji'chong'li'zhi'liu 鼎镬可及宠利之流
'ding'yun'zhi'shui'zhong 定云止水中
'ding'zong'lie'huo'zhong'duan'lai 定从烈火中煅来
'dong'gen 动根
'dong'hai'shui'ceng'wen'wu'ding'bo 东海水曾闻无定波
'dong'shi'nian'xiang 动时念想
'dong'zhong'you'shou'yong 动中有受用
'dou'bei'can'bian'duan'jian'feng'gu'le 都被残编断简封固了
'dou'bei'yao'ge'yan'wu'yan'mo'le 都被妖歌艳舞湮没了
'du'ji'zhi'xin 妒忌之心
'du'ju'ze'xing'ying'zi'kui 独居则形影自愧
'du'shu'bu'jian'sheng'xian 读书不见圣贤
'du'shu'er'ji 读书而寄
'du'xing'zhi'cao 独行之操
'du'zhi'bu'neng'rong'na 渎之不能容纳
'du'zuo'zhong'tang 独坐中堂
'dun'ling'yan'jie'ju'kong 顿令眼界俱空
'duo'bing'qing'yu'jie 多冰清玉洁
'duo'cang'hou'wang 多藏厚亡
'duo'chu'ji'xin 多出机心
'duo'ji'kuan'hong'chang'hou'zhi'jia 多集宽洪长厚之家
'duo'li'le'wan'zhang'hong'chen 躲离了万丈红尘
'duo'mao'bu'xiang'zhi'ming 多冒不祥之名
'duo'neng'bu'ru'wu'neng'zhi'quan'zhen 多能不如无能之全真
'duo'qi'yu'wan'hu'zhi'ren 多起于玩忽之人
'duo'wei'fang'si'zhe'suo'ji 多为放肆者所忌
'duo'xu'yuan'zhi'shi 多虚圆之士
'duo'yin'su'du 多因速度
'duo'zai'tao'li'shao'zai'jing 多栽桃李少栽荆
'e'er'ge'can'chang'ba 俄而歌残场罢
'e'er'ju'jin'zi'shou 俄而局尽子收
'e'ji'yin 恶忌阴
'e'pu'huo 蛾扑火
'e'ren'wei'neng'qing'qu 恶人未能轻去
'e'zhong'you'you'shan'lu 恶中犹有善路
'en'chou'bu'ke'tai'ming 恩仇不可太明
'en'li'you'lai'sheng'hai 恩里由来生害
'en'yi'zi'dan'er'nong 恩宜自淡而浓
'er'bu'bi'yan'qi'xue'chu 而不必岩栖穴处
'er'bu'ke 而不可
'er'bu'ke'ji'lie 而不可激烈
'er'bu'ke'shu'kuang 而不可疏狂
'er'bu'ke'suo'xie 而不可琐屑
'er'chang'zi'zui'jiu'dan'shi 而常自醉酒耽诗
'er'chao'fan'ru'sheng 而超凡入圣
'er'chen'qing'zhong'lei'hu'li'qu 而尘情终累乎理趣
'er'chi'hao'niao'pian'shi'fu'shu 而鸱号鸟偏嗜腐鼠
'er'en'li'zhi'ge'nan'fang 而恩里之戈难防
'er'fang'yu'shou'she'zhi'hou 而放于收摄之后
'er'fei'e'du'tou'ye'zhu 而飞蛾独投夜烛
'er'guo'ze'bu'ke'bu'nian 而过则不可不念
'er'hao'ming'bu'shu'hao'li 而好名不殊好利
'er'huan'jie'bing'zhi'nan'zhi 而患洁病之难治
'er'jiao'si'he'yi'jiao'sheng 而焦思何异焦声
'er'jie 而节
'er'jing 二境
'er'jing'shen'wan'gu'ru'xin 而精神万古如新
'er'jun'zi'le'zi'ni'jing'zhong'lai 而君子乐自逆境中来
'er'jun'zi'you'cong'kuai'yi 而君子忧从快意
'er'jun'zi'you'le'yi'li'ye 而君子忧乐以理也
'er'kang'jie'yun 而康节云
'er'kong'yi'bu'shou'ran 而空亦不受染
'er'ku'ji'yi'gao'xin'zhi'di 而枯寂亦槁心之地
'er'kuang'chen'zhong'zhi'chen'xue'rou'shen'qu'qie'gui'pao'ying 而况尘中之尘血肉身驱且归泡影
'er'kuang'ying'wai'zhi'ying'fei 而况影外之影非
'er'le'chu'zhi'jing'nan'tuo 而乐处之阱难脱
'er'li'dao'zhi 而利导之
'er'li'qu'fan'zhuan'wei'yu'gen 而理趣反转为欲根
'er'mang'yu'xian'xia'zhi'shi 而忙于闲暇之时
'er'meng'long'zheng'cong'ming'zhi'ku'ye 而朦胧正聪明之窟也
'er'mu'jian'wen'wei'wai'zei 耳目见闻为外贼
'er'mu'sui'ju'er'shen'qing'zi'kuang 耳目虽拘而神情自旷
'er'nan'yu'bu'e 而难于不恶
'er'nan'yu'you'li 而难于有礼
'er'nan'zai'hao'li 而难在好礼
'er'nan'zai'yong'qing 而难在用情
'er'ping'di'fan'wei'ku'hai 而平地反为苦海
'er'qi'jie'qian'zai'yi'shi 而气节千载一时
'er'shang'pin'chan'shi'you'cheng'yi'xia'pin'su'shi'yi 而上品禅师又成一下品俗士矣
'er'shao'wei'tui'bu 而稍为退步
'er'sheng'de'duo'bu'jin'bu'fa'ye 而盛德多不矜不伐也
'er'shi'ren'jia'jian'yi'shi'qi'lin 而世人假俭以饰其吝
'er'shi'ren'jie'qin'yi'ji'qi'tan 而世人借勤以济其贪
'er'shou'ren'hui'zhe'zao'yi'fan'shan'bang'bian'jia'yi'fan'xiu'xing 而受人毁者遭一番讪谤便加一番修省
'er'shou'ren'qi'zhe'yu'yi'fan'heng'ni'bian'chang'yi'fan'qi'yu 而受人欺者遇一番横逆便长一番器宇
'er'shui'yi'bu'liu'hen 而水亦不留痕
'er'su'zi'tu'wan'qi'guang'hua 而俗子徒玩其光华
'er'wei'li'zhang'zhi'nan'chu 而畏理障之难除
'er'wo'wu'chen'xi 而我无嗔喜
'er'wo'wu'xin'yan 而我无欣厌
'er'xi'qi'yi'he 而喜其易合
'er'xin'jing'zhi'jie'di'wei'wang 而心境之芥蒂未忘
'er'yan'yi'shi'tan'tu 而岩亦是坦途
'er'yao'cai'yu'xia'yue 而耀采于夏月
'er'yi'nian'ji'bing'shi 而一念及病时
'er'yi'xiang'dao'si'di 而一想到死地
'er'yin'lu'yu'qiu'feng 而饮露于秋风
'er'yin'zhe'gong 而隐者功
'er'yin'zhe'huo'shen 而隐者祸深
'er'yong'fu'tu'shang'qi'ji'xiang 而庸夫徒赏其迹象
'er'yu'bing'cun 二语并存
