'ai'bie'li'ku 爱别离苦
'da'cheng 大乘
'da'cheng'nie'pan'gong 大乘涅磐功
'da'gou 打狗
'da'lao 大佬
'da'li 大力
'da'long 大龙
'da'mo 大漠
'da'mo 达摩
'da'pao 大炮
'da'qing'gong 大轻功
'da'tui 大腿
'da'yao 大药
'da'zuo 打坐
'dai'zhang'men 代掌门
'dan'dao 单刀
'dan'jian 单剑
'dan'mai 单脉
'dan'qiang'shuang'jiao 单抢双娇
'dan'shua 单刷
'dan'shua'kong'que 单刷孔雀
'dan'shua'mu'se 单刷暮色
'dan'shua'qing'yun 单刷青云
'dang'kou'dao 荡寇刀
'dao'guan'gai'zao 刀棺改造
'dao'ju 道具
'dao'tang'dui'lian 刀堂对练
'dao'tang'xiu'lian 刀堂修炼
'deng'ping'du'shui 登萍渡水
'di'dui 敌对
'di'huang'wan 地黄丸
'di'ren'tie'kou 地韧铁扣
'di'tu 地图
'di'xiao 抵消
'di'yu'she'hun'dao 地狱摄魂刀
'di'yu'she'hun'jing 地狱摄魂经
'dian'shu 点数
'dian'shui 点水
'dian'shui'tiao 点水跳
'dian'wo 点我
'dian'wo'jin'zu 点我进组
'dian'zi 垫子
'diao'ling 凋翎
'die'lian'hua 蝶恋花
'die'xuan'du 叠玄毒
'ding'hun'fu 定魂符
'ding'jun'wu'lue 定军武略
'ding'shen 定身
'dong'fang 东方
'dong'fang'jian 东方剑
'dong'fang'shi'jia 东方世家
'dong'hai 东海
'dong'tian 洞天
'dong'xia 东侠
'dong'xie 东邪
'du'ge 毒蛤
'du'ping 毒瓶
'du'shi 毒师
'du'shi'lu 毒师炉
'du'shou 毒手
'du'wang 毒王
'du'zhang 毒掌
'duan'fu 短斧
'duan'gun 短棍
'duan'qing 断情
'duan'shui'ya 断水崖
'duan'tian'ya 断天崖
'dui'jue 对决
'dui'wu 队伍
'dun'wu 顿悟
'duo'kai 多开
'duo'po 夺魄
'duo'shu 夺书
'e'hu 恶虎
'e'mei 峨眉
'e'ren'gu 恶人谷
'er'cai 二裁
'er'he'yi 二合一
'er'huan 耳环
'er'ji'tai 二级台
'er'lian'tiao 二连跳
'er'nei 二内
'er'qiao 二巧
'er'tie 二铁
'er'zhi'chan 二指禅
'fa'du 法度
'fan'xin 梵心
'fan'xing'jian'fa 梵行剑法
'fang'hu 放虎
'fang'xia'tu'dao 放下屠刀
'fang'yu 防御
'fei'cui'wa'wa 翡翠娃娃
'fei'he'shan 飞鹤山
'fei'hong'ta'xue 飞鸿踏雪
'fei'san 飞散
'fei'tian'ce 飞天策
'fei'xian 飞弦
'fei'xian'yu'jing 飞弦羽经
'fei'yan'zou'bi 飞檐走壁
'fen'guang'zhuo'ying'ci 分光捉影刺
'fen'tian 焚天
'fen'tian'ling 焚天令
'feng'bo 风波
'feng'hua'xue'yue 风花雪月
'feng'huan'lu 风幻录
'feng'huang 凤凰
'feng'jin 封禁
'feng'lei'jiang'mo'zhang 风雷降魔杖
'feng'mo 疯魔
'feng'qi 风起
'feng'shuang 锋霜
'feng'shui 风水
'feng'shui'bao'di 风水宝地
'feng'tian'zhang 封天掌
'feng'wu'zhi 风物志
'feng'xing 风行
'feng'xing'wu'ji 风行无极
'feng'xue'dan 凤血丹
'feng'yun'ji 风云纪
'feng'yun'jiu'bian 风云九变
'feng'zhao 封招
'feng'zhen'huan'xie 锋针换血
'fo'guang 佛光
'fu'di 府邸
'fu'gu 腐骨
'fu'hua 浮花
'fu'long'jue 伏龙诀
'fu'mo 伏魔
'fu'shi 服饰
'fu'yang'qi'gong 伏养气功
'fu'yao'bu'fa 扶摇步法
'fu'yue'ci 伏月刺
'gai'bang 丐帮
'gan'chai'lie'huo'zhang 干柴烈火掌
'gan'qi 干戚
'gan'qi'mi'lu 干戚秘录
'gang'qi 罡气
'gang'shen'fu 罡神斧
'gao'ji'dian 高级点
'gao'ji'qing'gong 高级轻功
'ge'zi 鸽子
'gong'ji 功绩
'gong'ji'dian 功绩点
'gong'mu'fa'shi 攻木法式
'gong'zuo'shi 工作室
'gou'hun'qi'duo 勾魂七夺
'gou'huo 篝火
'gou'lou'shan 勾漏山
'gou'tuo 狗托
'gou'tuo'bao 狗托包
'gou'zi 钩子
'gu'mu 古墓
'gu'pu 古谱
'gu'shen'jue 蛊神诀
'gu'xi'ci 姑息刺
'gu'xi'ci 姑洗刺
'gu'yuan'jing 固元经
'gu'yue'ci 蛊月刺
'gu'zhong'wu'jian 谷中悟剑
'gua'jiao'yang 挂骄阳
'gua'niu 瓜牛
'gua'shi 卦师
'guan'shang'dao 官商道
'guan'xing'dao 观星岛
'guan'yin 官银
'guan'zhu 灌注
'guang'jiao'mo'shi 广角模式
'guang'wu'zheng'ba'dao 广武争霸刀
'guang'ying'ming'mie'ci 光影明灭刺
'gui'bu 鬼步
'gui'gu 鬼谷
'gui'gu'xuan'gong'lu 鬼谷玄功录
'gui'shi 鬼市
'gui'wang 鬼王
'gui'yi 归一
'gui'yi'qi'gong 归一气功
'gui'yuan 归元
'hai'liang 海量
'hai'yue 海月
'han'feng'yin'xue 寒锋饮血
'han'mang'jian'zhen 寒芒剑阵
'han'mei 寒梅
'han'po 寒魄
'han'quan 寒泉
'han'sha'she'ying 含沙射影
'han'xin 寒心
'han'xin'hen'xue 寒心恨雪
'han'yu'jue 寒玉诀
'hang'feng'dian 行风典
'hao'jie 豪杰
'he'biao 贺彪
'he'huan 合欢
'he'shi'bi 和氏璧
'hei'nu 黑奴
'heng'yun 横云
'hong'ba'ti 红霸体
'hong'chen 红尘
'hong'tang'bao'yu'mian 红汤爆鱼面
'hou'hua'yuan 后花园
'hou'quan 猴拳
'hou'yao 后摇
'hou'zi'tou'tao 猴子偷桃
'hu'shi 忽视
'hu'shu 护书
'hu'shua 互刷
'hu'wa 互挖
'hu'wan 护腕
'hu'xiao 虎啸
'hua'jie 化解
'hua'shan 华山
'hua'shan'kuai'jian 华山快剑
'hua'shan'ling 华山令
'hua'shan'lun'jian 华山论剑
'hua'shen 花神
'hua'shen'wu'que 花神无缺
'hua'shi 画师
'hua'yu 花雨
'hua'yu'kuai'jian 花雨快剑
'huan'hua 浣花
'huan'wo'piao'piao'quan 还我漂漂拳
'huan'xi'quan 浣洗券
'huan'yu 幻玉
'huan'yu'jian 幻欲剑
'huan'yu'shen'gong 幻玉神功
'huan'zhuang 换装
'huang'ba'ti 黄霸体
'huang'dian 黄点
'huang'jin 黄金
'huang'quan 黄泉
'huang'shou'shi 荒兽石
'hui'guo 悔过
'hui'qi'dan 汇气丹
'hui'yan'feng 回雁峰
'hui'yi 会意
'hui'yi'gong 会意功
'hui'ying'ji 绘影集
'hun'mi 昏迷
'hun'tian 混天
'hun'yuan 混元
'hun'yuan'yi'jin'dan 混元易筋丹
'huo'dong 活动
'huo'qi'lin 火麒麟
'huo'shen'bao'zhuan 惑神宝篆
'huo'yue 活跃
'huo'yue'du 活跃度
'huo'zhong 火种
'huo'zhong'sheng'lian 火中生莲
'ji'dao 击倒
'ji'fei 击飞
'ji'fen 积分
'ji'guang'dian'zhan 极光电斩
'ji'he 集合
'ji'jian 极简
'ji'le 极乐
'ji'le'gu 极乐谷
'ji'ming'yi 鸡鸣驿
'ji'nei 几内
'ji'tian 祭天
'ji'tui 击退
'ji'yue'wan 寂月湾
'jia'cheng 加成
'jia'gu'jian'zhu 加固建筑
'jia'su'qi 加速器
'jia'yuan 家园
'jia'yuan'guan'zhu 家园灌注
'jian'bu 健步
'jian'dan'qin'xin 剑胆琴心
'jian'mian 减免
'jian'shang 尖商
'jian'su 减速
'jian'yu'xin 剑与心
'jian'zhen 剑阵
'jian'zhi 剑指
'jiang'hu 江湖
'jiang'hu'zhu'li 江湖助力
'jiang'jun'xing 将军行
'jiang'nan'yan'yun 江南烟云
'jiang'nan'yan'yun'lu 江南烟云录
'jiang'shang 江上
'jiang'xue 降雪
'jiao'xie 缴械
'jiao'yang 骄阳
'jiao'zhen 叫阵
'jiao'zhen'tiao'zhan 叫阵挑战
'jie'bai 结拜
'jie'tian 接天
'jie'zhi 戒指
'jin'bu 进步
'jin'bu'chong'chui 进步冲锤
'jin'chan 金蝉
'jin'chan'tuo'qiao 金蝉脱壳
'jin'di 禁地
'jin'ding 金顶
'jin'gang'ci 金刚刺
'jin'gang'fu'mo 金刚伏魔
'jin'huai'yu 金怀玉
'jin'ling 金陵
'jin'liu'fu 金六福
'jin'lu 金鹿
'jin'qian'biao 金钱镖
'jin'qing'gong 禁轻功
'jin'she 金蛇
'jin'shen 近身
'jin'wu 金乌
'jin'wu'fu 金五福
'jin'yi 锦衣
'jin'yi'wei 锦衣卫
'jin'yuan 金元
'jing'hong 惊鸿
'jing'jue 精绝
'jing'jue'yi'zhu 精绝遗铸
'jing'mai 经脉
'jing'mai'dan 经脉丹
'jing'pai 竞拍
'jing'shuang'qi'jue 惊霜七诀
'jing'tian 净天
'jing'xue 惊雪
'jing'xue'ci 惊雪刺
'jiu'gong 九宫
'jiu'liang 酒量
'jiu'si 九思
'jiu'tian 九天
'jiu'wu'er'qi 九五二七
'jiu'yin 九阴
'jiu'yin'zhen'jing 九阴真经
'jiu'you 九幽
'jiu'you'shan 九幽山
'jiu'you'yin'feng 九幽阴风
'jiu'yu 酒雨
'jiu'yu'shen'gong 酒雨神功
'ju'qing 剧情
'ju'qing'jue'ze 剧情抉择
'ju'zhu'ling 居住令
'ju'zi'tang 橘子糖
'jue'di 绝地
'jue'ji 绝技
'jun'zi 君子
'jun'zi'tang 君子堂
'ka'hua'shan 卡华山
'kai'tai'ji 开太极
'kai'zhen 开阵
'ke'ji 科技
'keng'bi'lao'tou 坑比老头
'kong'que 孔雀
'kong'que'shi 孔雀石
'ku'sang 哭丧
'kuang'feng'yi'dao'zhan 狂风一刀斩
'kuang'gong 矿工
'kuang'long'ba'xiao 狂龙八啸
'kuang'sha'po'zhen'jian 狂杀破阵剑
'kui'xing 魁星
'kun'lun 昆仑
'kun'lun'yin 昆仑引
'kun'tian 困天
'la'biao 拉镖
'lai'ge'huo 来个火
'lan'que'wei 揽雀尾
'lan'yi'ge 岚義阁
'lao'ban 老板
'lao'shu'dong 老鼠洞
'lao'tou 老头
'lei'tai 擂台
'lei'yin 雷音
'lei'yin'shen'dian 雷音神典
'li'bie'ci 离别刺
'li'duo'hui'shao 离多会少
'li'ka 礼卡
'li'ku 离苦
'li'lian 历练
'li'pi 力劈
'lian'hua'zhang 莲花掌
'lian'meng 联盟
'lian'shan'zong 廉山宗
'lian'shua 连刷
'lian'tao 连涛
'lian'tao'die'lang 连涛叠浪
'lian'xian 连线
'liang'min 良民
'liang'yi 两仪
'liang'yi'hu'xin'gong 两仪护心功
'liao'yuan 燎原
'lie'hu 猎户
'lie'yun 裂云
'lie'yun'ba'jian 裂云八箭
'lin'feng 临风
'ling'bao'qi'xia 灵宝奇匣
'ling'chong 灵宠
'ling'kong'ta'xu 凌空踏虚
'ling'long'tou 玲珑骰
'ling'she 灵蛇
'ling'wu 灵物
'ling'xi 灵犀
'ling'xian 领先
'ling'xiao'tian'nv 凌霄天女
'ling'xiao'tian'nv'jue 凌霄天女诀
'ling'yan 灵雁
'ling'yun'xin'jing 凌云心经
'liu'he 六和
'liu'lian 六连
'liu'nei 六内
'liu'po 六破
'liu'sha 流沙
'liu'shang 六伤
'liu'yun 流云
'liu'yun'jie'yue'ji 留云借月笈
'long'gu 龙骨
'long'hu'ba'wang'quan 龙虎霸王拳
'long'men 龙门
'long'wen 龙纹
'long'you'da'hai 龙游大海
'long'zhua 龙爪
'lu'zi 炉子
'luan'shi'ba'mou 乱势八谋
'lun'jian'tie 论剑帖
'luo'han 罗汉
'luo'han'quan 罗汉拳
'luo'shen 洛神
'luo'yan 落雁
'luo'ying 落英
'luo'ying'gu 落英谷
'lv'dian 绿点
'ma'bian 马鞭
'ma'feng 麻风
'ma'jia 马甲
'ma'zei 马戝
'man'tian 漫天
'man'tou 馒头
'mao'mao'quan 猫猫拳
'mei'lai'yan'qu'jian 眉来眼去剑
'mei'qi'ci 煤气刺
'mei'qi'ci 魅泣刺
'mei'ying 梅影
'mei'ying 魅影
'men'jin 门禁
'men'pai 门派
'men'pai'za'wu 门派杂务
'men'pai'zhuang 门派装
'meng'hu 猛虎
'meng'wei'bi'pu 梦微笔谱
'mi'bao 秘宝
'mi'hun'biao 迷魂镖
'mi'zong 密宗
'mi'zong'yi'yun 密宗疑云
'mian'ju 面具
'mian'mu'quan'fei'jiao 面目全非脚
'mie'xiang 灭相
'ming'jiao 明教
'ming'jun 名俊
'ming'jun'ka 名俊卡
'ming'li'ren 冥戾刃
'ming'si'chui'diao 冥思垂钓
'ming'wang'bao'ce 明王宝策
'ming'wang'dao 明王刀
'ming'yue 冥岳
'ming'zhong 命中
'mo'ke'xin'jing 摩柯心经
'mo'men'ling 魔门令
'mo'qi 魔气
'mo'wu'chun'qiu 墨舞春秋
'mo'xi 漠西
'mo'xiang 魔相
'mo'xin 魔心
'mo'zi 墨子
'mou'duo'shen'shui 谋夺神水
'mu'rong 慕容
'mu'rong'shi'jia 慕容世家
'mu'se 暮色
'mu'yin'gang 目隐港
'mu'yun 沐云
'mu'yun'zhuang 沐云庄
'nan'di 南帝
'nan'gong 南宫
'nan'gong'shi'jia 南宫世家
'nan'ren'sha 男人煞
'nan'zhi 南智
'nei'dan'shu 内丹术
'nei'fang 内防
'nei'gong 内功
'nei'li 内力
'nei'xi 内息
'nei'xiu 内修
'ni'chang'dong 霓裳动
'ni'chang'lai'xi 霓裳来袭
'ni'jing'xun'lian 逆境训练
'ni'tian 逆天
'nian'hua'gong 捻花功
'nian'luo 念萝
'nian'luo'ba 念萝坝
'niang'niang'dong 娘娘动
'niao'wei 鸟尾
'ning'shen'yu'lu'fang 凝神玉露方
'niu'rou'cang'mian 牛肉藏面
'nong'fu 农夫
'nv'hua'shen 女花神
'pai'hang'bang 排行榜
'pai'mai 拍卖
'pai'ying 拍影
'pai'zi 牌子
'pai'zi'xin'mo 牌子心魔
'pan'jun 叛军
'pan'yin 磐隐
'pao'ju'qing 跑剧情
'pei'fang 配方
'pei'feng 陪风
'pen'jiu 喷酒
'pen'zi 喷子
'pi'gua 披挂
'pi'gua'dao'fa 披挂刀法
'pi'zhu 批注
'pi'zhu'shu 批注书
'pin'shou'su 拼手速
'po'fang 破防
'po'shi'shen'gong 破世神功
'po'tian 泼天
'pu'ding 璞锭
'pu'duan 璞缎
'pu'sha 璞砂
'pu'ti'zi 菩提子
'qi'ao 淇奥
'qi'deng 起灯
'qi'gai 乞丐
'qi'jue'jing 七绝经
'qi'lin 麒麟
'qi'pan 棋盘
'qi'sha 七杀
'qi'shi 棋士
'qi'tao 乞讨
'qi'tian'zhen'gang 齐天真罡
'qi'xian'feng 栖仙峰
'qi'xing 七星
'qi'xue 气血
'qi'yu 奇遇
'qi'zhen 奇珍
'qi'zhuang 气桩
'qi'zhuang'gong 气桩功
'qian'deng 千灯
'qian'deng'zhen 千灯镇
'qian'du'wan'shi'shou 千毒万嗜手
'qian'kun'yi'zhi 乾坤一掷
'qian'li'zhui'hun 千里追魂
'qian'yao 前摇
'qian'zhuang 钱庄
'qiang'ba'ti 强霸体
'qiao'fu 樵夫
'qiao'jiang 巧匠
'qiao'jiang'tai 巧匠台
'qie'cuo 切磋
'qin'na'shou 擒拿手
'qin'shi 琴师
'qin'wang 秦王
'qin'wang'fu 秦王府
'qin'xiu 勤修
'qing'bao 情报
'qing'bao'shou'ji 情报收集
'qing'bi'he'tian'jue 青壁何天诀
'qing'cheng'ci 倾城刺
'qing'dian'liang'cao 清点粮草
'qing'feng'gu 清风谷
'qing'feng'jian 清风剑
'qing'gong 轻功
'qing'guo'qing'cheng'zhang 清国清城掌
'qing'jun'jian'yi 清筠剑意
'qing'shen 轻身
'qing'tan 清谈
'qing'xuan'du 清玄毒
'qing'yi 青衣
'qing'yun 青云
'qing'yun'zhang 青云掌
'qiong'tu'zhi'ku 穷途之哭
'qiu'bai 求败
'qiu'lao 秋老
'qiu'zu 求组
'quan'ping 全屏
'quan'ren 拳刃
'qun'feng 群峰
'qun'feng'wen'wu 群峰问武
'qun'gong 群攻
'qun'yao 群妖
'ren'fa'yin'dun'shu 忍法隐遁术
'ren'tie'jing'sha'pu 韧铁精砂谱
'ren'wu 任务
'ri'chang 日常
'ri'yue'dao 日月刀
'ri'yue'lian'huan'qiang 日月连环枪
'rong'he'san 融合散
'ru'dian'da'jian 入店打尖
'ru'meng 如梦
'ru'shi'xiu'shen 入世修身
'ru'zhan'jue 入战诀
'sa'feng'shan'jue 飒风扇诀
'sai'ji 赛季
'sai'wai 塞外
'sai'wai'da'mo 塞外大漠
'san'cai 三才
'san'fan'xin 三梵心
'san'he'yi 三合一
'san'huan 三环
'san'huan'tao'yue 三环套月
'san'kai 三开
'san'lian'tiao 三连跳
'san'meng 三盟
'san'nei 三内
'san'qing'zhen'qi 三清真气
'san'shen'zhen 三神针
'san'yang 三阳
'san'yang'xuan'zhen 三阳玄针
'san'zhao 散招
'sen'luo 森罗
'sha'hai 沙海
'sha'hai'hu'hang 沙海护航
'sha'lu 杀戮
'shan'bi 闪避
'shan'feng'duan'ti 山风锻体
'shan'zi 扇子
'shang'cheng 商城
'shang'qing 上清
'shang'shan'ruo'shui 上善若水
'shao'lin 少林
'she'gun 蛇棍
'she'shen 摄神
'shen'fa 身法
'shen'fen 身份
'shen'feng 神风
'shen'feng'jue 神风诀
'shen'gui 神鬼
'shen'gui'mo'di 神鬼莫敌
'shen'ji 神机
'shen'ji'ling 神机令
'shen'ji'ying 神机营
'shen'jia 沈家
'shen'jian 神箭
'shen'jian'jiu'ce 神箭九策
'shen'long'bei'wu'jian 神龙北武剑
'shen'shui 神水
'shen'shui'ling 神水令
'shen'xing 神行
'shen'xing'bai'bian 神行百变
'shen'xing'wu'zong 神行无踪
'shen'zhen 神针
'shen'zhen'pi'zhu 神针批注
'shen'zhen'zhui'ming 神针追命
'sheng'huo 生活
'sheng'mei 圣梅
'sheng'wang 声望
'sheng'wu'ling 圣武令
'shi'ba'zhang 十巴掌
'shi'dao'da'hui 试刀大会
'shi'er 十二
'shi'er'lian'huan 十二连环
'shi'gu'du'gao'pian 蚀骨毒膏篇
'shi'jia'ling 世家令
'shi'jia'zhou'chang 世家周常
'shi'li 势力
'shi'san'jian 十三剑
'shi'shen 弑神
'shi'shui'jue 逝水诀
'shi'tu 师徒
'shi'ye 视野
'shi'ye'fan'wei 视野范围
'shi'yue 噬月
'shi'yue'shen'jian 噬月神鉴
'shi'zi'zhui'hun'gun 十字追魂棍
'shou'ji 受击
'shou'ji'ying'zhi 受击硬直
'shou'jun 守军
'shou'ren 收人
'shou'shi 首饰
'shou'tu 收徒
'shou'ye 授业
'shou'zhao 收招
'shu'sheng 书生
'shuang'ci 双刺
'shuang'dao 双刀
'shuang'fu 双斧
'shuang'jiao 双娇
'shuang'kai 双开
'shuang'long 双龙
'shuang'mai 双脉
'shuang'shua 双刷
'shuang'xiu'jue 双修决
'shui'lao 水牢
'shui'lu'yun'biao 水路运镖
'shui'shang'piao 水上漂
'si'da'shi'jia 四大世家
'si'hai'gui'dao'jue 四海归刀诀
'si'he'yi 四合一
'si'nei 四内
'si'xiang 四象
'si'xiao'qiang 四小强
'song'shan 嵩山
'su'shua 速刷
'su'you'ling 素幽令
'su'yun 素云
'su'zhou 苏州
'suan'gua 算卦
'sui'bing 碎冰
'sui'yin 碎银
'ta'bo 踏波
'tai'gong'diao 太公钓
'tai'ji 太极
'tai'ji'jian 太极剑
'tai'ji'jian'wu 太极剑舞
'tai'ji'quan 太极拳
'tai'ji'shen'gong 太极神功
'tai'shan 泰山
'tai'shan'feng'wu 泰山封武
'tai'su'mai'fa 太素脉法
'tai'xuan 太玄
'tai'yin 太阴
'tai'yin'xuan'jian 太阴玄鉴
'tai'zi 台子
'tai'zu 太祖
'tan'tan'le 弹弹乐
'tan'zhi 弹指
'tan'zhi'shu'sheng 弹指倏生
'tang'lang 螳螂
'tang'men 唐门
'tang'meng 唐萌
'tang'zhu 堂主
'tao'hua 桃花
'tao'hua'qi'yu 桃花奇遇
'tao'hua'xiao 桃花萧
'tao'zhi'yao'yao 逃之夭夭
'ti'guan 踢馆
'ti'li 体力
'ti'po 体魄
'ti'xing 体型
'tian'bao 天宝
'tian'di'bu'ren 天地不仁
'tian'di'sou'hun'suo 天地搜魂锁
'tian'ji'tie'kou 天极铁扣
'tian'ji'zhu 天机珠
'tian'jiang 天将
'tian'jiang'shen'shu 天将神书
'tian'jue'di'mie'ci 天绝地灭刺
'tian'lei'zhen'di 天雷震地
'tian'long'jin 天龙劲
'tian'lun 天轮
'tian'luo 天罗
'tian'ma 天马
'tian'ma'xing'kong 天马行空
'tian'mo'jiang'shi 天魔降世
'tian'mo'wu 天魔舞
'tian'mo'zhui'hun'dao 天魔追魂刀
'tian'nv'san'hua 天女散花
'tian'ran 天然
'tian'shan 天山
'tian'shan'jian'fa 天山剑法
'tian'shan'pai 天山派
'tian'shi 天试
'tian'ti 天梯
'tian'wai'tian 天外天
'tian'xiang 天香
'tian'xin 天心
'tian'ya 天涯
'tian'yang 天阳
'tian'yi'gu 天弈谷
'tian'ying'po'zhen'dao 天英破阵刀
'tian'you 天游
'tian'you'ci 天游刺
'tian'you'jue 天游诀
'tian'yue 天岳
'tian'zhen'ke'dao'ji 天珍刻刀记
'tian'zhi'pu 天志谱
'tiao'wu 跳舞
'tiao'zhan 跳斩
'tiao'zhan'gao'ren 挑战高人
'tiao'zhan'lao'tou 挑战老头
'tie'jia'ren 铁甲人
'tie'jiang 铁匠
'tie'jiang'tai 铁匠台
'tie'tou 铁头
'tie'tou'wa 铁头娃
'tong'hui 通慧
'tong'tian 通天
'tong'tian'bu'fa 通天步法
'tou'dian 投点
'tou'tie 头铁
'tu'tun'sui 吐呑随
'tuan'dui 团队
'tuan'guan 团灌
'tuan'lian 团练
'tui'bang'bu'sha 退帮不杀
'tun'jing 吞鲸
'tun'xiang 吞象
'tun'xiang'dian 吞象典
'tun'yu 吞鱼
'wa'bao 挖宝
'wa'wa 娃娃
'wai'fang 外防
'wai'jiao 外交
'wai'yu 外域
'wan'fo 万佛
'wan'xiang'qian'yuan'ren 万象千元刃
'wan'ying 万影
'wan'ying'dian 万影点
'wan'zhong 万众
'wang'chuan 忘川
'wang'hui 望辉
'wang'hui'zhou 望辉洲
'wang'qing 忘情
'wang'su 网速
'wang'su'jian 网速剑
'wei'li 威力
'wei'ling'tui 威灵腿
'wei'tuo 韦陀
'wen'shen 瘟神
'wo'de'jiang'hu 我的江湖
'wo'de'sheng'huo 我的生活
'wo'de'zhan'dou 我的战斗
'wu'cai'qi'shi 五彩奇石
'wu'dang 武当
'wu'dao 武道
'wu'dao'da'hui 武道大会
'wu'dao'qu 无刀取
'wu'du'ling 五毒令
'wu'fu'jing 五符经
'wu'gen 无根
'wu'gong'ling 蜈蚣岭
'wu'guan 武馆
'wu'gui 舞鬼
'wu'he'yi 五合一
'wu'ji 武技
'wu'ji'xian'cha 无极仙茶
'wu'lang 五郎
'wu'lin'zheng'feng 武林争锋
'wu'ling'pu 五灵谱
'wu'lun'tu'zhu 武论图注
'wu'mo'chi 乌墨尺
'wu'nei 五内
'wu'nian'wu'xiang 无念无想
'wu'po 五破
'wu'qi 武器
'wu'qi'bao 无气堡
'wu'qing'li'ka 武庆礼卡
'wu'que 无缺
'wu'shang 五伤
'wu'sheng 武圣
'wu'shuang'die'ying 无双谍影
'wu'wang 无妄
'wu'wei 五纬
'wu'wei 无为
'wu'wo 无我
'wu'xia'shan 无瑕山
'wu'xian 五仙
'wu'xiang'cha'ye'dan 五香茶叶蛋
'wu'xing 五行
'wu'xue 武学
'wu'ya 无涯
'xi'du 西毒
'xi'lian'quan 洗炼券
'xi'mo 西魔
'xi'sui'jing 洗髓经
'xi'yang'ji'jian 西洋击剑
'xi'yue 溪月
'xia'e'dao 侠恶道
'xiang'lian 项链
'xiang'long 降龙
'xiang'long'xin'fa 降龙心法
'xiang'yang'po 向阳坡
'xiao'bie'qing 萧别情
'xiao'chang'yan'xi 校场演习
'xiao'han 霄汉
'xiao'han'xuan'gong 霄汉玄功
'xiao'shi'di 小师弟
'xiao'shi'mei 小师妹
'xiao'shu'lin 小树林
'xiao'tian'xing 小天星
'xiao'xiang'shui'yun'pu 潇湘水云谱
'xiao'yao 逍遥
'xiao'yao'you 逍遥游
'xie'dao'sha'jin 邪刀煞劲
'xie'mo'wu'ding 邪魔无定
'xin'de 心得
'xin'fo 心佛
'xin'ge 信鸽
'xin'jian'ji 心锏笈
'xin'lian 心莲
'xin'lian'wu'liang'gong 心莲无量功
'xin'mo 心魔
'xin'mo'bao'wu 心魔宝物
'xin'yan'chan'dian 心砚禅典
'xing'fa'lian'xi 刑罚练习
'xing'jiao'ling 行脚令
'xing'miao 星渺
'xing'miao'ge 星渺阁
