'a'gong'ma'de'chuan'shuo 阿弓玛的传说
'huang'gu'tun'de'chuan'shuo 皇姑屯的传说
'huang'guo'shu'pu'bu'de'chuan'shuo 黄果树瀑布的传说
'huang'jing 黄精
'huang'mu'ci'he'huang'dao'po'mu 黄母祠和黄道婆墓
'huang'pu'jiang'shang'wang'niang'tan 黄浦江上望娘滩
'huang'tu'gang'shi'zen'me'cheng'wei'hua'xiang'de 黄土岗是怎么成为花乡的
'huang'xi'cha 黄溪茶
'huang'xie'huang'pu'jiang'he'chun'shen'jiang 黄歇黄浦江和春申江
'hui'chang'ge'de'ga'ba'lang'he 会唱歌的嘎巴朗河
'huo'ba'jie 火把节
'huo'ba'jie'de'chuan'shuo 火把节的传说
'huo'ba'jie'de'you'lai 火把节的由来
'huo'shao'song'ming'lou 火烧松明楼
'huo'shen'jie 火神节
'ji'hu'zhai'shen 祭护寨神
'ji'jiang'gou 机匠沟
'ji'ling'can'de'chuan'shuo 鸡陵参的传说
'ji'long'yu 鸡笼屿
'ji'nan'de'chuan'shuo 济南的传说
'ji'shan'shen'de'you'lai 祭山神的由来
'ji'shan'si'he'xue'ba'gang 积善寺和薛八缸
'jia 稼
'jia'dao'de'chuan'shuo 贾岛的传说
'jia'he'qiao 架壑桥
'jia'ling'chuan'qi 加岭传奇
'jia'xiang'rou'mei 家乡肉美
'jian'du'mu'de'chuan'shuo 箭独木的传说
'jian'kang'bao'hu'shen'de'chuan'shuo 健康保护神的传说
'jiang'jun'pao'zi 将军泡子
'jiang'zi'lin'de'chuan'shuo 姜梓林的传说
'jiao'zhou'wan'de'chuan'shuo 胶州湾的传说
'jie'ba'shi 疥疤石
'jie'hun'shuan'xian'de'lai'li 结婚拴线的来历
'jie'jin'de'chuan'shuo 解缙的传说
'jie'mei'shan 姐妹山
'jie'mei'wen'quan'de'chuan'shuo 姐妹温泉的传说
'jie'sun'feng 接笋峰
'jin'di'cang'jian'si 金地藏建寺
'jin'feng'huang 金凤凰
'jin'gua'shi 金瓜石
'jin'guang'dong 金光洞
'jin'gui'chao'bei'dou 金龟朝北斗
'jin'he'shang'shou'tu 金和尚收徒
'jin'ji'he'long'ma 金鸡和龙马
'jin'ji'ling 金鸡岭
'jin'ji'shan 金鸡山
'jin'li'tou 金犁头
'jin'long'chu'da'dong 金龙出大洞
'jin'niu'shan'de'chuan'shuo 金牛山的传说
'jin'niu'shi 金牛石
'jin'qian'shu 金钱树
'jin'se'de'mang'luo 金色的铓锣
'jin'sha'jiang'he'yu'long'shan 金沙江和玉龙山
'jin'sha'quan 金沙泉
'jin'wang'de'chuan'shuo 金王的传说
'jin'ya'zi 金鸭子
'jin'yao'shi 金钥匙
'jin'yin'hua 金银花
'jin'zhong'lou'de'chuan'shuo 禁钟楼的传说
'jing'bo'hu'de'chuan'shuo 镜泊湖的传说
'jing'dao'de'chuan'shuo 京岛的传说
'jing'hong'li'ming'zhi'cheng 景洪黎明之城
'jing'ping'shan 净瓶山
'jiu'cai'suan'cong'de'chuan'shuo 韭菜蒜葱的传说
'jiu'hua'shan'de'ming'de'you'lai 九华山得名的由来
'jiu'jiang'de'chuan'shuo 九江的传说
'jiu'long'bi'de'chuan'shuo 九龙壁的传说
'jiu'long'wang 九隆王
'jiu'ma'hua'shan 九马画山
'jiu'men'chuan'qi 九门传奇
'jiu'tai'yang 救太阳
'jiu'tan'feng 酒坛峰
'jiu'xian'li 九仙李
'jiu'yue'liang 救月亮
'jiu'zi'zhan'yao 九子战妖
'jun'li 隽李
'kai'tian'pi'di'de'chuan'shuo 开天辟地的传说
'kai'yuan'si'yu'hai'chao'an 开元寺与海潮庵
'ke'er'ke'zi'ba'yi 柯尔克孜巴依
'ken'wang'shan 垦王山
'kou'xian'de'gu'shi 口弦的故事
'kun'lun'shi 昆仑石
'la'hu'ren'de'da'yin 拉祜人的大印
'la'shi'hai 拉什海
'la'tai 蜡台
'lan'dian'de'lai'li 蓝靛的来历
'lan'hou'shi'zen'yang'lai'de 懒猴是怎样来的
'lang'gu'niang 狼姑娘
'lao'gua'yan 老鸹岩
'lao'han'wang'wei'he'zang'dong'ling 老罕王为何葬东陵
'lao'long'kou'de'chuan'shuo 老龙口的传说
'lao'mu'zhu'wo 老母猪窝
'lao'shan'de'chuan'shuo 崂山的传说
'lao'ying'pa'bi 老鹰趴壁
'lei'gong'gen 雷公根
'li'bai'de'chuan'shuo 李白的传说
'li'de'yu'de'chuan'shuo 李德裕的传说
'li'hou'zhu'de'chuan'shuo 李后主的传说
'li'lian'gui'xun'rou'da'bing'de'lai'li 李连贵熏肉大饼的来历
'li'mu'shan'chuan'shuo 黎母山传说
'li'qing'zhao'de'chuan'shuo 李清照的传说
'li'shi'zhen'de'chuan'shuo 李时珍的传说
'li'xian'de'meng'jiang'nv'chuan'shuo 澧县的孟姜女传说
'li'yu'hu'tong'de'lai'li 鲤鱼胡同的来历
'li'yuan'fa'de'chuan'shuo 李元发的传说
'lian'hua'chi'de'chuan'shuo 莲花池的传说
'liang'hong'yu'de'chuan'shuo 梁红玉的传说
'liang'li'guang'shan'shan'de'yuan'dan 两粒光闪闪的圆蛋
'liang'ma'qiao 亮马桥
'lie'shen 猎神
'lin'he'jiu'de'chuan'shuo 林河酒的传说
'ling'jing'hu'tong 灵境胡同
'ling'shui'xian'ming'de'you'lai 陵水县名的由来
'liu'bo'wen'de'chuan'shuo 刘伯温的传说
'liu'bo'wen'jian'bei'jing'cheng 刘伯温建北京城
'liu'jin'fang'de'chuan'shuo 刘金芳的传说
'liu'pin'ye'gou 六品叶沟
'liu'shao'fang'de'chuan'shuo 刘绍方的传说
'liu'shou'zhen'de'chuan'shuo 刘守真的传说
'liu'yu'xi'de'chuan'shuo 刘禹锡的传说
'liu'yuan'qi'shi 留园奇石
'liu'zong'yuan'de'chuan'shuo 柳宗元的传说
'long'bi'shui 龙鼻水
'long'can 龙蚕
'long'chi'ji'yu'de'chuan'shuo 龙池鲫鱼的传说
'long'chi'shan 龙池山
'long'feng'gou 龙凤沟
'long'jiao'shan'he'hu'tou'ling 龙角山和虎头岭
'long'jing'cha'yu'hu'pao'quan 龙井茶与虎跑泉
'long'men'de'chuan'shuo 龙门的传说
'long'men'shi'ku'de'chuan'shuo 龙门石窟的传说
'long'nv'shu 龙女树
'long'qi'he'ba'qi 龙旗和八旗
'long'xian'tang 龙陷塘
'long'zhu'jing 龙珠井
'lu'da'yong'de'chuan'shuo 陆大用的传说
'lu'di'yan 芦笛岩
'lu'gou'xiao'yue 芦沟晓月
'lu'gu'hu'de'chuan'shuo 泸沽湖的传说
'lu'jia'zui'de'chuan'shuo 陆家嘴的传说
'lu'mei'zao'san 鲁妹造伞
'lu'she'na'da'fo'xiang'de'chuan'shuo 卢舍那大佛像的传说
'lu'sheng'de'chuan'shuo 芦笙的传说
'lu'sheng'de'gu'shi 芦笙的故事
'luo'bi'dong 落笔洞
'luo'fu'shan'feng'wu'chuan'shuo 罗浮山风物传说
'luo'long'ge'bu'qu'niao 洛龙歌布曲鸟
'luo'shen'de'chuan'shuo 洛神的传说
'luo'shen'gong'gong'he'luo'shen'nai'nai 罗神公公和罗神奶奶
'luo'yang'mu'dan'de'chuan'shuo 洛阳牡丹的传说
'luo'yi'wan'yu'ba'he'xi 罗一塆与八河溪
'luo'yin'tan 落印潭
'lv'dong'bin'yu'shao'xing'xiang'gao 吕洞宾与绍兴香糕
'ma'an'shan'xia'san'zhi'yang 马鞍山下三只羊
'ma'fen'de'chuan'shuo 马坟的传说
'ma'fu'bo'yu'bai'ma'jing 马伏波与白马井
'ma'guan'qiao'de'gu'shi 马倌桥的故事
'ma'le'fang'tian'bian 妈勒访天边
'ma'lu'ka'ka'ga'duo 玛璐咖咖嘎朵
'ma'niang'niang'de'chuan'shuo 马娘娘的传说
'ma'tou'qin 马头琴
'ma'tou'yan 马头岩
'ma'zu'miao'de'chuan'shuo 马祖庙的传说
'mai'ma'bu'mai'long'tou'de'you'lai 卖马不卖笼头的由来
'mao'bi'e'luan'yu'peng'hu'lie'dao 猫鼻鹅銮与澎湖列岛
'mao'jie'de'lai'li 卯节的来历
'mao'ta'jin'niu 泖塔金牛
'mei'hua'lu 梅花鹿
'mei'liang'yu'mei'long'qiao 梅梁与梅龙桥
'mei'ren'shi 美人石
'mei'sheng'yu'de'chuan'shuo 梅圣俞的传说
'men'kan'shao 门坎哨
'meng'jiang'nv'de'chuan'shuo 孟姜女的传说
'meng'ju'hong'te 蒙居红特
'meng'long'qiao 朦胧桥
'meng'zheng'zhuo'hou'zi 孟征捉猴子
'mi'bo'shan'de'chuan'shuo 米钵山的传说
'mi'fu'de'chuan'shuo 米芾的传说
'ming'mo'li'zi'cheng'qi'yi'de'chuan'shuo 明末李自成起义的传说
'ming'mo'zhang'xian'zhong'qi'yi'de'chuan'shuo 明末张献忠起义的传说
'mo'cuo'cuo'de'you'lai 莫搓搓的由来
'mo'gan'shan 莫干山
'mo'pi 摩批
'mu'cheng'chuan'qi'tan'jia'yao'de'chuan'shuo 木城传奇覃佳耀的传说
'mu'gui'ying'de'chuan'shuo 穆桂英的传说
'mu'lan'de'chuan'shuo 木兰的传说
'mu'que'wu 木雀舞
'na'bu'lou'si 纳布娄斯
'na'jia'guan'de'bai'rou'xue'chang 那家馆的白肉血肠
'na'xi'duo'er 纳西朵儿
'nai'guang'hu'de'chuan'shuo 奶光湖的传说
'nan'ban'nv'zhuang'ji'hu'zhai'shen'de'lai'li 男扮女装祭护寨神的来历
'nan'guo'li 南果梨
'nan'song'yang'me'qi'yi'de'chuan'shuo 南宋杨么起义的传说
'nan'tian'hu'de'chuan'shuo 南天湖的传说
'ni'su'shi'wu'pan'qiang'de'chuan'shuo 泥塑师吴潘强的传说
'nian'hao'zi 黏耗子
'nian'jun'qi'yi'de'chuan'shuo 捻军起义的传说
'niao'diao'shan 鸟吊山
'niu'gou'ji'he'liang'shi 牛狗鸡和粮食
'niu'shi'wu 牛屎乌
'niu'wei'shen'me'mei'you'shang'men'ya 牛为什么没有上门牙
'niu'wei'zhai 牛尾寨
'niu'zhuang'cheng 牛庄城
'nong'zhi'gao'de'chuan'shuo 侬智高的传说
'nu'er'ha'chi'de'chuan'shuo 努尔哈赤的传说
'nu'you'de'chuan'shuo 怒尤的传说
'nv'er'jiao 女儿礁
'nv'er'zhai'chuan'shuo 女儿寨传说
'nv'shen'gong'tang'la'mu'de'chuan'shuo 女神贡堂拉姆的传说
'nv'xu'de'chuan'shuo 女须的传说
'nv'zhen'zu'yuan'chuan'shuo 女真族源传说
'ou'jiang'he'jiang'xin'yu 瓯江和江心屿
'ou'yang'xiu'de'chuan'shuo 欧阳修的传说
'ou'ye'zi'zhu'jian 欧冶子铸剑
'pan'gu'de'chuan'shuo 盘古的传说
'pan'wang'de'chuan'shuo 盘王的传说
'peng'gong'jue'zhu'de'chuan'shuo 彭公爵主的传说
'peng'hu'yu'bai'sha 彭胡与白沙
'pi'pa'feng 琵琶峰
'pi'pa'gui'de'lai'li 琵琶鬼的来历
'ping'feng'shan'shang'jin'ji'ti 屏风山上金鸡啼
'po'bi'er'fei 破壁而飞
'po'jian 坡囝
'po'shui'jie 泼水节
'po'xue'quan 泼雪泉
'pu'she'shu 普舍树
'pu'sheng'ao 菩圣坳
'qi'bu'tan 七布潭
'qi'nv'feng 七女峰
'qi'shi'shu 骑石树
'qi'xing'cao 七星草
'qi'xing'pi'jian'de'lai'li 七星披肩的来历
'qi'xing'yan'de'chuan'shuo 七星岩的传说
'qi'zhi'ling'de'chuan'shuo 七指岭的传说
'qian'duo'lian'hua'shan 千朵莲花山
'qian'jia'dong'de'chuan'shuo 千家峒的传说
'qian'long'he'liu'yong'de'chuan'shuo 乾隆和刘墉的传说
'qian'qian'de'mu'nai'he 浅浅的沐乃河
'qian'qing'jiang 钱清江
'qian'shan'de'lai'li 千山的来历
'qian'shan'wen'quan 千山温泉
'qiao'ban'gua'de'gu'shi 乔半寡的故事
'qin'gong'zhu'de'chuan'shuo 秦公主的传说
'qin'mo'chen'sheng'wu'guang'qi'yi'de'chuan'shuo 秦末陈胜吴广起义的传说
'qin'tan'wan'zou 琴潭晚奏
'qing'ge'le'tai'zi'de'chuan'shuo 青格勒太子的传说
'qing'hai'hu'de'chuan'shuo 青海湖的传说
'qing'ke'zhong'zi'de'you'lai 青稞种子的由来
'qing'shan'gua'xue'mao'bi'zhuang 青山挂雪毛笔庄
'qing'shui'he 清水河
'qing'shui'jiang'yu'hong'shui'he 清水江与红水河
'qing'tian'de'ao'er'ke'he 清甜的奥尔科河
'qing'yun'jing'ye'xiao'peng'lai 青云敬业小蓬莱
'qiong'kuai'huo'jiang'ying'fang'de'chuan'shuo 穷快活姜应芳的传说
'qiu'jin'de'chuan'shuo 秋瑾的传说
'qu'yuan'de'chuan'shuo 屈原的传说
'ren'de'lai'li 人的来历
'ren'de'shou'zhi'wei'shen'me'chang'duan'bu'qi 人的手指为什么长短不齐
'ren'gui'fen'jia 人鬼分家
'ren'lei'qian'xi'ji 人类迁徙记
'ren'ya'de'chuan'shuo 人崖的传说
'ri'yue'feng 日月峰
'ruo'mao'feng 箬帽峰
'ruo'ye'xi'shang'zheng'gong'feng 若耶溪上郑公风
'sa'bu'su'fei'chu'e'su'de'chuan'shuo 萨布素废除恶俗的传说
'sa'bu'su'xun'niu'de'chuan'shuo 萨布素驯牛的传说
'sa'er'a'ma'ke 萨尔阿玛珂
'sa'ji'er'di'han'de'chuan'shuo'liang'ze 萨吉尔迪汗的传说两则
'sa'man'shen'gu'de'lai'li 萨满神鼓的来历
'san'bai'ma'de'xue'fei 三百马的学费
'san'cha'he 三岔河
'san'dao'chuan'shuo 三岛传说
'san'fu'shi 三斧石
'san'jiu'de'chuan'shuo 三九的传说
'san'la'zi'feng 三砬子峰
'san'nv'zhao'tai'yang 三女找太阳
'san'pai'lou'lu 三牌楼路
'san'qi'de'chuan'shuo 三七的传说
'san'qing'niao 三青鸟
'san'tai'zi'he'long'quan'si 三太子和龙泉寺
'san'wei'fo'guang 三危佛光
'san'wei'shan'de'chuan'shuo 三危山的传说
'san'xia'de'chuan'shuo 三峡的传说
'san'yue'gua'qing'de'lai'you 三月挂青的来由
'san'yue'jie'de'chuan'shuo 三月街的传说
'san'yue'san'de'chuan'shuo 三月三的传说
'san'zi'mei 三姊妹
'shan'lan'dao'zhong 山兰稻种
'shan'shen'bai'na'cha'de'chuan'shuo 山神百纳查的传说
'shan'ying'gu'niang 山鹰姑娘
'shang'hai'xiao'dao'hui'qi'yi'de'chuan'shuo 上海小刀会起义的传说
'shang'ma'shi 上马石
'shang'zhang'tun 上丈屯
'shao'niang'yan'de'chuan'shuo 娋娘岩的传说
'she'mo'de'chuan'shuo 射摩的传说
'she'shi'cai'shen'de'you'lai 蛇是财神的由来
'she'shi'po'po 佘氏婆婆
'she'wo'ke'de'chuan'shuo 舍卧克的传说
'shen'bang'he'chong'ming 神蚌和崇明
'shen'nong'de'chuan'shuo 神农的传说
'shen'nv'zhu'jian'jiu'huan'qiao 神女助建九环桥
'shen'quan'qi'de'chuan'shuo 沈佺期的传说
'shen'tou'san'da'wang'de'chuan'shuo 神头三大王的传说
'shen'zhou'de'chuan'shuo 沈周的传说
'shi'chong'he'ta'de'jin'gu'yuan 石崇和他的金谷园
'shi'ding'zhen'qu'tian'he'shui 石顶真取天河水
'shi'he'shang 石和尚
'shi'la'he'da'feng'ya 石蜡和大风垭
'shi'lin'de'chuan'shuo 石林的传说
'shi'ma'dong 石马洞
'shi'mo'de'chuan'shuo 石磨的传说
'shi'ren'de'chuan'shuo 石人的传说
'shi'zi'hui'tou'wang'hu'qiu 狮子回头望虎丘
'shi'zu'lai'yuan'de'chuan'shuo 氏族来源的传说
'shou'gu'de'chuan'shuo 手鼓的传说
'shou'ling'de'gu'shi 瘦岭的故事
'shou'tong'ling'de'chuan'shuo 兽铜铃的传说
'shou'yang'shan 首阳山
'shu'gu'quan 舒姑泉
'shuai'kang'bao'de'lai'li 甩糠包的来历
'shuang'jing'chi 双镜池
'shuang'nv'shi 双女石
'shuang'shi'qiang'qiu 双狮抢球
'shui'jian 水笕
'shui'niu'li'tian'de'chuan'shuo 水牛犁田的传说
'shui'shan'de'chuan'shuo 水杉的传说
'shui'shi'shan'lin'de'zhu'ren 谁是山林的主人
