'a'ba'ye'ka'luo'ji'duo 阿巴耶卡罗笈多
'an'hui'dong'hua'shan'pu'hui'chan'si 安徽东华山普慧禅寺
'an'hui'huai'nan'bai'ta'si 安徽淮南白塔寺
'an'hui'huai'nan'hong'fa'ci'shan'gong'de'hui 安徽淮南弘法慈善功德会
'an'hui'huai'nan'shang'yao'gu'guan'yin'si 安徽淮南上窑古观音寺
'an'hui'huai'ning'fu'hui'si 安徽怀宁福慧寺
'an'hui'sheng'an'qing'shi'ling'shan'si 安徽省安庆市灵山寺
'an'hui'sheng'fu'yang'shi'dong'yu'chan'si 安徽省阜阳市東狱禅寺
'an'hui'sheng'fu'yang'shi'ying'zhou'xi'hu'tie'fo'si 安徽省阜阳市颍州西湖铁佛寺
'an'hui'sheng'huai'nan'shi'hong'fa'tang 安徽省淮南市弘法堂
'an'hui'sheng'nan'ling'xian'qian'fo'chan'si 安徽省南陵县千佛禅寺
'an'ju 安居
'an'ke'die'dou'pei'long 安克迭都培龙
'an'le'hang'yuan 安乐行院
'an'le'ji 安乐集
'an'le'shou'yuan 安乐寿院
'an'le'si 安乐寺
'an'li 安立
'an'lin 安廪
'an'liu'chuan'shou'ji'yao 安流传授纪要
'an'ma'si 鞍马寺
'an'mei'luo'yuan 菴没罗园
'an'ni'bo'sen'fu'ren 安尼伯森夫人
'an'ran 安然
'an'shi'gao 安世高
'an'teng'jun'xiong 安藤俊雄
'an'tu'zong'lun 安土宗论
'an'tuo'hui 安陀会
'an'xi'guo 安息国
'an'xi'xiang 安息香
'an'xiang'de'xin 安详的心
'an'xiang'si 安祥寺
'an'xin 安心
'an'xin'jue'ding'chao 安心决定钞
'an'xuan 安玄
'an'yang'chao 安养抄
'an'yang'ji 安养集
'an'yang'si 安养寺
'an'yuan'miao 安远庙
'an'yue'lv 安乐律
'an'yue'lv'yuan 安乐律院
'an'yue'mo'ya'fo'xiang 安岳磨崖佛像
'an'zhai'shen'zhou'jing 安宅神咒经
'an'zhu'he'chu 安住何处
'an'zuo'niao 鞍作鸟
'ao'yi'shu 奥义书
'ba'bu'jing'wu 八不净物
'ba'bu'zhong'dao 八不中道
'ba'cao'ni'ma'zha 巴操尼玛札
'ba'chi'guo 跋祇国
'ba'chu 八触
'ba'da'li 巴达利
'ba'da'ling'ta 八大灵塔
'ba'da'ling'ta'fan'zan 八大灵塔梵赞
'ba'da'ling'ta'ming'hao'jing 八大灵塔名号经
'ba'da'mi 巴达弥
'ba'da'pu'sa 八大菩萨
'ba'da'pu'sa'man'tu'luo'jing 八大菩萨曼荼罗经
'ba'da'ren'jue 八大人觉
'ba'da'ren'jue'jing 八大人觉经
'ba'da'shan'ren 八大山人
'ba'da'tong'zi 八大童子
'ba'dan'du'li 巴丹闍梨
'ba'dan'fu 巴丹巿
'ba'de'la'ba'fu 巴德拉巴夫
'ba'er'fu 巴尔夫
'ba'er'la'mu'yu'qiao'sa'fa'te 巴尔拉姆与乔萨发特
'ba'fa 八法
'ba'fan'da'pu'sa 八幡大菩萨
'ba'feng'chui'bu'dong 八风吹不动
'ba'feng'chui'bu'dong'yi'pi'guo'jiang'lai 八风吹不动一屁过江来
'ba'ge'shi'ku 巴格石窟
'ba'gong'de'shui 八功德水
'ba'guan'hui 八关会
'ba'guan'zhai'jie 八关斋戒
'ba'hu'tian 巴壶天
'ba'ji'xiang'jing 八吉祥经
'ba'ji'xiang'song 八吉祥颂
'ba'jie'tuo 八解脱
'ba'jing'fa 八敬法
'ba'jue 八觉
'ba'ku 八苦
'ba'li'dao 巴里岛
'ba'li'lv'cang 巴利律藏
'ba'li'sheng'dian'xie'hui 巴利圣典协会
'ba'li'yu 巴利语
'ba'li'yu'fo'dian 巴利语佛典
'ba'lin'you'qi'hui'fu'si 巴林右旗荟福寺
'ba'lu'te 巴路特
'ba'men'guan'hao 把门关好
'ba'mi'yang'shi'ku 巴米扬石窟
'ba'nan 八难
'ba'qian'mei'hu'mo'gong 八千枚护摩供
'ba'ren'ba'zhi 八忍八智
'ba'sheng'chu 八胜处
'ba'sheng'ji'xiang'qi'qing'wen 八圣吉祥祈请文
'ba'sheng'ji'xiang'song 八圣吉祥颂
'ba'shi 八识
'ba'shi'ba'shi 八十八使
'ba'shi'ba'zu'dao'ying'chuan'zan 八十八祖道影传赞
'ba'shi'gui'ju'song 八识规矩颂
'ba'shi'jiu'xin 八十九心
'ba'shi'sui'xing'hao 八十随形好
'ba'shou'fang'xia'lai 把手放下来
'ba'si'ba 八思巴
'ba'si'ba'wen'zi 八思巴文字
'ba'te'na 巴特那
'ba'wan'si'qian'fa'men 八万四千法门
'ba'wan'xi'xing 八万细行
'ba'wei'ceng'you 八未曾有
'ba'xi 拔希
'ba'xi'fo'jiao 巴西佛教
'ba'xi'si 把溪寺
'ba'xiang'cheng'dao 八相成道
'ba'xie 巴协
'ba'ye'lian'hua'guan 八叶莲华观
'ba'zhe'song'jing 八折诵经
'ba'zheng'dao 八正道
'ba'zhi'gan'lu'xin'yao'mi'mi'jiao'shou'xu 八支甘露心要祕密教授续
'ba'zhi'tou'tuo 八指头陀
'ba'zhi'tou'tuo'shi'ji 八指头陀诗集
'ba'zhi'yu'jia 八支瑜伽
'ba'zhou 巴宙
'ba'zhou'shi'jing'xin'fo'tang 霸州市净心佛堂
'ba'zhou'shi'long'quan'chan'si 霸州市龙泉禅寺
'ba'zhu 把住
'ba'zhuan'sheng 八转声
'ba'zi'wen'shu'pu'sa 八字文殊菩萨
'ba'zong 八宗
'ba'zong'gang'yao 八宗纲要
'bai 呗
'bai'ba'fan'nao 百八烦恼
'bai'ba'san'mei 百八三昧
'bai'ba'ta 百八塔
'bai'du'mu'zhou 白度母咒
'bai'fa 百法
'bai'fa'hei'fa 白法黑法
'bai'fa'ming'men 百法明门
'bai'fu'zhuang'yan 百福庄严
'bai'gu 白古
'bai'guo'yin'you 白国因由
'bai'ji'guan'yin 百济观音
'bai'jie'qian'ru 百界千如
'bai'ju'yi 白居易
'bai'ju'yi'wen'chan 白居易问禅
'bai'lian'she 白莲社
'bai'lian'zong 白莲宗
'bai'ling'miao 百灵庙
'bai'long 白龙
'bai'long'cheng 白龙城
'bai'lun 百论
'bai'lun'shu 百论疏
'bai'ma'si 白马寺
'bai'nian'yi'meng 百年一梦
'bai'san'gai'fo'ding 白伞盖佛顶
'bai'sheng 白圣
'bai'song'shi'ji 百颂诗集
'bai'sui'gong 百岁宫
'bai'ta'si 白塔寺
'bai'ta'si 百塔寺
'bai'tan 白檀
'bai'wan'ta'tuo'luo'ni 百万塔陀罗尼
'bai'wei'ju'zu 百味具足
'bai'wei'yin'shi 百味饮食
'bai'wen'shu'zhou 白文殊咒
'bai'xia'wa 白夏瓦
'bai'xue 白雪
'bai'yang'si 白羊寺
'bai'ye 白业
'bai'yi 白衣
'bai'yi'guan'yin 白衣观音
'bai'yi'guan'yin'ling'gan'zhen'yan 白衣观音灵感真言
'bai'yi'wu 百一物
'bai'yin'chan'shi 白隐禅师
'bai'yu'jing 百喻经
'bai'yuan 拜愿
'bai'yue 白月
'bai'yun 白云
'bai'yun'hua 白云花
'bai'yun'zong 白云宗
'bai'zhang'cong'lin'qing'gui 百丈丛林清规
'bai'zhang'qing'gui'zheng'yi'ji 百丈清规证义记
'bai'zhang'shan 百丈山
'bai'zhang'ye'hu 百丈野狐
'bai'zhang'ye'ya'zi 百丈野鸭子
'bai'zi'lun 百字论
'bai'zi'ming'xiu'fa 百字明修法
'ban 板
'ban'dao 办道
'ban'du'luo'guo 般闍罗国
'ban'jia'si'wei'xiang 半跏思惟像
'ban'ken'ban'bu'ken 半肯半不肯
'ban'ku'san'mei 般苦三昧
'ban'ma'gua'tang 班玛瓜唐
'ban'tai'si'li 班台斯利
'ban'tuo'jia 半托迦
'ban'ze'jia 半择迦
'ban'zhou'san'mei 般舟三昧
'ban'zi'man'zi 半字满字
'ban'zuo 半座
'bang'san'bao'jie 谤三宝戒
'bao'an'si 保安寺
'bao'can'yu'quan 保参玉泉
'bao'chang 宝唱
'bao'cheng 宝称
'bao'ding'bo'ye'hu'guo'si 保定博野护国寺
'bao'ding'fu'ping'xian'jia'rong'guan'yin'si 保定阜平县嘉绒观音寺
'bao'ding'shi'an'guo'xing'guo'si 保定市安国兴国寺
'bao'ding'zan 宝鼎赞
'bao'en'chan'si 报恩禅寺
'bao'en'si 报恩寺
'bao'fu'mu'en'zhou 报父母恩咒
'bao'guang'si 宝光寺
'bao'guo'si 保国寺
'bao'guo'si 报国寺
'bao'hua'shan 宝华山
'bao'jing'san'mei 宝镜三昧
'bao'ju'luo 薄拘罗
'bao'juan 宝卷
'bao'jue'chan'si 宝觉禅寺
'bao'jue'si 宝觉寺
'bao'lian'chan'si 宝莲禅寺
'bao'liang 宝亮
'bao'lun'si 宝轮寺
'bao'ming 薄瞑
'bao'ning'si 保宁寺
'bao'nv'suo'wen'jing 宝女所问经
'bao'ping'qi 宝瓶气
'bao'qie'yin'tuo'luo'ni 宝箧印陀罗尼
'bao'qie'yin'tuo'luo'ni'de'gu'shi 宝箧印陀罗尼的故事
'bao'qing'ji 宝庆记
'bao'shan'shi'ku 宝山石窟
'bao'shen 报身
'bao'sheng'fo 宝生佛
'bao'sheng'san'mei 报生三昧
'bao'sheng'si 保圣寺
'bao'shu 抱树
'bao'tong'chan'si 宝通禅寺
'bao'tu 报土
'bao'wang'san'mei'nian'fo'zhi'zhi 宝王三昧念佛直指
'bao'xing'wang'zheng'lun 宝行王正论
'bao'ying'si 宝应寺
'bao'yu'jing 宝雨经
'bao'yun 宝云
'bao'zang'lun 宝藏论
'bao'zhi 保志
'bao'zuo'ji 宝作寂
'bei'bei'tian'tai'chan'yuan 北碚天台禅院
'bei'chai'zou'jiang'hu 背柴走江湖
'bei'chao'fo'jiao 北朝佛教
'bei'chuan'fo'jiao 北传佛教
'bei'dou'fa 北斗法
'bei'du 杯渡
'bei'hai'bai'ta 北海白塔
'bei'hua'jing 悲华经
'bei'jian'ju'jian'chan'shi'yu'lu 北涧居简禅师语录
'bei'jing'ba'da'chu 北京八大处
'bei'jing'lv 北京律
'bei'mo'luo'cha 卑摩罗叉
'bei'shan'chan'si 北山禅寺
'bei'shan'lu 北山录
'bei'shan'zhu'bu 北山住部
'bei'shi'ku'si 北石窟寺
'bei'shui'chan'ji 杯水禅机
'bei'si'ta 北寺塔
'bei'tian'fang 悲田坊
'bei'tiao'shi'lai 北条时赖
'bei'tiao'shi'zong 北条时宗
'bei'ye'jing 贝叶经
'bei'zeng 悲增
'bei'zhou'wu'di 北周武帝
'bei'zi'miao 贝子庙
'bei'zong 北宗
'ben'chao'gao'seng'chuan 本朝高僧传
'ben'chu'fo 本初佛
'ben'di'chui'ji 本地垂迹
'ben'di'shen 本地身
'ben'gao 本高
'ben'hua 本化
'ben'hua'bie'tou'fo'zu'tong'ji 本化别头佛祖统纪
'ben'ji 本寂
'ben'ji 本济
'ben'ji'er'men 本迹二门
'ben'jue 本觉
'ben'kong'fei'you 本空非有
'ben'lai'mian'mu 本来面目
'ben'men'fo'li'zong 本门佛立宗
'ben'men'si 本门寺
'ben'men'zong 本门宗
'ben'neng'si 本能寺
'ben'ru 本如
'ben'sheng 本生
'ben'sheng'man 本生鬘
'ben'sheng'zhu 本生注
'ben'shi'shi'jia'mou'ni'fo 本师释迦牟尼佛
'ben'tang 本堂
'ben'tian'yi'ying 本田义英
'ben'wei'you'shan 本未有善
'ben'you'jia 本有家
'ben'yuan 本圆
'ben'yuan 本愿
'ben'yuan'si 本愿寺
'ben'zhi 本质
'ben'zun 本尊
'bi'an'hui 彼岸会
'bi'bo'luo'ku 毕钵罗窟
'bi'bo'luo'shu 毕钵罗树
'bi'da 比大
'bi'feng'si 笔峰寺
'bi'guan 闭关
'bi'ha 比哈
'bi'jing'kong 毕竟空
'bi'li'de'fa'hui 庇立得法会
'bi'liang 比量
'bi'liang'xiang'wei'guo 比量相违过
'bi'qiu 比丘
'bi'qiu'ni 比丘尼
'bi'qiu'ni'chuan 比丘尼传
'bi'rui'shan 比叡山
'bi'yan'lu 碧巖录
'bi'yun'si 碧云寺
'bian'cai'tian 辩才天
'bian'chang 辨长
'bian'fa'fa'xing'lun 辨法法性论
'bian'gao'shi'fang 遍告十方
'bian'guo 边国
'bian'ji'suo'zhi'xing 遍计所执性
'bian'jing 辩经
'bian'jing'tian 遍净天
'bian'qing 辨庆
'bian'shi'zong'fa'xing 遍是宗法性
'bian'wei'lu 辩伪录
'bian'wen 变文
'bian'xi 辨喜
'bian'xian'mi'er'jiao'lun 辨显密二教论
'bian'xian'mi'er'jiao'lun 辩显密二教论
'bian'xiang'tu 变相图
'bian'xing 遍行
'bian'yi'sheng'si 变易生死
'bian'yu'bu'bian 变与不变
'bian'zheng'lun 辩正论
'bian'zhi 遍知
'bian'zhi'jian 边执见
'bian'zhong'bian'lun 辩中边论
'biao 杓
'biao'quan 表诠
'biao'se 表色
'biao'wu'biao 表无表
'biao'zhi'ji 表制集
'bie'bang'si 别蚌寺
'bie'bao 别报
'bie'dang 别当
'bie'fa 别法
'bie'jiao 别教
'bie'jie'tuo'jie 别解脱戒
'bie'jing 别境
'bie'li'sui'yuan 别理随缘
'bie'qing 别请
'bie'shi'nian'fo 别时念佛
'bie'xiang'yuan'xiu 别向圆修
'bin'chu 摈出
'bin'tou'lu 宾头卢
'bin'zong 斌宗
'bing'jie'luo'tian 冰揭罗天
'bing'ling'si'shi'ku 炳灵寺石窟
'bing'qi'si'xin 摒弃私心
'bo 钵
'bo'di 薄地
'bo'fa'zu 帛法祖
'bo'hu'ba'ke'xin'ku're 博湖巴克新库热
'bo'jia'fan'ge 薄伽梵歌
'bo'la'si'guo 波剌斯国
'bo'lian'si 泊莲寺
'bo'lin'chan'si 柏林禅寺
'bo'lin'si 柏林寺
'bo'long'na'lu'fa 波隆纳鲁伐
'bo'luo'fu'tu 波罗浮屠
'bo'luo'nai'guo 波罗奈国
'bo'luo'po'jia'luo'mi'duo'luo 波罗颇迦罗蜜多罗
'bo'luo'ti'mu'cha 波罗提木叉
'bo'luo'ti'ti'she'ni 波罗提提舍尼
'bo'luo'wang'chao 波罗王朝
'bo'luo'wu 哱囉舞
'bo'luo'ye'ga 钵罗耶伽
'bo'luo'yi 波罗夷
'bo'na'fo'ta 博那佛塔
'bo'ni'ni'wen'fa 波你尼文法
'bo're'bo'luo'mi 般若波罗蜜
'bo're'bo'luo'mi'duo'xin'jing 般若波罗蜜多心经
'bo're'deng'lun'shi 般若灯论释
'bo're'fo'mu'xin'zhou 般若佛母心咒
'bo're'jing 般若经
'bo're'li'qu'shi 般若理趣释
'bo're'xin'jing'mi'jian 般若心经祕键
'bo're'xin'zhou 般若心咒
'bo'shan'wu'yi'chan'shi'guang'lu 博山无异禅师广录
'bo'shi'li'mi'duo'luo 帛尸梨蜜多罗
'bo'si'ni'wang 波斯匿王
'bo'tou'mo'di'yu 钵头摩地狱
'bo'wu'yin'guo 拨无因果
'bo'xi'he 伯希和
'bo'ye'xian'pu'ti'nian'fo'tang 博野县菩提念佛堂
'bo'yi'ti 波逸提
'bo'zi'ke'li'ke'shi'ku 伯孜克里克石窟
'bu'bian'sui'yuan 不变随缘
'bu'bian'ying'wan'bian 不变应万变
'bu'ceng'kong'guo 不曾空过
'bu'da'la'gong 布达拉宫
'bu'dan'fo'jiao 不丹佛教
'bu'de'jian 不得见
'bu'ding 不定
'bu'ding'de'fa 不定地法
'bu'ding'jiao 不定教
'bu'ding'ye 不定业
'bu'dong'fa 不动法
'bu'dong'man'tu'luo 不动曼荼罗
'bu'dong'ming'wang 不动明王
'bu'dong'xin 不动心
'bu'dong'zhi'shen'miao'lu 不动智神妙录
'bu'duan'nian'fo 不断念佛
'bu'dun 布顿
'bu'dun'fo'jiao'shi 布顿佛教史
'bu'er'men'xia'ge 不二门下歌
'bu'er'mo'he'yan 不二摩诃衍
'bu'er'yi'yuan'lun 不二一元论
'bu'fang'yi 不放逸
'bu'fu'zai'hua 不复再画
'bu'gong'fa 不共法
'bu'gong'jiao 不共教
'bu'gong'xiang 不共相
'bu'gong'ye 不共业
'bu'hai 不害
'bu'he'nuo'fu 布赫诺夫
'bu'huai'fa 不坏法
'bu'jing'guan 不净观
'bu'ke'chu'jian'min 不可触贱民
'bu'ke'shuo 不可说
'bu'ke'zhi'zhuo 不可执著
'bu'ken'cheng'dan 不肯承担
'bu'ken'fang'xia 不肯放下
'bu'kong 不空
'bu'kong'cheng'jiu'ru'lai 不空成就如来
'bu'kong'juan'suo'guan'yin 不空罥索观音
'bu'kong'juan'suo'shen'bian'zhen'yan'jing 不空罥索神变真言经
'bu'kong'juan'suo'shen'zhou'xin'jing 不空罥索神咒心经
'bu'kong'juan'suo'tuo'luo'ni'jing 不空罥索陀罗尼经
'bu'kui'wei'shi'zhe 不愧为侍者
'bu'le 布勒
'bu'li'guo 不离过
'bu'li'wen'zi 不立文字
'bu'liao'yi 不了义
'bu'liu'ping'chang'xin 不留平常心
'bu'luo'you'wu 不落有无
'bu'neng'dai'ti 不能代替
'bu'pai'fo'jiao 部派佛教
'bu'qian 不迁
'bu'qian'jie 不悭戒
'bu'que'yan'jiang 不缺盐酱
'bu'ran'wu 不染污
'bu'ran'wu'wu'zhi 不染污无知
'bu'ru'guo'ti 不辱国体
'bu'ru'mi'duo 不如密多
'bu'ru'xiao'chou 不如小丑
'bu'sa 布萨
'bu'shan 不善
'bu'sheng'bu'mie 不生不灭
'bu'shi 布施
'bu'shi'chuan'sheng'tong 不是传声筒
'bu'shi'fa'shen 不识法身
'bu'shi'jie'tuo 不时解脱
'bu'shou'bu'shi'pai 不受不施派
'bu'te'ga'luo 补特伽罗
'bu'tong'jing'jie 不同境界
'bu'tui'si 不退寺
'bu'tuo'luo'shan 补陀洛山
'bu'xian 不闲
'bu'xiang'ge'ren 不像个人
'bu'xiang'ying'xin 不相应心
'bu'xin'shi'zhen'di 不信是真谛
'bu'xu'gao'seng'chuan 补续高僧传
'bu'xu'wei'shi 不许为师
'bu'yao'fu'shi 不要拂拭
'bu'yi'bu'yi'shuo 不一不异说
'bu'yin'jiu'jie 不饮酒戒
'bu'zai'bie'chu 不在别处
'bu'zeng'bu'jian 不增不减
'bu'zeng'bu'jian'jing 不增不减经
'bu'zhao'xiang 不着相
'bu'zhi'dao 不知道
'bu'zhi'yi'lun 部执异论
'cai'ba'gong'ga'duo'jie 蔡巴贡噶多杰
'cai'bao'tian'wang'xin'zhou 财宝天王心咒
'cai'gen'tan 菜根谭
'cai'rong'ting 蔡荣婷
'cai'yun'chen 蔡运辰
'can 参
'can'chan 参禅
'can'chan'fa'qi 参禅法器
'can'long 参笼
'can'que'de'gui 残缺的鬼
'can'tian'tai'wu'tai'shan'ji 参天台五台山记
'can'ying 粲英
'can'you 璨幽
'cang'lun 藏论
'cang'zhou'shui'yue'si 沧州水月寺
'cao'dong'jiao'hui'xiu'zheng'yi 曹洞教会修证义
'cao'dong'zong 曹洞宗
'cao'du'xin'zhou 操度心咒
'cao'ju'zha'guo 漕矩咤国
'cao'mu'cheng'fo 草木成佛
'cao'shi'bang 曹仕邦
'cao'tang'pai 草堂派
'cao'tang'si 草堂寺
'cao'wang'chan'si 曹王禅寺
'cao'xi'bao'lin'chuan 曹溪宝林传
'cao'xi'zong 曹溪宗
'ceng'pu'xin 曾普信
'cha 茶
'cha 剎
'cha'bei'de'si'qi 茶杯的死期
'cha'bei'yu'cha'hu 茶杯与茶壶
'cha'bie 差别
'cha'chan'yi'wei 茶禅一味
'cha'dao 茶道
'cha'di'li 剎帝利
'cha'na 剎那
'cha'shou 叉手
'cha'xin'chan'yi 茶心禅意
'chan 禅
'chan 缠
'chan'bing 禅病
'chan'cha'lu 禅茶录
'chan'de'xin'yao 禅的心要
'chan'deng'shi'pu 禅灯世谱
'chan'fa 忏法
'chan'fa'yao'jie 禅法要解
'chan'fei'suo'zhi 禅非所知
'chan'fu 缠缚
'chan'guan'ce'jin 禅关策进
'chan'hai'shi'zhen 禅海十珍
'chan'hui 忏悔
'chan'hui'ge 忏悔歌
'chan'hui'huan'lai'fu'qi'he 忏悔换来夫妻和
'chan'hui'ji 忏悔偈
'chan'jie 禅戒
'chan'ju 禅聚
'chan'lin'bao'xun 禅林宝训
'chan'lin'lei'ju 禅林类聚
'chan'lin'seng'bao'chuan 禅林僧宝传
'chan'lin'shu'yu'kao'zheng 禅林疏语考证
'chan'lin'si 禅林寺
'chan'lin'xiang'qi'jian 禅林象器笺
'chan'men'duan'lian'shuo 禅门锻鍊说
'chan'men'gong'an'ming 禅门公案名
'chan'men'kou'jue 禅门口诀
'chan'men'nian'song'ji 禅门拈颂集
'chan'men'ri'song 禅门日诵
'chan'men'shi'zi'cheng'xi'tu 禅门师资承袭图
'chan'men'wen'da 禅门问答
'chan'men'yao'lue 禅门要略
'chan'mi'yao'fa'jing 禅祕要法经
'chan'ru'lai'ru'qu 禅如来如去
'chan'shi 禅师
'chan'shuo 禅说
'chan'wei 禅味
'chan'xiang'shen'me 禅像什么
'chan'xin'yu'jing'yu 禅心与经语
'chan'xu'zi'wu 禅需自悟
'chan'yu'niu 禅与牛
'chan'yu'sheng'huo 禅与生活
'chan'yuan 禅院
'chan'yuan'meng'qiu 禅苑蒙求
'chan'yuan'qing'gui 禅苑清规
'chan'yuan'zhong'sheng 禅院钟声
'chan'yuan'zhu'quan'ji'dou'xu 禅源诸诠集都序
'chan'yue'ji 禅月集
'chan'yun 忏云
'chan'yun'si 禅云寺
'chan'zhe'de'jiao'bu'bai'nian'xu'yun 禅者的脚步百年虚云
'chan'zhe'de'zhu'fu 禅者的祝福
'chan'zong 禅宗
'chan'zong'jue'yi'ji 禅宗决疑集
'chan'zong'quan'shu 禅宗全书
'chan'zong'yong'jia'ji 禅宗永嘉集
'chan'zong'yu'lu 禅宗语录
'chan'zong'za'du'hai 禅宗杂毒海
'chan'zong'zheng'mai 禅宗正脉
'chan'zong'zhi'zhi 禅宗直指
'chang'a'han'jing 长阿含经
'chang'an'fo'jiao 长安佛教
'chang'bu'qing'pu'sa 常不轻菩萨
'chang'chun'guan 长春观
'chang'chun'guan 常春观
'chang'dao 唱导
'chang'gan'si 长干寺
'chang'gu'si 长谷寺
'chang'gui 长跪
'chang'ji'guang'tu 常寂光土
'chang'jian 常见
'chang'jing'zhen'qin 长井真琴
'chang'jue 常觉
'chang'lao'ni'ji 长老尼偈
'chang'shou'fo'zhou 长寿佛咒
'chang'shou'mie'zui'hu'zhu'tong'zi'tuo'luo'ni'jing 长寿灭罪护诸童子陀罗尼经
'chang'song'qing'feng 长松清风
'chang'song'ru'tui 长松茹退
'chang'wei'ya'ren 长尾雅人
'chang'wu 长物
'chang'xi 长西
'chang'xing 长行
'chang'zhao'fan'zhi 长爪梵志
'chang'zhou'jiu'long'chan'si 常州九龙禅寺
'chang'zhu 常住
'chang'zhu'si 昌珠寺
'chang'zhu'wu 常住物
'chao'feng'si 超峰寺
'chao'fo'yue'zu 超佛越祖
'chao'jie'si 超戒寺
'chao'jing 抄经
'chao'xian'fo'jiao 朝鲜佛教
'chao'xian'fo'jiao'tong'shi 朝鲜佛教通史
'chao'yang'si 朝阳寺
'chao'yue'san'mei 超越三昧
'chao'yue'sheng'si 超越生死
'chao'zheng 超证
'chen 尘
'chen 瞋
'chen'bai'da 陈柏达
'chen'dian 沉淀
'chen'dian'jie 尘点劫
'chen'hui'jian 陈慧剑
