'ai'zhi'si'zhi 爱之思之
'bu'ru'yi'de'shi'shi'chang'ba'jiu 不如意的事十常八九
'bu'sheng'ren'shou'bu'zhu 不胜忍受不住
'bu'shi'yang'hua 不是杨花
'bu'si'liang 不思量
'bu'si'liang'ji'si'wu'qing 不思量极似无情
'bu'si'qiu'guang 不似秋光
'bu'wei'li'chou'bie'ku'suo'shu'fu'de'ji'ji 不为离愁别苦所束缚的积极
'bu'ying'hui'shou 不应回首
'bu'ying'you'hen 不应有恨
'bu'yong'si'liang'jin'gu 不用思量今古
'bu'ze'di'er'neng'chu 不择地而能出
'bu'zhi'dao'na'yue'gong'li'jin'ye'shi'na'yi'nian'ren'jian'ru'ci'fan'hua 不知道那月宫里今夜是哪一年人间如此繁华
'bu'zhi'dao'tian'shang'de'gong'dian 不知道天上的宫殿
'bu'zhi'er'ju'you'she'wen 不知二句又设问
'bu'zhi'jin'xi'shi'he'nian 不知今夕是何年
'bu'zhi'tian'shang'gong'que 不知天上宫阙
'bu'zhi'tian'xia'de'jin'xi'shi'fou'reng'jiu'mei'man 不知天下的今夕是否仍旧美满
'bu'zhuan'hui'lang 步转回廊
'cai'shi'yuan 采诗园
'cang'cang'ying 苍苍鹰
'cao'gong'huang'zu'ju'piao'hu 曹公黄祖俱飘忽
'ceng'chu'zhi'hang'zhou 曾出知杭州
'ceng'zhi'mi'zhou 曾知密州
'chan'juan 婵娟
'chan'juan'yue'li'de'chang'e 婵娟月里的嫦娥
'chan'juan'yue'se'mei'hao 婵娟月色美好
'chang'de'jiu'shi'zhe'yi'zhi'dong'po'xue'shi'zhong'qiu 唱的就是这一支东坡学士中秋
'chang'hen'ci'shen'fei'wo'you 长恨此身非我有
'chang'ji'ping'shan'tang'shang 长记平山堂上
'chang'xian'ren'jian'zhuo'yu'lang 常羡人间琢玉郎
'chang'zuo'dong'nan'bie 长作东南别
'chao'chen'tuo'su'de'si'xiang 超尘脱俗的思想
'chen'man'mian 尘满面
'chen'shuang'geng'geng 晨霜耿耿
'cheng 城
'cheng'feng'gui'qu'jia'zhe'feng 乘风归去驾着风
'cheng'yue'zhi'yi'xi'qiao'shang 乘月至一溪桥上
'chi'bi'huai'gu 赤壁怀古
'chi'jie'yun'zhong 持节云中
'chi'shang'mi'can'chun 池上觅残春
'chong'chong'jiang'wai'ping'hu 重重江外平湖
'chong'chong'si'hua 重重似画
'chong'jiu 重九
'chong'jiu'han'hui'lou'cheng'xu'jun'you 重九涵辉楼呈徐君猷
'chou'mu'duan 愁目断
'chu'chu'xiao'hun 处处销魂
'chu'jiang'dong 楚江东
'chu'jing'sheng'qing 触景生情
'chu'le'ta'zai'ge'di'ren'shang'zhi'li'yu'di'fang'zheng'ji'wai 除了他在各地任上致力于地方政绩外
'chu'lie'dui'yu'su'shi'zhe'yang'de'wen'ren'lai'shuo 出猎对于苏轼这样的文人来说
'chu'shi'he'ru'shi 出世和入世
'chu'xia 初夏
'chuan'diao'shu'qiu 穿貂鼠裘
'chuan'song'shen'guang 传诵甚广
'chui'bai'zhang'li'tai'zui'yan 垂白杖藜抬醉眼
'chui'di'ji'gu'yi'wei'jie 吹笛击鼓以为节
'chun'feng'de'yi 春风得意
'chun'se'san'fen 春色三分
'chun'se'shu'ming'nian 春色属明年
'chun'shi'wu'duo 春事无多
'chun'ting'yue'wu 春庭月午
'chun'ye'xing'qi'shui'zhong 春夜行蕲水中
'chun'yue 春月
'ci 词
'ci'ban'feng'wei'ying'wu'jia 此般风味应无价
'ci'chun'shi'jia'tuo'yi'yong'huai 此纯是假托以咏怀
'ci'ci'hai'you'yi'ge'zhi'de'zhu'yi'zhi'chu 此词还有一个值得注意之处
'ci'ci'yuan'wei'tang'jiao'fang'qu 此词原为唐教坊曲
'ci'hai 辞海
'ci'jie'zhi'ming'yue'de 此借指明月的
'ci'jue'wu'jiang'shang'wen'tian'shi'yi'dai'chu 此觉悟将上问天事亦带出
'ci'kai'hao'fang'yi'pai 词开豪放一派
'ci'pian'shi'zhong'qiu'ye'hai'zi'you 此篇事中秋夜还子由
'ci'ren'tian'zhe'ji'duo 词人填者极多
'ci'sheng'piao'dang'he'shi'xie 此生飘荡何时歇
'ci'shi'gu'nan'quan 此事古难全
'ci'shi'he'nan 此事何难
'ci'tian'shi'zhi'jun'wang 此天是指君王
'ci'xin'an'chu'shi'wu'xiang 此心安处是吾乡
'ci'ye'yin'ci'hao'fang'er'bu'shi'feng'qing 词也因此豪放而不失风情
'ci'yun'zhang'zhi'fu'yang'hua'ci 次韵章质夫杨花词
'ci'zhong'ba'yan'qian'de'luan'shan'da'jiang'xie'de'xiong'qi'xian'jun 词中把眼前的乱山大江写得雄奇险峻
'ci'zhong'fan'ying'zuo'zhe'you'chao'shi'si'xiang'zhuan'hua'wei'xi'ai'ren'jian'sheng'huo'de'mao'dun'guo'cheng 词中反映作者由超世思想转化为喜爱人间生活的矛盾过程
'ci'zhong'jing'jie'gao'jie 词中境界高洁
'ci'zhong'xie'jiang'shan'xing'sheng'he'ying'xiong'wei'ye 词中写江山形胜和英雄伟业
'cong'gong'tong'shang'yue'zhong'hu'zhi'wei'ji 从共同赏月中互致慰籍
'cong'tou'shuo 从头说
'cui'e'xiu'dai'qie'ren'kan 翠娥羞黛怯人看
'cun'nan'cun'bei'xiang'sao'che 村南村北响缫车
'cun'she'wai 村舍外
'cun'shi'shu'ji'you 存世书迹有
'da'jiang'dong'qu 大江东去
'da'qu 大曲
'da're 大热
'da'xie'min'shi'lun'wen'tie 答谢民师论文帖
'da'zui 大醉
'da'zui'zuo'ci'pian 大醉作此篇
'dai'chu'su'shi'dang'nian'de'gui'fang'zhi'le 带出苏轼当年的闺房之乐
'dai'fu'hua 待浮花
'dai'ren'ji'yuan 代人寄远
'dai'zhi'yue'liang 代指月亮
'dan'ba'qing'zun'duan'song'qiu 但把清尊断送秋
'dan'duo'shui'shan'fan 但多睡善饭
'dan'ji'qi'shou'liang'ju 但记其首两句
'dan'pian'mo'de'gan'shang'se'cai'yan'gai'bu'liao'quan'ci'de'hao'mai'qi'pai 但篇末的感伤色彩掩盖不了全词的豪迈气派
'dan'qu'zhi'xi'feng'ji'shi'lai 但屈指西风几时来
'dan'ru'san'gu 紞如三鼓
'dan'shi 但是
'dan'shi'shi'nian'lai'de'ren'shi'bian'gu'you'qi'shi'xin'li'shang'de'chuang'shang'zai'shuang'fang'dou'hen'xian'ran 但是十年来的人世变故尤其是心理上的创伤在双方都很显然
'dan'su'shi'ren'wei 但苏轼认为
'dan'ta'ping'su'bao'guo'li'gong'de'xin'nian'que'yin'zhe'ci'xiao'shi'shen'shou'er'de'dao'gu'wu 但他平素报国立功的信念却因这次小试身手而得到鼓舞
'dan'tian'shang'he'ren'jian 但天上和人间
'dan'yang'ji'shu'gu 丹阳寄述古
'dan'ye'you'gai'ge'bi'zheng'de'yao'qiu 但也有改革弊政的要求
'dan'yi'fang'wu'qing 但一方无情
'dan'yi'jing'hui'guang'suo'zhao 但一经慧光所照
'dan'you'jiu'huan'xin'yuan 但有旧欢新怨
'dan'you'pa'tian'shang'de'shen'xian'dong'fu'tai'gao'le 但又怕天上的神仙洞府太高了
'dan'you'you'zu'sui 但优游卒岁
'dan'yuan'ren'chang'jiu 但愿人长久
'dan'yuan'shan'chang 但远山长
'dan'zhou 儋州
'dang'cheng'ren'sheng'de'mo'lian 当成人生的磨练
'dang'nian'xi'ma'hui'dong'xu 当年戏马会东徐
'dang'shi'gong'ke'chang'an 当时共客长安
'dang'shi'ta'zai'zheng'zhi'shang'de'chu'jing'bing'bu'ru'yi 当时他在政治上的处境并不如意
'dang'shi'xi'bei'bian'shi'jin'zhang 当时西北边事紧张
'dao'bi'feng 倒碧峰
'dao'feng'zui'sou'wo'huang'hun 道逢醉叟卧黄昏
'dao'le'mi'zhou'hai'shi'wu'yuan'xiang'hui 到了密州还是无缘相会
'dao'ri'chang'an'hua'si'yu 到日长安花似雨
'dao'zhi'le'yi'chang'gan'qing'feng'bo 导致了一场感情风波
'de'shou'duan 的首段
'deng 等
'deng'huo'qian'tang'san'wu'ye 灯火钱塘三五夜
'di'di'de'jin'ru'mei'li'de'chuang'hu 低低的进入美丽的窗户
'di'di'di'xie'zhao'ru'fang'zi'nei 低低地斜照入房子内
'di'qi'hu 低绮户
'di'qi'hu 抵绮户
'di'san'shi'hui'xie'ba'yue'shi'wu'ke'chang'ge'zhong'qiu'dui'yue'dui'jing'de'qu'er 第三十回写八月十五可唱个中秋对月对景的曲儿
'di'yan'yang'xing 低眼佯行
'dian'dian'lou'tou'xi'yu 点点楼头细雨
'dian'dian'shi 点点是
'diao'ming'qu'yi'jian'wen'di'fan'jie'jia'die'lian'hua'qing'ju 调名取义简文帝翻阶蛱蝶恋花情句
'die 蝶
'die'lian'hua 蝶恋花
'ding'feng'bo 定风波
'dong'hai'hai'dao 东还海道
'dong'po'ci'fu'wei'kua 东坡词赋微夸
'dong'po'qi'ji 东坡七集
'dong'po'ti'ba 东坡题跋
'dong'po'zhi'ci'hao'zong'you'xian'qi 东坡之词豪纵有仙气
'dong'po'zi'si'fang'zong'zhong 东坡恣肆放纵中
'dong'xian'ge 洞仙歌
'dou'jing'jing 都镜净
'du'guan'le'ci'zhong'chang'jian'de'na'zhong'yi'ri'bu'si'liang 读惯了词中常见的那种一日不思量
'du'jin'chuang'tou'ji'juan'shu 读尽床头几卷书
'du'yu'yi'sheng'chun'xiao 杜宇一声春晓
'duan'song'gang 短松冈
'dui'bei'song'ci'tan'duo'suo'ge'xin 对北宋词坛多所革新
'dui'chuang'ye'yu'ting'xiao'se 对床夜雨听萧瑟
'dui'ci'jian 对此间
'dui'hou'dai'hen'you'ying'xiang 对后代很有影响
'dui'jiu'juan'lian'yao'ming'yue 对酒卷帘邀明月
'dui'yu'wu'yi'shi'de'meng'jing 对于无意识的梦境
'dui'yu'yuan'lai'zhi'yi'hong'ya'pai'ban 对于原来只宜红牙拍板
'dui'yu'zhou'yu 对于周瑜
'duo'qing'que'bei'wu'qing'nao 多情却被无情恼
'duo'qing'que'bei'wu'qing'nao'que'you'pu'bian'xing'yu'bi'ran'xing 多情却被无情恼却有普遍性与必然性
'duo'qing'shi'ren'de'ben'xing 多情是人的本性
'duo'qing'ying'xiao'wo 多情应笑我
'duo'yong'ru'sheng 多用入声
'er'bu'shi'zai'yu'cheng'gong'yu'fou 而不是在于成功与否
'er'cheng'xin'tiao 而成新调
'er'ci'de'xia'que'ren'you'bei'huan'li'he 而词的下阙人有悲欢离合
'er'fen'chen'tu 二分尘土
'er'geng'jiu'xing'chuan'chu'fa 二更酒醒船初发
'er'neng'zi'chuang'xin'yi 而能自创新意
'er'qie'ci'jing'zhuang'kuo 而且词境壮阔
'er'qie'da'sheng'keng'qiang 而且大声铿锵
'er'qie'qing'hao'zhi'zhuang 而且情豪志壮
'er'qie'xiao'qiao'chu'jia'zhou'yu'zai'jian'an'san'nian 而且小乔初嫁周瑜在建安三年
'er'shi'yu'shan'bian'fu 而是羽扇便服
'er'you'jiao'ta'shi'di 而又脚踏实地
'er'zuo'ru'ci'xiang 而作如此想
'fa'ren'shen'xing 发人深省
'fan'cheng'da 范成大
'fan'er'dai'zui'huang'zhou 反而待罪黄州
'fan'kong'bai'niao'shi'shi'jian 翻空白鸟时时见
'fan'yi 翻译
'fang'cao'cong'sheng 芳草从生
'fang'fu'zi'ji'he'ying'zi'yi'qi'xi'xi 彷佛自己和影子一起嬉戏
'fang'xin'qian'zhong'si'shu 芳心千重似束
'fei'xu'luo'hua 飞絮落花
'fei'xu'song'xing'zhou 飞絮送行舟
'fei'xue'si'yang'hua 飞雪似杨花
'fen'ming'zhao 分明照
'feng'huang'shan'shang'yu'chu'qing 凤凰山上雨初晴
'feng'lai'hao'ai'qi'ru'xun 风来蒿艾气如熏
'feng'liu'xi'shang'wang'wen'du 风流膝上王文度
'feng'lu'tou'chuang'sha 风露透窗纱
'feng'luo'wu'jiang'leng 枫落吴江冷
'feng'qi 风起
'feng'qi'wu 凤栖梧
'feng'qiao'zhu 风敲竹
'feng'wu'qi'wu'qing 风物岂无情
'fu'mi'zhou 赴密州
'fu'qi'qin'se'tiao'he 夫妻琴瑟调和
'fu'yang'ren'jian'jin'gu 俯仰人间今古
'fu'yang'xi'ren'fei 俯仰昔人非
'gan'ku'yu'gong 甘苦与共
'gan'qing'de'niu'dai'que'jie'er'bu'jie 感情的纽带却结而不解
'gang'dao'you'ci'xiong 刚道有雌雄
'gang'zhong'you'rou 刚中有柔
'gao'chu'bu'sheng'han 高处不胜寒
'gao'jie'hun'mang 高接混茫
'gao'lou'xia 高楼下
'ge 歌
'ge'li'jiao'yu'luo'si'niang 隔篱娇语络丝娘
'geng'chong'man'le'ren'sheng'de'zhe'li 更充满了人生的哲理
'geng'xian'de'zhou'yu'shao'nian'ying'jun 更显得周瑜少年英俊
'gong'dao'ren'jian'chou'chang'shi 共道人间惆怅事
'gong'fen'lei 共粉泪
'gong'que'gong'dian 宫阙宫殿
'gong'shang'yi'lun'ming'yue 共赏一轮明月
'gu'cheng'bu'jian'tian'lin'wu 孤城不见天霖雾
'gu'cheng'hui'wang'cang'yan'he 孤城回望苍烟合
'gu'cheng'pang 古城旁
'gu'cong'huai'gu'gui'dao'shang'ji 故从怀古归到伤己
'gu'fan'ming'mie 孤帆明灭
'gu'fu'dang'nian'lin'xia'yi 孤负当年林下意
'gu'guan'deng'qing 孤馆灯青
'gu'guan'yang'liu'chu'fei'xu 故关杨柳初飞絮
'gu'guo'shen'you 故国神游
'gu'jin'ci'hua 古今词话
'gu'jin'ru'meng 古今如梦
'gu'lei'xi'bian 故垒西边
'gu'mian'qing're 孤眠清热
'gu'pan'zi'xiong 顾盼自雄
'gu'ren'bu'jian 故人不见
'gu'ren'ren'wei'tian'shang'shen'xian'shi'jie'nian'yue'de'bian'pai'yu'ren'jian'shi'bu'xiang'tong'de 古人认为天上神仙世界年月的编排与人间是不相同的
'gu'shan'si 孤山寺
'gu'shan'zhu'ge'song'shu'gu 孤山竹阁送述古
'gu'shi'yi'tian'lang'xing'zhu'qin'lue 古时以天狼星主侵掠
'gu'wo'yi'wu'dang'shi'wang 顾我已无当世望
'gu'yue'ge'tou 故曰歌头
'gu'zuo'ci'ci 故作此词
'guan'zhi'li'bu'shang'shu 官至礼部尚书
'guang'han'qing'xu'de'tian'shang'gong'que 广寒清虚的天上宫阙
'guang'ying'qing'jue'de'ren'sheng'jing'jie'sheng'si'yue'di'yun'jie 光影清绝的人生境界胜似月地云阶
'gui'jia'shuo'yu'cai'sang'gu 归家说与采桑姑
'gui'lai'fang'fu'san'geng 归来仿佛三更
'gui'lu'wan'feng'qing 归路晚风清
'gui'qu 归去
'gui'zang'yu'jia'xiang'de'zu'ying 归葬于家乡的祖莹
'guo'jiu'jia'yin'jiu 过酒家饮酒
'guo'qi'li'tan 过七里滩
'guo'sha'xi'ji 过沙溪急
'hai'fu'zhe'xian'shi 还赋谪仙诗
'han'que'man'shu'li 寒雀满疏篱
'han'shi'feng'tang'ceng'feng'wen'di'zhi'ming'chi'jie'fu'yong'wei'shang'wei'yun'zhong'tai'shou 汉时冯唐曾奉文帝之命持节复用魏尚为云中太守
'han'yu'lin'jun'dai'jin'meng'mao 汉羽林军戴锦蒙帽
'hang'zhou'deng'di 杭州等地
'hao'dong'po'ju'shi 号东坡居士
'hao'feng'ru'shui 好风如水
'hao'mai'de'jing'shen 豪迈的精神
'hao'meng'jing'hui 好梦惊回
'he'bi'wei'ren'li'suo'bu'neng'wei'de'shi'qing'er'shang'bei 何必为人力所不能为的事情而伤悲
'he'ceng'meng'jue 何曾梦觉
'he'cheng'san'su 合称三苏
'he'chu'fei'lai'shuang'bai'lu 何处飞来双白鹭
'he'fang'yin'xiao'qie'xu'xing 何妨吟啸且徐行
'he'he 呵呵
'he'lei'zhe'can'hong 和泪折残红
'he'qin'ren'duo'nian'bu'neng'tuan'ju'su'che'he'ta'yi'qi'nian'mei'you'jian'mian'xin'qing'ben'you'yi'yu'de'yi'mian 何亲人多年不能团聚苏彻和他已七年没有见面心情本有抑郁的一面
'he'ri'qian'feng'tang 何日遣冯唐
'he'ru'zhan'de'ren'jian'yi'wei'yu 何如占得人间一味愚
'he'shi'chang'xiang'bie'shi'yuan 何事长向别时圆
'he'shi'chang'xiang'bie'shi'yuan'ren'you'bei'huan'li'he 何事长向别时圆人有悲欢离合
'he'shi'pian'xiang'bie'shi'yuan 何事偏向别时圆
'he'shi'shou'shi'ou'geng'shen 何时收拾耦耕身
'he'shi'wang'que'ying'ying 何时忘却营营
'he'si'ren'jian 何似人间
'he'si'zai'ren'jian 何似在人间
'he'xin'lang 贺新郎
'he'yang'yuan'su 和杨元素
'hen'ci'sheng 恨此生
'hen'xi'yuan 恨西园
'heng'fang'jie'chu 横放杰出
'heng'kong'yin'yin'ceng'xiao 横空隐隐层霄
'hou'sui'wei'ben'diao'de'yi'ming 后遂为本调的异名
'hou'yi'zuo'shi'bang'shan'chao'ting'zui'bian'huang'zhou 后以作诗谤讪朝廷罪贬黄州
'hou'you'bian'zhe'hui'zhou 后又贬谪惠州
'hou'zhe'shi'jin'ru'zhong'nian'hou'yi'qi'dan'shou'zhe'yi'sheng'you'huan'de'zheng'chang'de'fu'qi'qing 后者是进入中年后一起担受着一生忧患的正常的夫妻情
'hu'jian'ke'lai'hua'xia'zuo 忽见客来花下坐
'hu'ran'lang'qi 忽然浪起
'hu'shan'xin'shi'dong'nan'mei 湖山信是东南美
'hu'shang'yu'zhang'xian'tong'fu 湖上与张先同赋
'hu'wen'jiang'shang'nong'ai'zheng 忽闻江上弄哀筝
'hu'zhou 湖州
'hu'zi 胡仔
'hua 花
'hua'ji'you 画迹有
'hua'liang'xie 画梁斜
'hua'qian'dui'jiu'bu'ren'chu 花前对酒不忍触
'hua'ru'xue 花如雪
'hua'sun'heng'jiang'xi'zai'you 画隼横江喜再游
'hua'tang'xin'gou'jin'gu'shan 画堂新构近孤山
'hua'tui'can'hong'qing'xing'xiao 花褪残红青杏小
'hua'xie'jiu'lan'chun'dao'ye 花谢酒阑春到也
'hua'zhong'you'shi'de'yi'shu'zao'yi 画中有诗的艺术造诣
'huai'zi'you'zuo 怀子由作
'huan'le 欢乐
'huan'li'he'ji'wei'qi'yi 欢离合即为其一
'huan'xi'sha 浣溪沙
'huan'xiang'he'xian'shi 幻想和现实
'huan'yin'da'dan 欢饮达旦
'huan'you'chu 宦游处
'huang'he'ce 黄河侧
'huang'huang'quan 黄黄犬
'huang'ju'li'bian'wu'chang'wang 黄菊篱边无怅望
'huang'lou'ye'jing 黄楼夜景
'huang'ting'jian 黄庭坚
'huang'ting'jian'ze'cheng'su'shi'yu'li'bai'wei'liang'zhe'xian 黄庭坚则称苏轼与李白为两谪仙
'huang'tong'bai'sou'ju'sui'xu 黄童白叟聚睢盱
'huang'zhou'ding'hui'yuan'yu'ju'zuo 黄州定惠院寓居作
'huang'zhou'han'shi'shi'tie 黄州寒食诗帖
'hui'dang 会当
'hui'dao'tian'shang'qu 回到天上去
'hui'shou'chu 回首处
'hui'shou'luan'shan'heng 回首乱山横
'hui'shou'peng'cheng 回首彭城
'hui'shou'xiang'lai'xiao'se'chu 回首向来萧瑟处
'hui'wan'diao'gong'ru'man'yue 会挽雕弓如满月
'hun'hun'xue'yi'yun'chui'ye 昏昏雪意云垂野
'huo'leng'deng'xi'shuang'lu'xia 火冷灯稀霜露下
'huo'xu'shi'ou'ran'de'yi'shi'hao'xing 或许是偶然的一时豪兴
'ji'can'liao'zi 寄参寥子
'ji'de'ge'shi 记得歌时
'ji'de'hua'ping'chu'hui'yu 记得画屏初会遇
'ji'du'xie'hui 几度斜晖
'ji'er 继而
'ji'gu'chui'xiao 击鼓吹箫
'ji'huai'yi'xing'zhuang'si 既怀逸兴壮思
'ji'huang'ji'dao'wen 祭黄几道文
'ji'jue'yi'xiao 及觉已晓
'ji'mo'shan'cheng'ren'lao'ye 寂寞山城人老也
'ji'mo'wu'ren'jian 寂寞无人见
'ji'qi'su'shi'shuang'mai'fen'fa'de'gan'qing 激起苏轼爽迈奋发的感情
'ji'qu'xi'hu'xi'pan 记取西湖西畔
'ji'ran'bu'neng'shi'shi'jin'ru'ren'yi 既然不能事事尽如人意
'ji'shi 记事
'ji'shi 即事
'ji'shi'man'qing'shi'yue'ru'wu'hen'yue'chang'yuan 记石曼卿诗月如无恨月长圆
'ji'shi'qian'li'zhi'yuan 既使千里之远
'ji'xiang'feng 既相逢
'ji'you'li'qu 极有理趣
'ji'zhe'ci'meng'zhong'de'fu'qi'xiang'hui 即这次梦中的夫妻相会
'jia'jie'ruo'wei'chou 佳节若为酬
'jia'ren'he'zai'kong'suo'lou'zhong'yan 佳人何在空锁楼中燕
'jia'ren'xing'ren'de'cha'qu'quan'ru'xin'shou'nian'lai 佳人行人的插曲全如信手拈来
'jia'tong'bi'xi'yi'lei'ming 家童鼻息已雷鸣
'jia'you'jin'shi 嘉佑进士
'jia'zai'xi'nan 家在西南
'jian'huai'zi'you 兼怀子由
'jian'jian'xue'dao'ying'jia'lu 渐见靴刀迎夹路
'jian'jin'han'zhi'bu'ken'qi 拣尽寒枝不肯栖
'jian'jun'nan 见君难
'jian'kun'yi 渐困倚
'jian'yu'er'tong'lin'gao'du'ping'jia'shi'zhong'you'hua 见与儿童邻高度评价诗中有画
'jian'yue'hua'shou'lian 渐月华收练
'jian'zi'mu'lan'hua 减字木兰花
'jiang 江
'jiang'bai'shi'ming'yue'hua'fan'nian'nu 姜白石名曰花犯念奴
'jiang'bian'liu 江边柳
'jiang'biao'chuan 江表传
'jiang'cheng'zi 江城子
'jiang'hai'ji'yu'sheng 江海寄余生
'jiang'han'xi'lai 江汉西来
'jiang'shan 江山
'jiang'shan'ru'hua 江山如画
'jiang'shen'zi 江神子
'jiang'zi'ji'de'huan'jing'mo'diao 将自己的幻景抹掉
'jiao 娇
'jie'an'qi'zhen'lv'yang'qiao 解鞍欹枕绿杨桥
'jie'an'qu'gong 解鞍曲肱
'jie'cheng'miao'di 皆成妙谛
'jie'chu'chang'liu 皆出常流
'jie'fu'jie 节符节
'jie'zhe'jie'ren'dao'shi'yi'si'zhi'yan 接着借人道是疑似之言
'jin'bo'dan 金波淡
'jin'dao'qing'ge'chuan'hao'chi 尽道清歌传皓齿
'jin'gu'kong'ming 今古空名
'jin'guan'liu'mian'jiang'jin 尽管柳绵将尽
'jin'jiang'chun'se 锦江春色
'jin'mao'diao'qiu 锦帽貂裘
'jin'nian'chun'jin 今年春尽
'jin'pian'shan'zhui'teng'chuang'hua 巾偏扇坠藤床滑
'jin'ri'qi'liang'nan'pu 今日凄凉南浦
'jin'shan'jin'mei 尽善尽美
'jin'si'shi'nian 今四十年
'jin'tian'you'shi'zen'yang'wo'xiang'chen'feng'fei'fan 今天又是怎样我想趁风飞返
'jin'wu'si'shi 今吾四十
'jin'xi'shi'he'nian 今夕是何年
'jin'xi'shi'he'nian'gu'dai'shen'hua'chuan'shuo 今夕是何年古代神话传说
'jin'ye'can'deng'xie'zhao'chu 今夜残灯斜照处
'jing'fei 惊飞
'jing'po'lv'chuang'you'meng 惊破绿窗幽梦
'jing'qi'que'hui'tou 惊起却回头
'jing'shen'bai'bei 精神百倍
'jing'tao'lie'an 惊涛裂岸
'jing'tao'pai'an 惊涛拍岸
'jing'xin'hai'mu 惊心骇目
'jiu'bu'nan'fa'xian'quan'wen'dou'yun'cang'zhe'yi'gu'zhuang'zi'tao'bi'xian'shi 就不难发现全文都蕴藏着一股庄子逃避现实
'jiu'er'mi'du 久而弥笃
'jiu'han'xiong'dan'shang'kai'zhang 酒酣胸胆尚开张
'jiu'kun'lu'chang'wei'yu'shui 酒困路长惟欲睡
'jiu'lan'bu'bi'kan'zhu'yu 酒阑不必看茱萸
'jiu'li'jian'xiao'feng'li'ruan 酒力渐消风力软
'jiu'qu'zhong'wen 旧曲重闻
'jiu'shi'shan'ge'shui'zu 就是山隔水阻
'jiu'shi'wu'zi 九十五字
'jiu'shi'zhi'de'zhe'shou'ci 就是指的这首词
'jiu'shi'zhi'song'yu'xi'xia'de'zhan'shi 就是指宋与西夏的战事
'jiu'xing'nan'wang'ge'tian'ya 酒醒南望隔天涯
'ju 据
'ju'bei'tong'jiang'shang'qing'feng 举杯同江上清风
'ju'he 聚合
'ju'wang'fu'zhi'zu'you'shi'shi'nian'le 距王弗之卒又是十年了
'juan'er'yi'yin 卷二一引
