'ai'zhu'ren 爱主人
'jiao'kui'dao 角蝰刀
'jiao'long 角龙
'jiao'ting'zhong'pao'xu'neng'qiang'guan 角挺重炮蓄能枪管
'jie'jing'di'shu 洁净笛术
'jie'long 劫龙
'jin'bao'dan 仅暴弹
'jin'hui'xuan'biao 仅回旋镖
'jin'huo'long 金火龙
'jin'jin'zhan 仅近战
'jin'mao'shou'wang'ji'gu 金毛兽王脊骨
'jin'mao'shou'wang'tao'zhuang 金毛兽王套装
'jin'mao'shou'wang'tou'pi 金毛兽王头皮
'jin'mao'shou'wang'zhi'mao 金毛兽王之毛
'jin'mao'shou'wang'zhi'pi 金毛兽王之皮
'jin'mao'shou'wang'zhi'ya 金毛兽王之牙
'jin'mao'shou'wang'zhi'zhao 金毛兽王之爪
'jin'mian'niao 金眠鸟
'jin'shi'zi 金狮子
'jin'zhan'yu'bao'dan 近战与暴弹
'jin'zhan'yu'hui'xuan'biao 近战与回旋镖
'jin'zhen'zhu 金真珠
'jing'hua'fen'chen 晶化粉尘
'jing'jie'ji'ren 胫节棘刃
'jing'yan'long 晶岩龙
'jing'zhi'wan'dao 静滞弯刀
'jing'zhi'wan'dao'gai 静滞弯刀改
'ju'da'hui'xuan'biao'zhi'shu 巨大回旋镖之术
'ju'du'lian'dao 剧毒镰刀
'ju'du'lian'dao'gai 剧毒镰刀改
'ju'gu'da'jian 巨骨大剑
'ju'gu'dao 巨骨刀
'jun'shi'dou'qi'fu 军士斗气斧
'jun'shi'miao'dou'qi'jia 军士喵斗气甲
'jun'shi'miao'dou'qi'kui 军士喵斗气盔
'jun'tuan'zhang'dou'qi'fu 军团长斗气斧
'jun'tuan'zhang'miao'dou'qi'jia 军团长喵斗气甲
'jun'tuan'zhang'miao'dou'qi'kui 军团长喵斗气盔
'kai'long 铠龙
'kai'yan'zhai'xie 铠岩砦蟹
'ken'gu'da'jian 啃骨大剑
'kong'bao'long 恐暴龙
'kong'ya'da'jian 恐牙大剑
'kong'ya'da'jian'gai 恐牙大剑改
'ku'ka'jia'nong'gai'xu'neng'qiang'guan 库卡加农改蓄能枪管
'ku'ka'jia'nong'xu'neng'qiang'guan 库卡加农蓄能枪管
'kuai'su'qi'shen'zhi'shu 快速起身之术
'kuang'luan'ya'qie 狂乱压切
'kuang'luan'ya'qie'gai 狂乱压切改
'kui'dun'xie 葵盾蟹
'lan'su'long 蓝速龙
'lan'su'long'wang 蓝速龙王
'lan'su'long'wang'tao'zhuang 蓝速龙王套装
'lan'su'long'wang'tou'guan 蓝速龙王头冠
'lan'su'long'wang'zhi'lin 蓝速龙王之鳞
'lan'su'long'wang'zhi'pi 蓝速龙王之皮
'lan'su'long'wang'zhi'ya 蓝速龙王之牙
'lan'su'long'wang'zhi'zhao 蓝速龙王之爪
'lan'tiao'tiao 蓝跳跳
'lang'dao'gu'niao 狼刀孤鸟
'lao'shan'long 老山龙
'lei'gong'ji'qiang'hua 雷攻击强化
'lei'nai'xing'qiang'hua 雷耐性强化
'lian'xie'jia'qiao 镰蟹甲壳
'lian'xie'zhi'jiao 镰蟹之脚
'lian'xie'zhi'qian 镰蟹之钳
'lian'xie'zhi'zhao 镰蟹之爪
'liao'gu'da'jian 獠骨大剑
'liao'yuan'long 燎渊龙
'lie'kong'da'jian 裂空大剑
'lie'yan'dai 烈焰袋
'lie'yan'nv'wang 烈焰女王
'long'gong'ji'qiang'hua 龙攻击强化
'long'nai'xing'qiang'hua 龙耐性强化
'long'tou'ke 龙头壳
'luan'ya'da'jian 乱牙大剑
'luo'shi'jia'nong'gai'xu'neng'qiang'guan 落石加农改蓄能枪管
'luo'shi'jia'nong'xu'neng'qiang'guan 落石加农蓄能枪管
'ma'bi'dai 麻痹袋
'ma'bi'gong'ji'qiang'hua 麻痹攻击强化
'ma'bi'xian'jing'zhi'shu 麻痹陷阱之术
'man'long 蛮龙
'mao'che 猫车
'mei'huo'se'de'rou'pi 魅惑色的柔皮
'men'sheng'hu'shen'fu 门生护身斧
'men'sheng'miao'hu'shen'jia 门生喵护身甲
'men'sheng'miao'hu'shen'kui 门生喵护身盔
'mian'niao 眠鸟
'mian'niao'tao'zhuang 眠鸟套装
'mian'niao'wei'shi 眠鸟胃石
'mian'niao'wei'yu 眠鸟尾羽
'mian'niao'zhi'mao 眠鸟之毛
'mian'niao'zhi'zhao 眠鸟之爪
'mian'niao'zhi'zui 眠鸟之嘴
'mie'xing'long 灭星龙
'ming'dai 鸣袋
'ming'lei'long 冥雷龙
'ming'sha'tai'dao 鸣沙太刀
'ming'sha'tai'dao'gai 鸣沙太刀改
'ning'long 狞龙
'nu'lei'jian 怒雷剑
'nu'pao 弩炮
'nuo'ke'si'mian'dao 诺克斯眠刀
'nv'wu'shen'zhi'ren 女武神之刃
'pa'chong'nu'su'she'qiang'guan 爬虫弩速射枪管
'pian'shou 片手
'ping'heng 平衡
'pu'mie'ju'ren 扑灭巨刃
'qi'shi'dou'qi'chui 骑士斗气锤
'qi'shi'miao'dou'qi'jia 骑士喵斗气甲
'qi'shi'miao'dou'qi'kui 骑士喵斗气盔
'qi'zhuan'ba'qi'zhi'shu 七转八起之术
'qian'fu'ju'ren 潜伏巨刃
'qian'li'yan'zhi'shu 千里眼之术
'qiang'zou'zhi'shu 强走之术
'qing'guai'niao 青怪鸟
'qing'guai'niao'tao'zhuang 青怪鸟套装
'qing'guai'niao'zhi'er 青怪鸟之耳
'qing'guai'niao'zhi'lin 青怪鸟之鳞
'qing'guai'niao'zhi'yi 青怪鸟之翼
'qing'guai'niao'zhi'zhao 青怪鸟之爪
'qing'guai'niao'zhi'zui 青怪鸟之嘴
'qing'nu 轻弩
'qing'yi'jian 青翼剑
'quan'nai'xing'ti'sheng'zhi'shu 全耐性提升之术
'quan'shu'xing'gong'ji'qiang'hua 全属性攻击强化
'quan'shu'xing'nai'xing'qiang'hua 全属性耐性强化
'quan'yi'chang'gong'ji'qiang'hua 全异常攻击强化
'rong'yan'long 熔岩龙
'ru'qian'zhong'qiang'xu'neng'qiang'guan 入潜重枪蓄能枪管
'san'yin'qiang'gai'xu'neng'qiang'guan 散引枪改蓄能枪管
'san'yin'qiang'xu'neng'qiang'guan 散引枪蓄能枪管
'sha'dai 砂袋
'sha'e'dao 鲨颚刀
'sha'e'dao'gai 鲨颚刀改
'sha'e'dao'zhi'sha 鲨颚刀窒沙
'sha'lei'niao 沙雷鸟
'sha'lei'niao'su'nang 沙雷鸟嗉囊
'sha'lei'niao'tao'zhuang 沙雷鸟套装
'sha'lei'niao'zhi'lin 沙雷鸟之鳞
'sha'lei'niao'zhi'yi 沙雷鸟之翼
'sha'lei'niao'zhi'zhao 沙雷鸟之爪
'sha'lei'niao'zhi'zui 沙雷鸟之嘴
'sha'li'shou 沙狸兽
'sha'li'shou'ji'gu 沙狸兽脊骨
'sha'li'shou'tao'zhuang 沙狸兽套装
'sha'li'shou'tou'ke 沙狸兽头壳
'sha'li'shou'zhi'pi 沙狸兽之皮
'sha'li'shou'zhi'ya 沙狸兽之牙
'sha'li'shou'zhi'zhao 沙狸兽之爪
'sha'liu'ti 沙流薙
'sha'liu'ti'gai 沙流薙改
'sha'long'wang'bei'qi 沙龙王背鳍
'sha'long'wang'tao'zhuang 沙龙王套装
'sha'long'wang'zhi'lin 沙龙王之鳞
'sha'long'wang'zhi'pi 沙龙王之皮
'sha'long'wang'zhi'qi 沙龙王之鳍
'sha'long'wang'zhi'ya 沙龙王之牙
'sha'long'wang'zhi'zhao 沙龙王之爪
'sha'nang 沙囊
'sha'yan'long 砂岩龙
'shang'ren'hu'shen'ren 上忍护身刃
'shang'ren'miao'hu'shen'jia 上忍喵护身甲
'shang'ren'miao'hu'shen'kui 上忍喵护身盔
'she'da'jian 蛇大剑
'shi'bing'dou'qi'chui 士兵斗气锤
'shi'bing'miao'dou'qi'jia 士兵喵斗气甲
'shi'bing'miao'dou'qi'kui 士兵喵斗气盔
'shi'fan'dai'hu'shen'fu 师范代护身斧
'shi'fan'dai'miao'hu'shen'jia 师范代喵护身甲
'shi'fan'dai'miao'hu'shen'kui 师范代喵护身盔
'shi'jiang'hu'shen'fu 师匠护身斧
'shi'jiang'miao'hu'shen'jia 师匠喵护身甲
'shi'jiang'miao'hu'shen'kui 师匠喵护身盔
'shi'zi'qiang'xu'neng'qiang'guan 十字枪蓄能枪管
'shou'lie'di 狩猎笛
'shuang'dao 双刀
'shui'gong'ji'qiang'hua 水攻击强化
'shui'long 水龙
'shui'mian'dai 睡眠袋
'shui'mian'gong'ji'qiang'hua 睡眠攻击强化
'shui'nai'xing'qiang'hua 水耐性强化
'sui'long 碎龙
'ta'na'tuo'si'ren 塔纳托斯刃
'tai'dao 太刀
'tao'mao'shou'wang'ji'gu 桃毛兽王脊骨
'tao'mao'shou'wang'tao'zhuang 桃毛兽王套装
'tao'mao'shou'wang'tou'pi 桃毛兽王头皮
'tao'mao'shou'wang'zhi'mao 桃毛兽王之毛
'tao'mao'shou'wang'zhi'pi 桃毛兽王之皮
'tao'mao'shou'wang'zhi'ya 桃毛兽王之牙
'tao'mao'shou'wang'zhi'zhao 桃毛兽王之爪
'ti'li'qiang'hua 体力强化
'tie'zhu'da'jian 铁铸大剑
'tie'zhu'da'tai'dao 铁铸大太刀
'ting'jue'bao'hu'zhi'shu 听觉保护之术
'tun'long 吞龙
'tun'mo'zhong'qiang'gai'xu'neng'qiang'guan 吞没重枪改蓄能枪管
'tun'mo'zhong'qiang'xu'neng'qiang'guan 吞没重枪蓄能枪管
'tun'yuan'long 吞渊龙
'wei'chui'zhong'qiang'gai'xu'neng'qiang'guan 尾槌重枪改蓄能枪管
'wei'chui'zhong'qiang'xu'neng'qiang'guan 尾槌重枪蓄能枪管
'wei'guan'dou'qi'fu 尉官斗气斧
'wei'guan'miao'dou'qi'jia 尉官喵斗气甲
'wei'guan'miao'dou'qi'kui 尉官喵斗气盔
'wei'jing'xie 尾晶蝎
'wei'jing'xie'da'e 尾晶蝎大颚
'wei'jing'xie'jia'qiao 尾晶蝎甲壳
'wei'jing'xie'jing'shi 尾晶蝎晶石
'wei'jing'xie'tao'zhuang 尾晶蝎套装
'wei'jing'xie'ti'ye 尾晶蝎体液
'wei'jing'xie'zhi'qian 尾晶蝎之钳
'wei'jing'xie'zhi'wei 尾晶蝎之尾
'wei'jing'xie'zhi'zhao 尾晶蝎之爪
'wen'yi'shou'pao'su'she'qiang'guan 瘟疫手炮速射枪管
'wu'lei'long 舞雷龙
'wu'lian'xie 武镰蟹
'xia'long 霞龙
'xia'ren'hu'shen'ren 下忍护身刃
'xia'ren'miao'hu'shen'jia 下忍喵护身甲
'xia'ren'miao'hu'shen'kui 下忍喵护身盔
'xiang'jiao'zhi'zi'pi 橡胶质紫皮
'xiang'lian'jing'shi 项链晶石
'xiao'feng'da'jian 晓风大剑
'xiao'feng'nu'pao'su'she'qiang'guan 晓风弩炮速射枪管
'xiao'feng'tai'dao 晓风太刀
'xiao'jiang'dou'qi'fu 骁将斗气斧
'xiao'jiang'miao'dou'qi'jia 骁将喵斗气甲
'xiao'jiang'miao'dou'qi'kui 骁将喵斗气盔
'xing'long 星龙
'xing'long'bei'chi 星龙背翅
'xing'long'jia'qiao 星龙甲壳
'xing'long'tao'zhuang 星龙套装
'xing'long'yi'mo 星龙翼膜
'xing'long'zhi'jiao 星龙之角
'xing'long'zhi'lin 星龙之鳞
'xing'long'zhi'wei 星龙之尾
'xing'long'zhi'zhao 星龙之爪
'xing'zuan'shi'zi'dao 星钻十字刀
'xiong'huo'long 雄火龙
'xiong'sha'niao'hui 凶煞鸟喙
'xiong'sha'niao'hui'gai 凶煞鸟喙改
'xiong'xiao'su'she'qiang'guan 凶晓速射枪管
'xiong'zhao'jian 凶爪剑
'xiong'zhao'jian'gai 凶爪剑改
'xiu'gang'long 锈钢龙
'xuan'hua'zhi'ren 喧哗之刃
'xue'beng'zhi'ren 雪崩之刃
'xue'beng'zhi'ren'gai 雪崩之刃改
'xue'shan'zhi'lan'gai'su'she'qiang'guan 雪山之岚改速射枪管
'xue'shan'zhi'lan'su'she'qiang'guan 雪山之岚速射枪管
'xue'shi'zi'wang'tao'zhuang 雪狮子王套装
'xue'shi'zi'wang'tou'ke 雪狮子王头壳
'xue'shi'zi'wang'zhi'mao 雪狮子王之毛
'xue'shi'zi'wang'zhi'pi 雪狮子王之皮
'xue'shi'zi'wang'zhi'wei 雪狮子王之尾
'xue'shi'zi'wang'zhi'ya 雪狮子王之牙
'xue'shi'zi'wang'zhi'zhao 雪狮子王之爪
'xue'shi'zi'wang'zhi'zi 雪狮子王之髭
'xue'yi'ju'chi 血刈锯齿
'xun'long 迅龙
'yan'hong'long 炎轰龙
'yan'long 岩龙
'yan'long'bei'ke 岩龙背壳
'yan'long'du'dai 岩龙毒袋
'yan'long'jia'qiao 岩龙甲壳
'yan'long'tou'ke 岩龙头壳
'yan'long'zhi'wei 岩龙之尾
'yan'long'zhi'yi 岩龙之翼
'yan'qi'tai'dao 衍鳍太刀
'yan'shi'zi 炎狮子
'yan'zhan'tie 岩斩铁
'yi'jiao'long 一角龙
'yi'jiao'long'bei'jia 一角龙背甲
'yi'jiao'long'jia'qiao 一角龙甲壳
'yi'jiao'long'tao'zhuang 一角龙套装
'yi'jiao'long'tou'ke 一角龙头壳
'yi'jiao'long'xin'zang 一角龙心脏
'yi'jiao'long'zhi'wei 一角龙之尾
'yi'jiao'long'zhi'yi 一角龙之翼
'yin'huo'long 银火龙
'yin'mian'niao 银眠鸟
'yin'yu'shou 银羽狩
'ying'hua'di'zhi'shu 硬化笛之术
'ying'huo'long 樱火龙
'ying'ren'lie'feng 鹰刃烈风
'ying'xiong'zhi'zheng 英雄之证
'yong'gan 勇敢
'you'xian'da'xing 优先大型
'you'xian'xiao'xing 优先小型
'yu'qi'tai'dao 鱼鳍太刀
'yu'qi'tai'dao'gai 鱼鳍太刀改
'yu'shou 羽狩
'yu'shou'gai 羽狩改
'yu'wu'xiang'huang'e'long 御五相荒厄龙
'yuan'gu'da'jian 远古大剑
'yuan'gu'da'jian'gai 远古大剑改
'yue'ya'gu'dao 月牙骨刀
'zha'lie'dai 炸裂袋
'zhai'xie 砦蟹
'zhan'fu 斩斧
'zhan'gui'he'li'shou 战鬼河狸兽
'zhan'ji'fu 斩击斧
'zhan'lin'she'shou'su'she'qiang'guan 湛鳞射手速射枪管
'zhen'hong'zhi'jiao 真红之角
'zhen'jiao'hui'wu 真角挥舞
'zhi'zhan'jian'zhong'mo 雉斩剑终末
'zhong'nu 重弩
'zhong'ren'hu'shen'ren 中忍护身刃
'zhong'ren'miao'hu'shen'jia 中忍喵护身甲
'zhong'ren'miao'hu'shen'kui 中忍喵护身盔
'zhu'wang'tai'dao 蛛网太刀
'zhuan'zhu'da'xing 专注大型
'zhuan'zhu'xiao'xing 专注小型
'zi'du'dai 紫毒袋
'zi'du'niao 紫毒鸟
'zi'du'niao'guang'shui'jing 紫毒鸟光水晶
'zi'du'niao'tao'zhuang 紫毒鸟套装
'zi'du'niao'tou'ke 紫毒鸟头壳
'zi'du'niao'zhi'yi 紫毒鸟之翼
'zi'du'niao'zhi'zui 紫毒鸟之嘴
'zi'lu'lian'dao 紫鹭镰刀
'zi'ran'hui'fu'di'zhi'shu 自然回复笛之术
'zong'mao'nu'pao'su'she'qiang'guan 鬃毛弩炮速射枪管
