'ban'jing 半径
'li'lun'jing'ya'neng'liang'tou 理论静压能量头
'li'lun'neng'liang'tou 理论能量头
'li'xiang'qi'ti 理想气体
'li'xin'feng'ji 离心风机
'lian'he'yun'xing 联合运行
'lian'zhou'qi'hu'zhao 联轴器护罩
'liang'tai'yi'shang'feng'ji'de'chuan'lian'huo'bing'lian'yun'xing 两台以上风机的串联或并联运行
'lin'jie 临界
'lin'jie'zhuan'su 临界转速
'liu'dong'sun'shi 流动损失
'liu'dong'xian'shi'qi 流动显示器
'liu'liang 流量
'liu'liang'xi'shu 流量系数
'lun'gai 轮盖
'lun'gu 轮毂
'lun'gu'bi 轮毂比
'lun'pan 轮盘
'lun'zu 轮阻
'lun'zu'sun'shi 轮阻损失
'lun'zu'xi'shu 轮阻系数
'mao'jie'ye'lun 铆接叶轮
'mi'du 密度
'mi'feng'gao'wei'you'xiang 密封高位油箱
'mi'feng'you'gao'wei'you'xiang 密封油高位油箱
'mi'feng'you'xi'tong 密封油系统
'mi'gong'mi'feng 迷宫密封
'mian'ji 面积
'mo'cha'sun'shi 摩檫损失
'mo'duan'leng'que'qi 末端冷却器
'mo'hua'shi'yan 模化试验
'mou'yi'dian'mou'jie'mian 某一点某截面
'nao'xing'zhi'zuo 挠性支座
'nao'xing'zhuan'zi 挠性转子
'nei'bu 内部
'nei'gong'lv 内功率
'nei'gong'lv'xi'shu 内功率系数
'nei'ji'ke 内机壳
'nei'xiao'lv 内效率
'nei'xie'lou 内泄漏
'neng'liang'tou'xi'shu 能量头系数
'niu'zhen 扭振
'pai'qi'jie'liu'tiao'jie 排气节流调节
'pan'che 盘车
'pan'che'zhuang'zhi 盘车装置
'pan'gu'shi 盘鼓式
'pan'gu'shi'zhuan'zi 盘鼓式转子
'pan'zhou'shi'zhuan'zi 盘轴式转子
'pang'tong'tiao'jie 旁通调节
'pei'zhong 配重
'pen'zui 喷咀
'pen'zui 喷嘴
'ping'ban'ye'pian 平板叶片
'ping'heng 平衡
'ping'heng'kuai 平衡块
'ping'heng'pan 平衡盘
'ping'heng'qi'guan 平衡气管
'ping'heng'qiang 平衡腔
'ping'mian'ye'zha 平面叶栅
'qi'dong'yu'ji'he'can'shu 气动与几何参数
'qi'liu'luo'hou'jiao 气流落后角
'qi'liu'zhe'zhuan'jiao 气流折转角
'qi'liu'zhuan'zhe'jiao 气流转折角
'qi'mi'xing'shi'yan 气密性试验
'qi'ti'chang'shu 气体常数
'qi'ti'zai'ye'lun'zhong'de'dao'de 气体在叶轮中得到的
'qi'ye'fen'li'qi 气液分离器
'qian'ji'ke 前机壳
'qian'liu 潜流
'qian'xiang'ye'pian 前向叶片
'qian'yuan'dian 前缘点
'qian'yuan'fang'xiang'jiao 前缘方向角
'qie'xiang'su'du 切向速度
'qie'yu'yi'xing'ao'mian'de'qie'xian'cheng'wai'xian 切于翼型凹面的切线称外弦
'quan'bi 全闭
're'li'xue'shi'du 热力学湿度
'rong'ji'de 容积的
'rong'ji'liu'liang 容积流量
'run'hua'you'xi'tong 润滑油系统
'san'yuan'ye'pian 三元叶片
'shang'ji'ke 上机壳
'sheng'ya 升压
'shi'ji'qi'ti 实际气体
'shi'kong'qi 湿空气
'shi'yan'tai 试验台
'shuang'lie'ye'zha 双列叶栅
'shuang'xi'ru 双吸入
'shuang'zhi'cheng'shi 双支承式
'shui'feng 水封
'shui'ping'pou'fen'xing 水平剖分型
'shuo'ming 说明
'song'dong'zhuan'su 松动转速
'su'du'san'jiao'xing 速度三角形
'suo'kou'jian 锁口件
'tan'xing'zhi'zuo 弹性支座
'te'zheng'chi'cun 特征尺寸
'tian'liao'mi'feng 填料密封
'tiao'jie'qi 调节器
'tiao'jie'xi'tong 调节系统
'tiao'jie'you'xi'tong 调节油系统
'tiao'zha 跳闸
'tiao'zha'zhuan'su 跳闸转速
'tiao'zheng'dian'pian 调整垫片
'tiao'zheng'luo'ding 调整螺钉
'tiao'zheng'xuan'zhuan'jian'de'zhi'liang'fen'bu 调整旋转件的质量分布
'ting'che'dian 停车点
'tong'feng'ji 通风机
'tong'feng'ji'de'zhou'gong'lv 通风机的轴功率
'tong'feng'ji'dong'ya 通风机动压
'tong'feng'ji'jing'ya 通风机静压
'tong'feng'ji'jing'ya'yu'zhi'bi 通风机静压与之比
'tong'feng'ji'jing'zhou'xiao'lv 通风机静轴效率
'tong'feng'ji'nei'gong'lv 通风机内功率
'tong'feng'ji'xiao'lv 通风机效率
'tong'feng'ji'ya'li 通风机压力
'tong'feng'ji'zhou'gong'lv 通风机轴功率
'tong'feng'ji'zhou'xiao'lv 通风机轴效率
'tong'feng'ji'zong'xiao'lv 通风机总效率
'tou'ping 透平
'tou'ping'gu'feng'ji 透平鼓风机
'tou'ping'ya'suo'ji 透平压缩机
'tuo'qi'cao 脱气槽
'wai'ji'ke 外机壳
'wai'xie'lou 外泄漏
'wan'dao 弯道
'wan'du 弯度
'wan'du'de'zui'da'zhi 弯度的最大值
'wan'du'yu'xian'chang'zhi'bi 弯度与弦长之比
'wan'zhen 弯振
'wen'ding'gong'zuo'qu 稳定工作区
'wen'ding'xing 稳定性
'wen'du 温度
'wo'ke 蜗壳
'wo'ke 窝壳
'wu'ye'kuo'ya'qi 无叶扩压器
'wu'yin'ci'xing'neng'qu'xian 无因次性能曲线
'xi'lie'zong'he'xing'neng'qu'xian 系列综合性能曲线
'xi'zhi'ye'lun 铣制叶轮
'xia'ji'ke 下机壳
'xian'chang 弦长
'xiang'dui'hou'du 相对厚度
'xiang'dui'kuan'du 相对宽度
'xiang'dui'su'du 相对速度
'xiang'dui'wan'du 相对弯度
'xiang'dui'zha'ju 相对栅距
'xiang'dui'zha'ju'de'dao'shu 相对栅距的倒数
'xiang'si'she'ji 相似设计
'xiao'sheng'qi 消声器
'xie'liu'feng'ji 斜流风机
'xie'lou 泄漏
'xie'lou'sun'shi 泄漏损失
'xie'lou'xi'shu 泄漏系数
'xing'neng 性能
'xing'neng'qu'xian 性能曲线
'xing'neng'shi'yan 性能试验
'xing'shi'shi'yan 型式试验
'xu'neng'qi 蓄能器
'xuan'bi'shi 悬臂式
'xuan'feng'fen'li'qi 旋风分离器
'xuan'wo'gu'feng'ji 旋涡鼓风机
'xuan'ze'xing'neng'qu'xian 选择性能曲线
'xuan'zhuan'tuo'li 旋转脱离
'xuan'zhuan'tuo'liu 旋转脱流
'ya'li 压力
'ya'li'bi 压力比
'ya'li'shi'yan 压力试验
'ya'li'xi'shu 压力系数
'ya'li'you'xiang 压力油箱
'ya'suo'ji 压缩机
'ya'suo'ji'e'ding'dian 压缩机额定点
'ya'suo'xing'xi'shu 压缩性系数
'ya'suo'xing'xiu'zheng'xi'shu 压缩性修正系数
'yan'yi'xian'fang'xiang'zui'da'wan'du'chu 沿翼弦方向最大弯度处
'ye'gen 叶根
'ye'lun 叶轮
'ye'pan 叶盘
'ye'pian 叶片
'ye'pian'an'zhuang'jiao 叶片安装角
'ye'pian'gao'du 叶片高度
'ye'pian'hou'du 叶片厚度
'ye'pian'hou'du'de'zui'da'zhi 叶片厚度的最大值
'ye'pian'kuo'ya'qi 叶片扩压器
'ye'pian'pin'lv 叶片频率
'ye'xing 叶型
'ye'xing'nei'qie'yuan'zhi'jing 叶型内切圆直径
'ye'zha 叶栅
'ye'zha'e'xian 叶栅额线
'ye'zha'e'xian'wei'zhi'xian'de'ye'zha 叶栅额线为直线的叶栅
'yi'cheng'wei'tong'xing 亦称为筒型
'yi'xian 翼弦
'yi'xian'de'chang'du 翼弦的长度
'yi'xian'de'hou'duan'dian 翼弦的后端点
'yi'xian'de'qian'duan'dian 翼弦的前端点
'yi'xian'tong'chang'zhi'nei'xian 翼弦通常指内弦
'yi'xing'an'zhuang'jiao 翼型安装角
'yi'xing'wan'qu'jiao 翼型弯曲角
'yi'xing'ye'pian 翼型叶片
'yi'xing'zhong'xian 翼型中线
'yi'xing'zhong'xian'dao'yi'xian'jian'de'ju'li 翼型中线到翼弦间的距离
'yi'yi 意义
'ying'wen 英文
'yong'yu'jiao'biao'zi'mu'yu'shu'zi 用于脚标字母与数字
'you'jing'hua'qi 油净化器
'you'lu'xi'tong 油路系统
'you'xiao 有效
'you'zhan 油站
'yuan'dong'ji'de'shu'chu'gong'lv 原动机的输出功率
'yuan'hu'ye'pian 圆弧叶片
'yuan'zhou'de 圆周的
'yuan'zhou'su'du 圆周速度
'yun'dong'nian'xing'xi'shu 运动粘性系数
'yun'dong'xiang'si 运动相似
'yun'xing'shi'yan 运行试验
'yun'xu'de'zui 允许的最
'yun'xu'de'zui'gao'gong'zuo'ya'li 允许的最高工作压力
'yun'xu'de'zui'gao'wen'du 允许的最高温度
'yun'zhuan'shi'de'mo'cha'sun'shi 运转时的摩檫损失
'zai'qi'chu'kou'fa'lan'chu'de 在其出口法兰处的
'zha'ju 栅距
'zha'ju'yu'xian'chang'zhi'bi 栅距与弦长之比
'zhan'xian'bi 展弦比
'zhao'zheng 找正
'zhen'kong'shi'yan 真空试验
'zheng'chang'yun'xing'dian 正常运行点
'zheng'chang'zhuan'su 正常转速
'zheng'liu'qi 整流器
'zheng'ti'zu'zhuang'xing 整体组装型
'zhi'jing'bi 直径比
'zhi'liang 质量
'zhi'liang'liu'liang 质量流量
'zhi'lie'ye'zha 直列叶栅
'zhi'liu'ya'li 滞留压力
'zhi'qian'yuan'dian'de'ju'li 至前缘点的距离
'zhi'tui 支腿
'zhi'zhi 滞止
'zhong'ji'ke 中机壳
'zhong'jian'leng'que'qi 中间冷却器
'zhou'de 轴的
'zhou'duan'mi'feng 轴端密封
'zhou'gong'lv 轴功率
'zhou'liu'feng'ji 轴流风机
'zhou'liu'tiao'jie'men 轴流调节门
'zhou'pan 轴盘
'zhou'pan'shi'zhuan'zi 轴盘式转子
'zhou'su'xi'shu 周速系数
'zhou'tao 轴套
'zhou'xiang 轴向
'zhou'xiang'feng'ji 轴向风机
'zhou'xiang'su'du 轴向速度
'zhou'xiang'tiao'jie'men 轴向调节门
'zhu'shui'zhuang'zhi 注水装置
'zhu'zao'ye'lun 铸造叶轮
'zhu'zhou 主轴
'zhuan'dong'ye'pian'tiao'jie 转动叶片调节
'zhuan'gu 转鼓
'zhuan'su 转速
'zhuan'yong'gong'ju 专用工具
'zhuan'zi 转子
'zhuang'zhi 装置
'zhuang'zhi'de 装置的
'zhuang'zhi'xiao'lv 装置效率
'zhuang'zhi'zhou'gong'lv 装置轴功率
'zi'dong'mo'hua 自动模化
'zi'liao'xing'fu'lu 资料性附录
'zi'wu'jia'su'zhou'liu'tong'feng'ji 子午加速轴流通风机
'zi'wu'su'du 子午速度
'zi'you'pai'qi 自由排气
'zong'de 总的
'zui'da'hou'du'wei'zhi 最大厚度位置
'zui'da'wan'du 最大弯度
'zui'da'wan'du'wei'zhi 最大弯度位置
'zui'da'ye'pian'hou'du 最大叶片厚度
'zui'di'lian'xu'zhuan'su 最低连续转速
'zui'di'yun'xu'zhuan'su 最低允许转速
'zui'gao'lian'xu'zhuan'su 最高连续转速
'zui'gao'mi'feng'ya'li 最高密封压力
