'ba'chuang'ta'piao'qi 把床榻漂起
'wo'jiu'jiang'lie'guo'ci'ni'wei'ji'ye 我就将列国赐你为基业
'wo'ruo'yi'e'bao'na'yu'wo'jiao'hao'de'ren 我若以恶报那与我交好的人
'wo'xin'ye'da'da'de'jing'huang 我心也大大地惊惶
'wo'yao'zhao'zhe'ye'he'hua'de'gong'yi'cheng'xie'ta 我要照着耶和华的公义称谢他
'wo'yi'jing'li'wo'de'jun'zai'xi'an'wo'de'sheng'shan'shang'le 我已经立我的君在锡安我的圣山上了
'wo'yin'ai'heng'er'kun'fa 我因唉哼而困乏
'wo'yin'you'chou'yan'jing'gan'bie 我因忧愁眼睛干瘪
'wo'yong'wo'de'sheng'yin'qiu'gao'ye'he'hua 我用我的声音求告耶和华
'xian'zai'ni'men'jun'wang'ying'dang'xing'wu 现在你们君王应当省悟
'xiang'ye'he'hua'chang'de'liu'li'ge 向耶和华唱的流离歌
'yao'di'dang'ye'he'hua 要敌挡耶和华
'ye'bu'yao'zai'lie'nu'zhong'cheng'fa'wo 也不要在烈怒中惩罚我
'ye'he'hua'bi'shou'na'wo'de'dao'gao 耶和华必收纳我的祷告
'ye'he'hua'ceng'dui'wo'shuo 耶和华曾对我说
'ye'he'hua'ting'le'wo'de'ken'qiu 耶和华听了我的恳求
'ye'he'hua'xiang'zhong'min'shi'xing'shen'pan 耶和华向众民施行审判
'ye'zi'ye'bu'ku'gan 叶子也不枯干
'yin'wei'du'you'ni'ye'he'hua'shi'wo'an'ran'ju'zhu 因为独有你耶和华使我安然居住
'yin'wei'gong'yi'de'shen'cha'yan'ren'de'xin'chang'fei'fu 因为公义的神察验人的心肠肺腑
'yin'wei'ni'bi'ci'fu'yu'yi'ren 因为你必赐福与义人
'yin'wei'ni'bu'shi'xi'yue'e'shi'de'shen 因为你不是喜悦恶事的神
'yin'wei'ni'da'le'wo'yi'qie'chou'di'de'sai'gu 因为你打了我一切仇敌的腮骨
'yin'wei'ta'de'nu'qi'kuai'yao'fa'zuo 因为他的怒气快要发作
'yin'wei'ta'men'de'kou'zhong'mei'you'cheng'shi 因为他们的口中没有诚实
'yin'wei'ye'he'hua'ting'le'wo'ai'ku'de'sheng'yin 因为耶和华听了我哀哭的声音
'yin'wei'ye'he'hua'zhi'dao'yi'ren'de'dao'lu 因为耶和华知道义人的道路
'yin'wei'zai'si'di'wu'ren'ji'nian'ni 因为在死地无人记念你
'you'dang'cun'zhan'jing'er'kuai'le 又当存战兢而快乐
'you'shi'jiao'wo'tai'qi'tou'lai'de 又是叫我抬起头来的
'you'shi'tian'tian'xiang'e'ren'fa'nu'de'shen 又是天天向恶人发怒的神
'you'xu'duo'ren'qi'lai'gong'ji'wo 有许多人起来攻击我
'you'xu'duo'ren'yi'lun'wo'shuo 有许多人议论我说
'you'yin'wo'yi'qie'de'di'ren'yan'jing'hun'hua 又因我一切的敌人眼睛昏花
'you'yuan'na'ai'ni'ming'de'ren 又愿那爱你名的人
'yuan'e'ren'de'e'duan'jue 愿恶人的恶断绝
'yuan'ni'ci'fu'gei'ni'de'bai'xing 愿你赐福给你的百姓
'yuan'ni'cong'qi'shang'gui'yu'gao'wei 愿你从其上归于高位
'yuan'ni'jian'li'yi'ren 愿你坚立义人
'yuan'ni'zai'ta'men'xu'duo'de'guo'fan'zhong 愿你在他们许多的过犯中
'yuan'ta'men'yin'zi'ji'de'ji'mou'die'dao 愿他们因自己的计谋跌倒
'yuan'zhong'min'de'hui'huan'rao'ni 愿众民的会环绕你
'zai'lie'nu'zhong'jing'xia'ta'men 在烈怒中惊吓他们
'zai'yin'jian'you'shui'cheng'xie'ni 在阴间有谁称谢你
'zao'chen'ni'bi'ting'wo'de'sheng'yin 早晨你必听我的声音
'zao'chen'wo'bi'xiang'ni'chen'ming'wo'de'xin'yi 早晨我必向你陈明我的心意
'zhe'ren'bian'wei'you'fu 这人便为有福
'zhu'bi'chi'xiao'ta'men 主必嗤笑他们
'zui'ren'zai'yi'ren'de'hui'zhong 罪人在义人的会中
