'a'duo'nuo 阿多诺
'ke'xue'xing 科学性
'ke'xue'zhi'ke'xue 科学之科学
'ke'zhi'lun 可知论
'kong'xiang'she'hui'zhu'yi 空想社会主义
'la'bu'li'ao'la 拉布里奥拉
'la'fa'ge 拉法格
'lai'yin'bao 莱茵报
'li'bu'ke'nei'xi 李卜克内西
'li'shi'fan'chou 历史范畴
'li'shi'wei'wu'zhu'yi 历史唯物主义
'li'xing'ju'ti 理性具体
'li'xing'ren'shi 理性认识
'lian'he'ti 联合体
'liang'dian'lun 两点论
'lu'ge 卢格
'lu'ka'qi 卢卡奇
'lu'sen'bao 卢森堡
'ma'er'ku'sai 马尔库塞
'man'hai'mu 曼海姆
'mao'dun 矛盾
'neng'dong'xing 能动性
'ou'ran'xing 偶然性
'ou'wen 欧文
'pu'lie'han'nuo'fu 普列汉诺夫
'pu'lu'dong 普鲁东
'pu'na'lu'ya 普纳路亚
'pu'su'bian'zheng'fa 朴素辩证法
'pu'su'wei'wu'zhu'yi 朴素唯物主义
'qi'ze'ke 齐泽克
'qing'nian'hei'ge'er'pai 青年黑格尔派
'qun'zhong'guan'dian 群众观点
'qun'zhong'lu'xian 群众路线
'ren'de'ben'zhi 人的本质
'ren'kou'yin'su 人口因素
'sa'te 萨特
'sha'fu 沙夫
'shang'ceng'jian'zhu 上层建筑
'she'hui'ge'ming 社会革命
'she'hui'wu'zhi'sheng'huo'tiao'jian 社会物质生活条件
'she'hui'xin'li 社会心理
'she'hui'xing'tai 社会形态
'she'hui'yi'shi'xing'shi 社会意识形式
'sheng'chan'fang'shi 生产方式
'sheng'chan'guan'xi 生产关系
'sheng'chan'li 生产力
'sheng'chan'shi'jian 生产实践
'sheng'xi'men 圣西门
'sheng'yu'jia'zhi 剩余价值
'shi'di'na 施蒂纳
'shi'jian'xing 实践性
'shi'te'lao'si 施特劳斯
'si'da'lin 斯大林
'si'xiang'dou'zheng 思想斗争
'si'xiang'zheng'zhi 思想政治
'si'you'zhi 私有制
'sou'ji'cai'liao 搜集材料
'suo'you'zhi 所有制
'tai'le'si 泰勒斯
'tong'yi'xing 同一性
'wei'li'lun 唯理论
'wei'ming'lun 唯名论
'wei'shi'lun 唯实论
'wei'te'lin 魏特林
'wei'wu'bian'zheng'fa 唯物辩证法
'wei'wu'shi'guan 唯物史观
'wei'wu'zhu'yi 唯物主义
'wei'xin'bian'zheng'fa 唯心辩证法
'wei'xin'shi'guan 唯心史观
'wei'xin'zhu'yi 唯心主义
'wei'yi'zhe 唯一者
'wen'hua'zheng'zhi'xue 文化政治学
'wu'chan'jie'ji'zhuan'zheng 无产阶级专政
'wu'hua 物化
'wu'tuo'bang 乌托邦
'wu'xian'xing 无限性
'wu'zhi 物质
'xian'shi'xing 现实性
'xian'yan'lun 先验论
'xiang'dui'zhen'li 相对真理
'xiang'dui'zhu'yi 相对主义
'xie'lin 谢林
'xing'er'shang'xue'wei'wu'zhu'yi 形而上学唯物主义
'xing'shi'zhi'liao'shuo 形式质料说
'yang'qi 扬弃
'yi'shi 意识
'yi'shi'xing'tai 意识形态
'you'xian'xing 有限性
'yu'zhou'guan 宇宙观
'yu'zhou'zhi'zhuan 宇宙之砖
'zhe'xue 哲学
'zhe'zhong'zhu'yi 折衷主义
'zhen'li'xing 真理性
'zhen'zheng'de'she'hui'zhu'yi 真正的社会主义
'zheng'li'cai'liao 整理材料
'zheng'zhi'dou'zheng 政治斗争
'zheng'zhi'shang'ceng'jian'zhu 政治上层建筑
'zheng'zhi'zhe'xue 政治哲学
'zhi'shi'she'hui'xue 知识社会学
'zhong'dian'lun 重点论
'zhu'yao'mao'dun 主要矛盾
'zhu'yao'mao'dun'fang'mian 主要矛盾方面
'zi'ran'guan 自然观
'zi'ran'zhe'xue 自然哲学
'zi'wo'yi'shi 自我意识
'zi'you'wang'guo 自由王国
