'a'bao 阿宝
'lin'xi 林希
'ling'yun'che 凌云彻
'ling'zhi 菱枝
'liu'jia 刘佳
'liu'lian'zi 流潋紫
'liu'mei'tong 刘美彤
'liu'tong'xun 刘统勋
'liu'ze'yu 刘泽宇
'liu'zi'kai 刘子恺
'lu'chang'zai 陆常在
'lu'mu'ping 陆沐萍
'lu'mu'ping'shi'nv 陆沐萍侍女
'ma'bai'quan 马柏全
'ma'bo 马波
'ma'lan 马兰
'ma'qi'yue 马启越
'ma'wei'fu 马维福
'ma'ya'nan 马亚楠
'mao'qian 茂倩
'mei'pin 玫嫔
'mei'ruo 湄若
'mei'ruo'shi'nv 湄若侍女
'meng'xiu 孟秀
'meng'zhao'zhong 孟召重
'min'chun'xiao 闵春晓
'mo'xin 茉心
'na'er'bu 那尔布
'na'fu'ren 那夫人
'ne'qin 讷亲
'niu'hu'lu 钮祜禄
'ping'da'ying 平答应
'qi'huan 齐欢
'qi'ru 齐汝
'qian'long'huang'di 乾隆皇帝
'qian'shuang'xi 钱双喜
'qiang'tou'ma'shang'yao'xiang'gu 墙头马上遥相顾
'qin'li 秦立
'qin'tian'jian 钦天监
'qin'wang'fu'jin 亲王福晋
'qin'yan 秦焰
'qing'gong'huang'gui'fei 庆恭皇贵妃
'qing'ying 青樱
'qing'you 庆佑
'qu'chu'xiao 屈楚萧
'qu'rong 瞿融
'rong'fei 容妃
'rong'pei 容珮
'rong'zi'shan 荣梓杉
'rou'shu'zhang'gong'zhu 柔淑长公主
'ru'yi 如懿
'ru'yi'chuan 如懿传
'rui'gui'ren 瑞贵人
'san'bao 三宝
'shao'nian'hong'li 少年弘历
'shao'nian'hong'shi 少年弘时
'shao'nian'jing'se 少年璟瑟
'shao'nian'qing'ying 少年青樱
'shao'nian'yong'cheng 少年永诚
'shao'nian'yong'huang 少年永璜
'shao'nian'yong'qi 少年永琪
'shao'nian'yong'qi 少年永璂
'shao'nian'yong'zhang 少年永璋
'shen'bao'ping 沈保平
'shen'pin 慎嫔
'shi'min 石敏
'shu'fei 舒妃
'shu'jia'huang'gui'fei 淑嘉皇贵妃
'shuang'ying 双影
'shui'ling'long 水玲珑
'shui'zhi 水芝
'shun'xin 顺心
'song'jia'teng 宋家腾
'song'qing'lin 宋庆琳
'su'lian 素练
'su'lv'jun 苏绿筠
'su'pei'sheng 苏培盛
'su'yun 俗云
'sun'wen'ting 孙文婷
'suo'chuo'lun 索绰伦
'suo'xin 惢心
'tang'jia'ze 唐嘉泽
'tao'er 桃儿
'teng'ai'hong 腾爱弘
'tian'miao 田淼
'tian'mo'mo 田嬷嬷
'tian'yun'jiao 田芸角
'tong'yao 童瑶
'tu'yu'fang 涂玉芳
'wan'gui'fei 婉贵妃
'wang'chan 王蟾
'wang'chun 王纯
'wang'fu'zhi 汪芙芷
'wang'he'run 王鹤润
'wang'jian'dong 王柬东
'wang'jin'song 王劲松
'wang'jun 汪俊
'wang'liang'ya 王靓雅
'wang'liu'sheng 王留胜
'wang'mian 王冕
'wang'pei'dong 王培栋
'wang'qin 王钦
'wang'quan'you 王全有
'wang'wei 王伟
'wang'xiao 王啸
'wang'xiao'cheng 王小橙
'wang'zhi'min 王之民
'wang'zi'wen 王梓芠
'wei'fu'ren 魏夫人
'wei'yan'wan 魏嬿婉
'wu'fu 五福
'wu'jun'mei 邬君梅
'wu'la'na'la 乌拉那拉
'wu'qian 吴倩
'wu'ya 乌雅
'wu'yu'jue 吴雨珏
'wu'ze'jin'xi 武泽锦熙
'xi'chang'zai 禧常在
'xi'lin'jue'luo'shi 西林觉罗氏
'xi'po 喜珀
'xia'nan 夏楠
'xia'yu'xia 夏瑜霞
'xiao'an'zi 小安子
'xiao'fu'zi 小福子
'xiao'lei'zi 小磊子
'xiao'li'zi 小栗子
'xiao'lu'zi 小禄子
'xiao'sheng'xian'huang'hou 孝圣宪皇后
'xiao'xian'chun'huang'hou 孝贤纯皇后
'xiao'yi'chun'huang'hou 孝仪纯皇后
'xin'yan 新燕
'xin'zhi'lei 辛芷蕾
'xing'xuan 星璇
'xiu'chang'zai 秀常在
'xiu'xia 绣夏
'xu'an 徐安
'xu'ling'chen 徐凌晨
'xu'tai'yi 许太医
'xu'wang'zi 徐王子
'xu'xiao'yu 许晓宇
'xu'zhi'ming 徐志明
'xuan'lu 宣璐
'yan'gong'nv 妍宫女
'yang'liu 杨柳
'yang'shuo 杨烁
'yang'yang 杨阳
'ye'he'na'la 叶赫那拉
'ye'kai'wen 叶恺文
'ye'sheng'tong 叶晟彤
'ye'xin 叶心
'yi'huan 意欢
'yi'jian'zhi'jun'ji'duan'chang 一见知君即断肠
'yi'la'li'shi 伊拉里氏
'yi'pin 仪嫔
'yi'xiu 宜修
'yin'zhen 胤禛
'ying'gui'fei 颖贵妃
'yong'cheng 永珹
'yong'huang 永璜
'yong'lian 永琏
'yong'qi 永琪
'yong'qi 永璂
'yong'rong 永瑢
'yong'xing 永瑆
'yong'xuan 永璇
'yong'zheng'huang'di 雍正皇帝
'you'nian'yong'cheng 幼年永诚
'you'nian'yong'huang 幼年永璜
'you'nian'yong'qi 幼年永琪
'you'nian'yong'qi 幼年永璂
'you'nian'yong'rong 幼年永瑢
'you'nian'yong'xing 幼年永瑆
'you'nian'yong'yan 幼年永琰
'yu'fei 豫妃
'yu'gui'fei 愉贵妃
'yu'hu 毓瑚
'yu'qian'shi'wei 御前侍卫
'yu'shao'qun 余少群
'yu'tong 俞瞳
'yu'yao 于垚
'yu'zi'yang 于子洋
'yuan'wen'kang 袁文康
'yuan'yi'yi 袁祎一
'yun'zhi 芸枝
'ze'zhi 泽芝
'zeng'yi'xuan 曾一萱
'zha'qi 扎齐
'zhang'feng'yi 张丰毅
'zhang'jia'ning 张佳宁
'zhang'jin'ze 张津泽
'zhang'ju'ju 张举举
'zhang'jun'ning 张钧甯
'zhang'meng'han 张梦寒
'zhang'ting'yu 张廷玉
'zhang'xiao'lin 张晓林
'zhang'xin'ying 张歆莹
'zhang'yan'yan 张棪琰
'zhang'yao'yang 张耀阳
'zhang'yu'xi 张予曦
'zhao'jing 赵菁
'zhao'jiu'xiao 赵九霄
'zhao'ke 赵柯
'zhao'ruo'xi 赵若汐
'zhao'tai'yi 赵太医
'zhao'yi'tai 赵一泰
'zhe'min'huang'gui'fei 哲悯皇贵妃
'zhen'huan 甄嬛
'zhen'shu 贞淑
'zheng'shui'jing 郑水晶
'zhong'wei'hua 钟卫华
'zhou'xiao'qin 周笑琴
'zhou'xun 周迅
'zhu'jue 朱珏
'zhu'yan 朱晏
'zhuang'su 庄苏
'zuo'lu 佐禄
