'an'ji'shu'fen'bu 按极数分布
'dian'shu 电枢
'dian'shu'ci'shi'bo 电枢磁势波
'dian'shu'dian'lu 电枢电路
'dian'shu'dian'shi 电枢电势
'dian'shu'nei'jing 电枢内径
'dian'shu'tie'xin'mi'du 电枢铁芯密度
'dian'shu'tie'xin'zhong'liang 电枢铁芯重量
'dian'shu'wai'dian'lu 电枢外电路
'dian'shu'xian'quan 电枢线圈
'dian'wang 电网
'dian'wei'fen'bu 电位分布
'dian'xian 电线
'dian'ya 电压
'dian'ya'deng'ji 电压等级
'dian'ya'hu'gan'qi 电压互感器
'dian'ya'jiang 电压降
'dian'ya'kong'zhi'xi'tong 电压控制系统
'dian'ya'wen'ding 电压稳定
'dian'yong 电泳
'dian'yuan'pin'lv 电源频率
'dian'zu 电阻
'dian'zu'lv 电阻率
'die'pian 叠片
'die'pian'tie'xin 叠片铁芯
'ding'wei'xiao 定位销
'ding'zhuan'zi'die'hou 定转子叠厚
'ding'zi 定子
'ding'zi'can'shu 定子参数
'ding'zi'cao'shu 定子槽数
'ding'zi'cao'xing 定子槽型
'ding'zi'cao'xing 定子槽形
'ding'zi'chi'chang 定子齿长
'ding'zi'chi'ci'mi 定子齿磁密
'ding'zi'chi'ju 定子齿距
'ding'zi'chi'kuan 定子齿宽
'ding'zi'chong'pian 定子冲片
'ding'zi'chong'pian'xing'zhuang 定子冲片形状
'ding'zi'e'chang 定子轭长
'ding'zi'e'ci'mi 定子轭磁密
'ding'zi'e'gao 定子轭高
'ding'zi'jing'zhong 定子净重
'ding'zi'nei'jing 定子内径
'ding'zi'pian 定子片
'ding'zi'rao'zu 定子绕组
'ding'zi'tie'sun'xi'shu 定子铁损系数
'ding'zi'tie'xin 定子铁芯
'ding'zi'tie'xin'zhuang'pei 定子铁芯装配
'ding'zi'tie'xin'zi'mao 定子铁芯自铆
'ding'zi'wai'jing 定子外径
'ding'zi'xiao'cao'shu 定子小槽数
'ding'zi'xie'cao'kuan'du 定子斜槽宽度
'ding'zi'zhong'cao'shu 定子中槽数
'ding'zi'zhuang'pei 定子装配
'dong'ping'heng 动平衡
'dong'tai 动态
'dong'tai'xiang'ying 动态响应
'dong'tai'yun'xing 动态运行
'du'xin'liu'jiao'luo'mu 镀锌六角螺母
'du'zhuan 堵转
'du'zhuan'xian'dian'liu 堵转线电流
'du'zhuan'zhuan'ju 堵转转矩
'du'zhuan'zhuan'ju'bei'shu 堵转转矩倍数
'duan'bu'cao'xie'chen'dian 端部槽楔衬垫
'duan'dian'ya 端电压
'duan'gai 端盖
'duan'gai'jia'gong 端盖加工
'duan'gai'luo'ding'zhuang'pei 端盖螺钉装配
'duan'gai'zhuang'pei 端盖装配
'duan'gai'zu'jian 端盖组件
'duan'huan 端环
'duan'huan'dian'liu 端环电流
'duan'huan'dian'mi 端环电密
'duan'huan'hou'du 端环厚度
'duan'huan'jie'mian'ji 端环截面积
'duan'huan'jing'xiang'kuan'du 端环径向宽度
'duan'huan'nei'jing 端环内径
'duan'huan'wai'jing 端环外径
'duan'huan'zhong'jing 端环中径
'duan'huan'zhou'xiang'gao'du 端环轴向高度
'duan'lu'huan 短路环
'duan'lu'qi 断路器
'duan'zi 端子
'duan'zi'ban'zhuang'pei 端子板装配
'duan'zi'luo'ding'zu'jian 端子螺钉组件
'duan'zi'pian 端子片
'dui'chen'qie'bian 对称切边
'duo'xiang'de 多相的
'duo'xiang'zheng'liu'qi 多相整流器
'e'bu 轭部
'e'ding 额定
'e'ding'dian'ya 额定电压
'e'ding'fu'zai 额定负载
'e'ding'gong'lv 额定功率
'e'ding'shu'chu'gong'lv 额定输出功率
'e'ding'xiao'lv'she'ji'zhi 额定效率设计值
'e'ding'yun'xing 额定运行
'e'ding'zhi'biao 额定指标
'e'ding'zhuan'cha'lv 额定转差率
'e'ding'zhuan'ju 额定转矩
'e'ding'zhuan'su 额定转速
'er'xian'zhi 二线制
'fa'dian 发电
'fa'dian'chang 发电厂
'fa'dian'ji 发电机
'fa'dian'ji'dian'ya 发电机电压
'fa'dian'ji'gai 发电机盖
'fa'dian'ji'gou'jia 发电机构架
'fa'dian'ji'pi'dai'lun 发电机皮带轮
'fa'dian'ji'tiao'jie'qi 发电机调节器
'fa'dian'ji'zhi'jia 发电机支架
'fa'guang'er'ji'guan 发光二极管
'fa'she'guan 发射管
'fan'dian'dong'shi 反电动势
'fan'kui'hui'lu 反馈回路
'fan'kui'xi'tong 反馈系统
'fan'kui'xin'hao 反馈信号
'fan'kui'yuan'jian 反馈元件
'fan'xiang 反相
'fan'xiang'zhi'dong 反向制动
'fang'chen'gai 防尘盖
'fang'hu'deng'ji 防护等级
'fang'hu'gai 防护盖
'fang'kuang'tu 方框图
'fang'song'dian'quan 防松垫圈
'fang'zhen'fen'xi 仿真分析
'fen'jie'tou 分接头
'fen'lu'qi 分路器
'fen'ma'li'dian'ji 分马力电机
'feng'dong'fa'dian'ji 风动发电机
'feng'liang 风量
'feng'mo'hao 风摩耗
'feng'mo'sun'hao'shu'ru'zhi 风摩损耗输入值
'feng'ye 风叶
'feng'ye'zhi'jing 风叶直径
'feng'zhi 峰值
'fu'an'te'xing 伏安特性
'fu'jia'sun'hao'xi'shu 附加损耗系数
'fu'li 复励
'fu'li'fa'dian'ji 复励发电机
'fu'li'zhi'liu'dian'ji 复励直流电机
'fu'rao'zu'tong'zhong 付绕组铜重
'fu'shu 复数
'fu'shu'zu'kang 复数阻抗
'fu'xian 付线
'fu'xian'dian'mi 付线电密
'fu'xiang'bing'lian'zhi'lu'shu 副相并联支路数
'fu'xiang'bing'rao'gen'shu 副相并绕根数
'fu'xiang'chuan'lian'dao'ti'shu 副相串联导体数
'fu'xiang'dao'xian'cai'liao 副相导线材料
'fu'xiang'dian'liu 付相电流
'fu'xiang'dian'liu 副相电流
'fu'xiang'dian'liu'jiao 付相电流角
'fu'xiang'jue'yuan'hou'zhi'jing 副相绝缘后直径
'fu'xiang'mei'ceng'dao'ti'shu 副相每层导体数
'fu'xiang'rao'zu'mi'du 副相绕组密度
'fu'xiang'rao'zu'tiao'zheng'chang'du 副相绕组调整长度
'fu'xiang'shu'ju 付相数据
'fu'xiang'tong'zhong'liang 副相铜重量
'fu'xiang'xian'gui'bing'rao'gen'shu 副相线规并绕根数
'fu'xiang'xian'jing 副相线径
'fu'xiang'xiang'dian'zu 副相相电阻
'fu'xiang'xuan'zhuan'cao'shu 副相旋转槽数
'fu'xu'zu'kang 负序阻抗
'fu'zai 负载
'fu'zai'bao'he'qu'xian 负载饱和曲线
'fu'zai'te'xing 负载特性
'fu'zhu'dian'dong'ji 辅助电动机
'gai'zhuang'pei 盖装配
'gai'zi 盖子
'gan'sheng'dian'liu 感生电流
'gan'xing 感性
'gan'xing'fen'liang 感性分量
'gan'ying'dian'dong'ji 感应电动机
'gan'ying'dian'ji 感应电机
'gan'ying'shi'dian'ji 感应式电机
'gang'lun 刚轮
'gang'xing'ji'zuo 刚性基座
'gao'ding'zhi 高顶值
'gao'kang 高抗
'gao'pin 高频
'gao'xing'neng'de 高性能的
'gao'ya 高压
'gao'ya'ce 高压侧
'gao'zeng'yi 高增益
'ge'dian'biao'qian 隔垫标签
'ge'li'kai'guan 隔离开关
'gong'cha 公差
'gong'jiao 功角
'gong'jiao'wen'ding 功角稳定
'gong'jie'cha'jian 公接插件
'gong'lv 功率
'gong'lv'fang'da'qi 功率放大器
'gong'lv'yin'shu 功率因数
'gong'lv'yin'shu'she'ji'zhi 功率因数设计值
'gong'neng'ce'shi 功能测试
'gong'pin 工频
'gong'si 攻丝
'gong'yi'liu'cheng'tu 工艺流程图
'gong'ying'shang 供应商
'gong'zhen 共振
'gong'zhuang 工装
'gong'zuo'mo'shi 工作模式
'gong'zuo'te'xing 工作特性
'gong'zuo'wen'du 工作温度
'gu'ding'chuan'lian'dian'rong'bu'chang 固定串联电容补偿
'gu'ding'dian'quan 固定垫圈
'gu'ti 固体
'gu'zhang 故障
'gu'zhang'qie'chu'shi'jian 故障切除时间
'guan'ce'qi 观测器
'guan'zi 管子
'guang'xian 光纤
'gui'gang'pian 硅钢片
'gun'hua 滚花
'gun'zhu'zhou'cheng 滚珠轴承
'guo'zai 过载
'han'you'zhou'cheng 含油轴承
'he'jin 合金
'he'zi 赫兹
'heng'wen'zhi'liu'dian 恒稳直流电
'heng'zuo'biao 横坐标
'hou'duan'gai 后端盖
'hou'gai 后盖
'hu'gai 护盖
'hu'gan 互感
'hu'suo'ding'zi'tie'xin 互锁定子铁芯
'hu'xian'quan 护线圈
'huan'jing'wen'du 环境温度
'huan'xiang'qi 换向器
'huan'xiang'qi'dian'shua'zong'xian 换向器电刷总线
'huan'xiang'zhuang'kuang 换向状况
'hun'he'shi 混合式
'huo'er'chuan'gan'qi 霍尔传感器
'huo'pan 货盘
'ji'ben'xing'shi 基本型式
'ji'dian 极点
'ji'dian'ji 集电极
'ji'duan 机端
'ji'duan'dian'ya'kong'zhi 机端电压控制
'ji'dui'shu 极对数
'ji'fen'xia'xian 积分下限
'ji'fu'li'dian'dong'ji 积复励电动机
'ji'he'wei'zhi 几何位置
'ji'hu'xi'shu 极弧系数
'ji'ji 基极
'ji'ju 极距
'ji'ke 机壳
'ji'ke'qian'xian'ding'zi'zu'jian 机壳嵌线定子组件
'ji'ke'zhan'kai 机壳展开
'ji'ke'zhan'kai'tu 机壳展开图
'ji'ke'zu'zhuang 机壳组装
'ji'shu 极数
'ji'shu'tiao'jian 技术条件
'ji'suan'dian'ya 计算电压
'ji'suan'pin'lv 计算频率
'ji'xian'qie'chu'shi'jian 极限切除时间
'ji'xian'zhuan'ju 极限转矩
'ji'xie'shi'zheng'liu'qi 机械式整流器
'ji'xie'sun'hao 机械损耗
'ji'xing 极性
'ji'zhun'dian'ya 基准电压
'ji'zuo'hao 机座号
'jia'gong'luo'wen 加工螺纹
'jia'ju 夹具
'jian'cao 键槽
'jian'ge 间隔
'jian'xie'yun'zhuan 间歇运转
'jian'xiu 检修
'jian'zhen'quan 减振圈
'jian'zhen'quan 减震圈
'jiao'dai 胶带
'jiao'hu'zhu'ci'tong 交互主磁通
'jiao'liu 交流
'jiao'liu'dian'dong'ji 交流电动机
'jiao'liu'dian'ji 交流电机
'jiao'liu'fa'dian'ji 交流发电机
'jiao'liu'huan'dian'dong'ji 交流环电动机
'jiao'zhou 交轴
'jiao'zhu'duan'zi'ban 浇注端子板
'jie'cha'jian 接插件
'jie'chu'quan 接触圈
'jie'di'luo'ding 接地螺钉
'jie'di'xian 接地线
'jie'he'dian'rong 结合电容
'jie'ju 节距
'jie'neng'biao'tie 节能标贴
'jie'tiao'qi 解调器
'jie'tou 接头
'jie'xian'pian'biao'qian 接线片标签
'jin'jia'gong'duan'gai 金加工端盖
'jin'shu'quan 金属圈
'jing'du 精度
'jing'gao'biao'qian 警告标签
'jing'gao'biao'tie 警告标贴
'jing'tai 静态
'jing'ti'guan 晶体管
'jing'xiang'tiao'dong 径向跳动
'ju'jiao 矩角
'jue'yuan 绝缘
'jue'yuan'cai'liao 绝缘材料
'jue'yuan'deng'ji 绝缘等级
'jue'yuan'ding'zi'tie'xin 绝缘定子铁心
'jue'yuan'ge'zhen 绝缘隔振
'jue'yuan'gu'jia 绝缘骨架
'jue'yuan'jian 绝缘件
'jue'yuan'tao'guan 绝缘套管
'jun'fang'gen'zhi 均方根值
'kai'guan 开关
'kai'guan'an'niu 开关按钮
'kai'guan'bi 开关臂
'kai'guan'biao'qian 开关标签
'kai'guan'chu'dian 开关触点
'kai'guan'dao'pian 开关刀片
'kai'guan'jue'yuan'ban 开关绝缘板
'kai'guan'pan 开关盘
'kai'guan'tan'huang 开关弹簧
'kai'guan'zhan 开关站
'kai'guan'zhuang'pei 开关装配
'kai'guan'zhuang'pei'jie'gou 开关装配结构
'kai'guan'zhuang'pei'zhi'dao 开关装配指导
'ke'hu 客户
'ke'hui'shou'huo'pan 可回收货盘
'kong'bai'ming'pai 空白铭牌
'kong'bai'tiao'xing'ma 空白条形码
'kong'jian'bo'xing 空间波形
'kong'tiao'ai'tong'dian'ji 空调暧通电机
'kong'zai 空载
'kong'zai'dian'liu 空载电流
'kong'zai'dian'liu'xian'dian'liu 空载电流线电流
'kong'zai'ji'xie'sun'hao 空载机械损耗
'kong'zai'sun'hao 空载损耗
'kong'zai'zhuan'su 空载转速
'kong'zhi'dian'ji 控制电机
'kuang'tu 框图
'lao'hua'shi'yan 老化试验
'leng'que'fang'shi 冷却方式
'li'ci 励磁
'li'ci'dian'liu 励磁电流
'li'ci'dian'ya 励磁电压
'li'ci'fang'shi 励磁方式
'li'ci'qi 励磁器
'li'ci'rao'zu 励磁绕组
'li'ci'xi'tong 励磁系统
'li'ci'xian'quan 励磁线圈
'li'ju 力距
'li'ju'su'du'qu'xian 力矩速度曲线
'li'mi 厘米
'li'xiang'dian'yuan 理想电源
'li'xin'kai'guan'zhi'cheng 离心开关支撑
'li'xin'kai'guan'zhuang'pei 离心开关装配
'li'xing'cao 梨形槽
'lian'jie'biao'qian 连接标签
'lian'jie'pian 连接片
'lian'jie'qi 联结器
'lian'jie'qi 连接器
'lian'jie'tu 连接图
'lian'xu'yun'zhuan 连续运转
'liang'rao'zu'zheng'jiao 两绕组正交
'liang'xiang 两相
'liang'xiang'si'zhuang'tai 两相四状态
'ling'xu'zu'kang 零序阻抗
'liu'jiao'luo'mu 六角螺母
'liu'jiao'tou'zi'gong'luo'ding 六角头自攻螺钉
'liu'wei'qing 刘威卿
'lou'ci 漏磁
'lou'ci'dian'kang 漏磁电抗
'lou'ci'tong 漏磁通
'lou'dian'liu 漏电流
'lou'kang 漏抗
'luo'dian 落点
'luo'ding 螺钉
'luo'ding'duan'zi 螺钉端子
'luo'ding'luo'mu'zu'he 螺钉螺母组合
'luo'ding'zu'jian 螺钉组件
'luo'mu 螺母
'luo'shuan 螺栓
'luo'wen 螺纹
'lv'hao 铝耗
'ma'da 马达
'ma'li 马力
'ma'ti'xing'ci'tie 马蹄形磁铁
'mai'chong'dian'dong'ji 脉冲电动机
'mai'zhen'ci'chang 脉振磁场
'man'zai 满载
'man'zai'zhuan'ju 满载转矩
'mao'ding 铆钉
'mao'pi'wai'jing 毛坯外径
'mei'ji'chuan'lian'zong'za'shu 每极串联总匝数
'mei'ji'ci'tong'liang 每极磁通量
'mei'xiang 每相
'mie'ci 灭磁
'ming'pai 铭牌
'mo'rao 模绕
'mu'jie'cha'jian 母接插件
'mu'xian 母线
'mu'zhi'duan'zi 母直端子
'nai'ya'ce'shi 耐压测试
'nan'niu 南牛
'nan'niu'dian'ji'ji'shu'you'xian'gong'si 南牛电机技术有限公司
'nei'bu'lian'jie'tu 内部连接图
'nei'gu'ding'gai 内固定盖
'nei'gu'ding'qi'jian 内固定器件
'nei'jie'xian'tu 内接线图
'nei'zhi'xiang 内纸箱
'nei'zu 内阻
'neng'liang'shu'song 能量输送
'ni'bian'qi 逆变器
'ni'long'fang'shui'quan 尼龙防水圈
'ni'long'tiao'dian 尼龙调垫
'ning'bo'gao'xin'qu 宁波高新区
'niu'mi 牛米
'ou'he'dian'rong 耦合电容
'pang'lu'wei'yi'dian'liu 旁路位移电流
'pao'mo'chen'dian 泡沫衬垫
'pao'mo'ju'ben'yi'xi 泡沫聚苯乙烯
'pao'you'quan 抛油圈
'pen'qi'duan'gai 喷漆端盖
'pen'qi'fang'chen'gai 喷漆防尘盖
'pen'sha 喷砂
'pi'liang'sheng'chan 批量生产
'pian'xin'du 偏心度
'pin'lv 频率
'pin'pu 频谱
'ping'dian'quan 平垫圈
'ping'xing'du 平行度
'qi'bao'xian 漆包线
'qi'bu'zu'li 起步阻力
'qi'dong'dian'rong 起动电容
'qi'dong'dian'rong'ji'sheng'dian'zu 起动电容寄生电阻
'qi'dong'li'ju 起动力距
'qi'xi 气隙
'qi'xi'ci'hua'xian 气隙磁化线
'qi'xi'ci'mi 气隙磁密
'qi'xi'ci'tong 气隙磁通
'qi'xi'ci'tong'fen'bu 气隙磁通分布
'qi'xi'kuan'du 气隙宽度
'qi'xi'you'xiao'kuan'du 气隙有效宽度
'qi'xing'mu'duan'zi 旗形母端子
'qian'duan'gai 前端盖
'qian'gai'dian'pian 前盖垫片
'qian'ke 千克
'qian'kui'xi'tong 前馈系统
'qian'kui'xin'hao 前馈信号
'qian'xian'ding'zi 嵌线定子
'qian'xian'ding'zi'biao'zhun 嵌线定子标准
'qiang'xing'li'ci 强行励磁
'qie'bian'kuan'du 切边宽度
'qie'huan'zhuan'su 切换转速
'qie'ji 切机
'qing'tong 青铜
'qiu'xing'han'you'zhou'cheng 球形含油轴承
'qiu'zhou'cheng 球轴承
'qu'dong'qi 驱动器
'quan'jie'guan'ce'qi 全阶观测器
'rao'zu 绕组
'rao'zu'ceng'shu 绕组层数
'rao'zu'cheng'ben 绕组成本
'rao'zu'dian'zu 绕组电阻
'rao'zu'lei'xing 绕组类型
'rao'zu'shu'ju 绕组数据
'rao'zu'tong'sun'hao 绕组铜损耗
'rao'zu'xi'shu 绕组系数
'rao'zu'xing'shi 绕组型式
'rao'zu'zhong'lei 绕组种类
'rao'zu'zong'xian'zhong 绕组总线重
're'bao'hu'qi 热保护器
're'bao'hu'qi'yin'xian'zhuang'pei 热保护器引线装配
're'bao'hu'qi'yu'xian 热保护器与线
're'chu'li 热处理
're'fu'he 热负荷
'rong'liang 容量
'rou'lun 柔轮
'san'jiao'fu'hao 三角符号
'san'rao 散绕
'san'rao'zu'bian'ya'qi 三绕组变压器
'san'xiang 三相
'san'xiang'gu'zhang 三相故障
'san'xiang'liu'zhuang'tai 三相六状态
'san'xiang'san'zhuang'tai 三相三状态
'san'xiang'yi'bu 三相异步
'shang'bu'kuan'du 上部宽度
'shang'ceng 上层
'shang'xian 上限
'she'ji'zong'cheng'ben 设计总成本
'she'shi'du 摄氏度
'shen'suo'dian'pian 伸缩垫片
'sheng'chan'zhi'zao 生产制造
'sheng'ya'bian'ya'qi 升压变压器
'sheng'ya'qu'ci 升压去磁
'shi'bu 实部
'shi'bu'zhuan'ju 失步转矩
'shi'di'ce'shi 实地测试
'shi'jian'chang'shu 时间常数
'shi'jian'xiang'wei 时间相位
'shi'liang'fang'cheng 矢量方程
'shi'liang'kong'zhi 矢量控制
'shi'pei 失配
'shi'qu'tong'bu 失去同步
'shi'sheng'chan 试生产
'shi'yong'biao'tie 使用标贴
'shou'dong'kong'zhi 手动控制
'shou'duan 受端
'shou'ming'ce'shi 寿命测试
'shu'chu'gong'lv 输出功率
'shu'chu'gong'lv'heng'ding 输出功率恒定
'shu'chu'niu'ju 输出扭矩
'shu'dian'xi'tong 输电系统
'shu'dian'xian 输电线
'shu'ju 数据
'shu'long 鼠笼
'shu'long'shi 鼠笼式
'shu'ru'dian'liu 输入电流
'shu'ru'gong'lv 输入功率
'shu'zi'xin'hao'chu'li 数字信号处理
'shu'zi'xin'hao'chu'li'qi 数字信号处理器
'shua'wo 刷握
'shuai'jian 衰减
'shuai'shui'quan 甩水圈
'shuang'hui'tong'gan'bing'jia 双回同杆并架
'shuang'ji'xing'jing'ti'guan 双极性晶体管
'shuang'ma'da'de 双马达的
'shuang'rao'zu'bian'ya'qi 双绕组变压器
'shuang'tu'ji 双凸极
'shuang'xiang'dian'lu 双向电路
'shui'dian'zhan 水电站
'shun'shi'dian'gong'lv 瞬时电功率
'shun'shi'ji'xie'gong'lv 瞬时机械功率
'shun'shi'zhi 瞬时值
'shun'tai'xiang'ying 瞬态响应
'shun'tai'zan'tai 瞬态暂态
'si'fu'dian'dong'ji 伺服电动机
'si'xiang'si'zhuang'tai 四相四状态
'su'du'tiao'jie 速度调节
'su'du'zhuan'ju'te'xing 速度转矩特性
'su'ke 塑壳
'su'liao'dai 塑料袋
'su'liao'feng'ye 塑料风叶
'sun'hao'qu'xian 损耗曲线
'suo'ding'zhuan'zi 锁定转子
'suo'ding'zhuan'zi'zhuan'ju 锁定转子转矩
'suo'jin'dian'quan 锁紧垫圈
'suo'you'jie'guo 所有结果
'ta'li 他励
'ta'li'dian'dong'ji 他励电动机
'tan'huang'dian'quan 弹簧垫圈
'tan'shua 碳刷
'tao'guan 套管
'tiao'fu 调幅
'tiao'xie'qi 调谐器
'tiao'zheng'dian'quan 调整垫圈
'tiao'zhi'qi 调制器
'tie'duan'gai 铁端盖
'tie'hao'tiao'zheng'xi'shu 铁耗调整系数
'tie'sun 铁损
'tie'sun'hao 铁损耗
