'an'hei'jian 暗黑剑
'qing'bo'kui'jia 轻薄盔甲
'qing'long'zhu'zai 青龙助仔
'qing'long'zhu'zai'gai 青龙助仔改
'qing'se'shui'long 青涩水龙
'qing'tong'jian 青铜剑
'qing'tong'kui'jia 青铜盔甲
'qing'tong'qiang 青铜枪
'qing'tong'tou'kui 青铜头盔
'qing'tong'xiao'dao 青铜小刀
'qing'yu'zhi'gong 轻羽之弓
'quan'shen'kai'jia 全身铠甲
're'qing'nuo'si 热情诺斯
're'qing'nuo'si'gai 热情诺斯改
'san'cha'ji 三叉戟
'sha'yu 鲨鱼
'sha'yu'gai 鲨鱼改
'shan'shan'bei 闪闪贝
'shan'shan'bei'gai 闪闪贝改
'shan'ye'zao'jie'mei 杉叶藻姐妹
'shan'ye'zao'jie'mei'gai 杉叶藻姐妹改
'shen'sheng'de'mao'zi 神圣的帽子
'sheng'jian'kai'luo'jun 圣剑开罗君
'shou'hu'fu 守护符
'shuang'xing'xiao'kai'luo'jun 双星小开罗君
'shui'di'jun 水滴君
'shui'di'jun'gai 水滴君改
'shui'guo'dao 水果刀
'shui'jing'bang 水晶棒
'shui'jing'gan 水晶杆
'shui'jing'zhen'feng 水晶针蜂
'shui'jing'zhi'fu 水晶之斧
'shui'xian'long 水仙龙
'shui'xian'long'gai 水仙龙改
'shui'yi 睡衣
'si'chou'yi'shang 丝绸衣裳
'su'hua'fu 宿化夫
'su'hua'fu'gai 宿化夫改
'su'she'pao 速射炮
'sun'dao 隼刀
'sun'mu 隼木
'sun'zhi'xue 隼之靴
'suo'dan'yi 锁单衣
'suo'tou'kui 锁头盔
'ta'luo'pan 塔罗盘
'ta'luo'pan'gai 塔罗盘改
'tai'dao 太刀
'tai'jin'jun 钛金君
'tai'jin'jun'gai 钛金君改
'te'chan'zhi'zhang 特产之杖
'tie'chu'tou 铁锄头
'tie'jian 铁剑
'tie'mian'ju 铁面具
'tie'pao'man'yu 铁炮鳗鱼
'tie'pao'man'yu'gai 铁炮鳗鱼改
'tie'zhen'feng 铁针蜂
'tie'zhi'fu'tou 铁制斧头
'tie'zhi'ka'pian 铁制卡片
'tie'zhua 铁爪
'tou'jin 头巾
'wa'ni'e'yu 哇尼鳄鱼
'wa'ni'e'yu'gai 哇尼鳄鱼改
'wai'luo'dun'gou 歪罗盾钩
'wai'luo'wang'jun 歪罗王君
'wai'luo'wang'jun'gai 歪罗王君改
'wai'luo'wang'jun'ji 歪罗王君极
'wan'tai'jun 丸太君
'wan'tai'jun'gai 丸太君改
'wang'jia'zhi'dun 王家之盾
'wang'zhe'pi'feng 王者披风
'wu'zei'lu'ta 乌贼鲁塔
'wu'zei'lu'ta'gai 乌贼鲁塔改
'xi'jian 细剑
'xiang'zi'pang 箱子胖
'xiang'zi'pang'gai 箱子胖改
'xiao'hai'she 小海蛇
'xiao'hai'she'gai 小海蛇改
'xiao'huo'shan 小火山
'xiao'huo'shan'gai 小火山改
'xiao'kai'luo'jun 小开罗君
'yan'mo'ren 岩魔人
'yan'mo'ren'gai 岩魔人改
'yan'mo'shi 岩魔石
'yan'mo'shi'gai 岩魔石改
'yan'wei'men 岩卫门
'yan'wei'men'gai 岩卫门改
'yao'jing'zhi'chui 妖精之锤
'yin'se'kui'jia 银色盔甲
'yin'se'zhi'ren 银色之刃
'yin'zhi'duan'dao 银制短刀
'yin'zhi'huan 银指环
'yin'zhi'tou'kui 银制头盔
'yong'zhe'zhi'fu 勇者之斧
'yong'zhe'zhi'gong 勇者之弓
'yong'zhe'zhi'jian 勇者之剑
'you'fu 幽浮
'you'fu'gai 幽浮改
'yu'gu'guai 鱼骨怪
'yu'gu'guai'gai 鱼骨怪改
'yu'mao 浴帽
'yuan'dun 圆盾
'yue'qian'pang'xie 越前螃蟹
'yue'qian'pang'xie'gai 越前螃蟹改
'zhan'chui 战锤
'zhan'dou'duan'dao 战斗短刀
'zhan'fu 战斧
'zhan'zheng'shou'huan 战争手环
'zhen'ci'bang 针刺棒
'zhen'zhu'zhi'huan 珍珠指环
'zhen'zuo'wei'men 针左卫门
'zhen'zuo'wei'men'gai 针左卫门改
'zhi'jia'gui 指甲龟
'zhi'jia'gui'gai 指甲龟改
'zhou'ba'ba'de'chen'yi 皱巴巴的衬衣
'zuan'shi'zhi'huan 钻石指环
'zuan'tou'kai'luo'jun 钻头开罗君
'zuan'tou'kai'luo'jun'gai 钻头开罗君改
