'a'ka'li 阿卡丽
'wu'ji'jian'sheng'jian'sheng 无极剑圣剑圣
'wu'qi'da'shi 武器大师
'wu'shuang'jian'ji'jian'ji 无双剑姬剑姬
'xi'ming'shi 戏命师
'xi'wa'na 希瓦娜
'xi'wei'er 希维尔
'xian'ling'nv'wu 仙灵女巫
'xie'e'xiao'fa'shi'xiao'fa 邪恶小法师小法
'xin'de'la 辛德拉
'xin'ji'de 辛吉德
'xing'hong'shou'ge'zhe'xi'xue'gui 猩红收割者吸血鬼
'xing'jie'you'shen 星界游神
'xu'kong'dun'di'shou 虚空遁地兽
'xu'kong'kong'ju 虚空恐惧
'xu'kong'lie'duo'zhe 虚空猎夺者
'xu'kong'xian'zhi 虚空先知
'xu'kong'xing'zhe 虚空行者
'xu'kong'zhi'yan 虚空之眼
'xue'ren'qi'shi 雪人骑士
'xun'jie'chi'hou 迅捷斥候
'ya'suo 亚索
'ya'tuo'ke'si 亚托克斯
'yan'que 岩雀
'yi'fu'lin 伊芙琳
'yi'li'si 伊莉丝
'yi'ze'rui'er 伊泽瑞尔
'ying'liu'zhi'zhu 影流之主
'ying'xiong'tou'dan'shou 英雄投弹手
'yong'heng'meng'ye 永恒梦靥
'yong'lie'shuang'zi 永猎双子
'yuan'gu'wu'ling 远古巫灵
'yue'li'ke 约里克
'ze'la'si 泽拉斯
'zha'ke 扎克
'zhan'zheng'nv'shen'lun'zi'ma 战争女神轮子妈
'zhan'zheng'zhi'wang 战争之王
'zhan'zheng'zhi'ying 战争之影
'zhao'xin 赵信
'zheng'qi'ji'qi'ren'ji'qi'ren 蒸汽机器人机器人
'zhi'zhu'nv'huang'zhi'zhu 蜘蛛女皇蜘蛛
'zhong'xing'zhi'zi'xing'ma 众星之子星妈
'zhu'xing'long'wang 铸星龙王
'zu'an'kuang'ren 祖安狂人
