'ai'ci'qiong'du 哀此茕独
'bi'qi'fan'ye 比其反也
'bi'qian'sheng'zhi'jia 必千乘之家
'bi'qing'suo'yu 必请所与
'bi'qiu'long'duan'er'deng'zhi 必求龙断而登之
'bi'ran'er'fa'zhi'ye 彼然而伐之也
'bi'ren'you'zang'cang'zhe'ju'jun 嬖人有臧仓者沮君
'bi'ren'zang'cang'zhe'qing'yue 嬖人臧仓者请曰
'bi'ru'yue 彼如曰
'bi'shen'zhi'ju 彼身织屦
'bi'shi'yang'zu'yi'shi'fu'mu 必使仰足以事父母
'bi'shi'yu'ren'diao'zhuo'zhi 必使玉人雕琢之
'bi'shui'huo'ye 避水火也
'bi'suo'wei'hao'jie'zhi'shi'ye 彼所谓豪杰之士也
'bi'wei'zheng'yu'tian'xia'yi 必为政於天下矣
'bi'wu'li'ye 必无礼也
'bi'xi'fan'ming'yue 嬖奚反命曰
'bi'xian'ni'qi'min 彼陷溺其民
'bi'xian'si'si'zhe 必先斯四者
'bi'xian'zhe'dang'zhi 蔽贤者当之
'bi'yi'qi'dao 必以其道
'bi'yi'qi'fu 彼以其富
'bi'yi'qi'jue 彼以其爵
'bi'yi'shi 彼一时
'bi'you'bu'zhao'zhi'chen 必有不召之臣
'bi'you'de'tian'shi'zhe'yi 必有德天时者矣
'bi'you'gui'tian 必有圭田
'bi'you'jiu'rou 必有酒肉
'bi'you'qu'er'ye 彼有取尔也
'bi'you'shi'yan'er'wu'zheng 必有事焉而勿正
'bi'yue 必曰
'bi'zhang'fu'ye 彼丈夫也
'bian'guo'zhong'wu'yu'li'tan'zhe 遍国中无与立谈者
'bing'ge'fei'bu'jian'li'ye 兵革非不坚利也
'bing'jia'bu'duo 兵甲不多
'bing'ren'ji'jie 兵刃既接
'bing'ye 兵也
'bing'yu 病愈
'bing'yu'xia'qi 病于夏畦
'bo'xue'er'xiang'shuo'zhi 博学而详说之
'bo'yi 伯夷
'bo'yi'ai 伯夷隘
'bo'yi'fei'qi'jun'bu'shi 伯夷非其君不事
'bo'yi'hao'yin'jiu 博弈好饮酒
'bo'yi'pi'zhou 伯夷辟纣
'bo'yi'ye 伯夷也
'bo'yi'yi'yin'he'ru 伯夷伊尹何如
'bo'yi'zhi'suo'shu'yu 伯夷之所树与
'bo'yi'zhi'suo'yu 伯夷之所与
'bu'bao'she'ji 不保社稷
'bu'bao'si'hai 不保四海
'bu'bao'si'ti 不保四体
'bu'bao'wan'miao 不保完庙
'bu'bei'xiao'guan 不卑小官
'bu'bo'chang'duan'tong 布帛长短同
'bu'cheng 不诚
'bu'cheng'qi'shen'yi 不诚其身矣
'bu'chong'zhi 不充之
'bu'dai'fu'mu'zhi'ming 不待父母之命
'bu'dai'san 不待三
'bu'de 不得
'bu'de'er'fei'shang'zhe 不得而非上者
'bu'de'hu'qin 不得乎亲
'bu'de'jin 不得近
'bu'de'mian'yan 不得免焉
'bu'de'qi'yan'ze'qu 不得其言则去
'bu'de'qi'zhi'ze'qu 不得其职则去
'bu'de'shou'yu'qi'jia 不得受於其家
'bu'de'wu'xin 不得吾心
'bu'de'yi'er'zhi'jing'chou'shi'su'yan 不得已而之景丑氏宿焉
'bu'de'yi'yang'qi'fu'mu 不得以养其父母
'bu'de'yi'ye 不得已也
'bu'de'yu'jun'ze're'zhong 不得於君则热中
'bu'de'yu'xin 不得於心
'bu'de'yu'yan 不得於言
'bu'de'zhi'du'xing'qi'dao 不得志独行其道
'bu'de'zui'yu'ju'shi 不得罪於巨室
'bu'dong'xin'you'dao'hu 不动心有道乎
'bu'duo'bu'yan 不夺不餍
'bu'fu'nao 不肤挠
'bu'gan'qing'er 不敢请耳
'bu'gan'yi'chen'yu'wang'qian 不敢以陈於王前
'bu'gan'yi'ji 不敢以祭
'bu'gao'yu'wang 不告於王
'bu'gu'fu'mu'zhi'yang 不顾父母之养
'bu'gui'yang'ze'gui'mo 不归杨则归墨
'bu'jian'zhu'hou 不见诸侯
'bu'jing'qi'jun'zhe'ye 不敬其君者也
'bu'ke 不可
'bu'ke'de'yi 不可得已
'bu'ke'de'yi 不可得矣
'bu'ke'fa'yu'hou'shi'zhe 不可法於後世者
'bu'ke'huo 不可活
'bu'ke'ji'ye 不可及也
'bu'ke'sheng'yong'ye 不可胜用也
'bu'ke'shi'ye 不可失也
'bu'ke'ye 不可也
'bu'ke'yi'feng 不可以风
'bu'ke'yi'qing 不可以请
'bu'ke'yi'ta'qiu'zhe'ye 不可以他求者也
'bu'ke'yi'wei'ren 不可以为人
'bu'ke'yi'wei'yue 不可以为悦
'bu'ke'yi'wei'zi 不可以为子
'bu'ke'yi'zhi'gong 不可以执弓
'bu'le'ye 不乐也
'bu'li'yu'e'ren'zhi'chao 不立於恶人之朝
'bu'mian'yu'lv'shou'er'shi'ren 不免於率兽而食人
'bu'ming'hu'shan 不明乎善
'bu'mu'tao 不目逃
'bu'neng'cheng'fang'yuan 不能成方圆
'bu'neng'ping'zhi'tian'xia 不能平治天下
'bu'neng'zao'chao 不能造朝
'bu'neng'zheng'wu'yin 不能正五音
'bu'qian'bu'wang 不愆不忘
'bu'qu'bi'you'tian'yang 不取必有天殃
'bu'ren'bu'zhi 不仁不智
'bu'ren'er'ke'yu'yan 不仁而可与言
'bu'ren'er'zai'gao'wei 不仁而在高位
'bu'ren'jian'qi'si 不忍见其死
'bu'ren'shi'qi'rou 不忍食其肉
'bu'ren'ze'ru 不仁则辱
'bu'ren'zhe'ke'yu'yan'zai 不仁者可与言哉
'bu'ri'cheng'zhi 不日成之
'bu'ru'cheng'shi 不如乘势
'bu'ru'dai'shi 不如待时
'bu'ru'shi 不如是
'bu'ruo'yu'ren 不若与人
'bu'ruo'yu'zhong 不若与众
'bu'she'zhou'ye 不舍昼夜
'bu'shen 不甚
'bu'shi'ke'shi'gua'ren'de'jian'hu 不识可使寡人得见乎
'bu'shi'ke'yi'ji'ci'er'de'jian'hu 不识可以继此而得见乎
'bu'shi'qi'chi 不失其驰
'bu'shi'qi'shen'er'neng'shi'qi'qin'zhe 不失其身而能事其亲者
'bu'shi'sha'ren'zhe'neng'yi'zhi 不嗜杀人者能一之
'bu'shi'shun'bu'zhi'xiang'zhi'jiang'sha'ji'yu 不识舜不知象之将杀己与
'bu'shi'wang'zhi'bu'ke'yi'wei'tang'wu 不识王之不可以为汤武
'bu'shi'you'zhu 不识有诸
'bu'shou'ye 不受也
'bu'shou'ye'zhe 不受也者
'bu'shou'yu'he'kuan'bo 不受於褐宽博
'bu'shou'zhe'sha'zhi 不授者杀之
'bu'shun'hu'qin 不顺乎亲
'bu'tong'dao 不同道
'bu'tui'en'wu'yi'bao'qi'zi 不推恩无以保妻子
'bu'wang'yuan 不忘远
'bu'wei'bu'duo'yi 不为不多矣
'bu'wei'jin'yi 不为近矣
'bu'wei'li'tao'ye 不为厉陶冶
'bu'wei'nong'shi 不违农时
'bu'wei'xiao'yi 不为小矣
'bu'wei'ye 不为也
'bu'wei'zhe'yu'bu'neng'zhe'zhi'xing'he'yi'yi 不为者与不能者之形何以异
'bu'xian'qi'chi'zi'zhi'xin'zhe'ye 不先其赤子之心者也
'bu'xian'zhe'sui'you'ci 不贤者虽有此
'bu'xiang'zhi'shi 不祥之实
'bu'xiao'you'san 不孝有三
'bu'xin'yu'you 不信於友
'bu'xing'er'you'ji 不幸而有疾
'bu'xing'wang'zheng'yun'er 不行王政云尔
'bu'xing'xian'wang'zhi'dao'ye 不行先王之道也
'bu'yi'gui'ju 不以规矩
'bu'yi'ji'hu 不以急乎
'bu'yi'liu'lv 不以六律
'bu'yi'ren'zheng 不以仁政
'bu'yi'shan'hu 不亦善乎
'bu'yi'shun'zhi'suo'yi'shi'yao'shi'jun 不以舜之所以事尧事君
'bu'yi'tai'hu 不以泰乎
'bu'yi'wei'tai'zi'yi'wei'tai'hu 不以为泰子以为泰乎
'bu'yi'wu'yan'yi 不易吾言矣
'bu'yi'yao'zhi'suo'yi'zhi'min'zhi'min 不以尧之所以治民治民
'bu'yi'yi'hu 不亦宜乎
'bu'yi'yi'hu 不亦异乎
'bu'ying 不应
'bu'yong'ze'yi'yi'yi 不用则亦已矣
'bu'you'qi'dao'er'wang'zhe 不由其道而往者
'bu'you'ren 不尤人
'bu'yu'bian 不欲变
'bu'yu'e'ren'yan 不与恶人言
'bu'yu'gu'qu 不遇故去
'bu'yu'jie'er'xiang'yi'ye 不逾阶而相揖也
'bu'yu'min'tong'le'ye 不与民同乐也
'bu'yuan'qian'li'er'lai 不远千里而来
'bu'yuan'sheng'ji'zhe 不怨胜己者
'bu'yue'yu'qin'yi 不悦於亲矣
'bu'yun'miao'zhe'ye 不耘苗者也
'bu'zhi 不至
'bu'zhi 不直
'bu'zhi'er'shi'zhi 不知而使之
'bu'zhi'ye 不知也
'bu'zhi'yu'ren 不志於仁
'bu'zhu 不诛
'bu'zu 不足
'bu'zu'yi'shi'fu'mu 不足以事父母
'bu'zu'yu'you'wei'ye 不足与有为也
'cai'mu'bu'ke'sheng'yong 材木不可胜用
'cai'mu'bu'ke'sheng'yong'ye 材木不可胜用也
'cai'ye'qi'bu'cai 才也弃不才
'cai'ye'yang'bu'cai 才也养不才
'can'zei'zhi'ren 残贼之人
'cang'lang'zhi'shui'qing'xi 沧浪之水清兮
'cang'lang'zhi'shui'zhuo'xi 沧浪之水浊兮
'cao'mu'chang'mao 草木畅茂
'cao'shang'zhi'feng'bi'yan 草尚之风必偃
'cao'shi'shi'zhe'guo'ban'yi 螬食实者过半矣
'ce'yin'zhi'xin 恻隐之心
'ceng'si 曾死
'ceng'xi'cu'ran'yue 曾西蹴然曰
'ceng'xi'fu'ran'bu'yue 曾西艴然不悦
'ceng'xi'zhi'suo'bu'wei'ye 曾西之所不为也
'ceng'yuan'yang'zeng'zi 曾元养曾子
'cha'lin'guo'zhi'zheng 察邻国之政
'cha'yu'ren'lun 察於人伦
'chan 廛
'chang'qi'chang 长其长
'chang'xi'wen'yu'gong'ming'gao'yue 长息问於公明高曰
'chao'bu'xin'dao 朝不信道
'chao'jiang'shi'chao 朝将视朝
'chao'qin'chu 朝秦楚
'chao'ting'bu'li'wei'er'xiang'yu'yan 朝廷不历位而相与言
'chao'ting'mo'ru'jue 朝廷莫如爵
'che'bi'sang'tu 彻彼桑土
'che'ye 彻也
'che'zhe 彻者
'chen'dai'yue 陈代曰
'chen'gu'zhi'wang'zhi'bu'ren'ye 臣固知王之不忍也
'chen'jia'yue 陈贾曰
'chen'liang 陈良
'chen'liang'zhi'tu'chen'xiang 陈良之徒陈相
'chen'qing'wei'wang'yan'le 臣请为王言乐
'chen'shan'bi'xie'wei'zhi'jing 陈善闭邪谓之敬
'chen'shi'qi'jun'ke'hu 臣弑其君可乎
'chen'shi'qi'jun'zhe'you'zhi 臣弑其君者有之
'chen'shi'zhi'yu'jing 臣始至於境
'chen'wei'zhi'wen'ye 臣未之闻也
'chen'wen'jiao'guan'zhi'nei 臣闻郊关之内
'chen'wen'qi'shi'li'wei'zheng'yu'tian'xia'zhe 臣闻七十里为政於天下者
'chen'wen'zhi'hu 臣闻之胡
'chen'xiang'jian'meng'zi 陈相见孟子
'chen'xiang'jian'xu'xing'er'da'yue 陈相见许行而大悦
'chen'ye 臣也
'chen'zhen'wen'yue 陈臻问曰
'chen'zhi'wu'ren'yan 臣知五人焉
'chen'zhong'zi 陈仲子
'chen'zi'yi'shi'zi'zhi'yan'gao'meng'zi 陈子以时子之言告孟子
'cheng'fei'bu'gao'ye 城非不高也
'cheng'guo'bu'wan 城郭不完
'cheng'shen'you'dao 诚身有道
'cheng'wei'qi'jing'gong'yue 成谓齐景公曰
'cheng'you'bai'xing'zhe 诚有百姓者
'cheng'zhe 诚者
'chi'di'mo'fei'qi'you'ye 尺地莫非其有也
'chi'fei'bu'shen'ye 池非不深也
'chi'qi'zhi 持其志
'chi'yi 齿一
'chi'zi'pu'fu'jiang'ru'jing 赤子匍匐将入井
'chong'se'ren'yi'ye 充塞仁义也
'chong'yu'lu'wen'yue 充虞路问曰
'chong'yu'qing'yue 充虞请曰
'chong'zhi'si'fang 宠之四方
'chong'zhong'zi'zhi'cao 充仲子之操
'chou'jian'wang'zhi'jing'zi'ye 丑见王之敬子也
'chou'mou'you'hu 绸缪牖户
'chou'shi'kou'lun 抽矢扣轮
'chu 出
'chu'chan'ye 楚产也
'chu'diao'yu'dong'guo'shi 出吊於东郭氏
'chu'diao'yu'teng 出吊於滕
'chu'e'er'fa'zhi 楚恶而伐之
'chu'er'wa'zhi 出而哇之
'chu'hu'er'zhe 出乎尔者
'chu'jiang'bi'zai'zhi 出疆必载质
'chu'jun'he'you 畜君何尤
'chu'jun'zhe 畜君者
'chu'qi'ping'zi 出妻屏子
'chu'rao'zhe'wang'yan 刍荛者往焉
'chu'ren'sheng 楚人胜
'chu'ru'xiang'you 出入相友
'chu'she'yu'jiao 出舍於郊
'chu'shi'heng'yi 处士横议
'chu'sui'da 楚虽大
'chu'yi'shi'qi'zhang'shang 出以事其长上
'chu'yu'qi'lei 出於其类
'chu'yu'ren'yue 出语人曰
'chu'yu'yu'ling 处於於陵
'chu'ze'ti 出则悌
'chu'zhi'wu 楚之杌
'chu'zi'yue 储子曰
'chuan'yue 传曰
'chun'qiu 春秋
'chun'sheng'geng'er'bu'bu'zu 春省耕而补不足
'ci'fei'ju'xin'zhi'suo'de'wei'ye 此非距心之所得为也
'ci'lv'shou'er'shi'ren'ye 此率兽而食人也
'ci'pi'fu'zhi'yong 此匹夫之勇
'ci'qi'da'lue'ye 此其大略也
'ci'qi'wei'yan'zu'zhi'dao'ye 此其为餍足之道也
'ci'rang'zhi'xin 辞让之心
'ci'shi'wan'er'shou'wan 辞十万而受万
'ci'si'zhe 此四者
'ci'suo'wei'lv'tu'di'er'shi'ren'rou 此所谓率土地而食人肉
'ci'suo'wei'yang'kou'ti'zhe'ye 此所谓养口体者也
'ci'wei'jiu'si'er'kong'bu'shan 此惟救死而恐不赡
'ci'wen'wang'zhi'yong'ye 此文王之勇也
'ci'wu'ta 此无他
'ci'wu'wang'zhi'yong'ye 此武王之勇也
'ci'wu'xi'yi'zhi'zai 此物奚宜至哉
'ci'xin'zhi'suo'yi'he'yi'wang'zhe 此心之所以合宜王者
'ci'yan'he'wei'ye 此言何谓也
'ci'yi'shi'ye 此一时也
'ci'yi'wang'ren'ye'yi'yi 此亦妄人也已矣
'ci'yue 辞曰
'ci'ze'gua'ren'zhi'zui'ye 此则寡人之罪也
'ci'ze'ju'xin'zhi'zui'ye 此则距心之罪也
'ci'zhi'qi'suo'bi 辞知其所蔽
'ci'zhi'wei'da'xiao 此之谓大孝
'ci'zhi'wei'da'zhang'fu 此之谓大丈夫
'ci'zhi'wei'kou'chou 此之谓寇雠
'ci'zhi'wei'san'you'li'yan 此之位三有礼焉
'ci'zhi'wei'ye 此之谓也
'cong'er'mu'zhi'yu 从耳目之欲
'cong'er'zhi 从而之
'cong'liu'shang'er'wang'fan 从流上而忘反
'cong'liu'xia'er'wang'fan'wei'zhi'liu 从流下而忘反谓之流
'cong'shou'wu'yan 从兽无厌
'cong'xian'sheng'zhe'qi'shi'ren 从先生者七十人
'cong'xiong'shi'ye 从兄是也
'cong'xu'zi'zhi'dao 从许子之道
'cong'zhe'shu'bai'ren 从者数百人
'cong'zhi'zhe'ru'gui'shi 从之者如归市
'cun'hu'ren'zhe 存乎人者
'da'guo'wu'nian 大国五年
'da'jie'yu'guo 大戒於国
'da'ren'fu'wei 大人弗为
'da'ren'zhe 大人者
'da'shun'you'da'yan 大舜有大焉
'da'xiao'zhong'shen'mu'fu'mu 大孝终身慕父母
'da'zai'yan'yi 大哉言矣
'da'zai'yao'zhi'wei'jun 大哉尧之为君
'da'ze'yi'wang 大则以王
'dai'fu'you'ci'yu'shi 大夫有赐於士
'dai'fu'yue 大夫曰
'dai'tian'zhi'wei'yin'yu 迨天之未阴雨
'dai'xian'sheng'ru'ci'qi'zhong'qie'jing'ye 待先生如此其忠且敬也
'dai'ying'zhi'yue 戴盈之曰
'dai'you'shen'yan 殆有甚焉
'dai'yu'bu'ke 殆於不可
'dan'si'hu'jiang'yi'ying'wang'shi 箪食壶浆以迎王师
'dang'dang'hu'min'wu'neng'ming'yan 荡荡乎民无能名焉
'dang'jin'zhi'shi 当今之世
'dang'jin'zhi'shi 当今之时
'dang'ru'hou'huan'he 当如後患何
'dang'shi'shi 当是时
'dang'shi'shi'ye 当是时也
'dang'yao'zhi'shi 当尧之时
'dang'zai'bi'ye 当在薜也
'dang'zai'song'ye 当在宋也
'dao'er 道二
'dao'xu'xing'zhi'yan'yue 道许行之言曰
'dao'zai'er'er'qiu'zhu'yuan 道在尔而求诸远
'de'bai'li'zhi'di'er'jun'zhi 得百里之地而君之
'de'dao'zhe'duo'zhu 得道者多助
'de'he'ru'ze'ke'yi'wang'yi 德何如则可以王矣
'de'hu 得乎
'de'qi'min 得其民
'de'qi'min'you'dao 得其民有道
'de'qi'suo'zai 得其所哉
'de'qi'xin 得其心
'de'qi'xin'you'dao 得其心有道
'de'shi 得侍
'de'tian'xia'you'dao 得天下有道
'de'xing'dao'yan 得行道焉
'de'yi 德一
'de'zhi'liu'xing 德之流行
'de'zhi'xing'hu'zhong'guo 得志行乎中国
'de'zhi'yu'min'you'zhi 得志与民由之
'dei'zhi'wei'you'cai 得之为有财
'deng'bai'shi'zhi'wang 等百世之王
'di'ba'zhang 第八章
'di'bu'gai'pi'yi 地不改辟矣
'di'er'shi'ba'zhang 第二十八章
'di'er'shi'er'zhang 第二十二章
'di'er'shi'jiu'zhang 第二十九章
'di'er'shi'liu'zhang 第二十六章
'di'er'shi'qi'zhang 第二十七章
'di'er'shi'san'zhang 第二十三章
'di'er'shi'si'zhang 第二十四章
'di'er'shi'wu'zhang 第二十五章
'di'er'shi'yi'zhang 第二十一章
'di'er'shi'zhang 第二十章
'di'er'zhang 第二章
'di'fang'bai'li'er'ke'yi'wang 地方百里而可以王
'di'jiu'zhang 第九章
'di'li'bu'ru'ren'he 地利不如人和
'di'liu'zhang 第六章
'di'qi'zhang 第七章
'di'ren'qin'zhi 狄人侵之
'di'ren'zhi'suo'yu'zhe 狄人之所欲者
'di'san'shi'er'zhang 第三十二章
'di'san'shi'san'zhang 第三十三章
'di'san'shi'yi'zhang 第三十一章
'di'san'shi'zhang 第三十章
'di'san'zhang 第三章
'di'shi'ba'zhang 第十八章
'di'shi'er'zhang 第十二章
'di'shi'jiu'zhang 第十九章
'di'shi'liu'zhang 第十六章
'di'shi'qi'zhang 第十七章
'di'shi'qi'zi'jiu'nan'er'nv 帝使其子九男二女
'di'shi'san'zhang 第十三章
'di'shi'si'zhang 第十四章
'di'shi'wu'zhang 第十五章
'di'shi'yi'zhang 第十一章
'di'shi'zhang 第十章
'di'si'zhang 第四章
'di'wei'you'guo'qian'li'zhe'ye 地未有过千里者也
'di'wu'zhang 第五章
'di'yi'ren'zhe'ye 敌一人者也
'di'yi'zhang 第一章
'di'yi'zhi'gao'yan'ze'bu'de'qi'ye 帝亦知告焉则不得妻也
'di'zhang'xu'tian'xia'er'qian'zhi'yan 帝章胥天下而迁之焉
'di'zhi'qi'shun'er'bu'gao 帝之妻舜而不告
'di'zhi'xiang'qu'ye 地之相去也
'di'zi'qi'su'er'hou'gan'yan 弟子齐宿而後敢言
'diao'qi'min 吊其民
'diao'zhe'da'yue 吊者大悦
'ding'wei'san'nian'zhi'sang 定为三年之丧
'ding'yu'yi 定於一
'dong'bai'yu'qi 东败於齐
'dong'mian'er'zheng 东面而征
'dong'mian'er'zheng'xi'yi'yuan 东面而征西夷怨
'dong'yi'zhi'ren'ye 东夷之人也
'dong'zheng 东征
'du 度
'du'he'yu 独何与
'du'ju'san'nian 独居三年
'du'le'le 独乐乐
'du'ru'song'wang'he 独如宋王何
'duan'gan'mu'yu'yuan'er'pi'zhi 段干木逾垣而辟之
'duan'ren'ye 端人也
'dui'yue 对曰
'dun'ci'zhi'qi'suo'qiong 遁辞知其所穷
'duo'qi'si'zhi 惰其四支
'duo'qu'zhi'er'bu'wei'nue 多取之而不为虐
'duo'zhu'zhi'zhi 多助之至
'e 恶
'e'de'wei'gong'jian 恶得为恭俭
'e'de'wu'zui 恶得无罪
'e'de'xian 恶得贤
'e'dei'you'qi'yi 恶得有其一
'e'ke'yi 恶可已
'e'neng'zhi'guo'jia 恶能治国家
'e'sheng'zhi 恶声至
'e'yong'shi'yi'yi'zhe'wei'zai 恶用是鶂鶂者为哉
'e'zai'qi'wei'min'fu'mu'ye 恶在其为民父母也
'er'bai'gong'zhi'suo'wei'bei 而百工之所为备
'er'bai'xing'ning 而百姓宁
'er'bu'de'shi'yu'zi 而不得食於子
'er'bu'hao'chen'qi'suo'shou'jiao 而不好臣其所受教
'er'bu'ji'zi'si 而不及子思
'er'bu'jian'yu'xin 而不见舆薪
'er'bu'xiao'ye 二不孝也
'er'bu'zu'yi'jie'you 而不足以解忧
'er'bu'zu'yi'ju'yi'yu 而不足以举一羽
'er'chi'shou'ming'yan 而耻受命焉
'er'da'hu'si'jing 而达乎四境
'er'de'tian'xia 而得天下
'er'du'yu'fu'gui'zhi'zhong 而独於富贵之中
'er'fan'dong'qi'xin 而反动其心
'er'fu'si'yi'ye 而抚四夷也
'er'fu'su'bei'ta'ri 而赋粟倍他日
'er'gong'bu'zhi'yu'bai'xing'zhe 而功不至於百姓者
'er'gu'sou'yu'gu'sou'yu 而瞽瞍豫瞽瞍豫
'er'gui'zhi 而归之
'er'guo'wei'yi 而国危矣
'er'hao'shan'yan 而好善言
'er'he'ceng'bi'yu'yu'guan'zhong 尔何曾比予於管仲
'er'he'ceng'bi'yu'yu'shi 尔何曾比予於是
'er'hou'ke 而後可
'er'hou'ke'yi'you'wei 而後可以有为
'er'hou'ren'fa'zhi 而後人伐之
'er'hou'ren'hui'zhi 而後人毁之
'er'hou'yi'wu'ding'yu 而後以五鼎与
'er'jun'zhi'shi'lin'shi 而君之食廪实
'er'kuang'bu'wei'guan'zhong'zhe'hu 而况不为管仲者乎
'er'kuang'yu'wang'hu 而况於王乎
'er'kui'kong'zi'zheng'tun 而馈孔子蒸豚
'er'lao'zhe 二老者
'er'liang'ren'wei'zhi'zhi'ye 而良人未之知也
'er'luan'chen'zei'zi'ju 而乱臣贼子惧
'er'meng'zi'zhi'hou'sang'yu'qian'sang 而孟子之後丧逾前丧
'er'min'bu'bei'qi'ze 而民不被其泽
'er'min'huan'le'zhi 而民欢乐之
'er'min'mo'zhi'si'ye 而民莫之死也
'er'qi'you'qi'di'yi 而齐有其地矣
'er'qi'you'qi'min'yi 而齐有其民矣
'er'ren'fu'tian'xia'yi 而仁覆天下矣
'er'san'zi'he'huan'hu'wu'jun 二三子何患乎无君
'er'sao'shi'zhi'zhen'qi 二嫂使治朕栖
'er'si'yu'zhi'wu'zi'zhi'lu'jue 而私与之吾子之禄爵
'er'sui'wei'bei'zhi 而遂位倍之
'er'tian'xia'gui'zhi 而天下归之
'er'tian'xia'ping 而天下平
'er'wang'bai'zhi 而往拜之
'er'wang'mo'zhi'neng'yu'ye 而王莫之能御也
'er'wang'qi'wei'shi'zai 而王岂为是哉
'er'wei'chang'you'xian'zhe'lai 而未尝有显者来
'er'wei'er 尔为尔
'er'wu'wang'yi'yi'nu'er'an'tian'xia'zhi'min 而武王亦一怒而安天下之民
'er'wu'wen 耳无闻
'er'xia'geng'hu 而暇耕乎
'er'xiang'qi'yu'zhong'ting 而相泣於中庭
'er'yan'neng'mei'wo'zai 尔焉能浼我哉
'er'yi'bu'chuo'ye 而以哺啜也
'er'yi'zi'er'ben'gu'ye 而夷子二本故也
'er'you'hai'zhi 而又害之
'er'zhe'jie'fa'yao 二者皆法尧
'er'zhi'chu'you'zhe 而之楚游者
'er'zhu'zhi'jiang 而注之江
'er'zhu'zhu'hai 而注诸海
'er'zi'wei'wo'yuan'zhi'hu 而子为我愿之乎
'er'zi'yue'zhi 而子悦之
'fa'cheng'shi'er'hou'fan 发乘矢而後反
'fa'er'bu'chan 法而不廛
'fa'er'bu'zhong 发而不中
'fa'wan'sheng'zhi 伐万乘之
'fa'wan'sheng'zhi'guo 伐万乘之国
'fa'yu'qi'zheng 发於其政
'fan'er'qiu'zhi 反而求之
'fan'er'yan'zhi 反而掩之
'fan'hai'fu'zi 反害夫子
'fan'hu'er'zhe'ye 反乎尔者也
'fan'ming'yue 反命曰
'fan'qi'mao'ni 反其旄倪
'fan'qi'teng'zhi'lu 反齐滕之路
'fan'qiu'zhu'ji'er'yi'yi 反求诸己而已矣
'fan'shen'bu'cheng 反身不诚
'fan'you'si'duan'yu'wo'zhe 凡有四端於我者
'fan'yu'qi 反於齐
'fan'zhi'er'wei'chang'yu'yan'xing'shi 反之而未尝与言行事
'fang'bi'xie'chi 放辟邪侈
'fang'hu'si'hai 放乎四海
'fang'li'er'jing 方里而井
'fang'ming'nue'min 方命虐民
'fang'qi'shi'li 方七十里
'fang'qian'li'zhe'jiu 方千里者九
'fang'si'shi'li 方四十里
'fang'xun'yue 放勋曰
'fang'yin'ci 放淫辞
'fang'yu'lang'xie 放於琅邪
'fang'yuan'zhi'zhi'ye 方员之至也
'fei'bu'neng'ye 非不能也
'fei'chi'zi'zhi'zui'ye 非赤子之罪也
'fei'ci'zhi'wei'ye 非此之谓也
'fei'e'qi'sheng'er'ran'ye 非恶其声而然也
'fei'fu'tian'xia'ye 非富天下也
'fei'guo'zhi'hai'ye 非国之害也
