'a'lai'ye'shi 阿赖耶识
'er'shi'er'gen 二十二根
'er'shi'lun 二十论
'er'shi'san'di 二十三谛
'er'shi'song 二十颂
'er'shi'sui'fan'nao 二十随烦恼
'er'shi'wu'di 二十五谛
'er'shi'zhu'wei'shi 尔时住唯识
'er'xiang 二相
'er'yin'xi'qi 二因习气
'er'zhi'shou 二执受
'er'zhong'fan'nao 二种烦恼
'er'zhong'fan'nao'duan'guo 二种烦恼断果
'er'zhong'jie'tuo 二种解脱
'er'zhong'jie'tuo'cheng'jiu 二种解脱成就
'er'zhong'kong 二种空
'er'zhong'ku 二种苦
'er'zhong'mie 二种灭
'er'zhong'qi'shi 二种乞食
'er'zhong'wu'wo'sheng'jie 二种无我胜解
'er'zhong'za'ran 二种杂染
'er'zhong'zhuan'yi 二种转依
'er'zhuan'yi'guo 二转依果
'fa'cheng 法称
'fa'er'dao'li 法尔道理
'fa'jing 法境
'fa'shi'yong 法士用
'fa'wei'gui'chi 法谓轨持
'fa'xiang'suo'she 法相所摄
'fa'xing 法性
'fa'xing'shen 法性身
'fa'ying 发蝇
'fan'gu'nong 范古农
'fan'nao'chan 烦恼缠
'fan'nao'duan'guo 烦恼断果
'fan'nao'wei'tan'chen 烦恼谓贪瞋
'fan'nao'xin'suo 烦恼心所
'fan'nao'zhang'jing'zhi'suo'xing'zhen'shi 烦恼障净智所行真实
'fan'nao'zhang'zhong 烦恼障种
'fan'zhi 梵志
'fang'yi'ji'shi'nian 放逸及失念
'fei'bu'jian'ci'bi 非不见此彼
'fei'cu'fei'ran 非粗非染
'fei'fu'ye 非福业
'fei'liang 非量
'fei'lv'yi 非律仪
'fei'shi'zhu'wei'shi 非实住唯识
'fei'wu 非无
'fei'yi'fei'bu'yi 非异非不异
'fei'yi'qie'shi 非一切时
'fei'yu 非于
'fen'bie'ai'fei'ai'yuan'qi 分别爱非爱缘起
'fen'bie'suo'fen'bie 分别所分别
'fen'bie'xi'lun 分别戏论
'fen'bie'yi 分别依
'fen'bie'yuan'suo'sheng 分别缘所生
'fen'bie'zi'xing'yuan'qi 分别自性缘起
'fen'fa 愤发
'fu'duan 伏断
'fu'fei'fu 福非福
'fu'mie 伏灭
'fu'sheng'yu'yi'shu 复生余异熟
'fu'ye 福业
'fu'you 复有
'fu'zhi'zi'liang 福智资粮
'gan'zhi'qi'guan 感知器官
'gen'ben'yi 根本依
'gen'chen'san 根尘三
'gen'chen'shi 根尘识
'gen'lv'yi 根律仪
'gen'shen 根身
'gen'shen'qi 根身器
'gong'ji 共集
'gong'xiang 共相
'gong'xu 共许
'gu'ci'yu'yi'ta 故此与依他
'gu'fo'mi'yi'shuo 故佛密意说
'gu'si'yi'jie'cheng 故四义皆成
'gu'yi'qie'wei'shi 故一切唯识
'guan'dai'dao'li 观待道理
'gui'zha 诡诈
'guo'bian 果变
'guo'fa 果法
'guo'man 过慢
'guo'neng'bian 果能变
'han'jing'qing 韩镜清
'han'qing'jing 韩清净
'he'xiang'guan 合相观
'he'yi 何义
'he'yin 何因
'he'yuan 何缘
'hen'fu'nao'ji'qian 恨覆恼嫉悭
'heng'zhuan'ru'pu'liu 恒转如瀑流
'hou'de'zhi 后得智
'hou'er'fen 后二分
'hou'san'fen 后三分
'hou'you'yuan'li'qian 后由远离前
'hu'fa 护法
'hu'wei'yin'guo 互为因果
'huang'chan'hua 黄忏华
'hui'jie'tuo 慧解脱
'hui'xin'suo 慧心所
'hui'zhao 慧沼
'huo'ju'huo'bu'ju 或俱或不俱
'ji'an'yin 极安隐
'ji'an'yin'gu 极安隐故
'ji'cheng 极成
'ji'cheng'zhen'shi 极成真实
'ji'chu'shi'jue'ding 即处时决定
'ji'ji 积集
'ji'le'bie'jing'shi 及了别境识
'ji'lun 集论
'ji'mie 即灭
'ji'nie'pan'zheng'de 及涅槃证得
'ji'qun 济群
'ji'qun'fa'shi 济群法师
'ji'shan 极善
'ji'shan'si'ze 极善思择
'ji'shao'pin'lei 及少品类
'ji'sheng'di 集圣谛
'ji'wei'shi'shi'xing 即唯识实性
'ji'wu'xin'er'ding 及无心二定
'ji'yi'ci'san'xing 即依此三性
'ji'yu'chu'deng'ju 及余触等俱
'ji'zhong 极重
'jia'hang 加行
'jia'hang'wu'jian 加行无间
'jia'hang'zhi 加行智
'jia'li 假立
'jia'li'zi'xing 假立自性
'jia'shi 假实
'jia'shi'fen'bie 假实分别
'jia'shuo'zi'xing 假说自性
'jia'yan'zi'xing 假言自性
'jian'bie 简别
'jian'fei 简非
'jian'fei'zhong'shi 简非种识
'jian'fen 见分
'jian'huo 见惑
'jian'si'er'huo 见思二惑
'jian'xiang 见相
'jian'xiang'er'fen 见相二分
'jian'zhu 坚住
'jian'zhu'xing 坚住性
'jiang'ji 讲记
'jie'bu'ying'cheng 皆不应成
'jie'cha'bie'xing 界差别性
'jie'jian 皆见
'jie'san'shou'xiang'ying 皆三受相应
'jie'shen'mi'jing 解深密经
'jie'shen'mi'jing'yu'ti'shi 解深密经语体释
'jie'tuo'shen 解脱身
'jie'wu'zi'xing 皆无自性
'jin'suo'you'xing 尽所有性
'jing'jie'yi 境界依
'jing'jin 精进
'jing'jin'xin'suo 精进心所
'jing'lv 静虑
'jing'shang'xuan'zhen 井上玄真
'jing'xiang 境相
'jing'zhi 净智
'ju'bu'ju'qi 俱不俱起
'ju'jie'tuo 俱解脱
'ju'ping'deng'jian 具平等见
'ju'ping'deng'xin 具平等心
'ju'qi 俱起
'ju'sheng'fen'bie 俱生分别
'ju'you 俱有
'ju'you'yi 俱有依
'ju'you'yin 俱有因
'juan'ba 卷八
'juan'er 卷二
'juan'jiu 卷九
'juan'liu 卷六
'juan'qi 卷七
'juan'san 卷三
'juan'shi 卷十
'juan'si 卷四
'juan'wu 卷五
'juan'yi 卷一
'jue'yin 觉音
'jue'zhu'xi'lun 绝诸戏论
'kai'dao'yi 开导依
'ku'kong'wu'wo 苦空无我
'ku'sheng'di 苦圣谛
'ku'wei'shi'ku 苦唯是苦
'kuang'chan'yu'hai'jiao 诳谄与害憍
'kui'ji 窥基
'kui'xin'suo 愧心所
'lai'ye'shi 赖耶识
'lai'ye'xin 赖耶心
'lao'lv 劳虑
'le'bie'zhen'ru 了别真如
'le'jing 了境
'le'jing'wei'xing'xiang 了境为性相
'le'jing'xiang'cu 了境相粗
'le'wei'shi'le 乐唯是乐
'lei'bie'wei'san 类别唯三
'li'bi'san'wu'xing 立彼三无性
'li'dao 离倒
'li'er'qu'xiang'gu 离二取相故
'li'jiao 理教
'li'jiao'tui'zheng 理教推征
'li'le'zhu'you'qing 利乐诸有情
'li'shi 离识
'li'xi'guo 离系果
'li'xiang'guan 离相观
'li'yan'fa'xing 离言法性
'li'yan'zi'xing 离言自性
'li'yi'an'le 利益安乐
'li'you'li'wu 离有离无
'lian'dai 连带
'liang'guo 量果
'liang'lun 量论
'lin'guo'liang 林国良
'ling'bi'yong'mie 令彼永灭
'ling'xin 令心
'liu'gen'ben'fan'nao 六根本烦恼
'liu'ju'yi 六句义
'liu'shi 六识
'liu'shu'nei'chu 六数内处
'liu'shu'wai'chu 六数外处
'liu'zhuan'zhen'ru 流转真如
'long'shu 龙树
'lun'yue 论曰
'lv'cheng 吕澂
'lv'cheng 吕澄
'lv'qiu'yi 吕秋逸
'lv'yi 律仪
'man'fen'qing'jing'zhe 满分清净者
'man'guo'man 慢过慢
'man'wei 满位
'man'xin'suo 慢心所
'mei'guang'xi 梅光曦
'mei'lie 昧劣
'mei'lie'yin'hui 昧劣隐晦
'mei'shi 寐时
'mi'le'pu'sa 弥勒菩萨
'mi'lin 秘吝
'miao'guan'cha'zhi 妙观察智
'mie'sheng'di 灭圣谛
'ming'ju'wen 名句文
'ming'mu 名目
'ming'se 名色
'ming'xun'si 名寻思
'ming'yan'zhong'zi 名言种子
'mo'na 末那
'mo'na'shi 末那识
'na'luo'jia 捺落迦
'nai'zhi'wei'qi'shi 乃至未起识
'nan'tuo 难陀
'nei'shi 内识
'nei'yuan 内缘
'neng'bian'shi 能变识
'neng'gan 能感
'neng'liang 能量
'neng'qu'shi 能取识
'neng'quan 能诠
'neng'wei'bi'hai'shi 能为逼害事
'neng'xun 能熏
'neng'xun'fa 能熏法
'neng'xun'si'yi 能熏四义
'neng'yi 能依
'neng'yin'wu'lou'zhi 能引无漏智
'neng'yuan 能缘
'neng'yuan'shi'yong 能缘势用
'neng'yuan'xin 能缘心
'neng'zuo 能作
'neng'zuo'yin 能作因
'nian'xin'suo 念心所
'nie'pan'zi'liang 涅槃资粮
'nuan'ding 暖顶
'nuan'ding'ren'shi'di'yi'wei 暖顶忍世第一位
'ou'yang'jian 欧阳渐
'ou'yang'jing'wu 欧阳竞无
'pi'tan 毗昙
'pi'yu 譬喻
'pin'bie'bian'ji 品别边际
'pin'lei'cha'bie 品类差别
'ping'deng'xing'zhi 平等性智
'pu'sa'di 菩萨地
'pu'ti'fen 菩提分
'qi'fen 气分
'qi'jie 器界
'qi'shi 七识
'qi'shou'wei'shi'xing 稽首唯识性
'qi'yong 其用
'qi'zhen'ru 七真如
'qian'cang 潜藏
'qian'lin 悭吝
'qian'liu'shi 前六识
'qian'qi 前七
'qian'qi'shi 前七识
'qian'qi'zhuan'shi 前七转识
'qian'wu'shi 前五识
'qian'yi'shu'ji'jin 前异熟既尽
'qian'zai 潜在
'qian'zai'de'gong'neng 潜在的功能
'qian'zai'gong'neng 潜在功能
'qin'an'bu'fang'yi 勤安不放逸
'qin'sheng 亲胜
'qin'sheng'zi'guo 亲生自果
'qin'xiu'xi 勤修习
'qin'yin 亲因
'qin'yin'yuan 亲因缘
'qin'yin'zhong'zi 亲因种子
'qing'ben 情本
'qing'bian 清辨
'qing'jing'zhen'ru 清净真如
'qing'jing'zhong'zi 清净种子
'qing'ju 轻拒
'qing'ju'xian'shan 轻拒贤善
'qing'xi 轻细
'qiu'yi'xian'sheng 秋逸先生
'qiu'zhu 求住
'qiu'zhu'wei'shi'xing 求住唯识性
'quan'biao 诠表
'ran'jing'yi 染净依
'ran'wu'yi 染污意
'rao'luan'shen'xin 扰乱身心
'rao'yi 饶益
'ren'jing'shi'kong 忍境识空
'ren'ru 忍辱
'ren'shi'yong 人士用
'ren'shi'yu'cun'zai 认识与存在
'rou'gen 肉根
'ru'ci 如次
'ru'ci'dang'shuo 如次当说
'ru'fa'wu'wo 入法无我
'ru'meng'sun'you'yong 如梦损有用
'ru'shi'guan'cha 如实观察
'ru'shi'ru'shi'bian 如是如是变
'ru'shi'zhi 如实智
'ru'shi'zhi 如实知
'ru'suo'you'xing 如所有性
'ru'tao'bo'yi'shui 如涛波依水
'ru'tian'shang'bang'sheng 如天上傍生
'ru'wu'chang'deng'xing 如无常等性
'ru'yi'shan'jing 入已善净
'ruo'lie'ruo'sheng 若劣若胜
'ruo'ren'yu'le'zhi 若人欲了知
'ruo'shi'wu'shi'jing 若识无实境
'ruo'shi'yu'suo'yuan 若时于所缘
'san'liang 三量
'san'luan'bu'zheng'zhi 散乱不正知
'san'shi'yi'qie'fo 三世一切佛
'san'xing 三性
'san'xing'fen'bie 三性分别
'san'xing'zhu'fa 三性诸法
'san'yi 三依
'se'deng'xiang'shi 色等想事
'se'fa 色法
'se'jing 色境
'sha'men'guo 沙门果
'shan'bai 善白
'shan'bu'shan'ju'fei 善不善俱非
'shan'chang 善常
'shan'e'wu'ji 善恶无记
'shan'jing 善净
'shan'qiao 善巧
'shan'qu'kong'zhe 善取空者
'shan'ru'kong'xing 善入空性
'shan'wei'xin'can'kui 善谓信惭愧
'shan'xin'suo 善心所
'shang'ren 上忍
'she'da'cheng'lun 摄大乘论
'she'er'cu'zhong'gu 舍二粗重故
'she'gen 舌根
'she'jin 摄尽
'she'lun 摄论
'she'shi 舌识
'she'yong'gui'ti 摄用归体
'shen'bu 深怖
'shen'bu'ding'ru'gui 身不定如鬼
'shen'gen 身根
'shen'mi 深密
'shen'shi 身识
'shen'xin'jie 深信解
'shen'zhong 沈重
'sheng'di'xian'guan 圣谛现观
'sheng'jie 胜解
'sheng'jie'nian'ding'hui 胜解念定慧
'sheng'jie'xin'suo 胜解心所
'sheng'jing 声境
'sheng'li 胜力
'sheng'li'gong'de 胜利功德
'sheng'lun'pai 胜论派
'sheng'lun'shi 胜论师
'sheng'si'xiang'xu 生死相续
'sheng'wen'di 声闻地
'sheng'xian 生现
'sheng'yi'fa'xing 胜义法性
'sheng'yi'zi'xing 胜义自性
'sheng'yong 胜用
'sheng'zeng'shang'yuan 胜增上缘
'sheng'zhe'li'dao 圣者离倒
'sheng'zi'liang 胜资粮
'shi'ba'jie 十八界
'shi'bian 识变
'shi'chong'zhang 十重障
'shi'chu'shi'jian'zhi 是出世间智
'shi'da'lun'shi 十大论师
'shi'de'ye 实德业
'shi'di'yi'fa 世第一法
'shi'fu 士夫
'shi'jian'ji'cheng'zhen'shi 世间极成真实
'shi'jian'zhen'shi 世间真实
'shi'jian'zhi 世间智
'shi'li 势力
'shi'li'qiang'sheng 势力强盛
'shi'liang'lun 释量论
'shi'qin'pu'sa 世亲菩萨
'shi'qin'shi 世亲释
'shi'she 施设
'shi'sheng'xing 十胜行
'shi'shi'ming'mo'na 是识名末那
'shi'su'chuan'xi 世俗串习
'shi'su'di 世俗谛
'shi'su'di'fa 世俗谛法
'shi'suo'bian 识所变
'shi'suo'bian'xiang 识所变相
'shi'suo'gong'le 世所共了
'shi'wu'fu'wu'ji 是无覆无记
'shi'xing 实性
'shi'yi 实义
'shi'yi'shan'xin'suo 十一善心所
'shi'yong 士用
'shi'yong'guo 士用果
'shi'you 实有
'shi'you'qing 实有情
'shi'you'wei'shi 实有唯事
'shi'zai'xing 实在性
'shi'zhen'ru 十真如
'shi'zhong'zhong 识中种
'shi'zhu'shi'zhuan'bian 是诸识转变
'shou'bi'hai'ku 受逼害苦
'shou'sheng'si'ku 受生死苦
'shou'xin'suo 受心所
'shou'xun 受熏
'shou'yong'shen 受用身
'shu'guan'cha 数观察
'shu'ji 述记
'shu'lun'pai 数论派
'shu'lun'shi 数论师
'shu'qin'yuan 疏亲缘
'shu'she 数摄
'shu'shu 数数
'shu'shu'guan'cha 数数观察
'shu'shu'si'wei 数数思维
'shu'shu'xiu'xi 数数修习
'shu'xi 数习
'shu'xi'yuan'sheng 数习缘生
'shu'xiu'xi 数修习
'shuai'er 率尔
'shuai'er'er'jue 率尔而觉
'shuang'yan 双言
'shuang'yin 双印
'shuang'yin'kong'xiang 双印空相
'shui'mian'yu'men'jue 睡眠与闷绝
'shun'jie'tuo'fen 顺解脱分
'shun'jue'ze'fen 顺抉择分
'shun'pu'ti'fen 顺菩提分
'shun'yi 顺益
'shun'yi'xiang 顺益相
'si'a'han 四阿含
'si'di'shi'liu'xing 四谛十六行
'si'di'shi'liu'xing'guan 四谛十六行观
'si'fan'nao'chang'ju 四烦恼常俱
'si'fen 四分
'si'huo 思惑
'si'jing'lv 四静虑
'si'liang'wei'xing'xiang 思量为性相
'si'suo'cheng 思所成
'si'suo'cheng'di 思所成地
'si'wai'jing'xian 似外境现
'si'xin'suo 思心所
'si'yuan 四缘
'song'yue 颂曰
'su'ji 速疾
'su'ping 酥瓶
'su'zheng 速证
'sui'fan'nao'bu'ding 随烦恼不定
'sui'fan'nao'wei'fen 随烦恼谓忿
'sui'mian 随眠
'sui'neng'sui'li 随能随力
'sui'shun'jia'li 随顺假立
'sui'shun'shi'su'chuan'xi 随顺世俗串习
'sui'suo'sheng'suo'xi 随所生所系
'sui'wu'liang'zhong 虽无量种
'sui'yi 随一
'suo'biao 所表
'suo'ji 所籍
'suo'ji'yuan'shao 所籍缘少
'suo'liang 所量
'suo'qu'jing 所取境
'suo'quan 所诠
'suo'she 所摄
'suo'sheng'ku 所生苦
'suo'sheng'le 所生乐
'suo'xian 所显
'suo'xian 所现
'suo'xing 所行
'suo'xing'jing 所行境
'suo'xing'jing'jie 所行境界
'suo'xing'yi 所行义
'suo'xing'yi'gu 所行义故
'suo'xing'zhen'shi 所行真实
'suo'xue'cha'bie 所学差别
'suo'xun 所熏
'suo'xun'fa 所熏法
'suo'xun'si'yi 所熏四义
'suo'yin'ru'shi'zhi 所引如实智
'suo'yuan 所缘
'suo'yuan'shi'bu'tong 所缘事不同
'suo'yuan'yuan 所缘缘
'suo'zhi 所执
'suo'zhi'bang'sheng'gui 所执傍生鬼
'suo'zhi'bian'jie 所知边界
'suo'zhi'wo'fa'xing 所执我法性
'suo'zhi'zhang'jing'zhi'suo'xing'zhen'shi 所知障净智所行真实
'suo'zhi'zhang'zhong 所知障种
'tai'xu'kong 太虚空
'tan'xin'suo 贪心所
'tang'da'yuan 唐大圆
'tang'si'peng 唐思鹏
'tang'zhong'rong 唐仲容
'ti'fei'xu'miu 体非虚谬
'ti'po 提婆
'ti'xiang 体相
'tian'qin'pu'sa 天亲菩萨
'tie'di 铁地
'tong'chu'tong'shi 同处同时
'tong'deng'liu'lei 同等流类
'tong'jian'nong'he'deng 同见脓河等
'tong'jian'yu'zu'deng 同见狱卒等
'tong'jing'yi 同境依
'tong'lei'yin 同类因
'tong'ye'yi'shu 同业异熟
'tong'yi'chu'shi 同一处时
'tong'yi'shu'xing 同一属性
'tuo'zhong'yuan'sheng 托众缘生
'wai'fa 外法
'wai'jing 外境
'wai'yuan 外缘
'wang'en'yang 王恩洋
'wei'da 未达
'wei'jing 味境
'wei'le'bie 唯了别
'wei'liang 唯量
'wei'miao 微妙
'wei'ming 唯名
'wei'ni 违逆
'wei'qing'xi'gu 违轻细故
'wei'ren'shi 唯认识
'wei'shi 唯事
'wei'shi 唯是
'wei'shi 唯识
'wei'shi'er'shi'lun 唯识二十论
'wei'shi'er'shi'song 唯识二十颂
'wei'shi'san'shi'song 唯识三十颂
'wei'shi'san'shi'song'jiang'ji 唯识三十颂讲记
'wei'shi'suo'bian 唯识所变
'wei'shi'wei 唯识位
'wei'shi'wei'shi'xing 谓是唯识性
'wei'shi'xiang 唯识相
'wei'shi'xiang'xing 唯识相性
'wei'shi'xing 唯识性
'wei'shi'xing'xiang 唯识性相
'wei'shi'zhi'zhang 唯识指掌
'wei'ti'wu'lou 谓体无漏
'wei'wo'chi'wo'jian 谓我痴我见
'wei'xi'qing'gu 违细轻故
'wei'xian 惟贤
'wei'xing 为性
'wei'ye 为业
'wei'yi'qie'fa 谓一切法
'wei'yi'shu'si'liang 谓异熟思量
'wei'you'zhu'yun'ke'de 唯有诸蕴可得
'wei'zhe'wai'jing 唯遮外境
'wen'nan 问难
'wen'suo'cheng 闻所成
'wen'suo'cheng'di 闻所成地
'wo'bu'ke'de 我不可得
'wo'fa 我法
'wo'fa'zi'xing 我法自性
'wo'fen'bie 我分别
'wo'jin'shi'bi'shuo 我今释彼说
'wo'suo'fen'bie 我所分别
'wo'wei'zhu'zai 我谓主宰
'wo'wo'suo'fen'bie 我我所分别
'wu'bian'xi'you 无边稀有
'wu'bian'xing 五遍行
'wu'bie'jing 五别境
'wu'can'ji'wu'kui 无惭及无愧
'wu'dao'jian'li 无倒建立
'wu'dao'zuo'yi 无倒作意
'wu'de'bu'si'yi 无得不思议
'wu'er'suo'xian 无二所显
'wu'fen'bie'zhi 无分别智
'wu'fu 无覆
'wu'fu'wu'ji 无覆无记
'wu'ji 无记
'wu'ji'zhong'zi 无记种子
'wu'liang'yi 无量义
'wu'lou 无漏
'wu'lou'fa 无漏法
'wu'lou'gen'ben'zhi 无漏根本智
'wu'lou'hou'de'shi'jian'zhi 无漏后得世间智
'wu'lou'hou'de'zhi 无漏后得智
'wu'lou'shan'fa 无漏善法
'wu'lou'wu'wei'fa 无漏无为法
'wu'lou'you'wei'fa 无漏有为法
'wu'lou'zhi 无漏智
'wu'neng'qu 无能取
'wu'ru'jue'hui 悟入觉慧
'wu'shi 五识
'wu'shi 寤时
'wu'shi 无始
'wu'shi'shi'lai'jie 无始时来界
'wu'shi'sui'yuan'xian 五识随缘现
'wu'shi'wu'xiang 无事无相
'wu'shu'yun 五数蕴
'wu'suo'qu 无所取
'wu'tan'deng'san'gen 无贪等三根
'wu'wei'fa 无为法
'wu'xi'lun'li 无戏论理
'wu'xing'shi 无性释
'wu'yin'sheng'lun 无因生论
'wu'zhu'pu'sa 无著菩萨
'xi'huo 细惑
'xi'qing 细轻
'xi'suo'cheng'zhong 习所成种
'xi'zhuan 细转
'xia'ren 下忍
'xian'guan 现观
'xian'guo 现果
'xian'liang 现量
'xian'qian'li'shao'wu 现前立少物
'xian'shan 贤善
'xian'xian 显现
'xian'xing 现行
'xian'xing'bian 现行变
'xian'xing'fan'nao 现行烦恼
'xian'xing'guo 现行果
'xian'xing'guo'fa 现行果发
'xian'xing'qin'yin 现行亲因
'xian'xing'shi 现行识
'xian'yang 显扬
