'ben'dui'chuan'fa'ren 本对传法人
'wu'ci'yin'xian'fa 悟此隐显法
'wu'dao'yi'wu'li 无道亦无理
'wu'fa'wu'fei'fa 无法无非法
'wu'le'tong'wei'wu 悟了同未悟
'wu'liao'wu'wu'fa 悟了无无法
'wu'qing'ji'wu'zhong 无情既无种
'wu'shi're'chen'ai 勿使惹尘埃
'wu'shi'wu'fei'fa 无是无非法
'wu'tou'yi'wu'wei 无头亦无尾
'wu'xi'yi'wu'you 无喜亦无忧
'wu'xin'wu'ke'de 无心无可得
'wu'xin'yi'wu'fa 无心亦无法
'wu'xing'yi'wu'sheng 无性亦无生
'wu'xing'yi'wu'zhi 无行亦无止
'wu'zhong'yi'wu'shi 无终亦无始
'xin'ben'wu'sheng'yin'jing'you 心本无生因境有
'xin'di'ben'wu'xing 心地本无行
'xin'di'han'zhu'zhong 心地含诸种
'xin'di'sheng'zhu'zhong 心地生诸种
'xin'fa'yi'ru'ci 心法亦如此
'xin'ru'ming'jing'tai 心如明镜台
'xin'sui'wan'jing'zhuan 心随万境转
'xin'tong'xu'kong'jie 心同虚空界
'xin'zi'ben'lai'xin 心自本来心
'xing'shang'ben'wu'sheng 性上本无生
'xu'kong'wu'nei'wai 虚空无内外
'yan'xia'he'wu'sheng 言下合无生
'yi'hua'kai'wu'ye 一花开五叶
'yi'qie'zhong'sheng'xing'qing'jing 一切众生性清净
'yi'yin'sheng'qiu'wo 以音声求我
'yin'di'cong'yuan'qi 因地从缘起
'yin'di'guo'hai'sheng 因地果还生
'yin'di'hua'sheng'sheng 因地华生生
'yin'di'zhong'hua'sheng 因地种花生
'yin'ming'xian'zhen'li 因名显真理
'yin'shi'fu'sheng'li 因事复生理
'yin'xian'ji'ben'fa 隐显即本法
'yin'yuan'neng'fa'meng 因缘能发萌
'yin'zhen'shuo'you'li 因真说有理
'ying'yuan'er'hua'wu 应缘而化物
'you'fa'you'ben'xin 有法有本心
'you'fa'you'bu'fa 有法有不法
'you'qing'lai'xia'zhong 有情来下种
'you'ru'huan'chu'zhu'xing'xiang 犹如幻出诸形象
'you'zhong'you'xin'di 有种有心地
'yu'fa'ji'wu'de 于法既无得
'yu'fa'shi'wu'zheng 于法实无证
'yu'fa'xin'bu'zheng 于法心不证
'yu'yuan'bu'xiang'ai 于缘不相碍
'yuan'zhong'bu'xiang'fang 缘种不相妨
'zao'zhu'e'ye'yi'shi'huan 造诸恶业亦是幻
'ze'jian'ru'lai 则见如来
'zhen'li'ben'wu'ming 真理本无名
'zhen'ti'zi'ran'zhen 真体自然真
'zhen'xing'xin'di'cang 真性心地藏
'zheng'de'xu'kong'shi 证得虚空时
'zheng'shuo'zhi'jian'shi 正说知见时
'zhi'jian'ji'yu'jin 知见即于今
'zhi'jian'ju'shi'xin 知见俱是心
'zhi'zhe'neng'zhi'zui'xing'kong 智者能知罪性空
'zhu'xing'wu'chang 诸行无常
'zhuan'chu'shi'neng'you 转处实能幽
'zui'fu'jie'kong'wu'suo'zhu 罪福皆空无所住
'zui'fu'ru'huan'qi'yi'mie 罪福如幻起亦灭
