'a'ben'da'zuo'jiao'nang 阿苯达唑胶囊
'a'xi'luo'wei'pu'tao'tang'zhu'she'ye 阿昔洛韦葡萄糖注射液
'a'xi'luo'wei'ru'gao 阿昔洛韦乳膏
'a'xi'luo'wei'ruan'gao 阿昔洛韦软膏
'a'xi'nuo'a'mo'xi'lin'ke'la'wei'suan'jia'pian 阿西诺阿莫西林克拉维酸钾片
'ai'bao'liao 爱宝疗
'ai'bao'liao'shuan 爱宝疗栓
'ai'di'ben'kun'pian 艾地苯醌片
'ai'fu'nuan'gong'wan 艾附暖宫丸
'ai'huo'dan'tong'jiao'nang 爱活胆通胶囊
'ai'jie'te'na'mi'yin'fu'nv'wai'yong'kang'jun'ning'jiao 爱杰特纳米银妇女外用抗菌凝胶
'ai'lan'de'er'tong'gai'tie'xin'ju'jue'pian 艾兰得儿童钙铁锌咀嚼片
'ai'lan'de'hui'duo'duo'wei'pian 艾兰得惠多多维片
'ai'lan'de'pai'hui'duo'duo'wei'pian'cheng'ren'xing 艾兰得牌惠多多维片成人型
'ai'li'bo'li'suan'na'di'yan'ye 爱丽玻璃酸钠滴眼液
'ai'mao'er'zhu'she'ye 爱茂尔注射液
'ai'pu'lie'te'pian 爱普列特片
'ai'qi'tong'dan'xiao'suan'yi'shan'li'zhi'zhu'she'ye 埃奇通单硝酸异山梨酯注射液
'ai'suo'mei'la'zuo'mei'chang'rong'pian 埃索美拉唑镁肠溶片
'ai'tiao 艾条
'ai'ting'yan'suan'bi'ge'lie'tong'pian 艾汀盐酸吡格列酮片
'ai'wei'duo'nai'min'wei'di'yan'ye 艾唯多萘敏维滴眼液
'ai'ye 艾叶
'ai'ye'you'ruan'jiao'nang 艾叶油软胶囊
'ai'zuo'xin'yan'suan'zuo'yang'fu'sha'xing'pian 爱佐欣盐酸左氧氟沙星片
'an'ben'die'ding'pian 氨苯喋啶片
'an'ben'die'ding'pian 氨苯蝶啶片
'an'bian'xi'lin'bing'huang'shu 氨苄西林丙磺舒
'an'bian'xi'lin'bing'huang'shu'jiao'nang 氨苄西林丙磺舒胶囊
'an'bian'xi'lin'jiao'nang 氨苄西林胶囊
'an'bian'xi'lin'jiao'nang'jing 氨苄西林胶囊精
'an'bian'xi'lin'ke'li 氨苄西林颗粒
'an'cha'jian'pian 安茶碱片
'an'cha'jian'pian 氨茶碱片
'an'cha'jian'zhu'she'ye 氨茶碱注射液
'an'di'yan'suan'xi'ti'li'qin'pian 安迪盐酸西替利嗪片
'an'dian'tai'di'yan'ye 氨碘肽滴眼液
'an'dian'tai'zhu'she'ye 氨碘肽注射液
'an'er'ke'zhu'she'ye'bi'luo'xi'kang 安尔克注射液吡罗昔康
'an'fen'dai'yin'pian 氨酚待因片
'an'fen'ka'huang'wan'an'pian 氨酚咖黄烷胺片
'an'fen'ka'huang'wan'an'pian'yan'kang 氨酚咖黄烷胺片言康
'an'fen'ka'na'min'pian 氨酚咖那敏片
'an'fen'ka'pi'lin'pian 氨酚咖匹林片
'an'fen'ma'mei'tang'jiang 氨酚麻美糖浆
'an'fen'mei'fen'wei'ma'fen'san'pian 氨酚美芬伪麻分散片
'an'fen'mei'wei'ma'yu'ben'fen'wei'ma'pian 氨酚美伪麻与苯酚伪麻片
'an'fen'qiang'kao'tong'jiao'nang 氨酚羟考酮胶囊
'an'fen'qiang'kao'tong'pian 氨酚羟考酮片
'an'fen'qu'ma'duo'pian 氨酚曲马多片
'an'fen'wan'an'na'min'jiao'nang 氨酚烷胺那敏胶囊
'an'fen'wei'ma'fen'san'pian 氨酚伪麻分散片
'an'fen'wei'ma'mei'fen'pian 氨酚伪麻美芬片
'an'fen'wei'ma'na'min'pao'teng'ke'li 氨酚伪麻那敏泡腾颗粒
'an'fen'wei'ma'na'min'pian 氨酚伪麻那敏片
'an'fen'wei'ma'pian 氨酚伪麻片
'an'gan'ning'an'ka'huang'min'jiao'nang 安感宁氨咖黄敏胶囊
'an'gong'jiang'ya'wan 安宫降压丸
'an'gong'niu'huang'wan 安宫牛黄丸
'an'ji'bi'lin'ka'fei'yin'pian 氨基比林咖啡因片
'an'ji'ji'suan'zhu'she'ye 氨基己酸注射液
'an'ji'pu'tao'tang'suan'gai'pian 氨基葡萄糖酸钙片
'an'ji'suan'ao'he'gai'ruan'jiao'nang 氨基酸螯合钙软胶囊
'an'ji'suan'kou'fu'ye 氨基酸口服液
'an'ji'suan'kou'fu'ye'li'he 氨基酸口服液礼盒
'an'ji'suan'zhu'she'ye 氨基酸注射液
'an'ji'suan'zhu'she'ye'luo'an'ming 氨基酸注射液洛安命
'an'ji'yi'xian'ji'ta'mei'su'han'pian 安吉乙酰吉他霉素含片
'an'jia'ben'suan'lv'hua'na'zhu'she'ye 氨甲苯酸氯化钠注射液
'an'jia'ben'suan'zhu'she'ye 氨甲苯酸注射液
'an'jia'ben'suan'zhu'she'ye'zhi'xi'fang'suan 氨甲苯酸注射液止西芳酸
'an'jia'ben'suan'zhu'she'ye'zhi'xue'fang'suan 氨甲苯酸注射液止血芳酸
'an'jia'huan'suan'jiao'nang 氨甲环酸胶囊
'an'jia'huan'suan'lv'hua'na'zhu'she'ye 氨甲环酸氯化钠注射液
'an'jia'huan'suan'pian 氨甲环酸片
'an'jia'huan'suan'zhu'she'ye 氨甲环酸注射液
'an'jin'huang'min'ke'li 氨金黄敏颗粒
'an'jin'huang'min'ke'li'jin'li'shuang 氨金黄敏颗粒金立爽
'an'jun'ning'nong'suo'wan 安君宁浓缩丸
'an'ka'gan'pian 氨咖甘片
'an'ka'gan'pian'xin'fang'zhou'nao'ning 氨咖甘片新方舟脑宁
'an'ka'huang'min'jiao'nang 氨咖黄敏胶囊
'an'ka'huang'min'jiao'nang'jin'ku'kang 氨咖黄敏胶囊金苦康
'an'ka'huang'min'jiao'nang'su'xiao'gan'mao'jiao'nang 氨咖黄敏胶囊速效感冒胶囊
'an'ka'huang'min'jiao'nang'su'xiao'shang'feng'jiao'nang 氨咖黄敏胶囊速效伤风胶囊
'an'ka'huang'min'pian 氨咖黄敏片
'an'ka'huang'min'pian'gan'you 氨咖黄敏片感优
'an'ka'huang'min'pian'su'xiao'shang'feng'gan'mao 氨咖黄敏片速效伤风感冒
'an'ka'yu'min'rong'ye 氨咖愈敏溶液
'an'kun'jiao'nang 安坤胶囊
'an'le'pian 安乐片
'an'le'shi'jia'ben'mi'zuo'pian 安乐士甲苯咪唑片
'an'luo'ling'zhu'she'yong'ka'luo'huang'na 安洛灵注射用卡络磺钠
'an'luo'tong'pian 安络痛片
'an'luo'xue'pian 安洛血片
'an'ma'mei'min'pian 氨麻美敏片
'an'mian'bu'nao'kou'fu'ye 安眠补脑口服液
'an'mian'bu'nao'tang'jiang 安眠补脑糖浆
'an'nai'jin'pian 安乃近片
'an'nai'jin'zhu'she'ye 安乃近注射液
'an'nao'pian 安脑片
'an'nao'wan 安脑丸
'an'niao'tong'gu'bing'gan'an'suan'jiao'nang 安尿通谷丙甘氨酸胶囊
'an'ning'pai'chang'rong'ruan'jiao'nang 桉柠蒎肠溶软胶囊
'an'qi'a'mo'xi'lin 安奇阿莫西林
'an'quan'tao 安全套
'an'quan'tao'du'lei'si 安全套杜蕾斯
'an'rui'ke'bu'luo'fen'ke'li 安瑞克布洛芬颗粒
'an'shen'bu'nao'jiao'nang 安神补脑胶囊
'an'shen'bu'nao'pian 安神补脑片
'an'shen'bu'nao'ye 安神补脑液
'an'shen'bu'xin'wan 安神补心丸
'an'shen'jian'nao'ye 安神健脑液
'an'shen'jiao'nang 安神胶囊
'an'shen'tang'jiang 安神糖浆
'an'shen'yi'nao'wan 安神益脑丸
'an'shi'jie'zhu'she'yong'tou'bao'pai'tong'na 安士杰注射用头孢哌酮钠
'an'su'mei'yan'suan'tou'bao'ta'mei'zhi'gan'hun'xuan'ji 安素美盐酸头孢他美酯干混悬剂
'an'tai'su'pian 氨肽素片
'an'tang'mei'xin'chang'rong'jiao'nang 氨糖美辛肠溶胶囊
'an'tang'mei'xin'chang'rong'pian 氨糖美辛肠溶片
'an'tang'mei'xin'chang'rong'pian 氨糖美锌肠溶片
'an'tong'ding'fu'fang'an'lin'ba'bi'tuo'zhu'she'ye 安痛定复方安林巴比妥注射液
'an'tuo'dian'zhu'she'ye 铵妥碘注射液
'an'wei'jiao'nang 安胃胶囊
'an'wei'ke'li 安胃颗粒
'an'wei'pian 安胃片
'an'wei'yang'jiao'nang 安胃疡胶囊
'an'xian'la'mo'san'qin'pian 安闲拉莫三嗪片
'an'xiu'suo'you'mei'sha'fen'kou'fu'rong'ye 氨溴索右美沙芬口服溶液
'an'xiu'te'luo'kou'fu'ye'yi'tan'jing 氨溴特罗口服液易坦静
'an'xiu'te'luo'pian 氨溴特罗片
'an'yu'mei'ma'fen'san'pian 氨愈美麻分散片
'ao'ba'ma'an'quan'tao 奥巴马安全套
'ao'dong'an'shen'bu'nao'ye 敖东安神补脑液
'ao'fu'xing'yang'fu'sha'xing'pian 奥复星氧氟沙星片
'ao'ka'xi'ping'pian 奥卡西平片
'ao'la'xi'tan'jiao'nang 奥拉西坦胶囊
'ao'la'xi'tan'zhu'she'ye 奥拉西坦注射液
'ao'la'xi'tan'zhu'she'ye'ou'lan'tong 奥拉西坦注射液欧兰同
'ao'luo'ta'ding'di'yan'ye'pa'tan'luo 奥洛他定滴眼液帕坦洛
'ao'mei'la'zuo'chang'rong'jiao'nang 奥美拉唑肠溶胶囊
'ao'mei'la'zuo'chang'rong'pian 奥美拉唑肠溶片
'ao'mei'la'zuo'mei'chang'rong'pian 奥美拉唑镁肠溶片
'ao'mei'la'zuo'na'chang'rong'pian 奥美拉唑钠肠溶片
'ao'mei'sha'tan'zhi'pian 奥美沙坦酯片
'ao'ni'an'quan'tao 奥尼安全套
'ao'rui'de'xiao'er'fu'fang'huang'an'er'jia'mi'ding'san 奥瑞德小儿复方磺胺二甲嘧啶散
'ao'sha'li'bo'gan'lu'chun'zhu'she'ye 奥沙利铂甘露醇注射液
'ao'sha'pu'qin'chang'rong'pian 奥沙普秦肠溶片
'ao'sha'pu'qin'pian 奥沙普秦片
'ao'tai'le'jiao'nang 澳泰乐胶囊
'ao'xiao'zuo'fen'san'pian 奥硝唑分散片
'ao'xiao'zuo'lv'hua'na'zhu'she'ye 奥硝唑氯化钠注射液
'ao'xiao'zuo'lv'hua'na'zhu'she'ye'ao'li'tuo 奥硝唑氯化钠注射液奥立妥
'ao'xiao'zuo'pian 奥硝唑片
'ao'xiao'zuo'shuan 奥硝唑栓
'ao'xiao'zuo'yin'dao'shuan 奥硝唑阴道栓
'ao'xiao'zuo'zhu'she'ye 奥硝唑注射液
'ao'zha'ge'lei'na'lv'hua'na'zhu'she'ye 奥扎格雷钠氯化钠注射液
'ao'zha'ge'lei'na'pu'tao'tang'zhu'she'ye 奥扎格雷钠葡萄糖注射液
'ba'bao'jing'feng'san 八宝惊风散
'ba'dou'gen'yang'guang'nan'hai 拔豆根阳光男孩
'ba'dou'gen'yang'guang'nv'hai 拔豆根阳光女孩
'ba'du'gao 拔毒膏
'ba'ji'tian 巴戟天
'ba'jiao'hui'xiang 八角茴香
'ba'ling'suo'jia'si'tan'kou'fu'ye'cheng'ren 霸灵羧甲司坦口服液成人
'ba'mi'er'a'si'pi'lin'pao'teng'pian 巴米尔阿司匹林泡腾片
'ba'qu'ting'zhu'she'yong'xue'ning'mei 巴曲亭注射用血凝酶
'ba'wei'he'wei'kou'fu'ye 八味和胃口服液
'ba'wei'rou'gui'jiao'nang 八味肉桂胶囊
'ba'wei'shi'hui'hua'wan 八味石灰华丸
'ba'wei'yi'shen'wan 八味益肾丸
'ba'wei'zhang'ya'cai'wan 八味獐牙菜丸
'ba'yun'ding 拔云锭
'ba'zhen'jiao'nang 八珍胶囊
'ba'zhen'ye 八珍液
'ba'zhen'yi'mu'jiao'nang 八珍益母胶囊
'ba'zhen'yi'mu'pian 八珍益母片
'ba'zhen'yi'mu'wan 八珍益母丸
'ba'zheng'he'ji 八正合剂
'ba'zheng'ke'li 八正颗粒
'ba'zheng'pian 八正片
'bai'a'si'pi'lin'chang'rong'pian'bai'a'si'pi'ling 拜阿司匹林肠溶片拜阿司匹灵
'bai'a'si'pi'ling'a'si'pi'lin'chang'rong'pian 拜阿司匹灵阿司匹林肠溶片
'bai'bang'pai'qing'you'mei'jiao'nang 百邦牌清由美胶囊
'bai'bao'dan'jiao'nang 百宝丹胶囊
'bai'bei'yi'fei'jiao'nang 百贝益肺胶囊
'bai'bian'dou 白扁豆
'bai'bu 百部
'bai'bu'zeng'li'wan 百补增力丸
'bai'cao'zhi'yang'gao 百草止痒膏
'bai'cao'zhi'yang'shuang 百草止痒霜
'bai'dai'fu'qu'ban'mei'bai'nong'suo'jiao'nang 白大夫祛斑美白浓缩胶囊
'bai'dai'jing'jiao'nang 白带净胶囊
'bai'dai'wan 白带丸
'bai'dian'feng'jiao'nang 白癜风胶囊
'bai'dian'feng'wan 白癜风丸
'bai'duo'bang'chuang'mian'xiao'du'pen'wu'ji 百多邦创面消毒喷雾剂
'bai'duo'bang'mo'pi'luo'xing 百多邦莫匹罗星
'bai'fan 白矾
'bai'fan'shi'lin 白凡士林
'bai'fan'shi'lin'xiao 白凡士林小
'bai'fu'le'yan'suan'mo'xi'sha'xing'pian 拜复乐盐酸莫西沙星片
'bai'fu'zi 白附子
'bai'guo 白果
'bai'guo'ren 白果仁
'bai'he'gu'jin'wan 百合固金丸
'bai'hua'she 白花蛇
'bai'hua'she'she'cao 白花蛇舌草
'bai'hua'she'she'cao'zhu'she'ye 白花蛇舌草注射液
'bai'hua'she'she'cao'zhu'she'ye'sao'ma 白花蛇舌草注射液扫码
'bai'hua'you 白花油
'bai'ji 白芨
'bai'ji'ke'li 白及颗粒
'bai'ji'li 白蒺藜
'bai'jia'hei'pian 白加黑片
'bai'jiang'cao 败酱草
'bai'jiang'pian 败酱片
'bai'jie'xi'ji 柏洁洗剂
'bai'jie'xi'ye 柏洁洗液
'bai'jie'zi 白芥子
'bai'jing'yu'yan'gao 白敬宇眼膏
'bai'ke'jing'tang'jiang 百咳静糖浆
'bai'ke'jing'tang'jiang'di'tang'xing 百咳静糖浆低糖型
'bai'ke'jing'tang'jiang'xiao'tan'ke 百咳静糖浆小谈克
'bai'kou 白蔻
'bai'kou'tiao'zhong'wan 白蔻调中丸
'bai'lian 白蔹
'bai'ling'chang'qing'song'miao'qi'pai'miao'qing'cha 百灵肠轻松苗奇牌苗清茶
'bai'ling'jiao'nang 百令胶囊
'bai'ling'pian 白灵片
'bai'ma'si'xiao'tong'tie 白马寺消痛贴
'bai'mao'gen 白茅根
'bai'mei'zhi'ke'ke'li 百梅止咳颗粒
'bai'nei'ting'bi'nuo'ke'xin'na'di'yan'ye 白内停吡诺克辛钠滴眼液
'bai'pu'nai'shi'jun'pian 白葡奈氏菌片
'bai'qian 白前
'bai'ren'shen 白人参
'bai'sha'shen 白沙参
'bai'shao 白芍
'bai'shao'zong'gan'jiao'nang 白芍总苷胶囊
'bai'shao'zong'gan'jiao'nang'pa'fu'lin 白芍总苷胶囊帕夫林
'bai'shi'qing're'ke'li 白石清热颗粒
'bai'shi'wan 白蚀丸
'bai'tai'nao'fu'qing'jiao'nang 百泰脑复清胶囊
'bai'tang'ping'a'ka'bo'tang'pian 拜唐平阿卡波糖片
'bai'tou'weng 白头翁
'bai'xian'pi 白藓皮
'bai'xian'pi 白鲜皮
'bai'xiao'dan 百消丹
'bai'xing'feng'jiao'feng'can'jiao'nang 百姓蜂胶蜂参胶囊
'bai'xuan'xia'ta're'jiao'nang 百癣夏塔热胶囊
'bai'xuan'xia'ta're'jiao'nang'pu'lin'song 百癣夏塔热胶囊普林松
'bai'xuan'xia'ta're'pian 百癣夏塔热片
'bai'zhi 白芷
'bai'zhi'shan'gan'mao'ke'li 白纸扇感冒颗粒
'bai'zhu 白术
'bai'zi'ren 柏子仁
'bai'zi'yang'xin'jiao'nang 柏子养心胶囊
'bai'zi'yang'xin'wan 柏子养心丸
'bai'zi'zi'xin'wan 柏子滋心丸
'ban'bian'lian 半边莲
'ban'lan'da'qing'ke'li 板蓝大青颗粒
'ban'lan'gen 板蓝根
'ban'lan'gen'di'wan 板蓝根滴丸
'ban'lan'gen'fen'san'pian 板蓝根分散片
'ban'lan'gen'han'pian 板蓝根含片
'ban'lan'gen'ke'li 板蓝根颗粒
'ban'lan'gen'ke'li'wu'tang'xing 板蓝根颗粒无糖型
'ban'lan'gen'pian 板蓝根片
'ban'lan'gen'zhu'she'ye'sao'ma 板蓝根注射液扫码
'ban'tu'wan 斑秃丸
'ban'xia 半夏
'ban'xia'lu'ke'li 半夏露颗粒
'ban'xia'qu 半夏曲
'ban'xia'tang'jiang 半夏糖浆
'ban'xia'zhi'ke'tang'jiang 半夏止咳糖浆
'ban'zhi'lian 半枝莲
'ban'zhi'lian'jiao'nang 半枝莲胶囊
'bang'di'chuang'ke'tie 邦迪创可贴
'bang'di'chuang'ke'tie'han'yao 邦迪创可贴含药
'bang'di'fang'shui'chuang'ke'tie 邦迪防水创可贴
'bang'di'tou'ming'fang'shui'chuang'ke'tie 邦迪透明防水创可贴
'bang'er'jie'na'mi'yin'kang'jun'shui'ning'jiao 邦尔洁纳米银抗菌水凝胶
'bang'fu'lian'ben'bian'zuo'ru'gao 邦孚联苯苄唑乳膏
'bang'ping'duo'wei'yuan'su'jiao'nang 邦平多维元素胶囊
'bao'bao'le 宝宝乐
'bao'bao'le'xiao'er'jian'pi'ke'li 宝宝乐小儿健脾颗粒
'bao'bao'niu'huang'san 宝宝牛黄散
'bao'bao'shi'zhen'gao 宝宝湿疹膏
'bao'bao'tui're'tie 宝宝退热贴
'bao'bao'yi'tie'ling 宝宝一贴灵
'bao'bei'jin'shui 宝贝金水
'bao'bei'kang'xiao'er'an'fen'huang'na'min'pian 宝贝康小儿氨酚黄那敏片
'bao'er'an'ke'li 保儿安颗粒
'bao'er'ning'ke'li 保儿宁颗粒
'bao'er'ning'ke'li 宝儿宁颗粒
'bao'fu'kang'shuan 保妇康栓
'bao'he'chong'ji 保和冲剂
'bao'he'ke'li 保和颗粒
'bao'he'pian 保和片
'bao'he'wan 保和丸
'bao'he'wan'shui'wan 保和丸水丸
'bao'ji'wan 保济丸
'bao'jian'pin 保健品
'bao'ke'ning'ke'li 宝咳宁颗粒
'bao'li'er'jiao'nang 保利尔胶囊
'bao'lie'zhi'fei'na'xiong'an'pian 保列治非那雄胺片
'bao'lin'dan'jian'na'jiao'nang 胞磷胆碱钠胶囊
'bao'lin'dan'jian'na'pian 胞磷胆碱钠片
'bao'lin'dan'jian'na'pu'tao'tang'zhu'she'ye 胞磷胆碱钠葡萄糖注射液
'bao'lin'dan'jian'na'zhu'she'ye 胞磷胆碱钠注射液
'bao'lin'dan'jian'zhu'she'ye 胞磷胆碱注射液
'bao'quan'yang'dian'fen'jiao'nang 包醛氧淀粉胶囊
'bao'shen'kang'pian 保肾康片
'bao'sheng'kang'a'wei'suan'pai'qin'pian 保圣康阿魏酸哌嗪片
'bao'tai'ling 保胎灵
'bao'tai'ling'jiao'nang 保胎灵胶囊
'bao'tai'qing'feng'fen'bu'fen'jiao'nang 宝泰清风芬布芬胶囊
'bao'tai'song'pian 保泰松片
'bao'tai'wan 保胎丸
'bao'xin'ning'jiao'nang 保心宁胶囊
'bao'zhen'xiang'jiao'gao 宝珍橡胶膏
'bei'ai'pai'pu'tao'tang'suan'gai'kou'fu'ye 倍爱牌葡萄糖酸钙口服液
'bei'bei'ai'pai'duo'zhong'wei'sheng'su'ruan'ju'jue'pian 倍倍爱牌多种维生素软咀嚼片
'bei'bing'zhi'lv'hua'na'zhu'she'ye 棓丙脂氯化钠注射液
'bei'bing'zhi'zhu'she'ye 棓丙酯注射液
'bei'da'ning'xiao'er'an'fen'huang'na'min'ke'li 贝达宁小儿氨酚黄那敏颗粒
'bei'dou'gen 北豆根
'bei'dou'gen'jiao'nang 北豆根胶囊
'bei'dou'gen'pian 北豆根片
'bei'lai'yan'suan'an'xiu'suo'kou'fu'ye 贝莱盐酸氨溴索口服液
'bei'le'fen'bu'luo'fen'fen'san'pian 贝乐芬布洛芬分散片
'bei'li'qing'lv'yi'ding'ben'zuo'ka'yin'han'pian 倍力清氯已定苯佐卡因含片
'bei'mei'li'jie'he'ci'ji'su'pian 倍美力结合雌激素片
'bei'min'wei'ma'jiao'nang 贝敏伪麻胶囊
'bei'nuo'zhi'fen'san'pian 贝诺酯分散片
'bei'nuo'zhi'pian 贝诺酯片
'bei'nuo'zhi'pian'jin'nuo'pi'lin 贝诺酯片金诺匹林
'bei'sha'shen 北沙参
'bei'shun'yan'suan'er'jia'shuang'gua'huan'shi'pian 倍顺盐酸二甲双胍缓释片
'bei'ta'le'ke'jiu'shi'suan'mei'tuo'luo'er'pian 倍他乐克酒石酸美托洛尔片
'bei'ta'le'ke'pian 倍他乐克片
'bei'te'ling 贝特令
'ben'bing'chun'jiao'wan 苯丙醇胶丸
'ben'bing'chun'jiao'wan'li'dan'chun'jiao'wan 苯丙醇胶丸利胆醇胶丸
'ben'hai'la'ming'pian 苯海拉明片
'ben'huang'suan'an'lv'di'ping'jiao'nang 苯磺酸氨氯地平胶囊
'ben'huang'suan'an'lv'di'ping'pian 苯磺酸氨氯地平片
'ben'huang'suan'zuo'xuan'an'lv'di'ping'pian 苯磺酸左旋氨氯地平片
'ben'jia'chun'zhu'she'ye 苯甲醇注射液
'ben'jia'suan'ci'er'chun'zhu'she'ye 苯甲酸雌二醇注射液
'ben'jia'suan'li'zha'qu'pu'tan'pian 苯甲酸利扎曲普坦片
'ben'tuo'ying'na'pian 苯妥英钠片
'ben'xiu'ma'long'pian 苯溴马隆片
'ben'xiu'ma'long'pian'you'nuo 苯溴马隆片尤诺
'ben'zha'bei'te'pian 苯扎贝特片
'ben'zha'lv'an'tie 苯扎氯铵贴
'ben'zha'xiu'an'rong'ye 苯扎溴铵溶液
'bi'bo 荜拨
'bi'da'kang'an'ka'huang'min'jiao'nang 必达康氨咖黄敏胶囊
'bi'dou'yan'kou'fu'ye 鼻窦炎口服液
'bi'fu'lian'ben'bian'zuo'ning'jiao 必伏联苯苄唑凝胶
'bi'la'xi'tan 吡拉西坦
'bi'la'xi'tan'jiao'nang 吡拉西坦胶囊
'bi'la'xi'tan'lv'hua'na 吡拉西坦氯化钠
'bi'la'xi'tan'lv'hua'na'nao'fu 吡拉西坦氯化钠脑复
'bi'la'xi'tan'lv'hua'na'zhu'she'ye 吡拉西坦氯化纳注射液
'bi'la'xi'tan'lv'hua'na'zhu'she'ye 吡拉西坦氯化钠注射液
'bi'la'xi'tan'lv'hua'na'zhu'she'ye'kang'rong 吡拉西坦氯化钠注射液康容
'bi'la'xi'tan'pian 吡啦西坦片
'bi'la'xi'tan'pian 吡拉西坦片
