'a'la'bo'fu'xing'she'hui'zhu'yi 阿拉伯复兴社会主义
'la'mei'zhai'wu'wei'ji 拉美债务危机
'la'tuo'wei'ya 拉脱维亚
'lao'wo 老挝
'lei'ke'ya'wei'ke'hui'tan 雷克雅未克会谈
'leng'zhan 冷战
'li'ba'nen'zhan'zheng 黎巴嫩战争
'li'cheng'wan 李承晚
'li'gen 里根
'li'gen'zhu'yi 里根主义
'li'liang'dui'bi 力量对比
'li'liang'jun'heng 力量均衡
'li'tao'wan 立陶宛
'lian'he'guo'an'li'hui 联合国安理会
'lian'meng 联盟
'liang'ji'shi'jie 两极世界
'liang'yi'zhan'zheng 两伊战争
'ling'dian'xuan'ze 零点选择
'ling'hai 领海
'ling'hai'fan'wei 领海范围
'ling'hai'kuan'du 领海宽度
'ling'huo'fan'ying'zhan'lue'chang'gui'bu'dui 灵活反应战略常规部队
'ling'kong 领空
'ling'shui 领水
'ling'tu'de'bu'ke'ge'rang'xing 领土的不可割让性
'ling'tu'guan'xia'quan 领土管辖权
'ling'tu'pi'lian 领土毗连
'ling'tu'wan'zheng 领土完整
'lu'ji'zhou'ji'dao'dan 陆基洲际导弹
'lu'yi'si'ha'li 路易斯哈利
'luo'ma'ni'ya 罗马尼亚
'luo'mei'xie'ding 洛美协定
'luo'si'fu 罗斯福
'ma'er'ta'shou'nao'hui'tan'cheng'le'leng'zhan'jie'shu'de'xiang'zheng 马耳他首脑会谈成了冷战结束的象征
'ma'lai'xi'ya 马来西亚
'ma'si'te'li'he'te'tiao'yue 马斯特里赫特条约
'ma'xie'er 马歇尔
'ma'xie'er'ji'hua 马歇尔计划
'mai'ke'a'se 麦克阿瑟
'mai'ke'na'ma'la 麦克纳马拉
'mai'ke'na'ma'la'de'zhan'zheng 麦克纳马拉的战争
'mao'ze'dong 毛泽东
'mei'ao'xin'an'quan'tiao'yue 美澳新安全条约
'mei'fei'mei'jiang'mei'han'gong'tong'fang'yu'tiao'yue 美菲美蒋美韩共同防御条约
'mei'guo'di'qi'jian'dui 美国第七舰队
'mei'guo'guo'wu'yuan 美国国务院
'mei'guo'zhan'lue'bu'dui'de'xian'dai'hua 美国战略部队的现代化
'mei'su'dui'kang 美苏对抗
'mei'su'ge'la'si'bao'hui'wu 美苏葛拉斯堡会晤
'mei'su'shou'nao'wei'ye'na'hui'wu 美苏首脑维也纳会晤
'mei'su'zhu'zai'shi'jie'zhan'lue 美苏主宰世界战略
'mei'tai'jun'shi'yuan'zhu'xie'ding 美泰军事援助协定
'mei'zhou'guo'jia'zheng'zhi'jun'shi'ji'tuan 美洲国家政治军事集团
'men'hu'kai'fang 门户开放
'meng'guo'guan'zhi'wei'yuan'hui 盟国管制委员会
'mian'dian 缅甸
'min'zu'guo'jia 民族国家
'min'zu'jie'fang'zhen'xian 民族解放阵线
'mu'ni'hei 慕尼黑
'mu'si'lin'shi'jie 穆斯林世界
'na'sai'er 纳赛尔
'nan'min'ying 难民营
'nan'si'la'fu 南斯拉夫
'nan'ya'ci'da'lu 南亚次大陆
'ni'he'lu'zhu'yi 尼赫鲁主义
'ni'ke'song 尼克松
'ni'ke'song'zhu'yi 尼克松主义
'nian'de'bo'zi'nan'shi'jian'yu'su'bo'guan'xi 年的波兹南事件与苏波关系
'nian'di'si'ci'zhong'dong'zhan'zheng 年第四次中东战争
'nian'ri'nei'wa'si'guo'shou'nao'hui'tan 年日内瓦四国首脑会谈
'nian'su'lian'ru'qin'jie'ke'si'luo'fa'ke 年苏联入侵捷克斯洛伐克
'nian'xiong'ya'li'shi'jian'yu'su'xiong'guan'xi 年匈牙利事件与苏匈关系
'ou'gong'ti 欧共体
'ou'zhou 欧洲
'ou'zhou'an'quan'yu'he'zuo'hui'yi 欧洲安全与合作会议
'ou'zhou'de'huan'he 欧洲的缓和
'ou'zhou'jie'fang'xuan'yan 欧洲解放宣言
'ou'zhou'jing'ji'yu'huo'bi'lian'meng 欧洲经济与货币联盟
'ou'zhou'qi'yue'ji'hua 欧洲契约计划
'ou'zhou'zhong'cheng'he'wu'qi'tan'pan 欧洲中程核武器谈判
'qi'ao'sai'si'ku 齐奥塞斯库
'qi'er'nian'ke 契尔年科
'qian'gong'ye'she'hui 前工业社会
'qiao'ju'guo 侨居国
'qing'dan 氢弹
'qiu'de'gong'ping'he'li'de'jie'jue 求得公平合理的解决
'qiu'ji'er'tie'mu'yan'shuo 丘吉尔铁幕演说
'qu'chang'bu'duan 取长补短
'quan'li'fen'pei 权力分配
'quan'li'jun'heng 权力均衡
'quan'li'yu'gui'fan 权力与规范
'quan'mian'jin'zhi'he'che'di'xiao'hui'he'wu'qi 全面禁止和彻底销毁核武器
'quan'mian'zhan'zheng 全面战争
'ren'min'zhi'jian'de'lian'xi'he'jiao'liu 人民之间的联系和交流
'ren'quan'wen'ti'guo'ji'hua 人权问题国际化
'ri'ben 日本
'ri'fu'ke'fu 日夫科夫
'ri'mei'an'bao'tiao'yue 日美安保条约
'ri'mei'an'quan'tiao'yue 日美安全条约
'ri'nei'wa'hui'yi 日内瓦会议
'ri'nei'wa'jing'shen 日内瓦精神
'san'ba'xian 三八线
'san'bian'zhan'lue 三边战略
'san'jiao'wai'jiao 三角外交
'shen'sheng'bu'ke'qin'fan 神圣不可侵犯
'sheng'tai'mie'jue 生态灭绝
'shi'jie'he'ping'yun'dong 世界和平运动
'shi'jie'yi'ti'hua'jin'cheng 世界一体化进程
'shi'li 实力
'shi'zi'jun'dong'zheng 十字军东征
'shu'man'ji'hua 舒曼计划
'shuang'bian'he'duo'bian'jing'ji'he'zuo 双边和多边经济合作
'shuang'bian'mao'yi 双边贸易
'shuang'chong'guo'ji 双重国籍
'si'da'lin 斯大林
'su'dong'jie'ti 苏东解体
'su'jia'nuo'zhu'yi 苏加诺主义
'su'lian 苏联
'su'lian'de'an'quan'dai'zheng'ce 苏联的安全带政策
'su'lian'tiao'qi'zhong'su'bian'jing'chong'tu 苏联挑起中苏边境冲突
'su'wei'ai'gong'he'guo'yu 苏维埃共和国与
'su'yi'shi'yun'he 苏伊士运河
'su'zhong'fen'lie 苏中分裂
'tai'guo 泰国
'tai'wan'wen'ti 台湾问题
'tie'mu 铁幕
'tie'mu'yan'shuo 铁幕演说
'tie'tuo 铁托
'ting'de'man'si'bao'gao 廷德曼斯报告
'tong'guo'wai'jiao'tu'jing'jin'xing'tan'pan 通过外交途径进行谈判
'tuan'jie'gong'hui 团结工会
'tuo'guan'zhi'du 托管制度
'wa'wen'sa 瓦文萨
'wai'ceng'kong'jian 外层空间
'wai'jiao'you'shi 外交优势
'wai'jiao'zheng'ce 外交政策
'wan'long'hui'yi 万隆会议
'wei'chi'xian'zhuang 维持现状
'wei'er'xun 威尔逊
'wei'hu'guo'jia'du'li'he'zhu'quan'wan'zheng 维护国家独立和主权完整
'wei'hu'shi'jie'he'ping 维护世界和平
'wei'ji 危机
'wei'si'te'fa'li'ya'ti'xi 威斯特伐利亚体系
'wei'yi'he'fa'zheng'fu 唯一合法政府
'wen'si'dun'qiu'ji'er 温斯顿丘吉尔
'wu'he'shi'jie'de'mei'meng 无核世界的美梦
'wu'ting'yan 吴庭艳
'wu'xi'he'di'xi'dai'kuan 无息和低息贷款
'wu'zhuang'chong'tu 武装冲突
'xi'la'wei'ji 希腊危机
'xi'ou'gong'tong'shi'chang 西欧共同市场
'xiang'hu'que'bao'cui'hui 相互确保摧毁
'xiao'ya'xi'ya 小亚细亚
'xin'lao'zhi'min'zhu'yi 新老殖民主义
'xin'mian'mao'fang'yu'zheng'ce 新面貌防御政策
'xin'mian'mao'zheng'ce'yu'da'gui'mo'bao'fu'zhan'lue 新面貌政策与大规模报复战略
'xin'si'wei 新思维
'xin'xi'lan 新西兰
'xing'qiu'da'zhan 星球大战
'xing'shuai 兴衰
'xiong'ya'li 匈牙利
'xiu'zheng'zhu'yi'dui'wai'zheng'ce 修正主义对外政策
'ya'er'ta'hui'yi 雅尔塔会议
'ya'er'ta'ti'xi 雅尔塔体系
'ya'fei'la'min'zu'zhu'yi 亚非拉民族主义
'ya'wen'de'xie'ding 雅温德协定
'ya'zhou 亚洲
'yan'qi'huan'ben'fu'xi 延期还本付息
'ye'li'qin 叶利钦
'yi'lang 伊朗
'yi'lang'men'shi'jian 伊朗门事件
'yi'shi'xing'tai 意识形态
'yin'ba'zhan'zheng 印巴战争
'yin'du 印度
'yin'du 引渡
'yin'du'zhi'na 印度支那
'ying'guo 英国
'yong'he'ping'shou'duan'jie'jue'zheng'duan 用和平手段解决争端
'yong'jiu'zhong'li'guo 永久中立国
'you'hao'wang'lai 友好往来
'you'tai'fu'guo'zhu'yi 犹太复国主义
'you'xian'zhan'zheng 有限战争
'you'zheng'yi'de'di'qu 有争议的地区
'yu'tai'wan'guan'xi'fa'cao'an 与台湾关系法草案
'yu'ye'zi'yuan 渔业资源
'yuan'zi'dan'long'duan 原子弹垄断
'yuan'zi'wai'jiao 原子外交
'yue'gong 越共
'yue'han'xun 约翰逊
'yue'meng 越盟
'yue'nan 越南
'yue'nan'min'zhu'gong'he'guo 越南民主共和国
'yue'nan'zhan'zheng 越南战争
'zhan'lue'fang'yu'ji'hua 战略防御计划
'zhan'lue'he'jun'shi 战略核均势
'zhan'lue'he'li'liang 战略核力量
'zhan'lue'ping'heng 战略平衡
'zhan'lue'tai'shi 战略态势
'zhan'zheng 战争
'zhan'zheng'bian'yuan 战争边缘
'zhan'zheng'ce'yuan'di 战争策源地
'zhan'zheng'sheng'ji'ce'lue 战争升级策略
'zhan'zheng'yue'nan'hua'zheng'ce 战争越南化政策
'zhao'gu'xian'shi'qing'kuang 照顾现实情况
'zhen'zhu'gang'shi'jian 珍珠港事件
'zheng'ba 争霸
'zheng'zhi'duo'yuan'hua 政治多元化
'zheng'zhi'fan 政治犯
'zheng'zhi'qing'xi 政治清洗
'zheng'zhi'tao'fan 政治逃犯
'zhi'min'tong'zhi 殖民统治
'zhong'cheng'he'li'liang'tiao'yue 中程核力量条约
'zhong'dao'tiao'yue 中导条约
'zhong'dao'wei'ji 中导危机
'zhong'deng'qiang'guo 中等强国
'zhong'dong 中东
'zhong'guo 中国
'zhong'hua'min'guo 中华民国
'zhong'jian'de'dai'li'lun 中间地带理论
'zhong'li'guo 中立国
'zhong'mei'guan'xi 中美关系
'zhong'mei'zhou'wei'ji 中美洲危机
'zhong'ou'cai'jun'hui'yi 中欧裁军会议
'zhong'su'bian'jie'chong'tu 中苏边界冲突
'zhong'su'jiao'wu 中苏交恶
'zhong'su'jie'meng 中苏结盟
'zhong'su'lun'zhan'yu'su'lian'e'hua'zhong'su'guan'xi 中苏论战与苏联恶化中苏关系
'zhong'su'tong'meng 中苏同盟
'zhong'yang'qing'bao'ju 中央情报局
'zhong'yin'zhan'zheng 中印战争
'zhong'zu'ge'li 种族隔离
'zhong'zu'mie'jue 种族灭绝
'zhu'quan'guo'jia 主权国家
'zhu'wan'shi'jian 猪湾事件
'zhuan'shu'jing'ji'qu 专属经济区
'zhuan'zhi'zhu'yi 专制主义
'zi'ben'zhu'yi 资本主义
'zi'wo'wei'she'zheng'ce 自我威慑政策
'zi'you'mao'yi 自由贸易
'zi'you'zhan'shi 自由战士
'zi'you'zhong'guo 自由中国
'zong'he'guo'li 综合国力
'zong'jiao'zhan'zheng 宗教战争
'zong'ti'zhan 总体战
'zong'zhu'guo 宗主国
'zong'zhu'quan 宗主权
'zui'hou'tong'die 最后通碟
