'an'ji'qiao 安济桥
'e'mei'shan'sheng'shou'wan'nian'si'tong'tie'fo'xiang 峨眉山圣寿万年寺铜铁佛像
'e'pang'gong'yi'zhi 阿房宫遗址
'fang'shan'yun'ju'si'ta'ji'shi'jing 房山云居寺塔及石经
'feng'gao'yi'zhi 丰镐遗址
'feng'guo'si 奉国寺
'feng'huan'que 冯焕阙
'feng'shi'mu'qun 封氏墓群
'fo'gong'si'shi'jia'ta 佛宫寺释迦塔
'fo'guang'si 佛光寺
'ga'dan'si 噶丹寺
'gao'chang'gu'cheng 高昌故城
'gao'yi'mu'que'ji'shi'ke 高颐墓阙及石刻
'ge'ming'yi'zhi'ji'ge'ming'ji'nian'jian'zhu'wu 革命遗址及革命纪念建筑物
'gu'ge'wang'guo'yi'zhi 古格王国遗址
'gu'gong 故宫
'gu'jian'zhu'ji'li'shi'ji'nian'jian'zhu'wu 古建筑及历史纪念建筑物
'gu'mu'zang 古墓葬
'gu'tian'hui'yi'hui'zhi 古田会议会址
'gu'yi'zhi 古遗址
'guan'xing'tai 观星台
'guang'hui'si'hua'ta 广惠寺华塔
'guang'sheng'si 广胜寺
'guang'xiao'si 光孝寺
'guang'yuan'qian'fo'ya'mo'ya'zao'xiang 广元千佛崖摩崖造象
'guang'zhou'gong'she'jiu'zhi 广州公社旧址
'guang'zhou'nong'min'yun'dong'jiang'xi'suo'jiu'zhi 广州农民运动讲习所旧址
'guo'zi'jian 国子监
'hai'bao'ta 海宝塔
'hai'feng'hong'gong'hong'chang'jiu'zhi 海丰红宫红场旧址
'han'chang'an'cheng'yi'zhi 汉长安城遗址
'han'wei'luo'yang'gu'cheng 汉魏洛阳故城
'hou'ma'jin'guo'yi'zhi 侯马晋国遗址
'hu'guo'si'ta 祜国寺塔
'hua'yan'si 华严寺
'huang'di'ling 黄帝陵
'huang'hua'gang'qi'shi'er'lie'shi'mu 黄花岗七十二烈士墓
'huang'ze'si'mo'ya'zao'xiang 皇泽寺摩崖造象
'huo'qu'bing'mu 霍去病墓
'jia'xiang'wu'shi'mu'qun'shi'ke 嘉祥武氏墓群石刻
'jiang'zi'zong'shan'kang'ying'yi'zhi 江孜宗山抗英遗址
'jin'ci 晋祠
'jin'tian'qi'yi'di'zhi 金田起义地址
'jing'gang'shan'ge'ming'yi'zhi 井冈山革命遗址
'ju'yong'guan'yun'tai 居庸关云台
'kai'feng'tie'ta 开封铁塔
'ke'zi'er'qian'fo'dong 克孜尔千佛洞
'kong'lin 孔林
'ku'mu'tu'la'qian'fo'dong 库木吐喇千佛洞
'liao'di'ta 料敌塔
'liao'shang'jing'yi'zhi 辽上京遗址
'liao'yang'bi'hua'mu'qun 辽阳壁画墓群
'liao'zhong'jing'yi'zhi 辽中京遗址
'lin'zi'qi'guo'gu'cheng 临淄齐国故城
'liu'ding'shan'gu'mu'qun 六顶山古墓群
'liu'he'ta 六和塔
'liu'yuan 留园
'long'men'shi'ku 龙门石窟
'long'xing'si 隆兴寺
'lu'ding'qiao 泸定桥
'lu'gou'qiao 卢沟桥
'lu'xun'mu 鲁迅墓
'mai'ji'shan'shi'ku 麦积山石窟
'mao'ling 茂陵
'miao'ying'si'bai'ta 妙应寺白塔
'ming'xiao'ling 明孝陵
'mo'gao'ku 莫高窟
'nan'chan'si'da'dian 南禅寺大殿
'ping'xing'guan'zhan'yi'yi'zhi 平型关战役遗址
'ping'yang'fu'jun'que 平阳府君阙
'pu'le'si 普乐寺
'pu'ning'si 普宁寺
'pu'tuo'zong'cheng'zhi'miao 普陀宗乘之庙
'qi'mu'que 启母阙
'qian'ling 乾陵
'qin'shi'huang'ling 秦始皇陵
'qing'dong'ling 清东陵
'qing'jing'si 清净寺
'qing'xi'ling 清西陵
'qiu'shou'qi'yi'wen'jia'shi'hui'shi'jiu'zhi 秋收起义文家市会师旧址
'qu'fu'kong'miao'ji'kong'fu 曲阜孔庙及孔府
'qu'fu'lu'guo'gu'cheng 曲阜鲁国故城
'ran'zhuang'di'dao'zhan'yi'zhi 冉庄地道战遗址
'ren'min'ying'xiong'ji'nian'bei 人民英雄纪念碑
'rui'jin'ge'ming'yi'zhi 瑞金革命遗址
'sa'jia'si 萨迦寺
'san'yuan'li'ping'ying'tuan'yi'zhi 三元里平英团遗址
'shan'hua'si 善化寺
'shang'hai'zhong'shan'gu'ju 上海中山故居
'shao'shan'chong'mao'zhu'xi'jiu'ju 韶山冲毛主席旧居
'shao'shi'que 少室阙
'shen'fu'jun'que 沈府君阙
'shen'yang'gu'gong 沈阳故宫
'shi'ke'ji'qi'ta 石刻及其他
'shi'ku'si 石窟寺
'shi'san'ling 十三陵
'shi'zhong'shan'shi'ku 石钟山石窟
'shun'ling 顺陵
'si'men'ta 四门塔
'song'yue'si'ta 嵩岳寺塔
'su'zhou'wen'miao'nei'song'dai'shi'ke 苏州文庙内宋代石刻
'su'zhou'yun'yan'si'ta 苏州云岩寺塔
'ta'er'si 塔尔寺
'tai'he'cheng'yi'zhi 太和城遗址
'tai'ping'tian'guo'zhong'wang'fu 太平天国忠王府
'tai'shi'que 太室阙
'tian'an'men 天安门
'tian'tan 天坛
'wan'li'chang'cheng'ba'da'ling 万里长城八达岭
'wan'li'chang'cheng'jia'yu'guan 万里长城嘉峪关
'wan'li'chang'cheng'shan'hai'guan 万里长城山海关
'wang'jian'mu 王建墓
'wu'chang'qi'yi'jun'zheng'fu'jiu'zhi 武昌起义军政府旧址
'wu'dang'shan'jin'dian 武当山金殿
'wu'hou'ci 武侯祠
'wu'ta'si'ta 五塔寺塔
'xi'an'bei'lin 西安碑林
'xi'an'cheng'qiang 西安城墙
'xi'xia'bei 西夏碑
'xi'zhou'tong'zhu 溪州铜柱
'xiang'tang'shan'shi'ku 响堂山石窟
'xiao'tang'shan'guo'shi'mu'shi'ci 孝堂山郭氏墓石祠
'xiao'yan'ta 小雁塔
'xin'si'jun'jun'bu'jiu'zhi 新四军军部旧址
'xing'jiao'si'ta 兴教寺塔
'xu'mi'fu'shou'zhi'miao 须弥福寿之庙
'ya'er'hu'gu'cheng 雅尔湖故城
'yan'an'ge'ming'yi'zhi 延安革命遗址
'yan'xia'dou'yi'zhi 燕下都遗址
'yang'shao'cun'yi'zhi 仰韶村遗址
'yao'wang'shan'shi'ke 药王山石刻
'yi'ci'hui'shi'zhu 义慈惠石柱
'yi'he'yuan 颐和园
'yin'xu 殷墟
'ying'xian'mu'ta 应县木塔
'yong'he'gong 雍和宫
'yong'le'gong 永乐宫
'yong'tong'qiao 永通桥
'yu'lin'ku 榆林窟
'yue'fei'mu 岳飞墓
'yun'gang'shi'ku 云冈石窟
'zang'wang'mu 藏王墓
'zha'shi'lun'bu'si 扎什伦布寺
'zhao'han'dan'gu'cheng 赵邯郸故城
'zhao'ling 昭陵
'zhao'zhou'tuo'luo'ni'jing'chuang 赵州陀罗尼经幢
'zhen'jue'si'jin'gang'bao'zuo 真觉寺金刚宝座
'zheng'han'gu'cheng 郑韩故城
'zheng'zhou'shang'dai'yi'zhi 郑州商代遗址
'zhi'hua'si 智化寺
'zhong'guo'gong'chan'dang'di'yi'ci'quan'guo'dai'biao'da'hui'hui'zhi 中国共产党第一次全国代表大会会址
'zhong'guo'she'hui'zhu'yi'qing'nian'tuan'zhong'yang'ji'guan'jiu'zhi 中国社会主义青年团中央机关旧址
'zhong'shan'ling 中山陵
'zhong'su'you'yi'ji'nian'ta 中苏友谊纪念塔
'zhou'kou'dian'yi'zhi 周口店遗址
'zhuo'zheng'yuan 拙政园
'zun'yi'hui'yi'hui'zhi 遵义会议会址
