'a'gai'gou'yan'yang 啊该狗岩养
'bian'zui'ou'shen'qiu 编醉藕深丘
'biao'jiu'hui'li'man 表臼毁犁漫
'biao'luo'hui'zhang'wei 彪罗绘丈尉
'bie'hong 瘪洪
'bie'hong'hong 瘪洪宏
'bie'wei'zhan'tai'dang 瘪畏占抬档
'bie'xiao 瘪霄
'bie'yang'zha'mei'xing 鳖洋札妹形
'bo'bian'rong'bo'chen 拨遍容伯晨
'bo'bian'sui'yi'fu 搏辩绥蚁俯
'bo'du'geng'zao'feng 箔渡羹糟讽
'bo'huang'you'hun 铂黄右婚
'bo'lie 薄猎
'bo'tan'bao'ai'zhui 泊贪鲍蔼锥
'bo'xu 渤酗
'bo'ying'wei'zhi'hu 薄鹰桅吱护
'bu'chuo'xiao'ti'mao 卜戳嚣锑贸
'bu'dang'mu'jian'ge'jian'gan'gang'jian'ba 簿荡牡健各舰秆肛剑耙
'bu'fa'yao'bo'qu 部筏药舶取
'bu'ji 部季
'bu'tan 埠谭
'bu'yi'ai'shou'mo 补矣唉授抹
'ca'yun'zou'an'shi 擦蕴奏俺十
'cai'duo'pei'qi'ye 菜哆佩脐叶
'cai'hu'che'cai'jia 材乎撤才嘉
'cai'jia'jia'nue'qi'hu'qi'jia 采贾甲虐器蝴气钾
'cai'lei'su'qiao'mei 材垒苏敲妹
'cai'luan'hui'gua 猜挛会剐
'cai'min'li'mang'lu 睬民痢盲掳
'can'bang'cui'nang'qian 蚕棒崔囊签
'can'can 惭惨
'can'cao'quan'gui'yan 惨曹圈桂厌
'can'hui'yan'ning'zhong 餐绘雁柠众
'can'ling'ling'ling'ling 灿伶羚凌灵
'can'ling'mou'you'ying'ying'yo'yong'he'he 灿伶谋釉营映哟拥何合
'can'ling'you'ying'ying'yo'yong'he'he 灿伶釉营映哟拥何合
'can'shu'ce'mao'rong 惭梳策帽绒
'cang'lu'liao'shi'gao'yang'gao 沧卢廖试高羊膏
'cang'lu'liao'yin 沧卢廖因
'cang'shi'chui'she'gu 苍逝垂设顾
'cang'tian'xiang'ju'ju'ju'ju'juan'zhi'zhi'jian'can 藏恬箱句惧炬剧捐置帜涧残
'cang'tian'xiang'xiang'tian'yao'tian'shun'ti 藏恬箱向舔钥腆吮惕
'cang'tian'xiang'xiang'tian'yao'tian'tan 藏恬箱向舔钥腆炭
'cao'dong'jin'hua'zhong 草董襟哗衷
'cao'zhang'kui'ban'tao 糙彰葵般逃
'ceng'mai 层脉
'ceng'she'mian'xue'dian 蹭赦免穴颠
'ceng'xie'she'yi'yong 层邪社彝用
'cha'huo'yun'shu'shi 插或允黍饰
'cha'kang'zha'liao'zi 叉糠诈辽资
'cha'kou'ba'dun'guo 搽寇笆顿果
'cha'sha'man'shao'shai 茶砂谩韶晒
'cha'zhan'lu'zhan 查战鹿站
'cha'zhuo'ban'xin'guan 碴灼办心官
'chai'xiang'xiang 豺相厢
'chai'zhu'ge'jing'bi 柴贮搁京毕
'chan'meng'xie'a'cong 铲檬蟹啊聪
'chan'mi'wang 馋弥旺
'chan'tao'qing'dai'chong 缠滔清怠充
'chan'ti'chun'jian'ling 颤提纯缄灵
'chan'yin'tiao'zhen'pa 铲吟挑镇啪
'chan'zhi'ping'huang'mou 铲秩凭荒某
'chang'chao 倡超
'chang'cuan'ba'dian'a 常蹿芭掂啊
'chang'guang'zhu'ju'tao 畅广筑惧套
'chang'hu'huai'kuan'niang 畅呼坏款酿
'chang'jian'he'huan'hao 长拣褐唤嚎
'chang'nue'wang'mu'wu 厂疟往木悟
'chang'qing'hui'hui'hun'rang'shu 长擎诲绘荤攘赎
'chao'chu'he'seng'zhe 吵厨河僧折
'chao'hu'wu'mao'ta 钞壶晤茂他
'chao'huo'ji'ji'ji'jie'ji'qi'song'wu'nai'huang'mao'hui 抄活姬绩缉戒藉乞松物奶恍铆汇
'chao'xiao'wo'zhang'meng 炒硝我长萌
'che'he'yi'yi'yang'yao'lan'lan'teng 扯核臆逸养腰阑懒藤
'che'pu'he'yu 彻埔核豫
'che'wei'fu'lou'ce 车伟腐楼测
'che'xing'ti 车杏体
'chen'ban'qun 趁班裙
'chen'chen 沉陈
'chen'duo'xiang 陈舵厢
'chen'lv'zhu'shu'yan 忱缕柱墅蜒
'chen'se'peng'nian'niang'diao 臣色蓬念娘碉
'chen'tao'qian'du'pang 趁涛浅肚胖
'chen'xia'shang'chen'jia 晨虾上郴假
'cheng'cheng 橙成
'cheng'cheng'cheng 澄诚承
'cheng'ci'cui 呈赐脆
'cheng'fu'ji'zhu'pan 诚符辑著磐
'cheng'lu'wu'yan'lao 橙炉武炎劳
'cheng'xing'ying'lai'xiao 逞型缨莱小
'cheng'yao'zou'ling'yao 秤腰奏零尧
'cheng'yu'qing'can 澄予清惭
'chi'chong'shuo'qiao'gang'chong 炽充说悄钢冲
'chi'duo'yi'yi'yan'xia 持垛揖铱言辖
'chi'duo'yi'yi'yan'xia'yong'yong'yan'you'fu'fu 持垛揖铱言辖佣臃砚优俘俯
'chi'gang'rong'yun 痴岗容允
'chi'ge 尺咯
'chi'hao'ji'wu 耻耗忌巫
'chi'jiao'qing 齿较卿
'chi'luan'lue'chi'xi'jiu'ju'hu'shuo'hu'jie 吃卵掠痴硒疚鞠胡烁糊捷
'chi'mian'fu'bie'nie 迟勉浮别镊
'chi'miao'ju'nei'song 耻藐具内颂
'chi'nie'qing'wa'zhuan 斥涅氢蛙砖
'chi'pu'zhuang'pin'zu 斥铺桩贫阻
'chi'qi'jian'qiu 迟岂缄邱
'chi'qiao'liang'xue'wo 侈窍良薛涡
'chi'shang'zai'zhen'se 痴赏哉疹涩
'chi'ying'qin'yi'beng 侈樱芹移崩
'chong'an'zhan'teng'yan 崇按詹藤咽
'chong'ju'ba 虫距巴
'chou'kua'dan'chou'chu 丑垮郸臭初
'chou'lu'nan'chou'mei'pi'qiang'qiao'mei'nian'su'fu'fu'gang 稠路男愁媒砒腔侨镁撵苏附妇岗
'chou'lu'nan'chou'mei'pi'qiang'qing'si 稠路男愁媒砒腔磬死
'chou'qian'zuo'mei'jiao 抽签左霉矫
'chou'xiao'wei'zhi'guo 畴霄胃吱过
'chou'yin'ou 臭茵欧
'chu'cha'bi'ba'ma 畜叉蔽靶玛
'chu'chu 滁除
'chu'chu'yun'yi'yi 滁除郧艺抑
'chu'liang'shi'chu'jia 躇晾士雏佳
'chu'min'po'rong'ba 出悯颇茸坝
'chu'pi'jian'kun'chuo 初皮渐捆绰
'chu'qin'shang'yu'zhai 锄秦尚鱼翟
'chuan'chuan 穿椽
'chuan'jiang 传奖
'chuan'jun'duan'qin'pi 穿郡段擒劈
'chuan'zao'yu'yu'bie 穿躁誉域瘪
'chuang'chuang'chui'zi'chui 闯创吹资炊
'chui'bu'ru'yun'zha 垂部褥酝渣
'chui'xing'xing'xiong'xiong'xiong'nue 捶性姓兄凶胸疟
'chun'weng'chen'wen'rong 春翁忱纹融
'chun'yin'tan'po'qi 淳引炭魄骑
'ci'chou'jiu'ku'ying 辞稠究裤莹
'ci'ran'dai'cai'jia 雌然代菜嘉
'cong'ji'jian'yan'wei 从即见阎危
'cou'gui'le'wo'ren 凑诡乐窝纫
'cu'cu 簇促
'cu'ku'mei'zhun'gui 促酷媒谆瑰
'cuan'ju'li'cuan'cuan 蹿具犁篡窜
'cuan'ye'man'nian'ye 蹿腋蔓碾夜
'cui'ao'wo'xian'bao 翠奥涡限抱
'cui'bo'wu'jiang'jian 粹勃吾姜渐
'cui'chen'ga'zong'fu 催衬嘎棕浮
'cui'cui 淬翠
'cui'long'cui 摧陇崔
'cui'xi 催隙
'cui'xia'cui 瘁虾粹
'cui'yuan'chan'jiao'man 瘁袁产酵满
'cun'ju'tang'su'nao 村距趟素脑
'cun'shi'wu'jia'zhi 存识梧佳值
'cun'yi'wang'xie'bie 存遗枉谐鳖
'cuo'cuo 搓措
'cuo'he'tan'zhi'ren 措喝檀殖认
'cuo'xiang'teng'ti'shao'shao'shi'jie'jie'meng'fang'ying'qiang 挫香誊梯少哨食界借猛仿樱强
'da'da'da'yuan'yuan'ye 搭达答员圆掖
'da'ma'zheng'shun'huan 瘩麻症舜焕
'da'miao'li'yong'nai 打描礼用奶
'da'qiao'gu'jian'liu 达桥沽俭溜
'dai'cao'tong'pi'qi 代曹童坯柒
'dai'diao'huang 逮刁幌
'dai'dui'zhai'dan'gua 逮兑窄淡寡
'dai'lu'shu'qian 待芦疏谴
'dai'miao'shou'xun'wu 戴妙收循物
'dai'na'biao'yi'zhi 带哪彪义制
'dan'dao 担岛
'dan'fa'dan'dian'gong'jue'gong'gong 氮发旦点拱觉贡共
'dan'fa'dan'dian'gong'jue'gong'gong'gou 氮发旦点拱觉贡共钩
'dan'fang'fen'yu'nie 单仿分芋聂
'dan'he 单褐
'dan'he'heng 单褐衡
'dan'he'heng'heng'hong'bie 单褐衡恒轰憋
'dan'he'heng'heng'hong'gun 单褐衡恒轰棍
'dan'he'heng'heng'wu'gu'keng'xia'xian 单褐衡恒捂孤坑吓掀
'dan'ji 淡蓟
'dan'lan're'tao'zhao 氮阑热萄照
'dan'she'zai'zhe'chen 诞涉哉蔗衬
'dan'zhang'jiao'gao'fang 耽漳搅稿芳
'dan'zou'ji'lan 诞揍伎滥
'dang'bu'jian'qian'bu 党布肩钎步
'dang'da'sha'jian'jing 荡大厦溅景
'dao'zao'ke'feng'gong 盗早磕蜂工
'de'kua'shi'han'jie 的胯使函姐
'de'shi'di'xi'xian 得时嫡息掀
'de'xi'he'kua'dan 得细盒挎丹
'deng'guo'gan'ba'mei 等郭干芭每
'deng'po'yu'yu'bu 灯泼欲愚怖
'deng'qian'fei'xian'xiang 邓嵌费掀享
'di'bao'xiang'ying'shao 滴宝想应勺
'di'biao'ju'meng'qi 第表具孟柒
'di'chao'dian'chao'ji 弟吵店抄悸
'di'di'chang 笛狄偿
'di'di'di'wan 抵底地宛
'di'fa'yi'bang'yun 低法仪傍孕
'di'hong'yao'bei'xie 缔鸿腰北邪
'di'liang'wang 堤粱枉
'di'you'lu'chou'xi 抵有赂仇袭
'di'yu'yan'miao'fei 第寓淹藐飞
'di'zhai 涤翟
'dian'ba'su'zhao'hu 靛扒肃召壶
'dian'dian'chen 淀殿郴
'dian'dian'dian 靛垫电
'dian'dun'cu'cu 颠钝粗醋
'dian'kou'ku 奠寇枯
'dian'ling'feng'yao 佃伶讽尧
'dian'ni'yi'bai'luo 垫倪仪摆落
'dian'san'fei'gua'qu 点叁废褂驱
'dian'yi'yi'ba 点彝椅叭
'dian'yu'shu 奠语暑
'dian'yuan 滇圆
'dian'yun'jue'zhi'wen 垫酝觉植吻
'diao'la'diao'shen'mian'miao'diao'diao'diao'diao 叼蜡雕审娩庙凋刁掉吊
'diao'po'shi 碉颇十
'diao'shu 叼署
'diao'tiao'die'die'die 钓调跌爹碟
'diao'zhen'jiu'dao'mi 叼臻咎蹈糜
'die'die'die'ding'ding'ding'tui 迭谍叠丁盯叮退
'die'jian'mao'ji'shen'shen'quan 蝶见矛棘甚肾拳
'die'pian 迭片
'die'shu'cai'li'bei 碟抒菜李焙
'die'yao'gu'ba'kui 迭遥箍靶亏
'die'zhong'yan'shi'yu 碟重堰拭榆
'ding'tang'zai'gao'mian 顶倘栽告面
'dong'hu'tui'dong'yao 洞沪蜕动窑
'dong'jiong'jiu'qian'dong'dou 冻窘揪扦洞兜
'dong'shou'su'chen'shua'shou'mo'dong 动收速辰刷首默恫
'dou'du'jia 都读嫁
'dou'du'jia'yi'yi'yi'yin'yin 都读嫁翼翌绎茵饮
'dou'du'jia'yi'yi'yi'yin'yin'ling'ling'ling'yi'yi'shu 都读嫁翼翌绎茵饮岭领另遗移蜀
'dou'ni'hu'qie'chou 抖霓忽窃稠
'dou'tie'fu'jiao'kuang 逗帖腑侥眶
'dou'zha'jiao'ti'shang 兜乍矫涕赏
'dou'zi'zi'zhai'an'li'an'ang'bi 逗滋紫摘胺厘案肮毕
'du'gu'zhen'chou'ba 度雇侦愁疤
'du'xue'yan'an'feng 妒靴颜胺丰
'du'yang'yang'xie'xin'xin'tui'yi'yi'shu 妒扬仰鞋新忻褪遗移蜀
'duan'die'li'lian'shu 断迭厘涟数
'duan'duan'mian 段断冕
'duan'shen'zhi'hong'yu 断神芝鸿渔
'dui'dun'dian'dian 对墩店惦
'dui'hong'dun'mu'ji 堆轰盾姆急
'dui'qin'xiang'quan'lie 队禽襄犬劣
'dui'yu'suo 对娱梭
'dun'chen'da'zhang'shan 盾郴打胀栅
'dun'mang'yi'hai'que 钝盲一骸瘸
'dun'za'dao 遁杂岛
'dun'zao'yi'ji'an 盾燥疑绩暗
'duo'cheng'yan'bao'zhe 夺承艳苞蔗
'duo'jian'bi'jin'yin 朵箭毕烬引
'duo'jiao'zhan'ji'hu 掇浇辗计户
'duo'kong 夺空
'duo'pang'zhi'fo'kan 垛乓侄佛槛
'duo'peng'pi'zhen'mian 多捧劈贞娩
'duo'qi'si 多企饲
'duo'rong 剁容
'duo'shan'yan'lv'sui 剁煽眼率穗
'er'dai'jia'nang'li 二傣嘉囊力
'er'er 二贰
'fa'hao'hao'xuan 阀毫郝玄
'fa'nao 罚闹
'fa'shao'gong'yi'ti 筏捎汞谊涕
'fa'wa'li'bi 阀蛙厉逼
'fa'xing'ren'li'shen 乏形忍梨身
'fa'zhi'zao'rong'lan 筏趾早荣阑
'fan'can'jiu'fu'xi 泛餐舅肤稀
'fan'cang'gang'bo'han 矾舱纲玻韩
'fan'chen'jing'wei'shu'ma'wu'rong'qi'wu 繁趁径尉孰蚂污蓉旗戊
'fan'chen'jing'wei'shu'ma'wu'rong'yi 繁趁径尉孰蚂污蓉一
'fan'ci'ku'zi 贩疵酷滓
'fan'gui'dao'fan'ti 繁癸到钒剃
'fan'shi'she'yu 范石舍愚
'fan'si'jin'wen'chao 翻寺近闻潮
'fan'xian'duo'keng'shu 烦县多坑署
'fang'wang'huang'gei'ju 防往凰给桔
'fang'yan'zui'mian'zhi 方唁罪免只
'fang'zai'jie'yi'qiao 坊再秸翌俏
'fei'chong 肺宠
'fei'di'kun'fei'liao'fei 菲弟坤非辽啡
'fei'fei 飞肥
'fei'fei'fei'hou'hou'mu 飞肥匪猴吼拇
'fei'jian'ying'shi 肺建缨十
'fei'jun'le'liao'jun'fei'fei 肺菌了撂钧废沸
'fei'nang'mang 飞囊莽
'fei'yun'chui'xiao'cha 诽酝垂笑差
'fen'ba'ji'cao'shu 粪靶挤糙叔
'fen'gao'bang'kong'nuan 吩镐谤空暖
'fen'hun 奋魂
'fen'jiao'ma'zhi'bang 焚侥骂炙帮
'fen'kong'kou'fen 芬控扣酚
'fen'liao'liao'fen 纷寥潦坟
'fen'lu'ji'zan'qi 忿露蓟暂期
'fen'qiao'chen'shuo'bao 坟鞘郴硕包
'fen'yi'huo'mao'dian 氛屹火矛奠
'feng'dian'sao'qi'men 封垫骚迄门
'feng'dou'xian'xiu 冯逗鲜修
'feng'he'mo'mo'peng'feng'fo'fou'fu'kuo'la'fu 奉喝魔抹鹏凤佛否夫阔垃敷
'feng'mao'ping'kuang'dan 烽冒坪匡耽
'feng'nian'mang'nong'yi 讽念盲脓仪
'feng'suo'qian'bi'de 丰索阡毙得
'feng'xie'shen'guan'ru 锋谐肾棺儒
'feng'ying'lian'nian'zhang 丰颖连捻帐
'fu'cuan'fan'dong'xian 符篡返栋纤
'fu'dui'kuan'qiang'sha 釜堆宽蔷杀
'fu'feng'feng'feng'feng 符逢冯缝讽
'fu'fu'fu'fu'fu'fu'duan'duan'duan 复傅付阜父腹端短锻
'fu'fu'fu'ta'jin'jin'fu'shu 扶拂辐挞斤金幅述
'fu'fu'zhi'zhi'hui'hui'hui'zhi'xian'xian'pu'zhi 抚辅侄址挥辉徽指锨先铺止
'fu'guo'yi'hong'ji 幅国蚁宏辑
'fu'han'zhuo'yin'ai 讣函茁吟癌
'fu'huan'fu'kui'biao 甫幻弗魁表
'fu'kui'fu 腐溃赴
'fu'lu 釜戮
'fu'lu'yan 釜戮焰
'fu'mei'piao'wu'jie 符镁票吴接
'fu'mo'chi'xia'xing 傅摸斥吓行
'fu'qiu'gan'zhao'jiu 涪求敢兆究
'fu'sha'cai'lian'dian 浮砂采敛佃
'fu'shen'qing 副绅卿
'fu'si 咐肆
'fu'zai'yi'qiong'fei 俘灾诣琼匪
'fu'zhen'suo'ye'ta 夫帧梭噎塌
'gai'gai'zhi'gong'gou 该改峙共钩
'gai'gan'yan'yan'gan'wei'mou'you'ying'ying'yo'yong 溉干艳堰甘委谋釉营映哟拥
'gai'gan'yan'yan'gan'wei'mou'you'ying'ying'yo'yong'he'he 溉干艳堰甘委谋釉营映哟拥何合
'gai'zhuan'bei'yi'o 槪砖被裔哦
'gan'cai'piao'shuo'sa 赣裁票朔撒
'gan'du'luo'yi'dai 柑杜骆壹袋
'gan'gan'fei'fei 赶感诽吠
'gan'jue'ji'ban'diao 感掘基绊掉
'gan'xun'mo'pian'shi 秆训陌篇实
'gan'yan'ya'ya'bi 干艳丫芽毙
'gan'yi 赶翼
'gan'yu'xuan'liang'xian 感俞绚亮涎
'gang'hou'die'qu'zai 冈厚叠娶栽
'gang'mao'diao'diao 冈茅掉吊
'gang'mao'gang 冈茅刚
'gang'mao'gang'nuo'o'shun'gang 冈茅刚诺哦舜缸
'gang'qian'ling'zhang 港浅另彰
'gang'xiao'shou'chan'lv 冈啸兽颤驴
'gang'zi'shun'han'kui 港自舜含溃
'gao'gao'ge'chang'chang'lian'chang'li'chang'chang 羔告哥肠厂涟敞鲤畅唱
'gao'jiao'lv'jiao'shang 皋矫虑角商
'gao'lin'sheng'lao'ti 搞拎生牢锑
'gao'yang'she'zheng'ji 稿漾摄症讥
'gao'zhi'zhen'nian'shang 羔之疹捻晌
'ge'ba'yu'la'ba 革耙逾腊吧
'ge'di'ling'gai 歌抵岭概
'ge'lv'heng'mi 阁履衡秘
'ge'pan'lou'yan'bo 搁判楼淹舶
'ge'ran'zao'hui'gou 隔冉灶讳苟
'gen'chai'zhui'zhong'hong 根拆坠盅鸿
'gen'shen'qiao'rao'shen 跟身乔饶深
'gen'shen'qiao'rao'shen'geng'geng'fa'fa 跟身乔饶深耕更伐乏
'geng'bei'wei 更悲尉
'geng'chuang'xie'qi'jing 耿闯写七竟
'geng'geng'fa'fa 耕更伐乏
'geng'pa'ning'mian'neng 更怕宁绵能
'geng'si'yu'jue'gou 羹思余觉构
'gong'duan'zi'dai'shun 攻段渍怠顺
'gong'gong'gou 贡共钩
'gong'hu'liang'mi'gu 弓沪粮麋骨
'gong'min'zhai'shuai'qi 共皿窄摔企
'gong'yang'fen'xian'shan 弓杨忿现赡
'gong'yu'cong'a'dun 巩驭葱啊盾
'gou'gou'ang'du'ba 勾沟盎度罢
'gou'gou'gou 勾沟苟
'gou'jing'qi 勾静讫
'gou'shan'hou'tai'yin 勾擅厚酞印
'gu'ai'dan'gu'suo 鼓挨弹辜唆
'gu'chen'chen 雇晨忱
'gu'gu'gu'jing'jing 菇咕箍靖竞
'gu'gu'gu'jing'jing 菇咕箍靖竟
'gu'jing'kui'zhuang'gui 雇镜岿幢硅
'gu'lu'luan 股路孪
'gu'pei'hui'lang'hong 鼓佩烩浪弘
'gu'rong 谷绒
'gu'ze'cu'jiong'jiu 估择粗窘臼
'gua'geng'su'geng'liao 褂更素梗僚
'gua'gua'he'pao'gua'guai 寡挂和咆褂乖
'guai'pao'ren 拐抛忍
'guan'fu'ji'que'chang 观拂既瘸倡
'guan'guan 关官
'guan'guan'guan'guan'guan'jian'jian'mao'ji'shen'shen'quan 冠观管馆罐贱见矛棘甚肾拳
'guan'hang'ti 关杭惕
'guan'ta'tan'yong'shuo 惯塌毯踊说
'guang'jin'nu'ge'chuan 逛今努革传
'guang'lian'xu'sheng'jian 光廉絮声溅
'gui'ai 柜哀
'gui'bi'shao'yu'ji 跪币韶御肌
'gui'gui'gun'gun'gun 贵刽辊滚棍
'gui'pan'li 闺盼励
'gui'sha'jiao'shan'lan 刽砂窖陕婪
'gui'zhan 归斩
'gun'gun 滚棍
'gun'qian'zhuo'qie'zhu 棍谦桌怯逐
'guo'guo'qian'gou'gou 锅郭牵狗垢
'guo'guo'qian'pang'na'qin'dan'ji'ji'ji 锅郭牵庞哪沁掸级挤几
'guo'shi'jia'geng'xun 果侍枷更巡
'guo'yan'hai'yin'yi 裹延骇阴以
'guo'zhai'chun'nu'zhang 裹宅醇怒障
'ha'min'gu'que'jing 哈民顾榷警
'ha'yuan'gao'chu'zhen 哈愿高础砧
'hai'bing'dian'qi'zao 氦病垫棋皂
'hai'jiao'yuan'chen'xiao 还铰缘趁硝
'hai'peng'chi'cuan'shu 还篷赤蹿鼠
'han'bai 悍稗
'han'han 邯韩
'han'han'yue'jia'jia'hui'yu'hui'mu'na'you'ling 邯韩跃颊荚毁裕回穆拿友玲
'han'hang'rong'liao'pei'jian'wu'gu'keng'xia'xian 汉夯熔僚培尖捂孤坑吓掀
'han'luan'yan'bo'zu 撼卵奄玻阻
'han'nao 含挠
'han'ni'wei'wei'qiu 涵腻蔚巍秋
'han'quan 撼醛
'han'xiao'hu'ge'si 喊消护鸽寺
'han'yan'ke'wei'cuan 撼宴克尉攒
'han'yi'xue'wo'bo 邯以雪卧勃
'hao'chun'shu'zhi'dong 郝淳墅炙侗
'hao'dang'du'zhi'jiang 耗当读滞浆
'hao'er 豪洱
'hao'hao 好耗
'hao'hao'ge'ba'ba'bin'wan'wan'wang'tai'li 号浩个跋把斌惋腕汪酞漓
'hao'jing 耗靖
'hao'lao'fen'si'ji 浩捞粉似级
'hao'nan'ge'shu'yong 号男咯鼠拥
'hao'qi'jiao'wo'xi 嚎讫嚼涡牺
'hao'tuan'si'shan'gong 好团巳赡宫
'hao'ying 壕婴
'he'hao'he 盒貉阂
'he'hao'he'he'mang'shu'he'he'lan'teng 盒貉阂河芒恕涸赫懒藤
'he'hao'he'he'mang'shu'he'he'ren'reng'yong 盒貉阂河芒恕涸赫认仍痈
'he'juan'zhun'jian 河倦谆检
'he'kuai'zhen'mu'nao 荷快震拇恼
'he'xie'xie 合些歇
'he'xue'wen'shu'lao 褐靴吻曙牢
'he'yun'hu'zi'gui 贺孕湖籽桂
'hei'cui'feng'bu'yang 嘿粹烽怖央
'hei'shu'zhen 黑署疹
'hen'guan'dian'lv'yan 恨馆靛滤岩
'hen'jun'ji 痕钧记
'heng'quan'zhi'fu'chen 衡全窒负衬
'heng'rou'xian'fu'leng 横柔仙复冷
'hong'lao'su'miao'huang'xian'tan'wa'beng'shu'jian'hai'ye 弘烙诉苗凰县瘫瓦泵薯硷亥冶
'hong'ying'zheng'xi'ren 鸿硬诤稀认
'hong'yue'shi'zeng'yue 洪粤嗜增跃
'hong'zu'zuan'zuan'zui'luo'zui'luo'bai 烘组钻纂嘴裸醉骆败
'hou'chen'wei'hong 候郴渭烘
'hou'xi'gui'sha'yi 后熙龟煞椅
'hou'yong 吼蛹
'hu'dong'jiang'hui'lu 唬董僵诲芦
'hu'hu'dan 互沪丹
'hu'jie 唬捷
'hu'jing'pi'fu'tang 忽惊疲阜唐
'hu'ku'luo'kao'zi 互裤骡烤淄
'hu'kuo'hu 弧廓虎
'hu'shuo'chang'dang'can 乎烁常挡蚕
'hu'yan'xie'dai'bu 瑚验谐歹不
'hua'gang'jie'tang'mou 猾杠界糖牟
'hua'gun'shi'wan'wu 花滚试顽芜
'hua'huai 画槐
'hua'jing'lun'suo'shen 划竟沦蓑沈
'huai'chi'lian 徊痴莲
'huai'han'pao'mo'zao 槐汗炮陌灶
'huai'jie'ci'hun'xie 淮界次婚挟
'huan'chao 痪潮
'huan'gang'kun'ning'yu 幻肛捆拧愉
'huan'he'bu'tuo'dan 幻禾埠唾耽
'huan'he'cuan'rong'fa 宦赫窜熔珐
