'a'lun'fang'cha 阿伦方差
'biao'liang'wang'luo'fen'xi'yi 标量网络分析仪
'biao'mian'an'zhuang'dian'gan'qi 表面安装电感器
'biao'mian'an'zhuang'ji'shu 表面安装技术
'biao'mian'an'zhuang'qi'jian 表面安装器件
'biao'mian'an'zhuang'yuan'jian 表面安装元件
'biao'mian'bo 表面波
'biao'mian'bo'tian'xian 表面波天线
'biao'mian'fan'xing'ceng 表面反型层
'biao'mian'fan'ying'kong'zhi 表面反应控制
'biao'mian'fu'he 表面复合
'biao'mian'gou'dao 表面沟道
'biao'mian'hao'jin'ceng 表面耗尽层
'biao'mian'ji'lei'ceng 表面积累层
'biao'mian'nong'du 表面浓度
'biao'mian'shi 表面势
'biao'mian'tai 表面态
'biao'mian'wu'ran'ji'liang'yi 表面污染剂量仪
'biao'shi'ceng 表示层
'biao'tu'ban 标图板
'biao'zhun'bai 标准白
'biao'zhun'dan'yuan 标准单元
'biao'zhun'dan'yuan'fa 标准单元法
'biao'zhun'luo'lan 标准罗兰
'biao'zhun'qing'xi'du'dian'shi 标准清晰度电视
'biao'zhun'shu'ju'jie'kou 标准数据接口
'biao'zhun'tai'yang'dian'chi 标准太阳电池
'biao'zhun'tiao'jian 标准条件
'biao'zhun'xin'hao'fa'sheng'qi 标准信号发生器
'biao'zhun'zu'zhi'jie'mian 标准阻止截面
'bin'zhu'xiao'ying 宾主效应
'bing'lei'fang'da'qi 丙类放大器
'bing'ren'jian'hu'yi 病人监护仪
'bing'xing'shu'ru'shu'chu 并行输入输出
'bo'ban 波瓣
'bo'can'shu 波参数
'bo'chang 波长
'bo'chang'ji 波长计
'bo'chu'gong'zuo'zhan 播出工作站
'bo'dao 波导
'bo'dao'bo'chang 波导波长
'bo'dao'chuang 波导窗
'bo'dao'kai'guan 波导开关
'bo'dao'mo'pian 波导膜片
'bo'dao'se'san 波导色散
'bo'dao'shi'qi'ti'ji'guang'qi 波导式气体激光器
'bo'dao'tiao'pei'qi 波导调配器
'bo'de'tu 伯德图
'bo'fang'kong'zhi'biao 播放控制表
'bo'fen 波分
'bo'fen'duo'zhi 波分多址
'bo'fen'fu'yong 波分复用
'bo'fen'fu'yong'qi 波分复用器
'bo'ge'si'shi'liang 伯格斯矢量
'bo'ge'suan'fa 伯格算法
'bo'guan 泊管
'bo'jian'lou'guo'neng'liang 波尖漏过能量
'bo'ke 玻壳
'bo'li'ban'dao'ti 玻璃半导体
'bo'li'feng'zhuang 玻璃封装
'bo'li'ji'shu 剥离技术
'bo'mo'chang'pian 薄膜唱片
'bo'mo'dian'gan'qi 薄膜电感器
'bo'mo'dian'ji 薄膜淀积
'bo'mo'dian'zhi'fa'guang 薄膜电致发光
'bo'mo'hun'he'ji'cheng'dian'lu 薄膜混合集成电路
'bo'mo'jing'ti'guan 薄膜晶体管
'bo'mo'tai'yang'dian'chi 薄膜太阳电池
'bo'mo'yin'ji 薄膜阴极
'bo'pu 剥谱
'bo'qian 波前
'bo'qian'zai'xian 波前再现
'bo'shan'yang'hua'ceng 薄栅氧化层
'bo'shu'jiao 波束角
'bo'shu'kuan'du 波束宽度
'bo'shu'lei'da 波束雷达
'bo'shu'li'ti'jiao 波束立体角
'bo'shu'tian'xian 波束天线
'bo'shu'tiao'xiang 波束调向
'bo'shu'xing'zhuang'yin'shu 波束形状因数
'bo'shu'zi'lv'bo'qi 波数字滤波器
'bo'te 波特
'bo'te'la'ba 玻特喇叭
'bo'tiao'bao 箔条包
'bo'tiao'yun 箔条云
'bo'tiao'zou'lang 箔条走廊
'bo'wen'la'ba 波纹喇叭
'bo'xian 箔线
'bo'xing'he'cheng'qi 波形合成器
'bo'xing'jian'shi'qi 波形监视器
'bo'xing'song'chi'fa 波形松弛法
'bo'zu'kang 波阻抗
'bu'chang'dian'li'shi 补偿电离室
'bu'chang'ding'li 补偿定理
'bu'chong'ye'wu 补充业务
'bu'dui'chen'jiao'liu'chong'dian 不对称交流充电
'bu'fen'fan'zhuan 部分反转
'bu'he'ge'pin 不合格品
'bu'he'ge'pin'lv 不合格品率
'bu'jin'ji'dian'qi 步进继电器
'bu'jin'jiao 步进角
'bu'jin'pin'lv 步进频率
'bu'jin'shuai'jian'qi 步进衰减器
'bu'jin'zhi'jiao'huan 步进制交换
'bu'jin'zu'kang'bian'huan'qi 步进阻抗变换器
'bu'ju 步距
'bu'ke'shi'qu 不可视区
'bu'la'ge'yuan'jie'shou'ji 布拉格元接收机
'bu'li'qi'man'fang'fa 布里奇曼方法
'bu'li'yuan'tu 布里渊图
'bu'neng'gong'zuo'shi'jian 不能工作时间
'bu'quan'wei'cuo 不全位错
'bu'que'ding'du 不确定度
'bu'tai'fen'xi'xi'tong 步态分析系统
'bu'tou'ming'guang'yin'ji 不透明光阴极
'bu'tu'gui'ze'jian'cha 布图规则检查
'bu'zhuo 捕捉
'bu'zhuo'dai 捕捉带
'ca'chu 擦除
'ca'chu'tou 擦除头
'ca'di'jiao 擦地角
'cai'liao'se'san 材料色散
'cai'se'dian'shi 彩色电视
'cai'se'xian'shi 彩色显示
'cai'se'xian'xiang'guan 彩色显象管
'cai'tiao'xin'hao 彩条信号
'cai'yang 采样
'cai'yang'kong'zhi 采样控制
'cai'yang'qi 采样器
'can'bi'dian'ji 参比电极
'can'kao'bai 参考白
'can'kao'bo'shu 参考波束
'can'kao'dai 参考带
'can'kao'dai'kuan 参考带宽
'can'kao'dang'liang 参考当量
'can'kao'dian'lu 参考电路
'can'kao'zai'bo 参考载波
'can'liang'fang'da'qi 参量放大器
'can'liang'gu'ji 参量估计
'can'liang'hun'pin'qi 参量混频器
'can'liang'xing'jian'ce 参量型检测
'can'liu'bian'dai 残留边带
'can'shu'jian'yan 参数检验
'cao'zong'gan 操纵杆
'cao'zuo'xi'tong 操作系统
'ce'gao'lei'da 测高雷达
'ce'gao'yi 测高仪
'ce'ju'ma 测距码
'ce'ju'qi 测距器
'ce'ju'xi'tong 测距系统
'ce'liang'fan'wei 测量范围
'ce'liang'fang'fa 测量方法
'ce'liang'lei'da 测量雷达
'ce'liang'she'bei 测量设备
'ce'pin 测频
'ce'shi 测试
'ce'shi'chang'pian 测试唱片
'ce'shi'dai 测试带
'ce'shi'dian 测试点
'ce'shi'jie'shou'ji 测试接收机
'ce'shi'ka 测试卡
'ce'shi'lei'da 侧视雷达
'ce'su'dai 测速带
'ce'su'fa'dian'ji 测速发电机
'ce'xiang 测向
'ce'xiang'ce'ju'xi'tong 测向测距系统
'ce'xiang'xi'tong 测向系统
'ce'yin'ce'ju 侧音测距
'cen'ci'tiao'xie 参差调谐
'ceng'cuo 层错
'ceng'liu'dian'zi'qiang 层流电子枪
'ceng'liu'dian'zi'shu 层流电子束
'cha'ban'fa 插板阀
'cha'bo'shu 差波束
'cha'bo'shu'fen'li'jiao 差波束分离角
'cha'bo'shu'ling'shen 差波束零深
'cha'cuo 差错
'cha'cuo'chuan'bo 差错传播
'cha'cuo'kong'zhi 差错控制
'cha'cuo'kuo'san 差错扩散
'cha'dong'dian'rong'qi 差动电容器
'cha'fen 差分
'cha'fen'fang'da'qi 差分放大器
'cha'fen'quan'qiu'ding'wei'xi'tong 差分全球定位系统
'cha'ji'ma 差集码
'cha'jie'bian'liang'qi 差接变量器
'cha'kou 插口
'cha'pin'xiang'wei'yan'chi 差频相位延迟
'cha're'fen'xi 差热分析
'cha'ru'ce'shi'xin'hao 插入测试信号
'cha'ru'li 插入力
'cha'ru'sao'miao 插入扫描
'cha'ru'shi'fang'dian'guan 插入式放电管
'cha'ru'sun'hao 插入损耗
'cha'sai 插塞
'cha'zuo 插座
'chan'sheng'shi'gui'ze 产生式规则
'chan'za 掺杂
'chan'za'duo'jing'gui'kuo'san 掺杂多晶硅扩散
'chan'za'ji 掺杂剂
'chan'za'yang'hua'wu'kuo'san 掺杂氧化物扩散
'chang'bo'tong'xin 长波通信
'chang'gan'ying'jie 场感应结
'chang'gui'chong'dian 常规充电
'chang'mian'jian'ce'lei'da 场面检测雷达
'chang'pian 唱片
'chang'qiang'ce'liang'yi 场强测量仪
'chang'qu 场曲
'chang'qu'dong 场驱动
'chang'tu'dian'hua 长途电话
'chang'tu'wang 长途网
'chang'tu'zhi'bo 长途直拨
'chang'xian 长线
'chang'xian'tian'xian 长线天线
'chang'xiao'jing'ti'guan 场效晶体管
'chang'xiao'yin'qi'ce'shi'xin'hao 场消隐期测试信号
'chang'xiao'yin'qi'shi'jian'ma 场消隐期时间码
'chang'xiao'ying 场效应
'chang'xiao'ying'guan 场效应管
'chang'yang'hua'ceng 场氧化层
'chang'zhen 唱针
'chang'zhi'fa'she 场致发射
'chang'zhu'kuo'san 场助扩散
'chao'chang'bo'tong'xin 超长波通信
'chao'chun'shui 超纯水
'chao'da'gui'mo'ji'cheng'dian'lu 超大规模集成电路
'chao'dao'ci'ti 超导磁体
'chao'dao'dian'zi'xue 超导电子学
'chao'dao'tan'ce'qi 超导探测器
'chao'di'pin 超低频
'chao'di'pin'tong'xin 超低频通信
'chao'di'yin'xi'tong 超低音系统
'chao'duan'bo'tong'xin 超短波通信
'chao'duan'guang'mai'chong 超短光脉冲
'chao'fu'she 超辐射
'chao'gao'pin'tong'xin 超高频通信
'chao'gao'su'ji'cheng'dian'lu 超高速集成电路
'chao'gao'zhen'kong 超高真空
'chao'guo'lv 超过滤
'chao'jing'ge 超晶格
'chao'kuai'guang'dian'zi'xue 超快光电子学
'chao'ma 超码
'chao'niu'qu'shuang'zhe'she'xiao'ying 超扭曲双折射效应
'chao'qian 超前
'chao'qian'wang'luo 超前网络
'chao'qun 超群
'chao'sheng'bo 超声波
'chao'sheng'dao'mang'qi 超声导盲器
'chao'sheng'duo'pu'le'xue'liu'cheng'xiang 超声多普勒血流成象
'chao'sheng'duo'pu'le'xue'liu'yi 超声多普勒血流仪
'chao'sheng'ji'suan'ji'duan'ceng'cheng'xiang 超声计算机断层成象
'chao'sheng'jian'he 超声键合
'chao'sheng'xin'dong'tu'xian'xiang 超声心动图显象
'chao'shi'ju'lei'da 超视距雷达
'chao'shi'ju'tong'xin 超视距通信
'chao'shi'shi'yan 潮湿试验
'chao'wai'cha'jie'shou'ji 超外差接收机
'chao'wei'li'gan'ban 超微粒干版
'chao'wen'ben'chuan'shu'xie'yi 超文本传输协议
'chao'zai'sheng'jie'shou'ji 超再生接收机
'chao'zao'bi 超噪比
'chao'zhu'qun 超主群
'chen'bi'du 衬比度
'chen'di 衬底
'chen'di'kui'dian'luo'ji 衬底馈电逻辑
'chen'di'pian'zhi 衬底偏置
'chen'ji'shi 沉寂室
'chen'jiang'fen'xi'fa 沉降分析法
'chen'pian'xiao'ying 衬偏效应
'cheng'he 成核
'cheng'ji'jian'bo'qi 乘积检波器
'cheng'kong'jiao'huan'ji 程控交换机
'cheng'kong'shuai'jian'qi 程控衰减器
'cheng'kong'xin'hao'fa'sheng'qi 程控信号发生器
'cheng'kong'yi'qi 程控仪器
'cheng'lie'zhi'cha'feng'zhuang'kai'guan 成列直插封装开关
'cheng'pin'jian'yan 成品检验
'cheng'pin'lv 成品率
'cheng'tao'fu'zhi'guan'li'xi'tong 成套复制管理系统
'cheng'xiang'lei'da 成象雷达
'cheng'xing 成型
'cheng'xing'dian'lu 成形电路
'cheng'xing'shi'jian'chang'shu 成形时间常数
'cheng'xu'kong'zhi 程序控制
'cheng'xu'zhi'ling 程序指令
'cheng'yu'wang 城域网
'cheng'zai'ye'wu 承载业务
'cheng'zu'fu'dian 成组浮点
'chi'cun'gong'zhen 尺寸共振
'chi'dian'wei 迟电位
'chi'du'chuan'gan'qi 尺度传感器
'chong'dan'bi 冲淡比
'chong'dian 充电
'chong'dian'bao'chi'neng'li 充电保持能力
'chong'dian'jie'shou'neng'li 充电接收能力
'chong'dian'xiao'lv 充电效率
'chong'fang 重放
'chong'fang'tou 重放头
'chong'fu'pin'lv'ji'guang'qi 重复频率激光器
'chong'fu'xing 重复性
'chong'fu'zu'kang 重复阻抗
'chong'ji'bu'bian'fa 冲激不变法
'chong'ji'lei'da 冲激雷达
'chong'ji'shi'yan 冲击试验
'chong'ji'xiang'ying 冲激响应
'chong'qi'dian'yong'fang'dian'qi 充气电涌放电器
'chong'qi'fa 充气阀
'chong'qi'guan 充气管
'chong'qi'zheng'liu'guan 充气整流管
'chong'ru'shi'xie'zhen'qiang 重入式谐振腔
'chong'ying 重影
'chong'zhu'shi'yan 虫蛀试验
'chou'bi'gong'zhen 畴壁共振
'chou'xiang'ma 抽象码
'chou'yang 抽样
'chou'yang'fang'an 抽样方案
'chou'yun 抽运
'chu'bei'dian'chi 储备电池
'chu'bei'shi'yin'ji 储备式阴极
'chu'chong'dian 初充电
'chu'dian 触点
'chu'dian'fu'zai 触点负载
'chu'dian'nian'jie 触点粘结
'chu'dian'rong'jie 触点熔接
'chu'fa 触发
'chu'fa'guan 触发管
'chu'fa'ji 触发极
'chu'ji'fu'she'qi 初级辐射器
'chu'jian 初检
'chu'jing'lian'lu 出境链路
'chu'ku'jian'yan 出库检验
'chu'li'qi 处理器
'chu'neng'dian'rong'qi 储能电容器
'chu'pin 储频
'chu'pin'xing'bo'guan 储频行波管
'chu'qi 除气
'chu'qi 出气
'chu'shi'jian'cha 初始检查
'chu'suo 初缩
'chuan'bo 传播
'chuan'bo'chang'shu 传播常数
'chuan'bo'su'du 传播速度
'chuan'dao'dian'liu 传导电流
'chuan'di'han'shu 传递函数
'chuan'gan'qi 传感器
'chuan'hang'shu'zi'jie'kou 串行数字接口
'chuan'hao 传号
'chuan'ji'jiao'zheng 串级校正
'chuan'ji'kong'zhi 串级控制
'chuan'rao 串扰
'chuan'sheng'qi 传声器
'chuan'sheng'qi'hua'tong 传声器话筒
'chuan'shu 传输
'chuan'shu'gai'lv 传输概率
'chuan'shu'jie'kou'zhuan'huan'qi 传输接口转换器
'chuan'shu'kong'zhi 传输控制
'chuan'shu'mei'ti 传输媒体
'chuan'shu'mei'zhi 传输媒质
'chuan'shu'su'lv 传输速率
'chuan'shu'xian 传输线
'chuan'song'ma'liu 传送码流
'chuan'wen'fa 串文法
'chuan'xin'dian'rong'qi 穿心电容器
'chuan'xing'shu'ru'shu'chu 串行输入输出
'chuan'yin 串音
'chuan'yu'yan 串语言
'chuan'yue'fu'she'tan'ce'qi 穿越辐射探测器
'chuan'zai'lei'da 船载雷达
'chuan'zhen 传真
'chuang'fang'da'qi 窗放大器
'chuang'han'shu 窗函数
'chuang'pang'jian'hu'yi 床旁监护仪
'chui'mian'pai'lie 垂面排列
'chui'zhi'ji'hua 垂直极化
'chui'zhi'jie'tai'yang'dian'chi 垂直结太阳电池
'chui'zhi'pai'lie'xiang'ji'bian'mo'shi 垂直排列相畸变模式
'chui'zhi'rong'yu'jian'yan 垂直冗余检验
'chui'zhi'zhu'ru'luo'ji 垂直注入逻辑
'ci'bai'dong'qi 磁摆动器
'ci'bao'chi'ji'dian'qi 磁保持继电器
'ci'ceng 磁层
'ci'chang 磁场
'ci'chang'qiang'du 磁场强度
'ci'chang'qiu'ke'la'si'ji'fa 磁场丘克拉斯基法
'ci'chang'zhi'la'fa 磁场直拉法
'ci'cheng 磁秤
'ci'chi 磁尺
'ci'chou 磁畴
'ci'cun'chu'qi 磁存储器
'ci'dai 磁带
'ci'dai'cao'zuo'xi'tong 磁带操作系统
'ci'dai'lu'xiang'ji 磁带录像机
'ci'dao'ji 磁导计
'ci'dao'lv 磁导率
'ci'dian'shi'ji'dian'qi 磁电式继电器
'ci'dong'shi 磁动势
'ci'e 磁轭
'ci'fang'da'qi 磁放大器
'ci'fen 磁粉
'ci'fen'li 磁分离
'ci'fu'xi'tong 伺服系统
'ci'fu'zhou'cheng 磁浮轴承
'ci'gan'ying 磁感应
'ci'gong'zhen 磁共振
'ci'gong'zhen'cheng'xiang 磁共振成象
'ci'gu 磁鼓
'ci'guang'pan 磁光盘
'ci'guang'tiao'zhi'qi 磁光调制器
'ci'guang'xian'shi 磁光显示
'ci'guang'xiao'ying 磁光效应
'ci'hou'xiao 磁后效
'ci'hua 磁化
'ci'hua'lv 磁化率
'ci'hua'qi 磁化器
'ci'hua'qiang'du 磁化强度
'ci'ji 磁迹
'ci'ji 磁极
'ci'ji'dian'zi 次级电子
'ci'ji'dian'zi'dao'dian 次级电子导电
'ci'ji'dian'zi'fa'she 次级电子发射
'ci'ji'fu'she'qi 次级辐射器
'ci'ji'fu'she'ti 次级辐射体
'ci'ji'lu'mei'ti 磁记录媒体
'ci'ji'lu'mei'zhi 磁记录媒质
'ci'ju 磁矩
'ci'ju'jiao 磁聚焦
'ci'ka 磁卡
'ci'kong'guan 磁控管
'ci'kong'jian'she 磁控溅射
'ci'kong'zhu'ru'dian'zi'qiang 磁控注入电子枪
'ci'lao'hua 磁老化
'ci'liu'ti 磁流体
'ci'lu 磁路
'ci'min'gan'qi 磁敏感器
'ci'neng'ji 磁能积
'ci'nian'zhi'xing 磁粘滞性
'ci'ou'he 磁耦合
'ci'ou'ji'zi 磁偶极子
'ci'pan 磁盘
'ci'pao 磁泡
'ci'pin 次品
'ci'ping 磁平
'ci'ping'bi'dian'zi'qiang 磁屏蔽电子枪
'ci'ping'mian 次平面
'ci'qian'shi'xing'tie'yang'ti 磁铅石型铁氧体
'ci'qiang'ji 磁强计
'ci're'xiao'ying 磁热效应
'ci'tiao'zhi'qi 磁调制器
'ci'tong'bu'ceng 次同步层
'ci'tong'ji 磁通计
'ci'tong'shi 磁通势
'ci'tou 磁头
'ci'tou'fa'tong'bu 词头法同步
'ci'tou'feng'xi 磁头缝隙
'ci'tou'jing 磁透镜
'ci'xin 磁心
'ci'xing'ban'dao'ti 磁性半导体
'ci'xing'cai'liao 磁性材料
'ci'xing'lu'zhi 磁性录制
'ci'xuan'fu 磁悬浮
'ci'xuan'fu'zhuan'zi'zhen'kong'ji 磁悬浮转子真空计
'ci'zhi'hui'xian 磁滞回线
'ci'zhi'leng 磁致冷
'ci'zhi'shen'suo 磁致伸缩
'ci'zhi'shen'suo'xiao'ying 磁致伸缩效应
'ci'zhi'sun'hao 磁滞损耗
'ci'zhi'tong'bu'dian'dong'ji 磁滞同步电动机
'ci'zhuan'ju'ji 磁转矩计
'ci'zu 磁阻
'ci'zu'xiao'ying 磁阻效应
'cu'chou'beng 粗抽泵
'cu'chou'guan'lu 粗抽管路
'cu'chou'shi'jian 粗抽时间
'cu'mie'xiao'ying 猝灭效应
'cu'she'ji'shu'qi 簇射计数器
'cu'xing'jing'ti 簇形晶体
'cu'zhen'kong 粗真空
'cui'mie 淬灭
'cui'mie'jiao'zheng 淬灭校正
'cui'mie'xiao'ying 淬灭效应
'cun'chu'dian'rong 存储电容
'cun'chu'guan 存储管
'cun'chu'qi 存储器
'cun'chu'qi'di'zhi'ji'cun'qi 存储器地址寄存器
'cun'chu'qi'du'chu 存储器读出
'cun'chu'qu'yu'wang'luo 存储区域网络
'cun'chu'shi'bo'qi 存储示波器
'cun'chu'zhuan'fa 存储转发
'cun'chu'zhuan'fa'jiao'huan 存储转发交换
'cuo'wu'ding'wei'zi 错误定位子
'cuo'wu'xing 错误型
'da'gong'lv'fang'da'qi 大功率放大器
'da'gui'mo'ji'cheng'dian'lu 大规模集成电路
'da'lin'dun'gong'lv'guan 达林顿功率管
'da'ping'mu'xian'shi 大屏幕显示
'da'ping'mu'xian'shi'qi 大屏幕显示器
'da'qi'ji'guang'tong'xin 大气激光通信
'da'shu'pan'jue'yi'ma 大数判决译码
'da'xin'hao'fen'xi 大信号分析
'da'yuan'hang'xian 大圆航线
'dai'dian'li'zi'tan'ce'qi 带电粒子探测器
'dai'ji 带基
'dai'kuan 带宽
'dai'ming'shi'jian 待命时间
'dai'nei'xin'ling 带内信令
'dai'shi'zi'dong'jian'he 带式自动键合
'dai'shi'zi'dong'jian'he'feng'zhuang 带式自动键合封装
'dai'shu'ma 代数码
'dai'tong'lv'bo'qi 带通滤波器
'dai'wai'xin'ling 带外信令
'dai'wei'ning'ding'li 戴维宁定理
'dai'xi 带隙
'dai'xie'cheng'xiang 代谢成象
'dai'zhuang'dian'lan 带状电缆
'dai'zhuang'gui'tai'yang'dian'chi 带状硅太阳电池
'dai'zu'lv'bo'qi 带阻滤波器
'dan'bei'xiao'ying 丹倍效应
'dan'bi'pu'yi 单臂谱仪
'dan'bian'dai'tiao'zhi 单边带调制
'dan'bian'tu'bian'jie 单边突变结
'dan'bian'xu'lie 单边序列
'dan'dao'fen'xi'qi 单道分析器
'dan'dao'jing'ti'guan 弹道晶体管
