'an'bo'de'xing'zhuang'fen'lei 按波的形状分类
'ping'mian'bo'zai'qu'jie'mian'shang'de'fan'she 平面波在曲界面上的反射
'ping'mian'bo'zai'qu'jie'mian'shang'de'zhe'she 平面波在曲界面上的折射
'qi'ta'bian'xing'bo 其他变形波
'qi'ta'fei'que'xian'hui'bo 其他非缺陷回波
'qi'ti'jie'zhi 气体介质
'qiu'mian'bo 球面波
'qu'jie'mian 曲界面
'qu'xian'dui'bi'fa 曲线对比法
'qu'yu'ding'wei 区域定位
'quan'mian'sao'cha 全面扫查
'que'xian'bo'xing 缺陷波形
'que'xian'de'ce'liang 缺陷的测量
'que'xian'de'ping'ding'yu'zhi'liang'fen'ji 缺陷的评定与质量分级
'que'xian'de'shi'bie'yu'ce'ding 缺陷的识别与测定
'que'xian'de'ying'xiang 缺陷的影响
'que'xian'te'zheng 缺陷特征
'que'xian'wei'zhi 缺陷位置
'que'xian'xing'zhi'fen'xi 缺陷性质分析
'rao'she 绕射
'rui'li'bo 瑞利波
'san'jiao'fan'she 三角反射
'san'she'shuai'jian 散射衰减
'sao'cha 扫查
'sao'cha'fang'shi 扫查方式
'sao'cha'ling'min'du 扫查灵敏度
'sao'miao'su'du'de'jiao'zhun 扫描速度的校准
'sheng'qiang 声强
'sheng'shu 声束
'sheng'shu'kuo'san'qu 声束扩散区
'sheng'shu'wei'kuo'san'qu 声束未扩散区
'sheng'shu'wei'kuo'san'qu'yu'kuo'san'qu 声束未扩散区与扩散区
'sheng'shu'zhi'xiang'xing 声束指向性
'sheng'shu'zhi'xiang'xing'he'ban'kuo'san'jiao 声束指向性和半扩散角
'sheng'tou'jing 声透镜
'sheng'ya 声压
'sheng'ya'fen'bu 声压分布
'sheng'ya'wang'fu 声压往复
'sheng'ya'wang'fu'tou'she'lv 声压往复透射率
'sheng'zu'kang 声阻抗
'shi'kuai 试块
'shi'kuai'xuan'yong 试块选用
'shuai'jian'xi'shu 衰减系数
'shuai'jian'xi'shu'de'ce'ding 衰减系数的测定
'shuai'jian'yuan'yin 衰减原因
'tan'tou'can'shu'de'jiao'zhun 探头参数的校准
'tan'tou'de'xuan'ze 探头的选择
'tan'tou'de'ying'xiang 探头的影响
'tan'tou'jie'chu'fang'shi 探头接触方式
'tan'tou'jing'pian'chi'cun 探头晶片尺寸
'tan'tou'pin'lv 探头频率
'tan'tou'xing'shi 探头形式
'tan'tou'xuan'yong 探头选用
'tan'tou'za'bo 探头杂波
'te'shu'jiao'du 特殊角度
'wei'jie'he'qu'de'ce'ding 未结合区的测定
'wei'jie'he'que'xian'de'ping'ding'he'zhi'liang'fen'ji 未结合缺陷的评定和质量分级
'wu'feng'gang'guan'chao'sheng'bo'jian'ce 无缝钢管超声波检测
'wu'feng'gang'guan'de'chang'jian'que'xian 无缝钢管的常见缺陷
'wu'feng'gang'guan'de'chang'yong'jian'ce'fang'fa 无缝钢管的常用检测方法
'wu'feng'gang'guan'de'chao'sheng'bo'jian'ce'fang'fa 无缝钢管的超声波检测方法
'wu'feng'gang'guan'yan'shou'yao'qiu 无缝钢管验收要求
'xi'shou'shuai'jian 吸收衰减
'xie'ping'xing'sao'cha 斜平行扫查
'xie'ping'xing'sao'cha'he'ping'xing'sao'cha 斜平行扫查和平行扫查
'xie'tan'tou 斜探头
'xie'tan'tou'ru'she'dian 斜探头入射点
'ye'jin'fa 液浸法
'yi'qi'de'ying'xiang 仪器的影响
'yi'qi'he'tan'tou'de'xing'neng'ji'qi'ce'shi 仪器和探头的性能及其测试
'yi'qi'ji'tan'tou 仪器及探头
'yi'qi'tan'tou'xi'tong 仪器探头系统
'yi'qi'tan'tou'xi'tong'de'jiao'zhun 仪器探头系统的校准
'yi'qi'xi'tong'de'jiao'zhun 仪器系统的校准
'yi'qi'xi'tong'ling'min'du'de'jiao'zhun 仪器系统灵敏度的校准
'ying'xiang'sheng'ou'he'de'zhu'yao'yin'su 影响声耦合的主要因素
'ying'yong 应用
'yuan'chang'qu 远场区
'yuan'jing'pian 圆晶片
'yuan'pan'bo'yuan'fu'she'de'zong'bo'sheng'chang 圆盘波源辐射的纵波声场
'zhe'she'jiao 折射角
'zhi'dian'de'zhen'dong 质点的振动
'zhi'jie'jie'chu'fa 直接接触法
'zhong'hou'ban'dui'jie'han'jie'jie'tou'chao'sheng'bo'jian'ce 中厚板对接焊接接头超声波检测
'zhu'bo 驻波
'zhu'jian'chao'sheng'bo'jian'ce 铸件超声波检测
'zhu'mian'bo 柱面波
'zong'bo 纵波
'zong'bo'fa'she'sheng'chang 纵波发射声场
'zong'bo'sheng'chang 纵波声场
'zong'bo'xie'ru'she 纵波斜入射
'zong'xiang'que'xian 纵向缺陷
