'a'wa'bu'zhao'guan'ren 阿瓦布照管人
'ping'yuan 平原
'po'sui'sheng'suo 破碎圣所
'po'xiao'zhan'shi 破晓战士
'qian'shui'shi'qian 潜水尸嵌
'qie'fen 切分
'qin'du'wei'lai 亲睹未来
'qing'ji'nong'fu 情急农夫
'qu'hui'jiu'wu 取回旧物
'quan'neng'shi'wa'ge'nuo'ke 全能噬蛙葛诺克
'quan'shu'chong'jin 全数冲尽
'ran'chong'lang'ren 染虫狼人
'rao'shen'miao'fa 扰神妙法
'ri'luo'ai'kou 日落隘口
'rong'xue'pen'quan 融血喷泉
'rong'yao'chuan'jia'bao 荣耀传家宝
'ru'pa'qin'rao 蠕爬侵扰
'sai'he'ru'tu'yao 塞贺入土妖
'se'ban'da'shi'gui 瑟班大尸鬼
'se'ban'shou'hu'zhe'sha'li'ya 瑟班守护者莎利雅
'shan'dian'lang 闪电狼
'shan'mai 山脉
'she'shen'fu'ji 蛇身伏击
'shen'qi 神器
'shen'she'shou'xue'tu 神射手学徒
'shen'wa'tan'xun 深挖探寻
'shen'yuan'zhi'zhu'kou'se'si 深渊之主寇瑟斯
'sheng'hui'ju'she 生辉巨蛇
'sheng'hui'qi'luan 生辉奇卵
'sheng'hun'ying'rao 圣魂萦绕
'sheng'zhuang'qian'zhuo 盛装茜卓
'shi'dun'xiang'shi'kang'bao 史顿襄式抗暴
'shi'lai'yun'zhuan 时来运转
'shi'zhe'ming'deng 逝者明灯
'shou'fu'zhe'zhi'sheng 受福者之声
'shou'jing'cun'min 受惊村民
'shou'nan'xian'zhi'yi'ru 受难先知伊如
'shou'qi'chuang'yi 受启创意
'shou'zu'xue'zhou'de'ou'ji'ke 受诅血咒的欧吉克
'shu'guan'ya'xi 树冠压袭
'shu'lin 树林
'shu'lu'ji'xun'dao'zhe'kai'di'da 曙鹿集殉道者凯蒂妲
'shu'lu'ji'you'hun 曙鹿集游魂
'shu'lu'qun'xin'tu 曙鹿群信徒
'shuang'ren'you'hun 双刃游魂
'shuang'ren'zhu'yuan 双刃祝愿
'shui'gou'jie'jing 水沟捷径
'shui'gou'ni'hun 水沟匿魂
'si'ming'shuang'shen 死冥双身
'sou'hai'jing'guai 搜海精怪
'su'mo'can'nue'zhe 塑魔残虐者
'sui'chuan'jing'ju'shou 碎船惊惧兽
'suo'meng'you'hun 锁梦游魂
'tai'mu'qian'zu'chong 苔墓千足虫
'ti'deng'shan'guang 提灯闪光
'tian'shi'zhi'quan'tuo'heng'si 天使之拳托亨斯
'tou'lu'shi'qian 头颅尸嵌
'tun'shi'lang'chao 吞噬浪潮
'wan'pi'mao'hun 顽皮猫魂
'wo'da'lian'di 沃达连邸
'wo'da'lian'pin'xue'ke 沃达连品血客
'wo'da'lian'xue'yu'shi 沃达连血育师
'wo'wen'sen'bei'xi'mo'si 沃文森贝西摩斯
'wo'wen'sen'yi'shou 沃文森异兽
'wu'gu'lv'ren 无辜旅人
'wu'lie'da'qun 污劣大群
'wu'tou'qi'shou 无头骑手
'wu'xiu'mi'xue'ke 无休觅血客
'wu'zhuang'hu'jiao'jun 武装护教军
'xi'jia'da'shen'sheng'wu'shi 席嘉妲神圣武士
'xi'jia'da'zao'fu 席嘉妲遭缚
'xi'jia'da'zhao'huan 席嘉妲召唤
'xi'qing'zhong'jie 喜庆终结
'xi'shou'jing'hua 吸收菁华
'xi'xue'gui'fu'chou 吸血鬼复仇
'xi'xue'gui'ke'xing 吸血鬼克星
'xi'xue'gui'zhi'wen 吸血鬼之吻
'xi'yu'fa'shi 细语法师
'xian'jun'lu'tu 险峻路途
'xian'xue'cui'mian'shi 鲜血催眠师
'xian'xue'shi'cong 鲜血侍从
'xian'zu'nu'huo 先祖怒火
'xian'zu'zhi'yong 先祖之拥
'xiang'ju'e'mo 飨惧恶魔
'xiang'ying'qian'fu'ke 橡影潜伏客
'xie'qi'ban'niang'an'ji 邪气伴娘安姬
'xin'lang'li'fu 新郎礼服
'xin'niang'hun'sha 新娘婚纱
'xing'san'si'xu 星散思绪
'xiong'bao'bao'chang 凶暴报偿
'xiu'mian'gu'lin'di 休眠古林地
'xuan'lan'fu'sheng 绚烂复生
'xue'ban'zhu'ji 血瓣主祭
'xue'fu'zhao'huan'shi 血蝠召唤师
'xue'kuang'ming'liu 血狂名流
'xue'ping'fan'shang 血瓶贩商
'xue'se'su'xiang 血色塑像
'xue'shi'hu'cong 血誓扈从
'xue'shi'qi'shi 血誓骑士
'xue'shui'shou'ji'guan 血税收集官
'xue'xing'bei'pan 血腥背叛
'xun'jian'guan'ya'ge'bu'hao'ken 巡检官雅各布豪肯
'xun'shi'bian'fu 讯使蝙蝠
'ya'bao'pu'jun 芽孢匍菌
'yan'chong'zhuan'jia 研虫专家
'yan'jiang'meng'ji'ling 岩浆猛击灵
'yan'you'nu'shi 炎佑弩矢
'yang'tun'shuo'shu'ren 羊屯说书人
'yang'tun'tun'shi'shou 羊屯吞噬兽
'ye'diao'hao'lang 野调嚎狼
'ye'mu'jiang'lin 夜幕降临
'yi'dian'pin'he'guai 溢电拼合怪
'yi'nu'zong'huo'ren 易怒纵火人
'yi'zhan'zheng'zhao 翼展征兆
'yin'hao'yuan'yue 引嚎圆月
'yin'ju'biao'ben'shi 隐居标本师
'yin'ni'sha'shou 隐匿杀手
'yin'ni'xin'bing 隐匿新兵
'yin'yu'de'suo'lin 阴郁的索霖
'ying'bin'xi'xue'gui 迎宾吸血鬼
'ying'xiong'xun'shen 英雄殉身
'ying'yong'yi'dui 英勇以对
'yong'dian'kuang'zhan'shi 涌电狂战士
'you'dang'ling'yao 游荡灵妖
'you'deng'jing'guai 游灯精怪
'you'hun'fu'shen 幽魂缚身
'you'hun'lie'shou'ka'ya 游魂猎手卡娅
'you'hun'you'long 游魂幽笼
'yu'xue'huan'xin'ke 浴血欢欣客
'yuan'chou'wang'zhe'duo'luo'xia 怨仇亡者多萝霞
'yuan'gu'mu'jie'yao 远古木节妖
'yuan'jian'pin'jie'shi'ji'la'fu 远见拼接师基拉夫
'yue'guang'fu'ji'shou 月光伏击兽
'yue'kong'shi'qian 跃空尸嵌
'yue'xiang'ju'chi 月相拒斥
'zang'huo'nie'wu 葬火孽物
'zao'mei'xin'lang'ai'de'jia 遭魅新郎艾德嘉
'zao'qi'hui'sao'xie 遭弃挥扫械
'zha'gan 榨干
'zhan'mu'shi'fu'xiong 战墓食腐熊
'zhao'ze 沼泽
'zhe'wu'lian'mu 遮物帘幕
'zhen'feng'xiang'dui 针锋相对
'zhi'ming'gong'wu'zhe 致命共舞者
'zhi'tu'shi'kan'hui 制图师勘绘
'zhong'de'an'xi 终得安息
'zhong'xin'pan'guan 忠信判官
'zhu'feng'long'shou 逐风龙兽
'zhu'wang'ni'tu 注亡逆徒
'zhuan'hua'shi'shuang'mian'pai 转化式双面牌
'zhuo'zi'ke'bu'bing 卓兹克步兵
'zhuo'zi'ke'zhan'ju 卓兹克战具
'zi'ran'zhi'yong 自然之拥
'zi'rao'you'hun 滋扰游魂
'zi'yang'cun'xing 滋养存形
'zi'yang'lie'lang 滋养猎狼
