'bai'bing 白病
'dian'bing 癫病
'dian'kuang'bing 癫狂病
'die'pu'shang'tai'zheng 跌仆伤胎证
'ding'er'bing 耵耳病
'du'fan'qi'xue'zheng 毒燔气血证
'du'fan'qi'ying'zheng 毒燔气营证
'du'fu'ji'gu'zheng 毒腐肌骨证
'du'qin'fei'wei'zheng 毒侵肺卫证
'du'ru'qi'ying'zheng 毒入气营证
'du'ru'xue'fen'zheng 毒入血分证
'du'ru'ying'xue'zheng 毒入营血证
'du'sheng'niang'nong'zheng 毒盛酿脓证
'du'sheng'rou'fu'zheng 毒盛肉腐证
'du'xian'xin'gan'zheng 毒陷心肝证
'du'xie'liu'cuan'zheng 毒邪流窜证
'du'xie'nei'bi'zheng 毒邪内闭证
'du'xie'nei'gong'zheng 毒邪内攻证
'du'xie'yun'jie'zheng 毒邪蕴结证
'du'yong'qi'fen'zheng 毒壅气分证
'du'yun'kui'lan'zheng 毒蕴溃烂证
'du'zai'qi'ying'zheng 毒在气营证
'du'zhi'ji'fu'zheng 毒滞肌肤证
'duan'er'chuang'bing 断耳疮病
'dun'ke'bing 顿咳病
'duo'mei'bing 多寐病
'duo'tai'bing 堕胎病
'e'kou'chuang'bing 鹅口疮病
'e'ni'bing 呃逆病
'e'zhang'feng'bing 鹅掌风病
'er'bi'bing 耳闭病
'er'bi'hou'ai'bing'she'ai'bing 耳鼻喉癌病舌癌病
'er'chuang'bing 耳疮病
'er'gen'du'bing 耳根毒病
'er'jie'bing 耳疖病
'er'ke'ai'bing 儿科癌病
'er'ke'chong'bing'xiao'er'gou'chong'bing 儿科虫病小儿钩虫病
'er'ke'chong'bing'xiao'er'hui'chong'bing 儿科虫病小儿蛔虫病
'er'ke'chong'bing'xiao'er'jiang'pian'chong'bing 儿科虫病小儿姜片虫病
'er'ke'chong'bing'xiao'er'nang'chong'bing 儿科虫病小儿囊虫病
'er'ke'chong'bing'xiao'er'nao'chong'bing 儿科虫病小儿蛲虫病
'er'ke'chong'bing'xiao'er'si'chong'bing 儿科虫病小儿丝虫病
'er'ke'chong'bing'xiao'er'tao'chong'bing 儿科虫病小儿绦虫病
'er'ke'chong'bing'xiao'er'xue'xi'chong'bing 儿科虫病小儿血吸虫病
'er'ke'liu'bing 儿科瘤病
'er'ke'liu'tan'bing 耳壳流痰病
'er'ke'shi'xing'bing'bai'hou'bing 儿科时行病白喉病
'er'ke'shi'xing'bing'ma'zhen'bing 儿科时行病麻疹病
'er'ke'shi'xing'bing'shui'dou'bing 儿科时行病水痘病
'er'long'bing 耳聋病
'er'ming'bing 耳鸣病
'er'ming'er'long'bing 耳鸣耳聋病
'er'qi 二期
'er'xuan'yun'bing 耳眩晕病
'er'xun'bing 耳蕈病
'er'zhang'bing 耳胀病
'er'zhang'er'bi'bing 耳胀耳闭病
'fa'bei'ju'bing 发背疽病
'fa'bing 发病
'fa're'qi 发热期
'fa'yi'bing 发颐病
'fa'zuo'qi 发作期
'fan'wei'bing 反胃病
'fei'chuang'bing 肥疮病
'fei'fa'bing 腓发病
'fei'gan'feng're'xue're'yong'zhi'zheng 肺肝风热血热壅滞证
'fei'gan'feng're'zheng 肺肝风热证
'fei'han'zheng'lei 肺寒证类
'fei'jing'feng're'zheng 肺经风热证
'fei'jing're'sheng'zheng 肺经热盛证
'fei'jing'shi're'yong'jie'bi'qiao'zheng 肺经湿热壅结鼻窍证
'fei'jing'shi're'zheng 肺经湿热证
'fei'jing'shou're'tan'shi'ning'zhi'zheng 肺经受热痰湿凝滞证
'fei'jing'shou're'zheng 肺经受热证
'fei'jing'xu're'zheng 肺经虚热证
'fei'jing'yu'huo'zheng 肺经郁火证
'fei'jing'yu'zu'zheng 肺经瘀阻证
'fei'jing'yun're'xie'du'wai'xi'zheng 肺经蕴热邪毒外袭证
'fei'jing'yun're'zheng 肺经蕴热证
'fei'jing'zao're'zheng 肺经燥热证
'fei'ju'bing 腓疽病
'fei'lao'bing 肺痨病
'fei'luo'bu'chang'zheng 肺络不畅证
'fei'lv'xu'han'zheng 肺氯虚寒证
'fei'pang'bing 肥胖病
'fei'pi'ji're'zheng 肺脾积热证
'fei'pi'liang'xu'xie'zhi'bi'qiao'zheng 肺脾两虚邪滞鼻窍证
'fei'pi'liang'xu'zheng 肺脾两虚证
'fei'pi'qi'xu'zheng 肺脾气虚证
'fei'pi'shi're'zheng 肺脾湿热证
'fei'qi'yu'bi'zheng 肺气郁痹证
'fei're'fa'zhen'zheng 肺热发疹证
'fei're'jin'shang'jin'shi'ru'run'zheng 肺热津伤筋失濡润证
'fei're'jin'shang'zheng 肺热津伤证
'fei're'kang'sheng'zheng 肺热亢盛证
'fei're'qi'yong'zheng 肺热气壅证
'fei're'shang'yu'zheng 肺热上郁证
'fei're'shi'xuan'zheng 肺热失宣证
'fei're'xia'yi'zheng 肺热下移证
'fei're'xue're'zheng 肺热血热证
'fei're'xue'yu'zheng 肺热血瘀证
'fei're'yi'chang'zheng 肺热移肠证
'fei're'yong'sheng'zheng 肺热壅盛证
'fei're'zheng 肺热证
'fei'shen'liang'xu'zheng 肺肾两虚证
'fei'shen'qi'xu'zheng 肺肾气虚证
'fei'shen'yang'xu'zheng 肺肾阳虚证
'fei'shen'yin'xu'zheng 肺肾阴虚证
'fei'shi'zhi'jie'shui'dao'bu'li'zheng 肺失治节水道不利证
'fei'shuai'bing 肺衰病
'fei'wei'bing 肺痿病
'fei'wei'bu'gu'zheng 肺卫不固证
'fei'wei'ji're'zheng 肺胃积热证
'fei'wei'qi'xu'zheng 肺卫气虚证
'fei'wei're'sheng'zheng 肺胃热盛证
'fei'wei'shi're'zheng 肺胃实热证
'fei'wei'shi're'zheng 肺胃湿热证
'fei'wei'yin'shang'zheng 肺胃阴伤证
'fei'wei'yun're'zheng 肺胃蕴热证
'fei'wei'zao're'zheng 肺胃燥热证
'fei'xu'bu'gu'zheng 肺虚不固证
'fei'xu'gan'han'zheng 肺虚感寒证
'fei'xu'xie'zhi'zheng 肺虚邪滞证
'fei'xu'zao'zheng 肺虚燥证
'fei'yan'chuan'sou'bing 肺炎喘嗽病
'fei'yang'hou'bing 飞扬喉病
'fei'yin'bu'zu'zheng 肺阴不足证
'fei'yin'huo'wang'zheng 肺阴火旺证
'fei'yin'kui'hao'zheng 肺阴亏耗证
'fei'yin'kui'xu'zheng 肺阴亏虚证
'fei'yin'shang'zheng 肺阴伤证
'fei'yong'bing 肺痈病
'fei'zang'kui'xu'zheng 肺脏亏虚证
'fei'zao'chang'bi'zheng 肺燥肠闭证
'fei'zao'chang're'luo'shang'ke'xue'zheng 肺燥肠热络伤咳血证
'fei'zao'chang're'zheng 肺燥肠热证
'fei'zao'jin'shang'zheng 肺燥津伤证
'fei'zao'shang'yin'zheng 肺燥伤阴证
'fei'zao'yu're'zheng 肺燥郁热证
'fei'zao'zheng 肺燥证
'fei'zhang'bing 肺胀病
'fen'ci'bing 粉刺病
'fen'ci'xing'ru'yong'bing 粉刺性乳痈病
'feng'chi'chuang'yi'bing 风赤疮痍病
'feng'dong'tan'zu'zheng 风动痰阻证
'feng'dong'tan'zu'zhuo'xie'shang'fan'zheng 风动痰阻浊邪上犯证
'feng'du'ru'li'zheng 风毒入里证
'feng'du'zai'biao'zheng 风毒在表证
'feng'du'zheng 风毒证
'feng'han'bi'fei'zheng 风寒闭肺证
'feng'han'bi'zu'zheng 风寒痹阻证
'feng'han'fan'fei'zheng 风寒犯肺证
'feng'han'fan'mu'zheng 风寒犯目证
'feng'han'hua're'zheng 风寒化热证
'feng'han'shi'bi'zheng 风寒湿痹证
'feng'han'shi'xie'zheng 风寒湿邪证
'feng'han'shi'zu'zheng 风寒湿阻证
'feng'han'shu'biao'zheng 风寒束表证
'feng'han'shu'fei'zheng 风寒束肺证
'feng'han'wai'xi'zheng 风寒外袭证
'feng'han'xi'biao'zheng 风寒袭表证
'feng'han'xi'fei'zheng 风寒袭肺证
'feng'han'zheng 风寒证
'feng'han'zu'luo'zheng 风寒阻络证
'feng'huo'bi'qiao'zheng 风火蔽窍证
'feng'huo'du'zheng 风火毒证
'feng'huo'gong'mu'zheng 风火攻目证
'feng'huo'nei'dong'zheng 风火内动证
'feng'huo're'du'chi'sheng'zheng 风火热毒炽盛证
'feng'huo'shang'gong'zheng 风火上攻证
'feng'huo'shang'rao'qing'qiao'zheng 风火上扰清窍证
'feng'huo'shang'rao'zheng 风火上扰证
'feng'huo'shang'yan'tan're'bi'qiao'zheng 风火上炎痰热闭窍证
'feng'huo'shang'yan'zheng 风火上炎证
'feng'huo'zheng 风火证
'feng'lun'chi'dou'bing 风轮赤豆病
'feng're'bi'fei'xin'qi'xu'shuai'zheng 风热闭肺心气虚衰证
'feng're'bi'fei'zheng 风热闭肺证
'feng're'chuang'bing 风热疮病
'feng're'du'yun'zheng 风热毒蕴证
'feng're'fan'fei'zheng 风热犯肺证
'feng're'hua'huo'zheng 风热化火证
'feng're'ju'sheng'zheng 风热俱盛证
'feng're'ke'jian'zheng 风热客睑证
'feng're'pian'sheng'zheng 风热偏盛证
'feng're'shang'fan'zheng 风热上犯证
'feng're'shang'gong'zheng 风热上攻证
'feng're'shang'luo'zheng 风热伤络证
'feng're'shang'rao'zheng 风热上扰证
'feng're'shi'du'yong'sheng'zheng 风热湿毒壅盛证
'feng're'shi'xie'jin'zi'zheng 风热湿邪浸渍证
'feng're'tan'du'zheng 风热痰毒证
'feng're'tan'ning'zheng 风热痰凝证
'feng're'ting'liu'zheng 风热停留证
'feng're'wai'fan'zheng 风热外犯证
'feng're'wai'qin'zheng 风热外侵证
'feng're'wai'xi'fei'jing'you're'zheng 风热外袭肺经有热证
'feng're'wai'xi'zheng 风热外袭证
'feng're'xi'biao'zheng 风热袭表证
'feng're'xie'du'wai'qin'zheng 风热邪毒外侵证
'feng're'xie'du'zheng 风热邪毒证
'feng're'xue're'zheng 风热血热证
'feng're'xue'zao'zheng 风热血燥证
'feng're'yi'du'zheng 风热疫毒证
'feng're'yong'mu'zheng 风热壅目证
'feng're'yong'sheng'zheng 风热壅盛证
'feng're'yun'fu'zheng 风热蕴肤证
'feng're'yun'ji'zheng 风热蕴肌证
'feng're'zai'biao'zheng 风热在表证
'feng're'zheng 风热证
'feng're'zu'luo'zheng 风热阻络证
'feng'sao'feng'bing 风瘙风病
'feng'sha'bing 风痧病
'feng'shang'chang'luo'zheng 风伤肠络证
'feng'sheng'pi'xu'zheng 风盛脾虚证
'feng'sheng'xue'zao'zheng 风盛血燥证
'feng'shi'bi'bing 风湿痹病
'feng'shi'du'ju'zheng 风湿毒聚证
'feng'shi'hua'huo'zheng 风湿化火证
'feng'shi'hua're'zheng 风湿化热证
'feng'shi'ling'mu'zheng 风湿凌目证
'feng'shi're'sheng'zheng 风湿热盛证
'feng'shi're'xie'gong'mu'zheng 风湿热邪攻目证
'feng'shi're'yu'zheng 风湿热郁证
'feng'shi're'zheng 风湿热证
'feng'shi'yu're'zheng 风湿郁热证
'feng'shi'yun'fu'zheng 风湿蕴肤证
'feng'shi'yun'jie'zheng 风湿蕴结证
'feng'shi'zheng 风湿证
'feng'shi'zhi'biao'zheng 风湿滞表证
'feng'shui'fan'lan'zheng 风水泛滥证
'feng'shui'xiang'bo'zheng 风水相搏证
'feng'tan'bi'qiao'zheng 风痰闭窍证
'feng'tan'bi'zu'zheng 风痰闭阻证
'feng'tan'ru'luo'zheng 风痰入络证
'feng'tan'shang'gong'zheng 风痰上攻证
'feng'tan'shang'rao'zheng 风痰上扰证
'feng'tan'yu'xue'bi'zu'mai'luo'zheng 风痰瘀血痹阻脉络证
'feng'tan'yu'xue'zheng 风痰瘀血证
'feng'tan'zheng 风痰证
'feng'tan'zu'luo'zheng 风痰阻络证
'feng'wen'bing 风温病
'feng'wen'fei're'bing 风温肺热病
'feng'xie'fan'er'zheng 风邪犯耳证
'feng'xie'fan'fei'zheng 风邪犯肺证
'feng'xie'pian'sheng'zheng 风邪偏盛证
'feng'xie'qin'xi'zheng 风邪侵袭证
'feng'xie're'du'zheng 风邪热毒证
'feng'xie'wai'xi'jing'qi'pi'sai'zheng 风邪外袭经气痞塞证
'feng'xie'wai'xi'zheng 风邪外袭证
'feng'xie'xi'biao'zheng 风邪袭表证
'feng'xie'xi'luo'zheng 风邪袭络证
'feng'xie'zheng 风邪证
'feng'xie'zu'luo'zheng 风邪阻络证
'feng'yan're'du'zheng 风炎热毒证
'feng'yang'nei'dong'zheng 风阳内动证
'feng'yang'tan'huo'zheng 风阳痰火证
'feng'yu'zheng 风瘀证
'feng'zao'shang'fei'zheng 风燥伤肺证
'feng'zao'zheng 风燥证
'feng'zhong'yu're'zheng 风重于热证
'fu'bu'nei'shang'bing 腹部内伤病
'fu'bu'zhong'han'zheng 腹部中寒证
'fu'gu'ju'bing 附骨疽病
'fu'jin'sun'gu'zheng 腐筋损骨证
'fu'ke'ai'bing 妇科癌病
'fu'ke'liu'bing 妇科瘤病
'fu'qi'bu'tong'zheng 腑气不通证
'fu'shi're'jie'zheng 腑实热结证
'fu'shi'yin'shang'zheng 腑实阴伤证
'fu'shu'bing 伏暑病
'fu'zhang'bing 腹胀病
'fu'zhang'man'bing 腹胀满病
'gan'bing 疳病
'gan'dan'huo'chi'feng'huo'gong'mu'zheng 肝胆火炽风火攻目证
'gan'dan'huo'chi'zheng 肝胆火炽证
'gan'dan'huo're'zheng 肝胆火热证
'gan'dan'huo'sheng'xie're'wai'qin'zheng 肝胆火盛邪热外侵证
'gan'dan'huo'sheng'zheng 肝胆火盛证
'gan'dan'huo'wang'zheng 肝胆火旺证
'gan'dan're'du'zheng 肝胆热毒证
'gan'dan'shi're'shang'zheng'zheng 肝胆湿热上蒸证
'gan'dan'shi're'zheng 肝胆湿热证
'gan'dan'yu're'zheng 肝胆郁热证
'gan'dan'yu'zu'zheng 肝胆瘀阻证
'gan'fei're'sheng'zheng 肝肺热盛证
'gan'feng'nei'dong'feng'cuan'luo'mai'zheng 肝风内动风窜络脉证
'gan'feng'nei'dong'yin'xu'feng'dong'zheng 肝风内动阴虚风动证
'gan'feng'nei'dong'zheng 肝风内动证
'gan'feng'tan'zhuo'zheng 肝风痰浊证
'gan'feng'zheng 肝风证
'gan'gan'zheng 干疳证
'gan'huo'chi'sheng'zheng 肝火炽盛证
'gan'huo'fan'fei'zheng 肝火犯肺证
'gan'huo'fan'wei'zheng 肝火犯胃证
'gan'huo'kang'sheng'zheng 肝火亢盛证
'gan'huo'liu'jin'zheng 肝火流筋证
'gan'huo'shang'rao'qing'qiao'zheng 肝火上扰清窍证
'gan'huo'shang'rao'zheng 肝火上扰证
'gan'huo'shang'yan'zheng 肝火上炎证
'gan'huo'shi're'shang'gong'zheng 肝火湿热上攻证
'gan'huo'shi're'zheng 肝火湿热证
'gan'huo'tan're'zheng 肝火痰热证
'gan'huo'wang'sheng'zheng 肝火旺盛证
'gan'ji'shang'mu'bing 疳积上目病
'gan'ji'zheng 疳积证
'gan'jing'feng're'zheng 肝经风热证
'gan'jing'huo'sheng'zheng 肝经火盛证
'gan'jing'ji're'zheng 肝经积热证
'gan'jing're'sheng'zheng 肝经热盛证
'gan'jing'shi're'zheng 肝经湿热证
'gan'jing'yu'huo'zheng 肝经郁火证
'gan'jing'yu're'zheng 肝经郁热证
'gan'mao'bing 感冒病
'gan'mu'fan'wei'zheng 肝木犯胃证
'gan'pi'kui'xu'zheng 肝脾亏虚证
'gan'pi'liang'xu'zheng 肝脾两虚证
'gan'pi'qi'zhi'zheng 肝脾气滞证
'gan'pi'shi'huo'zheng 肝脾湿火证
'gan'pi'shi're'zheng 肝脾湿热证
'gan'pi'xue'yu'zheng 肝脾血瘀证
'gan'qi'cheng'pi'zheng 肝气乘脾证
'gan'qi'fan'wei'zheng 肝气犯胃证
'gan'qi'yu'jie'qi'zhi'xue'yu'zheng 肝气郁结气滞血瘀证
'gan'qi'yu'jie'zheng 肝气郁结证
'gan'qi'yu'zhi'zheng 肝气郁滞证
'gan'qi'zheng 疳气证
'gan're'shang'rao'zheng 肝热上扰证
'gan'shang'jian'yan'zheng 感伤健眼证
'gan'shen'bu'zu'zheng 肝肾不足证
'gan'shen'kui'sun'zheng 肝肾亏损证
'gan'shen'kui'xu'sui'ku'jin'wei'zheng 肝肾亏虚髓枯筋痿证
'gan'shen'kui'xu'yin'xue'bu'zu'zheng 肝肾亏虚阴血不足证
'gan'shen'kui'xu'zheng 肝肾亏虚证
'gan'shen'liang'kui'zheng 肝肾两亏证
'gan'shen'liang'xu'yue'shu'wu'quan'zheng 肝肾两虚约束无权证
'gan'shen'liang'xu'zheng 肝肾两虚证
'gan'shen'yin'xu'feng'yang'shang'rao'zheng 肝肾阴虚风阳上扰证
'gan'shen'yin'xu'gan'yang'shang'kang'zheng 肝肾阴虚肝阳上亢证
'gan'shen'yin'xu'zheng 肝肾阴虚证
'gan'wang'pi'kun'zheng 肝旺脾困证
'gan'wang'pi'xu'zheng 肝旺脾虚证
'gan'wei'bu'he'zheng 肝胃不和证
'gan'wei'qi'zhi'zheng 肝胃气滞证
'gan'wei'xu'han'yin'xie'shang'fan'zheng 肝胃虚寒饮邪上犯证
'gan'wei'xu'han'zheng 肝胃虚寒证
'gan'wei'yin'xu'zheng 肝胃阴虚证
'gan'wei'yu're'zheng 肝胃郁热证
'gan'xian'zheng 干陷证
'gan'xue'bu'zu'feng'zhong'mai'luo'zheng 肝血不足风中脉络证
'gan'xue'bu'zu'wai'gan'feng'xie'zheng 肝血不足外感风邪证
'gan'xue'bu'zu'zheng 肝血不足证
'gan'xue'kui'xu'zheng 肝血亏虚证
'gan'xue'nei'jie'zheng 干血内结证
'gan'yang'bao'kang'feng'huo'shang'ni'zheng 肝阳暴亢风火上逆证
'gan'yang'bao'kang'feng'huo'shang'rao'zheng 肝阳暴亢风火上扰证
'gan'yang'bao'kang'zheng 肝阳暴亢证
'gan'yang'hua'feng'tan're'shang'rao'zheng 肝阳化风痰热上扰证
'gan'yang'hua'feng'zheng 肝阳化风证
'gan'yang'shang'kang'mai'luo'yu'zu'zheng 肝阳上亢脉络瘀阻证
'gan'yang'shang'kang'tan'xie'zu'qiao'zheng 肝阳上亢痰邪阻窍证
'gan'yang'shang'kang'zheng 肝阳上亢证
'gan'yang'shang'rao'zheng 肝阳上扰证
'gan'yin'bu'zu'zheng 肝阴不足证
'gan'yin'kui'xu'zheng 肝阴亏虚证
'gan'yu'bu'shu'zheng 肝郁不舒证
'gan'yu'dan're'zheng 肝郁胆热证
'gan'yu'hua'huo'zheng 肝郁化火证
'gan'yu'hua're'zheng 肝郁化热证
'gan'yu'huo'wang'zheng 肝郁火旺证
'gan'yu'pi'xu'zheng 肝郁脾虚证
'gan'yu'qi'zhi'qi'huo'shang'ni'zheng 肝郁气滞气火上逆证
'gan'yu'qi'zhi'tan'zhuo'zu'luo'zheng 肝郁气滞痰浊阻络证
'gan'yu'qi'zhi'zheng 肝郁气滞证
'gan'yu'shen'xu'zheng 肝郁肾虚证
'gan'yu'shi're'zheng 肝郁湿热证
'gan'yu'tan'huo'zheng 肝郁痰火证
'gan'yu'tan'ning'zheng 肝郁痰凝证
'gan'yu'xue're'zheng 肝郁血热证
'gan'yu'xue'xu'zheng 肝郁血虚证
'gan'yu'xue'yu'zheng 肝郁血瘀证
'gan'yu'zheng 肝郁证
'gan'zhong'zhang'zheng 疳肿胀证
'gang'chang'bing'hun'he'zhi'bing 肛肠病混合痔病
'gang'chang'bing'nei'zhi'bing 肛肠病内痔病
'gang'chang'bing'wai'zhi'bing 肛肠病外痔病
'gang'chang'bing'zhi'bing 肛肠病痔病
'gang'lie'bing 肛裂病
'gang'men'shi'yang'bing 肛门湿疡病
'gang'yong'bing 肛痈病
'gao'feng'qiao'mu'bing 高风雀目病
'gao'lin'bing 膏淋病
'gao're'shang'yin'zheng 高热伤阴证
'gou'lou'bing 佝偻病
'gu'bi'bing 骨痹病
'gu'cao'feng'bing 骨槽风病
'gu'du'qin'fei'zheng 蛊毒侵肺证
'gu'liu'bing 骨瘤病
'gu'shang'ke'liu'bing 骨伤科瘤病
'gu'zhang'bing 臌胀病
'gu'zhe'bing 骨折病
'gu'zhong'bing 股肿病
'gua'teng'chan'bing 瓜藤缠病
'guan'ge'bing 关格病
'guo'shu'qi 过熟期
'han'bing 汗病
'han'jue'bing 寒厥病
'han'ning'bao'zhong'han'shi'ning'zhi'zheng 寒凝胞中寒湿凝滞证
'han'ning'bao'zhong'yang'xu'nei'han'zheng 寒凝胞中阳虚内寒证
'han'ning'bao'zhong'zheng 寒凝胞中证
'han'ning'qi'ju'zheng 寒凝气聚证
'han'ning'qi'zhi'zheng 寒凝气滞证
'han'ning'xin'mai'zheng 寒凝心脉证
'han'ning'xue'se'zheng 寒凝血涩证
'han'ning'xue'yu'zheng 寒凝血瘀证
'han'ning'yang'shuai'zheng 寒凝阳衰证
'han'ning'yu'jie'zheng 寒凝瘀结证
'han'ning'zheng 寒凝证
'han're'cuo'za'zheng 寒热错杂证
'han'shi'kun'pi'zheng 寒湿困脾证
'han'shi'ning'ju'zheng 寒湿凝聚证
'han'shi'ning'zhi'zheng 寒湿凝滞证
'han'shi'ru'luo'zheng 寒湿入络证
'han'shi'yu'yu'zheng 寒湿瘀郁证
'han'shi'yu'zhi'zheng 寒湿瘀滞证
'han'shi'yun'fu'zheng 寒湿蕴肤证
'han'shi'zheng 寒实证
'han'shi'zheng 寒湿证
'han'shi'zu'e'zheng 寒实阻遏证
'han'shi'zu'luo'zheng 寒湿阻络证
'han'shi'zu'zhi'zheng 寒湿阻滞证
'han'shui'shang'fan'zheng 寒水上泛证
'han'tong'zheng 寒痛证
'han'xie'fan'wei'zheng 寒邪犯胃证
'han'xie'ke'wei'zheng 寒邪客胃证
'han'xie'nei'ji'zheng 寒邪内积证
'han'xie'nei'zu'zheng 寒邪内阻证
'han'xie'ning'gu'zheng 寒邪凝固证
'han'xie'pian'sheng'zheng 寒邪偏盛证
'han'xie'wai'gan'zheng 寒邪外感证
'han'xie'zhi'zhong'zheng 寒邪直中证
