'bai'bu'yu 百步余
'ji'ji'dao 己即到
'ji'jin'cheng 祭尽诚
'ji'nei'xing 即内省
'ji'qu'yi 疾趋揖
'ji'shi'e 即是恶
'ji'shi'hai 及时还
'ji'shi'shan 即是善
'ji'si'qi 即思齐
'ji'su'yi 即速已
'ji'wei'tou 即为偷
'ji'you'neng 己有能
'ji'zhi'shen 疾之甚
'jian'bu'ru 谏不入
'jian'qiao'yu 奸巧语
'jian'ren'e 见人恶
'jian'ren'shan 见人善
'jian'shi'geng 谏使更
'jian'shu'kou 兼漱口
'jian'wei'zhen 见未真
'jian'xiang'qin 渐相亲
'jiang'jia'ren 将加人
'jiang'ru'men 将入门
'jiang'shang'tang 将上堂
'jie'bu'nan 借不难
'jie'ren'wu 借人物
'jie'xu'ai 皆须爱
'jin 谨
'jin'bi'qu 进必趋
'jin'tui'cuo 进退错
'jin'wei'qu 谨为去
'jin'yong'gong 紧用功
'jiu'bu'zhi 就补之
'jiu'ren'wen 就人问
'jiu'rou'jue 酒肉绝
'ju'chu'bian 居处变
'ju'jin'qie 俱紧切
'ju'you'chang 居有常
'juan'shu'qi 卷束齐
'jue'wu'jin 绝勿近
'jue'wu'wen 绝勿问
'ke'xun'zhi 可驯致
'kuan'wei'xian 宽为限
'kuan'zhuan'wan 宽转弯
'lao'yi'zhi 老易至
'lei'bu'qi 类不齐
'li'duan'zheng 立端正
'li'fu'ren 理服人
'li'wei'ju 力为具
'lie'dian'ji 列典籍
'liu'su'zhong 流俗众
'lu'yu'chang 路遇长
'mang'duo'cuo 忙多错
'mei'li'zhen 昧理真
'ming'nai'zuo 命乃坐
'ming'wei'cuo 名为错
'ming'wei'e 名为恶
'ming'zi'gao 名自高
'ming'zi'wo'zuo 命自我作
'mo'mo'pian 墨磨偏
'mo'xian'guan 莫闲管
'neng'qin'ren 能亲仁
'nian'fang'shao 年方少
'niu'bi'jie 纽必结
'ping'wu'shi 屏勿视
'qi'xia'ma 骑下马
'qiang'bi'jing 墙壁净
'qie'jie'zhi 切戒之
'qie'mo'jie 切莫揭
'qie'mo'shuo 切莫说
'qin'ai'wo 亲爱我
'qin'ren 亲仁
'qin'suo'e 亲所恶
'qin'suo'hao 亲所好
'qin'xin'shang 亲心伤
'qin'you'guo 亲有过
'qin'you'ji 亲有疾
'qin'zeng'wo 亲憎我
'qiu'que'yi 求确义
'qu'yi'shao 取宜少
'que'fei'yi 却非宜
'ren'bu'an 人不安
'ren'bu'xian 人不闲
'ren'bu'zai 人不在
'ren'duo'wei 人多畏
'ren'ji'jian 任己见
'ren'suo'fu 人所服
'ren'suo'neng 人所能
'ren'suo'zhong 人所重
'ren'wen'shui 人问谁
'ren'you'duan 人有短
'ren'you'si 人有私
'ren'zhe'xi 仁者希
'ren'zhi'zhi 人知之
'rou'wu'sheng 柔吾声
'ru'shi'fu 如事父
'ru'shi'sheng 如事生
'ru'shi'xiong 如事兄
'ru'xu'shi 入虚室
'ru'you'ren 如有人
'ru'ze'xiao 入则孝
'ru'zhi'ying 如执盈
'ruo'yi'fu 若衣服
'ruo'yin'shi 若饮食
'sang'jin'li 丧尽礼
'sang'san'nian 丧三年
'se'bu'mei 色不媚
'shan'xiang'quan 善相劝
'shang'xun'fen 上循分
'shen'gui'duan 身贵端
'shen'you'shang 身有伤
'sheng'bi'yang 声必扬
'sheng'ren'xun 圣人训
'sheng'yao'di 声要低
'sheng'yu'xian 圣与贤
'shi'fei'yi 事非宜
'shi'fu'ren 势服人
'shi'shi'ke 食适可
'shi'si'zhe 事死者
'shi'sui'xiao 事虽小
'shi'wu'mang 事勿忙
'shi'wu'yi 视勿移
'shi'zhu'fu 事诸父
'shi'zhu'xiong 事诸兄
'shou'xiao'di 首孝弟
'sui'gui'duan 虽贵端
'sui'you'ji 虽有急
'sui'zha'ji 随札记
'sun'you'lai 损友来
'ta'wu'yuan 挞无怨
'tang'bu'wen 倘不问
'tang'yan'shi 倘掩饰
'tian'tong'fu 天同覆
'tong'shi'ren 同是人
'tui'bi'chi 退必迟
'tui'gong'li 退恭立
'wa'yu'lv 袜与履
'wang'zi'da 望自大
'wei'cai'yi 唯才艺
'wei'de'xue 唯德学
'wei'qi'shi 惟其是
'wen'guo'nu 闻过怒
'wen'guo'xin 闻过欣
'wen'qi'dui 问起对
'wen'shu'cun 问孰存
'wen'yu'kong 闻誉恐
'wen'yu'le 闻誉乐
'wu'bo'yi 勿跛倚
'wu'chan'fu 勿谄富
'wu'chu'leng 勿触棱
'wu'guo'ze 勿过则
'wu'hu'ming 勿呼名
'wu'hua'rao 勿话扰
'wu'ji'ji 勿急疾
'wu'ji'ju 勿箕踞
'wu'jia'jing 无加警
'wu'jian'neng 勿见能
'wu'jian'yu 勿践阈
'wu'jian'ze 勿拣择
'wu'jiao'pin 勿骄贫
'wu'luan'dun 勿乱顿
'wu'mo'hu 勿模糊
'wu'mu'bi 勿慕彼
'wu'ning'qiao 勿佞巧
'wu'qing'chuan 勿轻传
'wu'qing'lue 勿轻略
'wu'qing'nuo 勿轻诺
'wu'qing'yan 勿轻言
'wu'qing'zi 勿轻訾
'wu'shan'wei 勿擅为
'wu'sheng'qi 勿生戚
'wu'shi'jiao 勿事搅
'wu'si'cang 勿私藏
'wu'sui'xiao 物虽小
'wu'wei'nan 勿畏难
'wu'xi'xin 勿喜新
'wu'xian'hai 无限害
'wu'xian'hao 无限好
'wu'xin'fei 无心非
'wu'yan'gu 勿厌故
'wu'yao'bi 勿摇髀
'wu'yin'jiu 勿饮酒
'wu'you'sheng 勿有声
'wu'yu'wo 吾与我
'wu'zi'bao 勿自暴
'wu'zi'qi 勿自弃
'wu'zi'si 勿自私
'xi'ci'shi 惜此时
'xi'ke'yan 奚可焉
'xia'cheng'jia 下称家
'xia'ze'qing 夏则凊
'xian'wen'ji 先问己
'xiao'fang'xian 孝方贤
'xiao'he'nan 孝何难
'xiao'ren'jin 小人进
'xiao'zai'zhong 孝在中
'xie'pi'shi 邪僻事
'xin 信
'xin'bu'duan 心不端
'xin'bu'ran 心不然
'xin'jie'yao 信皆要
'xin'wei'xian 信为先
'xin'xian'bing 心先病
'xin'yan'kou 心眼口
'xin'you'yi 心有疑
'xing'wu'lan 行勿懒
'xiong'dao'you 兄道友
'xiong'di'mu 兄弟睦
'xu'jing'ting 须敬听
'xu'ming'qiu 须明求
'xu'shun'cheng 须顺承
'yan'bu'hui 言不讳
'yan'yu'ren 言语忍
'yang'ren'e 扬人恶
'yao'xian'chang 药先尝
'ye'mian'chi 夜眠迟
'ye'wu'bian 业无变
'yi'gui'jie 衣贵洁
'yi'jian'ji 以渐跻
'yi'qin'xiu 贻亲羞
'yi'qin'you 贻亲忧
'yi'shen'yuan 揖深圆
'yi'wu'se 怡吾色
'yi'you'que 益友却
'yin'jiu'zui 饮酒醉
'ying'wu'huan 应勿缓
'yong'ren'wu 用人物
'you'ding'chu 有定处
'you'ding'wei 有定位
'you'que'huai 有缺坏
'you'san'dao 有三到
'you'wu'zuo 幼勿坐
'you'xin'fei 有心非
'you'yu'li 有余力
'you'ze'gai 有则改
'you'zhe'hou 幼者后
'yu'li'xue'wen 余力学文
'yu'si'mian 愈思勉
'yu'yi'duo 与宜多
'yuan'he'sheng 怨何生
'yuan'yu'wang 怨欲忘
'yue'fu'jian 悦复谏
'ze'xue'wen 则学文
'zeng'yi'gu 增一辜
'zha'yu'wang 诈与妄
'zhang'zhe'li 长者立
'zhang'zhe'xian 长者先
'zhang'zhe'zuo 长者坐
'zhe'jing'shou 辄净手
'zhi'guan'fu 置冠服
'zhi'liang'shi 直谅士
'zhi'se'tong 滞塞通
'zhi'wei'de 知未的
'zhi'wu'hui 致污秽
'zhi'xu'qi 执虚器
'zhong'qie'shu 重且舒
'zhou'ye'shi 昼夜侍
'zi'bu'jing 字不敬
'zi'dao'kui 子道亏
'zong'qu'yuan 纵去远
'zong'xu 总叙
'zui'wei'chou 最为丑
'zun'zhang'qian 尊长前
