'a 阿
'chang'chun'hua'ling 长春花绫
'chang'le'ming'guang'jin 长乐明光锦
'chang'sheng'dian'ke'si 长生殿缂丝
'chang'shou'ming'guang'jin 长寿明光锦
'chen'liao'ao'zi'jin 臣僚袄子锦
'cheng 絾
'cheng'yu 城域
'chi 絺
'chi'shi'feng'wen'shu'jiang'jin 赤狮凤纹蜀江锦
'chou 紬
'chou 绸
'chou'jiao'di'tan 抽绞地毯
'chu'bo'hua 楚帛画
'chu'pu'jin 樗蒲锦
'chuan'zhi'lian'pian'jin'jin 穿枝莲片金锦
'chuang'dan 床单
'chuang'zhao 床罩
'chun'man'yuan'luo 春满园罗
'chun'sha 春纱
'cong'bu 賨布
'cui'mao'shi'zi'jin 翠毛狮子锦
'cuo'hua 撮花
'cuo'xie 撮缬
'cuo'yun'xie 撮晕缬
'da'fang'che 大纺车
'da'hong'di'yun'long'zhuang'hua'duan 大红地云龙妆花缎
'da'hua 打花
'da'jian'jin 大繝锦
'da'jin 大锦
'da'lian 大练
'da'xing'chang'cheng'bi'tan 大型长城壁毯
'dai'jin 傣锦
'deng'long'jin 灯笼锦
'deng'xin'rong 灯芯绒
'di 磾
'di'lun 涤纶
'di'mian'bu'lan'hua 涤棉布烂花
'di'mian'zhi'wu 涤棉织物
'di'tan 地毯
'di'tan'ran'se'gong'yi 地毯染色工艺
'di'tan'shuan'tou 地毯拴头
'dian 淀
'dian'li'fang 电力纺
'diao'bai 雕白
'diao'hua'tian'e'rong 雕花天鹅绒
'diao'yin'yin'hua 雕印印花
'die 氎
'die'tao'yun'wen'chou 叠套云纹紬
'ding'niang'zi'bu 丁娘子布
'dong'fang'shuo'tou'tao'tu'zhou 东方朔偷桃图轴
'dong'han'cai'tiao'di'tan 东汉彩条地毯
'dong'jin 洞锦
'dong'lv 冻绿
'dong'wu'ran'liao 动物染料
'dong'wu'wen'jin 动物纹锦
'dong'wu'wen'zhen'zhi'tao 动物纹针织绦
'dou'bu 都布
'dou'luo'jin 兜罗锦
'du'ke'wen'ling'si'chi'fu 独窠文绫四尺幅
'du'suo'juan 独梭绢
'duan 缎
'duan'ji'ning'chou 缎机宁绸
'duan'wen'zu'zhi 缎纹组织
'dui'niao'dui'shou'shuang'mian'jin 对鸟对兽双面锦
'dui'niao'ji'zi'wen'jin 对鸟吉字纹锦
'dui'niao'wen'qi 对鸟纹绮
'dui'yang'jin 对羊锦
'duo 毲
'duo'ceng'ci'san'yuan'se'yin'hua 多层次三原色印花
'duo'fu'lian'hua'cai'hua'rong 多福莲花彩花绒
'duo'hua'hui'hui'wen'jin 朵花回回纹锦
'duo'hua'man'cao'wen'jin 朵花蔓草纹锦
'e'xi'juan 鹅溪绢
'er'se'jin 二色金
'fa'pao'yin'hua 发泡印花
'fang 纺
'fang'chou 纺绸
'fang'fang'jin 方方锦
'fang'ge'duo'hua'wen'luo 方格朵花纹罗
'fang'ge'shou'wen'jin 方格兽纹锦
'fang'kong 方空
'fang'la'fang'yin'hua 仿蜡防印花
'fang'mu'sha 方目纱
'fang'ran'se'zhan 防染色毡
'fang'ran'yin'hua 防染印花
'fang'sha 纺纱
'fang'song'jin 仿宋锦
'fang'yin'yin'hua 防印印花
'fang'zhuan 纺专
'fei'hua'bu 飞花布
'fei'niao'tuan'hua'jin 飞鸟团花锦
'fei'yi 非衣
'fen'san'xing'ran'liao 分散性染料
'fen'shui 纷帨
'fen'zhou'an'mian'zhan 汾州鞍面毡
'feng'chuan'mu'dan'qi 凤穿牡丹绮
'feng'zhou'de'tuo'he'zhan 丰州的驼褐毡
'fo'xiang'hua'duan 佛相花缎
'fu'bu 紨布
'fu'cai'tuan'hua'zhang'duan 敷彩团花漳缎
'fu'cang'shan'chu'tu'miao'jin'cai'hui'si'zhi'wu 浮仓山出土描金彩绘丝织物
'fu'cang'shan'chu'tu'nan'song'luo'zhi'wu 浮仓山出土南宋罗织物
'fu'guang'jin 浮光锦
'fu'nv'feng'niao'tu'bo'hua 妇女凤鸟图帛画
'fu'shou'fu'gui'ke'si'yi'pi 福寿富贵缂丝椅披
'fu'suo 服琐
'gai'ji 改机
'gan'di'gou'wen'jin 绀地勾文锦
'gao 缟
'gao'chang'mian'bu 高昌棉布
'gao'shan'jin 高山锦
'ge 葛
'ge'chi 葛絺
'ge'xie 臈缬
'ge'yue 葛越
'ge'zi'hong'jin 格子红锦
'gen'sha 茛纱
'gong'luo 贡罗
'gong'sha 宫纱
'gong'zi'wen'ling 工字纹绫
'gou'ke'fa 构缂法
'gou'lian'wan'zi'wen'ling 勾连万字纹绫
'gu'dai'jiao'xie'gong'yi'fang'fa 古代绞缬工艺方法
'gu'xiang'duan 古香缎
'gua'tan 挂毯
'gua'zi'luo 瓜子罗
'guang'xi'miao'zu'jiang'ran 广西苗族浆染
'gui'bei'wang'zi'wen'jin 龟背王字纹锦
'gui'bu 桂布
'gui'guan'bu 桂管布
'gui'jia'si'ban'wen'ji 龟甲四瓣纹罽
'gui'sha 龟纱
'gun'tong'yin'hua 滚筒印花
'hai'tang'wen'jin 海棠纹锦
'hai'xi'bu 海西布
'han'dai'bo'hua 汉代帛画
'han'dai'de'fang'che 汉代的纺车
'han'dai'ti'hua'ji 汉代提花机
'hao'sha 皓纱
'he 褐
'he'cheng'ran'liao 合成染料
'he'cheng'xian'wei 合成纤维
'he'di'shuang'se'fang'ge'wen'jin 褐地双色方格纹锦
'he'jin 合锦
'he'se'shan'cha'luo 褐色山茶罗
'hong'di'bao'xiang'hua'wen'jin 红地宝相花纹锦
'hong'di'han'ren'xiu'jin 红地韩仁绣锦
'hong'di'hua'wen'jin 红地华纹锦
'hong'di'shuang'long'wen'jin 红地双龙纹锦
'hong'di'tuan'hua'wen'jin 红地团花纹锦
'hong'di'xiao'tuan'ke'jin 红地小团窠锦
'hong'di'zhe'zhi'mei'hua'jin 红地折枝梅花锦
'hong'man 红缦
'hong'se'bei'wen'luo 红色杯纹罗
'hong'xiao 红绡
'hou'xi'jia'xiu'zhuang'hua'luo 猴戏加绣妆花罗
'hu 縠
'hu'wang'jin 胡王锦
'hua'ben 花本
'hua'ben'tiao'hua 花本挑花
'hua'hui 画缋
'hua'ji 花罽
'hua'lou 花楼
'hua'luo 花罗
'hua'ruan'duan 花软缎
'hua'xue'xian'wei 化学纤维
'huan'hua'jin 浣花锦
'huan'yuan'ran'liao 还原染料
'huang'he'se'chang'chun'hua'qi 黄褐色长春花绮
'hui'hui'jin 回回锦
'hui'ji 缋罽
'hui'zhou'de'fu'an'zhan 会州的复鞍毡
'huo'cui 火毳
'huo'huan'bu 火浣布
'huo'xing'ran'liao 活性染料
'ji 罽
'ji'bei 吉贝
'ji'fang 机房
'ji'hu 机户
'ji'jiang 机匠
'ji'juan 季绢
'ji'le'shi'jie'zhi'cheng'jin'tu'zhou 极乐世界织成锦图轴
'ji'li'si 辑里丝
'ji'ming'bu 鸡鸣布
'ji'yi'jin'lv 罽衣金缕
'ji'zhi'di'tan 机织地毯
'jia'jin'chan'zhi'hua'hui'tian'hua'wen'jin 加金缠枝花卉天华纹锦
'jia'xie 夹缬
'jian 缣
'jian'ji'yin'hua 碱剂印花
'jian'pian 剪片
'jian'su 缣素
'jian'xing'ran'liao 碱性染料
'jiang'di'bao'xiang'hua'yin'hua'juan'qun 绛地宝相花印花绢裙
'jiang'di'jiao'long'jin 绛地交龙锦
'jiang'ling'jin 江陵锦
'jiang'se'di'hua'niao'yin'hua'juan 绛色地花鸟印花绢
'jiang'se'mu'dan'wen'luo 绛色牡丹纹罗
'jiao'bei'shou'gong'di'tan 胶背手工地毯
'jiao'bu 蕉布
'jiao'ge 蕉葛
'jiao'long'jin 交龙锦
'jiao'ta'fang'che 脚踏纺车
'jiao'xiao 鲛绡
'jiao'xie 绞缬
'jiao'zhi 交织
'jin 锦
'jin'bao'di 金宝地
'jin'cheng 锦城
'jin'diao'duan 金雕缎
'jin'guan'cheng 锦官城
'jin'ling 锦绫
'jin'lun 锦纶
'jin'ran 浸染
'jin'si'duan 金丝缎
'jin'si'gua'tan 金丝挂毯
'jin'tiao'sha 金条纱
'jin'yin'xian 金银线
'jin'yu'duan 金玉缎
'jing 经
'jing'bian'zhi'wu 经编织物
'jing'duan 荆缎
'jing'jin 荆锦
'jing'jin 经锦
'jing'si'cai'se'xian'hua 经丝彩色显花
'jing'wei'xian 经纬线
'jiu'long'ke'si'kao'bei 九龙缂丝靠背
'jiu'yang'xiao'han'tu'zhou 九阳消寒图轴
'jiu'zong'bu 九緵布
'ju'bu 苴布
'ju'bu'ya'guang 局部轧光
'ju'hua'luo 菊花罗
'ju'hua'wen'qi 菊花纹绮
'ju'sha 局纱
'ju'wen'hua'sha 矩纹花纱
'ju'wen'jin 句文锦
'juan 绢
'juan'cao'wen'ling 卷草纹绫
'juan'su 绢素
'ka'dian 卡垫
'kao'chou 拷绸
'kao'hua 拷花
'kao'hua'yin'hua'bu 拷花印花布
'kao'hua'zhi'wu 拷花织物
'ke'jin'fa 缂金法
'ke'lin'fa 缂鳞法
'ke'mao 缂毛
'ke'si 克丝
'ke'si 刻丝
'ke'si 尅丝
'ke'si 缂丝
'ke'si'dai 缂丝带
'ke'si'xue'mian 缂丝靴面
'ke'si'zuo 刻丝作
'ke'xiu'hun'se'fa 缂绣混色法
'ke'zhan 刻毡
'kong'que'luo 孔雀罗
'kong'que'yu'nian'xian'xing'long'zhuang'hua'bian'di'jin 孔雀羽拈线行龙妆花遍地金
'kong'que'zhuang'hua'jin 孔雀妆花锦
'ku'duan 库缎
'ku'jin 库锦
'kuang'wu'ran'liao 矿物染料
'kui'long'jin 夔龙锦
'kui'wen'jin 夔纹锦
'la'dao 蜡刀
'la'fang'yin'hua 蜡防印花
'la'hu'jin 拉祜锦
'la'jiao'di'tan 拉绞地毯
'la'xie 蜡缬
'lan'di'fu'gui'zhuang'hua'duan 蓝地富贵妆花缎
'lan'di'rui'hua'jin 蓝底瑞花锦
'lan'di'tao'liu'fo'shou'jin'duan 蓝地桃榴佛手锦缎
'lan'di'zhong'lian'tuan'hua'jin 蓝地重莲团花锦
'lan'hua 烂花
'lan'hua'qiao'qi'rong 烂花乔其绒
'lan'yin'hua'bu 蓝印花布
'lao'long'tou'zhuang'hua'duan 老龙头妆花缎
'leng'bu 冷布
'li 纚
'li'dan 黎单
'li'jin 黎锦
'lian 练
'lian'piao 练漂
'lian'tang'ru'ya'tu 莲塘乳鸭图
'lian'zhu'da'lu'wen'jin 联珠大鹿纹锦
'lian'zhu'dui'kong'que'gui'zi'wen'jin 联珠对孔雀贵字纹锦
'lian'zhu'dui'ma'wen'jin 联珠对马纹锦
'lian'zhu'dui'niao'dui'shi'tong'zi'wen'jin 联珠对鸟对狮同字纹锦
'lian'zhu'dui'ya'wen'jin 联珠对鸭纹锦
'lian'zhu'kong'que'jin 联珠孔雀锦
'lian'zhu'long'wen'qi 联珠龙纹绮
'lian'zhu'lu'wen'jin 联珠鹿纹锦
'lian'zhu'niao'wen'jin 联珠鸟纹锦
'lian'zhu'qi'shi'wen'jin 联珠骑士纹锦
'lian'zhu'wen'jin 联珠纹锦
'lian'zhu'zhu'tou'wen'jin 联珠猪头纹锦
'liang'jing'jiao'luo 两经绞罗
'liang'ke'chou'ling 两窠紬绫
'liao'ling 缭绫
'ling 绫
'ling'ge'cai'hua'zhuang'jin'si'tan 菱格彩花壮锦丝毯
'ling'wen'qi 菱纹绮
'ling'xing'ren'dong'jin 菱形忍冬锦
'ling'xing'yang'zi'jin 菱形阳字锦
'ling'yang'gong'yang 陵阳公样
'ling'zhi'tuan'long'wen'jin'jin 灵芝团龙纹金锦
'ling'zhou'de'xue'kuo'zhan 灵州的靴鞟毡
'liu'bao'jin 斿豹锦
'liu'bian'xing'ji'he'wen'lan'yin'hua'mian'bu 六边形几何纹蓝印花棉布
'liu'da'yun 六达晕
'liu'hua'ran'liao 硫化染料
'liu'jiao'lian'huan'wen'jin'duan 六角连环纹锦缎
'liu'jiao'mei'hua'luo 六角梅花罗
'liu'xiang'zhou 留香绉
'long'feng'qi'ge'wen'jin 龙凤棋格纹锦
'long'feng'tiao'wen'jin 龙凤条纹锦
'lou'kong'ban'yin'hua 镂空版印花
'lou'kong'zhi'hua'ban'yin'ran'gong'yi 镂空纸花版印染工艺
'lu 纑
'lu'juan 鲁绢
'luan'wen'jin 鸾纹锦
'luo 罗
'luo'hua'liu'shui'jin 落花流水锦
'lv'di'chan'zhi'lian'zhuang'hua'duan 绿地缠枝莲妆花缎
'lv'he 氀毼
'lv'se'da'lie'tu'yin'hua'sha 绿色打猎图印花纱
'ma'shen'lu'bu 玛什鲁布
'ma'wang'dui'chu'tu'ni'jin'yin'yin'hua'sha 马王堆出土泥金银印花纱
'ma'wang'dui'chu'tu'rong'quan'jin 马王堆出土绒圈锦
'ma'xian'wei 麻纤维
'man'bu 蛮布
'man'di'wan'zi'ling 满地万字绫
'man'zhan 蛮氈
'mao'tan 毛毯
'mei'die'jin 梅蝶锦
'mei'hua'qu'shui'jin 梅花曲水锦
'mei'ran 媒染
'mei'ran'ran'liao 媒染染料
'mi'feng'chan'zhi'hua'duan 蜜蜂缠枝花缎
'mi'huang'di'ling'jiu'wen'jin 米黄地灵鹫纹锦
'mian'chou 绵绸
'mian'jin 棉锦
'mian'ling'xing'hua'wen'zhi'jin 棉菱形花纹织锦
'mian'wei'fu'chun'fang 棉纬富春纺
'mian'xian'wei 棉纤维
'miao'jin 苗锦
'min'zu'jin 民族锦
'ming'dai'jiu'shi'zai'rong'tan 明代九狮栽绒毯
'ming'guang'jin 明光锦
'ming'niao'wen'jin 鸣鸟纹锦
'ming'xia'jin 明霞锦
'mo'ban'yin'hua 模版印花
'mo'ben 摹本
'mo'lv'di'bao'xiang'hua'zhuang'hua'duan 墨绿地宝相花妆花缎
'mu'dan'tuan'shan'ke'si 牡丹团扇缂丝
'mu'dan'wen'yan'se'an'hua'chou 牡丹纹烟色暗花绸
'mu'mian'jin 木棉锦
'na'bu 纳布
'na'ke'shi 纳克实
'na'shi'shi 纳失失
'na'shi'shi 纳石失
'na'shi'si 纳失思
'nan'gong'di'tan 男工地毯
'nan'song'chan'zhi'mu'dan'hua'luo 南宋缠枝牡丹花罗
'nan'song'fang'xing'xiao'hua'qi 南宋方形小花绮
'nan'song'ji'he'xiao'hua'luo 南宋几何小花罗
'nan'song'ju'xing'dian'xiao'hua'qi 南宋矩形点小花绮
'nian'jin 撚金
'ning'zhou'de'wu'se'fu'an'zhan 宁州的五色复鞍毡
'nv'bu 女布
'nv'gong'di'tan 女工地毯
'pan'jin'di'tan 盘金地毯
'pao'pao'sha 泡泡纱
'pen'wu'yin'hua 喷雾印花
'pian'jin 片金
'pian'zhu 偏诸
'piao 缥
'piao'zhi 缥帙
'ping'tan 平毯
'ping'wen'zu'zhi 平纹组织
'ping'zhen'di'tan 平针地毯
'pu'di'jin 铺地锦
'pu'lu 氆氇
'pu'luo 普罗
'qi 绮
'qi'ke'fa 齐缂法
'qi'qi 綦绮
'qi'shi'dui'shou'wen'jin 骑士对兽纹锦
'qi'wen'jin 棋纹锦
'qi'zong'bu 七緵布
'qian'he'se'zhou'sha 浅褐色绉纱
'qian'jin'tao 千金绦
'qian'jin'tao'shi 千金绦饰
'qiang'ke'fa 抢缂法
'qiao'qi'rong 乔其绒
'qiao'qi'sha 乔其纱
'qiao'qi'zhou 乔其绉
'qin 綅
'qing'dai'jin'xian'di'yu'tang'fu'gui'bi'tan 清代金线地玉堂富贵壁毯
'qing'dai'shan'cha'yin'hua'bu 清代山茶印花布
'qing'di'cai'yun'shou'zi'jin'long'zhuang'hua'duan 青地彩云寿字金龙妆花缎
'qing'di'fen'hua'ke'si 青地粉花缂丝
'qing'lun 晴纶
'qing'qu'xi'zhan 青絇细綻
'qing'rong 轻容
'qiu 紌
'qiu'lu'jin 毬露锦
'qiu'lu'jin 球路锦
'qiu'lu'shuang'niao'wen'jin 球路双鸟纹锦
'qiu'lu'wen 球路纹
'qiu'luo 秋罗
'qu'shu 氍毹
'qu'shui'wen 曲水纹
'qun'ji'zhu'shou'tu'ke'si 群机祝寿图缂丝
'ran'cao 染草
'ran'fang 染坊
'ran'liao 染料
'ran'se 染色
'ran'zhi 染织
'ran'zhi'ran'zhi'mei'shu'she'ji 染织染织美术设计
'ran'zhi'tu'an 染织图案
'ren'wu'chan'zhi'wen'nian'jin'jin 人物缠枝纹撚金锦
'ren'wu'la'ran'hua'bu 人物蜡染花布
'ren'wu'pu'tao'wen'mao'zhi'pin 人物葡萄纹毛织品
'ren'zao'ji'pi 人造麂皮
'ren'zao'mao'pi 人造毛皮
'ren'zao'ran'liao 人造染料
'ren'zao'xian'wei 人造纤维
'ren'zi'qi'fan 人字绮幡
'rong 绒
'rong'bu'hua'se'qi'mao'yin'hua 绒布花色起毛印花
'rong'jin 绒锦
'rong'quan'jin 绒圈锦
'rong'tan 绒毯
'ru'huan'tao 繻缓绦
'ru'huan'tao'shi 繻缓绦饰
'ru'yi'yun'ba'bao'duan 如意云八宝缎
'ru'yi'yun'he'jin 如意云鹤锦
'ru'yi'yun'wen'ling 如意云纹绫
'ruan'duan 软缎
'rui'cao'yun'he'jin 瑞草云鹤锦
'rui'lu'tuan'hua'jin 瑞鹿团花锦
'rui'que'xian'hua'jin 瑞鹊衔花锦
'sa'hai'ci 洒海刺
'sa'jin'yin'hua 洒金印花
'san'dian'xiao'hua'jin 散点小花锦
'san'hua'jin 散花锦
'san'jing'jiao'luo 三经绞罗
'san'lan'ke'fa 三蓝缂法
'san'se'jin'ke 三色金缂
'se'ba 色拔
'sha 纱
'sha'hu 沙縠
'shai'wang'yin'hua 筛网印花
'shan'cha'jia'die'tu'ke'si 山茶蛱蝶图缂丝
'shan'ding'dong'ren'de'gu'zhen 山顶洞人的骨针
'shang'dai'hui'wen'si'zhi'wu'can'hen 商代回纹丝织物残痕
'shang'dai'yun'lei'wen'si'zhi'wu'can'hen 商代云雷纹丝织物残痕
'shang'tong'gu'biao'mian'ping'wen'si'zhi'wu'can'hen 商铜觚表面平纹丝织物残痕
'shen'jin'qin'jin 神锦衾锦
'shen'tou'yin'hua 渗透印花
'shen'xiang'di'shi'zi'hua'chou 深湘地十字花紬
'sheng'fang 盛纺
'sheng'si 生丝
'sheng'yue 升越
'sheng'zhi 生织
'shi'mian 石棉
'shi'mian'bu 石棉布
'shi'ran 石染
'shi'yang'jin 十样锦
'shi'zi'wen'jin 狮子纹锦
'shi'zi'xi'cai'qiu'yin'hua'hua'bian 狮子戏彩球印花花边
'shi'zong'bu 十緵布
'shou'gong'di'tan 手工地毯
'shou'gong'zai'rong'di'tan 手工栽绒地毯
'shou'jin 兽锦
'shou'lie'wen'yin'hua'juan 狩猎纹印花绢
'shou'zi'zhi'yin'jin 寿字织银锦
'shu 綀
'shu'bu 蜀布
'shu'jin 蜀锦
'shu'ye'wen'jin 树叶纹锦
'shu'zhi 熟织
'shuang'feng'wu'fu'ba'ji'xiang'zhi'jin 双凤五福八吉祥织锦
'shuang'he'shuang'tao'ke'si 双鹤双桃缂丝
'shuang'hu'yin'hua'luo 双虎印花罗
'shuang'long'chuan'bi'ke'si 双龙穿璧缂丝
'shuang'long'xi'zhu'jin 双龙戏珠锦
'shuang'mian'rong 双面绒
'shuang'si'dan'huang'di'yin'yuan'yang'hua'shu'wen'sha 双丝淡黄地印鸳鸯花束纹纱
'shuang'zhou 双绉
'shui'bo'cang'long'jin 水波藏龙锦
'shui'mo'ke 水墨缂
'si'bu 丝布
'si'chou'zhi'lu 丝绸之路
'si'da'tian'wang'shou'lie'wen'jin 四大天王狩猎纹锦
'si'guo 丝国
'si'he'ru'yi'yun'wen'duan 四合如意云纹缎
'si'jing'jiao'luo 四经绞罗
'si'rong 丝绒
'si'se'jin 四色金
'si'xu'pian 丝絮片
'si'zhi'tian'e'rong'tan 丝织天鹅绒毯
'song'dai'fang'che 宋代纺车
'song'dai'luo'ji 宋代罗机
'song'dai'yan'se'su'luo 宋代烟色素罗
'song'dai'zong'se'wen'luo 宋代棕色纹罗
'song'jin 宋锦
'song'luo 宋罗
'song'mei'zhu'duan'dai 松梅竹缎带
'song'shi'jin 宋式锦
'song'yuan'zhi'ji 宋元织机
'su'liao'di'tan 塑料地毯
'su'luo 素罗
'su'tu'shi'di'tan'tu'an 素凸式地毯图案
'suan'xing'ran'liao 酸性染料
'suo'fu 梭福
'ta'fu'chou 塔夫绸
'tai'ji'yun'wen'duan 太极云纹缎
'tai'jing'ran'liao 酞菁染料
'tai'wan'jin 台湾锦
'tan 緂
'tang'dai'bi'di'er'ke'chang'fang'tan 唐代碧地二窠长方毯
'tang'dai'hua'hui'ren'wu'chang'fang'tan 唐代花卉人物长方毯
'tang'dai'ji'he'shou'wen'gua'tan 唐代几何兽纹挂毯
'tang'dai'zai'rong'hua'tan 唐代栽绒花毯
'tang'ge'zi'hua'wen'shu'jiang'jin 唐格子花纹蜀江锦
'tao 绦
'tao'huan'dui'niao'wen'qi 套环对鸟纹绮
'tao'huan'gui'zi'wen'qi 套环贵字纹绮
'tao'ke'fa 套缂法
'tao'ran 套染
'ti 绨
'ti'hua'bu 提花布
'ti'hua'yuan'ji 提花圆机
'ti'hua'zu'zhi 提花组织
'tian'e'rong 天鹅绒
'tian'hua'jin 天华锦
'tian'hua'yan'wen'jin 填花燕纹锦
'tian'shui'bi 天水碧
'tiao'hua'jie'ben 挑花结本
'tong'bu 橦布
'tong'hai'duan 通海缎
'tong'jin 僮锦
'tu'ban'yin'hua 凸版印花
'tu'hua'jin 凸花锦
'tu'hua'pu'gai 土花铺盖
'tu'jia'jin 土家锦
'tu'liao'yin'hua 涂料印花
'tuan'ke'jin 团窠锦
'tuan'ling 团绫
'tuan'long'ke'si 团龙缂丝
'wa'jin 佤锦
'wan'nian'feng'yi'shou'fei'lu'shuang'hu'jin 万年丰益寿飞鹿双虎锦
'wan'shi'ru'yi'jin 万世如意锦
'wan'shou'chou 万寿绸
'wan'shou'shuang'long'ke'si 万寿双龙缂丝
'wan'su 纨素
'wan'zi'bai'fu'zhang'duan 万字百蝠漳缎
'wan'zi'chan'zhi'hua'jin 万字缠枝花锦
'wei 纬
'wei'bian 纬编
'wei'bian'ping'zhen'zhi'wu 纬编平针织物
'wei'jin 纬锦
'wei'ke 纬缂
'wei'rong 卫绒
'wen 纹
'wen'qi 文绮
'wen'ru 文辱
'wen'xiu 文绣
'wen'zhi 纹制
'wu'fang'zhi'tiao'wen'di'tan 无纺织条纹地毯
'wu'gu'feng'deng'zhuang'hua'duan 五谷丰登妆花缎
'wu'guang'fang 无光纺
'wu'hou'jin 武侯锦
'wu'hu 雾縠
'wu'lin 乌驎
'wu'ling 吴绫
'wu'ren'dong'wu'wen'jin'qin 舞人动物纹锦衾
'xi 綌
'xi 緆
'xi'lan'ka'pu 西兰卡普
'xi'tan 洗毯
'xi'xie 细緤
'xi'zhan 细旃
'xia'die 霞氎
'xian'chun 线春
'xian'zhuang 显妆
'xiang'jing 像景
'xiang'piao 缃缥
'xiang'se'di'hong'zhu'yu'wen'jin 香色地红茱萸纹锦
'xiang'su 缃素
'xiang'wen'jin 象纹锦
'xiao 绡
'xiao'jin 小锦
'xiao'tuan'feng'duan 小团凤缎
'xie 缬
'xie'he 斜褐
'xie'wen'wei'jin 斜纹纬锦
'xie'wen'zu'zhi 斜纹组织
'xie'zhi'ji'zhi'zao'ji'qi 斜织机织造机器
'xin'ban'yin'hua 锌版印花
'xin'jiang'min'feng'chu'tu'de'han'mian'zhi'pin 新疆民丰出土的汉棉织品
'xing'ban'yin'hua 型版印花
'xing'zhi'yin'hua 型纸印花
'xiu'zhan 绣毡
'xuan'ji'tu'jin 璇玑图锦
'xuan'xian 玄纤
'ya'guang 轧光
'ya'ran 轧染
'yan'nian'yi'shou'da'xuan'zi'sun'jin 延年益寿大宣子孙锦
'yan'se'mei'hua'luo 烟色梅花罗
'yang'hua'ran'liao 氧化染料
'yang'li'zi'ran'liao'jie'zhi'yin'hua 阳离子染料接枝印花
'yang'zhou 洋绉
'yao'chi'ji'qing'tu'zhou 瑶池集庆图轴
'yao'ji 腰机
'yao'jin 瑶锦
'yi'jiang'tu 意匠图
'yi'jiang'zhi 意匠纸
'yi'zhou'xin'yang'jin 益州新样锦
'yi'zhuo'fang'zhi'pin 衣着纺织品
'yin'ding'wan'zi'chou 银锭万字紬
'yin'gou'yun 银勾晕
'yin'hong'di'bao'xiang'hua'wen'jin 银红地宝相花纹锦
'yin'hua 印花
'yin'hua'cai'hui'shao'yao'ying'luo'hua'bian 印花彩绘芍药缨络花边
'yin'hua'fu'cai'sha 印花敷彩纱
'yin'hua'miao'jin 印花描金
'yin'hua'xing'hua'wen'jin 隐花星花纹锦
'yin'jing'zhi'wu 印经织物
'yin'wei 引纬
'ying'wu'wen'jin'jin 鹦鹉纹金锦
'yong'chang'jin 永昌锦
'you'zi 黝紫
'yu'duan 羽缎
'yu'long'zhou'ren'wu'bo'hua 御龙舟人物帛画
'yu'sha 羽纱
'yu'si'jin 雨丝锦
'yu'wa'wen'jin 鱼蛙纹锦
'yu'you'jin 鱼油锦
'yu'zhi'wu 羽织物
'yuan'chou 院紬
'yuan'ji 鸳机
'yuan'jin'xian 圆金线
'yuan'juan 院绢
'yuan'wang'yin'hua 圆网印花
